time,sensor value
1900-01-01 00:00:00.449218750,-5.992
1900-01-01 00:00:00.453125000,-5.503
1900-01-01 00:00:00.457031250,-1.597
1900-01-01 00:00:00.460937500,2.797
1900-01-01 00:00:00.464843750,5.727
1900-01-01 00:00:00.468750000,6.215
1900-01-01 00:00:00.472656250,4.262
1900-01-01 00:00:00.476562500,3.774
1900-01-01 00:00:00.480468750,5.239
1900-01-01 00:00:00.484375000,8.657
1900-01-01 00:00:00.488281250,9.633
1900-01-01 00:00:00.492187500,6.704
1900-01-01 00:00:00.496093750,2.309
1900-01-01 00:00:00.500000000,-0.132
1900-01-01 00:00:00.503906250,1.333
1900-01-01 00:00:00.507812500,6.215
1900-01-01 00:00:00.511718750,10.61
1900-01-01 00:00:00.515625000,11.098
1900-01-01 00:00:00.519531250,6.215
1900-01-01 00:00:00.523437500,-0.132
1900-01-01 00:00:00.527343750,-4.038
1900-01-01 00:00:00.531250000,-3.062
1900-01-01 00:00:00.535156250,1.333
1900-01-01 00:00:00.539062500,5.727
1900-01-01 00:00:00.542968750,7.192
1900-01-01 00:00:00.546875000,4.751
1900-01-01 00:00:00.550781250,1.821
1900-01-01 00:00:00.554687500,0.844
1900-01-01 00:00:00.558593750,3.286
1900-01-01 00:00:00.562500000,6.704
1900-01-01 00:00:00.566406250,7.192
1900-01-01 00:00:00.570312500,3.774
1900-01-01 00:00:00.574218750,-0.621
1900-01-01 00:00:00.578125000,-2.574
1900-01-01 00:00:00.582031250,-0.621
1900-01-01 00:00:00.585937500,4.262
1900-01-01 00:00:00.589843750,8.169
1900-01-01 00:00:00.593750000,8.169
1900-01-01 00:00:00.597656250,5.239
1900-01-01 00:00:00.601562500,1.333
1900-01-01 00:00:00.605468750,-0.132
1900-01-01 00:00:00.609375000,1.821
1900-01-01 00:00:00.613281250,5.239
1900-01-01 00:00:00.617187500,8.169
1900-01-01 00:00:00.621093750,8.169
1900-01-01 00:00:00.625000000,7.192
1900-01-01 00:00:00.628906250,6.215
1900-01-01 00:00:00.632812500,6.215
1900-01-01 00:00:00.636718750,6.704
1900-01-01 00:00:00.640625000,7.192
1900-01-01 00:00:00.644531250,6.704
1900-01-01 00:00:00.648437500,5.727
1900-01-01 00:00:00.652343750,5.239
1900-01-01 00:00:00.656250000,5.239
1900-01-01 00:00:00.660156250,5.727
1900-01-01 00:00:00.664062500,7.68
1900-01-01 00:00:00.667968750,10.61
1900-01-01 00:00:00.671875000,15.493
1900-01-01 00:00:00.675781250,18.911
1900-01-01 00:00:00.679687500,19.887
1900-01-01 00:00:00.683593750,16.958
1900-01-01 00:00:00.687500000,12.563
1900-01-01 00:00:00.691406250,9.145
1900-01-01 00:00:00.695312500,8.169
1900-01-01 00:00:00.699218750,10.122
1900-01-01 00:00:00.703125000,13.051
1900-01-01 00:00:00.707031250,14.516
1900-01-01 00:00:00.710937500,14.516
1900-01-01 00:00:00.714843750,15.004
1900-01-01 00:00:00.718750000,16.958
1900-01-01 00:00:00.722656250,19.887
1900-01-01 00:00:00.726562500,19.887
1900-01-01 00:00:00.730468750,16.958
1900-01-01 00:00:00.734375000,11.098
1900-01-01 00:00:00.738281250,6.215
1900-01-01 00:00:00.742187500,5.239
1900-01-01 00:00:00.746093750,6.704
1900-01-01 00:00:00.750000000,8.657
1900-01-01 00:00:00.753906250,8.169
1900-01-01 00:00:00.757812500,6.215
1900-01-01 00:00:00.761718750,6.215
1900-01-01 00:00:00.765625000,10.122
1900-01-01 00:00:00.769531250,15.981
1900-01-01 00:00:00.773437500,18.911
1900-01-01 00:00:00.777343750,15.981
1900-01-01 00:00:00.781250000,8.169
1900-01-01 00:00:00.785156250,0.844
1900-01-01 00:00:00.789062500,-1.597
1900-01-01 00:00:00.792968750,1.821
1900-01-01 00:00:00.796875000,7.192
1900-01-01 00:00:00.800781250,8.657
1900-01-01 00:00:00.804687500,7.192
1900-01-01 00:00:00.808593750,4.262
1900-01-01 00:00:00.812500000,4.262
1900-01-01 00:00:00.816406250,6.704
1900-01-01 00:00:00.820312500,8.169
1900-01-01 00:00:00.824218750,7.192
1900-01-01 00:00:00.828125000,4.262
1900-01-01 00:00:00.832031250,3.286
1900-01-01 00:00:00.835937500,5.727
1900-01-01 00:00:00.839843750,10.61
1900-01-01 00:00:00.843750000,14.516
1900-01-01 00:00:00.847656250,14.028
1900-01-01 00:00:00.851562500,9.633
1900-01-01 00:00:00.855468750,5.727
1900-01-01 00:00:00.859375000,4.262
1900-01-01 00:00:00.863281250,5.727
1900-01-01 00:00:00.867187500,7.192
1900-01-01 00:00:00.871093750,7.192
1900-01-01 00:00:00.875000000,5.727
1900-01-01 00:00:00.878906250,4.751
1900-01-01 00:00:00.882812500,6.704
1900-01-01 00:00:00.886718750,10.61
1900-01-01 00:00:00.890625000,13.051
1900-01-01 00:00:00.894531250,13.051
1900-01-01 00:00:00.898437500,9.633
1900-01-01 00:00:00.902343750,6.704
1900-01-01 00:00:00.906250000,6.704
1900-01-01 00:00:00.910156250,8.657
1900-01-01 00:00:00.914062500,10.61
1900-01-01 00:00:00.917968750,9.145
1900-01-01 00:00:00.921875000,4.751
1900-01-01 00:00:00.925781250,-0.132
1900-01-01 00:00:00.929687500,-2.574
1900-01-01 00:00:00.933593750,-1.109
1900-01-01 00:00:00.937500000,2.309
1900-01-01 00:00:00.941406250,6.215
1900-01-01 00:00:00.945312500,8.657
1900-01-01 00:00:00.949218750,10.61
1900-01-01 00:00:00.953125000,12.075
1900-01-01 00:00:00.957031250,12.563
1900-01-01 00:00:00.960937500,10.61
1900-01-01 00:00:00.964843750,8.169
1900-01-01 00:00:00.968750000,4.751
1900-01-01 00:00:00.972656250,2.797
1900-01-01 00:00:00.976562500,2.797
1900-01-01 00:00:00.980468750,3.286
1900-01-01 00:00:00.984375000,3.774
1900-01-01 00:00:00.988281250,4.262
1900-01-01 00:00:00.992187500,5.727
1900-01-01 00:00:00.996093750,8.169
