seconds,'uV','uV'.1,'uV'.2,'uV'.3
1900-01-01 00:00:00.048,-16.5,-91.5,-46.5,-32.5
1900-01-01 00:00:00.049,-19.0,-93.5,-49.5,-35.5
1900-01-01 00:00:00.050,-22.0,-97.0,-53.5,-40.0
1900-01-01 00:00:00.051,-25.5,-101.5,-58.5,-45.5
1900-01-01 00:00:00.052,-28.5,-105.5,-64.0,-51.0
1900-01-01 00:00:00.053,-31.5,-109.0,-68.5,-55.5
1900-01-01 00:00:00.054,-33.5,-112.0,-71.5,-59.0
1900-01-01 00:00:00.055,-34.5,-113.5,-74.0,-61.0
1900-01-01 00:00:00.056,-35.0,-114.5,-75.0,-62.0
1900-01-01 00:00:00.057,-35.0,-114.5,-75.0,-62.0
1900-01-01 00:00:00.058,-34.5,-113.5,-74.5,-61.5
1900-01-01 00:00:00.059,-33.5,-112.5,-73.0,-60.0
1900-01-01 00:00:00.060,-32.5,-111.0,-71.5,-58.0
1900-01-01 00:00:00.061,-30.5,-109.0,-69.0,-55.5
1900-01-01 00:00:00.062,-28.5,-106.5,-66.0,-52.5
1900-01-01 00:00:00.063,-26.5,-103.5,-62.5,-49.0
1900-01-01 00:00:00.064,-24.0,-100.5,-58.5,-45.0
1900-01-01 00:00:00.065,-22.0,-97.5,-55.0,-41.0
1900-01-01 00:00:00.066,-21.0,-95.5,-53.0,-38.5
1900-01-01 00:00:00.067,-21.0,-95.5,-52.5,-38.0
1900-01-01 00:00:00.068,-23.0,-97.0,-54.0,-40.0
1900-01-01 00:00:00.069,-26.0,-100.0,-58.0,-44.0
1900-01-01 00:00:00.070,-29.5,-104.5,-63.0,-49.5
1900-01-01 00:00:00.071,-34.0,-109.5,-68.5,-55.5
1900-01-01 00:00:00.072,-37.5,-114.0,-74.0,-61.0
1900-01-01 00:00:00.073,-40.0,-117.5,-78.5,-65.5
1900-01-01 00:00:00.074,-41.5,-120.0,-81.0,-68.5
1900-01-01 00:00:00.075,-42.0,-120.5,-82.5,-69.5
1900-01-01 00:00:00.076,-41.5,-120.5,-82.5,-69.5
1900-01-01 00:00:00.077,-40.5,-120.0,-81.5,-69.0
1900-01-01 00:00:00.078,-39.0,-118.5,-80.5,-67.5
1900-01-01 00:00:00.079,-37.5,-117.0,-78.5,-65.5
1900-01-01 00:00:00.080,-35.5,-115.0,-76.0,-63.0
1900-01-01 00:00:00.081,-33.5,-112.0,-73.0,-60.0
1900-01-01 00:00:00.082,-31.0,-108.5,-69.0,-56.0
1900-01-01 00:00:00.083,-28.0,-105.0,-64.5,-51.0
1900-01-01 00:00:00.084,-25.0,-100.5,-60.0,-46.0
1900-01-01 00:00:00.085,-22.0,-96.5,-55.0,-41.0
1900-01-01 00:00:00.086,-20.0,-93.5,-51.0,-37.0
1900-01-01 00:00:00.087,-18.5,-92.0,-49.5,-34.5
1900-01-01 00:00:00.088,-18.5,-92.5,-49.5,-35.0
1900-01-01 00:00:00.089,-20.5,-94.5,-52.0,-37.0
1900-01-01 00:00:00.090,-23.0,-97.5,-56.0,-41.5
1900-01-01 00:00:00.091,-26.5,-101.5,-61.0,-46.5
1900-01-01 00:00:00.092,-29.5,-105.5,-66.0,-51.5
1900-01-01 00:00:00.093,-32.5,-109.0,-70.0,-56.5
1900-01-01 00:00:00.094,-34.0,-111.5,-73.0,-59.5
1900-01-01 00:00:00.095,-34.5,-112.5,-74.5,-61.0
1900-01-01 00:00:00.096,-35.0,-112.5,-75.0,-61.5
1900-01-01 00:00:00.097,-34.5,-112.5,-75.0,-61.5
1900-01-01 00:00:00.098,-34.0,-111.5,-75.0,-61.0
1900-01-01 00:00:00.099,-33.5,-111.0,-74.0,-59.5
1900-01-01 00:00:00.100,-32.0,-109.5,-72.0,-58.0
1900-01-01 00:00:00.101,-30.5,-107.5,-69.5,-55.5
1900-01-01 00:00:00.102,-29.0,-105.0,-66.5,-52.0
1900-01-01 00:00:00.103,-26.5,-101.5,-62.5,-48.0
1900-01-01 00:00:00.104,-23.5,-98.0,-58.0,-43.5
1900-01-01 00:00:00.105,-21.0,-94.5,-54.0,-39.0
1900-01-01 00:00:00.106,-19.5,-92.5,-50.5,-36.0
1900-01-01 00:00:00.107,-19.0,-91.5,-49.5,-35.0
1900-01-01 00:00:00.108,-20.0,-93.0,-50.5,-36.0
1900-01-01 00:00:00.109,-22.5,-95.5,-53.5,-39.0
1900-01-01 00:00:00.110,-26.0,-99.5,-58.0,-44.0
1900-01-01 00:00:00.111,-30.0,-104.0,-63.5,-49.5
1900-01-01 00:00:00.112,-33.0,-108.0,-68.5,-54.5
1900-01-01 00:00:00.113,-35.5,-111.5,-72.5,-59.0
1900-01-01 00:00:00.114,-37.0,-114.0,-75.5,-62.0
1900-01-01 00:00:00.115,-38.0,-115.0,-77.5,-63.5
1900-01-01 00:00:00.116,-38.5,-115.5,-78.0,-64.5
1900-01-01 00:00:00.117,-38.5,-115.5,-78.0,-64.5
1900-01-01 00:00:00.118,-38.0,-114.5,-77.0,-64.0
1900-01-01 00:00:00.119,-36.5,-113.0,-76.0,-62.5
1900-01-01 00:00:00.120,-35.5,-111.5,-74.0,-60.0
1900-01-01 00:00:00.121,-34.0,-109.5,-71.5,-58.0
1900-01-01 00:00:00.122,-32.5,-107.5,-69.0,-55.5
1900-01-01 00:00:00.123,-31.0,-105.5,-66.0,-52.0
1900-01-01 00:00:00.124,-29.0,-103.0,-62.5,-48.5
1900-01-01 00:00:00.125,-27.0,-100.5,-59.5,-45.5
1900-01-01 00:00:00.126,-25.5,-98.5,-57.0,-43.0
1900-01-01 00:00:00.127,-25.5,-98.0,-56.5,-42.0
1900-01-01 00:00:00.128,-27.0,-99.0,-57.5,-43.5
1900-01-01 00:00:00.129,-29.5,-101.5,-60.5,-46.5
1900-01-01 00:00:00.130,-33.0,-105.0,-65.0,-51.0
1900-01-01 00:00:00.131,-37.0,-109.5,-70.5,-56.5
1900-01-01 00:00:00.132,-40.5,-114.0,-75.5,-62.0
1900-01-01 00:00:00.133,-43.0,-117.5,-80.0,-66.5
1900-01-01 00:00:00.134,-44.5,-119.5,-83.0,-69.5
1900-01-01 00:00:00.135,-45.5,-120.5,-84.0,-71.5
1900-01-01 00:00:00.136,-45.0,-121.0,-84.5,-72.0
1900-01-01 00:00:00.137,-44.5,-120.0,-84.0,-71.5
1900-01-01 00:00:00.138,-43.5,-119.0,-82.5,-70.0
1900-01-01 00:00:00.139,-41.5,-117.0,-80.5,-67.5
1900-01-01 00:00:00.140,-39.5,-114.5,-78.0,-64.5
1900-01-01 00:00:00.141,-37.0,-111.5,-74.5,-61.0
1900-01-01 00:00:00.142,-33.5,-108.0,-70.5,-56.5
1900-01-01 00:00:00.143,-30.0,-103.5,-65.5,-51.0
1900-01-01 00:00:00.144,-26.0,-98.5,-59.5,-45.0
1900-01-01 00:00:00.145,-22.5,-93.5,-54.0,-39.5
1900-01-01 00:00:00.146,-19.5,-90.0,-49.5,-35.0
1900-01-01 00:00:00.147,-18.0,-88.0,-47.0,-32.0
1900-01-01 00:00:00.148,-18.0,-88.0,-46.5,-32.0
1900-01-01 00:00:00.149,-19.5,-90.0,-48.5,-34.0
1900-01-01 00:00:00.150,-22.0,-93.0,-52.5,-38.0
1900-01-01 00:00:00.151,-25.5,-97.0,-57.0,-43.0
1900-01-01 00:00:00.152,-28.5,-101.5,-62.5,-48.5
1900-01-01 00:00:00.153,-31.5,-105.5,-67.5,-54.0
1900-01-01 00:00:00.154,-34.0,-108.5,-71.5,-58.0
1900-01-01 00:00:00.155,-35.5,-110.5,-74.5,-61.0
1900-01-01 00:00:00.156,-36.5,-112.0,-76.5,-63.0
1900-01-01 00:00:00.157,-37.0,-112.5,-77.5,-64.5
1900-01-01 00:00:00.158,-37.0,-113.0,-78.0,-65.0
1900-01-01 00:00:00.159,-36.5,-112.5,-78.0,-65.0
1900-01-01 00:00:00.160,-36.0,-112.0,-77.0,-64.5
1900-01-01 00:00:00.161,-34.5,-110.0,-75.5,-62.5
1900-01-01 00:00:00.162,-32.5,-107.5,-72.5,-59.5
1900-01-01 00:00:00.163,-29.5,-103.5,-68.0,-55.0
1900-01-01 00:00:00.164,-26.0,-99.0,-62.5,-49.0
1900-01-01 00:00:00.165,-22.5,-94.5,-57.0,-43.5
1900-01-01 00:00:00.166,-19.5,-90.5,-52.5,-38.5
1900-01-01 00:00:00.167,-18.0,-88.0,-49.0,-35.0
1900-01-01 00:00:00.168,-17.5,-87.0,-48.0,-33.5
1900-01-01 00:00:00.169,-18.0,-87.5,-48.5,-34.5
1900-01-01 00:00:00.170,-19.5,-89.0,-51.0,-36.5
1900-01-01 00:00:00.171,-21.5,-91.5,-54.0,-39.5
1900-01-01 00:00:00.172,-23.0,-94.0,-57.0,-43.0
1900-01-01 00:00:00.173,-24.5,-95.5,-59.5,-45.5
1900-01-01 00:00:00.174,-24.5,-96.5,-61.0,-46.5
1900-01-01 00:00:00.175,-24.0,-96.5,-61.5,-47.0
1900-01-01 00:00:00.176,-23.5,-96.0,-61.5,-46.0
1900-01-01 00:00:00.177,-22.5,-95.0,-60.5,-45.0
1900-01-01 00:00:00.178,-21.0,-93.5,-59.0,-43.5
1900-01-01 00:00:00.179,-19.5,-91.5,-57.0,-41.5
1900-01-01 00:00:00.180,-17.5,-89.5,-54.5,-39.0
1900-01-01 00:00:00.181,-15.5,-87.0,-51.5,-36.5
1900-01-01 00:00:00.182,-13.5,-84.5,-48.5,-33.0
1900-01-01 00:00:00.183,-11.0,-81.5,-44.5,-29.0
1900-01-01 00:00:00.184,-8.5,-78.0,-40.0,-25.0
1900-01-01 00:00:00.185,-6.0,-75.0,-36.0,-21.0
1900-01-01 00:00:00.186,-5.0,-72.5,-33.5,-18.5
1900-01-01 00:00:00.187,-4.5,-72.0,-32.5,-18.0
1900-01-01 00:00:00.188,-6.0,-73.5,-33.5,-19.5
1900-01-01 00:00:00.189,-9.0,-76.5,-37.0,-23.0
1900-01-01 00:00:00.190,-12.5,-80.5,-42.0,-28.0
1900-01-01 00:00:00.191,-17.0,-85.5,-47.5,-34.0
1900-01-01 00:00:00.192,-20.5,-90.5,-53.0,-40.0
1900-01-01 00:00:00.193,-23.5,-94.5,-57.5,-44.5
1900-01-01 00:00:00.194,-25.0,-96.5,-60.5,-47.0
1900-01-01 00:00:00.195,-25.5,-97.5,-62.0,-48.5
1900-01-01 00:00:00.196,-25.5,-97.0,-62.0,-48.0
1900-01-01 00:00:00.197,-24.0,-96.0,-61.0,-46.5
1900-01-01 00:00:00.198,-22.5,-94.0,-59.0,-44.5
1900-01-01 00:00:00.199,-20.5,-92.0,-57.0,-42.0
1900-01-01 00:00:00.200,-18.5,-89.5,-54.5,-39.5
1900-01-01 00:00:00.201,-16.5,-87.0,-51.5,-36.5
1900-01-01 00:00:00.202,-14.0,-84.5,-48.0,-33.0
1900-01-01 00:00:00.203,-11.5,-81.0,-44.5,-29.0
1900-01-01 00:00:00.204,-8.5,-77.5,-40.0,-25.0
1900-01-01 00:00:00.205,-6.5,-74.0,-36.0,-21.0
1900-01-01 00:00:00.206,-5.0,-72.0,-33.5,-18.0
1900-01-01 00:00:00.207,-4.5,-71.5,-32.5,-17.0
1900-01-01 00:00:00.208,-6.0,-72.5,-33.5,-18.0
1900-01-01 00:00:00.209,-8.5,-75.0,-36.0,-21.0
1900-01-01 00:00:00.210,-12.0,-79.0,-40.5,-25.0
1900-01-01 00:00:00.211,-15.5,-83.5,-46.0,-30.5
1900-01-01 00:00:00.212,-19.0,-88.0,-51.0,-36.0
1900-01-01 00:00:00.213,-21.5,-91.0,-55.5,-40.5
1900-01-01 00:00:00.214,-23.0,-93.5,-58.0,-43.0
1900-01-01 00:00:00.215,-23.5,-94.0,-59.0,-44.5
1900-01-01 00:00:00.216,-23.5,-94.0,-59.5,-45.0
1900-01-01 00:00:00.217,-23.0,-93.5,-59.0,-44.5
1900-01-01 00:00:00.218,-22.0,-92.5,-58.0,-43.5
1900-01-01 00:00:00.219,-21.0,-91.0,-56.5,-41.5
1900-01-01 00:00:00.220,-19.5,-89.0,-54.5,-39.5
1900-01-01 00:00:00.221,-18.0,-87.0,-52.0,-37.0
1900-01-01 00:00:00.222,-15.5,-84.0,-49.0,-33.5
1900-01-01 00:00:00.223,-13.0,-80.5,-45.0,-29.5
1900-01-01 00:00:00.224,-10.0,-76.5,-40.5,-25.0
1900-01-01 00:00:00.225,-7.5,-73.0,-36.0,-20.5
1900-01-01 00:00:00.226,-6.0,-71.0,-33.0,-17.5
1900-01-01 00:00:00.227,-5.5,-70.0,-32.0,-16.5
1900-01-01 00:00:00.228,-7.0,-71.5,-33.0,-18.0
1900-01-01 00:00:00.229,-9.0,-74.0,-36.0,-21.0
1900-01-01 00:00:00.230,-12.5,-78.0,-40.5,-25.5
1900-01-01 00:00:00.231,-16.0,-82.5,-46.0,-31.0
1900-01-01 00:00:00.232,-19.5,-87.0,-51.0,-36.5
1900-01-01 00:00:00.233,-22.0,-90.0,-55.0,-41.0
1900-01-01 00:00:00.234,-23.5,-92.0,-57.5,-43.5
1900-01-01 00:00:00.235,-24.0,-92.5,-58.5,-45.0
1900-01-01 00:00:00.236,-23.5,-92.5,-59.0,-45.0
1900-01-01 00:00:00.237,-23.0,-92.0,-58.0,-44.5
1900-01-01 00:00:00.238,-22.0,-91.0,-57.0,-43.5
1900-01-01 00:00:00.239,-21.0,-90.0,-56.0,-42.5
1900-01-01 00:00:00.240,-20.5,-88.5,-54.5,-41.0
1900-01-01 00:00:00.241,-19.0,-87.5,-52.5,-39.0
1900-01-01 00:00:00.242,-18.0,-85.5,-50.5,-36.5
1900-01-01 00:00:00.243,-16.5,-83.5,-47.5,-33.5
1900-01-01 00:00:00.244,-14.5,-81.0,-44.5,-30.0
1900-01-01 00:00:00.245,-13.0,-78.5,-41.5,-27.0
1900-01-01 00:00:00.246,-12.5,-77.0,-39.5,-25.0
1900-01-01 00:00:00.247,-12.5,-76.5,-39.0,-24.5
1900-01-01 00:00:00.248,-14.0,-78.0,-40.5,-26.0
1900-01-01 00:00:00.249,-16.5,-81.0,-43.5,-29.0
1900-01-01 00:00:00.250,-20.0,-85.5,-48.5,-34.0
1900-01-01 00:00:00.251,-24.5,-90.5,-54.0,-40.0
1900-01-01 00:00:00.252,-28.0,-95.5,-60.0,-45.5
1900-01-01 00:00:00.253,-31.5,-99.5,-65.0,-50.5
1900-01-01 00:00:00.254,-33.5,-102.5,-68.5,-54.0
1900-01-01 00:00:00.255,-35.0,-104.0,-70.5,-56.0
1900-01-01 00:00:00.256,-35.5,-104.5,-71.0,-57.0
1900-01-01 00:00:00.257,-35.0,-104.5,-71.0,-57.5
1900-01-01 00:00:00.258,-34.5,-103.5,-70.5,-57.0
1900-01-01 00:00:00.259,-34.0,-102.5,-69.5,-56.0
1900-01-01 00:00:00.260,-33.0,-101.5,-68.5,-55.0
1900-01-01 00:00:00.261,-32.5,-100.5,-67.0,-53.5
1900-01-01 00:00:00.262,-31.5,-99.0,-65.0,-51.5
1900-01-01 00:00:00.263,-30.0,-97.0,-62.5,-48.5
1900-01-01 00:00:00.264,-29.0,-94.5,-59.5,-45.5
1900-01-01 00:00:00.265,-28.0,-93.0,-56.5,-43.0
1900-01-01 00:00:00.266,-27.5,-91.5,-55.0,-41.0
1900-01-01 00:00:00.267,-28.5,-92.0,-54.5,-40.5
1900-01-01 00:00:00.268,-30.5,-94.0,-56.5,-42.5
1900-01-01 00:00:00.269,-34.0,-97.5,-60.0,-46.5
1900-01-01 00:00:00.270,-38.0,-102.0,-65.5,-52.0
1900-01-01 00:00:00.271,-42.5,-107.0,-71.5,-58.0
1900-01-01 00:00:00.272,-46.0,-112.0,-77.5,-64.0
1900-01-01 00:00:00.273,-49.0,-115.5,-82.0,-69.0
1900-01-01 00:00:00.274,-51.0,-118.5,-85.5,-72.0
1900-01-01 00:00:00.275,-51.5,-119.5,-87.0,-74.0
1900-01-01 00:00:00.276,-51.5,-120.0,-88.0,-74.5
1900-01-01 00:00:00.277,-51.5,-119.5,-87.5,-74.0
1900-01-01 00:00:00.278,-50.5,-118.5,-86.5,-73.5
1900-01-01 00:00:00.279,-49.5,-117.5,-85.0,-72.0
1900-01-01 00:00:00.280,-48.0,-116.0,-83.0,-70.5
1900-01-01 00:00:00.281,-46.5,-114.0,-81.0,-68.0
1900-01-01 00:00:00.282,-44.5,-111.5,-78.0,-65.0
1900-01-01 00:00:00.283,-42.5,-109.0,-74.5,-61.5
1900-01-01 00:00:00.284,-40.0,-105.5,-71.0,-57.5
1900-01-01 00:00:00.285,-38.0,-103.0,-67.5,-53.5
1900-01-01 00:00:00.286,-37.0,-101.0,-65.0,-51.0
1900-01-01 00:00:00.287,-37.5,-100.5,-64.5,-50.5
1900-01-01 00:00:00.288,-39.0,-102.0,-66.0,-52.0
1900-01-01 00:00:00.289,-41.5,-104.5,-69.5,-55.0
1900-01-01 00:00:00.290,-45.0,-108.5,-74.0,-59.5
1900-01-01 00:00:00.291,-48.5,-113.0,-79.0,-65.0
1900-01-01 00:00:00.292,-52.0,-118.0,-84.5,-70.5
1900-01-01 00:00:00.293,-55.0,-121.5,-89.0,-75.0
1900-01-01 00:00:00.294,-57.0,-124.5,-92.0,-78.5
1900-01-01 00:00:00.295,-58.0,-126.0,-94.0,-81.0
1900-01-01 00:00:00.296,-58.5,-127.0,-95.0,-82.0
1900-01-01 00:00:00.297,-59.0,-127.0,-95.5,-82.5
1900-01-01 00:00:00.298,-59.0,-127.0,-95.0,-82.5
1900-01-01 00:00:00.299,-58.0,-126.5,-94.5,-81.5
1900-01-01 00:00:00.300,-57.0,-125.0,-93.0,-80.0
1900-01-01 00:00:00.301,-56.0,-123.5,-91.0,-77.5
1900-01-01 00:00:00.302,-54.0,-121.0,-88.5,-75.0
1900-01-01 00:00:00.303,-52.0,-118.0,-85.0,-71.0
1900-01-01 00:00:00.304,-49.0,-114.0,-81.0,-67.0
1900-01-01 00:00:00.305,-46.5,-110.5,-76.5,-62.5
1900-01-01 00:00:00.306,-45.0,-108.0,-73.5,-59.5
1900-01-01 00:00:00.307,-44.0,-107.0,-72.0,-58.0
1900-01-01 00:00:00.308,-44.5,-107.0,-72.0,-58.0
1900-01-01 00:00:00.309,-46.5,-109.0,-74.0,-60.5
1900-01-01 00:00:00.310,-49.0,-112.5,-78.0,-64.5
1900-01-01 00:00:00.311,-52.5,-116.0,-82.5,-69.5
1900-01-01 00:00:00.312,-55.5,-120.0,-87.0,-74.0
1900-01-01 00:00:00.313,-57.5,-123.0,-90.5,-78.0
1900-01-01 00:00:00.314,-59.0,-125.0,-93.5,-81.0
1900-01-01 00:00:00.315,-59.5,-125.5,-94.5,-82.5
1900-01-01 00:00:00.316,-59.0,-126.0,-95.0,-83.0
1900-01-01 00:00:00.317,-58.5,-125.0,-94.5,-82.0
1900-01-01 00:00:00.318,-57.0,-124.0,-93.5,-81.0
1900-01-01 00:00:00.319,-56.0,-122.5,-92.0,-79.0
1900-01-01 00:00:00.320,-54.5,-121.0,-90.0,-77.0
1900-01-01 00:00:00.321,-53.0,-119.0,-87.5,-74.5
1900-01-01 00:00:00.322,-51.5,-116.5,-85.0,-72.0
1900-01-01 00:00:00.323,-49.5,-114.0,-82.0,-68.5
1900-01-01 00:00:00.324,-47.0,-111.0,-78.0,-65.0
1900-01-01 00:00:00.325,-45.0,-108.0,-74.5,-61.5
1900-01-01 00:00:00.326,-44.0,-106.0,-72.0,-58.5
1900-01-01 00:00:00.327,-44.0,-105.5,-71.5,-58.0
1900-01-01 00:00:00.328,-45.5,-107.5,-73.0,-59.5
1900-01-01 00:00:00.329,-48.0,-110.5,-76.5,-63.0
1900-01-01 00:00:00.330,-52.5,-115.5,-81.5,-68.5
1900-01-01 00:00:00.331,-57.0,-121.0,-88.0,-75.0
1900-01-01 00:00:00.332,-62.0,-126.5,-94.5,-82.0
1900-01-01 00:00:00.333,-66.5,-131.5,-100.5,-88.0
1900-01-01 00:00:00.334,-69.5,-135.5,-104.5,-92.5
1900-01-01 00:00:00.335,-71.5,-138.0,-107.5,-95.5
1900-01-01 00:00:00.336,-72.0,-139.0,-109.0,-97.0
1900-01-01 00:00:00.337,-72.5,-139.5,-109.5,-97.0
1900-01-01 00:00:00.338,-72.0,-139.0,-109.0,-97.0
1900-01-01 00:00:00.339,-70.5,-137.5,-107.5,-95.5
1900-01-01 00:00:00.340,-69.0,-136.0,-105.5,-93.5
1900-01-01 00:00:00.341,-66.5,-133.5,-102.5,-90.5
1900-01-01 00:00:00.342,-64.5,-130.5,-99.0,-87.0
1900-01-01 00:00:00.343,-61.5,-127.0,-95.0,-83.0
1900-01-01 00:00:00.344,-58.5,-123.5,-90.5,-78.0
1900-01-01 00:00:00.345,-56.0,-120.0,-86.5,-74.0
1900-01-01 00:00:00.346,-54.0,-117.0,-83.0,-70.5
1900-01-01 00:00:00.347,-53.5,-116.0,-81.0,-68.5
1900-01-01 00:00:00.348,-54.0,-116.5,-81.5,-69.0
1900-01-01 00:00:00.349,-56.5,-118.5,-84.0,-71.5
1900-01-01 00:00:00.350,-59.5,-122.0,-88.0,-75.5
1900-01-01 00:00:00.351,-63.0,-126.0,-93.5,-81.0
1900-01-01 00:00:00.352,-66.5,-130.5,-98.5,-86.5
1900-01-01 00:00:00.353,-70.0,-135.0,-103.0,-91.5
1900-01-01 00:00:00.354,-72.0,-137.5,-106.5,-95.0
1900-01-01 00:00:00.355,-73.0,-139.0,-108.5,-97.0
1900-01-01 00:00:00.356,-72.5,-139.5,-108.5,-97.5
1900-01-01 00:00:00.357,-72.0,-138.5,-108.0,-96.5
1900-01-01 00:00:00.358,-70.5,-137.0,-106.5,-95.0
1900-01-01 00:00:00.359,-69.0,-135.5,-104.5,-93.0
1900-01-01 00:00:00.360,-67.5,-133.0,-102.0,-90.5
1900-01-01 00:00:00.361,-65.5,-130.5,-99.5,-87.5
1900-01-01 00:00:00.362,-63.0,-127.5,-96.0,-83.5
1900-01-01 00:00:00.363,-60.5,-124.0,-92.0,-79.5
1900-01-01 00:00:00.364,-57.5,-120.5,-88.0,-75.5
1900-01-01 00:00:00.365,-55.5,-117.0,-84.0,-71.5
1900-01-01 00:00:00.366,-54.0,-115.0,-81.5,-68.5
1900-01-01 00:00:00.367,-54.0,-114.5,-80.5,-68.0
1900-01-01 00:00:00.368,-55.5,-116.0,-81.5,-69.0
1900-01-01 00:00:00.369,-58.0,-118.5,-84.5,-72.0
1900-01-01 00:00:00.370,-61.5,-122.5,-89.0,-77.0
1900-01-01 00:00:00.371,-65.0,-127.0,-94.0,-82.5
1900-01-01 00:00:00.372,-68.5,-131.5,-99.5,-88.0
1900-01-01 00:00:00.373,-72.0,-135.0,-104.5,-93.0
1900-01-01 00:00:00.374,-74.5,-138.0,-108.0,-96.5
1900-01-01 00:00:00.375,-76.0,-140.0,-110.5,-99.0
1900-01-01 00:00:00.376,-76.5,-141.0,-111.5,-100.0
1900-01-01 00:00:00.377,-77.0,-141.0,-112.0,-100.5
1900-01-01 00:00:00.378,-77.0,-141.0,-112.0,-100.5
1900-01-01 00:00:00.379,-76.5,-141.0,-112.0,-100.0
1900-01-01 00:00:00.380,-76.5,-140.0,-111.0,-99.0
1900-01-01 00:00:00.381,-76.0,-139.0,-110.0,-97.5
1900-01-01 00:00:00.382,-75.0,-137.5,-108.0,-95.5
1900-01-01 00:00:00.383,-73.5,-135.5,-105.0,-92.5
1900-01-01 00:00:00.384,-72.0,-132.5,-102.0,-89.0
1900-01-01 00:00:00.385,-70.0,-130.0,-98.5,-85.5
1900-01-01 00:00:00.386,-68.5,-128.0,-95.5,-83.0
1900-01-01 00:00:00.387,-68.0,-127.0,-94.5,-81.5
1900-01-01 00:00:00.388,-69.0,-127.5,-95.0,-82.0
1900-01-01 00:00:00.389,-71.0,-129.5,-97.5,-85.0
1900-01-01 00:00:00.390,-74.0,-133.0,-101.5,-89.0
1900-01-01 00:00:00.391,-78.0,-137.0,-106.5,-94.5
1900-01-01 00:00:00.392,-81.0,-141.5,-111.5,-100.0
1900-01-01 00:00:00.393,-84.0,-145.0,-116.0,-104.0
1900-01-01 00:00:00.394,-85.5,-147.0,-119.0,-107.0
1900-01-01 00:00:00.395,-85.5,-148.0,-120.0,-108.0
1900-01-01 00:00:00.396,-85.0,-147.5,-120.0,-108.0
1900-01-01 00:00:00.397,-83.5,-146.5,-118.5,-107.0
