From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),RF (mm)
2018-04-29 01:00:00,2018-04-29 02:00:00,44.88,89.6,,,,7.53,0.53,,,,,,
2018-04-29 02:00:00,2018-04-29 03:00:00,33.23,98.33,,,,6.7,0.58,,,,,,
2018-04-29 03:00:00,2018-04-29 04:00:00,28.68,81.75,,12.97,,8.04,0.63,,,,,,
2018-04-29 04:00:00,2018-04-29 05:00:00,29.34,59.94,,13.17,,7.04,0.5,,,,,,
2018-04-29 05:00:00,2018-04-29 06:00:00,27.03,33.97,,12.51,,7.76,0.52,,,,,,
2018-04-29 06:00:00,2018-04-29 07:00:00,22.27,29.7,,13.28,,6.44,0.62,,,,,,
2018-04-29 07:00:00,2018-04-29 08:00:00,27.96,39.34,,13.55,,8.08,0.64,,,,,,
2018-04-29 08:00:00,2018-04-29 09:00:00,28.7,34.47,,13.13,,6.79,0.55,,,,,,
2018-04-29 09:00:00,2018-04-29 10:00:00,28.57,25.44,,12.62,,8.74,0.58,,,,,,
2018-04-29 10:00:00,2018-04-29 11:00:00,29.62,36.77,,14.34,,7.67,0.54,,,,,,
2018-04-29 11:00:00,2018-04-29 12:00:00,26.22,57.64,,14.42,,7.43,0.56,,,,,,
2018-04-29 12:00:00,2018-04-29 13:00:00,25.77,63.25,,14.98,,6.34,0.59,,,,,,
2018-04-29 13:00:00,2018-04-29 14:00:00,34.52,71.3,,13.91,,7.77,0.58,,,,,,
2018-04-29 14:00:00,2018-04-29 15:00:00,33.81,91.61,,14.19,,6.92,0.57,,,,,,
2018-04-29 15:00:00,2018-04-29 16:00:00,32.66,93.78,,13.79,,8.8,0.56,,,,,,
2018-04-29 16:00:00,2018-04-29 17:00:00,27.92,99.68,,13.47,,8.68,0.51,,,,,,
2018-04-29 17:00:00,2018-04-29 18:00:00,32.12,112.8,,13.44,,7.76,0.5,,,,,,
2018-04-29 18:00:00,2018-04-29 19:00:00,34.14,110.58,,12.84,,7.52,0.46,,,,,,
2018-04-29 19:00:00,2018-04-29 20:00:00,33.32,107.65,,13.53,,9.26,0.4,,,,,,
2018-04-29 20:00:00,2018-04-29 21:00:00,41.73,108.21,,13.24,,9.04,0.49,,,,,,
2018-04-29 21:00:00,2018-04-29 22:00:00,56.16,103.94,,13.87,,7.95,0.43,,,,,,
2018-04-29 22:00:00,2018-04-29 23:00:00,58.79,121.08,,12.82,,7.35,0.55,,,,,,
2018-04-29 23:00:00,2018-04-30 00:00:00,63.54,134.8,,11.94,,6.97,0.5,,,,,,
2018-04-30 00:00:00,2018-04-30 01:00:00,77.33,119.51,,,,5.63,0.48,,,,,,
2018-04-30 01:00:00,2018-04-30 02:00:00,82.72,134.9,,,,9.35,0.49,,,,,,
2018-04-30 02:00:00,2018-04-30 03:00:00,85.3,162.91,,,,7.97,0.55,,,,,,
2018-04-30 03:00:00,2018-04-30 04:00:00,75.46,151.95,,14.66,,8.48,0.57,,,,,,
2018-04-30 04:00:00,2018-04-30 05:00:00,64.14,102.7,,13.18,,7.09,0.48,,,,,,
2018-04-30 05:00:00,2018-04-30 06:00:00,65.48,80.39,,12.66,,7.43,0.51,,,,,,
2018-04-30 06:00:00,2018-04-30 07:00:00,59.42,105.77,,12.7,,5.54,0.55,,,,,,
2018-04-30 07:00:00,2018-04-30 08:00:00,55.01,110.14,,12.83,,8.48,0.57,,,,,,
2018-04-30 08:00:00,2018-04-30 09:00:00,54.96,86.35,,14.29,,7.27,0.55,,,,,,
2018-04-30 09:00:00,2018-04-30 10:00:00,51.89,56.46,,14.45,,8.44,0.37,,,,,,
2018-04-30 10:00:00,2018-04-30 11:00:00,46.44,60.61,,15.28,,8.66,0.5,,,,,,
2018-04-30 11:00:00,2018-04-30 12:00:00,40.22,70.08,,14.46,,8.09,0.48,,,,,,
2018-04-30 12:00:00,2018-04-30 13:00:00,39.36,67.46,,14.05,,7.43,0.52,,,,,,
2018-04-30 13:00:00,2018-04-30 14:00:00,33.14,61.81,,14.15,,8.1,0.5,,,,,,
2018-04-30 14:00:00,2018-04-30 15:00:00,20.95,59.23,,14.01,,7.41,0.55,,,,,,
2018-04-30 15:00:00,2018-04-30 16:00:00,14.31,57.63,,13.81,,9.36,0.5,,,,,,
2018-04-30 16:00:00,2018-04-30 17:00:00,17.85,68.7,,14.44,,8.1,0.56,,,,,,
2018-04-30 17:00:00,2018-04-30 18:00:00,22.77,76.59,,14.11,,6.7,0.72,,,,,,
2018-04-30 18:00:00,2018-04-30 19:00:00,23.57,80.78,,14.6,,5.26,0.57,,,,,,
2018-04-30 19:00:00,2018-04-30 20:00:00,37.3,86.66,,13.28,,7.17,0.59,,,,,,
2018-04-30 20:00:00,2018-04-30 21:00:00,46.37,98.47,,14.91,,6.48,0.53,,,,,,
2018-04-30 21:00:00,2018-04-30 22:00:00,47.16,96.4,,14.29,,7.41,0.51,,,,,,
2018-04-30 22:00:00,2018-04-30 23:00:00,45.51,101.19,,12.61,,6.94,0.58,,,,,,
2018-04-30 23:00:00,2018-05-01 00:00:00,52.49,104.05,,12.46,,7.97,0.54,,,,,,
2018-05-01 00:00:00,2018-05-01 01:00:00,75.67,117.68,,,,5.8,0.5,,,,,,
2018-05-01 01:00:00,2018-05-01 02:00:00,76.29,129.01,,,,8.34,0.48,,,,,,
2018-05-01 02:00:00,2018-05-01 03:00:00,75.1,149.44,,,,7.33,0.54,,,,,,
2018-05-01 03:00:00,2018-05-01 04:00:00,67.33,148.0,,15.05,,8.2,0.52,,,,,,
2018-05-01 04:00:00,2018-05-01 05:00:00,69.6,116.43,,13.5,,6.65,0.55,,,,,,
2018-05-01 05:00:00,2018-05-01 06:00:00,57.67,80.21,,13.22,,9.38,0.59,,,,,,
2018-05-01 06:00:00,2018-05-01 07:00:00,42.89,73.56,,13.59,,8.35,0.51,,,,,,
2018-05-01 07:00:00,2018-05-01 08:00:00,27.4,54.03,,14.45,,8.33,0.5,,,,,,
2018-05-01 08:00:00,2018-05-01 09:00:00,16.28,31.58,,13.05,,7.93,0.54,,,,,,
2018-05-01 09:00:00,2018-05-01 10:00:00,13.9,22.21,,13.18,,9.62,0.36,,,,,,
2018-05-01 10:00:00,2018-05-01 11:00:00,13.15,24.75,,13.28,,9.77,0.45,,,,,,
2018-05-01 11:00:00,2018-05-01 12:00:00,12.3,35.57,,12.87,,8.46,0.4,,,,,,
2018-05-01 12:00:00,2018-05-01 13:00:00,13.3,35.5,,13.81,,7.39,0.49,,,,,,
2018-05-01 13:00:00,2018-05-01 14:00:00,9.85,29.02,,14.08,,6.6,0.48,,,,,,
2018-05-01 14:00:00,2018-05-01 15:00:00,7.74,44.92,,14.51,,7.54,0.48,,,,,,
2018-05-01 15:00:00,2018-05-01 16:00:00,13.74,62.93,,14.04,,7.08,0.45,,,,,,
2018-05-01 16:00:00,2018-05-01 17:00:00,12.92,65.71,,14.73,,5.89,0.59,,,,,,
2018-05-01 17:00:00,2018-05-01 18:00:00,22.98,75.93,,15.27,,8.52,0.76,,,,,,
2018-05-01 18:00:00,2018-05-01 19:00:00,32.68,88.77,,15.52,,6.38,0.52,,,,,,
2018-05-01 19:00:00,2018-05-01 20:00:00,40.25,86.35,,14.38,,7.13,0.53,,,,,,
2018-05-01 20:00:00,2018-05-01 21:00:00,42.66,80.88,,15.0,,6.96,0.53,,,,,,
2018-05-01 21:00:00,2018-05-01 22:00:00,44.59,83.11,,15.07,,7.12,0.51,,,,,,
2018-05-01 22:00:00,2018-05-01 23:00:00,37.54,84.1,,16.02,,6.02,0.5,,,,,,
2018-05-01 23:00:00,2018-05-02 00:00:00,30.42,79.87,,14.43,,7.67,0.45,,,,,,
2018-05-02 00:00:00,2018-05-02 01:00:00,35.13,43.52,,,,5.54,0.47,,,,,,
2018-05-02 01:00:00,2018-05-02 02:00:00,35.05,51.26,,,,7.58,0.5,,,,,,
2018-05-02 02:00:00,2018-05-02 03:00:00,29.65,65.59,,,,6.97,0.56,,,,,,
2018-05-02 03:00:00,2018-05-02 04:00:00,25.95,68.24,,12.94,,7.2,0.57,,,,,,
2018-05-02 04:00:00,2018-05-02 05:00:00,35.07,63.87,,13.66,,7.26,0.51,,,,,,
2018-05-02 05:00:00,2018-05-02 06:00:00,47.14,75.87,,14.46,,8.22,0.51,,,,,,
2018-05-02 06:00:00,2018-05-02 07:00:00,45.7,100.4,,14.57,,6.97,0.59,,,,,,
2018-05-02 07:00:00,2018-05-02 08:00:00,32.94,83.73,,14.2,,6.64,0.64,,,,,,
2018-05-02 08:00:00,2018-05-02 09:00:00,25.13,51.25,,14.38,,6.95,0.47,,,,,,
2018-05-02 09:00:00,2018-05-02 10:00:00,25.23,31.88,,14.23,,8.28,0.28,,,,,,
2018-05-02 10:00:00,2018-05-02 11:00:00,19.53,32.92,,13.47,,8.43,0.47,,,,,,
2018-05-02 11:00:00,2018-05-02 12:00:00,16.88,47.43,,13.28,,7.12,0.44,,,,,,
2018-05-02 12:00:00,2018-05-02 13:00:00,16.53,48.96,,13.59,,6.17,0.53,,,,,,
2018-05-02 13:00:00,2018-05-02 14:00:00,14.98,41.61,,12.92,,7.04,0.5,,,,,,
2018-05-02 14:00:00,2018-05-02 15:00:00,14.19,55.58,,12.64,,6.08,0.53,,,,,,
2018-05-02 15:00:00,2018-05-02 16:00:00,17.25,64.86,,12.46,,6.13,0.53,,,,,,
2018-05-02 16:00:00,2018-05-02 17:00:00,20.66,61.25,,13.08,,4.37,0.56,,,,,,
2018-05-02 17:00:00,2018-05-02 18:00:00,24.62,34.61,,12.42,,6.1,0.74,,,,,,
2018-05-02 18:00:00,2018-05-02 19:00:00,18.97,24.39,,13.94,,4.69,0.47,,,,,,
2018-05-02 19:00:00,2018-05-02 20:00:00,18.39,29.44,,13.2,,7.13,0.47,,,,,,
2018-05-02 20:00:00,2018-05-02 21:00:00,25.15,32.22,,13.1,,5.67,0.56,,,,,,
2018-05-02 21:00:00,2018-05-02 22:00:00,32.06,31.76,,13.69,,7.77,0.57,,,,,,
2018-05-02 22:00:00,2018-05-02 23:00:00,33.79,49.71,,12.3,,5.78,0.56,,,,,,
2018-05-02 23:00:00,2018-05-03 00:00:00,32.44,56.38,,13.01,,8.59,0.57,,,,,,
2018-05-03 00:00:00,2018-05-03 01:00:00,46.56,61.52,,11.1,,,0.57,,,,,,
2018-05-03 01:00:00,2018-05-03 02:00:00,54.31,80.44,,13.97,,,0.66,,,,,,
2018-05-03 02:00:00,2018-05-03 03:00:00,46.67,103.71,,13.86,,,0.49,,,,,,
2018-05-03 03:00:00,2018-05-03 04:00:00,38.99,89.88,,14.95,,6.32,0.44,,,,,,
2018-05-03 04:00:00,2018-05-03 05:00:00,43.46,69.41,,14.77,,4.61,0.52,,,,,,
2018-05-03 05:00:00,2018-05-03 06:00:00,38.81,40.14,,13.63,,7.59,0.62,,,,,,
2018-05-03 06:00:00,2018-05-03 07:00:00,30.13,39.4,,13.09,,6.54,0.49,,,,,,
2018-05-03 07:00:00,2018-05-03 08:00:00,26.58,51.68,,13.78,,8.25,0.49,,,,,,
2018-05-03 08:00:00,2018-05-03 09:00:00,24.34,38.46,,14.51,,8.01,0.45,,,,,,
2018-05-03 09:00:00,2018-05-03 10:00:00,20.16,23.24,,14.26,,7.76,0.4,,,,,,
2018-05-03 10:00:00,2018-05-03 11:00:00,15.76,15.62,,13.19,,8.35,0.35,,,,,,
2018-05-03 11:00:00,2018-05-03 12:00:00,15.18,13.82,,14.05,,8.8,0.19,,,,,,
2018-05-03 12:00:00,2018-05-03 13:00:00,19.45,14.62,,13.66,,10.12,0.48,,,,,,
2018-05-03 13:00:00,2018-05-03 14:00:00,15.37,13.43,,13.54,,9.74,0.31,,,,,,
2018-05-03 14:00:00,2018-05-03 15:00:00,9.31,12.72,,13.62,,11.36,0.5,,,,,,
2018-05-03 15:00:00,2018-05-03 16:00:00,7.38,12.68,,13.41,,8.82,0.46,,,,,,
2018-05-03 16:00:00,2018-05-03 17:00:00,10.15,12.85,,14.04,,7.98,0.53,,,,,,
2018-05-03 17:00:00,2018-05-03 18:00:00,3.13,17.29,,13.76,,7.99,0.64,,,,,,
2018-05-03 18:00:00,2018-05-03 19:00:00,9.41,18.3,,12.97,,6.43,0.54,,,,,,
2018-05-03 19:00:00,2018-05-03 20:00:00,18.62,58.56,,13.33,,7.51,0.57,,,,,,
2018-05-03 20:00:00,2018-05-03 21:00:00,23.43,90.3,,13.33,,6.65,0.53,,,,,,
2018-05-03 21:00:00,2018-05-03 22:00:00,39.22,105.29,,13.55,,7.65,0.52,,,,,,
2018-05-03 22:00:00,2018-05-03 23:00:00,51.47,101.46,,13.62,,7.45,0.5,,,,,,
2018-05-03 23:00:00,2018-05-04 00:00:00,61.67,155.72,,12.97,,8.82,0.34,,,,,,
2018-05-04 00:00:00,2018-05-04 01:00:00,,239.38,,15.1,,8.15,0.57,,,,,,
2018-05-04 01:00:00,2018-05-04 02:00:00,,242.57,,12.32,,8.0,0.63,,,,,,
2018-05-04 02:00:00,2018-05-04 03:00:00,,173.47,,13.21,,6.99,0.43,,,,,,
2018-05-04 03:00:00,2018-05-04 04:00:00,72.9,191.92,,12.7,,7.05,0.43,,,,,,
2018-05-04 04:00:00,2018-05-04 05:00:00,69.15,209.75,,13.18,,5.93,0.6,,,,,,
2018-05-04 05:00:00,2018-05-04 06:00:00,64.77,202.4,,13.71,,7.49,0.63,,,,,,
2018-05-04 06:00:00,2018-05-04 07:00:00,61.82,147.32,,14.2,,5.86,0.59,,,,,,
2018-05-04 07:00:00,2018-05-04 08:00:00,59.9,129.31,,14.18,,7.5,0.79,,,,,,
2018-05-04 08:00:00,2018-05-04 09:00:00,58.77,151.83,,14.26,,6.41,0.56,,,,,,
2018-05-04 09:00:00,2018-05-04 10:00:00,31.3,107.54,,13.5,,8.49,0.5,,,,,,
2018-05-04 10:00:00,2018-05-04 11:00:00,13.81,58.78,,13.41,,9.25,0.45,,,,,,
2018-05-04 11:00:00,2018-05-04 12:00:00,8.36,34.39,,13.61,,7.36,0.35,,,,,,
2018-05-04 12:00:00,2018-05-04 13:00:00,5.83,22.2,,14.86,,20.79,0.29,,,,,,
2018-05-04 13:00:00,2018-05-04 14:00:00,5.12,18.17,,15.29,,17.74,0.18,,,,,,
2018-05-04 14:00:00,2018-05-04 15:00:00,4.83,15.65,,11.69,,35.08,0.36,,,,,,
2018-05-04 15:00:00,2018-05-04 16:00:00,3.68,13.83,,8.87,,15.02,0.18,,,,,,
2018-05-04 16:00:00,2018-05-04 17:00:00,10.97,35.15,,7.32,,26.15,0.44,,,,,,
2018-05-04 17:00:00,2018-05-04 18:00:00,11.21,35.44,,6.21,,10.95,0.32,,,,,,
2018-05-04 18:00:00,2018-05-04 19:00:00,,,,,,,,,,,,,
2018-05-04 19:00:00,2018-05-04 20:00:00,,,,,,,,,,,,,
2018-05-04 20:00:00,2018-05-04 21:00:00,,,,,,,,,,,,,
2018-05-04 21:00:00,2018-05-04 22:00:00,,,,,,,,,,,,,
2018-05-04 22:00:00,2018-05-04 23:00:00,,,,,,,,,,,,,
2018-05-04 23:00:00,2018-05-05 00:00:00,,,,,,,,,,,,,
2018-05-05 00:00:00,2018-05-05 01:00:00,,,,,,,,,,,,,
2018-05-05 01:00:00,2018-05-05 02:00:00,,,,,,,,,,,,,
2018-05-05 02:00:00,2018-05-05 03:00:00,,,,,,,,,,,,,
2018-05-05 03:00:00,2018-05-05 04:00:00,,,,,,,,,,,,,
2018-05-05 04:00:00,2018-05-05 05:00:00,,,,,,,,,,,,,
2018-05-05 05:00:00,2018-05-05 06:00:00,,,,,,,,,,,,,
2018-05-05 06:00:00,2018-05-05 07:00:00,,,,,,,,,,,,,
2018-05-05 07:00:00,2018-05-05 08:00:00,,,,,,,,,,,,,
2018-05-05 08:00:00,2018-05-05 09:00:00,,,,,,,,,,,,,
2018-05-05 09:00:00,2018-05-05 10:00:00,,,,,,,,,,,,,
2018-05-05 10:00:00,2018-05-05 11:00:00,,,,,,,,,,,,,
2018-05-05 11:00:00,2018-05-05 12:00:00,,509.99,,22.54,,3.62,1.89,,,,,,
2018-05-05 12:00:00,2018-05-05 13:00:00,,19.64,,19.59,,3.62,0.27,,,,,,
2018-05-05 13:00:00,2018-05-05 14:00:00,,12.0,,16.29,,11.0,0.18,,,,,,
2018-05-05 14:00:00,2018-05-05 15:00:00,2.57,12.0,,14.4,,14.25,0.51,,,,,,
2018-05-05 15:00:00,2018-05-05 16:00:00,10.88,12.0,,13.62,,9.54,0.48,,,,,,
2018-05-05 16:00:00,2018-05-05 17:00:00,14.14,25.4,,13.18,,9.08,0.48,,,,,,
2018-05-05 17:00:00,2018-05-05 18:00:00,14.37,71.94,,13.48,,7.21,0.49,,,,,,
2018-05-05 18:00:00,2018-05-05 19:00:00,26.33,103.53,,12.96,,7.5,0.47,,,,,,
2018-05-05 19:00:00,2018-05-05 20:00:00,35.75,105.12,,13.0,,8.46,0.42,,,,,,
2018-05-05 20:00:00,2018-05-05 21:00:00,41.43,111.01,,13.66,,6.39,0.57,,,,,,
2018-05-05 21:00:00,2018-05-05 22:00:00,50.27,124.85,,12.84,,8.84,0.64,,,,,,
2018-05-05 22:00:00,2018-05-05 23:00:00,61.35,164.95,,13.92,,7.92,0.51,,,,,,
2018-05-05 23:00:00,2018-05-06 00:00:00,62.51,167.56,,13.88,,7.96,0.45,,,,,,
2018-05-06 00:00:00,2018-05-06 01:00:00,49.51,104.01,,,,6.76,0.5,,,,,,
2018-05-06 01:00:00,2018-05-06 02:00:00,52.47,107.76,,,,7.66,0.51,,,,,,
2018-05-06 02:00:00,2018-05-06 03:00:00,61.39,126.3,,,,6.66,0.57,,,,,,
2018-05-06 03:00:00,2018-05-06 04:00:00,58.4,139.2,,11.45,,8.41,0.57,,,,,,
2018-05-06 04:00:00,2018-05-06 05:00:00,37.39,99.35,,12.65,,7.08,0.58,,,,,,
2018-05-06 05:00:00,2018-05-06 06:00:00,28.66,62.8,,13.8,,7.84,0.64,,,,,,
2018-05-06 06:00:00,2018-05-06 07:00:00,33.09,70.79,,12.84,,6.66,0.58,,,,,,
2018-05-06 07:00:00,2018-05-06 08:00:00,31.9,91.65,,13.66,,7.35,0.6,,,,,,
2018-05-06 08:00:00,2018-05-06 09:00:00,42.17,83.24,,14.41,,6.05,0.55,,,,,,
2018-05-06 09:00:00,2018-05-06 10:00:00,36.82,57.79,,13.71,,8.09,0.59,,,,,,
2018-05-06 10:00:00,2018-05-06 11:00:00,44.06,69.51,,13.53,,7.0,0.57,,,,,,
2018-05-06 11:00:00,2018-05-06 12:00:00,43.47,84.28,,13.92,,7.76,0.58,,,,,,
2018-05-06 12:00:00,2018-05-06 13:00:00,34.39,81.42,,13.34,,6.78,0.5,,,,,,
2018-05-06 13:00:00,2018-05-06 14:00:00,29.32,46.7,,12.49,,7.45,0.53,,,,,,
2018-05-06 14:00:00,2018-05-06 15:00:00,31.6,39.88,,13.51,,6.27,0.5,,,,,,
2018-05-06 15:00:00,2018-05-06 16:00:00,30.62,60.92,,14.63,,7.5,0.48,,,,,,
2018-05-06 16:00:00,2018-05-06 17:00:00,23.66,57.66,,13.93,,6.25,0.49,,,,,,
2018-05-06 17:00:00,2018-05-06 18:00:00,15.24,35.03,,13.8,,8.27,0.49,,,,,,
2018-05-06 18:00:00,2018-05-06 19:00:00,18.49,37.81,,13.82,,8.56,0.53,,,,,,
2018-05-06 19:00:00,2018-05-06 20:00:00,28.38,78.95,,13.7,,8.35,0.52,,,,,,
2018-05-06 20:00:00,2018-05-06 21:00:00,43.04,110.34,,13.52,,7.56,0.54,,,,,,
2018-05-06 21:00:00,2018-05-06 22:00:00,51.32,113.18,,13.1,,8.09,0.54,,,,,,
2018-05-06 22:00:00,2018-05-06 23:00:00,44.58,100.45,,14.32,,9.17,0.44,,,,,,
2018-05-06 23:00:00,2018-05-07 00:00:00,51.85,89.56,,13.65,,8.94,0.29,,,,,,
2018-05-07 00:00:00,2018-05-07 01:00:00,32.93,,,14.31,,8.45,0.51,,,,,,
2018-05-07 01:00:00,2018-05-07 02:00:00,36.04,,,13.45,,7.73,0.53,,,,,,
2018-05-07 02:00:00,2018-05-07 03:00:00,42.96,,,13.62,,7.01,0.54,,,,,,
2018-05-07 03:00:00,2018-05-07 04:00:00,38.59,90.01,,14.43,,8.58,0.61,,,,,,
2018-05-07 04:00:00,2018-05-07 05:00:00,29.5,78.96,,14.56,,7.05,0.54,,,,,,
2018-05-07 05:00:00,2018-05-07 06:00:00,18.98,45.48,,14.71,,7.8,0.64,,,,,,
2018-05-07 06:00:00,2018-05-07 07:00:00,25.29,50.35,,13.97,,5.31,0.64,,,,,,
2018-05-07 07:00:00,2018-05-07 08:00:00,41.72,91.24,,13.86,,7.25,0.65,,,,,,
2018-05-07 08:00:00,2018-05-07 09:00:00,33.54,65.27,,13.82,,5.72,0.51,,,,,,
2018-05-07 09:00:00,2018-05-07 10:00:00,21.05,38.63,,14.08,,8.8,0.28,,,,,,
2018-05-07 10:00:00,2018-05-07 11:00:00,19.91,25.31,,12.98,,8.96,0.49,,,,,,
