From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Temp (),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),RF (mm),AT (degree C)
2019-06-24 16:00:00,2019-06-24 17:00:00,,130.25,2.0,16.02,10.15,34.62,5.17,0.32,99.57,0.12,30.9,,,27.3,56.0,1.52,314.75,,741.0,,,32.9
2019-06-24 17:00:00,2019-06-24 18:00:00,,86.0,1.05,15.32,9.0,36.72,3.97,0.29,84.3,0.1,29.77,,,31.0,59.25,1.28,312.0,,741.0,,,32.45
2019-06-24 18:00:00,2019-06-24 19:00:00,,67.0,0.53,14.07,7.92,37.5,4.47,0.28,74.88,0.1,39.32,,,32.2,65.25,0.72,294.75,,741.0,,,31.95
2019-06-24 19:00:00,2019-06-24 20:00:00,6.0,52.25,0.8,14.95,8.6,37.6,4.33,0.27,69.66,0.2,51.43,,,32.23,68.5,0.53,293.25,,741.0,,,31.58
2019-06-24 20:00:00,2019-06-24 21:00:00,8.75,56.0,0.45,16.8,9.3,37.05,4.93,0.26,60.58,0.25,61.85,,,31.45,71.25,0.47,289.25,,741.0,,,31.23
2019-06-24 21:00:00,2019-06-24 22:00:00,18.33,63.75,0.53,20.38,11.3,39.17,8.8,0.35,46.55,0.45,70.0,,,28.9,73.75,0.53,259.5,,741.0,,,30.93
2019-06-24 22:00:00,2019-06-24 23:00:00,19.0,69.0,0.62,21.27,11.83,37.8,9.57,0.25,35.59,0.47,75.03,,,28.62,76.25,0.52,255.25,,741.0,,,30.25
2019-06-24 23:00:00,2019-06-25 00:00:00,20.33,48.0,0.72,22.62,12.62,41.05,16.53,0.35,33.4,0.62,78.85,,,28.65,76.0,0.45,278.25,,741.0,,,30.3
2019-06-25 00:00:00,2019-06-25 01:00:00,27.75,65.75,0.62,21.9,12.15,43.8,14.65,0.94,26.35,0.6,80.9,,,28.75,81.75,0.6,305.75,,741.0,,,29.4
2019-06-25 01:00:00,2019-06-25 02:00:00,18.0,53.0,0.67,18.77,10.53,65.63,8.27,0.86,32.12,0.4,80.7,,,34.1,80.33,0.43,277.33,,741.0,,,29.47
2019-06-25 02:00:00,2019-06-25 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-25 03:00:00,2019-06-25 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-25 04:00:00,2019-06-25 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-25 05:00:00,2019-06-25 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-25 06:00:00,2019-06-25 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-25 07:00:00,2019-06-25 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-25 08:00:00,2019-06-25 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2019-06-25 09:00:00,2019-06-25 10:00:00,17.5,57.5,1.47,20.2,11.9,62.33,11.2,0.95,76.99,0.57,121.87,,,27.8,67.33,0.6,291.67,,741.67,,,33.1
2019-06-25 10:00:00,2019-06-25 11:00:00,21.0,64.0,2.7,21.88,13.88,50.32,8.03,0.97,81.3,0.43,98.78,,,27.73,65.75,0.57,244.0,,742.0,,,33.92
2019-06-25 11:00:00,2019-06-25 12:00:00,22.0,65.5,1.4,17.57,10.47,53.17,8.22,0.96,90.35,0.4,85.45,,,28.15,61.5,0.58,268.75,,742.0,,,35.08
2019-06-25 12:00:00,2019-06-25 13:00:00,23.5,64.5,0.85,15.5,8.97,58.28,8.05,0.89,108.48,0.38,79.23,,,31.95,55.75,0.6,255.0,,741.25,,,36.38
2019-06-25 13:00:00,2019-06-25 14:00:00,23.25,59.0,0.45,15.08,8.42,56.67,7.8,1.0,122.08,0.28,72.6,,,31.55,52.25,0.55,206.75,,741.0,,,37.28
2019-06-25 14:00:00,2019-06-25 15:00:00,27.0,66.75,0.75,14.73,8.45,35.77,8.1,1.08,127.84,0.27,62.15,,,26.73,50.5,0.53,240.25,,741.0,,,38.03
2019-06-25 15:00:00,2019-06-25 16:00:00,27.0,68.67,0.47,14.43,7.95,36.95,7.65,1.12,141.36,0.25,47.83,,,26.73,48.0,0.55,245.25,,741.0,,,38.47
2019-06-25 16:00:00,2019-06-25 17:00:00,27.0,69.0,0.15,14.52,7.72,36.92,8.17,1.13,141.03,0.3,47.38,,,26.98,49.25,0.58,281.5,,741.0,,,38.27
2019-06-25 17:00:00,2019-06-25 18:00:00,29.67,76.5,1.32,24.5,14.15,38.95,11.12,1.19,135.19,0.32,51.4,,,27.98,49.75,0.6,276.25,,741.0,,,38.3
2019-06-25 18:00:00,2019-06-25 19:00:00,34.0,89.75,0.4,16.35,9.05,37.68,9.7,1.19,139.62,0.38,54.7,,,27.77,49.5,0.6,258.5,,741.0,,,37.95
2019-06-25 19:00:00,2019-06-25 20:00:00,33.5,107.25,0.43,20.7,11.35,36.25,9.02,1.32,111.03,0.4,57.4,,,28.0,57.75,0.53,303.0,,741.0,,,36.52
2019-06-25 20:00:00,2019-06-25 21:00:00,39.0,152.0,0.62,20.55,11.45,38.7,11.1,1.34,91.15,0.45,60.1,,,27.92,62.0,0.47,310.75,,741.0,,,35.62
2019-06-25 21:00:00,2019-06-25 22:00:00,41.33,121.67,0.45,25.05,13.47,46.53,6.82,1.43,63.5,0.53,62.83,,,28.25,65.25,0.38,304.25,,741.0,,,34.9
2019-06-25 22:00:00,2019-06-25 23:00:00,43.5,121.0,0.57,23.2,12.82,50.67,7.4,1.5,59.99,0.53,65.05,,,28.27,65.5,0.4,274.75,,741.0,,,34.7
2019-06-25 23:00:00,2019-06-26 00:00:00,49.0,120.25,0.62,25.73,14.18,54.52,12.07,1.54,48.05,0.78,67.0,,,28.18,69.0,0.5,302.0,,741.0,,,33.97
2019-06-26 00:00:00,2019-06-26 01:00:00,51.0,116.5,0.45,25.12,13.52,64.88,10.3,1.21,50.06,0.62,68.47,,,28.07,69.5,0.4,233.0,,741.0,,,33.82
2019-06-26 01:00:00,2019-06-26 02:00:00,50.25,111.0,0.7,31.88,17.38,70.42,11.8,1.21,38.34,1.05,69.0,,,28.32,73.5,0.52,283.75,,741.0,,,33.27
2019-06-26 02:00:00,2019-06-26 03:00:00,44.0,96.33,0.8,24.98,13.88,71.72,7.1,1.15,42.47,0.57,69.78,,,28.35,79.0,0.6,321.75,,741.0,,,31.85
2019-06-26 03:00:00,2019-06-26 04:00:00,35.25,71.67,0.5,23.32,12.83,71.72,5.85,1.15,41.72,0.5,70.88,,,28.35,81.5,0.6,298.0,,741.0,,,31.07
2019-06-26 04:00:00,2019-06-26 05:00:00,33.5,66.0,0.53,25.33,13.88,70.35,7.9,1.19,38.09,0.55,72.72,,,28.6,81.5,0.45,308.75,,741.0,,,30.9
2019-06-26 05:00:00,2019-06-26 06:00:00,37.75,66.0,0.68,28.92,15.9,69.53,10.52,1.24,35.03,0.8,75.17,,,28.6,79.75,0.4,254.5,,741.0,,,31.0
2019-06-26 06:00:00,2019-06-26 07:00:00,46.5,83.0,0.93,32.15,17.88,66.6,13.07,1.3,32.74,0.9,77.65,,,28.25,78.0,0.45,260.0,,741.0,,,31.48
2019-06-26 07:00:00,2019-06-26 08:00:00,52.25,106.25,26.3,27.9,40.7,81.7,,0.01,46.09,0.9,79.62,,,28.9,71.75,0.35,174.0,,741.0,,,32.85
2019-06-26 08:00:00,2019-06-26 09:00:00,61.75,132.33,1.65,28.1,16.3,76.55,11.78,1.4,91.55,0.92,79.75,,,29.4,62.75,0.45,150.5,,741.0,,,34.85
2019-06-26 09:00:00,2019-06-26 10:00:00,52.75,143.5,0.95,30.48,17.0,66.45,13.75,1.48,124.61,1.08,78.88,,,28.0,59.25,0.6,193.5,,741.0,,,36.2
2019-06-26 10:00:00,2019-06-26 11:00:00,55.0,151.0,0.77,27.27,15.12,66.08,15.17,1.41,155.72,0.95,78.23,,,27.98,53.25,0.6,217.75,,741.0,,,37.73
2019-06-26 11:00:00,2019-06-26 12:00:00,50.5,135.0,0.73,22.35,12.45,59.08,13.03,1.32,160.37,0.82,71.5,,,27.7,50.25,0.68,169.5,,741.0,,,38.25
2019-06-26 12:00:00,2019-06-26 13:00:00,42.75,119.75,0.38,18.1,9.92,52.15,10.4,1.28,156.99,0.62,67.32,,,27.33,46.5,0.77,177.5,,741.0,,,39.03
2019-06-26 13:00:00,2019-06-26 14:00:00,41.5,118.25,0.27,17.23,9.3,48.33,9.45,1.28,157.32,0.5,69.8,,,27.8,44.25,0.9,157.75,,741.0,,,39.5
2019-06-26 14:00:00,2019-06-26 15:00:00,39.25,125.0,0.45,15.22,8.48,45.62,10.05,1.26,154.21,0.4,70.58,,,28.12,42.25,1.08,180.75,,741.0,,,39.92
2019-06-26 15:00:00,2019-06-26 16:00:00,42.33,129.5,0.33,15.65,8.6,43.83,11.43,1.34,166.36,0.4,71.75,,,27.33,44.25,1.05,185.25,,741.0,,,40.12
2019-06-26 16:00:00,2019-06-26 17:00:00,52.0,143.0,0.3,15.53,8.43,41.72,12.0,1.34,167.78,0.4,71.57,,,27.05,43.75,1.05,195.0,,741.0,,,40.08
2019-06-26 17:00:00,2019-06-26 18:00:00,46.25,131.25,0.32,14.62,8.03,42.25,12.32,1.34,176.3,0.33,72.08,,,27.52,43.75,1.0,188.0,,741.0,,,39.85
2019-06-26 18:00:00,2019-06-26 19:00:00,38.75,125.5,0.37,15.95,8.7,41.1,13.8,1.4,168.85,0.35,72.47,,,27.22,44.75,0.82,185.0,,741.0,,,39.4
2019-06-26 19:00:00,2019-06-26 20:00:00,41.5,138.0,0.25,21.53,11.62,41.2,11.22,1.64,149.58,0.45,74.88,,,27.6,45.5,0.72,175.25,,741.0,,,38.77
2019-06-26 20:00:00,2019-06-26 21:00:00,47.0,152.0,0.45,29.6,16.05,42.3,12.3,1.82,134.58,1.05,78.53,,,27.75,43.5,0.75,174.5,,741.0,,,38.35
2019-06-26 21:00:00,2019-06-26 22:00:00,49.33,146.75,0.2,31.32,16.7,41.92,12.32,1.77,136.56,0.97,82.1,,,28.02,44.25,0.83,172.0,,741.0,,,37.85
2019-06-26 22:00:00,2019-06-26 23:00:00,40.67,137.25,0.43,26.08,14.18,45.8,14.92,1.69,145.45,0.82,82.62,,,27.8,48.5,0.85,174.25,,741.0,,,37.03
2019-06-26 23:00:00,2019-06-27 00:00:00,46.0,132.0,0.4,45.35,24.43,53.4,17.27,1.72,105.19,0.77,83.03,,,28.25,48.25,0.75,161.25,,741.0,,,36.65
2019-06-27 00:00:00,2019-06-27 01:00:00,43.5,139.25,0.35,53.9,28.92,56.0,16.3,1.11,97.56,0.85,83.62,,,28.02,49.25,0.7,156.75,,741.0,,,36.53
2019-06-27 01:00:00,2019-06-27 02:00:00,42.0,139.0,0.27,43.12,23.1,62.4,14.18,1.14,84.59,0.8,83.12,,,28.35,53.0,0.53,133.5,,741.0,,,35.77
2019-06-27 02:00:00,2019-06-27 03:00:00,57.25,156.0,0.6,50.62,27.4,75.28,16.65,1.65,73.56,1.15,81.95,,,28.6,55.75,0.58,133.25,,741.0,,,35.1
2019-06-27 03:00:00,2019-06-27 04:00:00,85.0,172.67,0.68,39.53,21.55,83.92,20.45,1.28,95.87,1.43,81.62,,,28.68,55.25,0.6,140.25,,741.0,,,34.92
2019-06-27 04:00:00,2019-06-27 05:00:00,80.33,164.5,1.7,57.55,31.98,82.4,33.95,1.35,32.97,1.2,83.05,,,28.65,67.5,0.45,111.0,,741.0,,,32.25
2019-06-27 05:00:00,2019-06-27 06:00:00,75.33,188.0,1.85,55.53,31.05,99.42,37.62,1.38,36.64,1.7,83.55,,,28.4,66.0,0.62,101.0,,741.0,,,32.52
2019-06-27 06:00:00,2019-06-27 07:00:00,76.25,209.0,1.45,48.25,26.88,104.15,32.48,1.44,60.81,1.35,79.9,,,28.05,60.0,0.62,130.75,,741.0,,,33.62
2019-06-27 07:00:00,2019-06-27 08:00:00,75.0,207.75,26.4,32.4,43.7,106.6,,0.01,85.59,1.15,79.1,,,28.65,59.0,0.78,153.75,,741.0,,,34.08
2019-06-27 08:00:00,2019-06-27 09:00:00,71.67,229.75,1.25,32.33,18.23,97.35,29.05,1.43,105.55,1.02,79.8,,,28.52,57.5,0.85,157.5,,741.0,,,34.77
2019-06-27 09:00:00,2019-06-27 10:00:00,70.25,291.67,1.38,30.12,17.15,93.4,29.8,1.48,122.61,0.95,79.35,,,27.93,56.75,0.88,163.0,,741.0,,,35.62
2019-06-27 10:00:00,2019-06-27 11:00:00,74.0,321.25,1.3,29.17,16.55,94.68,30.62,1.52,155.61,0.97,79.53,,,28.25,53.0,0.9,162.0,,741.0,,,37.05
2019-06-27 11:00:00,2019-06-27 12:00:00,75.5,387.5,1.05,26.95,15.18,81.55,25.02,1.56,168.44,0.95,74.07,,,28.15,51.5,1.23,159.75,,741.0,,,37.75
2019-06-27 12:00:00,2019-06-27 13:00:00,79.25,530.0,0.75,23.93,13.35,83.12,20.18,1.4,166.47,0.72,49.2,,,30.07,44.25,1.65,170.25,,741.0,,,37.7
2019-06-27 13:00:00,2019-06-27 14:00:00,66.75,284.0,0.45,19.82,10.9,57.92,16.78,1.2,167.92,0.43,40.65,,,29.35,39.5,1.4,176.0,,741.0,,,37.25
2019-06-27 14:00:00,2019-06-27 15:00:00,36.25,270.25,0.47,18.1,10.0,51.78,13.9,1.15,171.88,0.35,42.3,,,28.53,39.25,1.27,184.75,,741.0,,,37.75
2019-06-27 15:00:00,2019-06-27 16:00:00,35.0,220.5,0.35,16.77,9.17,52.65,15.05,1.17,175.01,0.3,44.88,,,28.05,38.5,1.1,184.25,,741.0,,,38.45
2019-06-27 16:00:00,2019-06-27 17:00:00,29.25,198.25,0.55,19.12,10.62,55.88,17.78,1.22,183.23,0.35,48.23,,,28.6,36.5,1.2,166.75,,741.0,,,38.83
2019-06-27 17:00:00,2019-06-27 18:00:00,31.5,211.75,0.72,19.1,10.75,58.27,24.07,1.39,192.89,0.4,51.4,,,29.27,37.75,1.2,164.75,,741.0,,,38.45
2019-06-27 18:00:00,2019-06-27 19:00:00,34.0,221.75,0.57,22.68,12.52,56.12,16.32,1.5,164.81,0.4,53.85,,,29.62,39.5,1.08,164.25,,741.0,,,37.8
2019-06-27 19:00:00,2019-06-27 20:00:00,28.75,219.25,0.5,30.55,16.65,52.4,8.43,1.7,127.16,0.5,57.8,,,29.8,39.5,0.7,166.75,,741.0,,,37.45
2019-06-27 20:00:00,2019-06-27 21:00:00,35.75,232.5,0.47,41.18,22.3,49.4,13.93,2.01,89.68,0.95,63.78,,,29.12,45.0,0.43,167.75,,741.0,,,36.18
2019-06-27 21:00:00,2019-06-27 22:00:00,57.25,285.5,1.68,77.55,42.62,55.83,15.65,2.45,31.81,1.95,67.28,,,29.43,49.5,0.53,81.75,,741.0,,,35.05
