From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF ()
2020-03-01 12:00:00,2020-03-01 13:00:00,,154.88,46.51,37.46,9.01,29.4,7.38,0.69,93.61,4.02,4.58,2.57,9.76,43.39,0.56,281.43,687.64,754.96,3.97,27.15,
2020-03-01 13:00:00,2020-03-01 14:00:00,,125.97,70.35,56.28,14.13,28.51,7.88,0.9,87.1,4.22,3.99,2.31,9.25,43.69,0.57,315.66,502.38,754.16,3.71,27.14,
2020-03-01 14:00:00,2020-03-01 15:00:00,,145.39,61.06,50.29,11.27,28.04,7.91,0.88,95.95,5.67,4.09,3.04,12.23,42.28,0.69,315.28,505.14,753.4,4.97,27.36,
2020-03-01 15:00:00,2020-03-01 16:00:00,,168.62,74.8,61.01,14.42,29.68,7.79,0.91,81.4,6.34,4.08,2.77,11.31,44.16,1.07,324.75,287.19,753.1,3.62,27.04,
2020-03-01 16:00:00,2020-03-01 17:00:00,,193.98,140.31,97.76,42.45,34.72,8.19,1.36,47.38,6.29,4.87,4.19,16.32,47.74,0.59,316.85,109.97,752.81,4.6,26.27,
2020-03-01 17:00:00,2020-03-01 18:00:00,,266.33,170.62,108.54,62.07,39.22,8.37,1.94,19.48,9.73,5.36,8.03,28.76,56.74,0.35,306.0,37.74,753.09,11.84,25.13,
2020-03-01 18:00:00,2020-03-01 19:00:00,,310.98,139.05,92.1,46.96,45.48,7.5,1.76,7.06,10.59,4.84,6.17,22.61,68.69,0.11,211.58,10.97,753.32,7.85,23.02,
2020-03-01 19:00:00,2020-03-01 20:00:00,,352.89,183.79,102.03,81.76,57.38,7.74,2.12,2.49,13.7,5.63,7.65,27.31,72.52,0.07,220.2,10.75,753.61,8.17,22.0,
2020-03-01 20:00:00,2020-03-01 21:00:00,,378.74,203.39,95.2,107.96,54.98,7.26,2.24,0.38,14.92,6.19,6.56,22.67,78.88,0.08,183.16,10.73,754.04,9.5,20.7,
2020-03-01 21:00:00,2020-03-01 22:00:00,,364.91,177.58,88.57,89.01,53.4,6.67,1.95,0.56,14.23,5.37,7.38,21.65,80.06,0.06,198.14,10.75,754.15,6.04,20.11,
2020-03-01 22:00:00,2020-03-01 23:00:00,,372.32,228.06,82.44,145.61,55.09,7.23,1.94,,13.84,4.45,5.67,16.78,84.74,0.07,228.22,10.71,754.35,3.27,19.34,
2020-03-01 23:00:00,2020-03-02 00:00:00,,386.99,194.87,72.38,122.5,51.36,7.08,1.56,,12.18,4.1,4.78,16.04,86.09,0.1,250.11,10.71,754.33,3.6,19.14,
2020-03-02 00:00:00,2020-03-02 01:00:00,,383.52,165.08,65.47,99.62,47.76,6.59,1.2,,8.02,4.39,2.23,8.18,89.2,0.07,148.96,10.72,754.0,2.39,18.45,
2020-03-02 01:00:00,2020-03-02 02:00:00,,347.67,161.36,62.02,99.34,46.87,6.62,1.1,,6.42,3.53,1.46,5.32,90.04,0.07,166.11,11.03,753.46,1.46,18.39,
2020-03-02 02:00:00,2020-03-02 03:00:00,,325.42,137.86,62.1,75.76,42.88,6.5,0.89,3.07,5.41,3.33,1.23,4.2,88.25,0.13,243.43,10.89,753.27,1.71,18.5,
2020-03-02 03:00:00,2020-03-02 04:00:00,,306.94,107.28,54.56,52.72,39.78,6.17,0.83,0.89,4.49,3.26,0.93,3.04,89.79,0.1,251.19,10.96,753.22,1.25,18.08,
2020-03-02 04:00:00,2020-03-02 05:00:00,,270.44,144.56,60.88,83.55,44.12,6.25,0.97,,4.49,3.96,1.29,3.86,92.94,0.08,207.76,10.8,753.2,1.47,17.36,
2020-03-02 05:00:00,2020-03-02 06:00:00,,265.99,111.24,51.58,59.66,42.87,6.92,1.1,1.4,10.22,3.31,5.46,14.26,93.7,0.1,233.5,10.95,753.66,5.17,17.09,
2020-03-02 06:00:00,2020-03-02 07:00:00,,248.34,102.88,52.09,50.79,39.84,6.09,1.02,,5.64,2.97,1.64,5.35,93.76,0.25,206.12,29.08,754.33,2.17,17.09,
2020-03-02 07:00:00,2020-03-02 08:00:00,,219.81,109.44,63.9,45.6,40.94,6.2,1.19,4.85,7.14,3.12,1.64,6.23,86.52,0.46,229.24,100.79,754.83,2.53,18.62,
2020-03-02 08:00:00,2020-03-02 09:00:00,,220.16,128.88,74.47,54.87,47.14,6.82,1.35,16.63,8.59,4.34,2.75,10.28,75.03,0.28,282.34,277.9,755.31,3.75,21.7,
2020-03-02 09:00:00,2020-03-02 10:00:00,,226.59,73.98,53.24,20.75,45.54,7.44,1.17,46.0,8.87,4.65,4.58,17.81,67.92,0.7,327.25,442.22,755.63,7.32,23.64,
2020-03-02 10:00:00,2020-03-02 11:00:00,,214.97,74.68,55.44,19.34,41.6,7.54,1.09,62.83,7.95,5.1,4.28,16.73,59.33,0.46,324.63,575.09,755.46,6.73,25.53,
2020-03-02 11:00:00,2020-03-02 12:00:00,,195.63,57.19,46.24,10.98,39.63,7.91,0.85,85.63,8.01,5.88,5.76,20.35,52.28,0.35,266.81,621.01,754.84,5.12,27.13,
2020-03-02 12:00:00,2020-03-02 13:00:00,,187.72,58.82,44.61,14.07,33.73,7.26,0.85,88.87,7.16,6.4,7.42,25.63,48.03,0.56,318.89,626.23,754.16,3.71,27.68,
2020-03-02 13:00:00,2020-03-02 14:00:00,,183.95,74.38,54.16,20.23,31.54,7.04,0.94,83.9,5.91,5.0,3.15,12.65,47.59,0.53,284.76,571.01,753.36,3.52,28.13,
2020-03-02 14:00:00,2020-03-02 15:00:00,,177.93,75.25,55.91,19.34,30.47,7.14,0.94,85.54,5.29,4.35,2.92,10.75,50.3,0.64,273.78,315.27,752.82,1.72,27.55,
2020-03-02 15:00:00,2020-03-02 16:00:00,,178.92,87.35,61.0,26.34,30.29,7.11,0.98,76.38,6.36,4.44,4.02,15.62,52.6,0.91,318.17,259.16,752.57,4.62,27.32,
2020-03-02 16:00:00,2020-03-02 17:00:00,,208.43,100.4,68.63,31.65,31.89,6.75,1.26,56.57,6.33,5.1,3.57,13.88,53.96,0.73,314.39,118.15,752.35,5.54,26.79,
2020-03-02 17:00:00,2020-03-02 18:00:00,,236.9,119.09,86.43,32.67,33.25,6.38,1.25,20.02,8.49,5.02,4.42,17.08,61.6,0.2,179.13,29.07,752.23,4.92,25.17,
2020-03-02 18:00:00,2020-03-02 19:00:00,,254.7,220.17,111.69,108.47,44.57,7.0,2.46,1.11,9.72,5.62,5.82,21.0,69.51,0.06,181.02,10.84,752.48,5.68,23.43,
2020-03-02 19:00:00,2020-03-02 20:00:00,,403.96,249.89,109.53,140.36,50.48,7.5,2.92,1.66,19.36,6.92,12.35,40.07,73.5,0.16,270.82,11.02,752.93,11.69,23.07,
2020-03-02 20:00:00,2020-03-02 21:00:00,,525.43,228.83,95.82,133.01,51.19,6.68,2.67,0.27,15.29,6.48,7.96,27.39,79.3,0.06,210.03,10.8,753.28,5.71,21.73,
2020-03-02 21:00:00,2020-03-02 22:00:00,,511.56,205.62,86.33,119.29,54.79,6.35,2.27,0.02,14.2,5.68,7.05,24.71,83.65,0.09,151.37,10.66,753.45,7.16,20.64,
2020-03-02 22:00:00,2020-03-02 23:00:00,,455.52,277.89,90.76,187.14,58.74,6.91,2.31,,13.36,5.19,5.69,20.26,85.47,0.09,153.84,10.66,753.57,0.1,20.25,
2020-03-02 23:00:00,2020-03-03 00:00:00,,471.9,406.95,93.9,313.06,67.52,8.14,2.67,,14.18,5.59,6.27,21.18,88.55,0.09,140.18,10.71,753.46,5.01,19.76,
2020-03-03 00:00:00,2020-03-03 01:00:00,,550.25,187.19,81.93,104.95,48.42,5.71,1.19,,9.52,4.99,2.82,9.86,85.8,0.13,285.11,10.77,753.23,1.03,19.59,
2020-03-03 01:00:00,2020-03-03 02:00:00,,405.06,146.51,71.46,75.05,47.41,5.46,1.09,0.39,7.15,3.69,1.58,5.54,87.1,0.1,300.57,10.76,752.92,1.66,19.12,
2020-03-03 02:00:00,2020-03-03 03:00:00,,513.4,151.62,67.83,83.8,47.0,5.63,1.08,,6.01,3.45,1.26,4.48,89.31,0.09,226.93,10.76,752.57,1.76,18.59,
2020-03-03 03:00:00,2020-03-03 04:00:00,,515.58,155.5,60.55,94.95,44.38,5.67,1.11,,5.6,2.87,1.1,3.91,91.81,0.04,176.58,10.75,752.4,1.61,18.08,
2020-03-03 04:00:00,2020-03-03 05:00:00,,391.39,193.14,56.99,136.14,47.3,7.3,1.17,0.22,5.71,3.8,1.29,3.98,92.8,0.06,270.88,10.8,752.57,1.91,17.79,
2020-03-03 05:00:00,2020-03-03 06:00:00,,361.56,187.69,54.57,133.12,44.51,7.7,1.34,,7.09,3.27,1.8,6.05,94.37,0.05,211.24,10.93,752.93,2.53,17.39,
2020-03-03 06:00:00,2020-03-03 07:00:00,,356.11,204.19,57.96,146.23,45.11,7.76,1.26,0.13,8.26,3.27,2.26,8.36,94.77,0.11,145.86,25.05,753.23,0.92,17.37,
2020-03-03 07:00:00,2020-03-03 08:00:00,,366.47,207.34,78.94,128.41,46.14,7.74,1.62,4.6,8.78,3.64,3.16,11.74,84.77,0.48,264.17,97.37,753.75,4.86,19.71,
2020-03-03 08:00:00,2020-03-03 09:00:00,,357.63,133.16,78.08,54.91,44.83,7.05,1.56,13.59,10.24,4.84,3.71,13.71,77.42,0.88,326.82,269.19,754.23,3.4,21.85,
2020-03-03 09:00:00,2020-03-03 10:00:00,,346.14,114.26,71.72,42.55,48.5,7.19,1.29,35.67,12.12,5.96,4.84,18.06,68.32,0.83,327.02,510.44,754.36,2.35,24.55,
2020-03-03 10:00:00,2020-03-03 11:00:00,,304.38,77.57,53.74,23.83,42.82,7.44,0.95,65.16,8.68,5.52,4.34,16.77,57.02,0.49,300.57,617.88,754.24,4.06,26.77,
2020-03-03 11:00:00,2020-03-03 12:00:00,,244.29,59.56,43.22,16.34,35.51,7.74,0.72,82.04,4.71,4.43,2.19,9.02,51.26,0.63,308.29,659.12,753.62,0.63,27.63,
2020-03-03 12:00:00,2020-03-03 13:00:00,,224.53,53.11,39.31,13.67,29.85,7.87,0.73,87.03,5.2,5.76,3.17,12.2,48.97,0.64,265.69,626.9,752.8,3.74,28.42,
2020-03-03 13:00:00,2020-03-03 14:00:00,,199.97,53.09,44.49,9.75,30.16,8.08,0.76,89.23,4.2,4.08,2.03,8.35,46.39,0.62,303.76,572.57,751.99,2.9,28.78,
2020-03-03 14:00:00,2020-03-03 15:00:00,,191.7,61.6,52.18,10.35,23.71,6.87,0.85,83.85,7.72,4.63,2.59,10.87,45.6,0.98,319.12,460.51,751.23,2.55,28.9,
2020-03-03 15:00:00,2020-03-03 16:00:00,,219.96,79.27,59.78,19.68,35.69,8.48,0.96,78.07,5.1,4.23,2.52,10.41,44.64,1.07,321.95,287.63,750.78,1.02,28.66,
2020-03-03 16:00:00,2020-03-03 17:00:00,,265.85,103.43,73.22,30.89,31.81,8.75,1.21,55.84,16.64,4.53,3.93,14.93,49.32,1.02,324.07,124.76,750.77,4.15,27.84,
2020-03-03 17:00:00,2020-03-03 18:00:00,,282.47,107.86,86.47,21.43,32.25,7.66,1.31,18.58,11.8,5.61,6.39,22.78,59.41,0.17,225.04,29.46,752.22,4.9,26.09,
2020-03-03 18:00:00,2020-03-03 19:00:00,,295.48,209.23,106.65,102.59,58.66,8.13,2.54,1.46,10.04,5.68,5.35,19.35,71.05,0.07,177.37,10.75,753.06,4.55,23.68,
2020-03-03 19:00:00,2020-03-03 20:00:00,,460.75,277.64,106.01,171.63,78.47,10.96,3.43,2.92,19.89,7.27,9.06,39.1,76.13,0.1,221.3,10.63,753.76,0.0,22.81,
2020-03-03 20:00:00,2020-03-03 21:00:00,,591.41,242.81,90.37,152.23,53.39,8.3,3.23,2.54,23.72,9.64,9.56,23.34,80.03,0.05,190.1,10.69,754.32,0.0,22.08,
2020-03-03 21:00:00,2020-03-03 22:00:00,,563.7,240.87,87.03,153.83,47.52,6.66,3.4,0.58,22.69,8.56,15.29,34.22,81.0,0.07,189.72,10.83,754.55,13.92,21.75,
2020-03-03 22:00:00,2020-03-03 23:00:00,,616.46,282.51,86.32,196.18,61.77,6.13,2.57,0.01,19.94,7.22,9.12,26.55,81.53,0.06,162.37,10.78,754.58,2.17,21.3,
2020-03-03 23:00:00,2020-03-04 00:00:00,,680.52,318.52,96.53,221.99,68.74,6.4,2.4,,14.51,6.53,5.27,16.3,82.37,0.08,270.03,10.74,754.54,3.07,20.96,
2020-03-04 00:00:00,2020-03-04 01:00:00,,778.3,157.18,74.11,82.9,55.14,5.77,1.46,,12.97,6.73,5.31,13.31,79.25,0.26,141.41,10.48,754.34,0.98,21.0,
2020-03-04 01:00:00,2020-03-04 02:00:00,,548.94,178.42,73.8,104.62,55.31,5.82,1.24,,7.97,4.62,2.27,7.54,82.26,0.13,206.66,11.09,754.01,2.19,20.13,
2020-03-04 02:00:00,2020-03-04 03:00:00,,338.02,234.02,64.97,169.05,57.97,6.37,1.41,,7.54,4.59,2.29,7.0,86.52,0.12,225.87,10.94,753.89,2.03,19.64,
2020-03-04 03:00:00,2020-03-04 04:00:00,,371.2,229.33,62.2,167.14,58.97,6.31,1.31,,7.94,4.64,2.79,8.09,88.78,0.07,213.88,10.86,753.86,2.45,19.3,
2020-03-04 04:00:00,2020-03-04 05:00:00,,399.52,257.21,68.89,188.21,62.74,6.8,1.34,,8.18,5.58,3.35,8.72,87.8,0.22,137.6,11.0,754.09,2.41,19.3,
2020-03-04 05:00:00,2020-03-04 06:00:00,,306.21,123.75,54.89,68.87,51.4,6.24,1.29,0.88,7.33,4.28,1.75,5.18,88.14,0.13,165.7,11.15,754.59,0.38,19.12,
2020-03-04 06:00:00,2020-03-04 07:00:00,,312.74,205.04,71.18,133.86,56.86,7.28,1.71,0.3,10.31,4.28,2.52,8.82,88.56,0.11,165.26,34.12,755.49,1.61,19.31,
2020-03-04 07:00:00,2020-03-04 08:00:00,,323.11,82.93,64.93,18.0,49.5,6.05,1.21,2.64,9.07,4.12,2.34,7.97,79.61,0.17,120.43,99.42,756.22,2.08,21.28,
2020-03-04 08:00:00,2020-03-04 09:00:00,,296.69,60.26,51.41,9.04,47.33,6.12,1.06,27.61,9.27,5.79,2.25,6.79,65.08,0.28,110.31,258.58,756.71,2.16,24.26,
2020-03-04 09:00:00,2020-03-04 10:00:00,,239.11,29.16,23.94,5.22,41.65,6.29,0.64,72.92,5.22,4.15,1.34,4.14,54.45,0.66,133.43,492.15,757.01,1.3,26.02,
2020-03-04 10:00:00,2020-03-04 11:00:00,,157.11,18.45,20.85,0.64,43.76,8.83,0.61,95.04,3.71,3.7,1.01,2.9,49.58,0.76,141.07,603.28,756.84,0.56,27.38,
2020-03-04 11:00:00,2020-03-04 12:00:00,,128.39,12.71,19.34,0.01,40.73,14.52,0.46,110.65,2.9,3.26,0.92,2.5,39.54,0.86,128.28,651.78,756.28,0.0,28.36,
2020-03-04 12:00:00,2020-03-04 13:00:00,,113.39,18.44,22.23,0.77,28.56,12.9,0.41,108.6,2.01,2.73,0.57,1.91,38.39,0.77,126.12,618.54,755.38,0.0,29.1,
2020-03-04 13:00:00,2020-03-04 14:00:00,,119.67,38.71,37.02,9.61,21.49,9.64,0.71,108.42,2.2,2.92,0.75,1.98,35.49,0.45,185.49,546.46,754.48,0.53,29.58,
2020-03-04 14:00:00,2020-03-04 15:00:00,,144.01,67.54,54.26,16.98,23.98,9.0,0.71,89.47,5.91,4.41,3.06,11.28,31.48,0.37,202.08,408.14,753.72,2.24,29.81,
2020-03-04 15:00:00,2020-03-04 16:00:00,,191.88,69.5,61.22,12.43,,8.58,0.78,74.45,8.2,6.2,6.28,22.4,31.88,0.78,327.65,279.93,753.36,1.18,29.43,
2020-03-04 16:00:00,2020-03-04 17:00:00,,212.18,93.86,74.38,20.61,,9.84,0.88,60.88,26.78,4.69,5.84,25.82,33.42,0.73,331.47,125.24,753.15,0.0,28.45,
2020-03-04 17:00:00,2020-03-04 18:00:00,,209.47,57.94,49.83,8.18,,8.33,0.72,62.56,8.42,4.35,4.6,16.84,44.12,0.15,270.62,29.57,753.03,1.39,26.69,
2020-03-04 18:00:00,2020-03-04 19:00:00,,202.33,43.75,40.63,3.09,,7.02,0.79,54.02,6.5,4.78,2.46,9.02,53.39,0.16,124.28,10.72,753.44,1.4,24.62,
2020-03-04 19:00:00,2020-03-04 20:00:00,,213.92,,,,,6.99,1.59,19.25,8.51,5.02,2.89,9.95,58.95,0.15,129.26,10.61,754.31,0.77,23.42,
2020-03-04 20:00:00,2020-03-04 21:00:00,,260.73,,,,,6.82,1.68,12.13,11.71,7.66,5.52,17.14,61.56,0.17,130.68,10.64,755.06,2.02,22.79,
2020-03-04 21:00:00,2020-03-04 22:00:00,,270.62,,,,,6.08,1.53,7.57,10.66,6.87,5.28,15.37,67.57,0.16,135.31,10.7,755.29,4.6,22.37,
2020-03-04 22:00:00,2020-03-04 23:00:00,,246.57,,,,,5.79,1.42,8.99,12.23,7.09,5.01,14.22,72.53,0.17,143.29,10.7,755.45,4.36,22.35,
2020-03-04 23:00:00,2020-03-05 00:00:00,,234.15,,,,,5.29,1.04,17.75,11.66,6.66,3.29,9.87,76.55,0.15,150.64,10.79,755.33,2.37,21.97,
2020-03-05 00:00:00,2020-03-05 01:00:00,,219.53,,,,,5.39,0.81,23.46,8.9,6.22,1.91,5.71,81.52,0.14,143.62,10.7,754.79,1.71,21.66,
2020-03-05 01:00:00,2020-03-05 02:00:00,,203.1,,,,,5.45,0.7,29.49,6.93,5.74,1.26,3.41,84.16,0.19,128.34,10.66,754.57,1.16,21.46,
2020-03-05 02:00:00,2020-03-05 03:00:00,,186.89,,,,,5.25,0.7,21.77,5.79,5.59,1.02,2.69,88.82,0.17,142.53,10.73,754.25,1.24,20.66,
2020-03-05 03:00:00,2020-03-05 04:00:00,,173.57,,,,,5.38,0.72,19.23,6.88,6.32,1.07,2.84,89.01,0.18,139.35,10.89,753.88,0.68,20.67,
2020-03-05 04:00:00,2020-03-05 05:00:00,,177.24,,,,,5.32,0.75,34.96,6.36,6.96,1.06,2.7,87.75,0.69,132.16,10.74,753.98,1.08,20.77,
2020-03-05 05:00:00,2020-03-05 06:00:00,,178.81,,,,,5.65,0.79,28.28,6.38,5.63,0.94,2.24,88.16,0.61,130.88,11.08,754.51,0.86,20.27,
2020-03-05 06:00:00,2020-03-05 07:00:00,,168.76,,,,,5.62,0.78,23.26,6.61,5.52,0.98,2.46,86.58,0.52,132.78,30.09,755.1,0.3,20.13,
2020-03-05 07:00:00,2020-03-05 08:00:00,,161.73,,,,,5.81,1.02,22.29,6.94,5.41,1.14,2.94,84.96,0.72,124.57,102.34,756.0,1.05,20.45,
2020-03-05 08:00:00,2020-03-05 09:00:00,,165.72,,,,,6.52,0.97,41.52,7.93,6.42,1.48,4.08,74.11,0.57,124.91,250.96,756.65,0.02,22.37,
2020-03-05 09:00:00,2020-03-05 10:00:00,,169.22,,,,,7.44,0.71,59.69,6.77,5.91,1.35,4.0,65.63,0.69,115.66,451.28,756.82,0.78,24.13,
2020-03-05 10:00:00,2020-03-05 11:00:00,,167.41,,,,,10.62,0.64,75.85,5.29,5.96,1.32,3.53,61.66,0.73,123.84,556.65,756.78,0.02,25.59,
2020-03-05 11:00:00,2020-03-05 12:00:00,,161.58,,,,,13.89,0.58,98.06,3.9,3.82,0.94,2.53,56.46,0.93,128.42,611.56,756.24,0.53,26.65,
2020-03-05 12:00:00,2020-03-05 13:00:00,,157.34,30.99,21.37,9.62,,12.29,0.61,103.69,4.7,5.77,1.42,3.52,50.83,0.67,122.99,594.34,755.3,1.34,27.95,
2020-03-05 13:00:00,2020-03-05 14:00:00,,150.79,17.87,16.86,2.66,,12.98,0.6,106.39,3.52,3.87,0.95,2.44,45.53,0.48,121.07,531.1,754.65,0.25,28.54,
2020-03-05 14:00:00,2020-03-05 15:00:00,,149.16,17.63,,0.0,,17.02,0.49,129.41,3.67,3.48,1.17,3.46,44.83,0.79,131.83,439.12,753.98,0.0,28.23,
2020-03-05 15:00:00,2020-03-05 16:00:00,,142.26,17.63,,0.0,,15.59,0.48,127.56,2.15,2.55,0.56,1.23,45.57,0.7,128.54,272.52,753.34,0.14,28.08,
2020-03-05 16:00:00,2020-03-05 17:00:00,,138.77,17.63,,0.0,,12.17,0.6,116.3,2.81,2.83,0.8,2.1,49.68,0.36,125.33,119.97,752.85,0.18,27.41,
2020-03-05 17:00:00,2020-03-05 18:00:00,,142.69,17.63,,0.0,,10.17,0.7,85.97,2.67,3.13,0.84,2.5,56.65,0.28,142.55,31.01,752.83,0.53,25.69,
2020-03-05 18:00:00,2020-03-05 19:00:00,,143.31,17.63,,0.0,,8.41,0.89,55.26,4.65,4.21,1.64,5.18,62.23,0.24,145.84,10.88,753.21,2.14,24.82,
2020-03-05 19:00:00,2020-03-05 20:00:00,,154.73,17.63,,0.0,,7.36,1.01,45.08,6.63,4.64,1.86,5.9,65.96,0.19,141.06,11.02,754.12,1.16,24.26,
2020-03-05 20:00:00,2020-03-05 21:00:00,,169.53,17.63,,0.0,,7.41,1.03,45.18,10.15,5.0,2.07,6.71,66.72,0.24,143.99,11.08,754.74,1.96,24.02,
2020-03-05 21:00:00,2020-03-05 22:00:00,,174.3,17.63,,0.0,,7.64,0.92,41.36,7.01,4.12,1.93,5.86,67.91,0.47,157.74,11.48,755.4,2.17,23.8,
2020-03-05 22:00:00,2020-03-05 23:00:00,,179.73,17.63,,0.0,,7.67,0.81,24.17,4.72,3.21,1.09,2.92,70.3,0.21,263.13,11.4,755.48,0.29,22.61,
2020-03-05 23:00:00,2020-03-06 00:00:00,,192.04,17.63,,0.0,,7.88,0.76,15.05,4.69,2.99,1.21,4.11,73.06,0.43,300.21,11.18,755.14,0.0,22.66,
2020-03-06 00:00:00,2020-03-06 01:00:00,,241.69,17.63,,0.0,,6.86,0.72,9.82,4.44,3.49,0.92,2.64,77.78,0.53,257.81,11.35,755.22,0.32,21.37,
2020-03-06 01:00:00,2020-03-06 02:00:00,,232.87,17.63,,0.0,,6.95,0.48,31.6,2.99,2.59,0.62,1.45,81.25,1.62,328.39,11.02,755.07,0.11,19.94,
2020-03-06 02:00:00,2020-03-06 03:00:00,,217.11,17.63,,0.0,,7.26,0.43,57.98,2.51,2.46,0.53,1.32,77.56,1.85,334.16,11.28,755.01,0.15,19.39,
2020-03-06 03:00:00,2020-03-06 04:00:00,,216.13,17.63,,0.0,,7.31,0.3,70.07,1.44,2.02,0.41,0.99,70.55,1.05,318.17,11.11,754.55,0.1,18.86,
2020-03-06 04:00:00,2020-03-06 05:00:00,,196.41,17.63,,0.0,,7.4,0.23,72.24,0.95,1.58,0.33,0.71,67.18,0.52,173.76,10.88,754.47,0.09,18.64,
2020-03-06 05:00:00,2020-03-06 06:00:00,,151.04,17.63,,0.0,,7.45,0.25,67.9,0.85,1.51,0.29,0.56,69.46,0.64,123.04,11.29,754.55,0.0,18.52,
2020-03-06 06:00:00,2020-03-06 07:00:00,,98.87,17.63,,0.0,,6.79,0.37,57.05,1.28,1.62,0.36,0.72,70.16,0.41,138.16,29.87,755.08,0.23,18.77,
2020-03-06 07:00:00,2020-03-06 08:00:00,,82.95,17.63,,0.0,,6.62,0.52,48.71,2.77,2.16,0.58,1.4,69.93,0.83,131.01,104.36,755.87,0.27,19.86,
2020-03-06 08:00:00,2020-03-06 09:00:00,,95.77,17.63,,0.0,,6.97,0.54,58.36,3.46,2.29,0.6,1.49,69.69,0.89,124.44,277.49,756.93,0.19,21.22,
2020-03-06 09:00:00,2020-03-06 10:00:00,,108.64,17.63,,0.0,,7.09,0.58,65.38,3.49,2.63,0.65,1.66,67.6,1.11,133.97,482.38,757.53,0.39,23.01,
2020-03-06 10:00:00,2020-03-06 11:00:00,,127.52,13.4,,0.12,,6.87,0.52,77.07,3.15,2.62,0.6,1.48,62.75,1.02,124.89,575.29,757.67,0.35,24.69,
2020-03-06 11:00:00,2020-03-06 12:00:00,48.63,148.07,,,0.33,,9.29,0.45,96.71,2.44,2.36,0.52,1.23,55.95,1.15,128.49,651.52,756.43,0.26,25.89,
2020-03-06 12:00:00,2020-03-06 13:00:00,55.84,154.1,8.85,8.1,0.73,8.06,14.52,0.46,109.18,2.08,2.57,0.5,1.11,50.48,1.11,123.49,649.0,754.19,0.43,26.82,
2020-03-06 13:00:00,2020-03-06 14:00:00,52.27,147.44,14.55,13.23,1.0,16.15,18.03,0.36,114.22,0.66,0.83,0.18,0.4,48.75,0.96,133.33,581.23,753.58,0.19,27.42,
