From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ug/m3),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),AT ()
2018-06-21 09:00:00,2018-06-21 10:00:00,18.0,37.0,3.59,5.53,9.16,1.42,,0.31,13.71,0.06,,,1.72,,73.14,0.43,184.11,
2018-06-21 10:00:00,2018-06-21 11:00:00,20.0,39.0,3.28,5.94,9.2,2.35,,0.16,15.65,0.05,,,3.14,,70.16,0.42,128.25,
2018-06-21 11:00:00,2018-06-21 12:00:00,,,,,,,,,,,,,,,,,,
2018-06-21 12:00:00,2018-06-21 13:00:00,,,,,,,,,,,,,,,,,,
2018-06-21 13:00:00,2018-06-21 14:00:00,14.0,30.0,1.63,6.6,8.3,5.9,,1.08,28.8,0.04,,,0.22,,55.68,0.43,205.75,
2018-06-21 14:00:00,2018-06-21 15:00:00,12.07,40.61,1.72,6.79,8.51,5.88,,0.73,31.86,0.04,,,0.23,,55.79,0.46,166.64,
2018-06-21 15:00:00,2018-06-21 16:00:00,11.06,36.15,1.48,6.26,7.73,5.99,,0.39,30.04,0.04,,,0.18,,55.04,0.44,173.53,
2018-06-21 16:00:00,2018-06-21 17:00:00,11.96,31.18,1.84,6.25,8.1,5.23,,0.48,22.68,0.04,,,0.25,,55.04,0.45,196.39,
2018-06-21 17:00:00,2018-06-21 18:00:00,12.96,40.64,2.59,6.02,8.63,4.22,,0.5,17.94,0.04,,,0.35,,59.21,0.43,211.48,
2018-06-21 18:00:00,2018-06-21 19:00:00,4.32,27.5,2.19,8.78,10.97,1.74,,0.64,16.52,0.04,,,0.55,,68.58,0.41,170.45,
2018-06-21 19:00:00,2018-06-21 20:00:00,12.25,33.12,2.36,7.41,9.77,1.3,0.03,0.43,15.2,0.05,,,0.65,,70.49,0.4,122.0,
2018-06-21 20:00:00,2018-06-21 21:00:00,13.0,27.0,2.44,7.75,10.18,,,0.21,12.86,0.05,,,1.13,,69.29,0.39,170.29,
2018-06-21 21:00:00,2018-06-21 22:00:00,16.0,36.0,2.78,8.89,11.66,,,0.15,10.88,0.06,,,3.56,,73.36,0.39,133.54,
2018-06-21 22:00:00,2018-06-21 23:00:00,20.0,42.0,3.95,7.44,11.35,0.85,0.11,0.3,13.07,0.07,,0.61,3.97,,72.33,0.42,117.21,
2018-06-21 23:00:00,2018-06-22 00:00:00,15.0,37.0,3.48,6.82,10.31,0.58,0.1,0.44,11.9,0.06,,,4.3,,75.13,0.41,209.83,
2018-06-22 00:00:00,2018-06-22 01:00:00,22.0,37.0,4.79,7.35,12.16,0.5,0.25,,10.79,0.05,,,4.23,,76.75,0.41,199.0,
2018-06-22 01:00:00,2018-06-22 02:00:00,17.0,38.0,4.31,6.16,10.51,0.41,0.2,0.46,12.11,0.05,,,4.46,,79.26,0.42,166.22,
2018-06-22 02:00:00,2018-06-22 03:00:00,20.0,24.0,3.1,5.07,8.13,2.03,,1.35,13.0,0.05,,,4.26,,79.33,0.43,149.0,
2018-06-22 03:00:00,2018-06-22 04:00:00,20.0,26.0,2.8,4.07,6.9,0.27,,0.6,11.97,0.05,,,1.59,,80.23,0.4,245.0,
2018-06-22 04:00:00,2018-06-22 05:00:00,17.0,23.0,1.83,3.5,5.37,,,0.3,12.87,0.04,,,1.35,,82.67,0.4,197.33,
2018-06-22 05:00:00,2018-06-22 06:00:00,,,,,,,,,,,,,,,,,,
2018-06-22 06:00:00,2018-06-22 07:00:00,,,,,,,,,,,,,,,,,,
2018-06-22 07:00:00,2018-06-22 08:00:00,,,,,,,,,,,,,,,,,,
2018-06-22 08:00:00,2018-06-22 09:00:00,13.0,37.0,3.37,4.6,7.9,,,0.33,12.2,0.03,,,2.82,,76.7,0.4,81.0,
2018-06-22 09:00:00,2018-06-22 10:00:00,20.0,38.0,2.75,4.91,7.66,,,0.31,14.26,0.03,,,0.82,,71.62,0.4,239.96,
2018-06-22 10:00:00,2018-06-22 11:00:00,15.0,34.0,2.51,4.77,7.28,0.74,,0.22,17.53,0.04,,,0.85,,67.32,0.41,176.76,
2018-06-22 11:00:00,2018-06-22 12:00:00,10.31,40.78,2.17,4.16,6.32,1.63,,0.62,18.65,0.0,,,0.12,,63.94,0.45,181.78,
2018-06-22 12:00:00,2018-06-22 13:00:00,12.89,9.66,2.96,7.13,10.08,1.68,,0.61,36.65,0.03,,,1.19,,60.48,0.41,187.56,
2018-06-22 13:00:00,2018-06-22 14:00:00,12.04,,2.69,11.29,14.03,0.6,,0.51,43.27,0.03,,0.09,1.19,,58.16,0.41,193.83,
2018-06-22 14:00:00,2018-06-22 15:00:00,13.93,943.96,2.74,13.31,16.06,1.0,,0.84,56.36,0.03,,0.09,0.79,,59.81,0.4,171.14,
2018-06-22 15:00:00,2018-06-22 16:00:00,15.54,85.12,2.43,13.35,15.8,0.71,,0.73,45.56,0.03,,0.57,0.9,,59.42,0.4,161.88,
2018-06-22 16:00:00,2018-06-22 17:00:00,17.0,951.46,3.88,15.64,19.53,0.69,,0.65,39.07,0.04,,0.84,1.33,,61.14,0.39,176.34,
2018-06-22 17:00:00,2018-06-22 18:00:00,22.81,985.0,3.18,21.94,25.12,,,0.72,36.83,0.04,,0.83,1.32,,61.75,0.35,187.52,
2018-06-22 18:00:00,2018-06-22 19:00:00,23.94,954.22,2.49,22.92,25.41,1.01,,1.25,39.54,0.05,,0.52,1.41,,63.1,0.36,178.74,
2018-06-22 19:00:00,2018-06-22 20:00:00,34.31,954.22,2.34,22.25,24.59,0.45,,0.13,32.43,0.09,,,1.55,,64.38,0.37,166.44,
2018-06-22 20:00:00,2018-06-22 21:00:00,44.11,109.82,2.53,15.0,17.55,0.88,,0.97,27.95,0.08,,,1.56,,70.55,0.4,179.72,
2018-06-22 21:00:00,2018-06-22 22:00:00,35.14,51.38,3.27,13.2,16.45,0.3,,1.48,23.18,0.06,,,1.19,,83.78,0.39,159.37,
2018-06-22 22:00:00,2018-06-22 23:00:00,23.57,26.11,3.51,12.53,16.05,,,1.26,19.14,0.05,,,1.08,,81.48,0.39,205.33,
2018-06-22 23:00:00,2018-06-23 00:00:00,20.14,36.48,4.2,14.53,18.75,,,1.39,13.43,0.05,,,1.03,,85.04,0.39,139.94,
2018-06-23 00:00:00,2018-06-23 01:00:00,26.0,36.0,5.15,13.88,19.03,,,1.98,14.6,0.05,,,1.31,,83.64,0.39,174.47,
2018-06-23 01:00:00,2018-06-23 02:00:00,18.5,26.44,7.02,14.75,21.75,,,1.21,13.56,0.05,,,1.29,,84.27,0.39,188.57,
2018-06-23 02:00:00,2018-06-23 03:00:00,19.22,25.22,4.78,10.32,15.06,,,0.86,22.38,0.04,,0.12,1.3,,80.04,0.43,157.92,
2018-06-23 03:00:00,2018-06-23 04:00:00,11.86,13.06,3.12,6.87,9.96,1.17,,0.92,24.7,0.04,,1.02,1.79,,80.03,0.44,193.37,
2018-06-23 04:00:00,2018-06-23 05:00:00,6.0,9.14,3.4,7.14,10.52,0.46,,0.92,23.21,0.03,,1.01,1.7,,82.74,0.41,191.47,
2018-06-23 05:00:00,2018-06-23 06:00:00,5.06,10.25,3.55,8.18,11.73,0.3,,0.84,21.44,0.03,,1.01,1.65,,84.01,0.41,179.48,
2018-06-23 06:00:00,2018-06-23 07:00:00,7.81,13.9,5.53,9.86,15.39,0.04,0.27,1.31,21.14,0.03,,1.06,1.72,,83.64,0.41,176.48,
2018-06-23 07:00:00,2018-06-23 08:00:00,6.12,923.88,5.9,9.28,15.18,,0.12,0.52,22.64,0.04,,1.11,1.81,,79.66,0.4,239.18,
2018-06-23 08:00:00,2018-06-23 09:00:00,7.88,954.22,6.0,9.57,15.57,,0.12,1.1,25.19,0.04,,1.1,1.79,,75.24,0.41,164.18,
2018-06-23 09:00:00,2018-06-23 10:00:00,15.5,52.79,4.85,9.33,14.16,,,1.15,30.72,0.04,,1.11,1.8,,70.42,0.41,210.5,
2018-06-23 10:00:00,2018-06-23 11:00:00,14.14,457.32,4.1,10.41,14.52,0.45,,1.3,31.45,0.03,,1.01,1.67,,67.29,0.39,176.43,
2018-06-23 11:00:00,2018-06-23 12:00:00,16.57,751.25,3.84,10.75,14.57,0.54,,1.52,36.04,0.03,,0.3,1.37,,62.87,0.39,187.55,
2018-06-23 12:00:00,2018-06-23 13:00:00,21.75,48.5,2.79,11.25,14.04,,,0.58,40.59,0.03,,0.2,1.09,,56.79,0.4,140.93,
2018-06-23 13:00:00,2018-06-23 14:00:00,16.38,45.0,2.88,9.51,12.39,0.4,,0.45,40.88,0.02,,0.06,0.89,,53.49,0.42,173.03,
2018-06-23 14:00:00,2018-06-23 15:00:00,20.69,47.0,2.54,9.81,12.32,0.46,,0.66,45.6,0.02,,0.34,1.0,,50.98,0.41,129.0,
2018-06-23 15:00:00,2018-06-23 16:00:00,23.82,916.46,2.28,10.84,13.11,0.21,,0.68,51.59,0.02,,0.31,1.06,,53.9,0.43,197.28,
2018-06-23 16:00:00,2018-06-23 17:00:00,21.5,81.4,2.2,14.55,16.76,,,1.39,40.01,0.03,,,1.15,,62.24,0.42,166.01,
2018-06-23 17:00:00,2018-06-23 18:00:00,22.97,50.0,1.95,11.47,13.42,0.24,,1.48,38.51,0.04,,0.27,1.25,,63.23,0.4,173.06,
2018-06-23 18:00:00,2018-06-23 19:00:00,16.29,38.93,2.48,10.98,13.47,0.16,,1.16,29.57,0.03,,0.49,1.19,,68.34,0.41,139.48,
2018-06-23 19:00:00,2018-06-23 20:00:00,26.64,46.75,3.78,12.12,15.85,,,0.32,25.24,0.05,,0.38,1.4,,76.55,0.41,150.95,
2018-06-23 20:00:00,2018-06-23 21:00:00,5.79,20.0,4.64,14.68,19.33,,,1.78,18.05,0.04,,0.98,1.68,,79.81,0.39,199.67,
2018-06-23 21:00:00,2018-06-23 22:00:00,3.94,19.97,6.38,21.51,27.89,,,1.29,12.89,0.05,,1.01,1.71,,83.28,0.37,169.38,
2018-06-23 22:00:00,2018-06-23 23:00:00,13.64,18.07,7.44,21.2,28.7,,,1.93,12.16,0.07,,1.06,1.79,,84.33,0.4,183.03,
2018-06-23 23:00:00,2018-06-24 00:00:00,14.96,20.87,8.68,19.08,27.74,,,0.4,16.74,0.08,,1.1,1.85,,81.2,0.4,200.39,
2018-06-24 00:00:00,2018-06-24 01:00:00,15.33,20.0,6.79,13.49,20.26,,,1.41,20.82,0.05,,1.13,1.87,,76.54,0.41,189.44,
2018-06-24 01:00:00,2018-06-24 02:00:00,16.97,27.72,6.35,13.01,19.36,,0.17,2.33,20.16,0.05,,1.13,1.82,,77.31,0.39,174.08,
2018-06-24 02:00:00,2018-06-24 03:00:00,18.88,30.91,5.85,10.66,16.49,,0.05,1.46,21.65,0.04,,1.13,1.8,,79.37,0.41,190.22,
2018-06-24 03:00:00,2018-06-24 04:00:00,15.25,31.0,5.13,8.39,13.54,0.09,0.23,1.31,21.84,0.04,,1.14,1.81,,81.32,0.4,178.42,
2018-06-24 04:00:00,2018-06-24 05:00:00,17.81,34.88,3.54,6.66,10.18,0.03,,1.29,23.62,0.03,,0.39,1.68,,79.96,0.4,155.69,
2018-06-24 05:00:00,2018-06-24 06:00:00,24.56,37.9,3.99,7.23,11.22,,,0.89,20.65,0.03,,,1.34,,81.39,0.4,189.1,
2018-06-24 06:00:00,2018-06-24 07:00:00,22.19,35.1,5.19,8.33,13.54,,,1.52,18.09,0.03,,,1.03,,83.5,0.4,186.88,
2018-06-24 07:00:00,2018-06-24 08:00:00,20.12,35.0,6.92,9.62,16.55,,,0.57,17.26,0.03,,,1.03,,80.95,0.41,144.44,
2018-06-24 08:00:00,2018-06-24 09:00:00,24.69,37.9,5.96,9.18,15.15,,,,19.86,0.03,,,0.98,,74.25,0.44,181.37,
2018-06-24 09:00:00,2018-06-24 10:00:00,24.06,49.94,4.89,9.56,14.44,,,0.95,23.81,0.03,,,0.92,,67.91,0.45,140.26,
2018-06-24 10:00:00,2018-06-24 11:00:00,21.09,67.5,4.04,9.32,13.35,,,0.95,29.97,0.03,,,0.88,,60.68,0.46,191.47,
2018-06-24 11:00:00,2018-06-24 12:00:00,28.5,64.0,3.15,8.01,11.16,,,1.12,30.89,0.03,,,0.86,,57.79,0.44,180.74,
2018-06-24 12:00:00,2018-06-24 13:00:00,24.16,71.44,3.21,7.54,10.76,,,1.29,32.65,0.04,,0.31,1.11,,57.43,0.43,157.77,
2018-06-24 13:00:00,2018-06-24 14:00:00,12.38,58.5,3.04,6.84,9.88,,,1.82,34.8,0.04,,0.9,1.69,,52.12,0.45,197.79,
2018-06-24 14:00:00,2018-06-24 15:00:00,10.12,65.56,2.7,7.02,9.74,,,0.74,38.8,0.03,,0.88,1.63,,51.0,0.44,174.28,
2018-06-24 15:00:00,2018-06-24 16:00:00,20.66,58.31,2.61,7.76,10.37,,,1.43,40.11,0.03,,0.88,1.62,,48.72,0.45,202.02,
2018-06-24 16:00:00,2018-06-24 17:00:00,20.06,57.03,2.84,9.09,11.96,,,0.47,42.12,0.03,,0.88,1.64,,50.0,0.43,170.3,
2018-06-24 17:00:00,2018-06-24 18:00:00,21.88,57.97,2.8,10.3,13.08,,,0.8,35.66,0.06,,0.89,1.67,,51.91,0.47,174.38,
2018-06-24 18:00:00,2018-06-24 19:00:00,14.5,48.31,3.07,13.37,16.42,,,0.67,27.83,0.06,,0.92,1.67,,59.77,0.4,200.65,
2018-06-24 19:00:00,2018-06-24 20:00:00,21.5,45.1,4.14,13.91,18.08,,,0.4,22.35,0.06,,0.93,1.67,,62.51,0.42,201.78,
2018-06-24 20:00:00,2018-06-24 21:00:00,21.06,46.4,4.93,13.28,18.19,,,1.29,17.77,0.06,,0.92,1.62,,71.91,0.41,191.13,
2018-06-24 21:00:00,2018-06-24 22:00:00,22.94,35.4,6.45,13.93,20.41,,,2.05,14.48,0.06,,0.09,1.53,,74.84,0.4,184.75,
2018-06-24 22:00:00,2018-06-24 23:00:00,28.62,40.81,6.46,14.2,20.68,,,1.03,14.36,0.06,,,0.93,,72.51,0.4,173.64,
2018-06-24 23:00:00,2018-06-25 00:00:00,20.75,32.37,6.11,15.26,21.39,,,0.91,12.98,0.05,,,0.92,,73.67,0.4,176.37,
2018-06-25 00:00:00,2018-06-25 01:00:00,17.0,30.0,7.26,12.28,19.53,,,1.57,11.92,0.04,,,1.13,,76.42,0.39,163.59,
2018-06-25 01:00:00,2018-06-25 02:00:00,19.81,33.88,6.06,12.28,18.32,,,1.26,12.77,0.04,,,1.27,,78.66,0.39,171.79,
2018-06-25 02:00:00,2018-06-25 03:00:00,20.0,39.81,5.49,9.34,14.82,,,0.44,14.41,0.03,,,1.06,,80.64,0.4,188.41,
2018-06-25 03:00:00,2018-06-25 04:00:00,16.25,33.22,4.26,7.75,12.02,,,0.99,13.77,0.03,,,1.02,,82.53,0.36,172.72,
2018-06-25 04:00:00,2018-06-25 05:00:00,15.06,40.75,4.9,7.84,12.75,,,1.57,13.68,0.03,,,1.04,,84.21,0.39,200.07,
2018-06-25 05:00:00,2018-06-25 06:00:00,18.75,39.06,4.54,6.01,10.56,,,1.24,16.33,0.03,,0.56,1.42,,84.48,0.4,178.16,
2018-06-25 06:00:00,2018-06-25 07:00:00,6.81,38.03,5.88,7.65,13.54,,,1.34,17.09,0.03,,0.97,1.62,,81.56,0.4,167.68,
2018-06-25 07:00:00,2018-06-25 08:00:00,11.62,27.44,6.64,7.99,14.64,,,0.9,17.81,0.03,,0.99,1.61,,78.64,0.41,176.24,
2018-06-25 08:00:00,2018-06-25 09:00:00,11.03,34.78,7.08,8.69,15.76,,,1.24,22.47,0.04,,1.03,1.64,,72.54,0.44,170.09,
2018-06-25 09:00:00,2018-06-25 10:00:00,16.62,38.88,5.71,9.23,14.91,,,1.82,27.8,0.04,,0.99,1.58,,66.89,0.45,195.7,
2018-06-25 10:00:00,2018-06-25 11:00:00,16.06,33.19,3.74,10.74,14.48,0.18,,0.96,39.01,0.04,,0.87,1.39,,61.12,0.47,188.51,
2018-06-25 11:00:00,2018-06-25 12:00:00,17.9,50.1,3.03,10.75,13.76,0.45,,1.92,41.9,0.04,,0.6,0.98,,58.65,0.47,197.36,
2018-06-25 12:00:00,2018-06-25 13:00:00,19.0,48.19,3.01,8.71,11.73,0.57,,1.42,36.66,0.03,0.24,0.65,1.07,,58.74,0.48,176.27,
2018-06-25 13:00:00,2018-06-25 14:00:00,12.22,36.38,3.51,11.33,14.85,0.26,10.22,1.07,40.95,0.03,0.21,0.58,1.05,,58.8,0.45,185.45,
2018-06-25 14:00:00,2018-06-25 15:00:00,16.38,35.06,3.21,13.36,16.57,,10.07,1.3,42.7,0.03,0.18,0.16,0.78,,59.79,0.48,224.47,
2018-06-25 15:00:00,2018-06-25 16:00:00,18.0,35.46,3.68,9.55,13.24,,9.97,2.73,35.7,0.02,0.16,0.16,0.68,,49.58,0.49,143.94,
2018-06-25 16:00:00,2018-06-25 17:00:00,14.12,45.72,3.3,9.74,13.03,,10.11,1.13,37.18,0.02,0.2,0.12,0.96,,52.15,0.46,196.26,
2018-06-25 17:00:00,2018-06-25 18:00:00,24.61,47.93,3.47,9.88,13.36,,9.99,1.23,28.61,0.02,0.2,0.21,0.99,,56.21,0.45,164.05,
2018-06-25 18:00:00,2018-06-25 19:00:00,15.62,47.44,4.25,10.88,15.15,,9.97,1.71,23.93,0.02,0.15,0.33,0.77,,58.61,0.42,178.92,
2018-06-25 19:00:00,2018-06-25 20:00:00,,,,,,,,,,,,,,,,,,
2018-06-25 20:00:00,2018-06-25 21:00:00,24.0,60.0,5.62,19.02,24.61,,9.85,0.59,15.09,0.06,0.31,,1.09,,65.05,0.39,208.71,
2018-06-25 21:00:00,2018-06-25 22:00:00,28.0,52.0,4.17,10.84,15.03,,9.8,1.46,20.53,0.06,0.35,,1.21,,74.19,0.42,154.48,
2018-06-25 22:00:00,2018-06-25 23:00:00,15.0,29.0,4.17,7.9,12.1,,9.96,3.91,24.83,0.04,0.25,0.73,1.21,,73.5,0.47,268.67,
2018-06-25 23:00:00,2018-06-26 00:00:00,16.0,34.0,5.17,11.13,16.37,,10.17,3.89,15.27,0.04,0.27,0.83,1.35,,81.43,0.4,148.0,
2018-06-26 00:00:00,2018-06-26 01:00:00,16.62,38.0,7.2,13.99,21.18,,10.24,1.65,13.18,0.05,0.42,0.95,1.5,,79.55,0.39,176.38,
2018-06-26 01:00:00,2018-06-26 02:00:00,20.0,35.0,7.0,11.7,18.67,,10.2,,11.13,0.07,0.47,1.01,1.63,,84.8,0.4,192.0,
2018-06-26 02:00:00,2018-06-26 03:00:00,20.0,31.0,6.16,8.98,15.07,,10.32,2.15,15.05,0.07,0.44,0.96,1.54,,84.68,0.4,200.72,
2018-06-26 03:00:00,2018-06-26 04:00:00,16.0,30.0,5.58,9.05,14.65,,10.31,,15.94,0.06,0.41,1.0,1.58,,84.17,0.38,178.61,
2018-06-26 04:00:00,2018-06-26 05:00:00,15.0,31.0,5.4,8.23,13.6,,10.32,,18.9,0.08,0.49,1.01,1.59,,84.0,0.5,143.33,
2018-06-26 05:00:00,2018-06-26 06:00:00,8.0,15.0,4.97,6.16,11.14,,10.26,1.63,19.6,0.05,0.41,0.93,1.44,,83.91,0.4,137.83,
2018-06-26 06:00:00,2018-06-26 07:00:00,12.0,23.0,5.82,9.54,15.37,,10.29,,17.6,0.04,0.47,0.93,1.46,,83.73,0.39,118.02,
2018-06-26 07:00:00,2018-06-26 08:00:00,16.0,28.0,6.53,8.09,14.59,,9.93,,20.09,0.05,0.32,0.53,1.17,,79.2,0.42,262.33,
2018-06-26 08:00:00,2018-06-26 09:00:00,26.0,33.0,6.07,7.7,13.7,,9.81,1.8,23.2,0.05,0.32,0.89,1.4,,69.53,0.47,124.33,
2018-06-26 09:00:00,2018-06-26 10:00:00,17.0,32.0,4.05,8.03,12.08,,9.73,1.24,26.95,0.03,0.24,,0.86,,68.0,0.48,182.17,
2018-06-26 10:00:00,2018-06-26 11:00:00,18.0,27.0,3.35,6.75,10.1,,9.74,1.61,31.91,0.03,0.2,0.13,1.0,,59.61,0.5,146.59,
2018-06-26 11:00:00,2018-06-26 12:00:00,15.11,41.47,2.63,6.77,9.39,,9.8,0.7,44.36,0.02,0.15,0.29,1.01,,55.56,0.49,184.22,
2018-06-26 12:00:00,2018-06-26 13:00:00,8.19,41.62,2.44,7.07,9.53,,9.81,0.69,48.92,0.02,0.09,0.19,0.65,,51.93,0.5,178.8,
2018-06-26 13:00:00,2018-06-26 14:00:00,12.85,50.1,2.63,7.12,9.76,,9.8,0.36,43.75,0.02,0.08,0.32,0.6,,46.65,0.5,185.85,
2018-06-26 14:00:00,2018-06-26 15:00:00,16.62,61.64,2.81,6.56,9.38,0.15,9.89,0.14,40.77,0.01,0.1,0.31,0.76,,48.02,0.47,179.6,
2018-06-26 15:00:00,2018-06-26 16:00:00,17.03,58.12,2.94,6.26,9.2,1.03,10.13,1.3,38.95,0.02,0.14,0.54,0.95,,48.08,0.5,169.26,
