From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3)
2020-01-25 18:00:00,2020-01-25 19:00:00,15.9,78.66,0.92,41.61,42.53,,1.98,0.5
2020-01-25 19:00:00,2020-01-25 20:00:00,23.16,45.23,1.13,39.28,40.41,,2.11,0.34
2020-01-25 20:00:00,2020-01-25 21:00:00,23.64,89.92,0.94,42.41,43.35,,2.03,0.63
2020-01-25 21:00:00,2020-01-25 22:00:00,36.92,102.13,1.24,43.82,45.06,,2.15,1.87
2020-01-25 22:00:00,2020-01-25 23:00:00,31.62,154.24,1.27,42.11,43.38,,2.3,1.98
2020-01-25 23:00:00,2020-01-26 00:00:00,46.0,139.51,1.27,41.69,42.96,,2.42,2.11
2020-01-26 00:00:00,2020-01-26 01:00:00,41.01,156.13,1.26,40.82,42.08,,2.3,2.04
2020-01-26 01:00:00,2020-01-26 02:00:00,33.69,169.16,1.6,38.12,39.72,,2.58,1.66
2020-01-26 02:00:00,2020-01-26 03:00:00,34.19,147.99,1.22,33.94,35.16,,2.64,1.55
2020-01-26 03:00:00,2020-01-26 04:00:00,31.85,162.27,1.89,32.19,34.09,,2.85,1.47
2020-01-26 04:00:00,2020-01-26 05:00:00,28.89,122.12,1.5,33.89,35.38,,2.21,1.0
2020-01-26 05:00:00,2020-01-26 06:00:00,27.15,101.77,1.7,32.45,34.15,,2.33,0.91
2020-01-26 06:00:00,2020-01-26 07:00:00,24.25,83.39,1.07,37.63,38.7,,2.33,0.88
2020-01-26 07:00:00,2020-01-26 08:00:00,35.68,115.48,1.51,40.67,42.18,,2.54,1.4
2020-01-26 08:00:00,2020-01-26 09:00:00,50.32,198.74,2.54,42.39,44.94,,1.76,2.08
2020-01-26 09:00:00,2020-01-26 10:00:00,48.92,163.5,1.52,43.98,45.5,,1.34,1.4
2020-01-26 10:00:00,2020-01-26 11:00:00,26.88,109.99,0.82,38.21,39.04,,0.94,1.24
2020-01-26 11:00:00,2020-01-26 12:00:00,16.4,83.68,1.08,27.5,28.59,,1.02,1.06
2020-01-26 12:00:00,2020-01-26 13:00:00,15.52,61.59,1.05,22.5,23.54,,1.74,0.93
2020-01-26 13:00:00,2020-01-26 14:00:00,16.12,40.91,0.99,19.69,20.69,,1.69,0.46
2020-01-26 14:00:00,2020-01-26 15:00:00,8.93,33.92,1.01,18.15,19.16,,1.29,0.6
2020-01-26 15:00:00,2020-01-26 16:00:00,10.99,33.26,1.12,17.89,19.01,,0.85,0.72
2020-01-26 16:00:00,2020-01-26 17:00:00,10.82,39.4,0.86,16.91,17.77,,1.74,0.7
2020-01-26 17:00:00,2020-01-26 18:00:00,10.28,44.45,1.06,18.73,19.79,,1.8,0.51
2020-01-26 18:00:00,2020-01-26 19:00:00,8.01,43.76,1.06,23.43,24.49,,2.14,0.37
2020-01-26 19:00:00,2020-01-26 20:00:00,16.07,51.61,1.16,32.17,33.33,,2.35,0.43
2020-01-26 20:00:00,2020-01-26 21:00:00,19.57,76.1,0.83,35.51,36.34,,2.01,0.7
2020-01-26 21:00:00,2020-01-26 22:00:00,26.3,118.37,1.01,36.73,37.73,,2.01,1.29
2020-01-26 22:00:00,2020-01-26 23:00:00,28.81,106.06,1.09,34.26,35.34,,1.99,1.29
2020-01-26 23:00:00,2020-01-27 00:00:00,27.79,85.57,1.1,29.03,30.13,,2.03,1.08
2020-01-27 00:00:00,2020-01-27 01:00:00,25.19,92.67,1.41,35.49,36.9,,1.99,1.1
2020-01-27 01:00:00,2020-01-27 02:00:00,32.7,96.2,1.0,38.92,39.92,,2.09,1.06
2020-01-27 02:00:00,2020-01-27 03:00:00,20.8,74.78,0.95,29.13,30.09,,2.03,0.78
2020-01-27 03:00:00,2020-01-27 04:00:00,15.78,64.69,1.0,20.2,21.19,,1.97,0.65
2020-01-27 04:00:00,2020-01-27 05:00:00,11.57,53.78,0.95,16.03,16.98,,1.86,0.59
2020-01-27 05:00:00,2020-01-27 06:00:00,14.56,29.21,1.09,14.36,15.45,,1.81,0.52
2020-01-27 06:00:00,2020-01-27 07:00:00,11.1,39.19,0.69,13.73,14.21,,1.69,0.58
2020-01-27 07:00:00,2020-01-27 08:00:00,16.87,31.69,0.95,14.9,15.85,,1.62,0.53
2020-01-27 08:00:00,2020-01-27 09:00:00,22.66,51.8,0.97,17.34,18.32,,2.06,0.64
2020-01-27 09:00:00,2020-01-27 10:00:00,15.63,49.46,0.81,18.7,19.51,,1.85,0.73
2020-01-27 10:00:00,2020-01-27 11:00:00,13.17,66.94,0.94,19.72,20.66,,1.54,1.73
2020-01-27 11:00:00,2020-01-27 12:00:00,20.74,101.06,1.02,22.89,23.91,,1.81,2.65
2020-01-27 12:00:00,2020-01-27 13:00:00,17.74,108.59,0.94,19.99,20.75,,1.71,2.7
2020-01-27 13:00:00,2020-01-27 14:00:00,12.03,100.97,0.85,20.5,21.35,,1.39,0.77
2020-01-27 14:00:00,2020-01-27 15:00:00,19.46,112.53,1.11,22.97,24.08,,1.54,0.67
2020-01-27 15:00:00,2020-01-27 16:00:00,12.04,95.53,1.01,26.36,27.38,,1.64,0.76
2020-01-27 16:00:00,2020-01-27 17:00:00,23.73,104.21,1.1,20.07,21.18,,1.99,0.74
2020-01-27 17:00:00,2020-01-27 18:00:00,40.56,102.34,0.7,24.29,24.89,,1.97,0.6
2020-01-27 18:00:00,2020-01-27 19:00:00,23.51,90.39,1.11,22.39,23.5,,2.41,
2020-01-27 19:00:00,2020-01-27 20:00:00,7.06,46.42,1.01,22.93,23.94,,1.66,
2020-01-27 20:00:00,2020-01-27 21:00:00,11.46,82.03,1.03,25.34,26.37,,1.65,
2020-01-27 21:00:00,2020-01-27 22:00:00,6.06,103.45,1.06,25.82,26.88,,1.94,1.02
2020-01-27 22:00:00,2020-01-27 23:00:00,21.57,111.45,1.15,24.0,25.15,,2.24,0.77
2020-01-27 23:00:00,2020-01-28 00:00:00,20.05,91.38,0.95,20.61,21.56,,2.26,0.58
2020-01-28 00:00:00,2020-01-28 01:00:00,17.54,81.09,1.11,17.68,18.8,,1.93,0.52
2020-01-28 01:00:00,2020-01-28 02:00:00,13.77,54.07,0.85,15.57,16.42,,1.95,0.62
2020-01-28 02:00:00,2020-01-28 03:00:00,7.45,33.34,1.03,14.84,15.88,,1.88,0.61
2020-01-28 03:00:00,2020-01-28 04:00:00,13.5,36.05,1.11,14.03,15.14,,1.84,0.63
2020-01-28 04:00:00,2020-01-28 05:00:00,15.03,22.52,1.04,13.7,14.74,,2.28,0.64
2020-01-28 05:00:00,2020-01-28 06:00:00,9.72,43.51,0.96,16.52,17.48,,2.27,0.43
2020-01-28 06:00:00,2020-01-28 07:00:00,9.92,55.94,0.91,21.5,22.42,,2.26,0.54
2020-01-28 07:00:00,2020-01-28 08:00:00,16.55,50.22,0.88,23.61,24.47,,2.31,0.65
2020-01-28 08:00:00,2020-01-28 09:00:00,22.41,89.56,0.99,25.63,26.62,,1.89,0.79
2020-01-28 09:00:00,2020-01-28 10:00:00,22.89,88.53,0.89,24.02,24.9,,1.77,0.88
2020-01-28 10:00:00,2020-01-28 11:00:00,39.25,149.92,1.12,21.59,22.71,,1.47,1.97
2020-01-28 11:00:00,2020-01-28 12:00:00,38.97,126.94,0.58,18.73,19.16,,1.32,2.57
2020-01-28 12:00:00,2020-01-28 13:00:00,38.47,127.27,0.89,16.95,17.83,,1.67,2.56
2020-01-28 13:00:00,2020-01-28 14:00:00,26.44,79.39,1.07,17.89,18.97,,1.55,0.63
2020-01-28 14:00:00,2020-01-28 15:00:00,29.27,96.85,0.91,17.61,18.45,,1.52,0.7
2020-01-28 15:00:00,2020-01-28 16:00:00,24.16,99.4,1.13,20.49,21.62,,1.5,0.75
2020-01-28 16:00:00,2020-01-28 17:00:00,18.93,85.31,0.77,19.49,20.22,,1.81,0.76
2020-01-28 17:00:00,2020-01-28 18:00:00,30.84,94.45,1.0,24.8,25.81,,1.77,0.69
2020-01-28 18:00:00,2020-01-28 19:00:00,20.1,86.32,0.87,28.32,29.05,,1.72,0.32
2020-01-28 19:00:00,2020-01-28 20:00:00,17.46,72.58,0.86,28.04,28.9,,1.71,0.17
2020-01-28 20:00:00,2020-01-28 21:00:00,23.04,94.84,1.09,28.79,29.88,,1.86,0.38
2020-01-28 21:00:00,2020-01-28 22:00:00,27.29,96.5,1.09,28.45,29.54,,1.94,1.36
2020-01-28 22:00:00,2020-01-28 23:00:00,24.99,123.53,1.18,26.39,27.57,,2.06,1.31
2020-01-28 23:00:00,2020-01-29 00:00:00,24.35,107.39,1.09,24.85,25.93,,2.11,1.15
2020-01-29 00:00:00,2020-01-29 01:00:00,20.68,100.48,1.04,22.31,23.35,,2.03,0.97
2020-01-29 01:00:00,2020-01-29 02:00:00,18.84,67.44,1.08,21.85,22.94,,2.08,0.85
2020-01-29 02:00:00,2020-01-29 03:00:00,17.72,72.2,0.85,20.33,21.17,,2.09,0.8
2020-01-29 03:00:00,2020-01-29 04:00:00,11.54,81.16,0.98,19.38,20.36,,2.04,0.79
2020-01-29 04:00:00,2020-01-29 05:00:00,14.57,67.55,0.95,17.99,18.95,,1.81,0.73
2020-01-29 05:00:00,2020-01-29 06:00:00,15.17,59.03,1.01,16.86,17.87,,1.74,0.73
2020-01-29 06:00:00,2020-01-29 07:00:00,12.79,59.76,1.08,16.54,17.61,,1.81,0.78
2020-01-29 07:00:00,2020-01-29 08:00:00,9.95,57.05,1.1,19.09,20.18,,1.81,0.91
2020-01-29 08:00:00,2020-01-29 09:00:00,21.18,86.6,1.12,23.22,24.34,,1.97,0.93
2020-01-29 09:00:00,2020-01-29 10:00:00,20.86,96.62,0.94,21.58,22.52,,1.94,0.83
2020-01-29 10:00:00,2020-01-29 11:00:00,31.73,117.18,0.74,16.7,17.27,,1.86,1.19
2020-01-29 11:00:00,2020-01-29 12:00:00,19.3,113.47,0.87,19.34,20.2,,1.92,1.66
2020-01-29 12:00:00,2020-01-29 13:00:00,16.04,90.43,1.06,16.48,17.54,,1.96,1.67
2020-01-29 13:00:00,2020-01-29 14:00:00,9.57,78.94,1.18,15.98,17.16,,1.77,0.48
2020-01-29 14:00:00,2020-01-29 15:00:00,16.15,88.58,0.98,18.27,19.26,,1.81,0.43
2020-01-29 15:00:00,2020-01-29 16:00:00,12.75,73.89,1.03,19.38,20.41,,1.68,0.2
2020-01-29 16:00:00,2020-01-29 17:00:00,7.59,88.99,1.09,16.41,17.51,,1.83,0.03
2020-01-29 17:00:00,2020-01-29 18:00:00,15.0,62.17,0.91,19.02,19.93,,1.9,0.53
2020-01-29 18:00:00,2020-01-29 19:00:00,11.97,54.06,1.05,19.34,20.39,,2.09,0.52
2020-01-29 19:00:00,2020-01-29 20:00:00,11.38,44.79,1.13,21.71,22.84,,1.98,0.63
2020-01-29 20:00:00,2020-01-29 21:00:00,12.43,47.22,1.04,24.29,25.33,,1.62,0.65
2020-01-29 21:00:00,2020-01-29 22:00:00,20.48,77.82,0.62,23.41,23.62,,1.84,2.1
2020-01-29 22:00:00,2020-01-29 23:00:00,31.73,56.67,1.09,24.74,25.84,,1.51,0.35
2020-01-29 23:00:00,2020-01-30 00:00:00,24.06,60.2,1.03,25.74,26.77,,1.49,0.52
2020-01-30 00:00:00,2020-01-30 01:00:00,20.66,54.47,1.06,26.02,27.08,,1.8,0.53
2020-01-30 01:00:00,2020-01-30 02:00:00,25.5,35.78,0.97,25.68,26.64,,1.8,0.51
2020-01-30 02:00:00,2020-01-30 03:00:00,24.56,63.88,0.98,22.51,23.49,,1.8,0.75
2020-01-30 03:00:00,2020-01-30 04:00:00,34.47,66.53,1.02,19.57,20.59,,1.77,0.81
2020-01-30 04:00:00,2020-01-30 05:00:00,34.82,62.77,1.12,18.93,20.05,,1.75,0.81
2020-01-30 05:00:00,2020-01-30 06:00:00,30.94,54.73,1.1,16.58,17.67,,1.79,0.87
2020-01-30 06:00:00,2020-01-30 07:00:00,20.87,39.98,1.18,15.91,17.09,,1.71,0.93
2020-01-30 07:00:00,2020-01-30 08:00:00,23.4,29.04,1.12,18.32,19.44,,1.71,0.95
2020-01-30 08:00:00,2020-01-30 09:00:00,27.79,42.55,1.0,19.59,20.59,,1.74,1.06
2020-01-30 09:00:00,2020-01-30 10:00:00,24.47,62.74,1.19,19.25,20.44,,1.62,0.83
2020-01-30 10:00:00,2020-01-30 11:00:00,33.95,57.67,1.01,18.47,19.48,,1.41,2.15
2020-01-30 11:00:00,2020-01-30 12:00:00,24.08,57.9,1.11,17.73,18.84,,1.62,2.35
2020-01-30 12:00:00,2020-01-30 13:00:00,23.48,38.28,1.1,21.27,22.38,,1.73,2.22
2020-01-30 13:00:00,2020-01-30 14:00:00,27.45,35.07,0.89,17.56,18.45,,1.71,2.06
2020-01-30 14:00:00,2020-01-30 15:00:00,14.38,31.57,1.11,14.7,15.82,,1.64,0.36
2020-01-30 15:00:00,2020-01-30 16:00:00,15.3,53.09,0.92,15.42,16.34,,1.59,0.48
2020-01-30 16:00:00,2020-01-30 17:00:00,14.71,32.3,1.0,15.32,16.33,,1.83,0.39
2020-01-30 17:00:00,2020-01-30 18:00:00,10.28,37.36,0.99,21.39,22.38,,1.92,0.29
2020-01-30 18:00:00,2020-01-30 19:00:00,17.63,47.51,1.21,27.25,28.46,,2.22,0.08
2020-01-30 19:00:00,2020-01-30 20:00:00,19.65,34.19,0.99,32.99,33.98,,2.24,0.01
2020-01-30 20:00:00,2020-01-30 21:00:00,19.56,25.19,1.16,37.94,39.1,,1.93,0.07
2020-01-30 21:00:00,2020-01-30 22:00:00,22.61,45.15,1.05,41.37,42.43,,1.96,0.25
2020-01-30 22:00:00,2020-01-30 23:00:00,26.28,62.48,0.94,36.59,37.53,,1.97,0.91
2020-01-30 23:00:00,2020-01-31 00:00:00,26.91,73.44,1.4,48.73,50.13,,2.04,1.21
2020-01-31 00:00:00,2020-01-31 01:00:00,38.44,106.12,1.24,44.51,45.75,,1.72,1.15
2020-01-31 01:00:00,2020-01-31 02:00:00,38.45,105.99,1.16,43.77,44.91,,1.94,1.14
2020-01-31 02:00:00,2020-01-31 03:00:00,41.93,117.32,1.95,45.47,47.42,,2.03,1.17
2020-01-31 03:00:00,2020-01-31 04:00:00,30.66,110.55,1.09,47.99,49.09,,2.04,0.87
2020-01-31 04:00:00,2020-01-31 05:00:00,28.09,74.79,1.07,37.33,38.4,,2.12,0.61
2020-01-31 05:00:00,2020-01-31 06:00:00,35.08,77.61,1.39,41.6,42.99,,2.21,0.56
2020-01-31 06:00:00,2020-01-31 07:00:00,39.17,83.51,1.32,48.19,49.43,,2.29,0.76
2020-01-31 07:00:00,2020-01-31 08:00:00,37.52,60.54,1.34,43.09,44.31,,2.37,1.0
2020-01-31 08:00:00,2020-01-31 09:00:00,38.66,86.8,1.92,43.05,44.98,,1.75,1.1
2020-01-31 09:00:00,2020-01-31 10:00:00,34.33,94.24,1.41,47.27,48.67,,1.63,1.11
2020-01-31 10:00:00,2020-01-31 11:00:00,37.81,108.79,1.0,31.7,32.7,,1.45,1.57
2020-01-31 11:00:00,2020-01-31 12:00:00,38.34,112.22,0.98,18.68,19.66,,1.55,1.73
2020-01-31 12:00:00,2020-01-31 13:00:00,34.52,77.66,0.99,16.78,17.77,,1.69,1.67
2020-01-31 13:00:00,2020-01-31 14:00:00,27.43,54.74,1.05,14.36,15.41,,1.49,1.7
2020-01-31 14:00:00,2020-01-31 15:00:00,21.53,52.67,0.78,13.9,14.66,,1.39,0.34
2020-01-31 15:00:00,2020-01-31 16:00:00,16.96,59.81,1.11,16.19,17.3,,1.17,0.36
2020-01-31 16:00:00,2020-01-31 17:00:00,16.24,62.53,1.05,17.03,18.08,,1.93,0.34
2020-01-31 17:00:00,2020-01-31 18:00:00,18.58,57.82,0.92,19.51,20.29,,1.97,0.21
2020-01-31 18:00:00,2020-01-31 19:00:00,21.03,86.12,0.83,32.36,33.17,,2.33,0.37
2020-01-31 19:00:00,2020-01-31 20:00:00,20.25,108.24,1.14,38.7,39.84,,2.57,0.35
2020-01-31 20:00:00,2020-01-31 21:00:00,24.45,150.78,1.01,38.33,39.33,,1.97,0.39
2020-01-31 21:00:00,2020-01-31 22:00:00,32.87,117.8,0.9,33.78,34.68,,1.96,0.27
