From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),RF (mm)
2019-08-22 05:00:00,2019-08-22 06:00:00,20.0,,3.32,8.03,6.98,5.33,,22.73,0.4,0.6,30.1,74.0,0.3,257.0,12.0,,-0.62,33.12,0.0
2019-08-22 06:00:00,2019-08-22 07:00:00,20.5,,3.1,13.38,9.65,5.57,,20.47,0.4,0.6,30.02,74.0,0.3,257.0,18.5,,-0.57,33.12,0.0
2019-08-22 07:00:00,2019-08-22 08:00:00,22.75,,4.28,14.93,11.45,7.85,,22.27,0.4,0.6,30.08,73.75,0.3,257.0,70.25,,-0.45,33.5,0.0
2019-08-22 08:00:00,2019-08-22 09:00:00,29.75,,3.48,13.28,9.9,5.05,,26.9,0.4,0.6,30.75,71.75,0.3,257.5,106.0,,-0.85,33.78,0.0
2019-08-22 09:00:00,2019-08-22 10:00:00,44.0,,3.2,10.3,8.05,3.85,,29.3,0.4,0.6,31.4,71.0,0.3,258.0,69.0,,-0.75,33.9,0.0
2019-08-22 10:00:00,2019-08-22 11:00:00,24.67,,19.1,27.97,30.4,6.3,,13.43,0.5,0.8,30.23,74.0,0.4,174.0,27.67,,-0.13,33.17,0.0
2019-08-22 11:00:00,2019-08-22 12:00:00,18.75,,7.98,17.0,15.55,7.12,,25.68,0.5,0.8,30.03,72.0,0.4,171.0,447.0,,-0.2,33.88,0.0
2019-08-22 12:00:00,2019-08-22 13:00:00,24.75,,3.5,11.43,8.93,,,42.65,0.57,0.8,30.4,62.5,0.4,171.0,551.0,,-1.45,35.98,0.0
2019-08-22 13:00:00,2019-08-22 14:00:00,32.5,,2.88,9.5,7.43,3.93,,48.72,0.8,0.8,29.85,60.75,0.4,171.0,539.5,,-1.53,36.27,0.0
2019-08-22 14:00:00,2019-08-22 15:00:00,21.5,,2.95,9.9,7.68,4.6,,42.53,,,29.72,60.5,0.4,133.0,399.25,,-1.45,36.42,0.0
2019-08-22 15:00:00,2019-08-22 16:00:00,19.75,,3.62,9.32,7.9,2.98,,39.6,0.55,0.8,29.95,62.5,0.4,17.0,196.0,,-1.3,35.92,0.0
2019-08-22 16:00:00,2019-08-22 17:00:00,19.5,,3.08,9.85,7.72,4.45,,39.4,0.57,0.8,29.32,65.75,0.4,17.0,93.5,,-0.68,35.58,0.0
2019-08-22 17:00:00,2019-08-22 18:00:00,23.25,,5.57,13.1,11.5,6.8,,40.27,0.67,0.8,30.97,67.25,0.35,78.75,52.0,,-0.7,35.33,0.12
2019-08-22 18:00:00,2019-08-22 19:00:00,28.25,,2.52,13.72,9.35,7.97,,24.4,0.6,0.8,31.38,69.25,0.38,147.25,7.0,,-0.62,34.75,0.0
2019-08-22 19:00:00,2019-08-22 20:00:00,20.0,,3.23,16.82,11.6,7.8,,20.4,0.7,0.83,30.88,71.5,0.3,140.25,7.0,,-0.55,34.25,0.0
2019-08-22 20:00:00,2019-08-22 21:00:00,11.0,,4.78,15.57,12.15,5.58,,20.42,1.12,1.0,31.12,72.0,0.33,141.5,7.0,,-0.47,33.83,0.0
2019-08-22 21:00:00,2019-08-22 22:00:00,11.5,,2.7,12.5,8.82,4.05,,19.52,1.35,1.1,30.62,73.0,0.33,153.0,7.0,,-0.53,33.58,0.0
2019-08-22 22:00:00,2019-08-22 23:00:00,13.0,,2.55,11.2,8.07,5.88,,18.95,1.48,1.12,30.5,73.5,0.4,120.25,7.0,,-0.3,33.4,0.0
2019-08-22 23:00:00,2019-08-23 00:00:00,13.75,,2.85,12.2,8.78,6.17,,17.25,1.75,1.25,30.38,74.0,0.4,147.0,7.0,,-0.33,33.3,0.0
2019-08-23 00:00:00,2019-08-23 01:00:00,17.75,,2.83,10.5,7.88,6.4,,15.43,2.02,1.4,30.1,74.0,0.35,134.75,7.0,,-0.33,33.27,0.0
2019-08-23 01:00:00,2019-08-23 02:00:00,21.0,,2.9,8.55,6.95,5.85,,15.18,2.12,1.42,29.92,74.0,0.35,138.75,7.0,,-0.52,33.2,0.0
2019-08-23 02:00:00,2019-08-23 03:00:00,15.75,,3.2,10.1,8.0,6.0,,13.05,1.95,1.32,29.93,74.0,0.35,114.5,7.0,,-0.2,33.12,0.0
2019-08-23 03:00:00,2019-08-23 04:00:00,16.75,,2.8,9.12,7.12,5.68,,14.35,1.68,1.2,30.02,74.0,0.4,128.75,7.0,,-0.23,33.0,0.0
2019-08-23 04:00:00,2019-08-23 05:00:00,14.5,,2.95,10.48,7.97,4.83,,14.43,2.0,1.35,30.72,74.0,0.38,130.25,7.0,,-0.25,32.93,0.0
2019-08-23 05:00:00,2019-08-23 06:00:00,17.5,,3.2,10.97,8.45,5.22,,14.12,2.62,1.68,30.43,74.0,0.32,134.75,7.0,,-0.25,32.9,0.0
2019-08-23 06:00:00,2019-08-23 07:00:00,15.75,,4.42,12.35,10.18,6.72,,13.1,2.83,1.8,30.4,73.0,0.38,125.5,37.25,,-0.3,33.2,0.0
2019-08-23 07:00:00,2019-08-23 08:00:00,23.25,,6.72,14.18,13.03,7.5,,17.8,2.55,1.65,30.35,66.75,0.4,153.25,135.0,,-0.38,34.22,0.0
2019-08-23 08:00:00,2019-08-23 09:00:00,23.5,,5.25,16.25,12.9,8.62,,27.53,2.0,1.4,30.9,62.75,0.4,162.5,277.0,,-0.27,35.1,0.0
2019-08-23 09:00:00,2019-08-23 10:00:00,31.0,,4.55,15.6,12.0,9.85,,32.05,1.75,1.2,31.55,60.5,0.4,190.5,326.0,,-0.3,35.65,0.0
2019-08-23 10:00:00,2019-08-23 11:00:00,27.33,,5.6,22.37,16.43,8.37,0.52,52.8,1.7,1.2,33.1,53.33,0.4,151.0,565.0,,-0.67,37.4,0.0
2019-08-23 11:00:00,2019-08-23 12:00:00,28.25,,4.62,20.82,14.83,7.55,0.53,59.9,1.7,1.2,33.83,52.25,0.4,155.25,456.75,,-0.4,37.4,0.0
2019-08-23 12:00:00,2019-08-23 13:00:00,31.25,,4.1,23.38,15.8,2.95,0.8,61.85,8.7,21.9,33.15,52.5,0.4,170.75,305.75,,-0.4,37.5,0.0
2019-08-23 13:00:00,2019-08-23 14:00:00,21.75,,3.08,15.38,10.68,1.15,0.88,66.67,6.18,17.85,32.88,51.25,0.42,177.75,419.25,,-0.35,37.1,0.0
2019-08-23 14:00:00,2019-08-23 15:00:00,27.0,,5.35,21.52,15.8,7.17,0.79,51.77,5.68,16.1,33.42,51.75,0.33,159.75,363.25,,-0.42,31.2,0.75
2019-08-23 15:00:00,2019-08-23 16:00:00,25.5,,3.33,13.6,9.95,9.3,1.06,41.6,5.3,15.92,34.58,54.5,0.93,145.0,272.75,,-0.65,30.95,0.0
2019-08-23 16:00:00,2019-08-23 17:00:00,22.75,,6.42,23.1,17.55,,1.27,35.23,35.17,65.05,35.65,55.0,1.05,158.25,148.0,,-0.35,30.7,0.0
2019-08-23 17:00:00,2019-08-23 18:00:00,27.0,,12.28,37.05,29.75,,1.74,24.05,17.35,33.0,34.17,57.5,1.85,143.75,65.75,,-0.23,29.9,0.0
2019-08-23 18:00:00,2019-08-23 19:00:00,23.0,,7.82,35.2,25.12,,0.51,23.12,7.85,17.5,33.45,59.75,1.18,155.25,8.5,,-0.15,29.35,0.0
2019-08-23 19:00:00,2019-08-23 20:00:00,22.25,,3.92,40.42,24.72,,0.81,19.3,8.57,19.38,33.2,62.0,0.62,191.25,8.0,,-0.12,29.0,0.0
2019-08-23 20:00:00,2019-08-23 21:00:00,32.0,,11.8,50.77,36.68,,1.29,11.05,10.6,23.25,33.08,62.5,0.5,174.0,8.0,,-0.12,28.82,0.0
2019-08-23 21:00:00,2019-08-23 22:00:00,41.75,,5.22,47.42,29.5,,1.48,9.2,13.0,26.85,33.0,63.75,0.3,191.25,8.0,,-0.17,28.73,0.0
2019-08-23 22:00:00,2019-08-23 23:00:00,43.25,,7.1,47.1,30.82,,1.47,9.25,15.07,30.02,32.98,64.75,0.3,192.25,8.0,,-0.25,28.6,0.0
2019-08-23 23:00:00,2019-08-24 00:00:00,42.0,,9.82,50.05,34.6,,1.37,5.75,15.02,30.82,33.02,66.25,0.3,193.0,8.0,,-0.2,28.45,0.0
2019-08-24 00:00:00,2019-08-24 01:00:00,47.0,,18.68,46.77,40.02,,1.31,5.72,14.55,31.07,32.92,67.75,0.33,195.75,8.0,,-0.62,28.35,0.0
2019-08-24 01:00:00,2019-08-24 02:00:00,49.25,,9.83,37.48,27.95,,0.73,5.83,13.5,29.27,32.73,68.5,0.3,218.25,8.0,,-0.4,28.15,0.0
2019-08-24 02:00:00,2019-08-24 03:00:00,34.0,,4.4,21.0,14.77,,0.66,20.93,11.1,22.9,32.53,69.0,3.8,183.33,8.0,,-2.3,27.27,0.0
2019-08-24 03:00:00,2019-08-24 04:00:00,21.5,,2.25,10.35,7.35,,0.41,34.33,7.2,12.15,32.45,73.75,4.3,173.0,8.0,,-2.5,25.93,0.0
2019-08-24 04:00:00,2019-08-24 05:00:00,7.5,,2.62,8.53,6.68,,0.18,39.98,4.3,7.2,32.25,74.0,5.05,195.25,8.0,,-2.85,25.32,0.0
2019-08-24 05:00:00,2019-08-24 06:00:00,5.5,,2.78,9.18,7.15,,0.33,37.23,3.8,5.88,32.02,74.0,3.93,208.75,8.0,,-1.9,25.2,0.0
2019-08-24 06:00:00,2019-08-24 07:00:00,5.0,,2.85,11.07,8.22,,0.14,33.02,4.75,7.5,31.9,74.0,2.85,211.75,8.25,,-1.55,25.27,0.0
2019-08-24 07:00:00,2019-08-24 08:00:00,9.0,,3.3,10.95,8.52,,0.14,31.58,5.47,9.05,31.95,74.0,2.48,204.25,46.75,,-1.45,25.38,0.0
2019-08-24 08:00:00,2019-08-24 09:00:00,12.0,,3.52,10.25,8.35,,0.24,33.02,6.05,10.7,32.02,73.75,2.5,213.0,139.25,,-1.52,25.83,0.0
2019-08-24 09:00:00,2019-08-24 10:00:00,12.0,,3.65,9.85,8.2,,0.07,36.85,5.75,10.3,31.95,71.5,4.4,207.5,249.5,,-2.35,26.2,0.0
2019-08-24 10:00:00,2019-08-24 11:00:00,17.33,,3.17,8.87,7.33,,0.35,47.3,4.03,6.43,32.6,65.33,2.5,204.33,431.0,,-2.17,27.83,0.0
2019-08-24 11:00:00,2019-08-24 12:00:00,22.5,,2.73,8.03,6.53,,0.34,49.47,3.72,6.05,32.97,64.75,3.53,191.75,560.0,,-2.58,28.17,0.0
2019-08-24 12:00:00,2019-08-24 13:00:00,20.5,,2.83,8.38,6.75,,0.3,47.67,3.38,5.53,33.35,63.5,4.53,191.0,493.75,,-3.03,28.45,0.0
2019-08-24 13:00:00,2019-08-24 14:00:00,28.5,,2.42,9.95,7.28,,0.21,48.38,3.3,4.9,33.58,62.75,4.28,194.0,293.5,,-2.85,28.5,0.0
2019-08-24 14:00:00,2019-08-24 15:00:00,27.0,,2.75,13.5,9.42,7.75,0.48,41.5,3.55,5.58,33.62,69.0,3.38,194.5,41.25,,-2.1,27.2,0.0
2019-08-24 15:00:00,2019-08-24 16:00:00,13.75,,4.08,27.0,17.65,7.58,0.65,46.3,4.33,8.22,33.55,74.0,1.02,159.5,8.0,,-1.05,26.0,0.0
2019-08-24 16:00:00,2019-08-24 17:00:00,17.75,,9.0,29.3,22.98,7.85,0.52,28.65,5.7,13.38,32.95,74.0,2.08,186.5,8.0,,-2.03,26.1,0.0
2019-08-24 17:00:00,2019-08-24 18:00:00,8.25,,3.02,24.75,15.6,8.62,0.77,24.73,5.45,13.65,32.45,74.0,0.48,166.25,8.0,,-0.75,26.25,0.0
2019-08-24 18:00:00,2019-08-24 19:00:00,9.75,,2.8,22.4,14.18,8.28,0.73,23.95,8.68,19.98,32.12,74.0,0.75,159.25,8.0,,-0.9,26.2,0.0
2019-08-24 19:00:00,2019-08-24 20:00:00,14.0,,2.38,28.75,17.23,9.35,1.01,18.95,12.78,33.1,32.1,74.0,0.55,206.75,8.0,,-1.0,26.1,0.0
2019-08-24 20:00:00,2019-08-24 21:00:00,22.25,,2.95,21.57,13.88,11.35,0.81,19.6,19.65,70.72,32.25,74.0,0.38,140.75,8.0,,-0.73,26.1,0.0
2019-08-24 21:00:00,2019-08-24 22:00:00,24.5,,2.78,18.43,12.03,11.5,0.44,21.88,22.23,89.68,32.15,74.0,0.78,152.0,8.0,,-0.65,26.0,0.0
2019-08-24 22:00:00,2019-08-24 23:00:00,13.75,,3.03,16.85,11.45,10.25,0.48,21.55,23.98,112.5,32.1,74.0,0.42,145.25,8.0,,-0.5,26.08,0.0
2019-08-24 23:00:00,2019-08-25 00:00:00,20.75,,2.75,18.12,11.85,7.83,0.49,19.4,23.32,115.72,32.1,74.0,0.38,137.25,8.0,,-0.68,26.22,0.0
2019-08-25 00:00:00,2019-08-25 01:00:00,15.75,,3.53,19.62,13.3,7.73,0.46,15.12,19.52,90.97,31.98,74.0,0.78,139.75,8.0,,-0.45,26.3,0.0
2019-08-25 01:00:00,2019-08-25 02:00:00,16.0,,5.05,27.25,18.6,7.9,0.66,9.82,16.62,67.85,31.82,74.0,1.02,140.75,8.0,,-0.65,26.28,0.0
2019-08-25 02:00:00,2019-08-25 03:00:00,24.25,,3.2,22.3,14.5,9.82,0.4,14.1,15.55,60.17,31.73,74.0,0.82,153.0,8.0,,-0.53,26.2,0.0
2019-08-25 03:00:00,2019-08-25 04:00:00,12.75,,2.62,14.62,9.95,8.55,0.24,20.35,14.77,60.15,31.82,74.0,1.07,174.0,8.0,,-0.97,26.2,0.0
2019-08-25 04:00:00,2019-08-25 05:00:00,12.75,,2.38,13.38,9.05,7.77,0.17,19.75,12.95,50.78,31.92,74.0,0.73,183.25,8.0,,-0.93,26.15,0.0
2019-08-25 05:00:00,2019-08-25 06:00:00,14.5,,2.17,10.35,7.28,6.7,0.15,22.82,10.7,41.5,31.88,74.0,2.12,187.25,8.0,,-1.82,26.1,0.0
2019-08-25 06:00:00,2019-08-25 07:00:00,13.0,,2.48,8.9,6.75,8.28,0.35,24.77,7.97,25.35,31.88,74.0,0.97,176.25,27.5,,-1.4,26.18,0.0
2019-08-25 07:00:00,2019-08-25 08:00:00,13.0,,2.92,9.97,7.68,9.53,0.34,28.07,7.88,24.17,31.9,73.0,2.1,187.0,64.75,,-1.68,26.38,0.0
2019-08-25 08:00:00,2019-08-25 09:00:00,16.0,,2.67,8.48,6.7,9.15,0.36,30.8,6.57,17.82,32.17,71.25,2.52,184.5,293.25,,-2.33,27.15,0.0
2019-08-25 09:00:00,2019-08-25 10:00:00,25.75,,2.55,8.4,6.5,9.6,0.04,37.35,4.8,13.13,33.4,66.25,4.22,189.25,455.5,,-3.18,28.15,0.0
2019-08-25 10:00:00,2019-08-25 11:00:00,27.25,,3.5,8.37,7.3,7.87,0.24,39.6,3.88,10.73,34.02,64.0,5.17,195.0,542.75,,-3.45,28.62,0.0
2019-08-25 11:00:00,2019-08-25 12:00:00,25.25,,2.7,8.5,6.7,7.25,0.21,42.38,3.5,9.08,34.17,63.0,5.47,178.75,457.25,,-4.35,28.77,0.0
2019-08-25 12:00:00,2019-08-25 13:00:00,23.75,,3.15,9.2,7.45,7.8,0.32,44.38,3.3,8.12,34.25,60.75,6.32,181.0,584.25,,-4.05,29.12,0.0
2019-08-25 13:00:00,2019-08-25 14:00:00,19.75,,3.02,10.62,8.1,9.38,0.32,43.67,3.18,7.72,35.98,59.5,6.25,175.25,517.75,,-4.3,29.38,0.0
2019-08-25 14:00:00,2019-08-25 15:00:00,26.25,,3.03,13.08,9.43,8.45,0.55,42.9,3.17,7.22,35.62,57.75,4.07,186.0,506.5,,-3.4,29.75,0.0
2019-08-25 15:00:00,2019-08-25 16:00:00,19.75,,2.77,12.77,9.07,8.5,0.65,60.0,3.1,7.0,35.98,57.0,4.0,187.5,355.25,,-3.33,29.77,0.0
2019-08-25 16:00:00,2019-08-25 17:00:00,15.25,,3.0,12.8,9.23,7.98,0.11,41.98,3.2,7.12,35.92,57.25,5.07,181.75,215.0,,-3.72,29.62,0.0
2019-08-25 17:00:00,2019-08-25 18:00:00,15.5,,3.17,15.15,10.65,8.28,0.12,37.98,3.25,7.17,36.2,58.75,3.03,187.25,11.5,,-2.62,29.4,0.0
2019-08-25 18:00:00,2019-08-25 19:00:00,20.75,,2.9,20.75,13.4,8.3,0.3,32.92,3.73,8.2,35.82,61.25,1.1,174.5,8.0,,-1.35,28.8,0.0
2019-08-25 19:00:00,2019-08-25 20:00:00,14.75,,3.37,24.4,11.8,8.18,0.4,25.62,5.27,11.18,34.92,63.0,0.25,142.0,8.0,,-0.4,28.5,0.0
2019-08-25 20:00:00,2019-08-25 21:00:00,17.25,,2.98,30.2,18.48,8.92,0.6,18.75,7.35,11.7,34.6,63.75,1.82,167.5,8.0,,-1.52,28.42,0.0
2019-08-25 21:00:00,2019-08-25 22:00:00,13.5,,2.8,16.17,10.9,9.7,0.16,43.1,7.3,10.15,34.38,71.5,5.57,187.5,8.0,,-3.25,25.22,0.5
2019-08-25 22:00:00,2019-08-25 23:00:00,0.25,,2.95,23.7,15.0,7.55,0.23,30.68,4.72,7.6,33.85,74.0,2.1,171.0,8.0,,-1.48,25.12,0.0
2019-08-25 23:00:00,2019-08-26 00:00:00,2.75,,3.9,32.27,20.35,5.28,0.24,19.78,5.2,12.05,33.42,74.0,1.08,181.25,8.0,,-0.8,25.35,0.0
2019-08-26 00:00:00,2019-08-26 01:00:00,8.75,,3.05,18.1,12.12,5.67,0.14,30.98,5.18,14.98,33.38,73.25,5.28,190.25,8.0,,-3.22,25.73,0.0
2019-08-26 01:00:00,2019-08-26 02:00:00,11.0,,2.73,18.07,11.82,7.52,0.12,29.18,2.88,5.72,33.58,72.75,1.95,193.75,8.0,,-1.35,26.0,0.0
2019-08-26 02:00:00,2019-08-26 03:00:00,11.0,,2.77,18.45,12.02,7.38,0.14,25.5,4.05,7.95,33.75,73.0,1.32,186.5,8.0,,-1.13,26.0,0.0
2019-08-26 03:00:00,2019-08-26 04:00:00,10.5,,2.95,18.53,12.25,6.05,0.15,21.08,4.67,10.98,33.62,73.75,0.88,173.25,8.0,,-0.55,26.0,0.0
2019-08-26 04:00:00,2019-08-26 05:00:00,9.25,,2.58,14.3,9.7,6.95,0.17,20.97,5.2,15.53,33.52,74.0,0.98,142.0,8.0,,-0.45,25.92,0.0
2019-08-26 05:00:00,2019-08-26 06:00:00,10.5,,2.73,19.35,12.5,7.8,0.22,14.32,6.43,19.48,33.48,74.0,0.48,148.0,8.0,,-0.33,25.95,0.0
2019-08-26 06:00:00,2019-08-26 07:00:00,14.0,,3.55,15.85,11.35,8.6,0.32,16.6,8.25,25.98,33.5,73.75,0.53,152.0,55.75,,-0.43,26.25,0.0
2019-08-26 07:00:00,2019-08-26 08:00:00,23.25,,4.53,15.9,12.13,12.4,0.39,23.35,8.88,25.67,33.92,69.5,1.6,184.75,200.5,,-1.65,27.35,0.0
2019-08-26 08:00:00,2019-08-26 09:00:00,32.25,,3.25,11.35,8.67,12.03,0.25,36.02,7.15,17.32,35.5,66.25,3.82,193.0,330.5,,-2.92,27.97,0.0
2019-08-26 09:00:00,2019-08-26 10:00:00,31.0,,2.8,11.05,8.15,10.75,0.32,42.45,5.03,10.72,35.4,64.25,4.28,202.5,369.0,,-2.58,28.3,0.0
2019-08-26 10:00:00,2019-08-26 11:00:00,26.25,,3.17,7.97,6.77,4.83,0.64,48.92,4.97,11.07,31.65,63.25,4.4,198.0,402.75,,-2.95,28.33,0.0
2019-08-26 11:00:00,2019-08-26 12:00:00,7.5,,3.0,8.22,6.8,4.35,0.35,51.22,6.38,14.3,32.67,61.0,3.78,191.0,598.75,,-2.88,29.02,0.0
2019-08-26 12:00:00,2019-08-26 13:00:00,23.25,,2.78,7.98,6.5,5.47,0.74,52.9,6.15,13.12,33.55,57.25,3.25,202.5,678.75,,-2.77,29.88,0.0
2019-08-26 13:00:00,2019-08-26 14:00:00,27.5,,3.17,7.95,6.82,4.55,1.28,52.45,6.4,13.9,33.3,56.25,1.88,193.0,368.25,,-2.02,30.2,0.0
2019-08-26 14:00:00,2019-08-26 15:00:00,24.33,,3.0,9.82,7.65,6.2,0.72,52.8,6.6,14.88,32.7,56.0,2.15,175.75,372.25,,-2.03,30.15,0.0
2019-08-26 15:00:00,2019-08-26 16:00:00,28.0,,2.75,8.75,6.9,4.45,0.89,74.7,5.92,13.15,29.27,54.75,1.9,166.75,452.75,,-1.3,30.6,0.0
2019-08-26 16:00:00,2019-08-26 17:00:00,13.0,,2.87,7.93,6.5,5.1,0.73,46.17,6.07,14.2,28.1,59.0,2.83,182.67,121.67,,-2.37,29.4,0.0
2019-08-26 17:00:00,2019-08-26 18:00:00,,,,,,,,,,,,,,,,,,,
2019-08-26 18:00:00,2019-08-26 19:00:00,,,,,,,,,,,,,,,,,,,
2019-08-26 19:00:00,2019-08-26 20:00:00,,,,,,,,,,,,,,,,,,,
2019-08-26 20:00:00,2019-08-26 21:00:00,,,,,,,,,,,,,,,,,,,
2019-08-26 21:00:00,2019-08-26 22:00:00,,,,,,,,,,,,,,,,,,,
2019-08-26 22:00:00,2019-08-26 23:00:00,,,,,,,,,,,,,,,,,,,
2019-08-26 23:00:00,2019-08-27 00:00:00,,,,,,,,,,,,,,,,,,,
2019-08-27 00:00:00,2019-08-27 01:00:00,,,,,,,,,,,,,,,,,,,
2019-08-27 01:00:00,2019-08-27 02:00:00,,,,,,,,,,,,,,,,,,,
2019-08-27 02:00:00,2019-08-27 03:00:00,,,,,,,,,,,,,,,,,,,
2019-08-27 03:00:00,2019-08-27 04:00:00,,,,,,,,,,,,,,,,,,,
2019-08-27 04:00:00,2019-08-27 05:00:00,,,,,,,,,,,,,,,,,,,
2019-08-27 05:00:00,2019-08-27 06:00:00,,,,,,,,,,,,,,,,,,,
2019-08-27 06:00:00,2019-08-27 07:00:00,,,,,,,,,,,,,,,,,,,
2019-08-27 07:00:00,2019-08-27 08:00:00,,,,,,,,,,,,,,,,,,,
2019-08-27 08:00:00,2019-08-27 09:00:00,,,,,,,,,,,,,,,,,,,
2019-08-27 09:00:00,2019-08-27 10:00:00,30.0,,3.75,8.7,7.7,7.45,0.0,49.33,6.8,6.3,36.6,60.5,5.35,198.5,481.25,,-3.3,29.45,0.0
2019-08-27 10:00:00,2019-08-27 11:00:00,18.0,,3.05,5.75,5.5,3.05,0.83,60.1,5.8,8.57,31.73,59.33,5.8,188.0,551.33,,-3.83,29.7,0.0
2019-08-27 11:00:00,2019-08-27 12:00:00,5.25,,2.85,7.03,6.05,2.92,0.6,54.12,4.95,8.72,33.23,55.75,4.98,185.5,493.75,,-3.88,30.15,0.0
2019-08-27 12:00:00,2019-08-27 13:00:00,21.0,,3.2,7.02,6.35,5.3,0.58,55.7,5.28,9.8,33.27,54.5,4.75,174.25,496.5,,-3.1,30.32,0.0
2019-08-27 13:00:00,2019-08-27 14:00:00,21.75,,2.55,7.92,6.3,5.4,0.95,56.73,5.35,11.0,32.7,53.25,6.22,184.5,558.75,,-4.17,30.55,0.0
2019-08-27 14:00:00,2019-08-27 15:00:00,24.0,,2.7,8.32,6.65,6.88,0.16,55.08,5.08,11.7,32.43,52.5,5.38,176.5,444.0,,-3.95,30.72,0.0
2019-08-27 15:00:00,2019-08-27 16:00:00,,,,,,,,,,,,,,,,,,,
2019-08-27 16:00:00,2019-08-27 17:00:00,22.0,,3.1,8.4,6.9,8.6,1.39,49.6,12.9,36.8,28.9,55.0,4.9,183.0,76.0,,-3.3,30.4,0.0
2019-08-27 17:00:00,2019-08-27 18:00:00,20.25,,2.3,7.25,5.72,5.8,1.0,47.9,10.97,31.27,27.27,56.0,4.15,180.25,26.0,,-3.17,30.02,0.0
2019-08-27 18:00:00,2019-08-27 19:00:00,22.75,,2.5,10.28,7.5,9.2,0.03,43.9,6.9,19.08,30.78,58.5,3.65,187.0,8.0,,-2.77,29.55,0.0
2019-08-27 19:00:00,2019-08-27 20:00:00,47.5,,2.55,16.4,10.8,13.82,0.74,39.0,5.0,9.75,34.75,60.25,2.95,179.0,8.0,,-2.17,29.32,0.0
2019-08-27 20:00:00,2019-08-27 21:00:00,51.0,,3.33,16.8,11.62,11.2,0.64,39.45,5.55,9.85,36.5,61.0,2.52,190.25,8.0,,-1.98,29.15,0.0
2019-08-27 21:00:00,2019-08-27 22:00:00,46.25,,2.73,18.07,11.85,12.08,0.76,38.27,5.75,9.45,37.23,61.75,2.55,193.25,8.0,,-1.63,28.98,0.0
2019-08-27 22:00:00,2019-08-27 23:00:00,39.5,,3.25,19.22,12.85,11.47,0.36,34.15,5.65,9.15,37.6,63.5,2.15,192.5,8.0,,-1.62,28.75,0.0
