From Date,To Date,PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),RF (mm)
2020-11-09 03:00:00,2020-11-09 04:00:00,53.75,,,,,,0.15,55.49,,,,,,84.5,2.72,181.5,,929.0,,
2020-11-09 04:00:00,2020-11-09 05:00:00,69.5,,,,,,0.17,56.61,,,,,,84.0,2.62,181.0,,918.75,,
2020-11-09 05:00:00,2020-11-09 06:00:00,77.0,,,,,,0.18,67.35,,,,,,83.0,3.47,189.25,,907.0,,
2020-11-09 06:00:00,2020-11-09 07:00:00,86.5,,,,,,0.27,62.5,,,,,,83.25,2.98,181.0,,896.75,,
2020-11-09 07:00:00,2020-11-09 08:00:00,87.0,,,,,,0.26,64.92,,,,,,77.75,4.45,189.5,,855.0,,
2020-11-09 08:00:00,2020-11-09 09:00:00,82.5,,,,,,0.17,70.95,,,,,,69.25,6.55,200.25,,820.5,,
2020-11-09 09:00:00,2020-11-09 10:00:00,77.25,,,,,,0.15,75.68,,,,,,61.5,8.03,202.5,,818.25,,
2020-11-09 10:00:00,2020-11-09 11:00:00,75.25,,,,,,0.12,83.84,,,,,,51.5,9.7,200.5,,818.0,,
2020-11-09 11:00:00,2020-11-09 12:00:00,82.5,,,,,,0.09,88.94,,,,,39.9,47.5,9.7,204.5,,813.0,,
2020-11-09 12:00:00,2020-11-09 13:00:00,99.25,,,,,,0.17,91.81,,,,,39.95,46.0,8.2,203.5,,812.25,,
2020-11-09 13:00:00,2020-11-09 14:00:00,91.0,,,,,,0.22,89.13,,,,,,46.25,7.0,207.25,,813.5,,
2020-11-09 14:00:00,2020-11-09 15:00:00,89.25,,,,,,0.22,91.83,,,,,,45.5,7.65,209.0,,815.75,,
2020-11-09 15:00:00,2020-11-09 16:00:00,86.25,,,,,,0.17,93.75,,,,,,43.5,7.55,205.75,,815.25,,
2020-11-09 16:00:00,2020-11-09 17:00:00,95.0,,,,,,0.11,84.42,,,,,,45.75,7.33,211.75,,818.25,,
2020-11-09 17:00:00,2020-11-09 18:00:00,103.25,,,,,,0.11,90.86,,,,,,50.0,6.1,210.5,,819.75,,
2020-11-09 18:00:00,2020-11-09 19:00:00,108.25,,,,,,0.17,88.25,,,,,,55.75,5.38,212.25,,820.0,,
2020-11-09 19:00:00,2020-11-09 20:00:00,105.25,,,,,,0.17,81.68,,,,,,58.5,3.82,209.0,,820.5,,
2020-11-09 20:00:00,2020-11-09 21:00:00,110.25,,,,,,0.21,79.46,,,,,,63.75,2.73,216.5,,821.0,,
2020-11-09 21:00:00,2020-11-09 22:00:00,99.5,,,,,,0.14,92.7,,,,,,64.25,4.92,220.0,,821.0,,
2020-11-09 22:00:00,2020-11-09 23:00:00,82.75,,,,,,0.14,97.98,,,,,,63.75,5.88,214.75,,821.0,,
2020-11-09 23:00:00,2020-11-10 00:00:00,83.75,,,,,,0.11,98.18,,,,,,64.0,5.68,207.75,,821.0,,
2020-11-10 00:00:00,2020-11-10 01:00:00,87.75,,,,,,0.14,89.81,,,,,,68.25,3.53,200.25,,821.0,,
2020-11-10 01:00:00,2020-11-10 02:00:00,83.5,,,,,,0.16,92.92,,,,,,70.5,4.55,202.5,,821.0,,
2020-11-10 02:00:00,2020-11-10 03:00:00,83.0,,,,,,0.17,90.23,,,,,,73.25,3.73,195.75,,820.75,,
2020-11-10 03:00:00,2020-11-10 04:00:00,82.75,,,,,,0.12,96.46,,,,,,73.25,5.08,199.5,,821.0,,
2020-11-10 04:00:00,2020-11-10 05:00:00,74.25,,,,,,0.17,91.72,,,,,,75.0,4.05,198.0,,820.25,,
2020-11-10 05:00:00,2020-11-10 06:00:00,80.25,,,,,,0.2,86.29,,,,,,77.0,3.27,187.25,,820.0,,
2020-11-10 06:00:00,2020-11-10 07:00:00,89.25,,,,,,0.24,76.54,,,,,,78.25,2.98,177.25,,819.25,,
2020-11-10 07:00:00,2020-11-10 08:00:00,94.75,,,,,,0.18,73.92,,,,,,74.5,4.42,193.0,,819.5,,
2020-11-10 08:00:00,2020-11-10 09:00:00,91.0,,,,,,0.18,74.49,,,,,,67.5,6.0,202.0,,819.0,,
2020-11-10 09:00:00,2020-11-10 10:00:00,90.25,,,,,,0.17,74.06,,,,,,58.5,8.27,205.25,,819.0,,
2020-11-10 10:00:00,2020-11-10 11:00:00,86.75,,,,,,0.1,78.24,,,,,,45.75,9.33,207.0,,819.0,,
2020-11-10 11:00:00,2020-11-10 12:00:00,82.25,,,,,,0.07,95.56,,,,,,40.5,8.25,204.25,,819.0,,
2020-11-10 12:00:00,2020-11-10 13:00:00,79.5,,,,,,0.09,112.54,,,,,,39.5,8.15,202.0,,815.0,,
2020-11-10 13:00:00,2020-11-10 14:00:00,79.5,,,,,,0.07,102.16,,,,,,37.5,7.07,200.0,,814.25,,
2020-11-10 14:00:00,2020-11-10 15:00:00,82.25,,,,,,0.08,95.54,,,,,,36.75,7.0,202.25,,818.25,,
2020-11-10 15:00:00,2020-11-10 16:00:00,76.75,,,,,,0.09,97.14,,,,,,37.25,6.08,195.75,,820.0,,
2020-11-10 16:00:00,2020-11-10 17:00:00,76.0,,,,,,0.08,95.79,,,,,,38.0,5.15,196.0,,824.5,,
2020-11-10 17:00:00,2020-11-10 18:00:00,77.75,,,,,,0.09,97.61,,,,,,42.25,4.95,215.0,,822.5,,
2020-11-10 18:00:00,2020-11-10 19:00:00,80.25,,,,,,0.12,100.03,,,,,,47.75,4.95,225.5,,822.0,,
2020-11-10 19:00:00,2020-11-10 20:00:00,73.75,,,,,,0.15,99.35,,,,,,53.25,5.85,217.5,,822.0,,
2020-11-10 20:00:00,2020-11-10 21:00:00,81.5,,,,,,0.13,105.18,,,,,,55.5,5.68,209.5,,822.0,,
2020-11-10 21:00:00,2020-11-10 22:00:00,90.25,,,,,,0.12,93.03,,,,,,57.5,3.07,194.5,,822.25,,
2020-11-10 22:00:00,2020-11-10 23:00:00,92.0,,,,,,0.15,81.27,,,,,,60.75,2.03,192.0,,822.0,,
2020-11-10 23:00:00,2020-11-11 00:00:00,85.0,,,,,,0.15,83.99,,,,,,59.25,2.45,194.5,,822.0,,
2020-11-11 00:00:00,2020-11-11 01:00:00,83.5,,,,,,0.17,68.59,,,,,,64.0,1.15,165.0,,822.0,,
2020-11-11 01:00:00,2020-11-11 02:00:00,87.0,,,,,,0.18,58.24,,,,,,68.5,1.0,168.5,,822.0,,
2020-11-11 02:00:00,2020-11-11 03:00:00,83.75,,,,,,0.17,60.37,,,,,,71.25,1.27,162.0,,821.0,,
2020-11-11 03:00:00,2020-11-11 04:00:00,79.0,,,,,,0.11,65.03,,,,,,73.25,1.3,152.25,,821.75,,
2020-11-11 04:00:00,2020-11-11 05:00:00,69.25,,,,,,0.15,60.87,,,,,,74.75,1.25,172.5,,821.25,,
2020-11-11 05:00:00,2020-11-11 06:00:00,78.0,,,,,,0.21,49.72,,,,,,77.75,1.52,158.5,,821.0,,
2020-11-11 06:00:00,2020-11-11 07:00:00,88.5,,,,,,0.38,54.08,,,,,,74.25,1.73,178.5,,821.25,,
2020-11-11 07:00:00,2020-11-11 08:00:00,101.0,,,,,,0.34,71.15,,,,,,62.25,3.73,195.5,,820.0,,
2020-11-11 08:00:00,2020-11-11 09:00:00,93.75,,,,,,0.11,88.68,,,,,,55.0,6.2,205.75,,819.75,,
2020-11-11 09:00:00,2020-11-11 10:00:00,79.0,,,,,,0.04,84.95,,,,,,50.5,7.35,208.0,,819.25,,
2020-11-11 10:00:00,2020-11-11 11:00:00,68.5,,,,,,0.04,83.59,,,,,,47.0,6.55,204.75,,818.75,,
2020-11-11 11:00:00,2020-11-11 12:00:00,57.75,,,,,,0.05,91.73,,,,,,39.25,5.62,206.75,,814.75,,
2020-11-11 12:00:00,2020-11-11 13:00:00,63.0,,,,,,0.11,83.94,,,,,,39.5,6.38,222.5,,815.75,,
2020-11-11 13:00:00,2020-11-11 14:00:00,54.25,,,,,,0.1,82.01,,,,,,45.0,6.67,247.25,,815.25,,
2020-11-11 14:00:00,2020-11-11 15:00:00,51.5,,,,,,0.14,77.68,,,,,,48.75,5.95,251.25,,818.25,,
2020-11-11 15:00:00,2020-11-11 16:00:00,42.75,,,,,,0.15,71.28,,,,,,45.25,5.75,229.0,,820.0,,
2020-11-11 16:00:00,2020-11-11 17:00:00,46.25,,,,,,0.17,74.04,,,,,,55.25,5.15,249.25,,824.0,,
2020-11-11 17:00:00,2020-11-11 18:00:00,43.75,,,,,,0.22,73.81,,,,,,57.25,5.65,231.5,,825.75,,
2020-11-11 18:00:00,2020-11-11 19:00:00,50.75,,,,,,0.23,75.46,,,,,,56.25,5.75,220.0,,822.5,,
2020-11-11 19:00:00,2020-11-11 20:00:00,49.0,,,,,,0.22,75.7,,,,,,58.75,4.12,218.5,,822.0,,
2020-11-11 20:00:00,2020-11-11 21:00:00,56.25,,,,,,0.17,68.49,,,,,,61.25,2.48,216.5,,822.0,,
2020-11-11 21:00:00,2020-11-11 22:00:00,63.5,,,,,,0.2,62.88,,,,,,63.0,1.68,217.25,,822.0,,
2020-11-11 22:00:00,2020-11-11 23:00:00,72.5,,,,,,0.24,62.54,,,,,,64.75,2.23,218.75,,822.0,,
2020-11-11 23:00:00,2020-11-12 00:00:00,74.0,,,,,,0.3,59.46,,,,,,68.25,2.45,219.75,,822.25,,
2020-11-12 00:00:00,2020-11-12 01:00:00,82.25,,,,,,0.2,64.16,,,,,,71.0,3.53,218.25,,822.5,,
2020-11-12 01:00:00,2020-11-12 02:00:00,52.25,,,,,,0.18,64.44,,,,,,70.5,3.18,210.25,,822.0,,
2020-11-12 02:00:00,2020-11-12 03:00:00,48.25,,,,,,0.17,58.29,,,,,,72.0,2.27,205.25,,822.0,,
2020-11-12 03:00:00,2020-11-12 04:00:00,43.75,,,,,,0.12,59.62,,,,,,72.75,2.88,209.0,,822.0,,
2020-11-12 04:00:00,2020-11-12 05:00:00,46.5,,,,,,0.18,61.11,,,,,,74.25,2.95,198.75,,844.5,,
2020-11-12 05:00:00,2020-11-12 06:00:00,50.75,,,,,,0.25,54.84,,,,,,80.0,3.1,196.75,525.0,882.0,,
2020-11-12 06:00:00,2020-11-12 07:00:00,56.25,,,,,,0.32,45.67,,,,,,82.75,2.1,184.25,259.75,955.67,,
2020-11-12 07:00:00,2020-11-12 08:00:00,48.0,,,,,,0.26,48.73,,,,,,79.75,3.58,204.5,41.5,877.5,,
2020-11-12 08:00:00,2020-11-12 09:00:00,47.75,,,,,,0.17,53.77,,,,,,70.75,7.05,214.5,530.5,764.5,,
2020-11-12 09:00:00,2020-11-12 10:00:00,46.25,,,,,,0.17,54.25,,,,,,65.0,6.1,217.0,,794.5,,
2020-11-12 10:00:00,2020-11-12 11:00:00,43.75,,,,,,0.17,60.87,,,,,,61.0,7.35,234.0,,811.75,,
2020-11-12 11:00:00,2020-11-12 12:00:00,40.75,2.0,,19.1,,5.0,0.16,71.84,,,,,,58.5,7.2,249.25,,812.5,,
2020-11-12 12:00:00,2020-11-12 13:00:00,32.75,7.35,3.95,6.0,,3.23,0.13,66.91,,,,,,59.75,7.25,256.25,,810.5,,
2020-11-12 13:00:00,2020-11-12 14:00:00,27.75,5.95,5.1,2.4,,3.72,0.12,56.81,,,,,,59.75,6.93,262.25,,813.75,,
2020-11-12 14:00:00,2020-11-12 15:00:00,24.75,6.1,4.3,5.3,,3.47,0.15,49.58,,,,,,58.75,6.55,261.5,,818.5,,
2020-11-12 15:00:00,2020-11-12 16:00:00,27.0,3.4,5.75,5.2,,3.1,0.14,51.73,,,,,,63.5,5.97,272.75,,820.0,,
2020-11-12 16:00:00,2020-11-12 17:00:00,26.5,2.9,,3.65,,4.7,0.15,52.07,,,,,,64.5,5.4,264.0,,821.5,,
2020-11-12 17:00:00,2020-11-12 18:00:00,26.0,4.8,7.23,10.35,,5.23,0.19,51.0,,,,,,69.25,5.18,271.0,,821.0,,
2020-11-12 18:00:00,2020-11-12 19:00:00,28.0,2.7,5.73,5.3,,5.1,0.18,50.19,,,,,,72.25,5.6,250.25,,821.0,,
2020-11-12 19:00:00,2020-11-12 20:00:00,22.25,9.75,0.55,6.0,,4.8,0.11,39.76,,,,,,72.0,5.5,235.75,,821.0,,
2020-11-12 20:00:00,2020-11-12 21:00:00,12.75,8.6,9.65,7.63,,5.3,0.1,32.95,,,,,,70.5,5.47,225.75,,820.5,,
2020-11-12 21:00:00,2020-11-12 22:00:00,9.0,2.4,5.88,7.23,,5.2,0.11,35.25,,,,,,71.25,4.9,234.75,,820.5,,
2020-11-12 22:00:00,2020-11-12 23:00:00,11.0,13.2,5.4,13.6,,5.25,0.14,35.16,,,,,,73.75,4.45,224.25,,828.25,,
2020-11-12 23:00:00,2020-11-13 00:00:00,15.0,8.6,12.0,8.3,,5.45,0.14,39.08,,,,,,82.75,4.05,221.0,128.25,801.75,,
2020-11-13 00:00:00,2020-11-13 01:00:00,11.75,2.95,6.53,10.45,,4.47,0.18,30.83,,,,,,86.0,1.83,167.75,129.75,776.75,,
2020-11-13 01:00:00,2020-11-13 02:00:00,27.25,8.0,,6.95,,4.57,0.3,27.8,,,,,,87.0,1.55,178.5,71.0,996.0,,
2020-11-13 02:00:00,2020-11-13 03:00:00,41.25,11.15,,9.83,,4.68,0.16,24.54,,,,,,87.0,2.9,197.5,52.5,,,
2020-11-13 03:00:00,2020-11-13 04:00:00,16.5,6.9,5.2,5.3,,4.53,0.15,22.43,,,,,,87.0,2.32,191.5,20.0,,,
2020-11-13 04:00:00,2020-11-13 05:00:00,12.0,3.55,,7.2,,4.8,0.14,22.77,,,,,,87.0,2.62,196.25,6.75,,,
2020-11-13 05:00:00,2020-11-13 06:00:00,11.75,4.9,,5.95,,4.85,0.15,25.79,,,,,,87.0,3.12,211.75,1.0,,,
2020-11-13 06:00:00,2020-11-13 07:00:00,11.75,6.3,2.8,6.5,,5.2,0.17,24.88,,,,,,87.0,2.52,196.75,,,,
2020-11-13 07:00:00,2020-11-13 08:00:00,15.25,8.2,6.5,8.85,,4.93,0.22,26.05,,,,,,87.0,3.55,197.75,44.0,911.5,,
2020-11-13 08:00:00,2020-11-13 09:00:00,19.0,19.3,10.05,13.88,,4.87,0.14,26.6,,,,,,87.0,4.35,206.25,170.25,963.75,,
2020-11-13 09:00:00,2020-11-13 10:00:00,17.25,3.95,6.8,7.8,,5.12,0.17,30.71,,,,,,87.5,4.1,189.0,462.25,908.67,,
2020-11-13 10:00:00,2020-11-13 11:00:00,11.0,2.35,7.6,8.0,,5.0,0.1,27.4,,,,,,87.75,2.62,202.25,215.0,979.67,,
2020-11-13 11:00:00,2020-11-13 12:00:00,10.0,5.05,7.33,6.6,,5.0,0.1,28.93,,,,,,85.5,2.98,195.0,,959.0,,
2020-11-13 12:00:00,2020-11-13 13:00:00,14.75,3.6,6.7,5.75,,5.1,0.11,34.71,,,,,,82.75,2.55,221.75,2.0,,,
2020-11-13 13:00:00,2020-11-13 14:00:00,11.0,1.8,2.65,4.95,,4.9,0.16,32.48,,,,,,80.25,1.65,230.25,,972.75,,
2020-11-13 14:00:00,2020-11-13 15:00:00,10.25,,6.3,7.4,,4.8,0.13,32.12,,,,,,73.25,4.22,230.5,,749.5,,
2020-11-13 15:00:00,2020-11-13 16:00:00,7.75,5.4,13.0,7.3,,4.92,0.1,35.7,,,,,,73.25,5.75,214.75,96.25,709.0,,
2020-11-13 16:00:00,2020-11-13 17:00:00,6.75,7.7,6.05,7.18,,5.3,0.11,35.77,,,,,,74.25,4.03,194.25,651.0,701.25,,
2020-11-13 17:00:00,2020-11-13 18:00:00,5.75,2.5,12.1,13.57,,5.4,0.14,33.13,,,,,,79.75,3.55,196.25,537.0,733.5,,
2020-11-13 18:00:00,2020-11-13 19:00:00,7.25,6.55,3.25,7.8,,5.45,0.14,32.06,,,,,,82.25,3.6,195.0,627.25,741.5,,
2020-11-13 19:00:00,2020-11-13 20:00:00,13.25,2.0,9.47,5.1,,5.23,0.07,30.62,,,,,,82.5,3.65,198.25,866.25,846.5,,
2020-11-13 20:00:00,2020-11-13 21:00:00,10.75,4.95,6.25,5.37,,5.8,0.1,30.3,,,,,40.0,83.5,2.85,190.25,845.75,928.5,,
2020-11-13 21:00:00,2020-11-13 22:00:00,10.0,8.8,1.6,9.27,,5.53,0.13,28.82,,,,,39.98,84.0,2.28,181.5,794.5,930.75,,
2020-11-13 22:00:00,2020-11-13 23:00:00,12.75,8.4,4.8,8.4,,5.6,0.1,30.65,,,,,39.85,84.0,2.77,190.5,838.5,976.0,,
2020-11-13 23:00:00,2020-11-14 00:00:00,19.25,8.4,5.83,8.1,,5.6,0.09,32.62,,,,,39.9,83.75,3.12,188.5,897.5,895.0,,
2020-11-14 00:00:00,2020-11-14 01:00:00,15.75,6.9,5.4,5.13,,5.37,0.12,33.44,,,,,39.7,83.25,3.17,187.75,962.0,850.0,,
2020-11-14 01:00:00,2020-11-14 02:00:00,21.5,3.5,4.3,5.53,,5.62,0.1,31.05,,,,,39.55,82.75,2.75,184.75,982.0,852.75,,
2020-11-14 02:00:00,2020-11-14 03:00:00,26.0,7.55,8.15,11.65,,5.38,0.11,31.43,,,,,39.42,82.0,3.15,188.5,,855.5,,
2020-11-14 03:00:00,2020-11-14 04:00:00,35.5,7.6,1.3,7.25,,5.38,0.13,29.44,,,,,39.55,83.0,3.05,188.0,,855.25,,
2020-11-14 04:00:00,2020-11-14 05:00:00,35.5,5.4,1.1,7.55,,4.8,0.12,33.22,,,,,39.38,83.75,2.8,190.75,1000.0,856.5,,
2020-11-14 05:00:00,2020-11-14 06:00:00,30.0,4.77,,6.07,,5.05,0.15,33.77,,,,,39.08,84.0,2.38,175.25,927.0,846.25,,
2020-11-14 06:00:00,2020-11-14 07:00:00,25.25,5.3,,7.67,,5.17,0.12,34.27,,,,,38.75,83.25,3.7,192.75,975.0,850.0,,
2020-11-14 07:00:00,2020-11-14 08:00:00,22.25,9.43,5.53,10.03,,5.28,0.14,35.34,,,,,38.42,77.0,5.12,194.5,,780.0,,
2020-11-14 08:00:00,2020-11-14 09:00:00,28.75,6.1,3.5,6.45,,4.97,0.1,41.74,,,,,38.58,72.0,7.35,204.75,,772.5,,
2020-11-14 09:00:00,2020-11-14 10:00:00,30.0,4.05,,5.73,,4.85,0.14,51.46,,,,,38.23,68.0,9.23,210.5,,777.75,,
2020-11-14 10:00:00,2020-11-14 11:00:00,33.75,,9.3,5.87,,4.85,0.14,51.84,,,,,38.18,62.5,8.4,215.5,,800.25,,
2020-11-14 11:00:00,2020-11-14 12:00:00,26.75,,11.4,5.57,,4.88,0.11,49.49,,,,,37.93,59.75,8.18,217.0,,793.25,,
2020-11-14 12:00:00,2020-11-14 13:00:00,27.75,5.85,5.63,4.95,,5.17,0.15,51.92,,,,,38.0,59.5,8.03,238.25,,803.5,,
2020-11-14 13:00:00,2020-11-14 14:00:00,32.0,5.1,9.63,6.75,,5.03,0.13,51.44,,,,,38.15,59.0,7.55,247.75,,804.0,,
2020-11-14 14:00:00,2020-11-14 15:00:00,27.5,3.67,3.3,5.93,,5.42,0.14,52.79,,,,,38.42,60.5,7.38,248.75,,805.25,,
2020-11-14 15:00:00,2020-11-14 16:00:00,23.0,5.1,6.4,5.33,,5.3,0.13,48.39,,,,,38.65,62.25,7.17,243.75,,806.25,,
2020-11-14 16:00:00,2020-11-14 17:00:00,24.25,8.45,5.07,8.07,,4.8,0.1,52.88,,,,,38.97,64.25,7.12,243.25,,807.5,,
2020-11-14 17:00:00,2020-11-14 18:00:00,30.5,6.05,5.8,7.97,,4.78,0.1,52.07,,,,,39.05,67.5,7.12,236.5,,808.0,,
2020-11-14 18:00:00,2020-11-14 19:00:00,53.0,4.25,5.8,8.73,,4.78,0.11,52.11,,,,,38.88,69.25,7.47,232.0,,807.0,,
2020-11-14 19:00:00,2020-11-14 20:00:00,138.0,10.7,8.85,12.3,,4.95,0.13,48.29,,,,,38.77,71.75,7.38,224.5,,805.5,,
2020-11-14 20:00:00,2020-11-14 21:00:00,212.0,6.5,10.8,3.63,,5.03,0.07,51.56,,,,,38.7,72.25,7.82,218.0,,805.5,,
2020-11-14 21:00:00,2020-11-14 22:00:00,71.25,5.2,5.05,9.8,,5.12,0.08,49.04,,,,,38.85,73.0,6.22,212.75,,806.75,,
2020-11-14 22:00:00,2020-11-14 23:00:00,54.75,7.1,,10.6,,5.12,0.09,51.27,,,,,39.02,73.75,5.42,211.0,,807.25,,
2020-11-14 23:00:00,2020-11-15 00:00:00,29.75,7.25,6.23,5.22,,5.12,0.08,48.0,,,,,39.15,75.0,4.6,206.5,,808.0,,
2020-11-15 00:00:00,2020-11-15 01:00:00,29.75,9.4,3.95,8.23,,5.03,0.08,46.89,,,,,39.23,76.75,3.47,190.0,,808.5,,
2020-11-15 01:00:00,2020-11-15 02:00:00,33.75,4.3,5.17,9.0,,5.05,0.08,44.14,,,,,39.3,78.25,3.22,188.25,,809.0,,
2020-11-15 02:00:00,2020-11-15 03:00:00,37.25,5.47,6.63,7.67,,5.05,0.07,47.7,,,,,39.3,79.0,3.15,183.5,,809.0,,
2020-11-15 03:00:00,2020-11-15 04:00:00,31.5,3.23,8.5,7.12,,5.25,0.05,42.8,,,,,39.33,77.25,4.02,189.0,,809.25,,
2020-11-15 04:00:00,2020-11-15 05:00:00,31.0,9.5,4.5,11.38,,5.23,0.08,44.55,,,,,39.2,74.75,3.65,188.5,,809.0,,
2020-11-15 05:00:00,2020-11-15 06:00:00,34.25,4.45,7.45,8.4,,5.18,0.08,47.4,,,,,39.05,73.75,4.1,195.25,,808.25,,
2020-11-15 06:00:00,2020-11-15 07:00:00,34.25,4.45,9.55,7.67,,5.07,0.08,47.52,,,,,38.2,73.25,4.45,190.0,,805.0,,
2020-11-15 07:00:00,2020-11-15 08:00:00,36.0,6.85,4.9,5.65,,4.97,0.18,48.01,,,,,38.08,69.5,4.9,200.0,,804.25,,
2020-11-15 08:00:00,2020-11-15 09:00:00,42.75,3.55,4.67,3.32,,4.93,0.08,53.97,,,,,38.45,70.5,5.85,207.5,,827.25,,
2020-11-15 09:00:00,2020-11-15 10:00:00,27.0,3.5,2.75,2.9,,4.78,0.14,51.27,,,,,38.45,76.25,5.93,209.75,248.75,712.0,,
2020-11-15 10:00:00,2020-11-15 11:00:00,27.25,7.7,1.37,3.5,,4.75,0.16,52.2,,,,,38.5,80.5,3.67,197.75,58.0,748.5,,
2020-11-15 11:00:00,2020-11-15 12:00:00,26.0,1.65,3.85,3.83,,4.85,0.15,50.5,,,,,38.77,71.5,5.25,198.0,122.0,799.5,,
2020-11-15 12:00:00,2020-11-15 13:00:00,20.25,2.5,4.17,5.42,,5.0,0.1,54.28,,,,,38.6,66.25,6.47,205.0,,801.0,,
2020-11-15 13:00:00,2020-11-15 14:00:00,19.75,5.25,7.55,3.03,,5.0,0.13,54.58,,,,,38.58,69.0,6.43,210.5,,842.25,,
2020-11-15 14:00:00,2020-11-15 15:00:00,17.5,12.7,4.6,7.73,,4.92,0.15,55.06,,,,,38.58,67.0,6.37,223.25,,806.0,,
2020-11-15 15:00:00,2020-11-15 16:00:00,19.25,9.0,3.15,6.3,,5.05,0.15,59.19,,,,,38.45,68.25,6.4,212.5,,806.0,,
2020-11-15 16:00:00,2020-11-15 17:00:00,11.75,6.37,4.5,8.25,,5.03,0.24,55.21,,,,,38.7,70.5,4.18,203.5,,806.5,,
