From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),RF (mm),Xylene (ug/m3),AT (degree C)
2022-08-18 06:00:00,2022-08-18 07:00:00,12.58,44.0,4.09,10.7,17.21,2.29,4.35,0.36,15.21,0.18,0.21,,,,72.76,,269.0,15.68,919.8,0.18,0.0,0.1,24.91
2022-08-18 07:00:00,2022-08-18 08:00:00,11.82,49.55,7.9,11.92,20.29,1.53,4.29,0.43,14.62,0.34,0.22,,,,72.23,,256.69,60.98,921.78,0.18,0.0,0.14,25.06
2022-08-18 08:00:00,2022-08-18 09:00:00,16.27,55.09,7.38,12.67,20.29,1.93,4.16,0.48,17.84,0.31,0.22,,0.01,,66.44,,251.59,242.3,923.2,0.18,0.0,0.17,25.87
2022-08-18 09:00:00,2022-08-18 10:00:00,19.88,51.11,8.91,13.9,23.18,1.19,4.36,0.57,22.35,0.43,0.23,,0.01,,59.97,0.25,289.68,545.48,922.6,0.18,0.0,0.21,27.04
2022-08-18 10:00:00,2022-08-18 11:00:00,24.01,57.56,7.66,15.43,19.36,0.99,4.4,0.53,25.92,0.43,0.24,,0.01,,53.62,0.25,301.04,700.75,921.16,0.18,0.0,0.22,28.15
2022-08-18 11:00:00,2022-08-18 12:00:00,20.73,60.41,6.73,13.52,19.61,1.7,4.58,0.46,27.54,0.31,0.2,,0.01,,50.01,0.25,301.63,702.17,918.45,0.18,0.0,0.2,29.04
2022-08-18 12:00:00,2022-08-18 13:00:00,18.23,62.8,6.13,12.97,17.33,4.16,4.44,0.49,33.25,0.3,0.2,,0.01,,46.51,0.25,285.98,778.51,915.65,0.18,0.0,0.2,29.95
2022-08-18 13:00:00,2022-08-18 14:00:00,20.92,63.65,6.34,15.61,22.43,9.34,4.6,0.56,32.34,0.33,0.2,,0.01,,45.03,0.5,329.43,657.47,912.38,0.18,0.0,0.23,30.19
2022-08-18 14:00:00,2022-08-18 15:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-08-18 15:00:00,2022-08-18 16:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-08-18 16:00:00,2022-08-18 17:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-08-18 17:00:00,2022-08-18 18:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-08-18 18:00:00,2022-08-18 19:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-08-18 19:00:00,2022-08-18 20:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-08-18 20:00:00,2022-08-18 21:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-08-18 21:00:00,2022-08-18 22:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-08-18 22:00:00,2022-08-18 23:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-08-18 23:00:00,2022-08-19 00:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-08-19 00:00:00,2022-08-19 01:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-08-19 01:00:00,2022-08-19 02:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-08-19 02:00:00,2022-08-19 03:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-08-19 03:00:00,2022-08-19 04:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-08-19 04:00:00,2022-08-19 05:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-08-19 05:00:00,2022-08-19 06:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-08-19 06:00:00,2022-08-19 07:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-08-19 07:00:00,2022-08-19 08:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-08-19 08:00:00,2022-08-19 09:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-08-19 09:00:00,2022-08-19 10:00:00,11.25,45.69,6.42,12.08,,0.79,4.88,0.64,24.25,0.27,0.26,,0.01,,59.84,,269.09,501.07,920.28,0.18,0.0,0.2,27.34
2022-08-19 10:00:00,2022-08-19 11:00:00,24.28,55.34,6.79,14.26,18.71,1.02,4.7,0.64,25.64,0.46,0.25,,0.01,,58.23,0.75,278.47,540.33,919.79,0.17,0.0,0.21,27.6
2022-08-19 11:00:00,2022-08-19 12:00:00,25.32,56.14,4.87,12.87,17.08,3.62,4.78,0.56,27.64,0.41,0.24,,0.01,,54.69,0.5,279.37,540.15,918.28,0.18,0.0,0.23,28.33
2022-08-19 12:00:00,2022-08-19 13:00:00,20.59,54.59,4.28,12.59,17.41,3.36,4.74,0.53,30.82,0.27,0.17,,0.01,,50.19,,282.68,701.97,915.61,0.17,0.0,0.2,29.18
2022-08-19 13:00:00,2022-08-19 14:00:00,16.72,63.25,4.0,13.82,15.48,3.6,4.83,0.55,24.32,0.27,0.18,,0.01,,47.03,0.5,270.72,646.56,912.27,0.18,0.0,0.19,29.93
2022-08-19 14:00:00,2022-08-19 15:00:00,21.64,64.19,2.84,11.12,15.14,3.28,4.86,0.47,36.95,0.23,0.18,,0.01,,46.91,0.5,270.71,443.11,910.19,0.18,0.0,0.17,29.82
2022-08-19 15:00:00,2022-08-19 16:00:00,23.11,62.11,2.6,11.93,14.69,3.27,4.86,0.48,35.42,0.23,0.27,,0.01,,48.22,0.5,291.18,231.8,910.06,0.18,0.0,0.2,29.24
2022-08-19 16:00:00,2022-08-19 17:00:00,21.34,59.47,4.7,13.25,23.41,8.25,4.76,0.5,34.34,0.26,0.21,,0.01,,47.86,0.5,279.1,236.14,909.69,0.18,0.0,0.18,29.24
2022-08-19 17:00:00,2022-08-19 18:00:00,21.09,64.86,4.46,15.96,21.86,8.23,4.82,0.57,31.36,0.39,0.24,,0.01,,49.41,0.5,279.43,104.87,910.17,0.18,0.0,0.21,28.78
2022-08-19 18:00:00,2022-08-19 19:00:00,19.72,68.73,8.14,18.97,28.18,4.65,4.98,0.75,25.57,0.49,0.26,,0.01,,52.43,,276.72,14.67,911.32,0.18,0.0,0.29,28.23
2022-08-19 19:00:00,2022-08-19 20:00:00,21.88,78.93,9.02,19.86,26.64,2.99,5.02,0.8,23.18,0.54,0.3,,0.02,,55.16,,269.46,1.35,913.63,0.18,0.0,0.38,27.75
2022-08-19 20:00:00,2022-08-19 21:00:00,20.34,80.49,5.85,15.52,19.64,3.69,5.03,0.59,25.41,0.47,0.28,,0.02,,58.62,0.25,263.74,1.49,915.77,0.18,0.0,0.34,27.12
2022-08-19 21:00:00,2022-08-19 22:00:00,20.18,75.01,4.29,12.24,16.12,3.11,4.77,0.53,24.5,0.32,0.29,,0.01,,61.94,,267.65,1.4,918.41,0.18,0.0,0.27,26.56
2022-08-19 22:00:00,2022-08-19 23:00:00,19.72,67.61,1.88,9.86,10.47,4.24,4.82,0.41,24.39,0.21,0.27,,0.01,,66.52,,255.56,1.48,918.5,0.18,0.0,0.19,25.95
2022-08-19 23:00:00,2022-08-20 00:00:00,17.16,60.45,1.0,7.33,7.66,3.5,4.7,0.36,24.4,0.1,0.27,,,,68.1,,248.21,1.31,917.66,0.18,0.0,0.13,25.67
2022-08-20 00:00:00,2022-08-20 01:00:00,19.41,50.36,1.05,7.19,8.0,3.96,4.47,0.2,22.18,0.05,0.25,,,,70.22,0.25,236.25,1.41,917.66,0.18,0.0,0.1,25.25
2022-08-20 01:00:00,2022-08-20 02:00:00,17.74,50.89,3.06,7.33,8.72,2.54,4.42,0.2,21.48,0.05,0.26,,,,71.72,0.25,236.66,1.27,916.69,0.16,0.0,0.09,25.08
2022-08-20 02:00:00,2022-08-20 03:00:00,16.02,48.62,2.98,7.37,8.07,3.28,4.5,0.2,23.03,0.04,0.24,,,,71.98,0.75,245.06,1.46,914.96,0.18,0.0,0.08,24.85
2022-08-20 03:00:00,2022-08-20 04:00:00,13.85,45.72,1.22,6.44,8.48,2.88,4.45,0.2,24.27,0.04,0.26,,,,72.5,,268.39,1.42,915.0,0.18,0.0,0.08,24.76
2022-08-20 04:00:00,2022-08-20 05:00:00,14.23,45.67,1.19,7.31,9.26,3.15,4.46,0.23,21.0,0.04,0.24,,,,74.79,,267.4,1.47,916.25,0.18,0.0,0.07,24.51
2022-08-20 05:00:00,2022-08-20 06:00:00,14.4,44.93,1.85,8.5,11.91,2.17,4.43,0.23,20.48,0.06,0.26,,,,72.56,0.25,229.96,1.35,917.75,0.18,0.0,0.09,24.71
2022-08-20 06:00:00,2022-08-20 07:00:00,16.68,44.3,2.54,11.49,14.65,2.59,4.56,0.33,19.93,0.11,0.25,,,,72.65,,234.1,25.74,919.11,0.18,0.0,0.1,24.67
2022-08-20 07:00:00,2022-08-20 08:00:00,18.58,51.17,4.06,10.55,15.44,1.85,4.57,0.33,23.62,0.17,0.27,,,,70.3,,263.95,82.48,920.74,0.18,0.0,0.14,24.96
2022-08-20 08:00:00,2022-08-20 09:00:00,16.09,57.11,5.58,12.09,19.35,1.94,4.73,0.42,25.76,0.17,0.26,,,,65.67,0.25,271.09,168.41,921.84,0.18,0.0,0.15,25.7
2022-08-20 09:00:00,2022-08-20 10:00:00,24.21,63.6,5.45,12.44,17.57,1.09,4.75,0.44,24.62,0.25,0.27,,0.01,,59.32,,262.06,481.29,922.01,0.18,0.0,0.21,27.11
2022-08-20 10:00:00,2022-08-20 11:00:00,27.78,58.5,5.1,12.15,17.21,2.18,4.8,0.46,28.2,0.29,0.28,,0.01,,54.73,,281.06,753.11,920.47,0.18,0.0,0.24,28.15
2022-08-20 11:00:00,2022-08-20 12:00:00,23.09,55.18,4.78,12.19,17.8,2.56,4.85,0.43,27.35,0.25,0.21,,0.01,,50.46,0.75,266.41,819.47,918.37,0.18,0.0,0.17,29.1
2022-08-20 12:00:00,2022-08-20 13:00:00,21.07,57.27,4.91,14.37,19.82,5.56,4.88,0.51,26.88,0.26,0.11,,0.01,,47.13,0.5,281.83,734.77,915.25,0.18,0.0,0.13,29.81
2022-08-20 13:00:00,2022-08-20 14:00:00,18.09,60.82,6.2,13.47,21.59,4.04,4.91,0.48,34.18,0.28,0.17,,0.01,,44.88,0.75,250.03,641.85,910.93,0.18,0.0,0.16,30.33
2022-08-20 14:00:00,2022-08-20 15:00:00,18.1,63.37,4.37,11.83,15.91,7.39,4.83,0.47,36.53,0.29,0.2,,0.01,,44.56,1.0,292.91,748.71,907.72,0.18,0.0,0.17,30.44
2022-08-20 15:00:00,2022-08-20 16:00:00,19.64,61.09,3.71,10.56,14.66,5.17,4.74,0.38,34.84,0.25,0.2,,0.01,,44.56,0.5,292.94,663.66,905.45,0.18,0.0,0.15,30.48
2022-08-20 16:00:00,2022-08-20 17:00:00,18.75,63.11,5.36,13.24,19.17,5.16,4.84,0.49,33.32,0.23,0.22,,0.01,,46.52,0.5,276.58,267.28,904.37,0.18,0.0,0.15,29.95
2022-08-20 17:00:00,2022-08-20 18:00:00,16.44,62.34,5.61,15.53,24.83,2.22,4.89,0.54,33.36,0.3,0.26,,0.01,,48.89,,265.34,94.32,904.12,0.18,0.0,0.22,29.41
2022-08-20 18:00:00,2022-08-20 19:00:00,21.32,65.14,6.99,18.72,27.09,2.66,5.01,0.65,27.58,0.4,0.29,,0.02,,51.78,0.25,243.44,14.08,905.33,0.18,0.0,0.32,28.82
2022-08-20 19:00:00,2022-08-20 20:00:00,20.18,65.1,6.4,16.77,20.64,1.63,5.1,0.59,26.47,0.55,0.29,,0.02,,52.54,0.25,258.42,1.42,907.8,0.18,0.0,0.33,28.53
2022-08-20 20:00:00,2022-08-20 21:00:00,35.47,70.89,4.65,12.79,15.18,3.06,4.92,0.48,27.69,0.39,0.29,,0.02,,57.05,1.0,264.49,1.59,910.17,0.18,0.0,0.29,27.6
2022-08-20 21:00:00,2022-08-20 22:00:00,31.79,65.57,3.52,10.95,13.64,2.09,4.86,0.39,25.02,0.24,0.27,,0.01,,62.75,1.0,244.53,1.5,912.34,0.18,0.0,0.2,26.92
2022-08-20 22:00:00,2022-08-20 23:00:00,23.99,60.24,2.03,9.41,10.11,3.27,4.75,0.36,25.07,0.21,0.27,,0.01,,65.86,1.0,256.88,1.48,913.51,0.18,0.0,0.18,26.29
2022-08-20 23:00:00,2022-08-21 00:00:00,18.77,54.32,1.66,8.78,10.21,2.28,4.75,0.3,23.77,0.11,0.26,,,,67.59,1.0,256.19,1.46,913.68,0.18,0.0,0.12,25.82
2022-08-21 00:00:00,2022-08-21 01:00:00,15.18,51.25,1.52,7.9,8.88,3.17,5.19,0.2,22.6,0.08,0.26,,,,70.11,0.75,251.88,1.48,912.93,0.18,0.0,0.1,25.51
2022-08-21 01:00:00,2022-08-21 02:00:00,12.68,47.11,1.38,7.26,9.0,2.38,5.12,0.2,20.22,0.06,0.24,,,,71.37,0.25,233.58,1.49,911.59,0.18,0.0,0.08,25.38
2022-08-21 02:00:00,2022-08-21 03:00:00,11.23,48.55,5.95,10.05,11.54,2.7,5.01,0.2,16.66,0.06,0.26,,,,71.29,,221.12,1.29,911.58,0.18,0.0,0.09,25.41
2022-08-21 03:00:00,2022-08-21 04:00:00,10.58,46.91,1.31,7.64,8.93,2.44,5.12,0.2,18.8,0.07,0.24,,,,71.64,,231.3,1.59,910.82,0.18,0.0,0.08,25.32
2022-08-21 04:00:00,2022-08-21 05:00:00,12.05,48.94,3.07,8.48,8.66,2.3,5.02,0.2,19.67,0.07,0.26,,,,73.29,,255.98,1.37,911.21,0.18,0.0,0.09,25.0
2022-08-21 05:00:00,2022-08-21 06:00:00,11.84,42.74,2.11,8.93,12.87,1.82,5.19,0.23,19.6,0.09,0.24,,,,73.37,,252.45,1.35,913.76,0.18,0.0,0.08,24.86
2022-08-21 06:00:00,2022-08-21 07:00:00,15.44,41.42,4.25,12.92,17.86,1.72,5.08,0.42,18.72,0.3,0.26,,,,72.9,,237.46,25.48,916.49,0.18,0.0,0.11,24.85
2022-08-21 07:00:00,2022-08-21 08:00:00,15.78,51.25,3.73,10.42,13.22,2.02,5.29,0.34,18.21,0.41,0.24,,,,71.04,,240.08,90.13,918.11,0.18,0.0,0.14,25.26
2022-08-21 08:00:00,2022-08-21 09:00:00,20.09,52.6,4.45,10.21,14.49,1.92,5.33,0.34,22.99,0.24,0.28,,0.01,,67.19,0.25,245.82,174.3,918.88,0.18,0.0,0.16,26.0
2022-08-21 09:00:00,2022-08-21 10:00:00,18.68,48.87,5.69,13.21,21.71,0.71,5.28,0.45,24.7,0.28,0.25,,0.01,,62.63,0.5,270.76,364.26,918.96,0.18,0.0,0.17,26.81
2022-08-21 10:00:00,2022-08-21 11:00:00,23.21,58.63,5.82,17.32,17.44,0.96,5.33,0.56,28.99,0.69,0.28,,0.01,,57.11,1.0,254.23,519.41,916.76,0.18,0.0,0.21,27.94
2022-08-21 11:00:00,2022-08-21 12:00:00,26.97,67.22,7.31,13.17,21.48,0.81,5.6,0.45,28.72,0.56,0.26,,0.01,,52.31,0.25,289.36,518.35,914.18,0.17,0.0,0.18,28.64
2022-08-21 12:00:00,2022-08-21 13:00:00,28.06,68.77,6.0,14.34,23.84,1.22,5.58,0.44,21.32,0.32,0.28,,0.01,,49.61,0.25,275.18,591.62,911.82,0.18,0.0,0.22,29.15
2022-08-21 13:00:00,2022-08-21 14:00:00,28.11,75.19,5.9,15.13,18.22,1.53,5.69,0.45,30.33,0.43,0.31,,0.01,,46.65,1.0,258.53,722.08,907.74,0.18,0.0,0.23,30.01
2022-08-21 14:00:00,2022-08-21 15:00:00,27.29,77.0,3.88,11.12,13.89,1.91,5.66,0.34,35.61,0.28,0.29,,0.01,,45.43,0.5,275.56,660.12,904.11,0.18,0.0,0.19,30.23
2022-08-21 15:00:00,2022-08-21 16:00:00,29.65,75.99,3.04,10.73,13.88,2.01,5.54,0.28,36.24,0.17,0.25,,,,44.45,0.75,294.21,533.41,902.28,0.18,0.0,0.14,30.46
2022-08-21 16:00:00,2022-08-21 17:00:00,25.29,68.42,3.16,12.99,19.04,1.41,5.44,0.39,36.45,0.21,0.27,,,,48.82,0.75,261.81,300.43,901.7,0.18,0.0,0.13,29.7
2022-08-21 17:00:00,2022-08-21 18:00:00,20.59,68.75,4.06,14.15,18.03,1.37,5.39,0.39,32.52,0.38,0.26,,0.01,,56.4,0.75,258.17,116.51,902.98,0.18,0.0,0.16,28.49
2022-08-21 18:00:00,2022-08-21 19:00:00,29.19,72.12,3.88,15.13,19.59,1.14,5.41,0.46,27.38,0.32,0.29,,0.01,,62.84,,251.77,21.1,905.18,0.18,0.0,0.22,27.36
2022-08-21 19:00:00,2022-08-21 20:00:00,26.0,70.88,8.85,18.27,29.59,0.41,5.47,0.62,18.79,0.49,0.28,,0.01,,63.67,,241.77,1.49,908.38,0.17,0.0,0.28,27.09
2022-08-21 20:00:00,2022-08-21 21:00:00,22.3,63.93,9.84,21.01,30.21,0.28,5.44,0.62,14.96,0.71,0.29,,0.02,,64.46,,234.4,1.1,910.5,0.18,0.0,0.36,26.91
2022-08-21 21:00:00,2022-08-21 22:00:00,23.33,58.96,4.48,14.48,16.5,2.05,5.29,0.38,18.18,0.63,0.27,,0.02,,67.39,0.25,236.11,1.46,912.29,0.18,0.0,0.31,26.26
2022-08-21 22:00:00,2022-08-21 23:00:00,19.95,57.77,2.08,10.28,11.07,2.22,5.22,0.28,18.41,0.33,0.27,,0.01,,69.24,0.5,235.41,1.34,913.41,0.18,0.0,0.2,25.88
2022-08-21 23:00:00,2022-08-22 00:00:00,19.91,49.53,1.53,9.2,9.18,2.67,5.16,0.22,16.9,0.12,0.25,,,,73.42,1.0,243.44,1.43,913.06,0.18,0.0,0.11,25.37
2022-08-22 00:00:00,2022-08-22 01:00:00,17.37,51.62,1.54,7.88,8.94,2.23,4.72,0.24,17.28,0.08,0.26,,,,73.97,0.5,238.21,1.3,911.52,0.18,0.0,0.1,25.12
2022-08-22 01:00:00,2022-08-22 02:00:00,14.71,47.8,1.51,7.15,8.86,3.05,4.74,0.22,17.89,0.1,0.24,,,,75.5,0.75,241.25,1.45,909.64,0.18,0.0,0.08,24.67
2022-08-22 02:00:00,2022-08-22 03:00:00,13.74,43.03,2.41,7.3,10.82,2.17,4.65,0.21,17.81,0.06,0.25,,,,75.79,,243.28,1.22,907.74,0.18,0.0,0.08,24.52
2022-08-22 03:00:00,2022-08-22 04:00:00,13.36,48.49,1.54,7.39,8.58,2.82,4.63,0.24,17.45,0.04,0.24,,,,77.19,,236.6,1.33,906.94,0.18,0.0,0.07,24.22
2022-08-22 04:00:00,2022-08-22 05:00:00,11.84,46.8,1.49,7.72,9.28,2.25,4.66,0.25,16.2,0.09,0.25,,,,76.02,,244.69,1.03,907.44,0.17,0.0,0.08,24.4
2022-08-22 05:00:00,2022-08-22 06:00:00,13.68,43.83,1.95,8.73,12.26,2.62,4.81,0.3,14.98,0.1,0.24,,,,78.61,,253.37,1.51,908.88,0.18,0.0,0.08,24.03
2022-08-22 06:00:00,2022-08-22 07:00:00,16.53,44.31,3.89,10.95,14.57,1.59,4.74,0.33,13.11,0.26,0.25,,,,76.52,,242.43,20.04,909.29,0.18,0.0,0.11,24.5
2022-08-22 07:00:00,2022-08-22 08:00:00,16.08,47.26,5.27,9.9,16.26,2.16,4.72,0.37,15.98,0.22,0.25,,,,75.41,,246.2,62.58,910.78,0.18,0.0,0.14,24.81
2022-08-22 08:00:00,2022-08-22 09:00:00,15.65,51.84,5.98,9.65,16.15,1.49,5.08,0.39,19.96,0.2,0.26,,0.01,,68.74,1.0,242.65,164.99,912.45,0.18,0.0,0.16,25.84
2022-08-22 09:00:00,2022-08-22 10:00:00,15.8,47.92,6.52,11.38,18.6,1.5,4.91,0.44,23.71,0.26,0.26,,0.01,,62.19,0.75,261.08,266.32,912.96,0.18,0.0,0.2,26.71
2022-08-22 10:00:00,2022-08-22 11:00:00,18.11,47.34,6.24,10.09,18.78,1.02,4.95,0.42,25.36,0.24,0.27,,0.01,,57.05,0.75,270.56,457.83,912.31,0.18,0.0,0.2,27.55
2022-08-22 11:00:00,2022-08-22 12:00:00,18.44,57.45,6.53,11.48,18.56,3.81,4.87,0.48,21.59,0.25,0.23,,0.01,,53.95,0.5,267.1,571.34,910.9,0.18,0.0,0.21,28.42
2022-08-22 12:00:00,2022-08-22 13:00:00,16.46,57.96,7.82,12.41,20.18,2.06,5.02,0.51,24.22,0.24,0.19,,0.01,,53.8,0.5,281.2,322.87,909.3,0.18,0.0,0.19,28.38
2022-08-22 13:00:00,2022-08-22 14:00:00,19.92,62.02,6.92,14.1,18.35,5.63,5.01,0.58,26.2,0.29,0.17,,0.01,,51.57,0.75,272.26,579.8,905.82,0.18,0.0,0.22,28.99
2022-08-22 14:00:00,2022-08-22 15:00:00,20.71,63.76,6.08,11.23,14.92,5.3,4.94,0.48,31.55,0.33,0.21,,0.01,,45.38,0.75,283.42,749.49,902.05,0.18,0.0,0.22,30.3
2022-08-22 15:00:00,2022-08-22 16:00:00,24.32,61.59,4.25,12.22,19.82,9.62,5.07,0.51,30.66,0.23,0.22,,0.01,,45.32,0.5,280.84,439.25,900.61,0.18,0.0,0.18,30.08
2022-08-22 16:00:00,2022-08-22 17:00:00,22.11,58.01,6.35,14.12,19.69,7.39,5.08,0.52,33.27,0.23,0.16,,0.01,,44.16,0.5,308.87,374.09,900.46,0.18,0.0,0.15,30.15
2022-08-22 17:00:00,2022-08-22 18:00:00,26.18,61.76,7.52,15.81,24.98,13.15,5.23,0.66,29.1,0.33,0.22,,0.01,,47.89,,278.55,174.3,901.29,0.18,0.0,0.21,29.58
2022-08-22 18:00:00,2022-08-22 19:00:00,24.56,73.08,10.55,17.88,27.68,4.91,5.21,0.75,25.15,0.46,0.27,,0.01,,51.83,0.5,273.94,17.87,904.17,0.18,0.0,0.28,28.71
2022-08-22 19:00:00,2022-08-22 20:00:00,25.62,67.48,8.79,18.16,29.36,5.89,5.31,0.81,23.59,0.64,0.28,,0.02,,55.73,,254.43,1.33,907.34,0.18,0.0,0.35,27.97
2022-08-22 20:00:00,2022-08-22 21:00:00,29.05,64.92,5.88,15.15,18.55,4.02,5.12,0.6,22.23,0.55,0.28,,0.02,,62.31,0.75,231.41,1.69,910.42,0.18,0.0,0.36,27.09
2022-08-22 21:00:00,2022-08-22 22:00:00,26.61,66.06,5.08,14.7,16.5,5.61,5.21,0.58,18.59,0.55,0.27,,0.01,,68.38,1.0,215.64,1.39,912.83,0.18,0.0,0.3,26.19
2022-08-22 22:00:00,2022-08-22 23:00:00,24.65,58.34,2.51,9.62,10.71,4.05,5.05,0.35,20.43,0.36,0.26,,0.01,,70.39,1.0,230.53,1.43,913.69,0.18,0.0,0.2,25.71
2022-08-22 23:00:00,2022-08-23 00:00:00,26.53,50.42,1.28,8.07,8.81,6.03,5.03,0.34,22.86,0.16,0.25,,,,71.7,1.0,232.95,1.4,913.01,0.18,0.0,0.12,25.25
2022-08-23 00:00:00,2022-08-23 01:00:00,23.14,39.88,1.25,7.24,8.58,3.83,4.71,0.29,21.23,0.08,0.23,,,,72.95,0.75,238.78,1.41,911.65,0.18,0.0,0.09,25.02
2022-08-23 01:00:00,2022-08-23 02:00:00,20.98,38.26,2.66,8.12,8.81,5.34,4.93,0.31,21.15,0.07,0.24,,,,74.22,0.25,243.04,1.35,909.5,0.18,0.0,0.09,24.66
2022-08-23 02:00:00,2022-08-23 03:00:00,19.14,41.28,4.05,8.96,11.05,2.93,4.84,0.31,17.88,0.07,0.23,,,,74.09,0.75,214.41,1.23,907.32,0.18,0.0,0.08,24.65
2022-08-23 03:00:00,2022-08-23 04:00:00,17.13,38.56,1.1,9.19,10.22,5.43,4.79,0.35,19.04,0.08,0.24,,,,74.58,0.25,214.93,1.0,906.9,0.18,0.0,0.09,24.49
2022-08-23 04:00:00,2022-08-23 05:00:00,16.6,39.59,1.7,9.4,12.18,3.37,4.88,0.32,17.14,0.08,0.23,,,,75.45,,220.75,1.3,907.7,0.18,0.0,0.08,24.34
2022-08-23 05:00:00,2022-08-23 06:00:00,17.03,36.8,3.09,11.37,17.89,4.5,4.78,0.43,15.56,0.08,0.24,,,,76.23,,212.03,1.02,909.29,0.18,0.0,0.09,24.19
