From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),AT (degree),RF (mm)
2021-06-18 22:00:00,2021-06-18 23:00:00,28.16,50.17,7.91,3.64,11.55,17.33,4.0,0.72,14.75,2.33,,,2.22,0.48,99.17,0.72,206.51,,,25.9,0.0
2021-06-18 23:00:00,2021-06-19 00:00:00,29.84,52.48,7.68,3.71,11.39,17.3,4.19,0.19,15.0,2.34,,,2.23,0.49,98.92,0.93,163.02,,,26.03,0.0
2021-06-19 00:00:00,2021-06-19 01:00:00,29.27,50.81,7.71,3.64,11.35,17.71,4.28,0.41,14.0,2.3,,,2.24,0.5,99.19,1.02,168.75,,,25.7,0.0
2021-06-19 01:00:00,2021-06-19 02:00:00,20.81,34.7,7.31,3.68,10.99,17.05,4.24,0.35,14.75,2.36,,,2.25,0.52,99.21,1.06,166.62,,,25.46,0.0
2021-06-19 02:00:00,2021-06-19 03:00:00,26.65,44.46,7.11,3.73,10.83,16.25,4.18,0.34,12.75,2.43,,,2.28,0.52,99.25,0.84,162.78,,,25.33,0.0
2021-06-19 03:00:00,2021-06-19 04:00:00,34.05,57.37,7.4,3.5,10.9,16.71,4.28,0.28,10.25,2.33,,,2.24,0.47,99.3,0.88,174.16,,,25.35,0.0
2021-06-19 04:00:00,2021-06-19 05:00:00,31.7,52.72,7.45,3.58,11.04,16.98,3.97,0.51,8.25,2.34,,,2.35,0.51,99.29,0.46,238.49,,,25.52,0.0
2021-06-19 05:00:00,2021-06-19 06:00:00,38.2,66.22,6.84,3.52,10.36,16.09,3.77,0.44,8.0,2.48,,,2.26,0.5,99.26,0.82,257.23,,,25.69,0.0
2021-06-19 06:00:00,2021-06-19 07:00:00,43.57,77.89,7.35,3.35,10.69,16.57,4.41,0.36,8.0,2.33,,,2.3,0.51,99.25,0.9,255.32,,,25.77,0.0
2021-06-19 07:00:00,2021-06-19 08:00:00,40.98,73.36,7.74,3.46,11.2,17.44,4.5,0.28,8.5,2.44,,,2.28,0.5,98.98,1.24,254.34,,,26.18,0.0
2021-06-19 08:00:00,2021-06-19 09:00:00,45.25,79.81,7.27,3.48,10.75,16.62,3.86,0.24,10.75,2.45,,,2.34,0.49,90.31,1.29,259.26,,,27.21,0.0
2021-06-19 09:00:00,2021-06-19 10:00:00,48.37,88.39,7.1,3.6,10.71,16.55,3.79,0.18,13.0,2.31,,,2.25,0.49,86.29,1.79,267.63,,,27.73,0.0
2021-06-19 10:00:00,2021-06-19 11:00:00,47.28,88.71,6.93,3.69,10.62,15.89,4.24,0.17,10.75,2.34,,,2.25,0.48,96.01,1.27,249.22,,,27.15,0.0
2021-06-19 11:00:00,2021-06-19 12:00:00,47.18,87.64,7.43,3.55,10.97,16.62,4.13,0.53,13.0,2.29,,,2.31,0.49,85.03,0.99,266.3,,,28.31,0.0
2021-06-19 12:00:00,2021-06-19 13:00:00,55.94,101.3,7.34,3.63,10.97,16.52,4.17,0.32,16.0,2.37,,,2.26,0.51,82.42,0.88,242.98,,,28.55,0.0
2021-06-19 13:00:00,2021-06-19 14:00:00,52.35,95.28,7.69,3.84,11.52,17.42,4.15,0.35,13.0,2.43,,,2.15,0.51,87.86,0.76,249.57,,,28.23,0.0
2021-06-19 14:00:00,2021-06-19 15:00:00,50.49,98.47,7.35,3.33,10.68,16.5,4.13,0.16,16.5,2.36,,,2.17,0.49,96.7,2.17,256.51,,,25.38,0.0
2021-06-19 15:00:00,2021-06-19 16:00:00,22.02,40.91,7.49,3.4,10.89,16.84,4.25,0.02,17.0,2.28,,,2.24,0.5,99.35,1.33,307.79,,,24.36,0.0
2021-06-19 16:00:00,2021-06-19 17:00:00,20.64,37.4,7.73,3.57,11.3,16.97,4.21,0.03,16.0,2.43,,,2.32,0.49,99.31,0.42,178.64,,,24.71,0.0
2021-06-19 17:00:00,2021-06-19 18:00:00,28.13,55.3,7.17,3.31,10.48,16.5,4.32,0.21,13.25,2.22,,,2.27,0.5,99.24,0.14,194.0,,,25.45,0.0
2021-06-19 18:00:00,2021-06-19 19:00:00,38.03,66.66,8.12,3.4,11.52,17.66,4.1,0.67,10.5,2.25,,,2.26,0.5,99.23,0.67,284.41,,,25.51,0.0
2021-06-19 19:00:00,2021-06-19 20:00:00,24.05,42.02,7.22,3.73,10.95,16.17,4.37,0.53,9.75,2.27,,,2.21,0.47,99.29,0.45,204.5,,,25.13,0.0
2021-06-19 20:00:00,2021-06-19 21:00:00,20.96,39.79,7.31,3.65,10.95,16.92,4.41,0.48,8.0,2.36,,,2.31,0.5,99.22,0.44,241.68,,,25.39,0.0
2021-06-19 21:00:00,2021-06-19 22:00:00,41.75,78.09,7.97,3.75,11.71,17.5,4.42,0.34,7.0,2.31,,,2.23,0.51,99.21,0.35,263.33,,,25.65,0.0
2021-06-19 22:00:00,2021-06-19 23:00:00,47.67,92.58,6.94,3.73,10.67,16.37,4.07,0.21,7.5,2.24,,,2.23,0.51,99.24,0.44,225.99,,,25.68,0.0
2021-06-19 23:00:00,2021-06-20 00:00:00,36.82,70.07,7.32,3.5,10.82,16.76,3.98,0.18,8.0,2.29,,,2.21,0.49,99.25,0.88,184.34,,,25.8,0.0
2021-06-20 00:00:00,2021-06-20 01:00:00,32.11,60.15,7.52,3.59,11.11,16.67,4.0,0.34,9.0,2.35,,,2.34,0.52,99.32,0.74,247.25,,,25.33,0.0
2021-06-20 01:00:00,2021-06-20 02:00:00,30.49,55.58,7.86,3.67,11.53,17.13,3.82,0.39,11.0,2.46,,,2.28,0.5,99.32,0.43,225.66,,,25.14,0.0
2021-06-20 02:00:00,2021-06-20 03:00:00,26.61,46.97,7.61,3.68,11.29,17.19,4.16,0.03,9.0,2.28,,,2.25,0.5,99.31,0.48,215.78,,,25.36,0.0
2021-06-20 03:00:00,2021-06-20 04:00:00,27.84,46.31,7.92,3.55,11.47,17.54,4.12,0.02,10.25,2.45,,,2.26,0.49,99.3,0.78,234.78,,,24.84,0.0
2021-06-20 04:00:00,2021-06-20 05:00:00,28.02,46.2,7.12,3.54,10.65,16.64,4.23,0.01,11.75,2.36,,,2.19,0.51,99.25,0.66,236.61,,,24.66,0.0
2021-06-20 05:00:00,2021-06-20 06:00:00,24.09,41.99,7.73,3.5,11.23,17.23,4.32,0.02,10.25,2.38,,,2.25,0.51,99.24,0.37,239.59,,,24.8,0.0
2021-06-20 06:00:00,2021-06-20 07:00:00,20.42,38.62,7.9,3.57,11.47,17.11,4.15,0.03,8.75,2.38,,,2.21,0.5,99.24,0.4,220.79,,,25.12,0.0
2021-06-20 07:00:00,2021-06-20 08:00:00,34.1,63.02,8.16,3.52,11.68,18.01,4.06,0.36,9.5,2.34,,,2.25,0.51,97.53,1.08,224.21,,,25.66,0.0
2021-06-20 08:00:00,2021-06-20 09:00:00,36.94,68.5,7.59,3.69,11.28,16.8,4.63,0.08,12.25,2.34,,,2.22,0.5,92.91,1.43,237.72,,,26.27,0.0
2021-06-20 09:00:00,2021-06-20 10:00:00,38.49,72.33,7.84,3.75,11.6,17.5,4.7,0.0,14.0,2.36,,,2.22,0.5,86.0,1.88,256.18,,,27.4,0.0
2021-06-20 10:00:00,2021-06-20 11:00:00,53.23,106.94,7.46,3.55,11.01,17.34,4.08,0.0,15.5,2.36,,,2.24,0.48,79.38,1.88,269.21,,,28.34,0.0
2021-06-20 11:00:00,2021-06-20 12:00:00,52.99,99.5,7.18,3.52,10.7,16.54,4.0,0.0,16.0,2.45,,,2.21,0.47,77.89,1.38,309.57,,,29.02,0.0
2021-06-20 12:00:00,2021-06-20 13:00:00,32.92,72.57,7.39,3.52,10.9,16.75,4.42,0.02,17.25,2.35,,,2.27,0.5,89.43,2.47,316.8,,,26.95,0.0
2021-06-20 13:00:00,2021-06-20 14:00:00,19.3,42.48,7.57,3.54,11.11,17.14,4.43,1.16,17.0,2.47,,,2.22,0.5,99.31,2.09,322.24,,,25.05,0.0
2021-06-20 14:00:00,2021-06-20 15:00:00,30.23,49.8,7.49,3.62,11.1,16.51,4.1,1.76,16.25,2.33,,,2.24,0.52,97.86,1.03,300.88,,,26.16,0.0
2021-06-20 15:00:00,2021-06-20 16:00:00,50.53,85.72,7.48,3.47,10.95,16.95,4.15,1.49,14.5,2.37,,,2.28,0.48,96.93,0.82,179.94,,,26.2,0.0
2021-06-20 16:00:00,2021-06-20 17:00:00,32.19,55.18,7.13,3.53,10.66,16.7,4.02,1.5,11.75,2.4,,,2.19,0.52,99.29,0.62,186.75,,,25.53,0.0
2021-06-20 17:00:00,2021-06-20 18:00:00,24.93,40.25,7.53,3.53,11.05,16.5,4.0,1.4,10.5,2.37,,,2.27,0.52,99.33,1.36,264.83,,,25.33,0.0
2021-06-20 18:00:00,2021-06-20 19:00:00,29.87,48.64,7.44,3.52,10.96,16.29,4.38,1.27,15.25,2.39,,,2.28,0.48,99.34,2.01,262.57,,,24.43,0.0
2021-06-20 19:00:00,2021-06-20 20:00:00,28.38,45.5,7.35,3.44,10.79,16.86,4.47,1.41,14.25,2.43,,,2.27,0.51,98.35,0.83,289.17,,,24.87,0.0
2021-06-20 20:00:00,2021-06-20 21:00:00,27.72,46.33,7.66,3.62,11.28,16.95,4.1,1.86,9.5,2.34,,,2.21,0.52,96.53,0.47,246.98,,,25.4,0.0
2021-06-20 21:00:00,2021-06-20 22:00:00,32.45,54.31,8.37,3.4,11.77,17.38,3.85,1.83,10.75,2.41,,,2.2,0.52,98.36,0.46,249.68,,,25.45,0.0
2021-06-20 22:00:00,2021-06-20 23:00:00,41.34,71.32,7.15,3.58,10.73,16.59,4.43,1.55,8.75,2.31,,,2.25,0.52,98.78,0.46,217.45,,,25.53,0.0
2021-06-20 23:00:00,2021-06-21 00:00:00,55.06,100.42,7.55,3.65,11.21,16.83,4.41,1.48,8.33,2.5,,,2.27,0.49,99.22,0.29,208.39,,,25.33,0.0
2021-06-21 00:00:00,2021-06-21 01:00:00,50.91,94.45,7.74,3.6,11.35,16.81,4.45,1.29,11.5,2.35,,,2.2,0.49,99.23,1.1,176.65,,,25.28,0.0
2021-06-21 01:00:00,2021-06-21 02:00:00,48.29,81.34,7.82,3.6,11.43,17.18,4.52,1.27,12.0,2.37,,,2.25,0.5,99.26,0.92,181.75,,,25.12,0.0
2021-06-21 02:00:00,2021-06-21 03:00:00,61.08,103.25,7.68,3.63,11.31,17.22,4.0,1.23,11.25,2.4,,,2.25,0.52,99.31,0.71,187.24,,,24.9,0.0
2021-06-21 03:00:00,2021-06-21 04:00:00,57.65,99.37,7.59,3.53,11.12,17.21,3.82,1.69,12.0,2.37,,,2.23,0.5,99.29,0.7,181.15,,,24.83,0.0
2021-06-21 04:00:00,2021-06-21 05:00:00,56.02,94.19,7.35,3.57,10.92,16.54,4.16,1.36,12.0,2.42,,,2.24,0.47,99.25,0.67,186.57,,,25.06,0.0
2021-06-21 05:00:00,2021-06-21 06:00:00,51.95,89.65,7.45,3.52,10.98,16.7,4.28,1.22,11.5,2.37,,,2.26,0.49,99.25,0.78,188.84,,,25.13,0.0
2021-06-21 06:00:00,2021-06-21 07:00:00,53.58,93.28,7.87,3.56,11.42,17.61,4.15,1.26,8.75,2.38,,,2.22,0.49,99.27,0.66,239.72,,,25.29,0.0
2021-06-21 07:00:00,2021-06-21 08:00:00,76.09,136.21,7.28,3.46,10.74,16.18,4.25,1.38,7.25,2.35,,,2.25,0.5,99.27,0.82,244.44,,,25.87,0.0
2021-06-21 08:00:00,2021-06-21 09:00:00,123.15,220.3,7.14,3.4,10.54,16.19,3.86,1.24,8.0,2.32,,,2.19,0.49,99.22,1.39,255.1,,,26.83,0.0
2021-06-21 09:00:00,2021-06-21 10:00:00,131.37,236.43,7.08,3.48,10.56,16.47,3.84,1.18,8.0,2.35,,,2.29,0.48,98.64,1.65,254.7,,,27.43,0.0
2021-06-21 10:00:00,2021-06-21 11:00:00,115.21,206.56,7.75,3.5,11.24,16.61,4.14,1.53,9.5,2.4,,,2.29,0.52,88.33,1.92,260.38,,,28.67,0.0
2021-06-21 11:00:00,2021-06-21 12:00:00,107.25,193.31,7.46,3.79,11.26,16.55,4.13,1.19,12.5,2.33,,,2.24,0.5,77.73,1.79,272.44,,,29.34,0.0
2021-06-21 12:00:00,2021-06-21 13:00:00,89.12,160.0,7.67,3.46,11.13,17.33,4.41,1.17,10.75,2.27,,,2.27,0.49,85.8,1.25,162.84,,,27.93,0.0
2021-06-21 13:00:00,2021-06-21 14:00:00,44.61,76.22,7.48,3.54,11.03,16.9,4.41,1.05,12.5,2.45,,,2.24,0.51,86.57,1.26,190.59,,,27.45,0.0
2021-06-21 14:00:00,2021-06-21 15:00:00,104.65,179.27,7.82,3.52,11.34,17.07,4.14,1.15,13.25,2.42,,,2.25,0.5,69.79,0.65,53.97,,,30.13,0.0
2021-06-21 15:00:00,2021-06-21 16:00:00,160.84,277.56,7.15,3.26,10.41,16.55,3.9,1.14,15.75,2.45,,,2.27,0.47,78.03,1.28,240.27,,,28.9,0.0
2021-06-21 16:00:00,2021-06-21 17:00:00,42.41,71.03,7.11,3.59,10.71,16.59,4.04,1.27,13.0,2.4,,,2.25,0.51,99.31,0.61,223.28,,,25.36,0.0
2021-06-21 17:00:00,2021-06-21 18:00:00,54.44,90.63,7.67,3.43,11.1,17.2,3.86,1.64,10.25,2.43,,,2.27,0.5,99.19,0.42,186.13,,,26.53,0.0
2021-06-21 18:00:00,2021-06-21 19:00:00,85.34,145.41,7.19,3.72,10.91,16.59,4.23,1.15,11.0,2.31,,,2.34,0.5,99.16,0.89,328.98,,,26.22,0.0
2021-06-21 19:00:00,2021-06-21 20:00:00,45.02,73.96,7.72,3.7,11.43,16.98,4.31,1.3,10.75,2.45,,,2.18,0.48,99.2,0.51,128.88,,,26.09,0.0
2021-06-21 20:00:00,2021-06-21 21:00:00,29.77,48.65,7.54,3.63,11.2,16.99,4.09,1.56,9.0,2.38,,,2.28,0.51,98.27,0.46,205.0,,,26.48,0.0
2021-06-21 21:00:00,2021-06-21 22:00:00,83.26,143.85,7.87,3.32,11.2,17.06,4.08,1.32,7.0,2.32,,,2.21,0.49,98.96,0.52,241.7,,,26.42,0.0
2021-06-21 22:00:00,2021-06-21 23:00:00,132.14,230.82,7.31,3.49,10.8,17.04,4.23,1.15,7.75,2.33,,,2.29,0.51,99.24,0.36,192.11,,,26.25,0.0
2021-06-21 23:00:00,2021-06-22 00:00:00,110.63,187.15,7.47,3.54,11.0,17.1,4.11,1.48,9.67,2.43,,,2.23,0.52,99.25,0.6,195.84,,,26.04,0.0
2021-06-22 00:00:00,2021-06-22 01:00:00,92.19,158.34,8.11,3.5,11.61,17.62,4.2,1.25,7.5,2.41,,,2.28,0.49,99.25,0.35,232.31,,,26.09,0.0
2021-06-22 01:00:00,2021-06-22 02:00:00,72.96,129.7,7.64,3.69,11.32,17.24,4.42,1.02,7.5,2.44,,,2.23,0.51,99.25,0.42,233.3,,,26.11,0.0
2021-06-22 02:00:00,2021-06-22 03:00:00,85.72,153.18,7.74,3.76,11.51,17.22,4.12,1.02,7.25,2.35,,,2.37,0.51,99.27,0.3,230.64,,,26.2,0.0
2021-06-22 03:00:00,2021-06-22 04:00:00,89.31,160.16,7.8,3.43,11.23,17.11,4.1,0.88,7.5,2.31,,,2.16,0.5,99.29,0.88,255.18,,,25.95,0.0
2021-06-22 04:00:00,2021-06-22 05:00:00,82.7,143.32,7.64,3.48,11.12,16.97,4.12,0.85,8.0,2.39,,,2.26,0.5,99.29,0.8,253.4,,,25.87,0.0
2021-06-22 05:00:00,2021-06-22 06:00:00,101.13,171.46,7.52,3.71,11.22,16.84,4.09,0.78,8.25,2.36,,,2.25,0.49,99.28,0.89,252.08,,,25.93,0.0
2021-06-22 06:00:00,2021-06-22 07:00:00,113.78,199.47,7.43,3.49,10.93,16.69,3.73,1.35,7.5,2.32,,,2.28,0.48,99.28,0.79,258.54,,,26.09,0.0
2021-06-22 07:00:00,2021-06-22 08:00:00,86.19,155.22,7.65,3.5,11.15,17.4,3.92,1.04,7.0,2.45,,,2.21,0.52,99.02,1.17,255.12,,,26.77,0.0
2021-06-22 08:00:00,2021-06-22 09:00:00,81.63,149.99,7.92,3.49,11.41,17.29,4.04,0.82,8.25,2.36,,,2.15,0.48,94.39,1.32,268.71,,,27.64,0.0
