From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),Xylene (ug/m3),AT (degree C),RF (mm)
2021-06-18 07:00:00,2021-06-18 08:00:00,35.17,66.67,13.32,4.22,17.54,10.25,2.46,1.01,4.3,,,,,,86.32,0.35,358.42,,26.01,0.0
2021-06-18 08:00:00,2021-06-18 09:00:00,45.17,87.7,13.11,4.14,17.25,9.53,2.57,1.1,5.01,,,,,,81.78,0.48,,,26.79,0.0
2021-06-18 09:00:00,2021-06-18 10:00:00,43.58,86.65,12.7,4.15,16.84,9.18,2.49,1.12,6.32,,,,,,75.76,0.5,,,28.04,0.0
2021-06-18 10:00:00,2021-06-18 11:00:00,29.75,60.28,12.4,4.11,16.51,8.96,2.16,1.11,8.58,,,,,,70.63,0.57,0.2,,29.52,0.0
2021-06-18 11:00:00,2021-06-18 12:00:00,23.87,49.93,12.46,4.07,16.53,9.36,2.25,1.04,9.01,,,,,,65.7,0.67,1.32,,30.73,0.0
2021-06-18 12:00:00,2021-06-18 13:00:00,29.87,61.93,11.6,4.11,15.71,8.26,2.35,1.09,10.06,,,,,,61.35,0.78,1.72,,31.33,0.0
2021-06-18 13:00:00,2021-06-18 14:00:00,45.03,94.18,10.52,3.94,14.46,7.29,2.34,1.07,12.38,,,,,,64.51,0.9,2.37,,31.17,0.0
2021-06-18 14:00:00,2021-06-18 15:00:00,55.35,114.22,9.8,3.82,13.62,6.67,2.39,1.25,12.37,,,,,,77.5,1.41,,,29.56,0.0
2021-06-18 15:00:00,2021-06-18 16:00:00,56.3,114.7,9.18,3.46,12.64,5.86,2.19,1.02,9.9,,,,,,79.98,1.59,266.11,,29.02,0.0
2021-06-18 16:00:00,2021-06-18 17:00:00,44.05,91.62,8.48,4.01,12.49,6.18,2.23,0.9,7.85,,,,,,81.9,1.53,266.29,,27.15,0.0
2021-06-18 17:00:00,2021-06-18 18:00:00,25.55,51.42,7.5,3.85,11.35,5.2,2.3,1.04,7.13,,,,,,85.62,0.94,,,26.03,0.9
2021-06-18 18:00:00,2021-06-18 19:00:00,32.2,65.23,8.19,3.48,11.67,5.39,2.52,1.23,6.17,,,,,,84.3,0.92,354.14,,26.02,0.0
2021-06-18 19:00:00,2021-06-18 20:00:00,24.95,51.23,8.56,3.46,12.02,5.77,2.51,1.24,6.06,,,,,,84.53,0.45,353.58,,25.99,0.0
2021-06-18 20:00:00,2021-06-18 21:00:00,24.8,51.02,8.8,3.38,12.18,5.83,2.29,1.12,6.69,,,,,,83.07,0.37,351.84,,26.2,0.0
2021-06-18 21:00:00,2021-06-18 22:00:00,23.98,47.15,9.21,3.1,12.31,5.84,2.08,0.96,6.9,,,,,,84.87,0.27,354.67,,25.91,0.0
2021-06-18 22:00:00,2021-06-18 23:00:00,26.97,52.42,9.3,3.14,12.45,7.0,2.21,0.99,6.19,,,,,,85.72,0.35,356.27,,25.94,0.0
2021-06-18 23:00:00,2021-06-19 00:00:00,30.6,60.8,9.82,3.53,13.35,6.51,2.27,1.06,5.72,,,,,,87.34,0.5,358.69,,25.85,0.0
2021-06-19 00:00:00,2021-06-19 01:00:00,39.7,79.3,11.76,2.69,13.75,7.77,1.82,1.06,5.09,,,,,,86.98,0.76,,,25.65,0.0
2021-06-19 01:00:00,2021-06-19 02:00:00,32.73,65.47,10.62,4.38,14.98,7.87,1.75,0.98,4.98,,,,,,88.88,0.7,359.27,,25.35,0.0
2021-06-19 02:00:00,2021-06-19 03:00:00,30.05,58.55,10.31,3.8,14.12,7.04,1.59,0.89,4.61,,,,,,91.37,0.49,357.48,,25.17,0.0
2021-06-19 03:00:00,2021-06-19 04:00:00,29.67,59.0,11.17,3.83,15.01,7.95,1.82,1.05,4.16,,,,,,93.24,0.58,356.62,,25.23,0.0
2021-06-19 04:00:00,2021-06-19 05:00:00,29.38,55.6,11.35,3.83,15.18,7.93,1.94,0.97,4.49,,,,,,92.93,0.27,356.86,,25.35,0.0
2021-06-19 05:00:00,2021-06-19 06:00:00,35.25,67.08,11.43,3.95,15.38,8.42,1.94,1.02,4.65,,,,,,89.57,0.27,344.48,,25.71,0.0
2021-06-19 06:00:00,2021-06-19 07:00:00,33.2,65.62,11.68,4.06,15.75,8.01,1.82,1.04,5.31,,,,,,88.66,0.31,208.71,,25.88,0.0
2021-06-19 07:00:00,2021-06-19 08:00:00,35.02,69.95,11.57,3.77,15.34,8.53,1.73,0.95,4.5,,,,,,85.9,0.42,244.86,,26.48,0.0
2021-06-19 08:00:00,2021-06-19 09:00:00,30.18,61.17,12.48,3.85,16.33,8.89,1.77,1.06,5.17,,,,,,77.56,0.88,,,27.54,0.0
2021-06-19 09:00:00,2021-06-19 10:00:00,23.5,48.57,12.66,4.48,17.13,9.07,1.88,1.23,6.26,,,,,,74.57,1.02,,,28.02,0.0
2021-06-19 10:00:00,2021-06-19 11:00:00,33.6,71.95,12.2,4.36,16.56,8.95,1.98,1.27,5.87,,,,,,79.29,0.98,,,27.58,0.0
2021-06-19 11:00:00,2021-06-19 12:00:00,36.05,78.15,12.7,4.59,17.29,9.61,1.95,1.2,6.28,,,,,,76.73,0.84,,,28.45,0.0
2021-06-19 12:00:00,2021-06-19 13:00:00,31.32,65.8,12.3,4.6,16.9,9.21,1.78,1.02,9.28,,,,,,72.21,0.79,,,28.82,0.0
2021-06-19 13:00:00,2021-06-19 14:00:00,32.52,66.57,12.54,4.36,16.89,9.66,1.69,1.12,7.36,,,,,,77.24,0.49,,,28.21,0.0
2021-06-19 14:00:00,2021-06-19 15:00:00,31.12,64.3,12.42,4.71,17.13,9.59,1.9,1.18,6.78,,,,,,83.08,1.16,359.7,,26.8,0.0
2021-06-19 15:00:00,2021-06-19 16:00:00,17.52,36.65,12.17,4.95,17.11,9.13,1.96,1.12,7.81,,,,,,86.59,1.02,356.69,,25.34,0.0
2021-06-19 16:00:00,2021-06-19 17:00:00,21.15,46.08,12.01,4.71,16.73,9.38,1.98,1.13,8.11,,,,,,86.48,0.7,353.06,,25.44,0.0
2021-06-19 17:00:00,2021-06-19 18:00:00,22.72,46.55,11.24,4.42,15.66,8.68,1.82,1.04,8.6,,,,,,83.87,0.4,353.94,,25.68,0.0
2021-06-19 18:00:00,2021-06-19 19:00:00,38.0,74.05,10.46,3.98,14.45,7.47,1.75,1.33,7.08,,,,,,82.17,0.29,354.7,,26.05,0.0
2021-06-19 19:00:00,2021-06-19 20:00:00,31.95,66.62,12.07,5.0,17.07,9.66,2.18,1.69,4.45,,,,,,87.55,0.4,356.3,,25.67,0.0
2021-06-19 20:00:00,2021-06-19 21:00:00,20.73,43.77,12.76,5.56,18.31,10.15,2.16,1.5,5.01,,,,,,84.51,0.35,358.48,,25.7,0.0
2021-06-19 21:00:00,2021-06-19 22:00:00,,,12.18,5.03,17.2,9.7,2.09,1.36,5.38,,,,,,84.86,0.32,,,25.7,0.0
2021-06-19 22:00:00,2021-06-19 23:00:00,,,11.89,5.02,16.91,9.28,2.11,1.29,5.44,,,,,,86.5,0.39,,,25.85,0.0
2021-06-19 23:00:00,2021-06-20 00:00:00,,,11.63,4.51,16.14,9.08,1.86,0.97,5.99,,,,,,89.36,0.79,,,25.83,0.0
2021-06-20 00:00:00,2021-06-20 01:00:00,,,11.83,4.08,15.91,8.13,2.24,0.99,5.3,,,,,,92.36,0.54,,,25.58,0.0
2021-06-20 01:00:00,2021-06-20 02:00:00,,,11.62,4.12,15.74,8.17,2.32,1.04,5.54,,,,,,90.0,0.26,358.14,,25.45,0.0
2021-06-20 02:00:00,2021-06-20 03:00:00,,,10.88,3.8,14.69,8.0,2.29,1.02,5.73,,,,,,90.91,0.36,357.12,,25.5,0.0
2021-06-20 03:00:00,2021-06-20 04:00:00,,,10.82,3.73,14.54,7.73,2.27,1.04,6.04,,,,,,90.84,0.64,356.59,,25.25,0.0
2021-06-20 04:00:00,2021-06-20 05:00:00,,,10.67,3.78,14.45,7.81,2.19,0.92,5.74,,,,,,90.39,0.51,356.29,,24.92,0.0
2021-06-20 05:00:00,2021-06-20 06:00:00,,,10.99,3.6,14.59,7.5,2.1,0.96,5.13,,,,,,87.59,0.17,356.19,,24.95,0.0
2021-06-20 06:00:00,2021-06-20 07:00:00,,,11.25,3.79,15.03,8.09,2.31,1.08,4.43,,,,,,89.22,0.3,357.59,,25.15,0.0
2021-06-20 07:00:00,2021-06-20 08:00:00,,,10.62,3.6,14.22,7.27,2.4,1.14,4.6,,,,,,85.78,0.79,359.4,,25.84,0.0
2021-06-20 08:00:00,2021-06-20 09:00:00,43.5,89.8,11.23,3.86,15.09,8.12,2.36,1.08,5.59,,,,,,79.27,1.18,358.66,,26.7,0.0
2021-06-20 09:00:00,2021-06-20 10:00:00,35.38,73.3,11.03,4.12,15.15,8.14,2.21,1.01,7.09,,,,,,76.17,1.26,1.89,,27.71,0.0
2021-06-20 10:00:00,2021-06-20 11:00:00,32.3,68.23,11.05,3.73,14.78,7.72,1.9,0.91,8.51,,,,,,72.64,1.16,1.63,,28.68,0.0
2021-06-20 11:00:00,2021-06-20 12:00:00,36.1,77.5,9.91,4.04,13.95,7.22,2.22,1.06,7.85,,,,,,71.94,1.07,,,29.27,0.0
2021-06-20 12:00:00,2021-06-20 13:00:00,28.98,60.73,8.65,3.68,12.34,5.93,2.21,1.09,8.37,,,,,,80.23,1.61,180.09,,27.31,0.85
2021-06-20 13:00:00,2021-06-20 14:00:00,24.48,49.47,8.77,3.63,12.4,5.73,2.31,1.1,7.25,,,,,,97.57,1.17,184.81,,24.75,0.35
2021-06-20 14:00:00,2021-06-20 15:00:00,43.73,82.1,8.97,3.39,12.36,5.78,2.17,1.02,8.04,,,,,,86.76,0.45,359.12,,25.86,0.0
2021-06-20 15:00:00,2021-06-20 16:00:00,54.42,102.75,8.71,3.18,11.89,5.41,1.93,0.96,6.79,,,,,,90.52,0.55,357.14,,25.61,0.05
2021-06-20 16:00:00,2021-06-20 17:00:00,33.57,64.53,9.84,3.56,13.41,6.55,2.15,1.35,4.38,,,,,,97.37,0.5,359.24,,25.21,0.1
2021-06-20 17:00:00,2021-06-20 18:00:00,,,10.95,4.19,15.14,8.21,2.41,1.39,4.76,,,,,,97.05,0.52,358.43,,25.38,0.05
2021-06-20 18:00:00,2021-06-20 19:00:00,,,11.41,4.36,15.77,8.47,2.35,1.22,5.59,,,,,,94.75,0.7,355.11,,24.81,0.0
2021-06-20 19:00:00,2021-06-20 20:00:00,,,11.54,4.29,15.83,8.4,2.34,1.32,5.56,,,,,,90.45,0.29,356.27,,24.7,0.0
2021-06-20 20:00:00,2021-06-20 21:00:00,33.2,64.4,11.18,4.2,15.38,8.19,2.29,1.52,4.03,,,,,,88.88,0.1,358.55,,24.87,0.0
2021-06-20 21:00:00,2021-06-20 22:00:00,,,11.77,4.31,16.09,8.7,2.3,1.6,3.54,,,,,,86.7,0.16,,,25.34,0.0
2021-06-20 22:00:00,2021-06-20 23:00:00,,,12.18,4.54,16.73,9.21,2.54,1.28,3.88,,,,,,87.63,0.27,,,25.3,0.0
2021-06-20 23:00:00,2021-06-21 00:00:00,,,12.35,4.51,16.86,9.04,2.46,1.12,3.87,,,,,,89.12,0.19,,,25.1,0.0
2021-06-21 00:00:00,2021-06-21 01:00:00,,,12.04,4.15,16.18,9.87,2.27,1.04,4.62,,,,,,90.08,0.57,,,25.16,0.0
2021-06-21 01:00:00,2021-06-21 02:00:00,,,11.37,4.24,15.6,8.39,2.24,0.95,5.19,,,,,,92.64,0.7,359.64,,24.97,0.0
2021-06-21 02:00:00,2021-06-21 03:00:00,,,11.29,3.77,15.05,7.92,2.0,0.8,5.33,,,,,,93.71,0.55,120.59,,24.81,0.0
2021-06-21 03:00:00,2021-06-21 04:00:00,,,11.25,3.61,14.86,7.57,2.21,0.94,5.04,,,,,,92.74,0.48,357.6,,24.82,0.0
2021-06-21 04:00:00,2021-06-21 05:00:00,,,10.74,3.59,14.33,6.94,2.23,0.97,4.86,,,,,,90.48,0.48,356.07,,25.0,0.0
2021-06-21 05:00:00,2021-06-21 06:00:00,,,10.72,3.42,14.15,7.65,2.23,1.01,4.48,,,,,,91.12,0.38,357.63,,25.06,0.0
2021-06-21 06:00:00,2021-06-21 07:00:00,,,10.89,3.72,14.61,7.21,2.15,1.06,4.98,,,,,,93.73,0.22,355.57,,25.08,0.0
2021-06-21 07:00:00,2021-06-21 08:00:00,,,11.26,3.81,15.07,7.9,2.0,1.06,4.26,,,,,,91.36,0.28,355.82,,25.91,0.0
2021-06-21 08:00:00,2021-06-21 09:00:00,,,11.67,3.71,15.38,7.95,1.99,1.13,4.04,,,,,,87.63,0.8,358.47,,26.97,0.0
2021-06-21 09:00:00,2021-06-21 10:00:00,,,12.03,3.84,15.87,8.49,2.2,1.28,4.38,,,,,,84.55,0.76,359.82,,27.79,0.0
2021-06-21 10:00:00,2021-06-21 11:00:00,60.3,127.6,12.2,4.39,16.59,8.75,2.13,1.36,5.68,,,,,,78.88,1.23,,,29.04,0.0
2021-06-21 11:00:00,2021-06-21 12:00:00,89.95,192.62,8.81,5.54,14.36,6.75,2.14,1.17,8.54,,,,,,74.55,1.22,,,29.17,0.25
2021-06-21 12:00:00,2021-06-21 13:00:00,78.42,158.92,8.15,4.44,12.59,6.01,1.83,0.93,6.17,,,,,,88.9,1.5,358.51,,25.97,0.1
2021-06-21 13:00:00,2021-06-21 14:00:00,41.98,78.25,7.64,3.26,10.9,4.86,1.77,0.89,6.46,,,,,,90.03,0.98,30.05,,25.84,0.05
2021-06-21 14:00:00,2021-06-21 15:00:00,62.9,117.22,8.09,2.98,11.07,4.84,2.01,1.08,5.79,,,,,,74.21,0.43,74.62,,28.46,0.0
2021-06-21 15:00:00,2021-06-21 16:00:00,80.53,160.1,8.4,3.2,11.6,5.08,2.03,1.05,7.66,,,,,,73.89,1.23,103.36,,28.99,0.25
2021-06-21 16:00:00,2021-06-21 17:00:00,38.17,76.5,8.58,3.31,11.89,5.7,2.06,1.11,6.53,,,,,,95.6,0.45,181.5,,25.04,0.45
2021-06-21 17:00:00,2021-06-21 18:00:00,35.7,68.05,8.76,3.56,12.32,6.07,2.02,1.23,6.05,,,,,,90.91,0.4,355.58,,25.86,0.0
2021-06-21 18:00:00,2021-06-21 19:00:00,52.3,100.78,8.89,3.23,12.12,5.75,2.0,1.23,5.13,,,,,,89.94,0.55,355.12,,26.05,0.0
2021-06-21 19:00:00,2021-06-21 20:00:00,44.75,86.05,9.88,3.67,13.55,6.78,2.17,1.5,4.49,,,,,,92.69,0.36,355.31,,25.56,0.0
2021-06-21 20:00:00,2021-06-21 21:00:00,43.65,84.55,10.36,4.29,14.65,7.62,2.41,1.95,3.93,,,,,,89.06,0.23,355.52,,26.07,0.0
2021-06-21 21:00:00,2021-06-21 22:00:00,50.38,98.62,11.12,4.58,15.7,8.61,2.27,1.47,3.85,,,,,,90.17,0.22,358.16,,26.13,0.0
2021-06-21 22:00:00,2021-06-21 23:00:00,46.08,88.83,11.38,4.62,16.0,8.61,2.32,1.25,5.45,,,,,,93.22,0.23,,,25.82,0.0
2021-06-21 23:00:00,2021-06-22 00:00:00,46.17,87.6,11.33,4.49,15.82,8.79,2.03,0.92,5.68,,,,,,91.78,0.37,,,25.83,0.0
2021-06-22 00:00:00,2021-06-22 01:00:00,48.22,91.93,11.18,3.65,14.83,7.99,2.24,0.98,4.0,,,,,,91.69,0.24,,,25.77,0.0
2021-06-22 01:00:00,2021-06-22 02:00:00,49.13,93.8,11.02,3.99,15.02,7.64,2.34,1.06,3.98,,,,,,90.64,0.22,359.83,,25.88,0.0
2021-06-22 02:00:00,2021-06-22 03:00:00,48.78,95.95,11.35,3.88,15.22,8.0,2.47,1.05,4.47,,,,,,92.4,0.34,359.12,,25.85,0.0
2021-06-22 03:00:00,2021-06-22 04:00:00,43.1,84.67,11.04,3.7,14.74,7.56,2.39,1.01,5.26,,,,,,93.79,0.33,358.5,,25.84,0.0
2021-06-22 04:00:00,2021-06-22 05:00:00,47.5,93.62,11.31,3.92,15.23,7.87,2.16,0.85,6.13,,,,,,91.03,0.36,356.46,,25.96,0.0
2021-06-22 05:00:00,2021-06-22 06:00:00,45.15,90.15,11.5,3.61,15.11,7.96,2.02,0.86,4.46,,,,,,91.24,0.35,355.3,,25.96,0.0
2021-06-22 06:00:00,2021-06-22 07:00:00,45.02,90.85,11.47,3.77,15.25,8.26,2.24,1.07,4.01,,,,,,90.0,0.26,354.44,,26.22,0.0
2021-06-22 07:00:00,2021-06-22 08:00:00,46.45,96.73,11.57,3.75,15.32,7.96,2.28,1.11,4.17,,,,,,87.8,0.44,356.59,,26.73,0.0
2021-06-22 08:00:00,2021-06-22 09:00:00,49.75,104.45,11.81,4.04,15.86,8.22,2.33,1.2,5.02,,,,,,85.09,0.66,359.94,,27.41,0.0
2021-06-22 09:00:00,2021-06-22 10:00:00,54.55,118.17,12.13,4.33,16.46,9.18,2.16,1.15,6.36,,,,,,79.94,0.86,357.8,,28.48,0.0
2021-06-22 10:00:00,2021-06-22 11:00:00,59.17,128.25,12.39,4.12,16.52,9.15,2.09,1.04,4.84,,,,,,73.34,1.17,2.4,,29.3,0.0
2021-06-22 11:00:00,2021-06-22 12:00:00,65.85,143.28,12.51,4.23,16.75,9.1,2.2,1.12,5.62,,,,,,67.07,1.32,179.86,,30.51,0.05
2021-06-22 12:00:00,2021-06-22 13:00:00,63.33,137.27,12.28,4.28,16.55,8.88,2.3,1.14,6.43,,,,,,64.34,1.04,179.74,,31.01,0.0
2021-06-22 13:00:00,2021-06-22 14:00:00,58.05,124.15,11.89,4.4,16.29,8.35,2.23,1.11,6.32,,,,,,84.62,1.06,268.28,,27.1,2.05
2021-06-22 14:00:00,2021-06-22 15:00:00,33.33,65.1,11.1,4.46,15.56,7.97,2.12,1.08,5.81,,,,,,99.61,0.44,180.32,,24.09,2.95
2021-06-22 15:00:00,2021-06-22 16:00:00,48.05,90.28,10.78,3.79,14.57,7.9,1.96,1.29,5.16,,,,,,98.03,0.27,179.92,,24.99,0.05
2021-06-22 16:00:00,2021-06-22 17:00:00,63.58,125.3,11.59,4.72,16.3,8.73,2.45,1.9,4.42,,,,,,90.65,0.24,354.35,,26.41,0.0
2021-06-22 17:00:00,2021-06-22 18:00:00,59.2,118.45,13.19,6.08,19.27,10.86,2.72,2.16,4.14,,,,,,83.77,0.32,356.34,,27.35,0.0
2021-06-22 18:00:00,2021-06-22 19:00:00,66.18,132.78,14.94,6.61,21.54,12.91,2.86,2.38,4.05,,,,,,81.92,0.2,357.86,,27.52,0.0
2021-06-22 19:00:00,2021-06-22 20:00:00,75.88,154.23,16.77,7.48,24.25,15.89,3.13,2.9,4.98,,,,,,85.48,0.33,,,27.2,0.0
2021-06-22 20:00:00,2021-06-22 21:00:00,83.43,170.33,16.92,7.4,24.52,16.6,2.62,1.57,5.0,,,,,,87.58,0.36,,,26.92,0.0
2021-06-22 21:00:00,2021-06-22 22:00:00,72.38,145.43,17.63,6.63,24.27,14.96,2.41,1.24,3.59,,,,,,88.08,0.42,,,26.99,0.0
2021-06-22 22:00:00,2021-06-22 23:00:00,65.27,132.18,17.42,6.55,23.97,14.65,2.53,1.31,3.61,,,,,,89.11,0.34,,,26.94,0.0
2021-06-22 23:00:00,2021-06-23 00:00:00,61.97,126.3,16.95,6.24,23.19,13.83,2.58,1.3,3.59,,,,,,89.12,0.29,,,26.85,0.0
2021-06-23 00:00:00,2021-06-23 01:00:00,59.68,118.7,16.52,5.98,22.49,13.3,1.84,1.05,4.75,,,,,,91.49,0.36,,,26.6,0.0
2021-06-23 01:00:00,2021-06-23 02:00:00,51.17,100.67,15.63,5.68,21.32,12.71,1.67,0.93,5.69,,,,,,94.63,0.29,359.96,,26.38,0.0
2021-06-23 02:00:00,2021-06-23 03:00:00,50.67,100.27,16.13,5.26,21.38,12.78,1.51,0.82,3.99,,,,,,94.32,0.24,359.15,,26.18,0.0
2021-06-23 03:00:00,2021-06-23 04:00:00,57.95,117.58,16.09,5.25,21.34,12.59,1.65,0.97,3.92,,,,,,85.89,0.34,354.67,,26.43,0.0
