From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),RF (mm)
2021-02-09 21:00:00,2021-02-09 22:00:00,139.19,234.9,7.3,20.5,27.8,23.7,21.17,2.0,1.81,18.38,23.89,154.62,,,,82.97,0.2,158.2,0.97,105.3,0.0
2021-02-09 22:00:00,2021-02-09 23:00:00,155.3,248.46,7.18,16.52,23.7,21.44,22.05,2.23,1.16,21.11,24.85,161.28,,,,85.8,0.11,100.12,0.3,109.5,0.0
2021-02-09 23:00:00,2021-02-10 00:00:00,155.97,244.81,7.02,13.61,20.62,19.8,21.8,2.34,0.99,21.7,24.56,162.05,,,,90.11,0.23,112.62,0.33,110.1,0.0
2021-02-10 00:00:00,2021-02-10 01:00:00,154.5,211.29,7.21,16.75,23.96,16.39,19.2,2.42,1.34,20.44,20.75,141.74,,,,90.59,0.2,167.22,1.2,96.02,0.0
2021-02-10 01:00:00,2021-02-10 02:00:00,155.9,214.32,7.28,11.97,19.26,15.86,18.61,2.53,0.93,20.91,22.4,151.1,,,,95.14,0.25,214.59,0.83,103.49,0.0
2021-02-10 02:00:00,2021-02-10 03:00:00,151.77,203.03,7.01,11.35,18.36,14.56,16.45,2.57,1.14,20.5,19.67,136.45,,,,95.36,0.33,238.12,0.97,94.07,0.0
2021-02-10 03:00:00,2021-02-10 04:00:00,148.68,187.51,6.75,10.34,17.09,13.57,14.65,2.53,0.99,19.94,18.2,126.62,,,,96.3,0.47,308.02,1.6,87.83,0.0
2021-02-10 04:00:00,2021-02-10 05:00:00,148.01,179.81,6.98,9.28,16.26,12.55,14.19,2.25,1.71,19.06,15.64,108.75,,,,95.82,0.4,240.62,1.17,75.34,0.0
2021-02-10 05:00:00,2021-02-10 06:00:00,141.28,172.26,6.96,5.81,12.77,12.94,16.88,2.14,0.95,19.23,19.02,125.81,,,,99.17,0.27,170.14,1.1,89.03,0.0
2021-02-10 06:00:00,2021-02-10 07:00:00,127.95,154.61,6.97,7.11,14.08,12.08,14.45,1.98,0.92,18.2,17.83,121.34,,,,98.78,0.57,170.69,1.3,86.08,0.0
2021-02-10 07:00:00,2021-02-10 08:00:00,121.32,147.0,7.14,8.01,15.16,11.17,13.36,1.78,0.99,17.44,15.68,106.87,,,,97.62,0.97,141.35,14.4,76.36,0.0
2021-02-10 08:00:00,2021-02-10 09:00:00,117.38,134.73,7.27,8.89,16.17,10.36,11.44,1.45,1.8,14.96,15.25,101.57,,,,93.04,1.27,141.28,82.97,74.62,0.0
2021-02-10 09:00:00,2021-02-10 10:00:00,107.27,123.57,7.4,10.17,17.56,10.76,12.07,1.28,1.88,13.35,14.9,93.2,,,,81.58,0.77,143.12,274.8,69.91,0.0
2021-02-10 10:00:00,2021-02-10 11:00:00,94.57,116.91,7.4,15.44,22.84,13.09,7.78,1.12,3.11,12.09,18.11,88.79,,,,71.34,0.41,157.07,386.4,68.88,0.0
2021-02-10 11:00:00,2021-02-10 12:00:00,90.41,118.22,7.27,15.76,23.03,39.61,6.2,1.09,5.89,10.85,13.1,85.57,,,,64.15,0.44,146.47,384.2,69.45,0.0
2021-02-10 12:00:00,2021-02-10 13:00:00,93.59,127.81,7.09,15.39,22.48,41.63,8.94,1.02,5.64,9.52,9.32,82.32,,,,57.58,0.49,123.28,342.48,71.36,0.0
2021-02-10 13:00:00,2021-02-10 14:00:00,93.23,132.74,7.27,14.52,21.79,36.19,13.49,0.99,7.72,7.35,9.42,76.59,,,,50.44,0.29,95.54,272.7,59.03,0.0
2021-02-10 14:00:00,2021-02-10 15:00:00,86.32,125.8,8.21,17.83,26.04,31.83,17.98,1.04,10.74,0.0,0.0,,,,,45.9,0.42,202.6,549.77,0.0,0.0
2021-02-10 15:00:00,2021-02-10 16:00:00,88.45,126.98,7.93,20.12,28.04,28.14,13.55,1.04,19.59,0.0,0.0,,,,,48.12,0.64,265.0,427.35,0.0,0.0
2021-02-10 16:00:00,2021-02-10 17:00:00,77.72,115.82,9.72,29.83,39.55,22.4,10.1,1.02,9.11,0.0,0.0,,,,,46.5,0.32,222.5,267.48,0.0,0.0
2021-02-10 17:00:00,2021-02-10 18:00:00,63.7,97.41,6.9,20.42,27.32,28.29,11.2,0.99,6.74,0.0,0.0,,,,,49.78,0.35,156.61,75.25,0.0,0.0
2021-02-10 18:00:00,2021-02-10 19:00:00,77.96,118.05,7.05,17.66,24.71,25.87,14.66,1.12,1.96,0.0,0.0,,,,,56.73,0.09,47.85,5.2,0.0,0.0
2021-02-10 19:00:00,2021-02-10 20:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-10 20:00:00,2021-02-10 21:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-10 21:00:00,2021-02-10 22:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-10 22:00:00,2021-02-10 23:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-10 23:00:00,2021-02-11 00:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-11 00:00:00,2021-02-11 01:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-11 01:00:00,2021-02-11 02:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-11 02:00:00,2021-02-11 03:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-11 03:00:00,2021-02-11 04:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-11 04:00:00,2021-02-11 05:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-11 05:00:00,2021-02-11 06:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-11 06:00:00,2021-02-11 07:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-11 07:00:00,2021-02-11 08:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-11 08:00:00,2021-02-11 09:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-11 09:00:00,2021-02-11 10:00:00,,,,,0.0,,,0.0,,0.0,0.0,,,,,,0.36,90.44,,0.0,0.0
2021-02-11 10:00:00,2021-02-11 11:00:00,,,7.83,14.07,21.89,18.17,3.41,0.86,3.89,5.72,3.93,56.96,,,,66.06,0.23,190.91,391.65,42.28,0.0
2021-02-11 11:00:00,2021-02-11 12:00:00,,,7.98,20.09,28.06,22.88,3.4,1.07,5.42,9.32,5.31,64.83,,,,64.05,0.65,46.11,403.85,50.06,0.0
2021-02-11 12:00:00,2021-02-11 13:00:00,,,6.65,16.4,23.05,24.26,,1.08,7.37,9.95,5.76,64.57,,,,55.76,0.59,60.81,344.4,50.3,0.0
2021-02-11 13:00:00,2021-02-11 14:00:00,80.93,104.13,7.18,17.69,24.88,27.7,,1.16,10.69,10.54,9.46,82.37,,,,52.09,0.44,104.36,312.95,64.88,0.0
2021-02-11 14:00:00,2021-02-11 15:00:00,105.32,183.13,8.82,25.27,34.09,19.93,0.75,1.28,15.44,10.61,2.73,52.55,,,,47.46,0.47,212.64,528.98,43.37,0.0
2021-02-11 15:00:00,2021-02-11 16:00:00,123.41,248.46,8.7,16.33,25.02,24.38,2.93,1.18,8.5,10.58,4.9,53.45,,,,42.42,0.26,237.94,445.27,43.79,0.0
2021-02-11 16:00:00,2021-02-11 17:00:00,116.64,247.15,7.02,11.94,18.95,24.84,3.37,0.9,8.53,10.17,11.58,85.93,,,,38.82,0.34,226.23,289.27,68.05,0.0
2021-02-11 17:00:00,2021-02-11 18:00:00,87.68,192.92,6.48,12.71,19.18,23.13,1.15,0.81,6.46,7.52,6.17,65.67,,,,42.58,0.23,202.41,83.83,49.46,0.0
2021-02-11 18:00:00,2021-02-11 19:00:00,99.06,196.75,6.99,13.85,15.86,21.47,4.03,1.13,1.6,9.71,8.03,77.71,,,,58.97,0.13,105.88,,59.27,0.0
2021-02-11 19:00:00,2021-02-11 20:00:00,95.58,235.29,7.97,17.02,24.99,22.15,6.3,1.5,1.18,13.06,15.42,121.04,,,,72.37,0.15,151.97,,86.5,0.0
2021-02-11 20:00:00,2021-02-11 21:00:00,104.35,374.18,31.23,25.57,56.81,16.7,7.04,2.86,0.97,16.82,17.98,138.06,,,,77.06,0.22,117.23,0.5,95.48,0.0
2021-02-11 21:00:00,2021-02-11 22:00:00,142.71,536.59,40.08,25.63,65.72,15.09,7.41,3.63,1.18,23.92,18.33,140.39,,,,73.69,0.36,135.64,,94.89,0.0
2021-02-11 22:00:00,2021-02-11 23:00:00,128.0,262.12,22.75,17.37,40.11,18.62,7.96,4.38,0.79,24.52,19.66,144.03,,,,79.17,0.12,118.52,,97.43,0.0
2021-02-11 23:00:00,2021-02-12 00:00:00,108.97,133.77,12.58,13.12,25.69,19.64,7.81,4.28,0.84,22.81,19.38,140.85,,,,83.28,0.13,145.67,0.3,95.23,0.0
2021-02-12 00:00:00,2021-02-12 01:00:00,95.43,115.24,7.85,10.21,18.06,18.22,7.36,2.84,0.76,19.18,18.77,133.32,,,,87.9,0.19,208.58,1.1,90.71,0.0
2021-02-12 01:00:00,2021-02-12 02:00:00,95.89,115.38,7.05,9.25,16.3,17.13,6.22,2.08,1.08,16.27,17.48,123.53,,,,87.34,0.35,288.71,1.2,84.65,0.0
2021-02-12 02:00:00,2021-02-12 03:00:00,89.58,138.37,7.06,5.99,13.05,16.06,6.76,1.85,0.79,14.92,16.37,114.47,,,,91.33,0.18,194.3,0.5,79.04,0.0
2021-02-12 03:00:00,2021-02-12 04:00:00,85.98,98.38,7.04,4.78,11.82,15.0,6.43,1.72,0.59,14.59,16.75,116.47,,,,94.08,0.38,130.32,0.4,81.19,0.0
2021-02-12 04:00:00,2021-02-12 05:00:00,84.74,86.62,7.04,4.31,11.36,13.32,6.25,1.59,0.44,14.26,16.21,113.02,,,,96.48,0.37,144.56,0.45,79.91,0.0
2021-02-12 05:00:00,2021-02-12 06:00:00,,,6.62,3.19,9.8,12.9,6.14,1.36,0.64,13.86,15.66,108.27,,,,92.15,0.39,127.32,0.1,77.31,0.0
2021-02-12 06:00:00,2021-02-12 07:00:00,,,6.51,3.42,9.93,11.95,5.79,1.22,0.4,12.31,15.1,103.54,,,,96.29,0.48,139.66,0.63,74.91,0.0
2021-02-12 07:00:00,2021-02-12 08:00:00,70.25,88.81,6.75,4.7,11.46,10.97,5.59,1.21,0.43,11.97,14.42,97.7,,,,96.14,0.34,126.17,16.7,71.51,0.0
2021-02-12 08:00:00,2021-02-12 09:00:00,63.61,73.58,8.15,7.47,15.62,9.45,4.65,1.11,0.83,11.31,13.5,89.87,,,,89.4,0.84,140.57,82.12,66.32,0.0
2021-02-12 09:00:00,2021-02-12 10:00:00,61.86,67.37,8.06,8.46,16.53,9.91,4.79,1.03,1.24,10.32,13.73,85.17,,,,78.13,0.71,139.14,311.23,64.07,0.0
2021-02-12 10:00:00,2021-02-12 11:00:00,60.64,74.23,8.64,15.13,23.78,12.56,4.6,1.04,1.55,10.46,15.88,88.21,,,,67.06,0.29,146.53,410.38,67.49,0.0
2021-02-12 11:00:00,2021-02-12 12:00:00,66.96,100.74,8.02,15.06,23.08,43.45,5.1,1.01,4.3,10.54,15.85,97.94,,,,56.02,0.27,164.88,417.05,77.34,0.0
2021-02-12 12:00:00,2021-02-12 13:00:00,64.41,93.22,7.15,11.54,18.7,36.08,5.52,0.86,6.89,9.96,16.27,110.5,,,,46.97,0.42,158.76,372.23,84.99,0.0
2021-02-12 13:00:00,2021-02-12 14:00:00,62.44,81.17,7.18,9.33,16.51,30.13,5.91,0.79,7.07,9.12,17.25,118.38,,,,41.86,0.3,158.43,349.7,88.86,0.0
2021-02-12 14:00:00,2021-02-12 15:00:00,,,8.54,13.2,13.48,29.07,9.42,,4.97,6.42,9.93,82.46,,,,37.55,0.41,118.87,549.47,63.19,0.0
2021-02-12 15:00:00,2021-02-12 16:00:00,,,9.31,20.77,30.08,34.09,,0.57,9.39,6.88,11.04,83.59,,,,39.38,0.48,241.72,368.38,61.23,0.0
2021-02-12 16:00:00,2021-02-12 17:00:00,,,7.02,16.42,23.44,44.36,,0.79,7.42,8.49,14.5,98.21,,,,38.57,0.18,193.67,244.3,69.37,0.0
2021-02-12 17:00:00,2021-02-12 18:00:00,,,8.1,20.27,28.37,44.51,9.9,0.97,8.34,8.07,12.29,94.8,,,,44.57,0.21,163.74,68.47,71.67,0.0
2021-02-12 18:00:00,2021-02-12 19:00:00,10.62,125.0,7.99,23.16,31.14,30.28,7.28,1.26,3.9,12.51,5.1,66.21,,,,54.37,0.08,194.57,3.4,52.77,0.0
2021-02-12 19:00:00,2021-02-12 20:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-12 20:00:00,2021-02-12 21:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-12 21:00:00,2021-02-12 22:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-12 22:00:00,2021-02-12 23:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-12 23:00:00,2021-02-13 00:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-13 00:00:00,2021-02-13 01:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-13 01:00:00,2021-02-13 02:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-13 02:00:00,2021-02-13 03:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-13 03:00:00,2021-02-13 04:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-13 04:00:00,2021-02-13 05:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-13 05:00:00,2021-02-13 06:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-13 06:00:00,2021-02-13 07:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-13 07:00:00,2021-02-13 08:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-13 08:00:00,2021-02-13 09:00:00,,,,,,,,,,,,,,,,,,,,,
2021-02-13 09:00:00,2021-02-13 10:00:00,,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0,0.0
2021-02-13 10:00:00,2021-02-13 11:00:00,53.17,101.78,8.54,15.9,12.22,25.14,7.95,0.63,1.86,6.83,7.94,53.25,,,,61.07,0.24,130.78,346.2,45.29,0.0
2021-02-13 11:00:00,2021-02-13 12:00:00,50.85,107.8,,,,,5.23,1.06,3.78,8.29,8.74,65.39,,,,53.64,0.38,193.89,347.27,56.15,0.0
2021-02-13 12:00:00,2021-02-13 13:00:00,,,,,,,7.17,1.25,4.45,9.26,4.82,46.6,,,,52.85,0.31,165.53,349.52,35.48,0.0
2021-02-13 13:00:00,2021-02-13 14:00:00,63.79,190.44,,,,,10.49,1.33,8.83,11.35,8.79,63.84,,,,47.78,0.6,271.89,335.23,46.54,0.0
2021-02-13 14:00:00,2021-02-13 15:00:00,81.14,226.75,1.34,20.78,22.12,72.69,16.09,1.2,5.32,12.19,15.55,94.71,,,,45.04,0.51,114.19,325.25,70.08,0.0
2021-02-13 15:00:00,2021-02-13 16:00:00,88.8,211.04,1.16,18.38,19.53,64.07,16.28,1.13,8.61,11.9,13.61,93.55,,,,46.77,0.36,169.06,244.55,71.33,0.0
2021-02-13 16:00:00,2021-02-13 17:00:00,92.2,193.78,0.58,16.12,16.7,55.86,18.86,0.98,7.95,12.05,16.0,109.11,,,,46.4,0.6,153.75,214.58,82.74,0.0
2021-02-13 17:00:00,2021-02-13 18:00:00,91.25,178.12,0.47,14.74,15.2,52.81,23.3,0.89,6.76,11.55,17.04,116.95,,,,46.79,0.41,152.51,86.85,87.39,0.0
2021-02-13 18:00:00,2021-02-13 19:00:00,89.83,167.37,0.93,15.64,16.57,50.4,29.45,1.02,1.88,11.96,21.42,135.84,,,,52.29,0.15,242.69,6.15,100.68,0.0
2021-02-13 19:00:00,2021-02-13 20:00:00,92.18,185.67,4.71,19.13,23.84,48.77,29.13,1.42,1.69,14.11,22.15,141.51,,,,59.38,0.24,160.68,,103.25,0.0
2021-02-13 20:00:00,2021-02-13 21:00:00,107.26,311.85,45.83,20.69,66.51,30.21,26.23,3.06,1.42,18.69,22.32,146.09,,,,68.81,0.25,305.67,,104.33,0.0
2021-02-13 21:00:00,2021-02-13 22:00:00,139.06,482.57,96.72,19.78,116.5,5.54,24.94,5.61,1.45,28.73,20.5,143.75,,,,79.44,0.32,186.34,,99.01,0.0
2021-02-13 22:00:00,2021-02-13 23:00:00,166.13,464.62,109.4,14.12,123.51,,26.16,5.8,0.94,35.94,21.58,149.12,,,,85.48,0.2,162.68,0.3,101.84,0.0
2021-02-13 23:00:00,2021-02-14 00:00:00,168.56,380.38,99.37,13.41,112.77,,24.43,4.98,0.65,36.18,20.71,144.27,,,,88.45,0.09,174.43,,99.01,0.0
2021-02-14 00:00:00,2021-02-14 01:00:00,159.2,303.57,66.49,12.76,79.26,3.63,22.84,3.83,0.59,32.17,19.6,135.54,,,,90.31,0.12,136.5,0.13,93.56,0.0
2021-02-14 01:00:00,2021-02-14 02:00:00,149.79,195.8,33.52,12.83,46.35,12.36,21.91,2.92,0.69,32.6,18.05,124.39,,,,92.43,0.19,124.12,,87.89,0.0
2021-02-14 02:00:00,2021-02-14 03:00:00,132.42,157.87,16.21,11.76,27.96,17.19,20.78,2.39,0.44,30.08,17.38,117.45,,,,93.94,0.21,107.03,0.33,84.74,0.0
2021-02-14 03:00:00,2021-02-14 04:00:00,111.48,130.01,6.71,11.64,18.36,19.12,18.16,1.87,0.89,24.36,16.03,107.67,,,,92.77,0.2,116.39,0.4,78.69,0.0
2021-02-14 04:00:00,2021-02-14 05:00:00,102.69,131.07,3.0,10.67,13.68,18.66,18.55,1.5,1.02,20.38,14.6,96.71,,,,92.41,0.2,147.11,,71.83,0.0
2021-02-14 05:00:00,2021-02-14 06:00:00,98.4,132.42,1.55,10.21,11.76,18.27,15.08,1.32,1.43,17.64,14.24,92.8,,,,93.15,0.19,230.21,0.17,69.73,0.0
2021-02-14 06:00:00,2021-02-14 07:00:00,90.53,110.28,1.05,9.15,10.2,17.69,16.21,1.24,1.27,15.41,13.12,84.7,,,,93.92,0.13,98.51,0.4,64.03,0.0
2021-02-14 07:00:00,2021-02-14 08:00:00,82.16,95.46,1.61,9.37,10.99,16.45,15.51,1.24,0.89,15.02,13.4,85.05,,,,95.34,0.08,186.74,13.27,65.15,0.0
2021-02-14 08:00:00,2021-02-14 09:00:00,83.77,115.63,4.4,10.45,14.85,13.68,14.74,1.36,0.96,16.28,13.31,82.98,,,,90.88,0.17,177.79,95.62,63.93,0.0
2021-02-14 09:00:00,2021-02-14 10:00:00,90.44,130.53,3.93,11.79,15.71,13.65,16.32,1.29,0.47,16.15,14.71,85.17,,,,76.77,0.27,97.38,292.77,66.32,0.0
2021-02-14 10:00:00,2021-02-14 11:00:00,87.95,128.41,3.12,14.23,17.34,17.85,16.4,1.19,1.75,14.61,16.88,89.39,,,,64.96,0.22,203.63,431.43,70.97,0.0
2021-02-14 11:00:00,2021-02-14 12:00:00,83.39,120.71,2.34,17.44,19.77,76.22,16.27,1.16,6.84,13.19,19.17,99.75,,,,57.36,0.33,209.17,394.95,82.46,0.0
2021-02-14 12:00:00,2021-02-14 13:00:00,83.64,140.0,1.36,19.24,20.6,74.52,17.19,1.2,10.53,12.91,15.89,100.26,,,,50.31,0.33,278.05,335.55,81.2,0.0
2021-02-14 13:00:00,2021-02-14 14:00:00,88.41,174.96,1.01,18.82,19.83,54.05,18.04,1.13,14.96,13.09,17.08,109.31,,,,45.36,0.42,253.96,331.18,86.5,0.0
2021-02-14 14:00:00,2021-02-14 15:00:00,91.61,178.97,1.02,16.68,17.71,46.93,20.78,1.02,13.75,12.38,16.6,108.65,,,,40.47,0.47,255.83,578.7,84.31,0.0
2021-02-14 15:00:00,2021-02-14 16:00:00,86.86,149.72,1.14,14.72,15.87,43.09,21.98,0.87,14.71,11.25,17.36,112.95,,,,37.72,0.44,259.02,468.38,86.71,0.0
2021-02-14 16:00:00,2021-02-14 17:00:00,77.18,117.17,0.57,13.69,14.25,39.16,24.27,0.78,13.0,11.8,19.57,122.26,,,,32.98,0.51,254.26,311.08,92.85,0.0
2021-02-14 17:00:00,2021-02-14 18:00:00,60.37,96.58,0.8,13.6,14.4,39.2,33.12,0.77,4.56,11.58,21.51,133.77,,,,33.05,0.19,228.99,92.77,100.96,0.0
2021-02-14 18:00:00,2021-02-14 19:00:00,57.64,94.66,1.31,14.15,15.46,40.65,36.09,0.84,1.51,12.49,27.43,162.02,,,,48.84,0.08,174.12,,122.25,0.0
2021-02-14 19:00:00,2021-02-14 20:00:00,161.14,249.5,4.75,17.17,21.92,38.68,34.01,1.6,1.21,13.62,25.5,156.0,,,,61.97,0.11,204.01,,116.13,0.0
2021-02-14 20:00:00,2021-02-14 21:00:00,243.12,420.29,46.26,18.94,65.2,20.2,28.04,3.7,0.88,20.13,22.72,147.71,,,,68.81,0.26,119.59,,108.26,0.0
2021-02-14 21:00:00,2021-02-14 22:00:00,187.9,374.06,96.35,15.36,111.71,1.57,29.01,6.5,0.8,27.42,21.39,142.14,,,,73.5,0.16,132.19,,102.89,0.0
2021-02-14 22:00:00,2021-02-14 23:00:00,158.77,312.84,54.79,15.8,70.58,13.67,26.98,6.53,0.91,29.65,20.52,136.25,,,,72.89,0.22,141.95,0.1,98.43,0.0
2021-02-14 23:00:00,2021-02-15 00:00:00,89.86,207.86,28.44,14.05,42.49,22.01,25.6,6.42,0.75,28.07,20.14,131.76,,,,76.53,0.15,188.56,,95.95,0.0
2021-02-15 00:00:00,2021-02-15 01:00:00,119.28,145.42,11.21,12.54,23.75,24.48,23.73,6.06,0.56,25.27,18.85,122.91,,,,85.4,0.1,131.19,0.45,90.83,0.0
2021-02-15 01:00:00,2021-02-15 02:00:00,136.98,172.71,5.15,11.98,17.13,24.38,22.95,4.41,0.39,23.16,18.15,117.63,,,,90.75,0.13,123.03,0.75,87.77,0.0
2021-02-15 02:00:00,2021-02-15 03:00:00,92.92,158.03,3.07,11.19,14.26,22.72,21.68,2.98,0.36,19.71,17.61,113.0,,,,95.29,0.1,148.6,0.53,84.96,0.0
2021-02-15 03:00:00,2021-02-15 04:00:00,78.55,124.25,1.84,10.13,11.97,21.18,20.1,2.14,0.4,17.44,16.8,107.48,,,,91.03,0.2,120.94,1.0,81.55,0.0
2021-02-15 04:00:00,2021-02-15 05:00:00,64.41,100.77,1.52,8.9,10.42,19.14,18.77,1.59,0.35,15.22,15.88,101.05,,,,94.37,0.33,131.83,0.45,77.67,0.0
2021-02-15 05:00:00,2021-02-15 06:00:00,66.48,100.26,1.24,8.86,10.1,17.93,18.41,1.37,0.38,13.75,15.0,94.71,,,,98.63,0.38,137.73,0.67,73.73,0.0
2021-02-15 06:00:00,2021-02-15 07:00:00,65.75,105.1,1.18,8.92,10.1,16.68,17.27,1.32,0.32,13.38,14.37,89.88,,,,97.62,0.49,138.78,0.42,70.97,0.0
2021-02-15 07:00:00,2021-02-15 08:00:00,71.26,96.18,2.92,9.14,12.06,14.7,16.48,1.23,0.34,13.18,13.71,85.19,,,,96.48,0.5,129.38,17.05,67.95,0.0
2021-02-15 08:00:00,2021-02-15 09:00:00,66.31,95.55,5.73,10.49,16.23,11.66,14.58,1.1,0.66,12.21,13.36,80.77,,,,87.12,0.66,132.0,95.8,65.32,0.0
2021-02-15 09:00:00,2021-02-15 10:00:00,61.04,101.62,3.49,12.09,15.58,12.49,14.3,0.96,0.65,11.2,13.64,77.06,,,,72.16,0.67,125.23,309.73,63.24,0.0
2021-02-15 10:00:00,2021-02-15 11:00:00,55.04,80.36,1.84,14.05,15.89,29.43,11.85,0.78,1.99,9.55,14.62,76.06,,,,55.44,0.53,133.93,446.9,63.63,0.0
2021-02-15 11:00:00,2021-02-15 12:00:00,42.73,77.67,1.28,13.54,14.82,82.95,12.93,0.69,4.09,7.71,13.13,78.81,,,,48.38,0.37,143.8,421.33,71.3,0.0
2021-02-15 12:00:00,2021-02-15 13:00:00,44.32,89.08,1.62,14.14,15.77,59.2,15.87,0.73,6.86,8.13,14.05,92.08,,,,41.91,0.36,187.38,351.65,80.33,0.0
2021-02-15 13:00:00,2021-02-15 14:00:00,54.46,99.59,1.74,14.15,15.9,53.18,17.61,0.68,7.3,7.96,14.96,96.86,,,,35.19,0.22,134.69,332.25,80.6,0.0
2021-02-15 14:00:00,2021-02-15 15:00:00,51.77,100.12,1.64,13.71,15.36,53.18,21.78,0.66,7.29,8.09,15.53,101.85,,,,31.35,0.39,100.9,616.28,82.74,0.0
2021-02-15 15:00:00,2021-02-15 16:00:00,53.17,92.11,3.41,15.39,18.8,47.05,23.11,0.64,10.74,8.45,17.96,116.33,,,,31.27,0.41,240.49,454.93,92.82,0.0
2021-02-15 16:00:00,2021-02-15 17:00:00,51.37,100.02,0.68,15.72,16.4,42.66,20.17,0.76,13.68,9.85,17.34,111.12,,,,32.87,0.5,230.0,289.0,86.12,0.0
2021-02-15 17:00:00,2021-02-15 18:00:00,59.7,128.14,0.7,14.79,15.49,43.24,30.58,0.9,4.32,19.75,19.86,123.99,,,,36.78,0.18,241.34,54.75,94.51,0.0
2021-02-15 18:00:00,2021-02-15 19:00:00,83.77,215.47,1.59,17.05,18.64,43.14,29.76,1.16,1.3,16.36,21.95,136.97,,,,51.34,0.21,47.53,1.3,106.17,0.0
2021-02-15 19:00:00,2021-02-15 20:00:00,115.06,367.97,15.53,22.08,37.61,36.93,30.33,1.89,1.13,17.53,21.77,138.91,,,,63.07,0.12,208.37,,105.03,0.0
2021-02-15 20:00:00,2021-02-15 21:00:00,148.15,520.61,72.4,21.16,93.55,11.96,28.72,3.09,0.94,22.2,21.24,139.51,,,,71.39,0.15,131.9,,102.44,0.0
