From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),AT (degree C),RF (mm)
2019-08-28 16:00:00,2019-08-28 17:00:00,7.0,28.0,1.28,3.35,1.1,3.66,6.03,0.31,34.19,0.0,0.19,0.34,0.59,0.26,,,,,,,,,0.0
2019-08-28 17:00:00,2019-08-28 18:00:00,21.71,29.42,1.23,3.52,1.41,3.63,5.99,0.34,29.56,0.01,0.03,0.58,0.77,0.32,,,,,,,,,0.0
2019-08-28 18:00:00,2019-08-28 19:00:00,21.54,35.31,1.39,3.45,1.11,3.7,5.82,0.34,27.26,0.09,0.0,0.64,0.76,0.33,,,,,,,,,0.0
2019-08-28 19:00:00,2019-08-28 20:00:00,24.94,33.34,1.3,3.36,1.15,3.58,5.76,0.38,25.27,0.16,0.0,0.31,0.68,0.31,,,,,,,,,0.0
2019-08-28 20:00:00,2019-08-28 21:00:00,27.95,40.0,1.32,3.5,1.28,3.63,5.75,0.42,26.56,0.36,0.0,0.6,0.71,0.34,,,,,,,,,0.0
2019-08-28 21:00:00,2019-08-28 22:00:00,27.02,42.17,1.34,3.53,1.27,3.62,5.74,0.4,26.09,0.35,0.0,0.54,0.61,0.29,,,,,,,,,0.0
2019-08-28 22:00:00,2019-08-28 23:00:00,25.03,32.37,1.38,3.55,1.26,3.65,5.74,0.37,28.15,0.29,0.0,0.52,0.58,0.27,,,,,,,,,0.0
2019-08-28 23:00:00,2019-08-29 00:00:00,25.98,39.0,1.4,3.47,1.13,3.67,5.63,0.31,32.23,0.31,0.0,0.38,0.49,0.25,,,,,,,,,0.0
2019-08-29 00:00:00,2019-08-29 01:00:00,14.0,20.0,1.35,3.62,1.32,3.58,5.47,0.24,38.34,0.15,1.42,0.41,0.4,0.2,,,,,,,,,0.0
2019-08-29 01:00:00,2019-08-29 02:00:00,12.0,14.0,1.3,3.45,1.24,3.55,5.43,0.21,43.02,0.08,0.02,0.26,0.22,0.12,,,,,,,,,0.0
2019-08-29 02:00:00,2019-08-29 03:00:00,10.04,19.64,1.41,3.63,1.28,3.7,5.45,0.21,39.21,0.09,0.41,0.23,0.22,0.12,,,,,,,,,0.0
2019-08-29 03:00:00,2019-08-29 04:00:00,7.05,24.0,1.28,3.75,1.52,3.59,5.35,0.24,38.33,0.23,0.16,0.26,0.27,0.14,,,,,,,,,0.0
2019-08-29 04:00:00,2019-08-29 05:00:00,10.93,15.0,1.38,3.66,1.35,3.58,5.4,0.27,36.15,0.24,1.16,0.23,0.25,0.14,,,,,,,,,0.0
2019-08-29 05:00:00,2019-08-29 06:00:00,14.93,22.56,1.35,3.65,1.39,3.66,5.24,0.32,30.56,0.35,1.36,0.27,0.3,0.17,,,,,,,,,0.0
2019-08-29 06:00:00,2019-08-29 07:00:00,17.94,20.59,1.32,3.53,1.3,3.67,5.27,0.34,24.29,0.37,1.79,0.23,0.31,0.18,,,,,,,,,0.0
2019-08-29 07:00:00,2019-08-29 08:00:00,21.54,32.41,1.29,3.55,1.37,3.71,5.28,0.37,27.31,0.37,2.1,0.33,0.41,0.23,,,,,,,,,0.0
2019-08-29 08:00:00,2019-08-29 09:00:00,18.07,19.66,1.37,3.52,1.25,3.57,5.47,0.3,32.26,0.26,2.01,0.35,0.42,0.22,,,,,,,,,0.0
2019-08-29 09:00:00,2019-08-29 10:00:00,12.68,21.0,1.31,3.43,1.24,3.63,5.53,0.27,32.92,0.17,1.81,0.35,0.39,0.2,,,,,,,,,0.0
2019-08-29 10:00:00,2019-08-29 11:00:00,14.96,17.68,1.38,3.55,1.24,3.59,5.67,0.27,32.91,0.14,0.33,0.37,0.39,0.21,,,,,,,,,0.0
2019-08-29 11:00:00,2019-08-29 12:00:00,14.02,24.0,1.28,3.57,1.4,3.65,5.74,0.3,36.24,0.1,0.05,0.32,0.43,0.2,,,,,,,,,0.0
2019-08-29 12:00:00,2019-08-29 13:00:00,13.0,14.0,1.37,3.66,1.35,3.73,5.94,0.28,37.2,0.07,0.11,0.44,0.45,0.21,,,,,,,,,0.0
2019-08-29 13:00:00,2019-08-29 14:00:00,11.03,24.52,1.2,3.39,1.33,3.6,6.24,0.29,37.72,0.0,0.13,0.07,0.47,0.23,,,,,,,,,0.0
2019-08-29 14:00:00,2019-08-29 15:00:00,16.9,20.56,1.41,3.62,1.22,3.62,6.67,0.31,37.15,0.0,0.07,0.4,0.64,0.23,,,,,,,,,0.0
2019-08-29 15:00:00,2019-08-29 16:00:00,19.93,27.46,1.39,3.48,1.15,3.61,6.83,0.27,40.94,0.0,0.11,0.41,1.7,,,,,,,,,,0.0
2019-08-29 16:00:00,2019-08-29 17:00:00,18.66,29.0,1.44,3.6,1.17,3.59,6.76,0.25,37.73,0.0,0.08,0.38,1.74,,,,,,,,,,0.0
2019-08-29 17:00:00,2019-08-29 18:00:00,14.1,32.41,1.39,3.57,1.24,3.63,6.55,0.32,32.16,0.0,0.0,0.45,1.7,0.1,,,,,,,,,0.0
2019-08-29 18:00:00,2019-08-29 19:00:00,31.62,37.0,1.29,3.37,1.14,3.64,6.29,0.33,28.55,0.0,0.0,0.48,0.33,0.32,,,,,,,,,0.0
2019-08-29 19:00:00,2019-08-29 20:00:00,17.91,32.0,1.36,3.65,1.33,3.57,6.22,0.43,28.52,0.0,0.0,0.12,0.35,0.31,,,,,,,,,0.0
2019-08-29 20:00:00,2019-08-29 21:00:00,34.07,44.2,1.32,3.1,0.93,3.66,6.15,0.59,23.19,0.0,0.01,,0.55,0.29,,,,,,,,,0.0
2019-08-29 21:00:00,2019-08-29 22:00:00,39.2,48.0,1.42,3.55,1.18,3.73,5.93,0.49,24.96,0.0,0.02,,0.58,0.27,,,,,,,,,0.0
2019-08-29 22:00:00,2019-08-29 23:00:00,30.0,28.0,1.01,3.42,1.58,3.68,5.82,0.32,31.62,0.0,0.11,,0.39,0.19,,,,,,,,,0.0
2019-08-29 23:00:00,2019-08-30 00:00:00,10.24,15.0,1.38,3.69,1.34,3.58,5.82,0.27,34.29,0.01,0.08,0.15,0.34,0.17,,,,,,,,,0.0
2019-08-30 00:00:00,2019-08-30 01:00:00,11.0,14.0,1.3,3.64,1.38,3.59,5.81,0.22,36.59,0.04,0.09,0.21,0.3,0.15,,,,,,,,,0.0
2019-08-30 01:00:00,2019-08-30 02:00:00,8.05,13.75,1.42,3.6,1.22,3.61,5.62,0.2,36.57,0.03,0.08,0.22,0.27,0.14,,,,,,,,,0.0
2019-08-30 02:00:00,2019-08-30 03:00:00,3.03,11.79,1.3,3.62,1.39,3.7,5.61,0.18,33.71,0.04,0.02,0.23,0.3,0.16,,,,,,,,,0.0
2019-08-30 03:00:00,2019-08-30 04:00:00,2.95,9.82,1.18,3.34,1.32,3.62,5.64,0.17,30.36,0.06,0.0,0.3,0.3,0.15,,,,,,,,,0.0
2019-08-30 04:00:00,2019-08-30 05:00:00,8.9,12.0,1.23,3.46,1.37,3.62,5.67,0.24,29.3,0.18,0.0,0.24,0.3,0.16,,,,,,,,,0.0
2019-08-30 05:00:00,2019-08-30 06:00:00,16.87,21.0,1.29,3.43,1.22,3.74,5.48,0.3,27.31,0.35,0.61,0.3,0.32,0.17,,,,,,,,,0.0
2019-08-30 06:00:00,2019-08-30 07:00:00,19.95,31.0,1.35,3.5,1.24,3.67,5.52,0.36,26.06,0.5,1.74,0.3,0.32,0.16,,,,,,,,,0.0
2019-08-30 07:00:00,2019-08-30 08:00:00,24.92,28.48,1.32,3.44,1.23,3.63,5.48,0.36,29.6,0.42,1.29,0.33,0.36,0.18,,,,,,,,,0.0
2019-08-30 08:00:00,2019-08-30 09:00:00,16.15,22.21,1.33,3.44,1.2,3.6,5.73,0.4,31.27,0.3,0.0,0.41,0.45,0.23,,,,,,,,,0.0
2019-08-30 09:00:00,2019-08-30 10:00:00,18.58,22.08,1.29,3.53,1.33,3.64,5.74,0.38,34.83,0.23,0.01,0.46,0.49,0.23,,,,,,,,,0.0
2019-08-30 10:00:00,2019-08-30 11:00:00,29.8,32.78,1.32,3.6,1.35,3.69,5.86,0.32,31.63,0.04,0.02,0.33,0.43,0.21,,,,,,,,,0.0
2019-08-30 11:00:00,2019-08-30 12:00:00,15.94,27.46,1.3,3.59,1.36,3.64,6.0,0.32,30.2,0.0,0.03,0.34,0.46,0.23,,,,,,,,,0.0
2019-08-30 12:00:00,2019-08-30 13:00:00,11.1,24.0,1.33,3.48,1.22,3.68,6.04,0.32,30.03,0.0,0.0,0.18,0.54,0.25,,,,,,,,,0.0
2019-08-30 13:00:00,2019-08-30 14:00:00,14.93,18.0,1.33,3.52,1.29,3.63,6.2,0.3,28.59,0.0,0.0,,0.5,0.32,,,,,,,,,0.0
2019-08-30 14:00:00,2019-08-30 15:00:00,11.07,14.71,1.38,3.38,1.09,3.69,6.42,0.29,29.14,0.0,0.0,,0.46,0.3,,,,,,,,,0.0
2019-08-30 15:00:00,2019-08-30 16:00:00,9.84,22.56,1.29,3.38,1.23,3.58,6.41,0.27,30.86,0.0,0.03,0.13,0.3,0.33,,,,,,,,,0.0
2019-08-30 16:00:00,2019-08-30 17:00:00,13.92,19.62,1.34,3.54,1.27,3.58,6.39,0.29,28.08,0.0,0.0,0.18,0.27,0.29,,,,,,,,,0.0
2019-08-30 17:00:00,2019-08-30 18:00:00,18.82,30.86,1.25,3.38,1.25,3.69,6.4,0.38,22.21,0.0,0.0,,0.73,0.46,,,,,,,,,0.0
2019-08-30 18:00:00,2019-08-30 19:00:00,13.86,29.0,1.31,3.49,1.29,3.71,6.44,0.47,17.5,0.0,0.0,0.06,0.74,0.5,,,,,,,,,0.0
2019-08-30 19:00:00,2019-08-30 20:00:00,33.64,43.22,1.31,3.42,1.19,3.6,6.41,0.59,14.17,0.0,0.0,0.15,0.78,0.54,,,,,,,,,0.0
2019-08-30 20:00:00,2019-08-30 21:00:00,44.02,58.0,1.24,3.34,1.24,3.75,6.32,0.61,15.19,0.0,0.0,,0.84,0.43,,,,,,,,,0.0
2019-08-30 21:00:00,2019-08-30 22:00:00,33.59,46.16,1.35,3.5,1.22,3.66,6.17,0.54,17.57,0.0,0.0,,0.69,0.32,,,,,,,,,0.0
2019-08-30 22:00:00,2019-08-30 23:00:00,27.63,36.34,1.27,3.47,1.33,3.65,6.13,0.37,22.61,0.0,0.0,0.31,0.59,0.26,,,,,,,,,0.0
2019-08-30 23:00:00,2019-08-31 00:00:00,10.18,20.0,1.42,3.6,1.2,3.63,5.91,0.23,29.07,0.0,0.07,0.11,0.35,0.15,,,,,,,,,0.0
2019-08-31 00:00:00,2019-08-31 01:00:00,9.0,18.55,1.31,3.38,1.17,3.62,5.89,0.21,24.9,0.0,0.05,0.2,0.31,0.15,,,,,,,,,0.0
2019-08-31 01:00:00,2019-08-31 02:00:00,10.59,17.68,1.14,3.29,1.28,3.65,5.88,0.22,21.67,0.06,0.0,0.25,0.34,0.17,,,,,,,,,0.0
2019-08-31 02:00:00,2019-08-31 03:00:00,16.59,21.61,1.35,3.55,1.25,3.7,5.94,0.27,17.52,0.0,0.01,0.33,0.42,0.21,,,,,,,,,0.0
2019-08-31 03:00:00,2019-08-31 04:00:00,17.98,19.29,1.33,3.67,1.39,3.62,5.89,0.29,16.26,0.14,0.0,0.32,0.51,0.24,,,,,,,,,0.0
2019-08-31 04:00:00,2019-08-31 05:00:00,21.93,30.45,1.29,3.46,1.31,3.65,5.81,0.23,17.02,0.15,0.0,0.41,0.48,0.23,,,,,,,,,0.0
2019-08-31 05:00:00,2019-08-31 06:00:00,8.11,13.75,1.39,3.64,1.3,3.61,5.7,0.29,16.28,0.14,0.0,0.36,0.41,0.2,,,,,,,,,0.0
2019-08-31 06:00:00,2019-08-31 07:00:00,43.4,47.14,1.35,3.74,1.44,3.68,5.75,0.42,13.67,0.99,0.55,0.44,0.48,0.21,,,,,,,,,0.0
2019-08-31 07:00:00,2019-08-31 08:00:00,17.18,33.39,1.43,3.62,1.24,3.63,5.73,0.36,16.03,0.71,0.0,0.46,0.54,0.24,,,,,,,,,0.0
2019-08-31 08:00:00,2019-08-31 09:00:00,26.38,30.45,1.32,3.58,1.32,3.64,5.78,0.34,17.93,0.41,0.56,0.46,0.52,0.24,,,,,,,,,0.0
2019-08-31 09:00:00,2019-08-31 10:00:00,23.07,33.75,1.34,3.45,1.19,3.58,5.81,0.42,21.1,0.34,0.0,0.4,0.55,0.26,,,,,,,,,0.0
2019-08-31 10:00:00,2019-08-31 11:00:00,21.03,38.3,1.32,3.51,1.25,3.65,6.09,0.41,27.04,0.13,0.0,0.45,0.61,0.28,,,,,,,,,0.0
2019-08-31 11:00:00,2019-08-31 12:00:00,13.88,32.0,1.31,3.58,1.35,3.63,5.97,0.34,25.06,0.06,0.0,0.29,0.57,0.27,,,,,,,,,0.0
2019-08-31 12:00:00,2019-08-31 13:00:00,12.79,27.0,1.35,3.62,1.31,3.68,6.03,0.3,22.69,0.06,0.0,0.29,0.56,0.27,,,,,,,,,0.0
2019-08-31 13:00:00,2019-08-31 14:00:00,16.6,23.11,1.38,3.56,1.23,3.69,5.99,0.29,20.49,0.04,0.0,0.28,0.55,0.26,,,,,,,,,0.0
2019-08-31 14:00:00,2019-08-31 15:00:00,12.83,14.0,1.34,3.55,1.25,3.6,5.97,0.32,20.01,0.06,0.0,0.3,0.58,0.27,,,,,,,,,0.0
2019-08-31 15:00:00,2019-08-31 16:00:00,12.55,18.0,1.44,3.78,1.36,3.63,5.97,0.28,22.51,0.07,0.0,0.33,0.54,0.25,,,,,,,,,0.0
2019-08-31 16:00:00,2019-08-31 17:00:00,14.97,16.41,1.27,3.53,1.36,3.67,5.99,0.24,27.97,0.11,0.0,0.31,0.39,0.19,,,,,,,,,0.0
2019-08-31 17:00:00,2019-08-31 18:00:00,17.95,23.0,1.3,3.71,1.45,3.66,6.0,0.27,24.08,0.05,0.0,0.32,0.42,0.2,,,,,,,,,0.0
2019-08-31 18:00:00,2019-08-31 19:00:00,19.58,29.46,1.23,3.23,1.17,3.72,5.88,0.28,23.07,0.11,0.0,0.4,0.43,0.2,,,,,,,,,0.0
2019-08-31 19:00:00,2019-08-31 20:00:00,17.05,27.0,1.26,3.25,1.11,3.62,5.71,0.27,25.67,0.17,0.0,0.33,0.35,0.17,,,,,,,,,0.0
2019-08-31 20:00:00,2019-08-31 21:00:00,11.1,19.0,1.27,3.56,1.37,3.71,5.71,0.28,28.12,0.21,0.45,0.28,0.3,0.15,,,,,,,,,0.0
2019-08-31 21:00:00,2019-08-31 22:00:00,18.48,25.5,1.2,3.55,1.46,3.64,5.68,0.28,28.73,0.2,0.82,0.24,0.27,0.14,,,,,,,,,0.0
2019-08-31 22:00:00,2019-08-31 23:00:00,13.83,28.48,1.39,3.52,1.22,3.6,5.56,0.24,25.23,0.15,0.96,0.22,0.25,0.14,,,,,,,,,0.0
2019-08-31 23:00:00,2019-09-01 00:00:00,8.14,16.6,1.31,3.52,1.35,3.56,5.48,0.22,25.26,0.12,1.23,0.2,0.24,0.13,,,,,,,,,0.0
2019-09-01 00:00:00,2019-09-01 01:00:00,5.0,17.0,1.37,3.48,1.18,3.57,5.45,0.19,27.55,0.08,1.12,0.17,0.21,0.13,,,,,,,,,0.0
2019-09-01 01:00:00,2019-09-01 02:00:00,4.02,11.79,1.34,3.63,1.35,3.66,5.48,0.2,26.41,0.08,1.1,0.17,0.21,0.13,,,,,,,,,0.0
2019-09-01 02:00:00,2019-09-01 03:00:00,10.65,11.55,1.2,3.39,1.35,3.65,5.5,0.19,25.89,0.07,0.83,0.16,0.21,0.13,,,,,,,,,0.0
2019-09-01 03:00:00,2019-09-01 04:00:00,8.71,13.0,1.28,3.5,1.32,3.6,5.47,0.18,24.57,0.08,1.26,0.18,0.24,0.15,,,,,,,,,0.0
2019-09-01 04:00:00,2019-09-01 05:00:00,11.79,12.0,1.27,3.49,1.35,3.69,5.49,0.17,29.35,0.08,1.25,0.18,0.24,0.15,,,,,,,,,0.0
2019-09-01 05:00:00,2019-09-01 06:00:00,8.08,11.0,1.24,3.5,1.36,3.72,5.54,0.17,30.12,0.06,1.15,0.16,0.22,0.14,,,,,,,,,0.0
2019-09-01 06:00:00,2019-09-01 07:00:00,4.96,15.0,1.27,3.44,1.29,3.59,5.53,0.19,27.18,0.07,1.24,0.16,0.26,0.15,,,,,,,,,0.0
2019-09-01 07:00:00,2019-09-01 08:00:00,14.55,16.7,1.34,3.54,1.27,3.68,5.5,0.23,27.81,0.21,1.77,0.25,0.48,0.24,,,,,,,,,0.0
2019-09-01 08:00:00,2019-09-01 09:00:00,13.03,19.0,1.29,3.42,1.24,3.71,5.52,0.23,31.95,0.17,1.61,0.27,0.48,0.23,,,,,,,,,0.0
2019-09-01 09:00:00,2019-09-01 10:00:00,,,1.28,3.55,1.36,3.59,5.53,0.22,31.71,0.13,1.26,0.21,0.32,0.16,,,,,,,,,0.0
2019-09-01 10:00:00,2019-09-01 11:00:00,,,1.31,3.59,1.34,3.57,5.62,0.22,31.09,0.11,1.12,0.21,0.28,0.15,,,,,,,,,0.0
2019-09-01 11:00:00,2019-09-01 12:00:00,,,1.33,3.44,1.21,3.62,5.77,0.23,29.49,0.11,0.31,0.21,0.27,0.14,,,,,,,,,0.0
2019-09-01 12:00:00,2019-09-01 13:00:00,,,1.37,3.5,1.22,3.61,6.05,0.24,28.0,0.11,0.04,0.18,0.3,0.15,,,,,,,,,0.0
2019-09-01 13:00:00,2019-09-01 14:00:00,,,1.38,3.62,1.29,3.59,6.08,0.24,29.14,0.03,0.07,0.17,0.31,0.15,,,,,,,,,0.0
2019-09-01 14:00:00,2019-09-01 15:00:00,,,1.36,3.47,1.16,3.63,6.2,0.25,29.39,0.0,0.07,0.03,0.34,0.17,,,,,,,,,0.0
2019-09-01 15:00:00,2019-09-01 16:00:00,,,1.28,3.66,1.45,3.53,6.25,0.23,37.42,0.0,0.05,,0.34,0.16,,,,,,,,,0.0
2019-09-01 16:00:00,2019-09-01 17:00:00,,,1.3,3.4,1.18,3.58,6.32,0.26,32.59,0.01,0.03,0.07,0.29,0.14,,,,,,,,,0.0
2019-09-01 17:00:00,2019-09-01 18:00:00,,,1.21,3.43,1.35,3.68,6.36,0.27,36.29,0.1,0.02,0.17,0.29,0.13,,,,,,,,,0.0
2019-09-01 18:00:00,2019-09-01 19:00:00,,,1.39,3.59,1.27,3.59,6.06,0.28,33.89,0.11,0.04,0.17,0.24,0.11,,,,,,,,,0.0
2019-09-01 19:00:00,2019-09-01 20:00:00,,,1.37,3.5,1.21,3.65,6.02,0.28,29.91,0.13,0.01,0.24,0.27,0.13,,,,,,,,,0.0
2019-09-01 20:00:00,2019-09-01 21:00:00,,,1.2,3.56,1.47,3.61,5.88,0.29,28.26,0.21,0.01,0.25,0.29,0.15,,,,,,,,,0.0
2019-09-01 21:00:00,2019-09-01 22:00:00,,,1.26,3.42,1.28,3.7,5.67,0.22,32.55,0.16,0.67,0.18,0.25,0.14,,,,,,,,,0.0
2019-09-01 22:00:00,2019-09-01 23:00:00,,,1.37,3.69,1.37,3.62,5.56,0.23,26.3,0.13,1.32,0.18,0.26,0.14,,,,,,,,,0.0
2019-09-01 23:00:00,2019-09-02 00:00:00,,,1.4,3.69,1.35,3.66,5.62,0.26,24.03,0.17,1.54,0.21,0.32,0.18,,,,,,,,,0.0
2019-09-02 00:00:00,2019-09-02 01:00:00,,,1.39,3.71,1.32,3.67,5.47,0.2,30.38,0.12,1.4,0.2,0.28,0.17,,,,,,,,,0.0
2019-09-02 01:00:00,2019-09-02 02:00:00,,,1.52,3.5,1.02,3.63,5.67,0.16,34.01,0.06,0.94,0.12,0.17,0.11,,,,,,,,,0.0
2019-09-02 02:00:00,2019-09-02 03:00:00,,,1.12,3.49,1.52,3.6,5.47,0.17,37.25,0.06,0.83,0.11,0.16,0.1,,,,,,,,,0.0
2019-09-02 03:00:00,2019-09-02 04:00:00,844.29,985.0,1.33,3.73,1.47,3.68,5.46,0.16,37.22,0.06,0.76,0.03,0.14,0.09,,,,,,,,,0.0
2019-09-02 04:00:00,2019-09-02 05:00:00,,,1.35,3.56,1.31,3.57,5.51,0.16,37.24,0.06,0.76,0.01,0.14,0.08,,,,,,,,,0.0
2019-09-02 05:00:00,2019-09-02 06:00:00,,,1.47,3.86,1.37,3.62,5.24,0.16,31.27,0.07,0.99,0.07,0.2,0.12,,,,,,,,,0.0
2019-09-02 06:00:00,2019-09-02 07:00:00,,,1.35,3.72,1.41,3.57,5.18,0.2,32.75,0.17,0.99,0.08,0.22,0.13,,,,,,,,,0.0
2019-09-02 07:00:00,2019-09-02 08:00:00,,,1.22,3.49,1.4,3.62,5.16,0.31,30.28,0.29,0.97,0.08,0.22,0.12,,,,,,,,,0.0
2019-09-02 08:00:00,2019-09-02 09:00:00,,,1.29,3.67,1.46,3.65,5.29,0.39,26.34,0.26,1.26,0.16,0.38,0.19,,,,,,,,,0.0
2019-09-02 09:00:00,2019-09-02 10:00:00,,,1.31,3.79,1.53,3.7,5.42,0.3,27.27,0.21,1.33,0.24,0.56,0.27,,,,,,,,,0.0
2019-09-02 10:00:00,2019-09-02 11:00:00,,,1.25,3.52,1.4,3.64,5.39,0.25,29.07,0.15,1.46,0.23,0.45,0.22,,,,,,,,,0.0
2019-09-02 11:00:00,2019-09-02 12:00:00,,,1.22,3.52,1.4,3.67,5.63,0.25,29.65,0.13,1.31,0.21,0.35,0.18,,,,,,,,,0.0
2019-09-02 12:00:00,2019-09-02 13:00:00,,,1.34,3.58,1.33,3.65,5.65,0.26,27.46,0.14,0.83,0.21,0.37,0.19,,,,,,,,,0.0
2019-09-02 13:00:00,2019-09-02 14:00:00,,,1.27,3.53,1.36,3.65,5.74,0.27,24.29,0.15,0.86,0.29,0.45,0.22,,,,,,,,,0.0
2019-09-02 14:00:00,2019-09-02 15:00:00,,,1.42,3.62,1.25,3.62,5.85,0.29,23.04,0.17,1.24,0.33,0.49,0.24,,,,,,,,,0.0
2019-09-02 15:00:00,2019-09-02 16:00:00,,,1.15,3.44,1.43,3.63,5.91,0.28,23.19,0.18,0.12,0.37,0.49,0.24,,,,,,,,,0.0
2019-09-02 16:00:00,2019-09-02 17:00:00,,,1.36,3.65,1.37,3.64,5.87,0.25,25.51,0.17,0.31,0.35,0.46,0.22,,,,,,,,,0.0
