From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2019-07-20 02:00:00,2019-07-20 03:00:00,4.42,4.87,,5.54,6.39,8.83,4.17,0.12,27.49,0.15,1.03,0.1,0.39,,88.52,,224.58,108.01,869.1,0.14,20.96,0.0
2019-07-20 03:00:00,2019-07-20 04:00:00,4.31,8.35,,6.87,8.33,10.83,4.01,0.09,25.13,0.14,0.98,0.09,0.33,,89.96,0.01,206.03,106.88,869.1,0.13,20.85,0.0
2019-07-20 04:00:00,2019-07-20 05:00:00,4.12,11.95,,7.05,8.57,10.94,2.98,0.05,25.67,0.21,1.12,0.1,0.39,,90.92,,227.89,105.45,869.1,0.15,20.85,0.0
2019-07-20 05:00:00,2019-07-20 06:00:00,3.8,13.55,,9.7,12.03,13.81,2.75,0.13,23.29,0.39,1.34,0.13,0.48,,91.19,,226.11,105.84,869.1,0.18,20.87,0.0
2019-07-20 06:00:00,2019-07-20 07:00:00,3.24,20.45,,15.43,19.91,20.25,4.65,0.42,20.5,0.76,2.34,0.25,0.96,,91.06,0.01,202.01,127.26,869.1,0.39,21.1,0.0
2019-07-20 07:00:00,2019-07-20 08:00:00,6.35,26.23,,19.07,24.65,24.88,4.81,0.61,17.6,2.26,5.14,0.55,2.56,,88.77,,208.58,176.02,869.1,1.02,21.63,0.0
2019-07-20 08:00:00,2019-07-20 09:00:00,6.07,29.1,,17.16,21.96,22.84,5.05,0.68,21.24,2.24,6.95,0.77,3.94,,83.12,0.01,218.95,315.14,869.1,1.54,22.86,0.0
2019-07-20 09:00:00,2019-07-20 10:00:00,11.86,29.93,,18.82,24.05,24.09,5.9,0.8,23.49,2.09,9.77,1.06,5.82,,76.54,0.01,260.16,387.49,869.1,2.25,24.19,0.0
2019-07-20 10:00:00,2019-07-20 11:00:00,15.5,27.76,,13.61,17.02,18.24,6.49,0.56,26.91,1.47,9.2,0.92,5.2,,71.68,0.01,217.67,499.92,869.1,1.92,25.23,0.0
2019-07-20 11:00:00,2019-07-20 12:00:00,12.94,28.12,,13.92,17.51,18.19,6.7,0.53,26.62,0.84,5.25,0.59,2.99,,67.42,0.01,249.69,500.08,869.12,1.21,26.34,0.0
2019-07-20 12:00:00,2019-07-20 13:00:00,16.5,26.88,,18.07,23.68,22.5,4.67,0.47,24.11,0.81,6.14,0.64,3.31,,64.75,0.01,248.83,578.85,869.1,1.22,27.16,0.0
2019-07-20 13:00:00,2019-07-20 14:00:00,14.32,26.93,,19.3,24.48,23.62,4.67,0.46,26.48,0.81,7.96,0.74,3.92,,69.62,0.01,234.09,288.54,869.17,1.46,26.08,0.0
2019-07-20 14:00:00,2019-07-20 15:00:00,16.07,30.11,,19.82,24.24,25.21,4.13,0.46,29.35,0.87,8.38,0.7,3.64,,70.51,0.04,265.86,420.11,869.5,1.4,25.86,0.0
2019-07-20 15:00:00,2019-07-20 16:00:00,13.68,34.79,,18.27,21.68,21.69,3.73,0.35,32.88,0.81,8.34,0.69,3.62,,67.47,0.53,269.19,325.2,873.65,1.37,26.5,0.0
2019-07-20 16:00:00,2019-07-20 17:00:00,13.78,30.9,,13.23,13.95,15.63,3.27,0.23,104.9,0.71,8.02,0.54,2.63,,67.57,0.7,259.98,371.29,875.17,1.02,26.23,0.0
2019-07-20 17:00:00,2019-07-20 18:00:00,11.43,28.89,,15.88,17.83,18.94,3.2,0.34,110.77,0.93,23.27,0.72,3.44,,69.92,0.7,265.01,189.65,875.0,1.34,25.11,0.0
2019-07-20 18:00:00,2019-07-20 19:00:00,8.3,28.77,,16.23,20.64,20.97,4.3,0.41,24.39,1.05,11.16,0.89,4.46,,76.18,0.45,237.31,126.62,874.02,1.71,23.97,0.0
2019-07-20 19:00:00,2019-07-20 20:00:00,8.92,28.45,,16.84,20.61,21.38,4.35,0.48,22.42,1.41,9.37,1.4,5.55,,78.68,0.38,219.64,105.62,872.55,2.04,23.48,0.0
2019-07-20 20:00:00,2019-07-20 21:00:00,14.12,23.77,,18.87,23.72,22.94,4.85,0.54,20.86,1.1,7.81,0.97,4.76,,84.55,0.54,251.2,110.3,872.73,1.79,22.7,0.05
2019-07-20 21:00:00,2019-07-20 22:00:00,13.24,19.48,,17.24,21.01,20.95,5.53,0.58,16.66,0.97,7.31,0.8,4.32,,88.21,0.15,216.44,106.42,870.73,1.65,22.3,0.0
2019-07-20 22:00:00,2019-07-20 23:00:00,10.43,17.49,,11.27,13.54,14.84,5.53,0.38,20.62,0.7,4.83,0.55,2.78,,87.68,0.21,222.16,106.5,871.55,1.05,22.19,0.0
2019-07-20 23:00:00,2019-07-21 00:00:00,11.88,16.69,,8.23,9.91,11.39,5.64,0.33,21.1,0.42,2.73,0.33,1.42,,91.34,0.36,200.05,108.58,871.67,0.56,21.72,0.0
2019-07-21 00:00:00,2019-07-21 01:00:00,14.0,167.79,,6.1,7.35,9.19,4.63,0.15,20.23,0.28,1.61,0.18,0.72,,92.59,0.17,222.87,112.68,870.95,0.28,21.54,0.05
2019-07-21 01:00:00,2019-07-21 02:00:00,11.78,119.35,,2.86,3.21,5.94,4.54,0.1,22.75,0.18,1.16,0.11,0.44,,92.15,0.21,215.56,103.41,870.95,0.17,21.24,0.1
2019-07-21 02:00:00,2019-07-21 03:00:00,8.93,14.92,,2.67,3.07,6.38,3.6,0.03,24.79,0.16,1.12,0.1,0.38,,91.7,0.31,212.92,102.61,871.37,0.15,21.09,0.0
2019-07-21 03:00:00,2019-07-21 04:00:00,7.42,20.19,,1.69,1.6,5.37,2.68,0.01,26.38,0.22,1.05,0.1,0.34,,91.3,0.27,204.12,106.23,871.0,0.12,21.11,0.0
2019-07-21 04:00:00,2019-07-21 05:00:00,5.73,27.88,,5.21,6.24,8.96,2.74,0.01,25.55,0.22,1.08,0.09,0.35,,93.26,0.2,224.89,113.41,870.78,0.13,20.96,0.0
2019-07-21 05:00:00,2019-07-21 06:00:00,7.8,18.79,,8.06,9.98,11.96,2.75,0.08,25.95,0.51,1.42,0.14,0.48,,91.69,0.24,207.13,107.72,871.45,0.19,20.98,0.0
2019-07-21 06:00:00,2019-07-21 07:00:00,12.29,22.02,,8.14,9.18,11.47,4.24,0.35,24.8,0.72,1.99,0.2,0.76,,90.97,0.21,203.11,121.43,871.07,0.3,21.09,0.0
2019-07-21 07:00:00,2019-07-21 08:00:00,12.67,26.97,,11.59,14.09,15.1,4.45,0.52,24.73,1.67,3.83,0.4,1.71,,86.23,0.36,210.38,222.0,872.27,0.69,22.12,0.0
2019-07-21 08:00:00,2019-07-21 09:00:00,13.46,24.69,,11.09,13.41,14.34,5.69,0.54,25.86,1.57,4.56,0.47,2.07,,80.61,0.39,225.38,354.47,872.88,0.84,23.34,0.0
2019-07-21 09:00:00,2019-07-21 10:00:00,12.43,24.72,,13.17,16.17,16.26,6.26,0.55,26.46,1.41,4.72,0.46,2.07,,75.23,0.43,250.18,399.73,873.45,0.83,24.78,0.0
2019-07-21 10:00:00,2019-07-21 11:00:00,12.48,24.26,,12.34,14.95,15.6,6.48,0.62,23.88,1.28,5.24,0.54,2.59,,78.69,0.49,235.62,286.72,873.1,1.02,24.47,0.0
2019-07-21 11:00:00,2019-07-21 12:00:00,17.61,24.4,,12.65,15.87,16.2,6.39,0.52,24.81,1.17,6.1,0.66,3.33,,70.88,0.56,257.44,458.91,874.8,1.29,25.83,0.0
2019-07-21 12:00:00,2019-07-21 13:00:00,15.76,27.69,,11.69,14.67,14.97,4.55,0.36,26.37,0.84,4.6,0.51,2.32,,67.08,0.77,253.89,454.94,875.55,0.91,26.62,0.0
2019-07-21 13:00:00,2019-07-21 14:00:00,12.23,26.3,,9.83,12.08,13.1,4.52,0.32,27.52,0.72,3.87,0.45,2.02,,67.53,0.82,255.98,476.71,875.8,0.82,26.66,0.0
2019-07-21 14:00:00,2019-07-21 15:00:00,14.68,26.08,,12.31,15.51,15.54,3.58,0.32,25.82,0.52,3.19,0.39,1.73,,67.32,0.94,268.46,453.0,875.77,0.69,26.81,0.0
2019-07-21 15:00:00,2019-07-21 16:00:00,12.82,26.02,,9.76,11.81,13.05,3.32,0.27,25.82,0.63,4.38,0.51,2.39,,70.29,0.77,260.44,291.89,874.88,0.93,26.29,0.0
2019-07-21 16:00:00,2019-07-21 17:00:00,9.64,26.78,,10.63,13.3,13.97,2.73,0.22,25.8,0.66,3.77,0.44,2.01,,69.13,0.54,244.94,274.34,874.15,0.79,26.04,0.0
2019-07-21 17:00:00,2019-07-21 18:00:00,10.52,22.21,,9.44,11.28,12.54,3.16,0.26,27.21,0.62,3.7,0.44,2.04,,70.26,0.6,247.75,179.9,874.08,0.8,25.52,0.0
2019-07-21 18:00:00,2019-07-21 19:00:00,10.63,22.16,,14.76,18.09,18.01,3.96,0.51,20.98,0.87,5.03,0.57,2.78,,76.92,0.32,226.49,124.44,872.1,1.08,24.61,0.0
2019-07-21 19:00:00,2019-07-21 20:00:00,12.12,20.25,,11.82,14.48,15.33,4.57,0.57,18.38,1.22,6.97,0.79,4.28,,86.63,0.3,202.91,108.03,871.9,1.63,23.29,0.0
2019-07-21 20:00:00,2019-07-21 21:00:00,10.16,15.26,,15.64,19.43,18.44,4.99,0.63,15.02,1.04,6.52,0.73,3.88,,89.39,0.2,238.07,103.17,871.5,1.47,22.79,0.0
2019-07-21 21:00:00,2019-07-21 22:00:00,7.85,10.75,,13.59,16.1,16.09,4.91,0.53,16.65,0.88,6.08,0.69,3.75,,87.34,0.29,222.45,108.31,871.65,1.41,22.65,0.0
2019-07-21 22:00:00,2019-07-21 23:00:00,6.39,10.18,,8.78,9.8,11.27,5.02,0.42,21.69,0.71,4.26,0.5,2.45,,86.76,0.23,201.69,107.85,871.08,0.95,22.11,0.0
2019-07-21 23:00:00,2019-07-22 00:00:00,7.94,11.99,,6.54,7.53,9.28,4.93,0.32,23.85,0.49,2.82,0.33,1.46,,88.51,0.31,196.66,108.97,871.57,0.57,21.75,0.0
2019-07-22 00:00:00,2019-07-22 01:00:00,7.24,12.62,,6.44,8.16,9.71,3.91,0.18,22.3,0.23,1.5,0.17,0.69,,91.27,0.18,229.0,110.17,871.22,0.27,21.59,0.05
2019-07-22 01:00:00,2019-07-22 02:00:00,10.49,17.75,,4.68,5.51,8.14,3.01,0.07,25.09,0.19,1.09,0.1,0.42,,90.53,0.17,234.09,108.81,870.75,0.16,21.47,0.0
2019-07-22 02:00:00,2019-07-22 03:00:00,10.16,21.4,,5.32,6.89,9.18,2.52,0.07,27.06,0.16,1.1,0.1,0.38,,90.34,0.11,245.29,108.05,870.77,0.14,21.04,0.0
2019-07-22 03:00:00,2019-07-22 04:00:00,8.11,18.37,,3.43,3.93,7.0,2.54,0.07,27.52,0.17,1.0,0.08,0.33,,90.13,0.13,263.12,109.47,870.65,0.12,20.92,0.0
2019-07-22 04:00:00,2019-07-22 05:00:00,6.77,15.63,,4.98,5.81,8.86,2.6,0.09,25.48,0.21,0.99,0.08,0.34,,90.13,0.21,225.3,110.45,871.1,0.12,20.86,0.0
2019-07-22 05:00:00,2019-07-22 06:00:00,5.85,16.82,,7.58,9.04,11.27,2.7,0.26,22.45,0.61,1.36,0.13,0.44,,91.3,0.15,195.94,106.06,870.7,0.18,20.84,0.0
2019-07-22 06:00:00,2019-07-22 07:00:00,5.75,17.72,,16.23,20.57,20.37,4.63,0.73,17.94,2.06,3.41,0.35,1.39,,91.18,0.2,205.88,116.76,871.05,0.56,20.89,0.0
2019-07-22 07:00:00,2019-07-22 08:00:00,16.84,33.26,,19.12,22.74,22.68,5.34,1.12,17.55,6.34,6.38,0.61,2.69,,88.71,0.24,206.46,185.27,871.35,1.1,21.52,0.0
2019-07-22 08:00:00,2019-07-22 09:00:00,29.12,45.44,,23.2,30.0,27.83,6.05,1.02,19.87,5.29,7.31,0.77,3.76,,82.61,0.26,231.14,256.68,872.3,1.54,22.59,0.0
2019-07-22 09:00:00,2019-07-22 10:00:00,30.59,49.84,,22.57,28.25,27.05,6.11,0.97,23.36,3.24,10.27,1.24,6.72,,77.86,0.33,239.88,301.58,872.95,2.69,23.48,0.0
2019-07-22 10:00:00,2019-07-22 11:00:00,23.66,44.03,,18.28,22.38,17.98,5.85,0.62,27.66,1.95,8.69,0.98,5.49,,75.9,0.66,243.51,334.04,873.63,2.11,24.02,0.0
2019-07-22 11:00:00,2019-07-22 12:00:00,21.77,41.76,,21.15,26.45,24.83,6.01,0.71,25.4,1.31,7.97,0.85,4.7,,74.39,0.7,273.42,390.75,874.13,1.76,24.82,0.0
2019-07-22 12:00:00,2019-07-22 13:00:00,17.51,35.73,,14.55,17.72,18.74,4.16,0.42,34.78,1.12,7.48,0.83,4.54,,70.97,0.66,250.11,381.93,874.7,1.67,25.28,0.0
2019-07-22 13:00:00,2019-07-22 14:00:00,12.56,36.64,,20.69,25.58,24.39,3.96,0.56,29.74,0.95,6.58,0.65,3.34,,76.8,0.69,270.76,264.33,873.98,1.26,24.43,0.0
2019-07-22 14:00:00,2019-07-22 15:00:00,15.04,38.68,,20.35,25.37,24.52,3.71,0.54,28.06,1.02,7.57,0.78,4.22,,79.82,0.42,249.34,263.66,872.7,1.58,24.09,0.0
2019-07-22 15:00:00,2019-07-22 16:00:00,13.48,37.06,,21.17,25.98,24.89,3.54,0.46,31.3,0.9,6.85,0.74,3.93,,73.25,0.45,255.88,225.49,872.92,1.48,24.77,0.0
2019-07-22 16:00:00,2019-07-22 17:00:00,14.5,31.87,,14.98,17.24,18.01,3.72,0.44,28.99,0.86,7.85,0.98,4.34,,76.24,0.41,211.77,169.03,871.85,2.67,24.58,0.0
2019-07-22 17:00:00,2019-07-22 18:00:00,17.18,34.39,,21.06,26.49,25.3,3.91,0.62,17.8,1.26,8.3,0.87,4.34,,94.79,0.28,234.14,143.5,872.08,2.08,21.77,1.5
2019-07-22 18:00:00,2019-07-22 19:00:00,14.15,28.0,,21.06,27.43,26.17,5.05,0.78,12.91,1.67,12.44,1.39,7.52,,94.78,0.15,230.82,124.51,871.45,3.28,21.8,0.1
2019-07-22 19:00:00,2019-07-22 20:00:00,13.44,22.84,,26.49,34.22,31.25,5.52,0.86,9.71,2.3,13.65,1.85,9.3,,93.85,0.19,227.42,112.08,870.67,3.84,21.82,0.07
2019-07-22 20:00:00,2019-07-22 21:00:00,10.9,17.25,,18.65,23.89,23.26,5.52,0.62,10.27,1.54,9.01,1.11,5.94,,95.39,0.35,247.21,116.41,871.33,2.4,21.46,0.7
2019-07-22 21:00:00,2019-07-22 22:00:00,8.38,12.69,,19.32,23.36,22.8,5.4,0.53,17.25,0.92,7.35,0.77,3.83,,93.59,0.41,266.6,113.58,871.88,1.41,20.92,0.45
2019-07-22 22:00:00,2019-07-22 23:00:00,6.42,9.3,,14.6,17.08,17.41,5.13,0.43,22.77,0.71,11.57,0.55,2.69,,92.28,0.19,239.6,109.06,870.65,1.01,20.7,0.0
2019-07-22 23:00:00,2019-07-23 00:00:00,7.3,9.06,,11.35,13.17,14.68,4.92,0.33,21.2,0.63,4.86,0.53,2.58,,94.4,0.27,203.39,114.69,870.7,1.01,20.69,0.0
2019-07-23 00:00:00,2019-07-23 01:00:00,12.24,9.41,,6.13,7.02,9.84,3.81,0.15,24.43,0.32,2.29,0.23,0.94,,93.71,0.24,234.19,112.81,870.67,0.37,20.58,0.0
2019-07-23 01:00:00,2019-07-23 02:00:00,11.43,12.68,,4.69,5.17,7.75,3.8,0.11,24.6,0.21,1.42,0.14,0.55,,93.11,0.17,210.1,116.38,870.4,0.22,20.53,0.0
2019-07-23 02:00:00,2019-07-23 03:00:00,9.16,15.04,,2.15,2.34,5.65,3.86,0.09,23.29,0.2,1.37,0.12,0.47,,94.27,0.22,209.57,106.19,870.47,0.18,20.3,0.0
2019-07-23 03:00:00,2019-07-23 04:00:00,8.17,17.42,,3.45,4.23,7.47,3.92,0.08,20.14,0.16,1.21,0.11,0.41,,93.5,0.18,213.99,111.32,870.38,0.15,20.3,0.0
2019-07-23 04:00:00,2019-07-23 05:00:00,6.89,14.42,,2.95,3.28,6.75,3.95,0.13,19.34,0.26,1.35,0.12,0.44,,91.95,0.18,195.66,112.78,870.3,0.17,20.52,0.0
2019-07-23 05:00:00,2019-07-23 06:00:00,5.29,11.69,,5.65,6.77,8.84,4.96,0.33,17.71,0.39,1.65,0.14,0.46,,91.33,0.27,198.6,107.21,870.92,0.23,20.69,0.0
2019-07-23 06:00:00,2019-07-23 07:00:00,7.5,14.54,,12.76,16.88,16.5,4.17,0.49,12.26,1.11,3.54,0.35,1.46,,93.35,0.09,197.53,118.37,870.2,0.64,20.71,0.0
2019-07-23 07:00:00,2019-07-23 08:00:00,10.25,19.03,,17.01,21.73,20.91,4.64,0.61,12.21,3.08,7.14,0.76,3.92,,92.19,0.16,239.38,175.87,871.18,1.57,21.2,0.0
2019-07-23 08:00:00,2019-07-23 09:00:00,15.86,23.25,,18.48,24.35,22.91,4.77,0.63,16.53,2.37,6.18,0.65,3.27,,84.6,0.34,229.87,450.38,872.08,1.28,22.66,0.0
2019-07-23 09:00:00,2019-07-23 10:00:00,19.93,28.77,,20.27,26.67,25.64,5.05,0.69,21.04,2.53,10.98,1.27,6.94,,75.08,0.49,252.69,509.02,873.38,2.76,24.09,0.0
2019-07-23 10:00:00,2019-07-23 11:00:00,16.37,32.22,,16.97,21.3,20.91,4.64,0.45,27.38,1.21,5.9,0.7,3.63,,68.1,0.46,248.17,559.71,873.77,1.36,25.48,0.0
2019-07-23 11:00:00,2019-07-23 12:00:00,12.28,41.21,,21.52,27.38,26.34,3.91,0.46,25.36,1.38,8.01,0.87,4.62,,65.33,0.8,270.4,377.73,874.23,1.76,26.24,0.0
2019-07-23 12:00:00,2019-07-23 13:00:00,17.71,45.07,,24.12,31.23,28.45,4.17,0.59,22.88,1.29,8.0,0.97,5.08,,68.68,1.4,292.34,343.45,876.1,1.91,25.64,0.0
2019-07-23 13:00:00,2019-07-23 14:00:00,19.93,49.39,,17.39,22.25,21.79,3.98,0.37,22.41,1.04,6.85,0.91,4.02,,81.27,0.49,223.15,311.78,873.18,1.51,23.88,0.0
2019-07-23 14:00:00,2019-07-23 15:00:00,21.09,44.69,,16.92,21.74,21.14,3.82,0.37,21.48,0.94,6.42,0.68,3.38,,75.75,0.46,217.57,447.61,873.38,1.3,25.31,0.0
2019-07-23 15:00:00,2019-07-23 16:00:00,20.65,37.72,,14.34,17.62,17.44,3.72,0.33,24.69,0.88,5.33,0.58,2.85,,81.62,0.73,250.83,226.51,874.92,1.09,23.38,0.15
2019-07-23 16:00:00,2019-07-23 17:00:00,18.45,31.76,,19.29,23.57,22.29,4.45,0.5,24.91,1.09,6.29,0.63,2.98,,75.0,0.37,246.35,299.06,872.5,1.16,24.19,0.0
2019-07-23 17:00:00,2019-07-23 18:00:00,19.71,34.19,,22.24,29.07,27.02,5.44,0.66,21.13,1.07,8.33,0.89,4.32,,72.26,1.12,279.02,173.37,875.35,1.67,24.5,0.0
2019-07-23 18:00:00,2019-07-23 19:00:00,18.61,38.03,,24.71,31.09,29.17,4.69,0.8,19.46,1.68,11.45,2.12,8.06,,71.87,0.92,292.8,124.63,874.02,2.96,23.81,0.0
2019-07-23 19:00:00,2019-07-23 20:00:00,16.64,36.59,,26.79,33.47,30.79,4.69,0.75,19.93,1.88,12.05,2.46,8.89,,71.92,0.42,276.99,101.04,871.92,3.29,23.1,0.0
2019-07-23 20:00:00,2019-07-23 21:00:00,15.94,34.2,,26.08,32.15,30.07,4.63,0.82,14.81,2.05,13.82,1.59,8.54,,78.18,0.19,244.57,96.86,870.67,3.39,22.43,0.0
2019-07-23 21:00:00,2019-07-23 22:00:00,21.5,28.78,,16.82,19.5,20.11,4.58,0.58,14.59,1.69,11.52,1.39,7.7,,83.34,0.17,194.44,112.32,870.33,2.99,22.25,0.0
2019-07-23 22:00:00,2019-07-23 23:00:00,18.8,31.15,,16.14,20.34,20.27,3.85,0.44,13.4,1.23,7.56,0.85,4.64,,88.22,0.15,233.69,105.88,870.75,1.76,21.92,0.0
2019-07-23 23:00:00,2019-07-24 00:00:00,17.14,37.36,,9.01,11.04,13.04,2.69,0.23,15.27,0.86,5.03,0.6,3.13,,89.56,0.12,222.96,104.39,870.6,1.19,21.58,0.0
2019-07-24 00:00:00,2019-07-24 01:00:00,20.05,34.15,,6.2,7.34,9.89,4.66,0.24,14.37,0.53,2.52,0.28,1.12,,90.86,0.21,236.17,95.57,870.68,0.44,21.33,0.0
2019-07-24 01:00:00,2019-07-24 02:00:00,16.7,32.01,,3.56,3.89,7.01,4.64,0.18,19.81,0.32,1.63,0.16,0.63,,90.22,0.33,213.69,97.42,871.27,0.24,20.83,0.0
2019-07-24 02:00:00,2019-07-24 03:00:00,12.35,25.31,,4.45,5.08,7.73,4.5,0.16,22.45,0.21,1.25,0.11,0.45,,88.12,0.17,211.22,94.95,870.62,0.17,20.61,0.0
2019-07-24 03:00:00,2019-07-24 04:00:00,9.13,24.94,,7.98,10.71,11.76,4.67,0.22,19.12,0.3,1.35,0.13,0.45,,90.39,0.14,221.91,93.95,870.53,0.18,20.32,0.0
2019-07-24 04:00:00,2019-07-24 05:00:00,7.0,23.32,,5.01,6.15,8.5,5.71,0.28,19.3,0.24,1.34,0.12,0.42,,90.45,0.19,202.72,97.78,870.6,0.16,20.24,0.0
2019-07-24 05:00:00,2019-07-24 06:00:00,6.91,17.51,,9.64,12.37,13.33,5.92,0.41,15.17,0.55,1.63,0.14,0.5,,90.66,0.21,197.89,99.7,870.47,0.2,20.22,0.0
2019-07-24 06:00:00,2019-07-24 07:00:00,11.33,14.72,,11.0,13.48,14.43,4.34,0.56,14.78,1.7,3.28,0.3,1.19,,90.97,0.35,205.54,129.33,871.2,0.47,20.42,0.0
2019-07-24 07:00:00,2019-07-24 08:00:00,17.42,34.86,,19.21,23.61,22.58,4.51,0.9,14.68,5.6,6.84,0.69,3.27,,87.82,0.24,209.79,237.84,871.1,1.32,21.52,0.0
2019-07-24 08:00:00,2019-07-24 09:00:00,24.29,58.38,,17.95,23.09,22.05,4.58,0.76,16.66,4.46,6.89,0.73,3.28,,81.03,0.28,195.95,406.69,872.12,1.37,23.39,0.0
2019-07-24 09:00:00,2019-07-24 10:00:00,27.81,58.38,,22.49,29.56,27.79,4.38,0.71,19.55,2.06,7.54,0.83,4.36,,72.4,0.48,265.86,572.49,872.95,1.72,25.32,0.0
2019-07-24 10:00:00,2019-07-24 11:00:00,27.45,60.67,,15.45,19.36,20.13,3.34,0.43,25.79,1.8,7.71,0.89,4.78,,66.94,0.33,243.56,557.91,872.45,1.85,26.59,0.0
2019-07-24 11:00:00,2019-07-24 12:00:00,27.66,62.72,,18.02,23.0,22.53,3.61,0.41,27.45,1.3,6.94,0.78,3.85,,62.71,0.59,265.65,558.16,873.78,1.53,27.52,0.0
2019-07-24 12:00:00,2019-07-24 13:00:00,28.22,54.95,,14.67,17.84,18.52,4.42,0.45,30.75,1.08,6.26,0.78,3.41,,61.41,0.83,256.48,444.6,874.38,1.31,27.63,0.0
2019-07-24 13:00:00,2019-07-24 14:00:00,22.17,48.52,,8.61,10.12,11.37,4.39,0.35,31.45,0.73,4.98,0.51,2.13,,61.72,0.85,203.68,592.22,874.2,0.82,28.24,0.0
2019-07-24 14:00:00,2019-07-24 15:00:00,25.23,43.31,,15.21,19.65,18.38,4.57,0.49,25.27,0.66,4.74,0.46,1.95,,62.32,0.65,261.08,464.63,874.0,0.76,28.22,0.0
