From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (ug/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm),Xylene (ug/m3)
2023-02-08 18:00:00,2023-02-08 19:00:00,34.0,,0.15,3.77,2.03,33.1,1.67,2.12,17.95,0.1,0.75,,,,37.75,0.28,222.75,5.5,,17.77,0.0,
2023-02-08 19:00:00,2023-02-08 20:00:00,65.5,,0.2,3.75,2.12,33.48,0.2,2.46,2.27,0.12,0.83,,,0.05,51.0,0.18,125.25,2.75,,17.25,0.0,
2023-02-08 20:00:00,2023-02-08 21:00:00,122.75,,,3.75,1.82,34.4,,2.67,1.05,0.2,1.0,0.03,,0.08,58.75,0.1,233.0,2.0,,16.98,0.0,
2023-02-08 21:00:00,2023-02-08 22:00:00,142.5,,0.15,3.45,1.88,33.8,1.17,2.42,2.9,0.28,1.35,0.1,0.03,0.03,56.5,0.15,212.25,2.0,,16.95,0.0,
2023-02-08 22:00:00,2023-02-08 23:00:00,131.25,,0.15,3.65,2.02,28.77,0.9,2.35,3.9,0.3,1.6,0.1,,0.05,57.5,0.23,208.5,1.75,,16.9,0.0,
2023-02-08 23:00:00,2023-02-09 00:00:00,116.25,,0.15,3.67,1.87,26.65,0.65,2.33,1.3,0.3,1.6,0.08,,0.1,61.5,0.25,209.25,0.5,,16.73,0.0,
2023-02-09 00:00:00,2023-02-09 01:00:00,116.5,,,3.9,1.88,36.03,0.2,2.01,1.15,0.3,1.58,0.08,0.1,0.1,58.0,0.38,220.25,,,16.62,0.0,
2023-02-09 01:00:00,2023-02-09 02:00:00,81.75,,,3.73,1.82,36.7,0.2,1.67,0.7,0.3,1.5,0.1,0.08,0.17,61.25,0.3,222.25,,,16.52,0.0,
2023-02-09 02:00:00,2023-02-09 03:00:00,94.75,,0.2,3.75,1.95,44.5,1.12,1.45,2.23,0.3,1.42,0.1,0.05,0.08,64.0,0.25,191.0,,,16.32,0.0,
2023-02-09 03:00:00,2023-02-09 04:00:00,75.5,,0.1,3.88,2.02,48.03,0.52,1.36,1.77,0.3,1.37,0.08,,0.05,65.75,0.33,227.75,,,16.23,0.0,
2023-02-09 04:00:00,2023-02-09 05:00:00,65.75,,0.1,3.85,1.98,49.0,0.4,1.31,,0.3,1.28,,,0.03,62.25,0.2,197.0,,,16.25,0.0,
2023-02-09 05:00:00,2023-02-09 06:00:00,64.75,,0.23,3.6,2.12,49.15,0.1,1.26,,0.3,1.2,0.05,,0.05,67.75,0.12,230.25,,,16.0,0.0,
2023-02-09 06:00:00,2023-02-09 07:00:00,63.0,,,3.85,1.88,51.93,,1.21,4.2,0.3,1.17,0.05,0.08,0.03,66.75,0.6,208.5,4.0,,16.02,0.0,
2023-02-09 07:00:00,2023-02-09 08:00:00,58.25,,0.25,3.58,1.98,50.12,,1.17,10.78,0.28,1.1,0.05,,,58.0,1.4,183.75,46.0,,16.48,0.0,
2023-02-09 08:00:00,2023-02-09 09:00:00,59.75,,,3.85,1.85,77.7,,1.45,13.12,0.28,1.05,,,0.03,54.0,1.35,188.75,65.75,,16.68,0.0,
2023-02-09 09:00:00,2023-02-09 10:00:00,57.5,,0.2,3.65,2.02,55.58,50.0,1.41,16.6,0.3,0.97,0.05,,,42.0,0.93,179.75,68.75,,17.4,0.0,
2023-02-09 10:00:00,2023-02-09 11:00:00,52.5,,0.17,3.5,1.95,49.52,17.1,1.55,22.32,0.3,0.95,,,,36.0,1.43,179.75,80.75,,17.85,0.0,
2023-02-09 11:00:00,2023-02-09 12:00:00,37.75,,0.1,3.83,2.0,56.67,1.7,1.6,25.12,0.3,0.9,,,,34.5,1.5,188.25,82.0,,18.33,0.0,
2023-02-09 12:00:00,2023-02-09 13:00:00,34.75,,0.1,3.65,1.95,57.1,1.25,1.69,27.93,0.2,0.82,,,0.03,25.5,1.5,195.25,77.0,,18.75,0.0,
2023-02-09 13:00:00,2023-02-09 14:00:00,26.75,,,3.75,1.95,56.55,0.88,1.75,29.35,0.2,0.8,0.03,0.05,0.1,20.5,1.37,190.0,76.25,,19.1,0.0,
2023-02-09 14:00:00,2023-02-09 15:00:00,24.75,,0.1,3.45,1.85,34.17,,1.74,33.2,0.15,0.53,,,,18.25,1.55,187.0,65.25,,19.3,0.0,
2023-02-09 15:00:00,2023-02-09 16:00:00,21.75,,0.13,3.7,2.08,33.38,,1.81,30.5,0.1,0.7,,,,12.75,1.55,185.75,47.25,,19.4,0.0,
2023-02-09 16:00:00,2023-02-09 17:00:00,15.0,,0.1,3.8,2.05,29.55,,1.93,30.88,0.1,0.7,,,0.03,12.5,0.85,180.5,29.5,,19.38,0.0,
2023-02-09 17:00:00,2023-02-09 18:00:00,17.0,,0.1,3.73,1.98,28.4,,2.21,23.0,0.1,0.75,,,,24.25,0.3,133.25,11.5,,18.9,0.0,
2023-02-09 18:00:00,2023-02-09 19:00:00,35.5,,0.4,3.55,2.2,36.97,3.5,2.04,16.48,0.15,0.93,0.03,,0.12,35.5,0.25,192.25,3.0,,18.2,0.0,
2023-02-09 19:00:00,2023-02-09 20:00:00,45.0,,0.3,3.75,2.0,38.62,5.9,1.34,23.7,0.28,1.67,0.1,,0.1,44.25,0.57,185.0,3.0,,18.02,0.0,
2023-02-09 20:00:00,2023-02-09 21:00:00,46.75,,0.2,3.68,2.05,39.67,5.68,1.46,20.05,0.3,1.8,0.1,0.07,0.12,44.5,0.48,175.75,3.0,,17.9,0.0,
2023-02-09 21:00:00,2023-02-09 22:00:00,57.0,,0.15,3.88,2.05,39.17,5.12,1.45,19.1,0.3,1.78,0.1,0.03,0.12,52.5,0.42,180.75,2.75,,17.6,0.0,
2023-02-09 22:00:00,2023-02-09 23:00:00,58.0,,,3.83,1.92,33.27,0.7,1.61,13.07,0.25,1.67,0.08,,0.15,58.25,0.2,140.25,2.0,,17.3,0.0,
2023-02-09 23:00:00,2023-02-10 00:00:00,71.25,,0.1,3.88,2.0,30.45,0.38,1.9,3.07,0.2,1.5,0.08,,0.08,54.0,0.33,157.0,2.0,,17.28,0.0,
2023-02-10 00:00:00,2023-02-10 01:00:00,85.0,,0.2,3.98,2.08,29.52,4.45,1.9,2.8,0.2,1.5,0.05,,0.08,55.75,0.25,130.75,2.0,,16.98,0.0,
2023-02-10 01:00:00,2023-02-10 02:00:00,92.0,,0.15,3.98,2.23,28.62,5.4,1.9,3.53,0.2,1.6,0.1,0.05,0.15,59.25,0.35,138.5,2.0,,16.82,0.0,
2023-02-10 02:00:00,2023-02-10 03:00:00,95.25,,0.25,3.65,2.17,34.2,10.12,1.95,1.3,0.3,1.7,0.05,0.03,0.1,62.5,0.42,85.0,2.0,,16.62,0.0,
2023-02-10 03:00:00,2023-02-10 04:00:00,77.5,,0.1,3.77,1.95,40.88,10.38,1.89,1.5,0.3,1.68,0.03,,0.1,66.75,0.53,56.0,1.5,,16.35,0.0,
2023-02-10 04:00:00,2023-02-10 05:00:00,66.0,,0.2,3.6,1.88,47.9,10.32,1.78,3.1,0.3,1.7,0.03,,0.1,71.0,0.65,54.25,1.25,,16.17,0.0,
2023-02-10 05:00:00,2023-02-10 06:00:00,56.5,,0.3,3.8,2.0,47.83,9.55,1.74,3.6,0.28,1.62,0.1,,0.05,69.0,0.53,107.5,1.75,,16.23,0.0,
2023-02-10 06:00:00,2023-02-10 07:00:00,64.0,,0.12,3.62,2.02,35.9,4.88,1.72,7.97,0.22,1.3,0.05,,0.08,64.0,0.98,174.0,3.75,,16.5,0.0,
2023-02-10 07:00:00,2023-02-10 08:00:00,60.5,,0.1,3.67,1.98,34.23,3.65,1.83,6.92,0.2,1.3,,,0.08,61.0,0.68,180.5,36.25,,16.85,0.0,
2023-02-10 08:00:00,2023-02-10 09:00:00,71.75,,0.2,3.55,2.05,49.25,5.95,2.56,8.32,0.2,1.3,0.03,,,55.75,1.12,182.75,48.25,,17.05,0.0,
2023-02-10 09:00:00,2023-02-10 10:00:00,58.25,,0.27,3.68,2.1,44.65,8.18,2.51,11.1,0.2,1.02,,,0.05,46.5,0.72,180.0,53.0,,17.73,0.0,
2023-02-10 10:00:00,2023-02-10 11:00:00,58.25,,0.13,3.83,2.05,43.23,13.98,2.25,15.12,0.2,1.2,0.03,0.05,0.08,35.0,0.55,184.25,69.5,,18.77,0.0,
2023-02-10 11:00:00,2023-02-10 12:00:00,49.0,,,3.95,2.02,61.05,14.68,1.9,18.45,0.2,1.15,,,0.05,21.0,1.3,251.75,94.5,,19.2,0.0,
2023-02-10 12:00:00,2023-02-10 13:00:00,19.0,,,3.7,1.65,69.93,16.4,1.71,20.65,0.2,1.0,0.05,,0.1,22.0,1.15,247.5,93.5,,19.38,0.0,
2023-02-10 13:00:00,2023-02-10 14:00:00,13.75,,1.15,2.9,2.0,61.12,22.95,1.61,22.38,0.2,0.9,0.03,0.03,,18.5,1.05,249.5,89.75,,19.55,0.0,
2023-02-10 14:00:00,2023-02-10 15:00:00,19.25,,2.33,0.62,2.25,32.62,2.1,1.36,29.1,0.12,0.68,,,0.03,20.0,1.07,199.75,74.5,,19.58,0.0,
2023-02-10 15:00:00,2023-02-10 16:00:00,25.5,,2.65,1.85,3.12,30.7,2.78,1.11,30.15,0.1,0.55,,,,24.5,1.0,88.0,55.0,,19.5,0.0,
2023-02-10 16:00:00,2023-02-10 17:00:00,23.5,,2.5,1.7,2.95,29.5,3.8,0.9,30.12,0.1,0.55,,,,29.5,1.12,60.0,35.5,,19.33,0.0,
2023-02-10 17:00:00,2023-02-10 18:00:00,25.0,,2.7,1.73,3.1,29.52,4.3,0.87,23.23,0.1,0.5,,,,37.0,0.6,69.0,13.25,,18.95,0.0,
2023-02-10 18:00:00,2023-02-10 19:00:00,26.25,,2.5,1.83,2.98,44.6,9.55,0.94,22.55,0.1,0.53,,,0.03,43.5,0.5,121.75,5.25,,18.55,0.0,
2023-02-10 19:00:00,2023-02-10 20:00:00,37.25,,2.4,1.68,2.85,42.27,11.43,1.04,13.2,0.1,0.88,0.03,,0.05,50.5,0.2,172.25,5.0,,18.12,0.0,
2023-02-10 20:00:00,2023-02-10 21:00:00,55.25,,2.53,1.92,3.05,46.02,11.15,0.84,15.93,0.12,1.08,0.03,,0.1,51.25,0.17,210.25,5.0,,17.95,0.0,
2023-02-10 21:00:00,2023-02-10 22:00:00,51.0,,2.5,1.95,3.05,43.7,9.7,0.74,13.55,0.15,1.05,0.03,,0.08,52.5,0.17,132.5,5.0,,17.8,0.0,
2023-02-10 22:00:00,2023-02-10 23:00:00,46.25,,2.7,1.9,3.23,34.92,6.25,0.67,10.45,0.2,1.0,,0.03,,57.0,0.22,91.0,5.0,,17.6,0.0,
2023-02-10 23:00:00,2023-02-11 00:00:00,57.0,,2.47,1.85,3.02,31.85,5.45,0.72,5.55,0.2,0.97,,,0.08,56.75,0.33,147.75,5.5,,17.55,0.0,
2023-02-11 00:00:00,2023-02-11 01:00:00,74.25,,2.3,1.68,2.83,33.17,1.1,0.69,4.22,0.2,1.02,,,,50.5,0.95,181.75,6.0,,17.62,0.0,
2023-02-11 01:00:00,2023-02-11 02:00:00,72.0,,2.45,1.9,2.98,31.2,1.65,0.58,13.78,0.2,0.9,,,,50.25,1.25,182.5,6.0,,17.58,0.0,
2023-02-11 02:00:00,2023-02-11 03:00:00,48.0,,2.42,1.9,3.0,32.8,3.85,0.53,14.2,0.2,0.8,,,,57.0,0.9,208.5,6.0,,17.25,0.0,
2023-02-11 03:00:00,2023-02-11 04:00:00,44.75,,2.35,2.08,3.0,33.48,4.32,0.49,4.5,0.2,0.6,,,,62.25,0.6,217.5,6.0,,16.95,0.0,
2023-02-11 04:00:00,2023-02-11 05:00:00,50.25,,2.48,1.95,3.08,41.0,4.08,0.33,15.6,0.2,0.53,,,,46.75,1.08,223.5,6.0,,17.3,0.0,
2023-02-11 05:00:00,2023-02-11 06:00:00,23.25,,2.65,1.98,3.2,41.15,3.1,0.28,14.9,0.1,0.38,,,,47.25,1.2,219.5,6.0,,17.23,0.0,
2023-02-11 06:00:00,2023-02-11 07:00:00,21.25,,2.62,2.0,3.2,34.7,1.05,0.3,10.72,0.1,0.3,,,,47.5,1.02,218.25,7.0,,17.17,0.0,
2023-02-11 07:00:00,2023-02-11 08:00:00,35.25,,2.45,1.67,2.9,29.98,,0.5,5.1,0.1,0.3,,,,52.5,0.88,198.25,24.0,,17.45,0.0,
2023-02-11 08:00:00,2023-02-11 09:00:00,51.25,,2.4,1.8,2.95,33.25,0.4,0.86,9.0,0.1,0.33,,,,54.0,0.97,263.75,55.0,,17.35,0.0,
2023-02-11 09:00:00,2023-02-11 10:00:00,69.0,,2.68,1.77,3.1,43.97,3.02,0.83,28.8,0.15,0.4,,,,50.25,1.08,257.25,67.25,,17.65,0.0,
2023-02-11 10:00:00,2023-02-11 11:00:00,60.75,,2.45,1.75,2.98,40.02,7.8,0.67,23.52,0.2,0.4,,,,46.5,1.4,256.25,81.25,,18.23,0.0,
2023-02-11 11:00:00,2023-02-11 12:00:00,46.5,,2.12,1.98,2.75,40.4,8.38,0.69,25.18,0.2,0.4,,,,42.5,1.6,265.25,92.0,,18.6,0.0,
2023-02-11 12:00:00,2023-02-11 13:00:00,37.25,,2.58,1.62,2.95,44.2,8.65,0.71,28.6,0.15,0.4,,,,36.0,1.7,271.25,93.75,,18.93,0.0,
2023-02-11 13:00:00,2023-02-11 14:00:00,34.0,,2.53,1.95,3.08,44.3,7.85,0.64,34.45,0.1,0.38,,,,33.0,1.8,267.5,90.0,,19.05,0.0,
2023-02-11 14:00:00,2023-02-11 15:00:00,35.5,,2.58,1.77,3.05,27.4,0.85,0.42,42.05,0.1,0.3,,,,29.75,1.52,269.0,76.75,,19.1,0.0,
2023-02-11 15:00:00,2023-02-11 16:00:00,44.75,,2.65,1.7,3.05,30.32,0.75,0.36,38.25,0.1,0.3,,,,24.5,1.55,275.75,57.0,,19.15,0.0,
2023-02-11 16:00:00,2023-02-11 17:00:00,49.25,,2.67,1.82,3.15,25.92,40.97,0.28,44.17,0.1,0.27,,,,27.75,1.25,265.0,35.25,,19.0,0.0,
2023-02-11 17:00:00,2023-02-11 18:00:00,52.25,,2.5,1.57,2.85,28.82,4.5,0.61,24.65,0.1,0.3,,,,33.75,0.77,274.5,14.5,,18.75,0.0,
2023-02-11 18:00:00,2023-02-11 19:00:00,59.75,,2.7,1.82,3.12,35.4,8.68,0.95,15.92,0.1,0.38,,,,37.5,0.35,264.5,6.75,,18.3,0.0,
2023-02-11 19:00:00,2023-02-11 20:00:00,67.5,,2.6,1.8,3.08,34.52,10.22,1.43,7.22,0.1,0.47,,0.03,0.03,39.25,0.53,234.5,6.5,,18.1,0.0,
2023-02-11 20:00:00,2023-02-11 21:00:00,108.0,,2.5,1.72,2.92,36.55,10.23,1.1,21.0,0.12,0.58,,0.03,0.1,37.75,0.65,284.0,7.0,,18.08,0.0,
2023-02-11 21:00:00,2023-02-11 22:00:00,68.5,,2.32,1.7,2.8,37.0,11.3,1.36,18.62,0.1,0.6,,,0.2,37.5,0.6,277.75,7.0,,17.93,0.0,
2023-02-11 22:00:00,2023-02-11 23:00:00,104.5,,2.55,1.88,3.08,31.97,6.9,1.56,15.93,0.2,,,,,41.75,0.68,284.25,7.0,,17.65,0.0,
2023-02-11 23:00:00,2023-02-12 00:00:00,122.25,,2.48,1.88,3.0,29.22,6.43,1.32,16.25,0.2,,,,,42.75,0.78,287.75,7.0,,17.52,0.0,
2023-02-12 00:00:00,2023-02-12 01:00:00,80.75,,2.52,1.92,3.08,27.48,5.73,1.22,17.93,0.2,,,,,49.5,1.0,276.75,7.0,,17.25,0.0,
2023-02-12 01:00:00,2023-02-12 02:00:00,93.25,,2.38,1.9,2.97,26.25,6.3,1.28,15.97,0.2,,,,,61.0,0.88,265.75,7.0,,17.0,0.0,
2023-02-12 02:00:00,2023-02-12 03:00:00,106.75,,2.6,1.6,3.0,28.2,7.68,1.17,17.9,0.2,,,,,64.25,0.97,268.0,7.0,,16.9,0.0,
2023-02-12 03:00:00,2023-02-12 04:00:00,105.75,,2.45,1.93,3.03,28.48,7.45,1.1,18.1,0.2,,,,,67.25,1.18,275.25,7.0,,16.7,0.0,
2023-02-12 04:00:00,2023-02-12 05:00:00,108.75,,2.25,2.05,2.9,28.65,7.55,1.06,18.2,0.2,,,,,68.25,1.1,266.75,6.5,,16.52,0.0,
2023-02-12 05:00:00,2023-02-12 06:00:00,110.25,,2.55,1.73,3.02,30.2,6.1,1.1,15.07,0.2,,,,,69.0,0.92,273.0,7.0,,16.38,0.0,
2023-02-12 06:00:00,2023-02-12 07:00:00,124.0,,2.52,1.83,3.0,26.5,3.0,1.07,15.43,0.2,,,,,69.25,1.02,260.5,7.75,,16.3,0.0,
2023-02-12 07:00:00,2023-02-12 08:00:00,125.75,,2.63,2.23,3.33,24.48,2.4,1.01,19.38,0.2,,,,,61.0,1.32,254.5,25.5,,16.77,0.0,
2023-02-12 08:00:00,2023-02-12 09:00:00,101.25,,2.45,2.1,3.1,24.3,3.8,1.27,25.48,0.2,,,,,53.0,1.38,255.25,51.0,,17.07,0.0,
2023-02-12 09:00:00,2023-02-12 10:00:00,99.75,,2.73,1.88,3.2,31.0,7.1,1.32,31.6,0.2,,,,,44.0,1.05,259.5,58.25,,17.45,0.0,
2023-02-12 10:00:00,2023-02-12 11:00:00,78.25,,2.2,2.12,2.9,29.85,10.55,1.24,32.25,0.2,,,,,34.0,1.35,265.5,88.25,,17.88,0.0,
2023-02-12 11:00:00,2023-02-12 12:00:00,59.5,,2.58,2.02,3.17,34.3,13.47,0.96,39.6,0.2,0.5,,,0.1,25.0,1.38,264.75,92.75,,18.0,0.0,
2023-02-12 12:00:00,2023-02-12 13:00:00,36.75,,2.35,2.08,3.05,37.35,13.07,0.82,40.82,0.2,0.47,0.05,,0.03,18.75,1.45,254.25,95.75,,18.2,0.0,
2023-02-12 13:00:00,2023-02-12 14:00:00,22.75,,2.52,1.75,3.0,31.8,12.4,0.73,40.42,0.15,0.4,,,0.05,16.75,1.35,252.75,90.25,,18.45,0.0,
2023-02-12 14:00:00,2023-02-12 15:00:00,20.0,,2.32,1.88,2.9,22.73,5.6,0.74,43.2,0.1,0.38,,,,14.75,1.6,268.25,75.75,,18.5,0.0,
2023-02-12 15:00:00,2023-02-12 16:00:00,,,2.5,1.93,3.05,22.95,6.6,0.81,43.85,0.1,0.35,,,,15.75,1.77,272.25,54.25,,18.5,0.0,
2023-02-12 16:00:00,2023-02-12 17:00:00,25.0,,2.48,1.85,3.0,21.98,13.07,0.9,40.48,0.1,0.35,,,0.03,16.25,1.5,280.25,34.0,,18.38,0.0,
2023-02-12 17:00:00,2023-02-12 18:00:00,35.5,,2.2,2.02,2.9,22.07,12.35,1.01,31.48,0.1,0.4,,,,27.75,1.3,267.75,14.0,,18.0,0.0,
2023-02-12 18:00:00,2023-02-12 19:00:00,39.5,,2.42,1.9,2.98,25.12,13.8,1.13,30.07,0.1,0.5,,,,32.75,1.5,280.25,7.5,,17.5,0.0,
2023-02-12 19:00:00,2023-02-12 20:00:00,48.25,,2.62,1.9,3.18,23.95,12.8,1.2,30.43,0.1,0.5,,,,36.0,1.52,284.75,6.5,,17.12,0.0,
2023-02-12 20:00:00,2023-02-12 21:00:00,53.0,,2.65,1.9,3.15,24.28,14.95,1.35,24.07,0.1,0.6,,,,40.0,1.02,273.75,6.0,,16.93,0.0,
2023-02-12 21:00:00,2023-02-12 22:00:00,69.0,,2.67,1.7,3.08,24.95,10.83,1.45,26.6,0.1,0.57,,,0.05,44.5,0.93,268.0,5.75,,16.57,0.0,
2023-02-12 22:00:00,2023-02-12 23:00:00,62.0,,2.65,1.77,3.08,21.77,6.32,1.41,27.72,0.17,0.5,,,,43.75,1.05,259.5,6.0,,16.5,0.0,
2023-02-12 23:00:00,2023-02-13 00:00:00,55.0,,2.52,1.88,3.02,19.82,5.15,1.28,27.77,0.2,0.5,,,,41.25,1.05,256.0,6.0,,16.45,0.0,
2023-02-13 00:00:00,2023-02-13 01:00:00,48.0,,2.23,1.85,2.8,18.55,4.55,1.0,25.32,0.15,0.45,,,,46.5,1.1,256.0,6.0,,16.12,0.0,
2023-02-13 01:00:00,2023-02-13 02:00:00,42.5,,2.3,1.85,2.85,18.7,4.95,0.94,21.62,0.1,0.45,,,,50.25,1.05,260.25,5.0,,15.85,0.0,
2023-02-13 02:00:00,2023-02-13 03:00:00,44.25,,2.6,1.9,3.1,19.98,8.3,0.87,22.05,0.1,0.4,,,,50.75,1.12,259.5,5.25,,15.75,0.0,
2023-02-13 03:00:00,2023-02-13 04:00:00,34.5,,2.68,1.75,3.1,21.73,8.77,0.82,25.12,0.1,0.38,,,,50.25,1.1,252.25,5.0,,15.7,0.0,
2023-02-13 04:00:00,2023-02-13 05:00:00,35.25,,2.5,1.8,3.02,23.28,7.97,0.74,29.1,0.1,0.33,,,,44.0,1.4,246.0,4.0,,15.73,0.0,
2023-02-13 05:00:00,2023-02-13 06:00:00,26.0,,2.4,2.0,3.03,22.6,6.28,0.65,33.75,0.1,0.3,,,,41.75,1.28,242.5,5.0,,15.7,0.0,
2023-02-13 06:00:00,2023-02-13 07:00:00,33.0,,2.25,2.02,2.92,19.85,2.77,0.62,33.85,0.1,0.3,,,,38.0,1.42,241.25,6.0,,15.75,0.0,
2023-02-13 07:00:00,2023-02-13 08:00:00,40.75,,2.42,1.9,3.05,19.1,3.12,0.59,35.2,0.1,0.25,,,,34.0,1.68,237.25,24.5,,16.1,0.0,
2023-02-13 08:00:00,2023-02-13 09:00:00,49.75,,2.45,1.85,3.0,20.1,3.25,0.51,41.18,0.1,0.2,,,,28.25,2.02,239.5,61.0,,16.38,0.0,
