From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),RF (mm),Xylene (ug/m3),AT (degree C)
2023-01-13 14:00:00,2023-01-13 15:00:00,39.95,64.18,1.06,12.56,7.41,,7.02,0.59,2.45,,,,,43.08,0.94,248.49,326.94,0.0,,23.45
2023-01-13 15:00:00,2023-01-13 16:00:00,29.28,55.83,0.43,14.71,8.03,,7.58,0.58,10.36,,,,,44.8,0.77,265.99,155.37,0.0,,23.11
2023-01-13 16:00:00,2023-01-13 17:00:00,25.83,48.24,1.5,16.94,10.05,,8.82,0.59,2.25,,,,,52.41,0.64,316.46,38.18,0.0,,21.56
2023-01-13 17:00:00,2023-01-13 18:00:00,18.77,52.61,1.86,41.05,22.94,,8.12,0.77,3.38,,,,,74.62,0.35,180.0,8.94,0.0,,19.24
2023-01-13 18:00:00,2023-01-13 19:00:00,14.8,65.03,5.72,51.77,31.63,,7.98,0.96,2.29,,,,,84.55,0.36,185.23,8.48,0.0,,18.09
2023-01-13 19:00:00,2023-01-13 20:00:00,19.37,78.94,5.62,40.18,25.5,,7.86,0.93,1.2,,,,,85.83,0.44,64.39,8.31,0.0,,17.31
2023-01-13 20:00:00,2023-01-13 21:00:00,28.45,80.78,6.45,23.57,17.48,,10.54,0.79,0.8,,,,,86.96,0.82,97.75,8.14,0.0,,16.75
2023-01-13 21:00:00,2023-01-13 22:00:00,17.63,72.9,6.15,19.06,14.88,,12.05,0.84,0.69,,,,,89.39,0.32,78.26,8.54,0.0,,15.98
2023-01-13 22:00:00,2023-01-13 23:00:00,12.54,69.59,7.13,17.42,14.82,,13.24,0.84,0.66,,,,,90.81,0.28,57.6,8.39,0.0,,15.27
2023-01-13 23:00:00,2023-01-14 00:00:00,10.6,67.87,7.6,17.24,15.1,,13.98,0.74,0.64,,,,,86.07,0.75,94.7,7.89,0.0,,14.9
2023-01-14 00:00:00,2023-01-14 01:00:00,7.96,57.48,6.37,15.88,13.4,,5.75,0.67,0.89,,,,,84.79,1.18,95.78,8.35,0.0,,14.55
2023-01-14 01:00:00,2023-01-14 02:00:00,7.82,46.83,4.97,13.03,10.8,,5.96,0.67,0.86,,,,,86.75,0.72,92.75,8.42,0.0,,14.05
2023-01-14 02:00:00,2023-01-14 03:00:00,7.24,40.55,4.93,12.06,10.26,,6.27,0.65,0.59,,,,,90.31,0.57,96.04,8.32,0.0,,13.42
2023-01-14 03:00:00,2023-01-14 04:00:00,5.3,36.08,5.29,11.15,10.07,,6.32,0.64,0.71,,,,,92.37,0.58,72.6,8.3,0.0,,13.12
2023-01-14 04:00:00,2023-01-14 05:00:00,4.09,29.96,5.47,11.29,10.29,,6.46,0.65,0.68,,,,,92.42,0.81,91.01,8.17,0.0,,12.67
2023-01-14 05:00:00,2023-01-14 06:00:00,4.0,29.45,5.68,11.32,10.47,,6.47,0.64,0.6,,,,,93.02,0.73,86.12,8.29,0.0,,12.27
2023-01-14 06:00:00,2023-01-14 07:00:00,4.61,29.29,5.47,10.87,10.07,,6.73,0.57,0.53,,,,,92.15,0.82,94.16,29.22,0.0,,12.37
2023-01-14 07:00:00,2023-01-14 08:00:00,5.7,25.64,5.69,11.53,10.59,,6.72,0.49,0.61,,,,,87.55,1.16,95.47,131.85,0.0,,13.6
2023-01-14 08:00:00,2023-01-14 09:00:00,7.46,25.38,5.04,11.02,9.8,,6.98,0.54,0.57,,,,,82.77,1.15,85.19,290.32,0.0,,15.3
2023-01-14 09:00:00,2023-01-14 10:00:00,7.79,23.51,4.83,10.68,9.46,,7.54,0.54,0.73,,,,,73.91,0.85,97.69,408.92,0.0,,17.1
2023-01-14 10:00:00,2023-01-14 11:00:00,6.6,24.27,4.01,10.82,8.87,,7.96,0.51,0.91,,,,,67.18,0.75,115.24,460.7,0.0,,18.84
2023-01-14 11:00:00,2023-01-14 12:00:00,6.74,24.34,3.46,11.17,8.61,,8.8,0.56,0.86,,,,,59.08,0.61,91.39,489.83,0.0,,21.04
2023-01-14 12:00:00,2023-01-14 13:00:00,6.72,28.94,3.17,11.26,8.43,,9.61,0.65,1.18,,,,,50.47,0.42,121.04,468.36,0.0,,22.62
2023-01-14 13:00:00,2023-01-14 14:00:00,7.98,29.45,2.4,11.77,8.08,,10.3,0.54,1.42,,,,,47.37,0.53,134.26,413.66,0.0,,23.43
2023-01-14 14:00:00,2023-01-14 15:00:00,7.92,29.16,2.0,11.96,7.85,,10.79,0.6,1.72,,,,,45.38,0.54,182.26,221.13,0.0,,23.38
2023-01-14 15:00:00,2023-01-14 16:00:00,8.82,33.28,2.04,12.27,8.04,,11.69,0.54,1.56,,,,,46.1,0.4,219.19,110.69,0.0,,23.26
2023-01-14 16:00:00,2023-01-14 17:00:00,8.51,34.67,2.67,13.14,9.0,,12.31,0.54,0.95,,,,,57.52,0.4,181.12,24.79,0.0,,21.46
2023-01-14 17:00:00,2023-01-14 18:00:00,7.36,36.67,5.01,16.13,12.45,,12.96,0.62,0.53,,,,,62.98,0.51,119.82,8.87,0.0,,20.25
2023-01-14 18:00:00,2023-01-14 19:00:00,6.35,41.63,5.91,15.59,12.88,,13.24,0.67,0.42,,,,,66.82,0.43,65.25,8.91,0.0,,19.68
2023-01-14 19:00:00,2023-01-14 20:00:00,4.84,42.4,6.33,14.57,12.7,,13.66,0.58,0.44,,,,,68.9,0.36,57.36,8.8,0.0,,19.25
2023-01-14 20:00:00,2023-01-14 21:00:00,3.89,39.57,6.68,14.96,13.17,,13.88,0.76,0.37,,,,,70.22,0.41,170.39,8.87,0.0,,19.01
2023-01-14 21:00:00,2023-01-14 22:00:00,4.51,41.12,6.88,15.14,13.43,,14.36,0.71,0.27,,,,,73.32,0.4,129.74,8.93,0.0,,18.69
2023-01-14 22:00:00,2023-01-14 23:00:00,5.81,44.75,7.56,15.71,14.28,,14.85,0.78,0.13,,,,,74.0,0.34,131.08,8.81,0.0,,18.51
2023-01-14 23:00:00,2023-01-15 00:00:00,4.46,47.39,8.94,16.35,15.71,,15.29,0.63,0.26,,,,,74.61,0.42,96.21,8.96,0.0,,18.24
2023-01-15 00:00:00,2023-01-15 01:00:00,3.46,44.53,8.39,14.39,14.25,,8.29,0.94,0.19,,,,,79.45,0.51,56.84,8.92,0.0,,17.54
2023-01-15 01:00:00,2023-01-15 02:00:00,3.75,42.15,7.16,13.14,12.61,,8.64,0.77,0.03,,,,,83.19,0.75,89.16,8.74,0.0,,16.96
2023-01-15 02:00:00,2023-01-15 03:00:00,4.12,40.31,6.32,12.2,11.44,,8.56,0.86,0.01,,,,,86.36,0.72,97.89,8.57,0.0,,16.71
2023-01-15 03:00:00,2023-01-15 04:00:00,3.77,37.02,6.37,11.03,10.87,,8.96,0.86,,,,,,89.58,0.51,74.27,8.6,0.0,,16.24
2023-01-15 04:00:00,2023-01-15 05:00:00,4.17,33.29,6.39,10.63,10.68,,9.08,0.85,,,,,,91.28,0.68,111.0,8.55,0.0,,16.01
2023-01-15 05:00:00,2023-01-15 06:00:00,4.36,35.44,6.93,10.04,10.8,,9.58,0.84,,,,,,93.55,0.43,81.44,8.7,0.0,,15.67
2023-01-15 06:00:00,2023-01-15 07:00:00,4.29,30.94,7.96,10.21,11.72,,9.89,0.75,,,,,,92.0,0.4,79.75,26.16,0.0,,15.42
2023-01-15 07:00:00,2023-01-15 08:00:00,4.25,26.6,7.47,10.94,11.71,,10.37,0.73,,,,,,87.72,0.53,73.56,114.99,0.0,,16.12
2023-01-15 08:00:00,2023-01-15 09:00:00,4.13,28.99,6.86,11.53,11.52,,10.77,0.72,,,,,,83.21,0.94,98.8,242.07,0.0,,17.58
2023-01-15 09:00:00,2023-01-15 10:00:00,5.75,35.97,5.64,11.45,10.51,,10.82,0.81,0.02,,,,,78.05,1.18,91.96,399.95,0.0,,19.22
2023-01-15 10:00:00,2023-01-15 11:00:00,6.73,33.99,4.46,11.47,9.57,,11.32,0.75,0.2,,,,,68.59,0.9,107.83,498.6,0.0,,21.02
2023-01-15 11:00:00,2023-01-15 12:00:00,9.04,31.55,3.33,11.53,8.69,,11.79,0.85,0.51,,,,,63.46,0.48,125.18,531.77,0.0,,22.64
2023-01-15 12:00:00,2023-01-15 13:00:00,10.61,35.2,2.33,11.84,8.05,,12.76,0.7,1.04,,,,,57.59,0.88,224.35,514.14,0.0,,23.84
2023-01-15 13:00:00,2023-01-15 14:00:00,10.92,41.25,1.5,11.99,7.47,,12.91,0.71,1.7,,,,,52.82,1.14,227.69,434.23,0.0,,24.34
2023-01-15 14:00:00,2023-01-15 15:00:00,8.74,38.33,1.24,11.76,7.13,,12.82,0.76,2.19,,,,,44.14,1.47,267.48,322.72,0.0,,24.62
2023-01-15 15:00:00,2023-01-15 16:00:00,8.47,35.09,1.35,11.26,6.96,,12.47,0.73,2.08,,,,,38.51,1.5,254.19,170.93,0.0,,24.11
2023-01-15 16:00:00,2023-01-15 17:00:00,8.82,30.21,2.0,10.94,7.33,,13.22,0.87,1.38,,,,,42.58,0.88,240.5,44.87,0.0,,22.65
2023-01-15 17:00:00,2023-01-15 18:00:00,7.6,30.06,3.07,11.87,8.66,,13.91,0.8,0.87,,,,,49.44,0.7,256.64,8.75,0.0,,20.94
2023-01-15 18:00:00,2023-01-15 19:00:00,6.48,31.55,4.05,13.08,10.08,,14.45,0.82,0.64,,,,,56.77,0.62,218.05,8.39,0.0,,19.53
2023-01-15 19:00:00,2023-01-15 20:00:00,5.61,35.83,5.04,15.1,11.92,,14.61,0.82,0.54,,,,,64.94,0.65,143.52,8.55,0.0,,18.36
2023-01-15 20:00:00,2023-01-15 21:00:00,6.54,38.23,6.26,16.28,13.53,,14.58,0.87,0.3,,,,,72.92,0.32,211.86,8.26,0.0,,17.3
2023-01-15 21:00:00,2023-01-15 22:00:00,6.33,41.68,7.26,16.33,14.36,,14.61,0.85,0.23,,,,,75.02,0.18,216.17,8.56,0.0,,16.96
2023-01-15 22:00:00,2023-01-15 23:00:00,5.79,45.69,8.93,16.37,15.71,,14.82,0.92,0.13,,,,,82.36,0.38,159.1,8.43,0.0,,16.36
2023-01-15 23:00:00,2023-01-16 00:00:00,5.31,48.91,9.11,14.67,14.97,,15.14,0.83,0.03,,,,,84.38,0.41,89.78,8.41,0.0,,15.99
2023-01-16 00:00:00,2023-01-16 01:00:00,4.25,47.09,8.6,13.84,14.12,,6.79,0.81,0.03,,,,,86.89,0.56,89.03,8.48,0.0,,15.57
2023-01-16 01:00:00,2023-01-16 02:00:00,3.4,42.76,8.76,12.84,13.73,,7.17,0.95,0.01,,,,,88.93,0.83,98.15,8.71,0.0,,15.44
2023-01-16 02:00:00,2023-01-16 03:00:00,4.22,37.88,7.7,11.27,12.07,,7.25,0.71,,,,,,88.75,0.84,98.41,8.65,0.0,,15.33
2023-01-16 03:00:00,2023-01-16 04:00:00,6.02,32.19,6.27,10.35,10.43,,7.44,0.7,0.01,,,,,89.66,0.9,98.21,8.45,0.0,,14.91
2023-01-16 04:00:00,2023-01-16 05:00:00,5.28,28.96,5.49,9.78,9.51,,7.79,0.74,,,,,,91.39,0.43,85.48,8.44,0.0,,14.54
2023-01-16 05:00:00,2023-01-16 06:00:00,7.62,27.22,5.44,9.71,9.43,,7.91,0.69,,,,,,91.99,1.24,96.5,8.31,0.0,,14.2
2023-01-16 06:00:00,2023-01-16 07:00:00,11.4,25.77,4.91,9.82,9.06,,7.84,0.66,,,,,,93.29,0.96,89.93,30.73,0.0,,13.99
2023-01-16 07:00:00,2023-01-16 08:00:00,9.29,24.63,5.41,9.86,9.49,,8.16,0.78,,,,,,89.94,0.92,87.0,141.41,0.0,,14.72
2023-01-16 08:00:00,2023-01-16 09:00:00,8.09,24.95,5.53,10.5,9.91,,8.36,0.68,0.01,,,,,79.45,1.15,81.38,308.28,0.0,,16.79
2023-01-16 09:00:00,2023-01-16 10:00:00,8.88,25.0,4.15,10.67,8.91,,8.77,0.75,0.3,,,,,68.63,1.36,99.58,453.34,0.0,,18.73
2023-01-16 10:00:00,2023-01-16 11:00:00,7.96,24.81,2.58,10.74,7.69,,8.86,0.67,0.85,,,,,59.3,0.84,118.43,559.44,0.0,,20.25
2023-01-16 11:00:00,2023-01-16 12:00:00,6.64,26.43,2.17,10.4,7.17,,9.6,0.78,0.9,,,,,53.91,0.48,143.41,594.0,0.0,,21.97
2023-01-16 12:00:00,2023-01-16 13:00:00,6.67,26.11,1.79,11.07,7.22,,10.1,0.78,1.42,,,,,44.95,1.07,208.84,577.97,0.0,,23.02
2023-01-16 13:00:00,2023-01-16 14:00:00,7.3,27.71,1.3,11.53,7.07,,9.89,0.74,2.12,,,,,38.37,1.13,210.62,476.41,0.0,,23.68
2023-01-16 14:00:00,2023-01-16 15:00:00,8.4,29.91,1.33,11.19,6.91,,10.09,0.75,1.83,,,,,41.34,0.58,239.57,306.3,0.0,,23.83
2023-01-16 15:00:00,2023-01-16 16:00:00,8.03,32.6,1.59,10.81,6.92,,10.94,0.69,1.25,,,,,44.93,0.29,71.87,141.9,0.0,,23.51
2023-01-16 16:00:00,2023-01-16 17:00:00,7.55,34.27,2.2,12.09,8.08,,11.84,0.76,0.84,,,,,50.27,0.34,114.04,37.27,0.0,,22.05
2023-01-16 17:00:00,2023-01-16 18:00:00,7.5,36.97,3.93,15.59,11.3,,12.17,0.89,0.42,,,,,61.14,0.41,268.61,8.94,0.0,,19.99
2023-01-16 18:00:00,2023-01-16 19:00:00,8.59,45.22,6.74,19.13,15.4,,12.67,0.89,0.28,,,,,67.5,0.5,63.36,8.51,0.0,,18.82
2023-01-16 19:00:00,2023-01-16 20:00:00,6.68,53.37,7.4,18.0,15.34,,12.84,0.93,0.17,,,,,69.66,0.49,72.61,8.46,0.0,,17.99
2023-01-16 20:00:00,2023-01-16 21:00:00,5.4,50.83,6.11,16.69,13.62,,13.27,0.9,0.12,,,,,71.85,0.38,66.76,8.38,0.0,,17.37
2023-01-16 21:00:00,2023-01-16 22:00:00,4.88,47.69,5.11,15.79,12.34,,13.43,0.85,0.2,,,,,73.88,0.54,95.47,8.63,0.0,,17.02
2023-01-16 22:00:00,2023-01-16 23:00:00,4.03,47.85,4.37,14.54,11.1,,13.35,0.78,0.38,,,,,73.73,1.11,91.76,8.32,0.0,,16.57
2023-01-16 23:00:00,2023-01-17 00:00:00,3.57,44.08,3.18,13.63,9.67,,13.03,0.79,0.32,,,,,79.87,1.32,93.68,8.53,0.0,,15.58
2023-01-17 00:00:00,2023-01-17 01:00:00,3.36,40.68,3.43,12.99,9.54,,6.15,0.67,0.19,,,,,82.28,0.9,95.16,8.43,0.0,,15.02
2023-01-17 01:00:00,2023-01-17 02:00:00,3.7,36.66,3.5,11.28,8.7,,6.64,0.65,0.18,,,,,87.77,0.91,74.12,8.42,0.0,,14.43
2023-01-17 02:00:00,2023-01-17 03:00:00,4.55,33.13,3.8,10.77,8.68,,7.03,0.69,0.06,,,,,87.93,0.44,67.6,8.29,0.0,,14.16
2023-01-17 03:00:00,2023-01-17 04:00:00,5.38,32.52,3.9,10.48,8.6,,6.85,0.78,0.03,,,,,87.97,0.57,90.15,8.46,0.0,,14.1
2023-01-17 04:00:00,2023-01-17 05:00:00,7.33,29.38,4.03,10.44,8.68,,7.02,0.71,0.02,,,,,90.81,0.89,81.57,8.54,0.0,,13.71
2023-01-17 05:00:00,2023-01-17 06:00:00,7.21,30.41,4.04,10.07,8.5,,7.25,0.68,,,,,,92.97,0.62,144.62,8.38,0.0,,13.28
2023-01-17 06:00:00,2023-01-17 07:00:00,7.15,28.3,5.19,10.18,9.48,,7.32,0.74,,,,,,93.65,0.16,174.36,30.96,0.0,,13.32
2023-01-17 07:00:00,2023-01-17 08:00:00,6.88,26.49,6.78,10.91,11.14,,7.74,0.64,,,,,,87.07,0.72,85.84,123.1,0.0,,14.42
2023-01-17 08:00:00,2023-01-17 09:00:00,6.38,29.33,5.94,11.73,10.89,,8.09,0.71,0.1,,,,,79.9,0.85,102.98,270.4,0.0,,15.77
2023-01-17 09:00:00,2023-01-17 10:00:00,7.78,33.41,4.47,11.19,9.43,,8.37,0.73,0.16,,,,,74.29,0.84,107.07,386.27,0.0,,17.23
2023-01-17 10:00:00,2023-01-17 11:00:00,8.65,34.17,3.03,10.78,8.06,,8.58,0.64,0.52,,,,,67.12,0.98,113.19,525.72,0.0,,19.11
2023-01-17 11:00:00,2023-01-17 12:00:00,9.46,33.06,0.89,11.2,6.56,,6.18,0.68,4.48,,,,,55.48,0.74,151.99,560.54,0.0,,20.82
2023-01-17 12:00:00,2023-01-17 13:00:00,11.62,35.82,0.79,11.25,6.51,,6.63,0.69,6.55,,,,,52.05,0.72,208.03,511.55,0.0,,22.22
2023-01-17 13:00:00,2023-01-17 14:00:00,13.15,36.23,0.57,11.12,6.27,,5.53,0.67,4.54,,,,,54.8,1.23,232.64,430.21,0.0,,22.55
2023-01-17 14:00:00,2023-01-17 15:00:00,10.89,35.72,1.17,11.72,7.06,,7.42,0.63,2.24,,,,,56.78,1.02,272.34,300.26,0.0,,22.84
2023-01-17 15:00:00,2023-01-17 16:00:00,11.02,38.92,0.57,13.57,7.55,,7.66,0.64,3.74,,,,,60.82,1.1,250.48,147.37,0.0,,22.36
2023-01-17 16:00:00,2023-01-17 17:00:00,14.55,36.11,1.0,12.72,7.45,,8.82,0.79,1.42,,,,,64.01,0.49,222.83,39.02,0.0,,21.21
2023-01-17 17:00:00,2023-01-17 18:00:00,15.97,44.54,0.92,42.12,22.75,,6.85,0.91,10.43,,,,,72.57,0.67,228.47,8.79,0.0,,19.71
2023-01-17 18:00:00,2023-01-17 19:00:00,11.81,67.36,1.03,33.16,18.15,,6.01,0.93,4.09,,,,,76.2,1.05,255.29,8.39,0.0,,18.71
2023-01-17 19:00:00,2023-01-17 20:00:00,9.31,70.9,1.91,18.95,11.43,,8.6,0.78,0.52,,,,,75.92,0.68,301.65,8.45,0.0,,18.0
2023-01-17 20:00:00,2023-01-17 21:00:00,8.81,59.14,2.61,19.32,12.19,,10.12,0.88,0.45,,,,,79.39,0.61,299.92,8.33,0.0,,17.25
2023-01-17 21:00:00,2023-01-17 22:00:00,8.33,56.11,3.27,18.88,12.49,,11.13,0.84,0.37,,,,,84.03,0.39,199.53,8.46,0.0,,16.45
2023-01-17 22:00:00,2023-01-17 23:00:00,7.22,51.37,4.05,18.91,13.13,,11.69,0.79,0.23,,,,,87.37,0.35,206.32,8.29,0.0,,15.94
2023-01-17 23:00:00,2023-01-18 00:00:00,6.54,49.25,4.77,18.26,13.36,,12.18,0.8,0.15,,,,,89.26,0.41,199.56,8.41,0.0,,15.13
2023-01-18 00:00:00,2023-01-18 01:00:00,6.72,50.47,7.83,18.15,15.76,,5.52,0.49,,,,,,94.4,0.34,106.05,8.55,0.0,,13.86
2023-01-18 01:00:00,2023-01-18 02:00:00,6.9,54.04,7.99,15.68,14.59,,5.85,0.47,0.01,,,,,93.55,0.4,75.45,8.28,0.0,,13.73
2023-01-18 02:00:00,2023-01-18 03:00:00,5.76,54.54,7.07,13.94,12.95,,6.36,0.39,0.01,,,,,93.55,0.34,105.12,8.37,0.0,,13.47
2023-01-18 03:00:00,2023-01-18 04:00:00,5.47,54.35,7.08,13.19,12.57,,6.37,0.39,,,,,,95.11,0.22,112.66,8.21,0.0,,13.23
2023-01-18 04:00:00,2023-01-18 05:00:00,5.53,54.55,7.72,11.62,12.25,,6.4,0.38,,,,,,96.47,0.18,255.79,8.46,0.0,,13.04
2023-01-18 05:00:00,2023-01-18 06:00:00,5.58,49.92,14.59,11.58,17.74,,6.98,0.4,,,,,,97.8,0.31,155.48,8.86,0.0,,13.0
2023-01-18 06:00:00,2023-01-18 07:00:00,6.35,44.64,11.63,10.74,14.95,,7.28,0.36,,,,,,99.07,0.52,137.61,17.55,0.0,,12.98
2023-01-18 07:00:00,2023-01-18 08:00:00,8.82,39.84,8.74,10.93,12.72,,7.51,0.38,,,,,,99.08,0.87,99.22,66.27,0.0,,12.84
2023-01-18 08:00:00,2023-01-18 09:00:00,7.22,36.43,6.75,11.48,11.41,,7.68,0.38,,,,,,99.08,0.48,99.18,156.53,0.0,,13.21
2023-01-18 09:00:00,2023-01-18 10:00:00,7.5,36.28,5.47,12.07,10.69,,8.04,0.35,0.11,,,,,91.07,0.82,102.5,400.51,0.0,,15.01
2023-01-18 10:00:00,2023-01-18 11:00:00,12.09,40.17,1.02,13.35,7.79,,3.45,0.39,17.65,,,,,72.97,0.46,152.77,549.01,0.0,,18.11
2023-01-18 11:00:00,2023-01-18 12:00:00,18.17,47.98,0.59,14.08,7.83,,4.52,0.53,8.71,,,,,56.05,0.41,177.96,615.11,0.0,,20.55
2023-01-18 12:00:00,2023-01-18 13:00:00,21.63,47.55,0.4,12.5,6.85,,4.4,0.59,8.0,,,,,45.73,0.5,265.67,600.89,0.0,,22.01
2023-01-18 13:00:00,2023-01-18 14:00:00,19.92,49.94,0.58,12.24,6.86,,6.11,0.6,4.71,,,,,42.57,0.83,204.22,502.98,0.0,,22.26
2023-01-18 14:00:00,2023-01-18 15:00:00,18.98,45.64,0.54,11.83,6.61,,6.51,0.62,4.75,,,,,39.74,0.91,215.16,365.36,0.0,,22.2
2023-01-18 15:00:00,2023-01-18 16:00:00,20.92,42.64,0.71,11.91,6.79,,7.29,0.58,10.68,,,,,39.39,0.7,219.49,199.2,0.0,,22.18
2023-01-18 16:00:00,2023-01-18 17:00:00,16.66,42.48,0.41,14.39,7.85,,4.28,0.65,7.39,,,,,44.46,0.64,269.88,48.29,0.0,,20.91
2023-01-18 17:00:00,2023-01-18 18:00:00,13.99,46.28,1.38,50.09,27.29,,3.96,0.68,9.27,,,,,51.75,0.6,341.58,9.11,0.0,,18.86
2023-01-18 18:00:00,2023-01-18 19:00:00,11.32,59.89,1.35,52.19,28.35,,2.97,0.69,5.65,,,,,65.49,0.58,93.09,8.49,0.0,,16.73
2023-01-18 19:00:00,2023-01-18 20:00:00,9.53,64.95,2.95,25.11,15.48,,4.72,0.81,0.65,,,,,77.47,0.49,196.57,8.44,0.0,,15.39
2023-01-18 20:00:00,2023-01-18 21:00:00,8.03,63.47,3.81,19.36,13.17,,6.43,0.83,0.39,,,,,73.37,0.42,173.17,8.04,0.0,,15.03
2023-01-18 21:00:00,2023-01-18 22:00:00,8.14,58.77,3.61,17.41,11.99,,7.45,0.74,0.56,,,,,75.71,0.35,175.48,8.24,0.0,,14.45
2023-01-18 22:00:00,2023-01-18 23:00:00,6.25,54.47,3.87,16.86,11.91,,7.85,0.76,0.44,,,,,76.67,0.28,109.59,8.22,0.0,,14.0
2023-01-18 23:00:00,2023-01-19 00:00:00,12.84,51.81,3.81,16.59,11.72,,8.23,0.68,0.27,,,,,76.45,0.73,103.69,7.95,0.0,,13.72
2023-01-19 00:00:00,2023-01-19 01:00:00,24.36,51.11,3.12,14.08,9.86,,4.54,1.04,0.49,,,,,82.73,0.69,81.98,8.29,0.0,,12.75
2023-01-19 01:00:00,2023-01-19 02:00:00,15.62,42.0,3.33,12.53,9.21,,4.65,1.04,0.14,,,,,89.95,0.6,82.95,8.28,0.0,,11.76
2023-01-19 02:00:00,2023-01-19 03:00:00,11.64,41.07,3.73,12.03,9.28,,4.89,1.07,0.18,,,,,91.42,0.82,95.19,8.02,0.0,,11.49
