From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2021-01-13 00:00:00,2021-01-13 01:00:00,32.0,55.5,0.35,11.28,6.27,8.45,8.05,0.5,33.52,0.1,0.45,,,,27.15,87.5,1.62,98.0,1.0,757.5,,26.12,0.0
2021-01-13 01:00:00,2021-01-13 02:00:00,29.75,50.5,0.5,9.65,5.45,12.32,7.78,0.47,34.84,0.1,0.33,,,,26.35,88.5,1.98,98.75,1.0,756.75,,25.77,0.0
2021-01-13 02:00:00,2021-01-13 03:00:00,32.25,51.5,0.28,10.9,6.0,9.15,5.12,0.36,31.46,0.1,0.38,,,,23.3,89.75,1.55,100.0,1.0,756.0,,25.4,0.0
2021-01-13 03:00:00,2021-01-13 04:00:00,34.5,59.25,0.88,11.53,6.83,8.38,6.5,0.49,29.79,0.1,0.3,,,,23.0,90.25,1.68,100.5,1.0,756.0,,25.12,0.0
2021-01-13 04:00:00,2021-01-13 05:00:00,56.5,76.5,2.0,20.88,12.75,10.7,9.43,0.76,26.51,0.3,0.35,,,,23.2,91.0,1.52,100.5,1.0,756.0,,24.95,0.0
2021-01-13 05:00:00,2021-01-13 06:00:00,119.5,135.75,2.45,23.95,14.72,13.02,8.85,0.85,26.9,0.6,0.47,,,,23.82,91.0,1.8,103.5,1.0,756.0,,24.85,0.0
2021-01-13 06:00:00,2021-01-13 07:00:00,135.25,153.25,2.3,21.07,13.1,12.0,10.42,0.75,24.99,0.68,0.5,,,,27.38,91.0,1.77,102.75,1.75,756.25,,24.83,0.0
2021-01-13 07:00:00,2021-01-13 08:00:00,82.25,109.5,2.4,17.42,11.2,11.0,8.9,0.69,26.85,0.47,0.5,,,,27.32,90.25,2.0,107.5,34.75,757.0,,25.23,0.0
2021-01-13 08:00:00,2021-01-13 09:00:00,66.5,86.5,3.78,18.05,12.65,12.6,8.75,0.75,29.7,0.4,1.0,,,,27.4,87.0,2.35,107.0,103.0,758.0,,26.37,0.0
2021-01-13 09:00:00,2021-01-13 10:00:00,70.0,93.0,4.25,19.82,14.03,12.85,8.95,0.88,38.27,0.4,0.97,,,,27.3,82.0,2.27,119.25,136.75,758.0,,27.82,0.0
2021-01-13 10:00:00,2021-01-13 11:00:00,68.0,88.75,3.42,19.57,13.23,9.32,7.07,0.84,49.73,0.4,1.05,,,,23.3,79.25,2.65,130.0,199.25,758.0,,28.6,0.0
2021-01-13 11:00:00,2021-01-13 12:00:00,59.5,76.0,2.77,15.53,10.5,6.37,5.23,0.64,44.79,0.3,0.8,,,,22.68,78.5,3.1,146.0,169.0,757.75,,29.0,0.0
2021-01-13 12:00:00,2021-01-13 13:00:00,24.0,48.75,3.23,8.7,7.33,4.57,3.6,0.6,39.49,0.17,0.6,,,,22.65,77.25,3.33,142.25,305.25,756.5,,29.35,0.0
2021-01-13 13:00:00,2021-01-13 14:00:00,20.75,48.75,3.15,10.22,8.0,3.8,1.02,0.59,38.32,0.1,0.53,,,,22.93,75.25,3.4,145.5,380.0,755.25,,29.82,0.0
2021-01-13 14:00:00,2021-01-13 15:00:00,20.5,52.0,3.3,10.75,8.42,5.9,2.75,0.68,38.86,0.1,0.6,,,,27.32,75.75,3.28,147.25,305.25,755.0,,29.77,0.0
2021-01-13 15:00:00,2021-01-13 16:00:00,20.75,53.25,2.93,11.32,8.43,5.9,2.93,0.62,38.56,0.1,0.55,,,,27.75,73.25,3.05,148.5,248.0,755.0,,29.77,0.0
2021-01-13 16:00:00,2021-01-13 17:00:00,18.25,47.25,2.8,11.6,8.45,8.82,3.05,0.61,39.1,0.1,0.53,,,,27.8,74.75,2.85,139.25,148.75,755.0,,29.42,0.0
2021-01-13 17:00:00,2021-01-13 18:00:00,23.0,45.75,2.38,12.83,8.75,11.45,3.05,0.7,38.02,0.1,0.57,,,,27.68,78.5,2.62,139.5,19.0,755.5,,28.35,0.0
2021-01-13 18:00:00,2021-01-13 19:00:00,28.0,50.25,2.88,18.25,12.05,8.12,1.82,0.89,33.57,0.2,0.88,,,,23.55,81.0,2.08,132.75,1.0,756.25,,27.82,0.0
2021-01-13 19:00:00,2021-01-13 20:00:00,32.25,57.75,4.62,21.65,15.27,6.12,1.42,0.98,27.93,0.23,1.2,,,,23.23,81.25,1.95,125.75,1.0,757.25,,27.53,0.0
2021-01-13 20:00:00,2021-01-13 21:00:00,27.25,59.25,3.77,22.95,15.28,5.58,1.05,0.93,26.46,0.25,1.32,,,,23.15,82.25,1.7,121.5,1.0,758.0,,27.15,0.0
2021-01-13 21:00:00,2021-01-13 22:00:00,29.25,56.5,4.3,22.88,15.68,5.6,2.35,0.94,24.45,0.28,1.22,,,,23.35,84.5,1.2,108.5,1.0,759.0,,26.7,0.0
2021-01-13 22:00:00,2021-01-13 23:00:00,30.25,53.5,3.03,17.88,12.0,6.5,4.83,0.72,23.38,0.2,1.08,,,,26.95,85.5,1.23,111.75,1.0,759.0,,26.32,0.0
2021-01-13 23:00:00,2021-01-14 00:00:00,23.25,47.25,1.52,13.62,8.5,7.03,4.57,0.53,26.41,0.1,0.7,,,,27.3,85.25,1.22,102.75,1.0,758.25,,26.08,0.0
2021-01-14 00:00:00,2021-01-14 01:00:00,27.25,43.75,0.7,11.18,6.55,8.82,5.17,0.51,24.4,0.1,0.43,,,,27.45,86.25,1.35,105.75,1.0,757.5,,25.65,0.0
2021-01-14 01:00:00,2021-01-14 02:00:00,29.25,51.5,0.72,13.67,7.85,11.78,6.9,0.57,20.92,0.1,0.5,,,,27.52,87.75,1.38,98.75,1.0,757.0,,25.32,0.0
2021-01-14 02:00:00,2021-01-14 03:00:00,34.5,57.5,0.9,13.88,8.12,10.65,4.47,0.52,22.1,0.1,0.47,,,,24.12,89.0,1.5,98.75,1.0,756.0,,25.15,0.0
2021-01-14 03:00:00,2021-01-14 04:00:00,39.5,54.25,0.78,13.0,7.53,8.65,4.6,0.5,21.12,0.1,0.53,,,,22.93,90.0,1.5,102.75,1.0,755.5,,24.85,0.0
2021-01-14 04:00:00,2021-01-14 05:00:00,42.25,60.0,0.62,11.65,6.7,8.85,2.95,0.52,23.47,0.1,0.53,,,,23.05,91.0,1.62,99.75,1.0,755.0,,24.8,0.0
2021-01-14 05:00:00,2021-01-14 06:00:00,45.75,64.25,0.85,10.7,6.38,8.97,2.02,0.54,26.51,0.1,0.43,,,,22.9,91.0,1.82,102.0,1.0,755.0,,24.88,0.0
2021-01-14 06:00:00,2021-01-14 07:00:00,44.25,61.75,1.27,11.65,7.25,9.45,6.35,0.6,25.53,0.1,0.42,,,,26.2,91.0,1.65,115.5,1.25,756.0,,25.15,0.0
2021-01-14 07:00:00,2021-01-14 08:00:00,44.25,71.75,1.85,14.42,9.2,10.53,8.03,0.7,26.8,0.1,0.6,,,,27.45,90.5,1.48,96.75,24.75,757.25,,25.5,0.0
2021-01-14 08:00:00,2021-01-14 09:00:00,52.5,77.5,2.1,15.22,9.82,11.7,6.95,0.76,29.25,0.17,0.6,,,,27.3,89.0,1.5,98.5,39.5,758.0,,25.98,0.0
2021-01-14 09:00:00,2021-01-14 10:00:00,55.25,78.75,3.62,16.02,11.43,12.9,7.68,0.86,32.98,0.2,0.95,,,,27.7,85.0,1.47,107.5,99.5,758.0,,27.48,0.0
2021-01-14 10:00:00,2021-01-14 11:00:00,53.0,75.75,3.35,20.8,13.8,13.15,5.53,1.06,27.93,0.22,1.4,,,,24.95,89.5,0.88,153.25,21.0,758.75,,26.58,0.0
2021-01-14 11:00:00,2021-01-14 12:00:00,56.75,66.0,4.97,17.57,13.33,9.13,4.2,0.91,27.63,0.33,1.7,,,,22.95,83.75,1.62,147.5,164.75,758.0,,27.9,0.0
2021-01-14 12:00:00,2021-01-14 13:00:00,35.75,52.5,2.5,8.9,6.73,4.8,1.5,0.6,30.62,0.15,0.68,,,,22.65,76.75,2.47,154.5,331.25,756.75,,29.52,0.0
2021-01-14 13:00:00,2021-01-14 14:00:00,20.75,41.75,2.88,10.2,7.78,4.35,0.55,0.62,33.56,0.1,0.45,,,,23.38,77.0,2.88,153.0,254.5,755.5,,29.7,0.0
2021-01-14 14:00:00,2021-01-14 15:00:00,21.5,46.75,2.4,10.62,7.57,5.53,2.95,0.68,32.78,0.1,0.47,,,,25.88,82.25,3.02,168.25,79.5,755.0,,28.2,0.0
2021-01-14 15:00:00,2021-01-14 16:00:00,14.75,34.75,2.38,11.2,7.85,4.65,3.95,0.59,29.16,0.12,0.6,,,,27.6,80.0,2.55,155.75,91.25,754.5,,27.32,0.0
2021-01-14 16:00:00,2021-01-14 17:00:00,7.75,27.5,2.22,10.9,7.62,5.15,4.92,0.58,29.11,0.1,0.45,,,,27.68,80.75,2.23,128.75,47.25,755.0,,26.8,0.0
2021-01-14 17:00:00,2021-01-14 18:00:00,11.25,29.75,2.75,16.85,11.18,10.97,4.38,0.87,28.03,0.15,0.75,,,,27.8,87.25,1.48,125.5,14.75,755.0,,26.93,0.0
2021-01-14 18:00:00,2021-01-14 19:00:00,22.75,36.0,1.88,15.17,9.65,9.53,2.3,0.68,29.01,0.18,0.95,,,,25.52,89.5,2.52,159.5,1.0,756.0,,26.2,2.0
2021-01-14 19:00:00,2021-01-14 20:00:00,16.75,19.5,2.33,12.65,8.6,4.88,0.55,0.6,28.86,0.1,0.62,,,,23.15,90.0,2.0,120.25,1.0,757.0,,25.32,0.0
2021-01-14 20:00:00,2021-01-14 21:00:00,11.75,18.0,2.45,17.7,11.48,4.62,1.23,0.72,27.59,0.15,0.75,,,,23.15,89.0,1.7,153.0,1.0,757.0,,25.6,1.0
2021-01-14 21:00:00,2021-01-14 22:00:00,17.0,27.0,1.7,11.82,7.7,6.05,1.65,0.55,36.95,0.12,0.6,,,,23.18,89.5,2.03,110.5,1.0,757.25,,25.57,0.5
2021-01-14 22:00:00,2021-01-14 23:00:00,29.0,46.0,1.2,11.65,7.2,7.4,3.38,0.57,36.7,0.1,0.47,,,,25.15,89.5,1.3,108.5,1.0,757.0,,26.05,0.0
2021-01-14 23:00:00,2021-01-15 00:00:00,29.25,46.75,0.55,10.25,5.9,9.12,5.62,0.53,37.48,0.1,0.47,,,,27.65,91.25,0.97,94.75,1.0,757.0,,25.9,0.0
2021-01-15 00:00:00,2021-01-15 01:00:00,31.25,50.0,0.27,7.2,4.1,9.1,5.35,0.46,40.23,0.1,0.3,,,,27.38,92.0,1.27,98.75,1.0,756.25,,25.55,0.0
2021-01-15 01:00:00,2021-01-15 02:00:00,36.5,54.0,0.38,6.8,3.92,11.65,6.4,0.48,37.98,0.1,0.2,,,,27.4,91.75,1.07,90.75,1.0,756.0,,25.27,0.0
2021-01-15 02:00:00,2021-01-15 03:00:00,43.5,58.75,0.42,8.05,4.62,16.73,3.92,0.48,33.66,0.1,0.3,,,,26.07,92.75,0.92,87.75,1.0,755.75,,25.08,0.0
2021-01-15 03:00:00,2021-01-15 04:00:00,50.5,63.25,0.25,7.3,4.08,11.75,1.38,0.46,36.6,0.1,0.27,,,,22.7,93.0,1.12,88.5,1.0,755.0,,24.9,0.0
2021-01-15 04:00:00,2021-01-15 05:00:00,48.75,64.0,0.25,7.2,4.08,11.38,0.45,0.47,38.07,0.1,0.2,,,,22.75,93.0,1.27,90.25,1.0,756.0,,24.82,0.0
2021-01-15 05:00:00,2021-01-15 06:00:00,50.0,71.5,0.6,7.55,4.48,11.53,,0.47,38.95,0.1,0.23,,,,22.88,93.0,1.27,97.25,1.0,756.25,,24.7,0.0
2021-01-15 06:00:00,2021-01-15 07:00:00,55.0,67.75,0.8,9.5,5.72,11.28,3.0,0.61,35.96,0.1,0.25,,,,24.3,93.0,1.17,88.75,2.75,757.0,,24.55,0.0
2021-01-15 07:00:00,2021-01-15 08:00:00,51.75,71.75,1.27,11.43,7.1,11.68,6.7,0.67,35.72,0.1,0.43,,,,27.5,92.25,1.3,101.75,53.0,758.0,,24.98,0.0
2021-01-15 08:00:00,2021-01-15 09:00:00,52.25,77.75,2.3,12.12,8.28,11.12,6.72,0.73,40.62,0.12,0.53,,,,27.65,85.25,1.52,109.75,121.75,758.75,,26.78,0.0
2021-01-15 09:00:00,2021-01-15 10:00:00,54.0,78.5,1.75,11.5,7.53,10.85,7.82,0.73,52.48,0.1,0.53,,,,27.98,77.25,1.55,123.75,221.25,759.0,,28.75,0.0
2021-01-15 10:00:00,2021-01-15 11:00:00,46.25,71.5,1.58,12.32,7.82,13.1,6.83,0.72,60.17,0.12,0.55,,,,27.23,72.5,2.03,132.0,271.5,759.0,,29.47,0.0
2021-01-15 11:00:00,2021-01-15 12:00:00,40.75,61.75,1.67,9.9,6.63,9.13,5.1,0.59,59.93,0.1,0.4,,,,23.12,69.0,2.65,146.5,400.25,758.0,,30.02,0.0
2021-01-15 12:00:00,2021-01-15 13:00:00,37.5,54.5,1.73,8.37,5.87,6.93,3.92,0.6,56.84,0.1,0.3,,,,23.35,69.0,2.77,152.25,410.25,756.75,,30.18,0.0
2021-01-15 13:00:00,2021-01-15 14:00:00,29.25,50.75,1.6,8.6,5.88,6.03,1.97,0.61,50.86,0.1,0.33,,,,23.42,68.75,2.8,149.25,362.0,755.75,,30.23,0.0
2021-01-15 14:00:00,2021-01-15 15:00:00,27.0,45.0,1.85,7.43,5.5,6.42,2.62,0.61,49.93,0.1,0.3,,,,24.2,69.75,2.9,143.75,352.25,755.0,,30.05,0.0
2021-01-15 15:00:00,2021-01-15 16:00:00,26.25,47.5,1.1,7.55,4.9,8.25,4.05,0.64,48.07,0.1,0.3,,,,27.7,72.0,2.7,153.0,121.75,755.0,,29.25,0.0
2021-01-15 16:00:00,2021-01-15 17:00:00,25.75,49.67,1.38,10.2,6.57,11.65,4.7,0.69,45.62,0.1,0.32,,,,27.67,75.5,2.05,149.5,67.25,755.0,,28.8,0.0
2021-01-15 17:00:00,2021-01-15 18:00:00,30.75,55.25,1.15,11.05,6.82,11.5,4.8,0.71,40.48,0.1,0.45,,,,27.65,77.5,2.2,155.25,27.0,755.0,,28.38,0.0
2021-01-15 18:00:00,2021-01-15 19:00:00,29.75,49.75,1.05,13.1,7.83,10.3,2.83,0.72,36.36,0.1,0.57,,,,27.05,78.25,1.7,138.0,1.0,756.0,,27.95,0.0
2021-01-15 19:00:00,2021-01-15 20:00:00,30.75,51.25,1.23,16.6,9.78,7.82,0.8,0.76,40.23,0.17,0.75,,,,23.4,77.75,1.57,143.0,1.0,756.25,,27.83,0.0
2021-01-15 20:00:00,2021-01-15 21:00:00,36.0,57.5,0.9,16.48,9.47,7.4,1.0,0.71,54.83,0.15,0.73,,,,23.25,75.0,1.57,140.75,1.0,757.0,,27.9,0.0
2021-01-15 21:00:00,2021-01-15 22:00:00,36.25,59.25,1.1,18.2,10.55,7.55,0.55,0.78,56.5,0.1,0.6,,,,23.17,76.25,1.38,116.25,1.0,757.0,,27.45,0.0
2021-01-15 22:00:00,2021-01-15 23:00:00,36.75,69.0,1.1,18.75,10.88,7.35,1.62,0.66,53.51,0.2,0.75,,,,23.08,79.0,1.2,116.25,1.0,757.0,,26.73,0.0
2021-01-15 23:00:00,2021-01-16 00:00:00,34.0,66.75,0.53,13.4,7.52,7.95,4.8,0.54,53.36,0.18,0.47,,,,27.32,81.5,1.25,120.5,1.0,756.75,,26.25,0.0
2021-01-16 00:00:00,2021-01-16 01:00:00,28.5,57.75,0.35,9.28,5.22,10.42,5.45,0.42,53.51,0.1,0.28,,,,27.45,82.5,1.2,106.25,1.0,756.0,,25.92,0.0
2021-01-16 01:00:00,2021-01-16 02:00:00,30.0,50.0,0.4,7.28,4.08,10.55,5.17,0.38,47.68,0.1,0.25,,,,27.5,84.0,1.05,104.25,1.0,755.5,,25.5,0.0
2021-01-16 02:00:00,2021-01-16 03:00:00,30.0,47.25,0.28,6.88,3.87,10.25,3.4,0.39,46.01,0.1,0.27,,,,27.15,85.0,1.02,102.25,1.0,755.0,,25.12,0.0
2021-01-16 03:00:00,2021-01-16 04:00:00,32.0,48.5,0.28,5.7,3.23,8.88,2.17,0.36,48.85,0.1,0.22,,,,23.2,85.0,1.12,100.75,1.0,755.0,,24.95,0.0
2021-01-16 04:00:00,2021-01-16 05:00:00,39.0,53.5,0.75,10.6,6.22,8.12,0.3,0.42,42.19,0.1,0.22,,,,23.08,85.75,0.95,86.0,1.0,755.0,,24.75,0.0
2021-01-16 05:00:00,2021-01-16 06:00:00,42.25,62.75,0.7,10.55,6.2,8.4,,0.46,39.1,0.1,0.28,,,,22.98,86.25,1.23,98.75,1.0,755.25,,24.7,0.0
2021-01-16 06:00:00,2021-01-16 07:00:00,43.75,61.0,1.25,13.18,8.05,8.72,3.15,0.58,29.45,0.1,0.45,,,,22.48,87.75,1.2,93.75,2.25,756.0,,24.35,0.0
2021-01-16 07:00:00,2021-01-16 08:00:00,46.5,68.0,1.73,12.85,8.22,9.93,8.47,0.61,31.55,0.1,0.53,,,,26.9,85.75,1.6,104.25,55.25,756.75,,24.92,0.0
2021-01-16 08:00:00,2021-01-16 09:00:00,45.5,68.5,1.77,12.65,8.18,11.43,9.82,0.64,44.59,0.12,0.5,,,,27.68,77.75,1.52,105.0,143.5,757.0,,27.1,0.0
2021-01-16 09:00:00,2021-01-16 10:00:00,37.0,60.0,1.65,12.6,8.07,9.62,9.9,0.64,55.86,0.15,0.5,,,,28.0,71.25,1.62,114.0,240.5,758.0,,28.98,0.0
2021-01-16 10:00:00,2021-01-16 11:00:00,31.75,56.25,1.8,13.2,8.53,9.65,6.57,0.66,64.29,0.1,0.62,,,,28.3,65.75,2.05,145.75,313.5,757.5,,29.68,0.0
2021-01-16 11:00:00,2021-01-16 12:00:00,25.0,51.5,2.03,12.43,8.27,7.9,2.77,0.55,67.91,0.12,0.82,,,,24.1,62.75,2.58,158.75,413.25,757.0,,30.05,0.0
2021-01-16 12:00:00,2021-01-16 13:00:00,25.5,45.25,1.57,9.97,6.53,6.4,1.97,0.54,63.85,0.17,1.17,,,,23.17,62.0,2.4,161.0,422.75,756.0,,30.25,0.0
2021-01-16 13:00:00,2021-01-16 14:00:00,27.75,49.25,2.52,12.12,8.48,6.38,1.02,0.54,58.99,0.22,1.6,,,,24.27,63.5,2.62,175.0,404.0,755.0,,30.1,0.0
2021-01-16 14:00:00,2021-01-16 15:00:00,26.25,47.75,2.15,11.9,8.1,11.15,5.85,0.52,53.95,0.25,1.82,,,,30.15,65.0,2.98,184.75,352.75,754.0,,29.7,0.0
2021-01-16 15:00:00,2021-01-16 16:00:00,16.75,42.5,1.98,12.02,8.05,10.75,4.28,0.56,50.86,0.23,1.92,,,,29.15,65.75,2.52,184.0,264.5,754.0,,29.7,0.0
2021-01-16 16:00:00,2021-01-16 17:00:00,22.0,52.5,2.2,15.0,9.8,13.03,4.2,0.56,41.2,0.28,2.1,,,,31.88,67.5,2.45,189.5,149.0,754.25,,29.33,0.0
2021-01-16 17:00:00,2021-01-16 18:00:00,24.0,64.75,2.15,19.28,12.03,9.9,2.88,0.71,37.92,0.3,2.15,,,,25.0,70.5,2.4,188.5,33.5,755.0,,28.53,0.0
2021-01-16 18:00:00,2021-01-16 19:00:00,30.0,54.5,2.88,27.25,16.82,7.12,3.03,0.98,28.08,0.3,2.07,,,,23.65,72.0,1.98,186.75,1.0,755.5,,28.05,0.0
2021-01-16 19:00:00,2021-01-16 20:00:00,28.5,62.25,4.12,32.43,20.6,6.38,3.33,1.09,26.95,0.38,2.15,,,,23.75,72.0,1.65,183.25,1.0,756.0,,27.87,0.0
2021-01-16 20:00:00,2021-01-16 21:00:00,26.0,66.67,3.72,33.33,20.75,6.08,3.08,1.07,26.41,0.33,2.15,,,,24.03,74.75,1.68,185.0,1.0,757.0,,27.65,0.0
2021-01-16 21:00:00,2021-01-16 22:00:00,27.25,70.25,3.6,30.9,19.35,11.8,6.68,0.95,23.96,0.33,2.12,,,,30.52,73.0,1.52,180.25,1.0,757.0,,27.58,0.0
2021-01-16 22:00:00,2021-01-16 23:00:00,14.25,58.75,1.58,25.1,14.65,13.2,2.75,0.7,32.64,0.25,1.85,,,,32.55,73.0,1.35,179.75,1.0,757.0,,27.35,0.0
2021-01-16 23:00:00,2021-01-17 00:00:00,18.25,56.0,0.65,18.82,10.55,12.78,,0.52,34.3,0.27,1.73,,,,32.83,73.75,1.32,184.25,1.0,757.0,,27.2,0.0
2021-01-17 00:00:00,2021-01-17 01:00:00,18.25,49.5,0.55,17.2,9.6,12.6,,0.4,34.01,0.12,1.18,,,,33.05,73.75,1.05,188.0,1.0,756.0,,26.9,0.0
2021-01-17 01:00:00,2021-01-17 02:00:00,18.0,43.5,0.4,15.25,8.43,9.38,,0.42,28.17,0.1,1.0,,,,25.6,78.5,0.8,102.25,1.0,756.0,,25.98,0.0
2021-01-17 02:00:00,2021-01-17 03:00:00,23.25,30.25,0.52,10.18,5.85,6.88,1.13,0.36,26.22,0.1,0.88,,,,24.07,84.5,0.8,98.5,1.0,755.0,,25.02,0.0
2021-01-17 03:00:00,2021-01-17 04:00:00,19.75,32.75,0.62,10.6,6.2,6.42,3.28,0.39,19.36,0.1,0.8,,,,23.75,87.0,0.93,53.25,1.0,755.0,,24.65,0.0
2021-01-17 04:00:00,2021-01-17 05:00:00,17.25,39.75,1.57,11.6,7.42,6.2,1.05,0.42,19.3,0.1,0.7,,,,24.0,87.0,0.73,71.25,1.0,755.5,,24.23,0.0
2021-01-17 05:00:00,2021-01-17 06:00:00,21.0,46.0,3.27,19.17,12.85,10.45,5.38,0.49,15.04,0.1,0.8,,,,29.35,87.0,0.72,77.5,1.0,756.0,,23.95,0.0
2021-01-17 06:00:00,2021-01-17 07:00:00,22.25,52.75,2.95,19.25,12.68,13.88,0.87,0.6,19.94,0.17,1.05,,,,33.12,86.0,0.85,93.25,2.25,756.75,,23.98,0.0
2021-01-17 07:00:00,2021-01-17 08:00:00,26.75,61.5,4.47,22.73,15.7,13.75,1.07,0.66,22.44,0.2,1.18,,,,33.65,81.0,1.18,99.0,65.0,757.5,,25.23,0.0
2021-01-17 08:00:00,2021-01-17 09:00:00,29.5,53.25,3.67,17.35,12.18,13.93,2.3,0.57,32.34,0.2,0.97,,,,34.23,71.25,1.35,107.25,147.5,758.25,,27.62,0.0
2021-01-17 09:00:00,2021-01-17 10:00:00,30.25,48.25,2.8,13.55,9.4,10.8,2.87,0.56,39.54,0.17,0.85,,,,27.23,66.0,1.58,109.0,230.0,759.0,,28.8,0.0
2021-01-17 10:00:00,2021-01-17 11:00:00,26.75,39.0,2.8,11.18,8.22,7.15,2.77,0.52,43.86,0.1,0.7,,,,23.5,62.0,1.7,140.0,265.75,759.0,,29.27,0.0
2021-01-17 11:00:00,2021-01-17 12:00:00,20.25,37.0,2.8,11.8,8.5,6.53,6.9,0.52,47.63,0.1,0.75,,,,23.58,58.25,2.03,159.0,348.25,758.0,,29.7,0.0
2021-01-17 12:00:00,2021-01-17 13:00:00,13.0,38.5,3.67,12.87,9.87,6.57,5.4,0.51,50.08,0.1,0.73,,,,23.95,57.0,2.5,173.0,435.5,757.25,,30.03,0.0
2021-01-17 13:00:00,2021-01-17 14:00:00,16.25,36.25,2.95,15.02,10.4,9.78,5.85,0.49,57.28,0.1,0.7,,,,28.67,58.5,2.67,173.0,400.5,756.25,,29.75,0.0
2021-01-17 14:00:00,2021-01-17 15:00:00,14.25,39.75,3.15,16.88,11.5,12.7,4.72,0.44,54.88,0.1,0.73,,,,32.88,57.25,2.85,180.0,290.0,756.0,,29.53,0.0
2021-01-17 15:00:00,2021-01-17 16:00:00,8.0,31.75,2.38,14.75,9.75,12.65,5.17,0.41,49.1,0.1,0.62,,,,33.18,58.75,2.73,160.5,168.0,755.5,,28.93,0.0
2021-01-17 16:00:00,2021-01-17 17:00:00,13.5,37.75,1.8,15.18,9.55,12.97,5.15,0.39,46.31,0.1,0.53,,,,33.73,58.5,2.53,161.25,84.0,756.0,,28.45,0.0
2021-01-17 17:00:00,2021-01-17 18:00:00,14.75,38.5,2.2,17.62,11.17,11.3,4.52,0.49,39.79,0.1,0.65,,,,28.73,61.0,2.15,138.0,22.25,756.0,,27.88,0.0
2021-01-17 18:00:00,2021-01-17 19:00:00,23.0,37.25,2.7,21.93,13.8,7.65,4.55,0.56,32.78,0.1,0.7,,,,23.95,62.5,1.83,131.5,1.0,757.0,,27.3,0.0
2021-01-17 19:00:00,2021-01-17 20:00:00,20.75,45.25,3.12,21.4,13.92,7.25,2.68,0.55,34.16,0.15,0.82,,,,24.15,62.0,1.85,140.25,1.0,758.0,,27.25,0.0
2021-01-17 20:00:00,2021-01-17 21:00:00,13.5,39.25,3.62,20.82,14.0,7.07,1.95,0.55,33.22,0.1,0.73,,,,24.15,61.75,1.77,148.25,1.0,758.75,,27.23,0.0
