From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Xylene (ug/m3)
2020-01-26 12:00:00,2020-01-26 13:00:00,38.1,60.95,125.53,7.75,133.28,103.41,3.45,0.68,0.34,0.45,,,0.0
2020-01-26 13:00:00,2020-01-26 14:00:00,42.08,58.87,132.2,6.65,138.86,110.5,3.57,0.7,0.31,0.29,,,0.0
2020-01-26 14:00:00,2020-01-26 15:00:00,44.89,54.13,133.16,6.5,139.67,111.69,3.61,0.72,0.48,0.38,,,0.0
2020-01-26 15:00:00,2020-01-26 16:00:00,40.77,58.72,129.64,7.2,136.84,107.48,3.51,0.66,0.42,0.61,,0.18,0.0
2020-01-26 16:00:00,2020-01-26 17:00:00,32.18,48.2,122.75,8.39,131.14,100.11,3.27,0.73,0.27,0.27,,,0.0
2020-01-26 17:00:00,2020-01-26 18:00:00,38.82,55.77,122.12,8.49,130.6,99.63,3.32,0.74,0.35,0.44,,0.05,0.0
2020-01-26 18:00:00,2020-01-26 19:00:00,32.64,47.93,121.41,8.56,129.97,99.02,3.36,0.95,0.57,0.82,,0.42,0.0
2020-01-26 19:00:00,2020-01-26 20:00:00,56.74,82.74,122.14,8.44,130.57,100.31,3.43,1.38,0.57,0.78,,0.33,0.0
2020-01-26 20:00:00,2020-01-26 21:00:00,47.02,72.97,127.2,7.63,134.84,106.45,3.69,1.52,0.96,2.43,,1.37,0.0
2020-01-26 21:00:00,2020-01-26 22:00:00,47.95,72.2,127.82,7.56,135.39,107.08,3.62,1.5,1.13,2.85,0.05,1.63,0.27
2020-01-26 22:00:00,2020-01-26 23:00:00,46.31,80.08,127.45,7.53,134.99,106.81,3.51,1.46,1.63,3.7,0.61,1.96,0.46
2020-01-26 23:00:00,2020-01-27 00:00:00,58.02,83.1,127.11,7.48,134.6,106.41,3.62,1.46,1.59,3.33,0.4,1.65,0.0
2020-01-27 00:00:00,2020-01-27 01:00:00,59.2,87.16,125.89,7.84,133.72,104.75,3.64,1.33,2.31,4.65,0.79,2.68,0.24
2020-01-27 01:00:00,2020-01-27 02:00:00,66.74,92.59,121.63,8.55,130.18,99.5,3.36,1.06,1.15,1.89,0.41,0.99,0.24
2020-01-27 02:00:00,2020-01-27 03:00:00,56.97,77.64,120.61,8.69,129.31,98.62,3.35,0.93,1.26,1.4,0.26,0.62,0.0
2020-01-27 03:00:00,2020-01-27 04:00:00,55.97,101.33,120.59,8.65,129.23,98.67,3.32,0.89,1.6,1.31,0.14,0.59,0.0
2020-01-27 04:00:00,2020-01-27 05:00:00,55.08,76.08,124.66,7.88,132.55,103.88,3.58,1.06,1.32,1.23,,0.47,0.0
2020-01-27 05:00:00,2020-01-27 06:00:00,57.82,78.79,127.13,7.61,134.75,106.39,3.66,1.01,1.09,1.62,,0.27,0.0
2020-01-27 06:00:00,2020-01-27 07:00:00,51.64,71.7,127.37,7.61,134.98,106.64,3.63,1.29,2.0,2.44,0.15,0.65,0.0
2020-01-27 07:00:00,2020-01-27 08:00:00,76.28,98.54,127.52,7.54,135.05,106.78,3.67,1.79,2.2,2.65,0.48,1.03,0.07
2020-01-27 08:00:00,2020-01-27 09:00:00,86.74,118.79,125.21,7.89,133.1,103.67,3.51,1.98,3.08,4.78,0.83,2.86,0.5
2020-01-27 09:00:00,2020-01-27 10:00:00,77.0,111.0,120.83,8.74,129.56,98.53,3.33,2.44,1.54,2.37,0.4,1.53,0.33
2020-01-27 10:00:00,2020-01-27 11:00:00,,,,,,,,,,,,,
2020-01-27 11:00:00,2020-01-27 12:00:00,,,,,,,,,,,,,
2020-01-27 12:00:00,2020-01-27 13:00:00,,,,,,,,,,,,,
2020-01-27 13:00:00,2020-01-27 14:00:00,28.66,47.95,160.26,11.2,162.74,149.89,,0.52,0.38,0.59,0.06,0.14,0.0
2020-01-27 14:00:00,2020-01-27 15:00:00,36.0,59.2,230.39,,223.49,209.75,4.08,0.75,0.41,0.8,,0.13,0.0
2020-01-27 15:00:00,2020-01-27 16:00:00,36.13,67.2,206.24,,203.06,184.55,3.09,0.65,0.43,0.93,0.08,0.49,0.16
2020-01-27 16:00:00,2020-01-27 17:00:00,40.74,74.82,193.48,,191.97,173.07,3.07,0.65,0.29,0.51,,0.13,0.0
2020-01-27 17:00:00,2020-01-27 18:00:00,31.34,67.84,180.3,0.5,180.61,161.07,3.23,0.97,0.53,1.12,0.08,0.65,0.16
2020-01-27 18:00:00,2020-01-27 19:00:00,43.95,62.1,173.09,1.1,174.2,155.87,3.34,1.29,0.59,1.51,0.11,0.98,0.19
2020-01-27 19:00:00,2020-01-27 20:00:00,42.2,66.34,175.89,0.48,176.38,162.57,3.69,1.49,0.88,2.43,,1.56,0.0
2020-01-27 20:00:00,2020-01-27 21:00:00,50.05,79.2,172.61,1.0,173.62,159.5,3.52,1.7,1.5,4.65,0.61,3.24,1.02
2020-01-27 21:00:00,2020-01-27 22:00:00,52.0,86.74,168.12,1.6,169.74,155.29,3.57,1.46,1.53,4.69,0.71,3.41,1.06
2020-01-27 22:00:00,2020-01-27 23:00:00,51.82,76.95,165.65,1.86,167.52,152.84,3.6,1.36,2.5,4.26,0.62,2.34,0.19
2020-01-27 23:00:00,2020-01-28 00:00:00,46.13,76.91,161.9,2.5,164.4,148.77,3.6,1.52,6.69,7.89,1.6,3.5,0.52
2020-01-28 00:00:00,2020-01-28 01:00:00,90.56,151.68,155.58,3.65,159.24,141.55,3.47,1.4,2.34,3.96,0.66,2.23,0.85
2020-01-28 01:00:00,2020-01-28 02:00:00,74.05,102.03,150.93,4.46,155.38,135.05,3.34,1.36,1.26,2.61,0.52,1.43,0.29
2020-01-28 02:00:00,2020-01-28 03:00:00,76.49,103.59,148.41,4.68,153.09,132.49,3.42,1.36,1.22,1.64,,0.86,0.0
2020-01-28 03:00:00,2020-01-28 04:00:00,94.61,125.53,151.84,3.96,155.8,135.5,3.59,1.19,1.73,1.66,1.09,1.23,0.0
2020-01-28 04:00:00,2020-01-28 05:00:00,79.64,107.61,154.32,3.54,157.87,133.43,3.66,1.02,1.88,1.92,1.15,1.25,0.0
2020-01-28 05:00:00,2020-01-28 06:00:00,65.84,92.87,153.46,3.78,157.26,132.7,3.65,1.09,2.17,1.6,0.24,0.4,0.0
2020-01-28 06:00:00,2020-01-28 07:00:00,60.54,88.67,152.03,4.04,156.06,131.41,3.64,1.65,1.97,2.54,0.28,1.32,0.05
2020-01-28 07:00:00,2020-01-28 08:00:00,81.18,114.26,150.27,4.35,154.61,129.6,3.64,1.82,4.97,5.53,0.71,2.57,0.9
2020-01-28 08:00:00,2020-01-28 09:00:00,87.66,123.72,142.48,5.6,148.09,120.5,3.35,1.66,1.61,2.3,0.45,1.4,0.32
2020-01-28 09:00:00,2020-01-28 10:00:00,74.79,113.05,139.21,6.1,145.33,117.02,3.33,2.08,1.3,2.15,0.24,1.42,0.31
2020-01-28 10:00:00,2020-01-28 11:00:00,66.69,114.72,137.94,6.41,144.34,115.98,3.33,2.03,2.32,4.78,0.86,3.45,1.51
2020-01-28 11:00:00,2020-01-28 12:00:00,54.95,103.61,136.73,6.47,143.19,115.27,3.41,1.69,1.15,2.73,0.44,1.96,0.71
2020-01-28 12:00:00,2020-01-28 13:00:00,52.84,88.72,139.55,5.83,145.39,106.06,3.39,1.42,0.9,2.34,0.03,1.58,0.23
2020-01-28 13:00:00,2020-01-28 14:00:00,47.0,78.0,138.62,6.0,144.62,73.91,3.28,1.12,0.8,2.26,0.15,1.43,0.31
2020-01-28 14:00:00,2020-01-28 15:00:00,47.0,78.0,215.1,10.0,210.13,149.19,7.17,0.37,0.0,0.0,,,0.0
2020-01-28 15:00:00,2020-01-28 16:00:00,,,,,,,,,,,,,
2020-01-28 16:00:00,2020-01-28 17:00:00,,,,,,,,,,,,,
2020-01-28 17:00:00,2020-01-28 18:00:00,38.0,77.79,89.92,13.14,103.08,60.77,3.41,1.28,0.57,1.53,0.09,1.08,0.2
2020-01-28 18:00:00,2020-01-28 19:00:00,38.02,69.89,91.58,12.85,104.44,62.13,3.59,1.04,0.6,1.75,,1.06,0.05
2020-01-28 19:00:00,2020-01-28 20:00:00,39.13,66.18,86.79,13.61,100.41,58.16,3.41,1.42,0.57,1.85,,1.07,0.15
2020-01-28 20:00:00,2020-01-28 21:00:00,43.89,72.97,82.52,14.25,96.77,55.21,3.43,1.35,0.66,1.76,0.1,1.3,0.19
2020-01-28 21:00:00,2020-01-28 22:00:00,40.08,71.95,79.68,14.62,94.3,53.05,3.47,1.27,0.5,1.27,,0.84,0.0
2020-01-28 22:00:00,2020-01-28 23:00:00,42.77,69.89,78.38,14.75,93.13,52.25,3.42,1.01,0.42,1.03,,0.72,0.0
2020-01-28 23:00:00,2020-01-29 00:00:00,34.05,65.83,79.47,14.44,93.92,53.45,3.65,0.97,1.04,2.28,,0.53,0.0
2020-01-29 00:00:00,2020-01-29 01:00:00,36.62,59.59,80.14,14.35,94.49,53.99,3.71,1.06,8.31,17.82,1.61,1.94,0.0
2020-01-29 01:00:00,2020-01-29 02:00:00,59.89,81.95,79.69,14.47,94.17,53.7,3.74,0.91,22.43,48.96,27.77,61.2,0.04
2020-01-29 02:00:00,2020-01-29 03:00:00,55.89,79.92,79.86,14.44,94.3,53.83,3.68,0.8,8.29,3.77,0.58,0.59,0.0
2020-01-29 03:00:00,2020-01-29 04:00:00,52.13,77.16,79.02,14.61,93.62,53.23,3.71,0.86,0.09,0.22,0.04,0.04,0.0
2020-01-29 04:00:00,2020-01-29 05:00:00,57.16,83.1,77.5,14.78,92.29,52.14,3.7,0.91,3.48,4.23,3.97,0.83,0.0
2020-01-29 05:00:00,2020-01-29 06:00:00,63.44,87.64,75.52,15.08,90.61,50.67,3.59,1.21,2.68,2.56,0.28,0.26,0.0
2020-01-29 06:00:00,2020-01-29 07:00:00,81.7,114.82,72.43,15.59,88.03,48.21,3.37,1.77,1.69,2.05,0.67,1.1,0.0
2020-01-29 07:00:00,2020-01-29 08:00:00,145.12,220.17,72.87,15.47,88.35,48.75,3.59,1.83,2.47,2.34,0.22,1.17,0.07
2020-01-29 08:00:00,2020-01-29 09:00:00,112.23,189.44,75.58,15.06,90.65,50.97,3.77,2.1,3.31,4.62,0.78,2.88,0.81
2020-01-29 09:00:00,2020-01-29 10:00:00,119.53,203.67,75.75,15.0,90.77,51.09,3.74,2.18,25.46,41.4,8.82,40.66,12.99
2020-01-29 10:00:00,2020-01-29 11:00:00,63.87,115.84,75.25,15.07,90.32,50.64,3.67,1.71,15.65,38.13,6.81,32.29,15.16
2020-01-29 11:00:00,2020-01-29 12:00:00,58.79,109.35,73.29,15.42,88.69,48.88,3.39,1.35,0.91,1.93,0.2,1.16,0.31
2020-01-29 12:00:00,2020-01-29 13:00:00,50.92,84.97,71.36,15.68,87.04,25.19,3.34,1.27,0.83,1.83,0.1,1.15,0.23
2020-01-29 13:00:00,2020-01-29 14:00:00,47.66,83.97,71.11,15.7,86.82,23.61,3.41,1.03,0.73,1.74,0.13,1.28,0.32
2020-01-29 14:00:00,2020-01-29 15:00:00,34.92,82.82,69.68,15.86,85.55,23.1,3.4,0.95,0.69,1.92,0.16,1.31,0.43
2020-01-29 15:00:00,2020-01-29 16:00:00,32.18,76.36,69.6,15.93,85.54,23.11,3.37,1.31,0.75,2.42,0.22,1.41,0.41
2020-01-29 16:00:00,2020-01-29 17:00:00,39.13,89.89,56.46,17.63,74.1,18.8,3.38,1.44,0.97,2.87,0.41,1.92,0.72
2020-01-29 17:00:00,2020-01-29 18:00:00,43.84,85.64,45.84,18.98,64.84,15.31,3.5,1.55,0.82,2.56,0.29,1.85,0.68
2020-01-29 18:00:00,2020-01-29 19:00:00,38.0,71.97,48.26,18.63,66.89,16.26,3.7,1.58,1.05,3.8,0.29,2.3,0.19
2020-01-29 19:00:00,2020-01-29 20:00:00,37.97,70.77,49.1,18.46,67.58,16.56,3.74,1.57,10.67,18.08,0.88,9.24,0.11
2020-01-29 20:00:00,2020-01-29 21:00:00,37.08,62.02,47.81,18.69,66.5,16.07,3.69,1.56,5.25,21.43,0.08,9.31,0.09
2020-01-29 21:00:00,2020-01-29 22:00:00,39.89,62.95,46.5,18.91,65.4,15.61,3.67,1.39,1.89,4.03,0.28,2.37,0.46
2020-01-29 22:00:00,2020-01-29 23:00:00,35.87,60.84,45.83,18.97,64.82,15.34,3.6,1.16,1.78,5.29,0.16,3.94,0.27
2020-01-29 23:00:00,2020-01-30 00:00:00,31.17,55.24,44.88,19.12,64.01,14.96,3.49,1.1,1.53,2.3,,0.94,0.0
2020-01-30 00:00:00,2020-01-30 01:00:00,38.18,65.2,45.86,18.93,64.79,15.38,3.62,0.84,1.68,2.28,,0.83,0.0
2020-01-30 01:00:00,2020-01-30 02:00:00,45.26,73.26,47.26,18.79,66.03,15.91,3.69,1.06,11.72,37.2,40.78,20.77,15.54
2020-01-30 02:00:00,2020-01-30 03:00:00,54.87,82.82,47.07,18.82,65.9,15.87,3.68,0.98,2.3,2.93,1.95,1.67,0.38
2020-01-30 03:00:00,2020-01-30 04:00:00,49.79,75.69,47.02,18.8,65.81,15.86,3.73,0.83,2.63,5.35,2.64,0.96,0.0
2020-01-30 04:00:00,2020-01-30 05:00:00,42.56,64.85,46.77,18.84,65.6,15.75,3.71,1.09,4.18,5.43,2.45,,0.0
2020-01-30 05:00:00,2020-01-30 06:00:00,65.19,97.18,45.91,18.96,64.87,15.38,3.71,1.33,22.49,14.96,,,0.0
2020-01-30 06:00:00,2020-01-30 07:00:00,73.18,104.18,45.4,19.03,64.44,15.19,3.67,1.43,54.64,43.84,,0.09,0.0
2020-01-30 07:00:00,2020-01-30 08:00:00,80.2,111.54,44.72,19.18,63.9,14.89,3.58,1.91,2.59,2.76,0.03,0.96,0.04
2020-01-30 08:00:00,2020-01-30 09:00:00,87.64,132.03,43.7,19.3,63.02,14.45,3.41,2.23,1.77,2.98,0.54,1.79,0.65
2020-01-30 09:00:00,2020-01-30 10:00:00,73.63,132.45,44.18,19.23,63.41,14.65,3.53,2.15,1.74,3.31,0.52,2.28,0.82
2020-01-30 10:00:00,2020-01-30 11:00:00,58.53,111.2,44.13,19.19,63.34,14.68,3.49,1.81,1.85,3.89,0.69,2.87,1.26
2020-01-30 11:00:00,2020-01-30 12:00:00,40.95,81.0,45.96,18.96,64.92,15.27,3.49,1.23,1.06,2.65,0.34,1.91,0.62
2020-01-30 12:00:00,2020-01-30 13:00:00,38.95,80.84,43.81,19.27,63.09,14.5,3.3,1.07,0.66,1.67,,0.9,0.0
2020-01-30 13:00:00,2020-01-30 14:00:00,37.08,75.0,44.02,19.21,63.24,14.59,3.4,1.18,0.63,1.22,,0.63,0.0
2020-01-30 14:00:00,2020-01-30 15:00:00,39.74,74.89,43.07,19.39,62.45,14.23,3.38,1.17,0.7,1.56,0.12,1.0,0.19
2020-01-30 15:00:00,2020-01-30 16:00:00,29.61,69.81,40.52,19.68,60.22,21.54,3.34,1.28,0.51,1.57,0.07,0.86,0.05
2020-01-30 16:00:00,2020-01-30 17:00:00,25.13,48.97,41.43,19.59,61.0,27.4,3.44,1.28,0.8,2.7,0.33,1.7,0.59
2020-01-30 17:00:00,2020-01-30 18:00:00,29.72,66.92,43.84,19.23,63.08,29.17,3.62,1.42,0.49,1.61,,1.01,0.0
2020-01-30 18:00:00,2020-01-30 19:00:00,18.9,63.79,45.87,18.94,64.83,30.69,3.72,1.4,1.02,3.08,0.15,2.7,0.39
2020-01-30 19:00:00,2020-01-30 20:00:00,15.28,56.13,45.12,19.09,64.2,30.07,3.62,1.63,0.85,2.79,0.08,2.01,0.42
2020-01-30 20:00:00,2020-01-30 21:00:00,25.97,60.92,43.3,19.32,62.63,28.68,3.43,1.3,0.91,2.76,0.36,2.09,0.73
