From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (),NO2 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (),CO2 (mg/m3),RF (mm)
2016-10-26 11:00:00,2016-10-26 12:00:00,,,,,,0.83,,,
2016-10-26 12:00:00,2016-10-26 13:00:00,,,,,,0.81,,,
2016-10-26 13:00:00,2016-10-26 14:00:00,,,,,,0.76,,,
2016-10-26 14:00:00,2016-10-26 15:00:00,,,,,,0.74,,,
2016-10-26 15:00:00,2016-10-26 16:00:00,,,,,,0.75,,,
2016-10-26 16:00:00,2016-10-26 17:00:00,,,,,,0.79,,,
2016-10-26 17:00:00,2016-10-26 18:00:00,,,,,,0.82,,,
2016-10-26 18:00:00,2016-10-26 19:00:00,,,,,,,,,
2016-10-26 19:00:00,2016-10-26 20:00:00,,,,,,,,,
2016-10-26 20:00:00,2016-10-26 21:00:00,,,,,,,,,
2016-10-26 21:00:00,2016-10-26 22:00:00,,,,,,,,,
2016-10-26 22:00:00,2016-10-26 23:00:00,,,,,,,,,
2016-10-26 23:00:00,2016-10-27 00:00:00,,,,,,,,,
2016-10-27 00:00:00,2016-10-27 01:00:00,,,,,,,,,
2016-10-27 01:00:00,2016-10-27 02:00:00,,,,,,,,,
2016-10-27 02:00:00,2016-10-27 03:00:00,,,,,,,,,
2016-10-27 03:00:00,2016-10-27 04:00:00,,,,,,,,,
2016-10-27 04:00:00,2016-10-27 05:00:00,,,,,,,,,
2016-10-27 05:00:00,2016-10-27 06:00:00,,,,,,,,,
2016-10-27 06:00:00,2016-10-27 07:00:00,,,,,,,,,
2016-10-27 07:00:00,2016-10-27 08:00:00,,,,,,,,,
2016-10-27 08:00:00,2016-10-27 09:00:00,,,,,,,,,
2016-10-27 09:00:00,2016-10-27 10:00:00,,,,,,,,,
2016-10-27 10:00:00,2016-10-27 11:00:00,,,,,,,,,
2016-10-27 11:00:00,2016-10-27 12:00:00,,,,,,,,,
2016-10-27 12:00:00,2016-10-27 13:00:00,,,,,,,,,
2016-10-27 13:00:00,2016-10-27 14:00:00,,,,,,,,,
2016-10-27 14:00:00,2016-10-27 15:00:00,,,,,,,,,
2016-10-27 15:00:00,2016-10-27 16:00:00,,,,,,,,,
2016-10-27 16:00:00,2016-10-27 17:00:00,,,,,,,,,
2016-10-27 17:00:00,2016-10-27 18:00:00,,,,,,,,,
2016-10-27 18:00:00,2016-10-27 19:00:00,,,,,,,,,
2016-10-27 19:00:00,2016-10-27 20:00:00,,,,,,,,,
2016-10-27 20:00:00,2016-10-27 21:00:00,,,,,,,,,
2016-10-27 21:00:00,2016-10-27 22:00:00,,,,,,,,,
2016-10-27 22:00:00,2016-10-27 23:00:00,,,,,,,,,
2016-10-27 23:00:00,2016-10-28 00:00:00,,,,,,,,,
2016-10-28 00:00:00,2016-10-28 01:00:00,,,,,,,,,
2016-10-28 01:00:00,2016-10-28 02:00:00,,,,,,,,,
2016-10-28 02:00:00,2016-10-28 03:00:00,,,,,,,,,
2016-10-28 03:00:00,2016-10-28 04:00:00,,,,,,,,,
2016-10-28 04:00:00,2016-10-28 05:00:00,,,,,,,,,
2016-10-28 05:00:00,2016-10-28 06:00:00,,,,,,,,,
2016-10-28 06:00:00,2016-10-28 07:00:00,,,,,,,,,
2016-10-28 07:00:00,2016-10-28 08:00:00,,,,,,,,,
2016-10-28 08:00:00,2016-10-28 09:00:00,,,,,,,,,
2016-10-28 09:00:00,2016-10-28 10:00:00,,,,,,,,,
2016-10-28 10:00:00,2016-10-28 11:00:00,,,,,,,,,
2016-10-28 11:00:00,2016-10-28 12:00:00,,,,,,,,,
2016-10-28 12:00:00,2016-10-28 13:00:00,,,,,,,,,
2016-10-28 13:00:00,2016-10-28 14:00:00,,,,,,,,,
2016-10-28 14:00:00,2016-10-28 15:00:00,,,,,,,,,
2016-10-28 15:00:00,2016-10-28 16:00:00,,,,,,,,,
2016-10-28 16:00:00,2016-10-28 17:00:00,,,,,,,,,
2016-10-28 17:00:00,2016-10-28 18:00:00,,,,,,,,,
2016-10-28 18:00:00,2016-10-28 19:00:00,,,,,,,,,
2016-10-28 19:00:00,2016-10-28 20:00:00,,,,,,,,,
2016-10-28 20:00:00,2016-10-28 21:00:00,,,,,,,,,
2016-10-28 21:00:00,2016-10-28 22:00:00,,,,,,,,,
2016-10-28 22:00:00,2016-10-28 23:00:00,,,,,,,,,
2016-10-28 23:00:00,2016-10-29 00:00:00,,,,,,,,,
2016-10-29 00:00:00,2016-10-29 01:00:00,,,,,,,,,
2016-10-29 01:00:00,2016-10-29 02:00:00,,,,,,,,,
2016-10-29 02:00:00,2016-10-29 03:00:00,,,,,,,,,
2016-10-29 03:00:00,2016-10-29 04:00:00,,,,,,,,,
2016-10-29 04:00:00,2016-10-29 05:00:00,,,,,,,,,
2016-10-29 05:00:00,2016-10-29 06:00:00,,,,,,,,,
2016-10-29 06:00:00,2016-10-29 07:00:00,,,,,,,,,
2016-10-29 07:00:00,2016-10-29 08:00:00,,,,,,,,,
2016-10-29 08:00:00,2016-10-29 09:00:00,,,,,,,,,
2016-10-29 09:00:00,2016-10-29 10:00:00,,,,,,,,,
2016-10-29 10:00:00,2016-10-29 11:00:00,,,,,,,,,
2016-10-29 11:00:00,2016-10-29 12:00:00,,,,,,,,,
2016-10-29 12:00:00,2016-10-29 13:00:00,,,,,,,,,
2016-10-29 13:00:00,2016-10-29 14:00:00,,,,,,,,,
2016-10-29 14:00:00,2016-10-29 15:00:00,,,,,,,,,
2016-10-29 15:00:00,2016-10-29 16:00:00,,,,,,0.58,,,
2016-10-29 16:00:00,2016-10-29 17:00:00,,,,,,0.54,39.01,,
2016-10-29 17:00:00,2016-10-29 18:00:00,,,,,,0.49,31.3,,
2016-10-29 18:00:00,2016-10-29 19:00:00,,,,,,0.53,21.29,,
2016-10-29 19:00:00,2016-10-29 20:00:00,,,,,,0.62,20.02,,
2016-10-29 20:00:00,2016-10-29 21:00:00,,,,,,0.7,20.34,,
2016-10-29 21:00:00,2016-10-29 22:00:00,,,,,,0.72,21.01,,
2016-10-29 22:00:00,2016-10-29 23:00:00,,,,,,0.74,19.58,,
2016-10-29 23:00:00,2016-10-30 00:00:00,,,,,,0.73,18.98,,
2016-10-30 00:00:00,2016-10-30 01:00:00,,,,,,0.71,18.68,,
2016-10-30 01:00:00,2016-10-30 02:00:00,,,,,,0.67,18.68,,
2016-10-30 02:00:00,2016-10-30 03:00:00,,,,,,0.65,18.38,,
2016-10-30 03:00:00,2016-10-30 04:00:00,,,,,,0.66,18.05,,
2016-10-30 04:00:00,2016-10-30 05:00:00,,,,,,0.66,17.76,,
2016-10-30 05:00:00,2016-10-30 06:00:00,,,,,,0.67,17.28,,
2016-10-30 06:00:00,2016-10-30 07:00:00,,,,,,0.65,17.08,,
2016-10-30 07:00:00,2016-10-30 08:00:00,,,,,,0.66,17.19,,
2016-10-30 08:00:00,2016-10-30 09:00:00,,,,,,0.68,17.61,,
2016-10-30 09:00:00,2016-10-30 10:00:00,,,,,,0.7,19.68,,
2016-10-30 10:00:00,2016-10-30 11:00:00,,,,,,0.65,24.98,,
2016-10-30 11:00:00,2016-10-30 12:00:00,,,,,,0.6,26.34,,
2016-10-30 12:00:00,2016-10-30 13:00:00,,,,,,0.54,29.28,,
2016-10-30 13:00:00,2016-10-30 14:00:00,,,,,,0.51,29.03,,
2016-10-30 14:00:00,2016-10-30 15:00:00,,,,,,0.49,30.91,,
2016-10-30 15:00:00,2016-10-30 16:00:00,,,,,,0.5,30.16,,
2016-10-30 16:00:00,2016-10-30 17:00:00,,,,,,0.53,27.72,,
2016-10-30 17:00:00,2016-10-30 18:00:00,,,,,,0.53,21.67,,
2016-10-30 18:00:00,2016-10-30 19:00:00,,,,,,0.53,22.87,,
2016-10-30 19:00:00,2016-10-30 20:00:00,,,,,,0.57,22.75,,
2016-10-30 20:00:00,2016-10-30 21:00:00,,,,,,0.6,20.65,,
2016-10-30 21:00:00,2016-10-30 22:00:00,,,,,,0.61,19.29,,
2016-10-30 22:00:00,2016-10-30 23:00:00,,,,,,0.64,18.85,,
2016-10-30 23:00:00,2016-10-31 00:00:00,,,,,,0.68,18.09,,
2016-10-31 00:00:00,2016-10-31 01:00:00,,,,,,0.67,17.71,,
2016-10-31 01:00:00,2016-10-31 02:00:00,,,,,,0.65,17.52,,
2016-10-31 02:00:00,2016-10-31 03:00:00,,,,,,0.62,17.66,,
2016-10-31 03:00:00,2016-10-31 04:00:00,,,,,,0.52,17.49,,
2016-10-31 04:00:00,2016-10-31 05:00:00,,,,,,0.51,17.32,,
2016-10-31 05:00:00,2016-10-31 06:00:00,,,,,,0.51,17.21,,
2016-10-31 06:00:00,2016-10-31 07:00:00,,,,,,0.52,17.03,,
2016-10-31 07:00:00,2016-10-31 08:00:00,,,,,,0.55,16.97,,
2016-10-31 08:00:00,2016-10-31 09:00:00,,,,,,0.6,17.88,,
2016-10-31 09:00:00,2016-10-31 10:00:00,,,,,,0.63,19.95,,
2016-10-31 10:00:00,2016-10-31 11:00:00,,,,,,0.61,22.73,,
2016-10-31 11:00:00,2016-10-31 12:00:00,,,,,,0.59,46.62,,
2016-10-31 12:00:00,2016-10-31 13:00:00,,,,,,0.6,40.94,,
2016-10-31 13:00:00,2016-10-31 14:00:00,,,,,,0.63,34.35,,
2016-10-31 14:00:00,2016-10-31 15:00:00,,,,,,0.68,50.51,,
2016-10-31 15:00:00,2016-10-31 16:00:00,,,,,,0.74,74.96,,
2016-10-31 16:00:00,2016-10-31 17:00:00,,,,,,0.77,68.08,,
2016-10-31 17:00:00,2016-10-31 18:00:00,,,,,,0.79,37.26,,
2016-10-31 18:00:00,2016-10-31 19:00:00,,,,,,0.81,32.55,,
2016-10-31 19:00:00,2016-10-31 20:00:00,,,,,,0.86,26.47,,
2016-10-31 20:00:00,2016-10-31 21:00:00,,,,,,0.92,21.86,,
2016-10-31 21:00:00,2016-10-31 22:00:00,,,,,,1.07,19.17,,
2016-10-31 22:00:00,2016-10-31 23:00:00,,,,,,1.3,18.83,,
2016-10-31 23:00:00,2016-11-01 00:00:00,,,,,,1.39,18.65,,
2016-11-01 00:00:00,2016-11-01 01:00:00,,,,,,1.38,18.47,,
2016-11-01 01:00:00,2016-11-01 02:00:00,,,,,,1.36,18.21,,
2016-11-01 02:00:00,2016-11-01 03:00:00,,,,,,1.3,17.83,,
2016-11-01 03:00:00,2016-11-01 04:00:00,,,,,,1.28,17.61,,
2016-11-01 04:00:00,2016-11-01 05:00:00,,,,,,1.44,17.9,,
2016-11-01 05:00:00,2016-11-01 06:00:00,,,,,,1.57,18.03,,
2016-11-01 06:00:00,2016-11-01 07:00:00,,,,,,1.53,18.16,,
2016-11-01 07:00:00,2016-11-01 08:00:00,,,,,,1.46,18.19,,
2016-11-01 08:00:00,2016-11-01 09:00:00,,,,,,1.41,18.46,,
2016-11-01 09:00:00,2016-11-01 10:00:00,,,,,,1.4,19.77,,
2016-11-01 10:00:00,2016-11-01 11:00:00,,,,,,1.31,36.43,,
2016-11-01 11:00:00,2016-11-01 12:00:00,,,,,,1.09,55.74,,
2016-11-01 12:00:00,2016-11-01 13:00:00,,,,,,0.93,51.94,,
2016-11-01 13:00:00,2016-11-01 14:00:00,,,,,,0.88,50.12,,
2016-11-01 14:00:00,2016-11-01 15:00:00,,,,,,0.91,56.48,,
2016-11-01 15:00:00,2016-11-01 16:00:00,,,,,,0.82,60.72,,
2016-11-01 16:00:00,2016-11-01 17:00:00,,,,,,0.8,60.11,,
2016-11-01 17:00:00,2016-11-01 18:00:00,,,,,,0.86,42.89,,
2016-11-01 18:00:00,2016-11-01 19:00:00,,,,,,0.9,24.22,,
2016-11-01 19:00:00,2016-11-01 20:00:00,,,,,,1.09,21.93,,
2016-11-01 20:00:00,2016-11-01 21:00:00,,,,,,1.33,19.63,,
2016-11-01 21:00:00,2016-11-01 22:00:00,,,,,,1.47,18.31,,
2016-11-01 22:00:00,2016-11-01 23:00:00,,,,,,1.61,17.53,,
2016-11-01 23:00:00,2016-11-02 00:00:00,,,,,,1.72,17.53,,
2016-11-02 00:00:00,2016-11-02 01:00:00,,,,,,1.79,17.37,,
2016-11-02 01:00:00,2016-11-02 02:00:00,,,,,,,,,
2016-11-02 02:00:00,2016-11-02 03:00:00,,,,,,,,,
2016-11-02 03:00:00,2016-11-02 04:00:00,,,,,,,,,
2016-11-02 04:00:00,2016-11-02 05:00:00,,,,,,,,,
2016-11-02 05:00:00,2016-11-02 06:00:00,,,,,,,,,
2016-11-02 06:00:00,2016-11-02 07:00:00,,,,,,,,,
2016-11-02 07:00:00,2016-11-02 08:00:00,,,,,,,,,
2016-11-02 08:00:00,2016-11-02 09:00:00,,,,,,,,,
2016-11-02 09:00:00,2016-11-02 10:00:00,,,,,,,,,
2016-11-02 10:00:00,2016-11-02 11:00:00,,,,,,,,,
2016-11-02 11:00:00,2016-11-02 12:00:00,,,,,,,,,
2016-11-02 12:00:00,2016-11-02 13:00:00,,,,,,4.05,,,
2016-11-02 13:00:00,2016-11-02 14:00:00,,,,,,2.52,33.94,,
2016-11-02 14:00:00,2016-11-02 15:00:00,,,,,,2.06,33.12,,
2016-11-02 15:00:00,2016-11-02 16:00:00,,,,,,2.47,27.37,,
2016-11-02 16:00:00,2016-11-02 17:00:00,,,,,,2.7,24.96,,
2016-11-02 17:00:00,2016-11-02 18:00:00,,,,,,2.74,21.95,,
2016-11-02 18:00:00,2016-11-02 19:00:00,,,,,,2.95,17.71,,
2016-11-02 19:00:00,2016-11-02 20:00:00,,,,,,2.99,17.57,,
2016-11-02 20:00:00,2016-11-02 21:00:00,,,,,,3.07,17.59,,
2016-11-02 21:00:00,2016-11-02 22:00:00,,,,,,3.19,17.51,,
2016-11-02 22:00:00,2016-11-02 23:00:00,,,,,,3.35,17.35,,
2016-11-02 23:00:00,2016-11-03 00:00:00,,,,,,3.41,17.39,,
2016-11-03 00:00:00,2016-11-03 01:00:00,,,,,,3.56,17.33,,
2016-11-03 01:00:00,2016-11-03 02:00:00,,,,,,3.83,17.36,,
2016-11-03 02:00:00,2016-11-03 03:00:00,,,,,,4.01,17.36,,
2016-11-03 03:00:00,2016-11-03 04:00:00,,,,,,4.1,17.31,,
2016-11-03 04:00:00,2016-11-03 05:00:00,,,,,,4.18,17.41,,
2016-11-03 05:00:00,2016-11-03 06:00:00,,,,,,4.21,17.41,,
2016-11-03 06:00:00,2016-11-03 07:00:00,,,,,,4.21,17.4,,
2016-11-03 07:00:00,2016-11-03 08:00:00,,,,,,4.18,17.3,,
2016-11-03 08:00:00,2016-11-03 09:00:00,,,,,,4.21,17.82,,
2016-11-03 09:00:00,2016-11-03 10:00:00,,,,,,4.29,18.79,,
2016-11-03 10:00:00,2016-11-03 11:00:00,,,,,,4.2,29.2,,
2016-11-03 11:00:00,2016-11-03 12:00:00,,,,,,,,,
2016-11-03 12:00:00,2016-11-03 13:00:00,,,,,,,,,
2016-11-03 13:00:00,2016-11-03 14:00:00,,,,,,,,,
2016-11-03 14:00:00,2016-11-03 15:00:00,,,,,,,,,
2016-11-03 15:00:00,2016-11-03 16:00:00,,,,,,,,,
2016-11-03 16:00:00,2016-11-03 17:00:00,,,,,,,,,
2016-11-03 17:00:00,2016-11-03 18:00:00,,,,,,,,,
2016-11-03 18:00:00,2016-11-03 19:00:00,,,,,,,,,
2016-11-03 19:00:00,2016-11-03 20:00:00,,,,,,,,,
2016-11-03 20:00:00,2016-11-03 21:00:00,,,,,,,,,
2016-11-03 21:00:00,2016-11-03 22:00:00,,,,,,,,,
2016-11-03 22:00:00,2016-11-03 23:00:00,,,,,,,,,
2016-11-03 23:00:00,2016-11-04 00:00:00,,,,,,,,,
2016-11-04 00:00:00,2016-11-04 01:00:00,,,,,,,,,
2016-11-04 01:00:00,2016-11-04 02:00:00,,,,,,,,,
2016-11-04 02:00:00,2016-11-04 03:00:00,,,,,,,,,
2016-11-04 03:00:00,2016-11-04 04:00:00,,,,,,,,,
2016-11-04 04:00:00,2016-11-04 05:00:00,,,,,,,,,
2016-11-04 05:00:00,2016-11-04 06:00:00,,,,,,,,,
2016-11-04 06:00:00,2016-11-04 07:00:00,,,,,,,,,
2016-11-04 07:00:00,2016-11-04 08:00:00,,,,,,,,,
2016-11-04 08:00:00,2016-11-04 09:00:00,,,,,,,,,
2016-11-04 09:00:00,2016-11-04 10:00:00,,,,,,,,,
2016-11-04 10:00:00,2016-11-04 11:00:00,,,,,,,,,
2016-11-04 11:00:00,2016-11-04 12:00:00,,,,,,4.07,60.26,,
2016-11-04 12:00:00,2016-11-04 13:00:00,,,,,,3.38,59.08,,
2016-11-04 13:00:00,2016-11-04 14:00:00,,,,,,2.67,54.93,,
2016-11-04 14:00:00,2016-11-04 15:00:00,,,,,,2.55,46.6,,
2016-11-04 15:00:00,2016-11-04 16:00:00,,,,,,2.78,48.0,,
2016-11-04 16:00:00,2016-11-04 17:00:00,,,,,,2.87,43.79,,
2016-11-04 17:00:00,2016-11-04 18:00:00,,,,,,3.06,27.75,,
2016-11-04 18:00:00,2016-11-04 19:00:00,,,,,,2.84,19.42,,
2016-11-04 19:00:00,2016-11-04 20:00:00,,,,,,2.63,18.55,,
2016-11-04 20:00:00,2016-11-04 21:00:00,,,,,,2.81,18.11,,
2016-11-04 21:00:00,2016-11-04 22:00:00,,,,,,3.39,18.08,,
2016-11-04 22:00:00,2016-11-04 23:00:00,,,,,,3.85,18.07,,
2016-11-04 23:00:00,2016-11-05 00:00:00,,,,,,4.01,18.25,,
2016-11-05 00:00:00,2016-11-05 01:00:00,,,,,,4.08,18.13,,
2016-11-05 01:00:00,2016-11-05 02:00:00,,,,,,4.34,18.25,,
2016-11-05 02:00:00,2016-11-05 03:00:00,,,,,,4.38,18.19,,
2016-11-05 03:00:00,2016-11-05 04:00:00,,,,,,4.39,18.22,,
2016-11-05 04:00:00,2016-11-05 05:00:00,,,,,,4.38,18.22,,
2016-11-05 05:00:00,2016-11-05 06:00:00,,,,,,4.35,18.37,,
2016-11-05 06:00:00,2016-11-05 07:00:00,,,,,,4.34,18.24,,
2016-11-05 07:00:00,2016-11-05 08:00:00,,,,,,4.34,18.12,,
2016-11-05 08:00:00,2016-11-05 09:00:00,,,,,,4.37,18.39,,
2016-11-05 09:00:00,2016-11-05 10:00:00,,,,,,4.44,18.8,,
2016-11-05 10:00:00,2016-11-05 11:00:00,,,,,,4.47,19.12,,
2016-11-05 11:00:00,2016-11-05 12:00:00,,,,,,4.58,23.41,,
2016-11-05 12:00:00,2016-11-05 13:00:00,,,,,,4.63,29.25,,
2016-11-05 13:00:00,2016-11-05 14:00:00,,,,,,4.47,33.79,,
2016-11-05 14:00:00,2016-11-05 15:00:00,,,,,,4.24,38.85,,
2016-11-05 15:00:00,2016-11-05 16:00:00,,,,,,4.17,31.19,,
2016-11-05 16:00:00,2016-11-05 17:00:00,,,,,,4.17,24.21,,
2016-11-05 17:00:00,2016-11-05 18:00:00,,,,,,4.15,21.17,,
2016-11-05 18:00:00,2016-11-05 19:00:00,,,,,,4.24,20.24,,
2016-11-05 19:00:00,2016-11-05 20:00:00,,,,,,4.44,19.33,,
2016-11-05 20:00:00,2016-11-05 21:00:00,,,,,,4.8,18.75,,
2016-11-05 21:00:00,2016-11-05 22:00:00,,,,,,5.03,18.58,,
2016-11-05 22:00:00,2016-11-05 23:00:00,,,,,,5.12,18.45,,
2016-11-05 23:00:00,2016-11-06 00:00:00,,,,,,5.16,18.52,,
2016-11-06 00:00:00,2016-11-06 01:00:00,,,,,,5.2,18.37,,
2016-11-06 01:00:00,2016-11-06 02:00:00,,,,,,5.16,18.46,,
2016-11-06 02:00:00,2016-11-06 03:00:00,,,,,,5.14,18.49,,
2016-11-06 03:00:00,2016-11-06 04:00:00,,,,,,5.15,18.53,,
2016-11-06 04:00:00,2016-11-06 05:00:00,,,,,,5.09,18.38,,
2016-11-06 05:00:00,2016-11-06 06:00:00,,,,,,5.08,18.54,,
2016-11-06 06:00:00,2016-11-06 07:00:00,,,,,,5.04,18.31,,
2016-11-06 07:00:00,2016-11-06 08:00:00,,,,,,4.92,18.06,,
2016-11-06 08:00:00,2016-11-06 09:00:00,,,,,,4.82,18.4,,
2016-11-06 09:00:00,2016-11-06 10:00:00,,,,,,4.83,18.77,,
2016-11-06 10:00:00,2016-11-06 11:00:00,,,,,,4.95,19.79,,
2016-11-06 11:00:00,2016-11-06 12:00:00,,,,,,5.1,22.56,,
2016-11-06 12:00:00,2016-11-06 13:00:00,,,,,,5.14,28.84,,
2016-11-06 13:00:00,2016-11-06 14:00:00,,,,,,4.69,33.84,,
2016-11-06 14:00:00,2016-11-06 15:00:00,,,,,,4.52,31.61,,
2016-11-06 15:00:00,2016-11-06 16:00:00,,,,,,4.35,15.36,,
2016-11-06 16:00:00,2016-11-06 17:00:00,,,,,,,,,
2016-11-06 17:00:00,2016-11-06 18:00:00,,,,,,,,,
2016-11-06 18:00:00,2016-11-06 19:00:00,,,,,,,,,
2016-11-06 19:00:00,2016-11-06 20:00:00,,,,,,,,,
2016-11-06 20:00:00,2016-11-06 21:00:00,,,,,,,,,
2016-11-06 21:00:00,2016-11-06 22:00:00,,,,,,,,,
2016-11-06 22:00:00,2016-11-06 23:00:00,,,,,,,,,
2016-11-06 23:00:00,2016-11-07 00:00:00,,,,,,,,,
2016-11-07 00:00:00,2016-11-07 01:00:00,,,,,,,,,
2016-11-07 01:00:00,2016-11-07 02:00:00,,,,,,,,,
2016-11-07 02:00:00,2016-11-07 03:00:00,,,,,,,,,
2016-11-07 03:00:00,2016-11-07 04:00:00,,,,,,,,,
2016-11-07 04:00:00,2016-11-07 05:00:00,,,,,,,,,
2016-11-07 05:00:00,2016-11-07 06:00:00,,,,,,,,,
2016-11-07 06:00:00,2016-11-07 07:00:00,,,,,,,,,
2016-11-07 07:00:00,2016-11-07 08:00:00,,,,,,,,,
2016-11-07 08:00:00,2016-11-07 09:00:00,,,,,,,,,
2016-11-07 09:00:00,2016-11-07 10:00:00,,,,,,,,,
2016-11-07 10:00:00,2016-11-07 11:00:00,,,,,,,,,
2016-11-07 11:00:00,2016-11-07 12:00:00,,,,,,,,,
2016-11-07 12:00:00,2016-11-07 13:00:00,,,,,,,,,
2016-11-07 13:00:00,2016-11-07 14:00:00,,,,,,,,,
2016-11-07 14:00:00,2016-11-07 15:00:00,,,,,,,,,
2016-11-07 15:00:00,2016-11-07 16:00:00,,,,,,,,,
2016-11-07 16:00:00,2016-11-07 17:00:00,,,,,,,,,
2016-11-07 17:00:00,2016-11-07 18:00:00,,,,,,4.31,14.93,,
2016-11-07 18:00:00,2016-11-07 19:00:00,,,,,,4.16,20.05,,
2016-11-07 19:00:00,2016-11-07 20:00:00,,,,,,4.2,18.46,,
2016-11-07 20:00:00,2016-11-07 21:00:00,,,,,,4.4,18.66,,
2016-11-07 21:00:00,2016-11-07 22:00:00,,,,,,4.54,19.03,,
2016-11-07 22:00:00,2016-11-07 23:00:00,,,,,,4.6,20.8,,
2016-11-07 23:00:00,2016-11-08 00:00:00,,,,,,4.71,23.15,,
2016-11-08 00:00:00,2016-11-08 01:00:00,,,,,,4.72,22.99,,
2016-11-08 01:00:00,2016-11-08 02:00:00,,,,,,4.75,23.92,,
2016-11-08 02:00:00,2016-11-08 03:00:00,,,,,,4.78,23.96,,
2016-11-08 03:00:00,2016-11-08 04:00:00,,,,,,4.83,24.97,,
2016-11-08 04:00:00,2016-11-08 05:00:00,,,,,,4.85,23.38,,
2016-11-08 05:00:00,2016-11-08 06:00:00,,,,,,4.77,22.98,,
2016-11-08 06:00:00,2016-11-08 07:00:00,,,,,,4.73,20.04,,
2016-11-08 07:00:00,2016-11-08 08:00:00,,,,,,4.75,19.65,,
2016-11-08 08:00:00,2016-11-08 09:00:00,,,,,,4.78,21.47,,
2016-11-08 09:00:00,2016-11-08 10:00:00,,,,,,4.73,25.69,,
2016-11-08 10:00:00,2016-11-08 11:00:00,,,,,,4.66,39.68,,
2016-11-08 11:00:00,2016-11-08 12:00:00,,,,,,4.62,35.16,,
2016-11-08 12:00:00,2016-11-08 13:00:00,,,,,,4.56,49.41,,
2016-11-08 13:00:00,2016-11-08 14:00:00,,,,,,4.45,46.92,,
2016-11-08 14:00:00,2016-11-08 15:00:00,,,,,,,,,
2016-11-08 15:00:00,2016-11-08 16:00:00,,,,,,4.45,48.01,,
2016-11-08 16:00:00,2016-11-08 17:00:00,,,,,,4.59,21.04,,
2016-11-08 17:00:00,2016-11-08 18:00:00,,,,,,4.59,26.67,,
2016-11-08 18:00:00,2016-11-08 19:00:00,,,,,,4.64,25.32,,
