From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),Xylene (ug/m3),AT (degree C)
2020-12-20 00:00:00,2020-12-20 01:00:00,59.0,,4.71,19.64,24.36,5.51,18.24,0.93,5.31,,,,,,62.36,0.28,0.98,,21.03
2020-12-20 01:00:00,2020-12-20 02:00:00,56.62,,5.46,17.16,22.61,5.45,18.83,0.83,5.44,,,,,,63.1,0.28,0.93,,20.44
2020-12-20 02:00:00,2020-12-20 03:00:00,53.0,,6.0,16.29,22.27,5.05,18.77,0.75,5.57,,,,,,61.45,0.28,1.04,,20.33
2020-12-20 03:00:00,2020-12-20 04:00:00,52.61,,6.48,15.04,21.52,5.9,21.72,0.76,5.73,,,,,,66.23,0.28,0.93,,19.02
2020-12-20 04:00:00,2020-12-20 05:00:00,51.8,,8.03,12.06,20.09,6.35,21.75,0.7,5.34,,,,,,69.73,0.28,0.97,,18.51
2020-12-20 05:00:00,2020-12-20 06:00:00,56.18,,9.77,10.69,20.46,6.39,21.56,0.66,5.62,,,,,,71.98,0.29,1.22,,17.88
2020-12-20 06:00:00,2020-12-20 07:00:00,60.2,,11.62,11.05,22.66,5.89,21.46,0.68,5.02,,,,,,72.16,0.29,1.14,,17.22
2020-12-20 07:00:00,2020-12-20 08:00:00,64.56,,12.34,12.39,24.73,5.72,19.95,0.7,5.12,,,,,,70.03,0.3,1.23,,17.87
2020-12-20 08:00:00,2020-12-20 09:00:00,72.6,,11.09,15.43,26.53,5.23,17.62,0.69,5.15,,,,,,61.88,0.31,1.17,,19.07
2020-12-20 09:00:00,2020-12-20 10:00:00,70.02,,7.12,18.51,25.62,4.92,17.4,0.68,5.0,,,,,,53.51,0.32,1.48,,21.3
2020-12-20 10:00:00,2020-12-20 11:00:00,65.33,,3.8,18.72,22.53,4.75,16.85,0.66,5.18,,,,,,46.51,0.32,1.61,,22.98
2020-12-20 11:00:00,2020-12-20 12:00:00,59.22,,3.03,16.33,19.35,5.49,19.13,0.67,5.14,,,,,,42.65,0.32,1.41,,25.16
2020-12-20 12:00:00,2020-12-20 13:00:00,56.59,,3.2,14.95,18.16,6.22,21.55,0.73,5.0,,,,,,39.11,0.32,1.56,,25.58
2020-12-20 13:00:00,2020-12-20 14:00:00,59.8,,4.07,14.46,18.53,6.4,20.8,0.76,5.38,,,,,,38.03,0.32,1.3,,26.89
2020-12-20 14:00:00,2020-12-20 15:00:00,57.42,,4.06,17.15,21.21,6.11,20.73,0.78,5.12,,,,,,35.33,0.31,1.33,,27.23
2020-12-20 15:00:00,2020-12-20 16:00:00,52.8,,3.88,17.26,21.13,6.79,21.75,0.78,5.06,,,,,,32.9,0.31,1.32,,26.74
2020-12-20 16:00:00,2020-12-20 17:00:00,51.62,,4.14,19.18,23.33,7.17,20.42,0.75,5.39,,,,,,33.14,0.3,1.38,,26.4
2020-12-20 17:00:00,2020-12-20 18:00:00,52.77,,4.85,21.01,25.85,6.39,19.26,0.74,5.17,,,,,,35.41,0.29,1.18,,26.11
2020-12-20 18:00:00,2020-12-20 19:00:00,60.18,,4.94,23.42,28.35,5.48,17.97,0.84,4.89,,,,,,41.85,0.27,0.91,,24.0
2020-12-20 19:00:00,2020-12-20 20:00:00,77.71,,6.14,26.17,32.31,5.19,17.83,1.09,4.71,,,,,,45.02,0.27,0.94,,23.4
2020-12-20 20:00:00,2020-12-20 21:00:00,91.8,,8.43,24.65,33.09,5.92,20.88,1.25,4.95,,,,,,50.06,0.28,1.09,,22.77
2020-12-20 21:00:00,2020-12-20 22:00:00,81.6,,7.81,21.69,29.51,6.18,20.73,1.25,5.97,,,,,,54.25,0.3,1.12,,22.03
2020-12-20 22:00:00,2020-12-20 23:00:00,74.29,,8.36,19.2,27.55,6.21,20.66,1.19,5.39,,,,,,58.07,0.29,1.07,,21.33
2020-12-20 23:00:00,2020-12-21 00:00:00,69.81,,7.35,19.07,26.42,6.03,20.92,1.12,5.45,,,,,,60.72,0.29,1.15,,20.92
2020-12-21 00:00:00,2020-12-21 01:00:00,68.0,,6.88,19.5,26.38,5.79,19.36,1.0,4.82,,,,,,62.52,0.28,1.08,,20.71
2020-12-21 01:00:00,2020-12-21 02:00:00,69.19,,5.8,21.46,27.26,4.33,17.37,0.86,4.98,,,,,,64.7,0.28,0.98,,19.81
2020-12-21 02:00:00,2020-12-21 03:00:00,67.4,,4.84,21.02,25.87,4.3,17.91,0.78,4.89,,,,,,65.3,0.28,0.91,,19.63
2020-12-21 03:00:00,2020-12-21 04:00:00,60.81,,4.44,19.19,23.63,4.98,17.93,0.72,4.73,,,,,,68.19,0.28,0.89,,19.14
2020-12-21 04:00:00,2020-12-21 05:00:00,64.83,,5.36,16.68,22.04,5.55,19.77,0.72,4.99,,,,,,72.0,0.28,0.94,,18.09
2020-12-21 05:00:00,2020-12-21 06:00:00,67.22,,7.25,13.59,20.84,5.83,20.65,0.73,4.71,,,,,,78.87,0.27,0.93,,17.54
2020-12-21 06:00:00,2020-12-21 07:00:00,65.8,,9.23,11.31,20.55,5.59,20.54,0.73,4.95,,,,,,81.08,0.27,0.86,,17.0
2020-12-21 07:00:00,2020-12-21 08:00:00,74.0,,10.68,10.72,21.4,5.45,20.41,0.76,4.89,,,,,,74.86,0.27,1.01,,17.82
2020-12-21 08:00:00,2020-12-21 09:00:00,77.22,,11.63,11.71,23.36,6.22,19.83,0.78,4.87,,,,,,53.0,0.29,1.05,,20.42
2020-12-21 09:00:00,2020-12-21 10:00:00,74.59,,8.57,19.06,27.62,5.03,16.69,0.77,5.02,,,,,,40.32,0.3,1.18,,21.74
2020-12-21 10:00:00,2020-12-21 11:00:00,67.47,,4.81,22.32,27.13,4.63,16.38,0.73,4.88,,,,,,34.7,0.32,1.62,,23.49
2020-12-21 11:00:00,2020-12-21 12:00:00,51.41,,3.28,21.73,25.01,4.57,16.56,0.74,4.89,,,,,,32.93,0.31,1.5,,24.6
2020-12-21 12:00:00,2020-12-21 13:00:00,49.0,,4.42,10.91,15.33,3.39,21.59,0.48,5.29,,,,,,29.64,0.31,1.47,,25.91
2020-12-21 13:00:00,2020-12-21 14:00:00,39.0,,2.9,16.23,19.14,5.47,20.03,0.63,4.82,,,,,,27.8,0.3,1.25,,27.16
2020-12-21 14:00:00,2020-12-21 15:00:00,39.6,,2.9,17.09,20.0,5.48,19.69,0.64,4.92,,,,,,26.58,0.31,1.33,,26.68
2020-12-21 15:00:00,2020-12-21 16:00:00,40.41,,3.02,17.54,20.56,5.82,20.25,0.67,5.05,,,,,,24.23,0.29,1.16,,27.22
2020-12-21 16:00:00,2020-12-21 17:00:00,41.97,,3.62,19.54,23.16,5.82,20.35,0.72,5.0,,,,,,25.07,0.3,1.2,,26.96
2020-12-21 17:00:00,2020-12-21 18:00:00,48.98,,4.72,22.11,26.84,6.32,19.5,0.71,4.99,,,,,,25.5,0.28,0.99,,26.18
2020-12-21 18:00:00,2020-12-21 19:00:00,,,,,,,,,,,,,,,,,,,
2020-12-21 19:00:00,2020-12-21 20:00:00,,,,,,,,,,,,,,,,,,,
2020-12-21 20:00:00,2020-12-21 21:00:00,,,,,,,,,,,,,,,,,,,
2020-12-21 21:00:00,2020-12-21 22:00:00,,,,,,,,,,,,,,,,,,,
2020-12-21 22:00:00,2020-12-21 23:00:00,,,,,,,,,,,,,,,,,,,
2020-12-21 23:00:00,2020-12-22 00:00:00,,,,,,,,,,,,,,,,,,,
2020-12-22 00:00:00,2020-12-22 01:00:00,,,,,,,,,,,,,,,,,,,
2020-12-22 01:00:00,2020-12-22 02:00:00,,,,,,,,,,,,,,,,,,,
2020-12-22 02:00:00,2020-12-22 03:00:00,,,,,,,,,,,,,,,,,,,
2020-12-22 03:00:00,2020-12-22 04:00:00,,,,,,,,,,,,,,,,,,,
2020-12-22 04:00:00,2020-12-22 05:00:00,,,,,,,,,,,,,,,,,,,
2020-12-22 05:00:00,2020-12-22 06:00:00,,,,,,,,,,,,,,,,,,,
2020-12-22 06:00:00,2020-12-22 07:00:00,,,,,,,,,,,,,,,,,,,
2020-12-22 07:00:00,2020-12-22 08:00:00,,,,,,,,,,,,,,,,,,,
2020-12-22 08:00:00,2020-12-22 09:00:00,,,,,,,,,,,,,,,,,,,
2020-12-22 09:00:00,2020-12-22 10:00:00,,,,,,,,,,,,,,,,,,,
2020-12-22 10:00:00,2020-12-22 11:00:00,,,,,,,,,,,,,,,,,,,
2020-12-22 11:00:00,2020-12-22 12:00:00,,,,,,,,,,,,,,,,,,,
2020-12-22 12:00:00,2020-12-22 13:00:00,,,2.17,20.79,22.96,4.62,16.88,0.72,5.39,,,,,,29.9,0.29,1.39,,26.97
2020-12-22 13:00:00,2020-12-22 14:00:00,,,2.28,17.65,19.93,4.9,17.51,0.74,5.1,,,,,,28.09,0.29,1.26,,27.0
2020-12-22 14:00:00,2020-12-22 15:00:00,,,2.47,15.39,17.86,5.04,20.46,0.76,4.93,,,,,,27.05,0.29,1.15,,27.34
2020-12-22 15:00:00,2020-12-22 16:00:00,,,2.25,13.91,16.16,5.72,20.55,0.76,4.87,,,,,,25.86,0.3,1.24,,27.16
2020-12-22 16:00:00,2020-12-22 17:00:00,,,2.49,14.11,16.6,5.43,20.8,0.75,5.17,,,,,,25.29,0.29,1.05,,26.8
2020-12-22 17:00:00,2020-12-22 18:00:00,,,2.87,15.61,18.48,5.56,19.82,0.81,5.08,,,,,,29.85,0.27,1.0,,25.55
2020-12-22 18:00:00,2020-12-22 19:00:00,,,,,,,,,,,,,,,,,,,
2020-12-22 19:00:00,2020-12-22 20:00:00,,,3.2,52.71,55.88,4.65,31.36,1.58,5.34,,,,,,39.13,0.28,1.03,,22.42
2020-12-22 20:00:00,2020-12-22 21:00:00,73.0,208.0,2.86,54.87,56.23,4.71,17.04,1.58,5.16,,,,,,41.48,0.27,0.87,,22.37
2020-12-22 21:00:00,2020-12-22 22:00:00,69.03,213.19,5.88,42.69,48.57,4.04,16.6,1.58,5.32,,,,,,46.17,0.28,1.02,,21.54
2020-12-22 22:00:00,2020-12-22 23:00:00,57.04,229.0,7.81,33.74,41.55,4.69,20.33,1.52,5.26,,,,,,53.37,0.28,1.02,,20.78
2020-12-22 23:00:00,2020-12-23 00:00:00,47.2,,10.39,24.84,35.23,5.27,21.72,1.42,5.25,,,,,,58.81,0.28,1.0,,19.79
2020-12-23 00:00:00,2020-12-23 01:00:00,46.8,,11.71,19.76,31.48,5.51,21.73,1.29,5.03,,,,,,63.7,0.29,1.11,,19.23
2020-12-23 01:00:00,2020-12-23 02:00:00,46.81,,11.69,16.75,28.44,5.25,21.42,1.16,5.09,,,,,,67.31,0.28,0.99,,17.92
2020-12-23 02:00:00,2020-12-23 03:00:00,44.47,,11.73,15.52,27.24,5.32,20.72,0.99,4.98,,,,,,68.15,0.28,1.09,,17.89
2020-12-23 03:00:00,2020-12-23 04:00:00,44.0,,9.26,16.86,26.12,4.31,18.45,0.79,4.8,,,,,,70.46,0.28,0.9,,17.79
2020-12-23 04:00:00,2020-12-23 05:00:00,44.4,,7.78,17.11,24.9,4.73,18.8,0.75,5.43,,,,,,71.25,0.28,0.94,,17.64
2020-12-23 05:00:00,2020-12-23 06:00:00,48.6,,7.17,15.23,22.42,5.33,18.68,0.71,5.28,,,,,,77.88,0.27,0.68,,16.46
2020-12-23 06:00:00,2020-12-23 07:00:00,59.6,,9.06,13.78,22.85,5.36,19.67,0.73,5.37,,,,,,81.64,0.27,0.64,,15.57
2020-12-23 07:00:00,2020-12-23 08:00:00,69.2,,12.24,11.14,23.39,5.72,21.39,0.84,5.33,,,,,,78.34,0.27,0.84,,16.82
2020-12-23 08:00:00,2020-12-23 09:00:00,67.0,,12.56,12.11,24.66,5.39,20.96,0.85,5.09,,,,,,66.09,0.28,1.08,,19.77
2020-12-23 09:00:00,2020-12-23 10:00:00,58.22,,10.24,17.34,27.57,5.25,20.77,0.84,4.88,,,,,,58.51,0.3,1.34,,20.19
2020-12-23 10:00:00,2020-12-23 11:00:00,61.95,,3.53,28.57,32.11,5.28,20.47,0.9,5.31,,,,,,49.38,0.29,1.16,,23.19
2020-12-23 11:00:00,2020-12-23 12:00:00,68.44,,4.99,26.35,31.34,4.93,18.96,0.89,5.07,,,,,,39.66,0.29,1.01,,24.8
2020-12-23 12:00:00,2020-12-23 13:00:00,56.42,,4.54,28.1,32.64,5.72,19.66,0.91,4.92,,,,,,37.02,0.28,1.27,,25.85
2020-12-23 13:00:00,2020-12-23 14:00:00,51.0,121.0,2.85,39.5,42.35,7.69,21.96,1.19,4.95,,,,,,34.75,0.29,1.1,,26.49
2020-12-23 14:00:00,2020-12-23 15:00:00,50.6,121.99,3.3,34.08,37.38,10.11,22.92,1.28,4.69,,,,,,28.71,0.29,1.24,,26.96
