From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),RF (mm),Xylene (ug/m3)
2022-10-27 04:00:00,2022-10-27 05:00:00,64.0,135.25,0.1,14.97,7.9,0.4,9.8,0.21,57.35,0.62,15.18,0.75,,59.25,0.65,170.5,11.25,24.02,0.0,0.28
2022-10-27 05:00:00,2022-10-27 06:00:00,72.0,131.0,0.13,15.7,8.4,0.3,16.5,0.23,39.62,0.8,16.4,1.2,0.03,66.75,0.6,307.5,11.5,23.35,0.0,0.5
2022-10-27 06:00:00,2022-10-27 07:00:00,53.0,141.5,0.5,16.8,9.35,0.1,18.65,0.27,37.33,0.8,16.6,1.12,,69.0,0.55,303.5,25.25,23.18,0.0,0.53
2022-10-27 07:00:00,2022-10-27 08:00:00,54.0,149.0,1.5,18.57,11.07,0.1,9.0,0.37,42.55,1.02,17.27,1.75,0.08,63.25,0.6,303.0,93.25,23.73,0.0,0.8
2022-10-27 08:00:00,2022-10-27 09:00:00,60.75,165.5,1.5,17.1,10.3,0.17,6.78,0.38,67.1,1.15,18.52,1.7,0.08,50.0,0.62,298.25,190.0,25.08,0.0,0.95
2022-10-27 09:00:00,2022-10-27 10:00:00,59.0,179.0,2.05,20.57,12.6,0.13,6.15,0.48,74.9,1.03,34.3,1.9,0.05,43.25,0.7,305.5,276.25,26.55,0.0,0.8
2022-10-27 10:00:00,2022-10-27 11:00:00,49.5,165.75,1.98,19.2,11.82,0.2,7.45,0.45,72.33,0.73,54.23,1.57,0.05,35.75,1.05,330.5,338.25,27.45,0.0,0.65
2022-10-27 11:00:00,2022-10-27 12:00:00,31.5,164.5,2.0,17.3,10.8,35.33,4.5,0.51,80.88,0.88,38.85,2.73,0.15,32.5,1.4,252.25,365.0,27.9,0.0,1.02
2022-10-27 12:00:00,2022-10-27 13:00:00,28.0,179.75,1.8,15.33,9.6,39.27,4.42,0.48,85.25,0.78,19.62,1.43,0.88,29.75,1.57,13.75,351.75,28.38,0.0,1.15
2022-10-27 13:00:00,2022-10-27 14:00:00,30.0,193.0,1.62,15.67,9.65,39.27,4.33,0.49,95.43,0.7,27.5,1.65,0.08,29.5,1.52,183.75,303.5,28.75,0.0,1.0
2022-10-27 14:00:00,2022-10-27 15:00:00,35.25,192.5,1.72,16.82,10.38,37.17,4.0,0.57,100.7,0.8,31.18,2.15,0.1,25.0,1.48,48.75,218.0,29.18,0.0,1.1
2022-10-27 15:00:00,2022-10-27 16:00:00,35.0,222.5,1.9,18.98,11.62,37.23,3.52,0.64,92.72,0.88,19.05,1.62,0.15,22.25,1.48,61.25,122.5,29.2,0.0,1.3
2022-10-27 16:00:00,2022-10-27 17:00:00,34.25,268.5,2.6,30.45,18.32,36.78,4.28,0.89,87.93,1.17,20.02,2.5,0.15,25.0,1.15,50.0,35.75,28.85,0.0,1.73
2022-10-27 17:00:00,2022-10-27 18:00:00,39.25,277.25,4.45,49.85,30.12,35.27,5.3,1.6,63.98,2.17,24.45,2.27,0.35,29.25,0.75,39.0,14.25,27.95,0.0,3.2
2022-10-27 18:00:00,2022-10-27 19:00:00,58.5,368.5,20.88,86.12,62.8,29.23,9.02,3.36,20.75,4.22,38.55,4.9,0.9,32.5,0.4,46.5,12.0,27.27,0.0,6.67
2022-10-27 19:00:00,2022-10-27 20:00:00,118.5,466.5,60.17,92.35,98.08,22.28,13.28,4.69,1.33,9.15,63.17,15.12,1.88,45.0,0.35,304.0,11.5,26.4,0.0,13.27
2022-10-27 20:00:00,2022-10-27 21:00:00,188.5,619.25,35.2,68.35,64.98,25.75,71.57,2.92,1.27,8.5,60.72,20.7,1.88,53.75,0.5,317.25,11.5,25.55,0.0,13.22
2022-10-27 21:00:00,2022-10-27 22:00:00,186.5,514.25,15.57,59.65,44.38,29.35,59.7,2.04,3.62,4.38,39.82,8.02,0.98,54.75,0.47,307.5,11.0,25.12,0.0,7.03
2022-10-27 22:00:00,2022-10-27 23:00:00,154.25,412.75,6.53,57.08,35.7,21.8,78.6,1.46,9.75,2.88,31.65,10.05,0.65,54.5,0.32,279.25,11.0,24.93,0.0,4.95
2022-10-27 23:00:00,2022-10-28 00:00:00,126.0,380.75,6.05,42.03,27.25,3.9,83.0,0.91,8.55,2.9,31.08,9.9,0.6,60.25,0.6,303.5,11.0,24.38,0.0,4.6
2022-10-28 00:00:00,2022-10-28 01:00:00,111.5,266.5,1.2,34.8,19.5,0.37,38.62,0.36,19.77,1.73,22.55,3.62,0.22,59.5,0.8,295.5,11.0,24.12,0.0,2.1
2022-10-28 01:00:00,2022-10-28 02:00:00,76.25,191.75,0.5,24.85,13.43,0.17,85.38,0.17,54.22,1.1,19.1,2.55,0.05,54.5,0.98,297.25,11.0,24.25,0.0,1.03
2022-10-28 02:00:00,2022-10-28 03:00:00,56.5,141.5,,19.4,10.27,0.15,85.8,0.11,63.17,0.78,17.12,1.67,,53.5,0.85,299.5,11.0,24.32,0.0,0.62
2022-10-28 03:00:00,2022-10-28 04:00:00,49.25,116.25,0.2,17.93,9.68,0.2,80.92,0.09,60.22,0.7,16.77,1.45,,55.25,0.75,306.0,11.0,24.17,0.0,0.53
2022-10-28 04:00:00,2022-10-28 05:00:00,47.5,112.0,0.1,19.0,10.15,0.15,49.7,0.1,42.68,0.75,16.92,1.58,,59.25,0.75,300.0,11.0,23.77,0.0,0.6
2022-10-28 05:00:00,2022-10-28 06:00:00,50.5,135.5,0.25,19.05,10.35,,13.75,0.1,33.8,0.83,17.3,1.88,0.03,63.25,0.68,305.75,11.25,23.45,0.0,0.72
2022-10-28 06:00:00,2022-10-28 07:00:00,53.0,158.75,0.9,20.9,11.68,,10.7,0.19,40.92,0.83,16.8,1.88,0.05,62.75,0.72,310.5,24.25,23.4,0.0,0.7
2022-10-28 07:00:00,2022-10-28 08:00:00,54.0,185.25,3.12,30.38,18.67,,11.88,0.38,38.95,1.27,17.9,2.65,0.1,59.0,0.5,297.25,87.0,24.05,0.0,1.12
2022-10-28 08:00:00,2022-10-28 09:00:00,72.25,232.5,3.4,32.02,19.8,0.1,28.7,0.58,56.6,1.42,19.45,2.88,0.12,48.0,0.38,223.25,179.5,25.75,0.0,1.0
2022-10-28 09:00:00,2022-10-28 10:00:00,76.5,311.5,3.45,26.2,16.72,0.2,14.25,0.71,74.27,1.88,37.53,2.8,0.2,44.0,1.0,71.25,264.5,26.82,0.0,2.08
2022-10-28 10:00:00,2022-10-28 11:00:00,66.5,272.5,2.1,21.5,13.15,37.12,9.0,0.58,78.9,1.2,36.88,2.85,0.1,43.5,0.88,68.75,325.75,27.2,0.0,1.05
2022-10-28 11:00:00,2022-10-28 12:00:00,48.0,260.25,1.75,23.35,13.85,40.02,8.45,0.65,85.68,1.5,22.98,2.17,0.75,37.75,0.7,110.25,351.25,28.0,0.0,0.9
2022-10-28 12:00:00,2022-10-28 13:00:00,43.0,235.5,1.13,22.2,12.77,36.88,7.0,0.62,101.3,1.43,35.7,2.55,0.2,31.75,0.7,220.25,341.75,28.75,0.0,1.78
2022-10-28 13:00:00,2022-10-28 14:00:00,40.75,191.25,1.25,19.5,11.38,33.1,6.15,0.48,100.6,0.95,44.2,2.78,0.1,28.0,0.85,313.0,294.75,29.18,0.0,1.3
2022-10-28 14:00:00,2022-10-28 15:00:00,33.75,178.25,1.45,18.07,10.85,28.77,5.2,0.48,101.95,0.65,40.45,2.22,0.08,25.0,1.23,30.75,218.75,29.3,0.0,0.9
2022-10-28 15:00:00,2022-10-28 16:00:00,31.25,206.5,1.75,21.9,13.07,25.27,6.32,0.68,109.53,1.0,35.4,3.7,0.15,24.0,1.18,81.75,120.0,29.17,0.0,1.77
2022-10-28 16:00:00,2022-10-28 17:00:00,38.5,272.0,2.23,41.33,23.78,25.0,7.47,1.13,95.53,1.47,28.42,4.25,0.28,25.5,0.85,76.0,38.75,28.98,0.0,2.57
2022-10-28 17:00:00,2022-10-28 18:00:00,57.25,328.75,10.02,83.78,52.7,29.33,8.77,2.45,46.23,2.52,31.9,7.7,0.53,33.0,0.52,115.25,14.5,27.97,0.0,4.25
2022-10-28 18:00:00,2022-10-28 19:00:00,80.75,437.25,38.45,113.72,91.8,42.12,11.88,4.14,1.72,7.9,60.33,26.5,1.7,43.0,0.35,315.25,12.0,27.2,0.0,11.53
2022-10-28 19:00:00,2022-10-28 20:00:00,143.5,585.0,33.65,79.03,69.38,60.8,96.88,3.38,2.23,9.62,68.12,30.58,1.95,54.5,0.42,310.0,11.5,26.25,0.0,12.75
2022-10-28 20:00:00,2022-10-28 21:00:00,179.0,533.75,36.15,66.3,64.65,63.45,55.88,3.18,1.25,6.17,54.1,20.23,1.3,58.0,0.4,299.5,11.25,25.88,0.0,8.75
2022-10-28 21:00:00,2022-10-28 22:00:00,155.25,538.0,29.43,60.95,56.32,72.12,48.7,2.73,0.85,6.35,52.9,23.4,1.43,58.75,0.47,315.5,11.5,25.6,0.0,10.1
2022-10-28 22:00:00,2022-10-28 23:00:00,143.75,483.0,9.97,53.5,36.58,68.35,96.32,1.62,4.6,4.8,43.62,15.4,1.0,58.75,0.38,241.25,11.25,25.25,0.0,6.9
2022-10-28 23:00:00,2022-10-29 00:00:00,113.5,361.25,2.25,38.58,22.3,62.38,60.93,0.87,19.65,3.17,33.02,8.43,0.52,58.75,0.43,296.25,11.0,25.08,0.0,4.12
2022-10-29 00:00:00,2022-10-29 01:00:00,88.75,224.75,0.5,28.2,15.37,55.72,29.97,0.24,38.48,1.6,24.4,4.2,0.22,59.5,0.62,311.0,11.0,24.73,0.0,2.05
2022-10-29 01:00:00,2022-10-29 02:00:00,69.75,166.75,0.48,29.15,15.88,49.3,76.72,0.21,51.53,1.1,20.08,2.33,0.1,59.75,0.6,310.75,11.0,24.45,0.0,0.9
2022-10-29 02:00:00,2022-10-29 03:00:00,75.5,159.75,0.3,28.82,15.55,45.9,44.3,0.18,37.23,1.1,20.07,2.0,0.1,61.25,0.55,299.0,11.25,24.45,0.0,0.75
2022-10-29 03:00:00,2022-10-29 04:00:00,81.75,154.25,0.17,32.08,17.23,49.0,101.47,0.21,25.48,1.25,20.05,2.35,0.1,65.0,0.45,276.5,11.0,24.1,0.0,0.95
2022-10-29 04:00:00,2022-10-29 05:00:00,85.25,151.25,0.42,29.98,16.32,50.55,67.92,0.22,22.8,1.52,19.5,2.12,0.1,66.5,0.6,236.5,11.25,23.95,0.0,0.83
2022-10-29 05:00:00,2022-10-29 06:00:00,83.0,168.5,0.48,23.78,13.03,53.78,25.25,0.24,47.53,1.32,18.67,2.05,0.08,64.0,0.93,76.25,11.5,24.02,0.0,0.8
2022-10-29 06:00:00,2022-10-29 07:00:00,99.0,241.0,2.25,40.02,23.07,52.9,18.68,0.46,28.23,1.35,17.48,2.05,0.08,63.0,0.53,83.5,22.25,24.18,0.0,0.85
2022-10-29 07:00:00,2022-10-29 08:00:00,152.0,360.25,6.08,46.6,29.7,58.2,22.8,0.68,28.12,2.02,20.3,3.5,0.2,57.75,0.53,93.25,76.25,24.65,0.0,1.67
2022-10-29 08:00:00,2022-10-29 09:00:00,176.0,409.0,3.62,37.85,23.05,58.45,18.27,0.78,53.1,2.32,21.17,3.68,0.2,51.75,0.47,86.75,154.0,25.55,0.0,1.5
2022-10-29 09:00:00,2022-10-29 10:00:00,149.0,396.5,3.67,45.12,26.98,57.95,15.95,1.05,88.97,2.25,31.0,3.17,0.23,48.0,0.75,106.75,232.75,26.4,0.0,1.6
2022-10-29 10:00:00,2022-10-29 11:00:00,130.75,370.25,2.3,39.52,22.9,52.83,14.45,0.91,112.03,2.1,44.42,3.48,0.28,41.25,0.7,144.25,291.0,27.27,0.0,1.15
2022-10-29 11:00:00,2022-10-29 12:00:00,104.25,349.25,1.9,37.95,21.7,49.68,12.65,0.89,124.4,1.78,55.98,3.27,0.28,38.0,0.88,163.75,317.5,27.68,0.0,1.2
2022-10-29 12:00:00,2022-10-29 13:00:00,87.25,276.5,1.47,33.27,18.87,44.8,10.3,0.8,135.4,1.73,60.35,3.4,0.27,34.75,0.75,169.25,306.25,28.2,0.0,1.95
2022-10-29 13:00:00,2022-10-29 14:00:00,82.5,274.0,0.95,26.17,14.7,41.3,11.05,0.79,152.27,1.45,53.38,3.8,0.2,30.75,0.88,122.75,253.75,28.48,0.0,1.83
2022-10-29 14:00:00,2022-10-29 15:00:00,88.75,280.75,1.15,32.75,18.35,33.45,14.35,0.93,146.3,1.38,43.07,3.78,0.2,27.0,1.12,133.75,177.0,28.52,0.0,1.82
2022-10-29 15:00:00,2022-10-29 16:00:00,89.75,288.0,1.05,32.08,17.93,32.65,14.12,1.02,148.72,1.55,32.6,4.25,0.22,27.75,1.15,111.75,102.0,28.4,0.0,2.25
2022-10-29 16:00:00,2022-10-29 17:00:00,100.25,352.75,0.78,43.3,23.65,35.7,16.38,1.29,143.38,2.0,26.82,4.95,0.28,32.0,1.45,135.0,40.25,28.0,0.0,2.6
2022-10-29 17:00:00,2022-10-29 18:00:00,126.0,349.25,9.5,81.68,51.18,37.53,19.12,2.46,91.25,2.97,32.65,6.1,0.5,33.25,0.9,123.5,13.5,27.5,0.0,4.45
2022-10-29 18:00:00,2022-10-29 19:00:00,156.5,552.0,17.88,95.38,65.28,42.75,26.7,3.44,57.88,5.72,49.35,13.47,1.12,33.5,0.7,111.75,11.75,27.12,0.0,8.2
2022-10-29 19:00:00,2022-10-29 20:00:00,174.5,758.75,13.67,125.45,77.88,47.12,15.15,3.91,21.25,7.58,60.65,29.45,1.7,37.5,0.43,117.25,11.0,26.57,0.0,12.4
2022-10-29 20:00:00,2022-10-29 21:00:00,193.75,637.5,17.02,96.65,65.25,59.55,14.95,3.3,3.5,7.9,57.85,27.45,1.67,54.0,0.42,301.5,11.0,25.5,0.0,11.68
2022-10-29 21:00:00,2022-10-29 22:00:00,225.25,573.75,9.88,72.2,46.4,66.03,81.33,2.29,9.27,6.0,45.03,18.0,1.1,57.0,0.45,309.25,11.0,24.93,0.0,7.9
2022-10-29 22:00:00,2022-10-29 23:00:00,226.5,488.0,10.82,66.97,44.38,62.75,90.95,1.92,2.73,4.83,40.7,13.73,0.85,60.25,0.48,308.0,11.0,24.62,0.0,6.15
2022-10-29 23:00:00,2022-10-30 00:00:00,194.75,416.5,7.97,53.73,35.08,63.45,142.47,1.02,10.0,3.48,32.27,7.88,0.5,60.75,0.5,309.0,11.0,24.15,0.0,3.82
2022-10-30 00:00:00,2022-10-30 01:00:00,173.25,371.25,6.85,57.15,35.97,60.78,142.27,0.71,3.15,3.08,26.45,4.38,0.3,62.5,0.5,294.25,11.0,23.93,0.0,2.7
2022-10-30 01:00:00,2022-10-30 02:00:00,167.5,346.25,9.63,54.97,37.08,58.9,177.5,0.58,7.12,2.77,24.5,3.93,0.2,62.75,0.6,299.5,11.0,23.67,0.0,1.93
2022-10-30 02:00:00,2022-10-30 03:00:00,169.25,295.75,11.72,53.25,37.85,54.85,112.3,0.59,2.1,2.5,24.27,3.43,0.2,64.75,0.47,307.75,11.0,23.6,0.0,1.6
2022-10-30 03:00:00,2022-10-30 04:00:00,157.5,285.0,3.55,40.52,24.45,58.45,114.15,0.47,12.2,2.53,24.5,3.12,0.18,66.5,0.6,311.5,11.0,23.23,0.0,1.55
2022-10-30 04:00:00,2022-10-30 05:00:00,144.0,249.5,2.6,31.47,18.27,54.55,102.6,0.37,24.75,1.77,19.98,1.82,0.08,67.75,0.55,294.75,11.0,22.95,0.0,0.98
2022-10-30 05:00:00,2022-10-30 06:00:00,141.0,250.5,1.0,33.95,18.88,52.5,56.58,0.48,13.38,1.85,19.68,2.23,0.08,68.5,0.45,308.25,11.25,23.05,0.0,0.9
2022-10-30 06:00:00,2022-10-30 07:00:00,147.0,264.75,1.08,33.97,18.93,58.25,30.23,0.58,17.77,2.27,20.93,3.1,0.12,67.75,0.55,309.25,22.25,22.98,0.0,1.38
2022-10-30 07:00:00,2022-10-30 08:00:00,158.25,290.75,3.0,39.62,23.53,62.45,18.45,0.84,28.95,2.5,21.18,2.1,0.2,62.0,0.47,310.25,73.5,23.6,0.0,1.88
2022-10-30 08:00:00,2022-10-30 09:00:00,179.75,330.0,2.48,31.02,18.5,62.55,15.27,0.71,49.35,2.6,20.6,3.25,0.22,57.0,0.75,294.25,155.25,24.25,0.0,1.95
2022-10-30 09:00:00,2022-10-30 10:00:00,175.75,333.0,2.23,29.93,17.7,57.28,37.9,0.7,84.37,1.9,23.25,1.88,0.1,52.5,0.8,310.0,233.25,25.55,0.0,1.18
2022-10-30 10:00:00,2022-10-30 11:00:00,151.5,325.75,1.55,28.75,16.57,51.68,40.7,0.56,118.05,1.68,35.1,2.15,0.12,42.75,0.92,299.0,289.75,26.77,0.0,1.25
2022-10-30 11:00:00,2022-10-30 12:00:00,126.75,286.5,0.95,25.8,14.5,41.45,13.75,0.67,138.18,1.25,44.67,1.7,0.05,31.0,0.7,206.25,302.75,27.6,0.0,0.72
2022-10-30 12:00:00,2022-10-30 13:00:00,117.75,279.5,0.9,29.73,16.5,35.88,13.07,0.78,152.57,1.4,47.97,2.17,0.1,27.5,0.8,116.25,281.25,27.98,0.0,1.35
2022-10-30 13:00:00,2022-10-30 14:00:00,120.25,286.5,0.83,31.75,17.58,34.17,12.97,0.9,157.55,1.62,43.15,4.2,0.2,27.5,1.18,109.75,231.0,28.0,0.0,2.08
2022-10-30 14:00:00,2022-10-30 15:00:00,125.25,307.0,1.3,32.7,18.48,32.7,12.68,0.91,159.62,1.62,33.48,3.8,0.2,27.5,1.35,120.25,169.5,28.08,0.0,1.83
2022-10-30 15:00:00,2022-10-30 16:00:00,121.75,307.5,1.35,41.08,22.95,32.88,12.12,1.19,154.22,1.75,26.4,3.6,0.2,28.75,1.0,119.5,94.0,28.08,0.0,1.75
2022-10-30 16:00:00,2022-10-30 17:00:00,131.25,365.0,1.93,80.05,44.17,33.1,15.95,1.98,117.95,2.73,27.85,6.57,0.4,32.75,0.57,130.0,36.75,27.75,0.0,3.5
2022-10-30 17:00:00,2022-10-30 18:00:00,144.25,442.0,12.47,126.83,77.58,44.5,13.6,4.08,33.02,6.05,47.23,16.07,1.07,41.75,0.33,44.5,13.25,26.98,0.0,7.3
2022-10-30 18:00:00,2022-10-30 19:00:00,206.5,649.75,33.77,124.32,93.57,75.38,14.55,4.97,4.2,13.88,74.32,37.9,2.3,52.75,0.35,237.75,11.0,25.98,0.0,15.3
2022-10-30 19:00:00,2022-10-30 20:00:00,282.0,699.75,22.9,93.95,68.6,81.33,68.78,3.44,2.65,11.07,61.25,29.65,1.8,61.25,0.38,324.5,11.0,25.2,0.0,12.68
2022-10-30 20:00:00,2022-10-30 21:00:00,261.25,599.25,15.05,81.17,55.45,75.3,128.3,2.41,6.7,7.62,45.03,19.45,1.2,62.25,0.57,306.75,11.0,24.62,0.0,8.48
2022-10-30 21:00:00,2022-10-30 22:00:00,218.0,460.25,2.15,55.73,31.38,61.33,115.38,1.58,20.38,4.23,29.62,9.85,0.55,60.75,0.47,283.5,11.25,24.25,0.0,4.6
2022-10-30 22:00:00,2022-10-30 23:00:00,177.75,396.5,2.65,58.92,33.48,58.38,193.5,1.41,21.25,3.5,27.62,8.47,0.5,61.0,0.62,299.75,11.25,23.97,0.0,4.15
2022-10-30 23:00:00,2022-10-31 00:00:00,176.25,365.0,2.4,51.97,29.6,54.67,143.9,1.01,17.22,3.1,24.65,6.15,0.33,63.75,0.58,289.75,11.25,23.73,0.0,3.28
2022-10-31 00:00:00,2022-10-31 01:00:00,169.5,310.0,0.93,45.98,25.2,53.78,122.65,0.69,20.75,2.35,21.35,4.4,0.22,65.25,0.57,302.75,11.0,23.42,0.0,2.23
2022-10-31 01:00:00,2022-10-31 02:00:00,163.0,312.0,1.4,60.15,33.1,53.9,,0.68,13.1,2.07,19.32,3.27,0.1,66.5,0.43,251.75,11.0,23.35,0.0,1.5
2022-10-31 02:00:00,2022-10-31 03:00:00,168.5,295.5,1.0,45.83,25.2,53.15,66.8,0.54,29.75,1.98,18.9,2.77,0.1,62.25,0.68,262.25,11.25,23.7,0.0,1.2
2022-10-31 03:00:00,2022-10-31 04:00:00,143.0,257.0,0.25,29.55,15.9,52.27,62.68,0.37,36.6,1.75,18.23,2.8,0.1,65.25,0.55,309.5,11.25,23.08,0.0,1.27
2022-10-31 04:00:00,2022-10-31 05:00:00,128.5,208.5,0.18,24.82,13.35,49.95,48.8,0.39,40.95,1.4,16.58,2.17,0.1,65.75,0.65,304.0,11.25,23.05,0.0,0.93
2022-10-31 05:00:00,2022-10-31 06:00:00,130.0,209.5,0.2,22.27,11.92,50.2,48.35,0.43,49.0,1.42,16.25,2.02,0.05,67.5,0.53,303.25,11.25,22.8,0.0,0.82
2022-10-31 06:00:00,2022-10-31 07:00:00,138.75,267.75,1.7,40.08,22.73,49.85,71.1,0.62,30.45,1.62,16.68,2.43,0.08,69.0,0.55,303.0,22.0,22.7,0.0,1.03
2022-10-31 07:00:00,2022-10-31 08:00:00,172.5,331.0,6.57,63.0,38.88,53.15,98.5,1.07,29.85,2.58,18.4,3.35,0.15,64.0,0.45,307.75,75.25,23.33,0.0,1.6
2022-10-31 08:00:00,2022-10-31 09:00:00,205.5,432.0,6.78,56.35,35.48,55.7,65.4,1.43,45.45,3.42,22.55,5.07,0.32,51.0,0.32,219.0,158.25,25.15,0.0,2.4
2022-10-31 09:00:00,2022-10-31 10:00:00,204.5,435.25,2.35,35.83,20.95,57.55,26.58,1.05,131.5,2.72,30.3,3.62,0.3,43.0,0.53,61.5,238.75,26.35,0.0,2.18
2022-10-31 10:00:00,2022-10-31 11:00:00,172.0,412.5,1.73,33.95,19.43,51.9,17.5,0.88,127.8,2.12,41.0,2.83,1.18,40.5,0.9,117.75,296.5,26.88,0.0,1.45
2022-10-31 11:00:00,2022-10-31 12:00:00,137.5,385.25,1.35,28.9,16.45,42.62,10.2,0.8,133.53,1.7,46.55,2.53,0.17,34.75,1.0,111.5,314.75,27.27,0.0,1.35
2022-10-31 12:00:00,2022-10-31 13:00:00,107.5,389.5,1.33,28.57,16.3,37.08,9.53,0.78,139.98,1.55,47.38,2.02,0.12,30.75,1.05,94.5,311.5,27.67,0.0,1.32
2022-10-31 13:00:00,2022-10-31 14:00:00,103.0,438.75,1.5,32.38,18.45,33.38,9.55,0.8,138.95,1.48,44.17,3.38,0.12,28.25,1.15,132.0,257.75,27.92,0.0,1.55
2022-10-31 14:00:00,2022-10-31 15:00:00,100.0,399.25,1.88,36.0,20.68,28.6,9.23,0.89,141.85,2.15,37.75,4.65,0.23,26.75,1.55,132.0,187.0,28.02,0.0,2.27
2022-10-31 15:00:00,2022-10-31 16:00:00,95.0,308.75,1.75,37.0,21.1,30.07,10.35,1.1,147.55,1.97,26.95,4.03,0.23,30.0,1.4,136.5,99.75,27.92,0.0,2.0
2022-10-31 16:00:00,2022-10-31 17:00:00,104.5,340.25,1.55,56.5,31.3,31.32,12.47,1.73,126.83,2.42,24.15,5.68,0.35,32.5,0.85,128.0,38.5,27.73,0.0,2.97
2022-10-31 17:00:00,2022-10-31 18:00:00,127.75,748.75,6.35,114.45,66.05,42.3,11.23,3.44,45.85,4.88,37.6,13.8,0.88,39.0,0.3,127.5,13.25,27.05,0.0,6.38
2022-10-31 18:00:00,2022-10-31 19:00:00,180.25,867.25,25.28,116.13,82.35,58.5,114.78,3.92,3.45,11.32,73.38,28.82,1.85,53.25,0.4,318.75,11.0,25.92,0.0,12.32
2022-10-31 19:00:00,2022-10-31 20:00:00,233.0,728.5,25.58,90.73,69.08,68.12,189.9,3.12,2.85,7.72,94.75,22.45,1.43,61.5,0.45,320.25,11.0,25.17,0.0,9.57
2022-10-31 20:00:00,2022-10-31 21:00:00,210.75,589.5,14.68,78.45,53.65,69.25,143.27,2.61,4.08,5.78,78.65,18.43,1.12,63.0,0.47,309.75,11.25,24.75,0.0,7.97
2022-10-31 21:00:00,2022-10-31 22:00:00,186.5,507.0,7.02,68.07,41.92,68.57,160.35,1.94,11.57,4.08,37.42,12.0,0.75,63.75,0.57,305.75,11.5,24.25,0.0,5.45
2022-10-31 22:00:00,2022-10-31 23:00:00,166.5,467.75,2.05,50.0,28.25,58.82,168.83,1.35,26.23,3.25,32.5,9.6,0.55,64.0,0.55,290.25,11.25,23.9,0.0,4.55
2022-10-31 23:00:00,2022-11-01 00:00:00,150.25,365.5,1.38,49.52,27.48,53.55,,0.97,20.83,2.5,25.2,5.07,0.3,65.75,0.57,293.5,11.25,23.7,0.0,3.2
