From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree),RF (mm)
2021-12-13 06:00:00,2021-12-13 07:00:00,103.69,142.68,51.59,20.84,99.19,27.17,3.71,2.46,,10.2,,5.59,14.38,,94.18,0.29,122.72,0.01,746.53,,11.08,0.0
2021-12-13 07:00:00,2021-12-13 08:00:00,99.95,142.56,58.63,18.2,107.28,30.48,4.39,2.33,,2.44,,14.91,8.68,,93.27,0.45,217.73,42.37,747.18,,11.24,0.0
2021-12-13 08:00:00,2021-12-13 09:00:00,146.68,204.78,62.55,16.23,111.3,19.16,3.51,2.35,,11.81,,19.89,12.59,,81.19,0.27,199.98,182.24,747.7,,14.65,0.0
2021-12-13 09:00:00,2021-12-13 10:00:00,200.65,279.9,60.76,21.56,113.86,27.19,3.03,2.5,,25.61,,11.35,24.06,,74.36,0.54,125.89,183.12,748.28,,16.28,0.0
2021-12-13 10:00:00,2021-12-13 11:00:00,239.41,334.15,36.82,57.76,113.36,27.32,5.29,2.6,9.14,21.43,,10.54,18.94,,70.21,0.7,129.65,367.8,748.28,,18.44,0.0
2021-12-13 11:00:00,2021-12-13 12:00:00,144.69,192.99,3.25,85.28,89.62,22.66,4.48,2.12,33.01,14.35,,9.18,16.52,,53.05,0.8,166.28,433.09,747.91,,21.51,0.0
2021-12-13 12:00:00,2021-12-13 13:00:00,108.33,155.3,3.69,44.38,49.66,25.4,2.55,1.61,5.79,9.78,,8.64,12.29,,43.46,0.99,171.03,478.56,747.13,,22.51,0.0
2021-12-13 13:00:00,2021-12-13 14:00:00,39.88,64.9,3.47,27.83,32.9,18.52,2.33,1.5,0.87,6.58,,6.97,12.3,,45.1,0.99,164.07,307.6,746.25,,22.05,0.0
2021-12-13 14:00:00,2021-12-13 15:00:00,33.8,54.02,3.3,20.4,25.32,21.62,2.24,1.38,,6.56,,4.89,10.22,,47.74,0.98,209.13,191.2,745.9,,21.4,0.0
2021-12-13 15:00:00,2021-12-13 16:00:00,36.42,58.98,4.97,19.09,26.55,27.78,3.43,1.35,,3.84,,5.79,12.75,,49.05,0.89,182.42,214.51,745.34,,21.59,0.0
2021-12-13 16:00:00,2021-12-13 17:00:00,37.01,63.71,3.54,19.08,24.32,16.37,2.71,1.28,3.76,4.53,,15.03,10.26,,53.25,0.83,188.38,49.65,745.08,,20.18,0.0
2021-12-13 17:00:00,2021-12-13 18:00:00,44.67,82.75,5.27,26.04,33.88,26.34,2.59,1.4,1.53,13.11,,15.68,26.91,,63.17,0.42,186.44,1.14,744.96,,17.88,0.0
2021-12-13 18:00:00,2021-12-13 19:00:00,65.61,155.3,14.91,39.9,62.29,30.21,3.63,1.92,,14.41,,40.59,58.86,,70.63,0.37,227.66,0.0,744.95,,16.5,0.0
2021-12-13 19:00:00,2021-12-13 20:00:00,87.93,170.27,44.63,46.53,114.1,34.79,4.93,2.98,,7.29,,82.52,38.55,,76.24,0.55,239.37,0.0,745.25,,16.09,0.0
2021-12-13 20:00:00,2021-12-13 21:00:00,100.03,211.68,71.38,41.88,150.19,17.82,4.05,3.87,,24.7,,146.11,80.87,,76.72,0.57,223.69,0.0,745.47,,15.79,0.0
2021-12-13 21:00:00,2021-12-13 22:00:00,133.76,249.28,90.22,44.67,181.62,25.2,3.73,4.18,,36.7,,161.28,148.38,,77.51,0.52,214.38,0.0,745.54,,14.95,0.0
2021-12-13 22:00:00,2021-12-13 23:00:00,118.01,173.09,98.1,46.91,195.84,29.7,4.73,4.31,,27.18,,115.39,112.56,,82.36,0.39,215.47,0.0,745.5,,14.0,0.0
2021-12-13 23:00:00,2021-12-14 00:00:00,124.11,198.37,107.97,42.84,206.79,33.1,5.49,4.39,,3.11,,83.48,71.75,,85.8,0.49,259.87,0.0,745.41,,13.29,0.02
2021-12-14 00:00:00,2021-12-14 01:00:00,112.32,165.56,108.91,33.18,198.64,18.71,4.36,4.31,,17.55,,135.12,61.55,,89.09,0.41,277.67,0.0,745.42,,12.64,0.01
2021-12-14 01:00:00,2021-12-14 02:00:00,129.43,178.69,100.79,33.09,186.23,25.7,3.73,4.07,,23.0,,53.23,56.51,,89.97,0.42,117.88,0.0,745.28,,12.12,0.0
2021-12-14 02:00:00,2021-12-14 03:00:00,112.42,146.75,90.7,33.83,171.58,29.69,4.38,3.79,,20.65,,31.39,39.79,,90.16,0.57,96.68,0.0,745.11,,12.11,0.0
2021-12-14 03:00:00,2021-12-14 04:00:00,101.64,134.56,77.24,32.58,149.87,32.98,4.91,3.45,,12.24,,23.43,24.29,,90.53,0.65,59.66,0.0,744.99,,11.98,0.0
2021-12-14 04:00:00,2021-12-14 05:00:00,95.95,120.35,60.05,27.05,118.22,19.83,3.76,3.06,,7.96,,24.28,12.93,,92.66,0.39,94.38,0.0,744.87,,11.33,0.0
2021-12-14 05:00:00,2021-12-14 06:00:00,83.05,103.49,48.1,25.8,98.8,23.55,3.17,2.71,,13.05,,9.16,15.34,,95.27,0.85,48.4,0.0,745.03,,10.9,0.0
2021-12-14 06:00:00,2021-12-14 07:00:00,53.35,68.06,36.08,23.14,77.85,25.23,3.64,2.36,,8.77,,6.27,13.14,,95.48,0.79,59.41,0.0,745.31,,10.26,0.0
2021-12-14 07:00:00,2021-12-14 08:00:00,47.69,60.45,30.46,20.72,66.92,29.66,4.36,2.1,,1.93,,6.02,9.63,,94.28,0.52,37.83,42.6,745.86,,10.21,0.0
2021-12-14 08:00:00,2021-12-14 09:00:00,45.88,61.47,26.14,18.86,58.48,22.13,3.22,1.92,,7.6,,10.59,8.0,,86.97,0.58,99.87,165.38,746.45,,12.6,0.0
2021-12-14 09:00:00,2021-12-14 10:00:00,84.41,101.38,25.58,21.9,60.66,29.25,3.32,1.85,0.44,14.62,,6.99,15.64,,77.62,1.22,60.23,291.85,747.03,,15.59,0.0
2021-12-14 10:00:00,2021-12-14 11:00:00,62.51,92.61,3.56,38.47,43.57,25.08,5.9,1.19,27.21,10.7,,3.82,10.39,,66.33,0.7,139.73,396.0,747.2,,18.72,0.0
2021-12-14 11:00:00,2021-12-14 12:00:00,52.23,75.49,2.9,30.96,35.12,19.16,2.32,1.17,11.88,9.09,,4.16,7.49,,54.14,0.72,182.31,482.77,746.91,,21.46,0.0
2021-12-14 12:00:00,2021-12-14 13:00:00,52.44,71.17,4.07,23.06,29.1,24.31,2.36,1.15,,7.79,,3.93,7.39,,45.82,0.8,226.49,475.71,746.33,,22.44,0.0
2021-12-14 13:00:00,2021-12-14 14:00:00,44.77,59.52,3.54,17.7,22.98,16.91,2.25,1.09,9.02,6.51,,3.55,8.31,,44.22,0.94,225.27,423.68,745.47,,22.9,0.0
2021-12-14 14:00:00,2021-12-14 15:00:00,39.49,56.74,4.41,17.39,23.97,24.4,2.42,1.02,,6.45,,3.31,7.13,,45.39,0.91,252.01,312.08,745.05,,22.95,0.0
2021-12-14 15:00:00,2021-12-14 16:00:00,35.6,57.47,5.84,16.8,25.56,29.71,3.71,1.01,,3.09,,3.12,6.74,,46.48,0.76,247.02,202.25,744.74,,22.69,0.0
2021-12-14 16:00:00,2021-12-14 17:00:00,31.48,52.58,3.58,15.14,20.46,15.36,2.85,0.96,21.95,2.5,,8.89,7.08,,51.77,0.8,247.02,71.07,744.62,,20.95,0.0
2021-12-14 17:00:00,2021-12-14 18:00:00,35.97,63.2,7.17,23.74,34.49,18.52,2.46,1.14,0.03,12.8,,28.39,37.38,,63.64,0.78,226.73,1.09,744.59,,18.34,0.0
2021-12-14 18:00:00,2021-12-14 19:00:00,60.34,168.06,17.11,41.01,66.75,25.56,3.74,1.69,,17.21,,135.4,118.17,,67.62,0.94,247.25,0.0,744.84,,17.21,0.0
2021-12-14 19:00:00,2021-12-14 20:00:00,77.51,160.38,15.64,45.26,68.72,31.04,4.72,2.06,,1.27,,95.03,25.77,,69.98,0.76,255.54,0.0,745.25,,16.37,0.0
2021-12-14 20:00:00,2021-12-14 21:00:00,84.81,133.18,10.05,39.5,54.49,17.27,3.53,2.29,,10.33,,29.87,16.61,,73.52,0.54,278.5,0.0,745.61,,15.47,0.0
2021-12-14 21:00:00,2021-12-14 22:00:00,99.27,147.39,10.05,38.31,53.34,25.74,3.12,2.33,,20.5,,18.17,24.32,,77.06,0.54,268.12,0.0,745.76,,14.43,0.0
2021-12-14 22:00:00,2021-12-14 23:00:00,91.28,129.25,9.42,37.93,52.0,29.62,3.7,2.36,,15.39,,12.44,19.68,,76.61,1.23,322.22,0.0,745.95,,14.58,0.0
2021-12-14 23:00:00,2021-12-15 00:00:00,84.76,114.43,8.5,31.97,44.68,32.68,4.37,2.24,,0.0,,11.9,1.36,,77.52,1.25,309.25,0.0,746.02,,14.08,0.0
2021-12-15 00:00:00,2021-12-15 01:00:00,68.98,84.4,5.12,22.4,30.02,17.98,3.08,2.02,,6.86,,9.49,6.14,,78.17,1.29,314.24,0.0,745.88,,13.58,0.0
2021-12-15 01:00:00,2021-12-15 02:00:00,66.94,82.4,5.26,20.76,28.6,23.96,2.52,1.81,,12.11,,3.7,8.5,,78.21,1.19,293.81,0.0,745.66,,13.04,0.0
2021-12-15 02:00:00,2021-12-15 03:00:00,60.25,76.99,5.99,19.45,28.4,26.87,3.35,1.67,,9.54,,3.17,8.67,,77.24,1.4,321.45,0.0,745.48,,12.72,0.0
2021-12-15 03:00:00,2021-12-15 04:00:00,55.77,69.86,6.59,19.03,28.94,29.47,4.03,1.52,,1.68,,7.19,4.72,,77.82,0.98,289.11,0.0,745.39,,12.19,0.0
2021-12-15 04:00:00,2021-12-15 05:00:00,48.76,63.36,4.54,15.95,22.75,17.3,2.89,1.38,,6.46,,7.01,4.97,,78.32,1.24,301.76,0.0,745.32,,11.73,0.0
2021-12-15 05:00:00,2021-12-15 06:00:00,49.71,59.84,5.33,17.68,25.68,24.93,2.42,1.25,,9.81,,2.96,6.84,,78.9,1.3,309.88,0.0,745.38,,11.25,0.0
2021-12-15 06:00:00,2021-12-15 07:00:00,43.45,55.84,5.8,17.55,26.25,25.98,3.23,1.17,,7.57,,2.42,7.33,,80.19,1.23,279.52,0.0,745.66,,10.83,0.0
2021-12-15 07:00:00,2021-12-15 08:00:00,37.36,51.42,6.68,17.01,27.04,28.71,4.01,1.13,,3.1,,4.6,4.2,,79.46,1.2,304.58,45.79,746.12,,11.05,0.0
2021-12-15 08:00:00,2021-12-15 09:00:00,40.38,54.82,5.53,15.84,24.11,18.47,2.96,1.11,,2.06,,8.13,2.36,,73.22,1.42,223.2,198.94,746.63,,12.69,0.0
2021-12-15 09:00:00,2021-12-15 10:00:00,53.43,71.97,6.29,19.07,28.55,25.49,2.62,1.15,,8.01,,2.08,5.93,,63.92,1.36,276.16,334.2,747.15,,16.02,0.0
2021-12-15 10:00:00,2021-12-15 11:00:00,48.61,79.97,6.42,20.83,30.45,27.57,3.55,1.23,,5.79,,2.29,6.66,,52.94,1.59,174.8,445.48,747.25,,19.32,0.0
2021-12-15 11:00:00,2021-12-15 12:00:00,39.48,68.77,4.03,17.09,23.08,15.77,2.77,1.13,2.54,1.71,,4.53,3.53,,45.0,1.83,260.28,541.68,746.77,,21.22,0.0
2021-12-15 12:00:00,2021-12-15 13:00:00,86.48,138.36,4.73,16.43,23.48,24.28,2.4,0.98,,3.08,,1.92,5.05,,40.2,2.04,266.74,558.84,746.05,,22.04,0.0
2021-12-15 13:00:00,2021-12-15 14:00:00,86.34,141.3,3.71,12.9,18.46,16.26,2.39,0.86,5.92,3.41,,1.58,5.39,,36.4,1.86,310.94,495.85,745.5,,22.76,0.0
2021-12-15 14:00:00,2021-12-15 15:00:00,75.05,125.4,4.3,13.69,20.14,23.83,2.33,0.77,0.3,2.45,,1.44,4.4,,31.79,2.3,312.57,381.31,744.93,,22.96,0.0
2021-12-15 15:00:00,2021-12-15 16:00:00,60.89,109.7,5.41,12.85,21.0,27.22,3.42,0.75,,2.38,,1.73,5.79,,31.51,1.88,285.87,277.44,744.39,,22.75,0.0
2021-12-15 16:00:00,2021-12-15 17:00:00,58.92,114.5,3.4,12.81,17.91,14.69,3.08,0.72,14.54,2.31,,5.14,4.28,,36.66,1.04,282.44,121.55,744.07,,21.34,0.0
2021-12-15 17:00:00,2021-12-15 18:00:00,86.93,165.1,4.19,14.34,20.61,18.31,2.46,0.78,1.99,5.47,,4.54,8.61,,46.49,0.67,249.69,2.96,743.79,,18.19,0.0
2021-12-15 18:00:00,2021-12-15 19:00:00,134.37,259.5,5.85,22.41,31.15,24.02,3.46,1.09,,8.46,,8.0,17.51,,55.67,0.69,287.23,0.0,744.02,,16.4,0.0
2021-12-15 19:00:00,2021-12-15 20:00:00,196.96,373.04,7.05,28.45,38.95,28.92,4.46,1.55,,0.0,,14.57,4.79,,58.16,0.63,297.17,0.0,744.4,,15.33,0.0
2021-12-15 20:00:00,2021-12-15 21:00:00,96.48,150.48,6.86,28.46,38.69,17.52,3.26,1.89,,5.91,,14.32,11.09,,62.02,0.85,235.7,0.0,744.82,,14.31,0.0
2021-12-15 21:00:00,2021-12-15 22:00:00,116.22,181.08,19.5,37.52,66.92,28.7,2.87,2.23,,16.34,,48.3,48.63,,66.73,0.74,213.05,0.0,745.06,,13.21,0.0
2021-12-15 22:00:00,2021-12-15 23:00:00,143.56,231.48,27.48,41.27,82.79,30.63,3.87,2.54,,15.36,,46.04,45.5,,65.92,0.59,264.87,0.0,745.34,,12.8,0.0
2021-12-15 23:00:00,2021-12-16 00:00:00,119.48,171.52,24.29,40.14,76.8,34.49,4.44,2.58,,2.8,,20.89,12.74,,66.9,0.66,247.2,0.0,745.56,,12.58,0.0
2021-12-16 00:00:00,2021-12-16 01:00:00,106.8,144.68,16.22,33.9,58.36,20.58,3.3,2.43,,6.52,,15.05,7.96,,68.88,1.01,240.4,0.0,745.57,,11.96,0.0
2021-12-16 01:00:00,2021-12-16 02:00:00,103.02,130.72,11.69,33.59,51.12,31.07,2.82,2.23,,13.64,,5.99,10.22,,70.49,1.01,183.91,0.0,745.61,,11.66,0.0
