From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),AT (degree C),RF (mm)
2021-03-26 22:00:00,2021-03-26 23:00:00,34.68,195.12,2.5,10.79,13.15,3.36,17.88,0.69,13.58,0.84,,0.16,0.47,,80.51,0.72,237.35,,989.38,,,19.85,0.0
2021-03-26 23:00:00,2021-03-27 00:00:00,34.37,159.59,2.2,7.57,9.83,2.02,18.03,0.65,13.93,0.77,,0.14,0.4,,78.88,0.63,267.43,,989.1,,,19.37,0.0
2021-03-27 00:00:00,2021-03-27 01:00:00,29.58,134.0,2.14,6.0,8.37,1.32,18.07,0.6,14.12,0.69,,0.14,0.37,,80.3,0.53,270.42,,988.45,,,18.61,0.0
2021-03-27 01:00:00,2021-03-27 02:00:00,35.12,113.91,2.23,5.3,7.88,1.21,18.29,0.56,16.16,0.6,,0.11,0.31,,78.43,0.75,258.75,,987.93,,,18.48,0.0
2021-03-27 02:00:00,2021-03-27 03:00:00,29.37,111.56,2.16,5.09,7.56,0.82,18.1,0.53,13.09,0.57,,0.12,0.29,,79.84,0.57,269.81,,987.54,,,17.93,0.0
2021-03-27 03:00:00,2021-03-27 04:00:00,25.7,110.05,2.22,4.19,6.82,0.66,17.98,0.49,8.37,0.52,,0.11,0.28,,82.36,0.32,228.6,,987.58,,,17.36,0.0
2021-03-27 04:00:00,2021-03-27 05:00:00,24.34,90.58,2.15,4.62,7.12,0.71,18.11,0.46,14.95,0.46,,0.1,0.25,,81.42,0.6,256.42,,987.9,,,17.24,0.0
2021-03-27 05:00:00,2021-03-27 06:00:00,28.38,99.49,2.49,4.27,7.3,0.81,18.18,0.45,8.74,0.44,,0.1,0.26,,84.43,0.24,185.53,13.76,988.47,,,16.8,0.0
2021-03-27 06:00:00,2021-03-27 07:00:00,19.3,84.04,2.46,4.17,7.14,0.77,18.16,0.45,8.12,0.45,,0.11,0.26,,81.19,0.29,191.27,96.27,989.35,,,18.07,0.0
2021-03-27 07:00:00,2021-03-27 08:00:00,19.95,98.48,2.7,5.96,9.1,1.82,18.23,0.47,10.19,0.46,,0.12,0.28,,66.3,0.37,190.31,225.98,990.15,,,22.32,0.0
2021-03-27 08:00:00,2021-03-27 09:00:00,28.53,146.25,2.61,6.63,9.58,1.88,18.33,0.5,13.86,0.55,,0.12,0.32,,52.34,0.45,118.38,500.63,990.57,,,26.31,0.0
2021-03-27 09:00:00,2021-03-27 10:00:00,29.0,146.96,2.31,5.67,8.3,1.34,19.03,0.51,14.79,0.54,,0.15,0.34,,39.82,0.53,85.45,545.87,990.63,,,30.2,0.0
2021-03-27 10:00:00,2021-03-27 11:00:00,36.58,191.44,2.17,5.54,7.99,1.18,19.07,0.48,18.05,0.48,,0.13,0.29,,36.96,0.54,145.36,669.99,989.81,,,31.55,0.0
2021-03-27 11:00:00,2021-03-27 12:00:00,42.67,164.06,2.04,4.66,7.02,0.78,18.65,0.44,19.53,0.45,,0.11,0.25,,35.18,0.57,143.15,669.08,988.8,,,32.64,0.0
2021-03-27 12:00:00,2021-03-27 13:00:00,28.23,116.06,2.06,4.47,6.86,0.78,18.44,0.41,18.47,0.41,,0.08,0.2,,34.71,0.47,135.0,620.68,987.53,,,33.73,0.0
2021-03-27 13:00:00,2021-03-27 14:00:00,26.09,107.01,2.2,4.27,6.88,0.86,18.99,0.41,17.23,0.4,,0.09,0.21,,32.29,0.47,140.49,546.04,986.08,,,34.94,0.0
2021-03-27 14:00:00,2021-03-27 15:00:00,28.03,112.38,2.08,5.22,7.57,1.31,18.84,0.42,32.84,0.41,,0.08,0.2,,32.84,0.81,211.33,372.16,985.03,,,34.44,0.0
2021-03-27 15:00:00,2021-03-27 16:00:00,26.7,120.94,1.97,6.5,8.57,1.45,18.47,0.45,30.31,0.41,,0.05,0.17,,34.89,0.53,214.13,207.55,984.58,,,33.73,0.0
2021-03-27 16:00:00,2021-03-27 17:00:00,30.75,128.2,2.06,5.64,7.93,1.15,18.27,0.45,20.26,0.46,,0.09,0.22,,47.08,0.36,169.44,83.46,984.44,,,30.46,0.0
2021-03-27 17:00:00,2021-03-27 18:00:00,27.2,156.68,2.76,12.08,14.69,4.03,18.11,0.53,19.02,0.56,,0.11,0.28,,57.58,0.27,152.62,7.42,984.68,,,25.96,0.0
2021-03-27 18:00:00,2021-03-27 19:00:00,34.58,203.65,3.16,13.29,16.31,4.88,17.87,0.59,16.47,0.82,,0.16,0.46,,61.99,0.3,163.21,,985.2,,,23.29,0.0
2021-03-27 19:00:00,2021-03-27 20:00:00,39.74,199.63,2.58,11.76,14.17,3.98,17.59,0.64,12.0,0.88,,0.16,0.45,,69.97,0.38,209.09,,986.24,,,21.39,0.0
2021-03-27 20:00:00,2021-03-27 21:00:00,34.79,192.18,3.64,15.95,19.41,6.22,17.62,0.75,9.91,1.01,,0.21,0.58,,74.37,0.44,215.35,,986.97,,,20.6,0.0
2021-03-27 21:00:00,2021-03-27 22:00:00,41.12,233.8,3.4,12.82,16.24,4.8,17.72,0.75,9.69,1.06,,0.22,0.66,,76.88,0.36,224.87,,987.33,,,19.88,0.0
2021-03-27 22:00:00,2021-03-27 23:00:00,33.98,190.15,2.71,11.37,13.99,3.78,17.86,0.73,11.46,0.91,,0.18,0.55,,79.03,0.61,228.31,,987.29,,,19.39,0.0
2021-03-27 23:00:00,2021-03-28 00:00:00,31.22,165.33,2.46,8.16,10.76,2.4,17.88,0.69,12.72,0.81,,0.16,0.49,,79.04,0.69,222.24,,987.17,,,19.05,0.0
2021-03-28 00:00:00,2021-03-28 01:00:00,31.0,134.0,2.39,6.39,9.03,1.51,17.66,0.63,9.46,0.73,,0.15,0.43,,84.33,0.4,198.32,,986.56,,,17.88,0.0
2021-03-28 01:00:00,2021-03-28 02:00:00,28.57,109.34,2.24,5.3,7.88,1.06,17.93,0.59,10.56,0.65,,0.15,0.4,,83.1,0.55,203.93,,986.18,,,17.87,0.0
2021-03-28 02:00:00,2021-03-28 03:00:00,22.94,92.2,2.46,4.93,7.82,0.91,18.0,0.55,8.54,0.6,,0.15,0.38,,86.8,0.41,197.37,,985.88,,,17.16,0.0
2021-03-28 03:00:00,2021-03-28 04:00:00,19.75,99.93,2.52,4.97,7.95,1.06,17.98,0.51,7.87,0.52,,0.13,0.32,,87.57,0.31,152.45,,985.75,,,16.86,0.0
2021-03-28 04:00:00,2021-03-28 05:00:00,23.4,98.88,2.63,4.47,7.66,0.84,17.93,0.48,7.14,0.48,,0.13,0.34,,88.87,0.3,186.29,,986.3,,,16.65,0.0
2021-03-28 05:00:00,2021-03-28 06:00:00,22.42,96.68,3.61,5.71,10.13,2.02,17.97,0.47,5.86,0.48,,0.14,0.33,,89.92,0.29,170.12,15.35,986.88,,,16.54,0.0
2021-03-28 06:00:00,2021-03-28 07:00:00,22.05,105.82,3.27,7.62,11.38,2.58,18.08,0.48,8.38,0.46,,0.12,0.32,,80.89,0.37,193.69,87.11,987.64,,,18.34,0.0
2021-03-28 07:00:00,2021-03-28 08:00:00,26.38,126.93,2.82,7.08,10.27,2.1,18.17,0.51,9.59,0.47,,0.13,0.33,,69.05,0.39,184.47,194.35,988.35,,,21.59,0.0
2021-03-28 08:00:00,2021-03-28 09:00:00,24.75,139.75,2.61,6.78,9.7,1.92,18.19,0.53,10.36,0.53,,0.14,0.36,,55.36,0.34,159.66,434.39,988.7,,,26.2,0.0
2021-03-28 09:00:00,2021-03-28 10:00:00,28.74,146.85,2.44,6.9,9.59,1.84,18.25,0.56,12.98,0.55,,0.15,0.37,,45.99,0.32,110.16,438.44,988.54,,,29.41,0.0
2021-03-28 10:00:00,2021-03-28 11:00:00,28.05,163.46,2.23,6.33,8.79,1.48,18.83,0.57,18.94,0.58,,0.14,0.34,,40.81,0.4,121.46,578.17,988.18,,,31.24,0.0
2021-03-28 11:00:00,2021-03-28 12:00:00,34.14,175.36,2.25,4.92,7.53,0.96,18.53,0.54,23.62,0.53,,0.13,0.3,,38.41,0.53,125.15,601.5,987.08,,,32.51,0.0
2021-03-28 12:00:00,2021-03-28 13:00:00,31.49,136.75,2.06,4.61,7.01,0.72,18.25,0.5,23.77,0.53,,0.11,0.24,,36.52,0.52,133.66,596.33,985.6,,,33.68,0.0
2021-03-28 13:00:00,2021-03-28 14:00:00,35.23,128.91,2.1,4.71,7.15,0.8,18.43,0.48,26.7,0.51,,0.1,0.22,,34.81,0.46,128.76,505.58,984.0,,,34.84,0.0
2021-03-28 14:00:00,2021-03-28 15:00:00,32.54,131.41,2.27,5.31,7.9,1.09,18.61,0.48,28.28,0.51,,0.09,0.2,,36.55,0.44,147.4,319.27,983.06,,,34.28,0.0
2021-03-28 15:00:00,2021-03-28 16:00:00,33.0,135.63,2.09,5.91,8.21,1.32,18.11,0.5,20.65,0.54,,0.1,0.22,,40.91,0.46,156.74,174.71,982.48,,,32.83,0.0
2021-03-28 16:00:00,2021-03-28 17:00:00,25.91,139.06,2.12,5.11,7.51,0.89,18.14,0.48,22.79,0.53,,0.1,0.21,,53.47,0.34,135.09,59.22,982.09,,,29.64,0.0
2021-03-28 17:00:00,2021-03-28 18:00:00,28.89,126.32,2.34,6.73,9.3,1.69,17.94,0.5,17.93,0.53,,0.12,0.32,,66.68,0.36,160.56,5.5,982.4,,,25.39,0.0
2021-03-28 18:00:00,2021-03-28 19:00:00,27.63,135.79,5.18,16.77,22.25,7.36,17.95,0.68,12.69,0.61,,0.13,0.35,,73.21,0.48,247.92,,983.41,,,23.57,0.0
2021-03-28 19:00:00,2021-03-28 20:00:00,34.64,193.0,3.68,16.66,20.07,6.46,17.9,0.76,11.94,1.02,,0.24,0.79,,73.76,0.43,191.77,,984.47,,,22.66,0.0
2021-03-28 20:00:00,2021-03-28 21:00:00,37.84,169.52,4.36,17.12,21.45,6.87,17.85,0.86,9.46,0.95,,0.19,0.54,,81.55,0.46,204.11,,985.48,,,20.95,0.0
2021-03-28 21:00:00,2021-03-28 22:00:00,39.53,213.2,2.44,13.04,15.1,4.41,17.77,0.85,11.2,0.97,,0.2,0.63,,80.32,0.51,245.89,,985.99,,,20.75,0.0
2021-03-28 22:00:00,2021-03-28 23:00:00,38.8,172.7,2.35,9.54,11.84,2.9,17.86,0.81,9.16,0.91,,0.19,0.54,,83.68,0.32,249.77,,986.14,,,19.66,0.0
2021-03-28 23:00:00,2021-03-29 00:00:00,39.06,142.63,2.39,9.07,11.47,2.78,17.83,0.77,12.64,0.85,,0.18,0.5,,83.39,0.56,254.18,,986.03,,,19.29,0.0
2021-03-29 00:00:00,2021-03-29 01:00:00,36.0,133.96,2.17,6.56,8.88,1.55,17.93,0.69,14.67,0.68,,0.13,0.38,,78.33,0.66,268.24,,985.9,,,19.0,0.0
2021-03-29 01:00:00,2021-03-29 02:00:00,27.93,119.25,2.16,5.55,7.99,1.26,17.92,0.65,14.13,0.66,,0.14,0.36,,81.22,0.45,253.18,,985.68,,,18.34,0.0
2021-03-29 02:00:00,2021-03-29 03:00:00,37.78,107.66,2.24,4.78,7.41,0.89,17.99,0.6,15.13,0.57,,0.11,0.31,,80.0,0.47,257.72,,985.48,,,18.14,0.0
2021-03-29 03:00:00,2021-03-29 04:00:00,25.33,102.09,2.15,4.26,6.81,0.66,18.05,0.56,14.12,0.54,,0.11,0.29,,81.89,0.51,267.04,,985.58,,,17.64,0.0
2021-03-29 04:00:00,2021-03-29 05:00:00,27.45,101.58,2.34,4.27,7.08,0.64,18.0,0.54,10.19,0.5,,0.11,0.28,,85.81,0.24,193.94,,985.85,,,17.0,0.0
2021-03-29 05:00:00,2021-03-29 06:00:00,27.6,94.7,2.49,4.01,7.06,0.78,17.92,0.51,8.93,0.47,,0.12,0.29,,87.6,0.28,224.38,18.79,986.54,,,16.69,0.0
2021-03-29 06:00:00,2021-03-29 07:00:00,18.2,93.7,2.47,4.35,7.32,0.88,18.06,0.51,9.29,0.47,,0.13,0.3,,80.24,0.29,195.85,108.17,987.17,,,18.75,0.0
2021-03-29 07:00:00,2021-03-29 08:00:00,25.58,103.88,2.89,7.35,10.61,2.35,18.25,0.55,11.46,0.53,,0.12,0.3,,67.0,0.42,164.95,236.27,987.67,,,22.64,0.0
2021-03-29 08:00:00,2021-03-29 09:00:00,30.28,155.19,2.51,6.5,9.32,1.78,18.41,0.56,11.49,0.53,,0.15,0.35,,52.13,0.31,138.42,512.12,987.83,,,27.19,0.0
2021-03-29 09:00:00,2021-03-29 10:00:00,31.44,150.66,2.31,5.94,8.54,1.38,18.45,0.58,16.44,0.58,,0.16,0.38,,40.23,0.4,127.58,533.57,987.65,,,30.59,0.0
2021-03-29 10:00:00,2021-03-29 11:00:00,27.81,141.89,2.17,5.42,7.88,1.18,19.19,0.57,20.77,0.54,,0.15,0.34,,36.22,0.51,129.85,663.42,986.73,,,32.28,0.0
2021-03-29 11:00:00,2021-03-29 12:00:00,47.17,169.22,2.11,4.8,7.21,0.9,19.07,0.55,28.14,0.55,,0.12,0.28,,34.56,0.46,147.75,635.12,985.41,,,33.97,0.0
2021-03-29 12:00:00,2021-03-29 13:00:00,36.18,153.08,2.09,5.21,7.56,1.14,18.56,0.54,25.28,0.54,,0.1,0.23,,36.33,0.61,133.63,572.71,983.94,,,33.85,0.0
2021-03-29 13:00:00,2021-03-29 14:00:00,30.42,145.03,2.05,5.28,7.58,1.03,18.55,0.54,28.76,0.56,,0.09,0.21,,35.19,0.53,124.86,480.46,982.53,,,34.31,0.0
2021-03-29 14:00:00,2021-03-29 15:00:00,28.93,146.06,2.15,7.66,9.88,2.19,19.88,0.55,44.72,0.56,,0.08,0.2,,32.02,0.61,138.31,303.24,981.16,,,33.78,0.0
2021-03-29 15:00:00,2021-03-29 16:00:00,33.5,156.61,2.04,5.74,7.99,1.38,18.48,0.55,23.07,0.57,,0.08,0.21,,37.03,0.43,144.83,153.21,980.26,,,33.21,0.0
2021-03-29 16:00:00,2021-03-29 17:00:00,28.84,159.57,1.95,5.73,7.86,1.36,18.69,0.58,22.62,0.59,,0.08,0.2,,48.04,0.42,140.19,55.12,980.09,,,29.83,0.0
2021-03-29 17:00:00,2021-03-29 18:00:00,38.69,159.78,2.25,9.15,11.38,2.59,18.7,0.64,21.32,0.61,,0.08,0.2,,60.41,0.28,166.91,10.12,980.38,,,26.58,0.0
2021-03-29 18:00:00,2021-03-29 19:00:00,34.79,180.54,2.92,13.54,16.23,4.75,18.36,0.72,16.37,0.93,,0.12,0.34,,69.2,0.29,178.39,,981.09,,,24.4,0.01
2021-03-29 19:00:00,2021-03-29 20:00:00,41.63,249.16,4.92,21.69,26.3,9.15,18.18,0.97,11.33,1.25,,0.23,0.71,,80.43,0.9,194.88,,981.92,,,22.79,0.0
2021-03-29 20:00:00,2021-03-29 21:00:00,46.55,230.92,2.53,12.57,14.8,4.19,18.6,0.79,23.54,0.97,,0.17,0.52,,71.34,0.78,199.59,,983.14,,,23.45,0.0
2021-03-29 21:00:00,2021-03-29 22:00:00,49.1,155.82,2.24,8.85,11.06,2.59,18.66,0.7,26.77,0.81,,0.12,0.37,,77.83,0.77,219.0,,983.99,,,21.75,0.0
2021-03-29 22:00:00,2021-03-29 23:00:00,41.38,110.65,2.24,6.48,8.91,1.54,18.29,0.66,14.72,0.71,,0.11,0.32,,81.32,0.43,184.53,,983.75,,,21.07,0.0
2021-03-29 23:00:00,2021-03-30 00:00:00,30.77,104.21,2.15,7.01,9.29,1.74,18.35,0.64,12.53,0.71,,0.12,0.33,,84.17,0.49,196.84,,983.11,,,20.57,0.0
2021-03-30 00:00:00,2021-03-30 01:00:00,27.28,111.0,2.31,5.73,8.33,1.25,18.2,0.62,13.28,0.64,,0.11,0.31,,85.54,0.36,201.51,,982.01,,,20.47,0.0
2021-03-30 01:00:00,2021-03-30 02:00:00,23.8,91.85,2.52,5.77,8.68,1.42,18.22,0.61,10.89,0.62,,0.12,0.32,,88.33,0.4,191.15,,981.66,,,19.84,0.0
2021-03-30 02:00:00,2021-03-30 03:00:00,25.88,91.03,2.4,5.11,7.91,1.13,18.21,0.59,12.41,0.59,,0.12,0.32,,90.09,0.3,206.44,,981.5,,,19.42,0.0
2021-03-30 03:00:00,2021-03-30 04:00:00,21.86,88.05,2.38,4.57,7.4,0.88,18.2,0.57,27.76,0.57,,0.11,0.3,,90.95,0.3,192.76,,981.34,,,19.34,0.0
2021-03-30 04:00:00,2021-03-30 05:00:00,20.7,87.22,6.25,6.84,13.79,4.11,18.36,0.56,11.27,0.55,,0.12,0.3,,89.78,0.26,168.89,,981.73,,,19.41,0.0
2021-03-30 05:00:00,2021-03-30 06:00:00,32.12,125.31,3.74,8.65,12.94,3.26,18.39,0.57,6.63,0.54,,0.12,0.31,,89.03,0.44,207.63,0.47,982.67,,,19.69,0.02
2021-03-30 06:00:00,2021-03-30 07:00:00,41.08,143.75,3.58,9.03,13.03,3.61,18.45,0.56,7.08,0.53,,0.12,0.33,,93.06,0.59,200.89,1.6,984.34,,,19.2,0.06
2021-03-30 07:00:00,2021-03-30 08:00:00,40.53,125.55,3.07,6.83,10.38,2.19,18.46,0.54,22.22,0.51,,0.14,0.34,,94.82,0.28,193.01,10.18,985.19,,,18.92,0.01
2021-03-30 08:00:00,2021-03-30 09:00:00,36.63,104.31,2.79,6.21,9.44,1.75,18.51,0.54,14.54,0.5,,0.12,0.3,,95.18,0.2,211.0,20.86,985.46,,,19.14,0.01
2021-03-30 09:00:00,2021-03-30 10:00:00,31.7,97.54,3.08,7.23,10.75,2.32,18.61,0.57,10.62,0.54,,0.14,0.35,,91.0,0.26,171.28,188.17,985.29,,,20.46,0.0
2021-03-30 10:00:00,2021-03-30 11:00:00,33.86,128.09,2.69,7.63,10.61,2.52,18.49,0.58,11.03,0.56,,0.16,0.41,,81.8,0.34,169.63,207.49,984.6,,,22.57,0.0
2021-03-30 11:00:00,2021-03-30 12:00:00,51.1,162.06,2.34,8.07,10.47,2.44,19.04,0.54,17.42,0.52,,0.12,0.34,,75.53,0.45,137.07,268.44,983.89,,,23.12,0.0
2021-03-30 12:00:00,2021-03-30 13:00:00,,,,,,,,,,,,,,,,,,,,,,,
2021-03-30 13:00:00,2021-03-30 14:00:00,54.0,105.0,3.11,18.61,21.04,7.39,19.12,0.55,12.07,0.51,,0.1,0.34,,73.78,0.64,140.62,118.25,981.67,,,23.12,0.0
2021-03-30 14:00:00,2021-03-30 15:00:00,53.0,90.79,2.59,19.33,20.99,7.43,19.13,0.54,14.45,0.47,,0.09,0.31,,73.38,0.8,126.79,103.6,981.31,,,22.5,0.0
2021-03-30 15:00:00,2021-03-30 16:00:00,44.83,91.24,2.46,11.83,14.05,4.27,18.57,0.5,12.63,0.46,,0.08,0.27,,77.89,0.81,126.59,49.4,981.08,,,21.65,0.0
2021-03-30 16:00:00,2021-03-30 17:00:00,39.33,103.39,2.51,11.54,13.84,3.98,18.41,0.51,10.66,0.47,,0.1,0.31,,79.06,0.7,132.7,21.17,981.01,,,21.13,0.0
2021-03-30 17:00:00,2021-03-30 18:00:00,35.07,96.25,2.4,9.61,11.96,3.04,18.32,0.51,13.1,0.5,,0.12,0.34,,81.34,0.7,147.87,1.98,981.02,,,20.2,0.0
2021-03-30 18:00:00,2021-03-30 19:00:00,36.98,119.61,2.31,8.8,11.11,2.81,18.37,0.51,13.07,0.53,,0.11,0.33,,82.04,0.78,148.51,,981.66,,,19.77,0.0
2021-03-30 19:00:00,2021-03-30 20:00:00,34.99,127.91,2.34,7.88,10.31,2.35,18.45,0.52,12.27,0.52,,0.12,0.33,,83.67,0.51,165.36,,982.23,,,19.45,0.0
2021-03-30 20:00:00,2021-03-30 21:00:00,37.0,104.11,2.46,8.52,11.0,2.84,18.39,0.54,9.11,0.51,,0.11,0.3,,86.74,0.73,135.82,,982.6,,,19.09,0.0
2021-03-30 21:00:00,2021-03-30 22:00:00,27.62,82.58,2.25,7.14,9.52,2.08,18.3,0.52,10.84,0.48,,0.11,0.28,,85.85,0.53,126.71,,982.38,,,18.99,0.0
2021-03-30 22:00:00,2021-03-30 23:00:00,33.09,114.47,2.25,5.83,8.35,1.55,18.31,0.48,8.85,0.43,,0.09,0.24,,85.57,0.49,137.84,,982.51,,,19.06,0.0
2021-03-30 23:00:00,2021-03-31 00:00:00,31.5,77.15,2.29,5.74,8.35,1.49,18.37,0.47,7.98,0.38,,0.09,0.22,,86.15,0.26,155.29,,982.13,,,19.08,0.0
2021-03-31 00:00:00,2021-03-31 01:00:00,27.33,72.24,2.65,4.76,7.93,1.28,18.35,0.45,7.84,0.37,,0.09,0.24,,85.73,0.24,168.51,,981.61,,,19.09,0.0
2021-03-31 01:00:00,2021-03-31 02:00:00,22.3,61.22,2.3,4.0,6.76,0.73,18.42,0.42,6.91,0.33,,0.09,0.23,,90.83,0.25,156.17,,981.06,,,18.38,0.03
2021-03-31 02:00:00,2021-03-31 03:00:00,27.13,81.25,2.23,3.71,6.4,0.58,18.36,0.4,6.55,0.32,,0.1,0.22,,94.23,0.39,136.28,,979.96,,,17.85,0.01
2021-03-31 03:00:00,2021-03-31 04:00:00,21.33,53.43,2.32,3.46,6.31,0.71,18.41,0.4,5.89,0.3,,0.1,0.23,,94.55,0.39,153.85,,979.56,,,17.81,0.0
2021-03-31 04:00:00,2021-03-31 05:00:00,22.98,55.88,2.27,3.51,6.29,0.62,18.38,0.39,6.6,0.3,,0.1,0.23,,94.75,0.39,186.03,,979.64,,,17.73,0.0
2021-03-31 05:00:00,2021-03-31 06:00:00,16.11,43.23,2.68,4.51,7.75,1.23,18.41,0.39,4.57,0.29,,0.09,0.2,,96.07,0.33,169.21,4.25,979.44,,,17.63,0.0
2021-03-31 06:00:00,2021-03-31 07:00:00,20.73,63.45,2.65,5.36,8.5,1.52,18.33,0.4,4.74,0.3,,0.09,0.22,,95.34,0.43,177.65,9.82,980.57,,,17.87,0.0
2021-03-31 07:00:00,2021-03-31 08:00:00,28.17,93.5,3.09,6.02,9.7,2.19,18.41,0.42,4.45,0.32,,0.1,0.23,,94.81,0.37,139.36,38.06,981.56,,,18.3,0.0
2021-03-31 08:00:00,2021-03-31 09:00:00,29.46,66.3,2.82,6.62,9.85,2.29,18.33,0.45,4.67,0.35,,0.1,0.25,,91.24,0.36,128.39,120.65,982.06,,,19.29,0.0
2021-03-31 09:00:00,2021-03-31 10:00:00,34.67,79.52,2.88,7.45,10.69,2.65,18.38,0.48,5.31,0.39,,0.11,0.27,,89.05,0.28,141.85,95.55,982.5,,,19.74,0.02
2021-03-31 10:00:00,2021-03-31 11:00:00,27.97,56.48,2.84,6.22,9.53,2.11,18.45,0.5,6.62,0.39,,0.12,0.29,,82.45,0.6,125.42,502.78,982.21,,,21.97,0.0
2021-03-31 11:00:00,2021-03-31 12:00:00,23.27,65.62,2.78,10.04,12.86,3.65,18.52,0.54,15.86,0.41,,0.09,0.24,,70.88,0.51,130.18,337.04,981.56,,,23.9,0.0
2021-03-31 12:00:00,2021-03-31 13:00:00,40.0,70.89,2.32,9.7,11.91,3.24,18.75,0.55,21.15,0.4,,,0.2,,65.34,0.64,134.54,428.49,980.56,,,25.03,0.0
2021-03-31 13:00:00,2021-03-31 14:00:00,35.75,63.31,2.33,8.27,10.6,2.76,18.96,0.53,23.7,0.41,,,0.18,,67.41,0.8,100.04,293.57,979.64,,,24.09,0.01
2021-03-31 14:00:00,2021-03-31 15:00:00,35.88,63.09,3.39,19.2,21.98,7.89,19.2,0.58,22.63,0.41,,,0.23,,71.69,0.73,137.64,242.14,979.09,,,23.16,0.01
2021-03-31 15:00:00,2021-03-31 16:00:00,44.11,68.79,4.54,32.02,35.07,14.11,18.95,0.61,18.5,0.43,,0.07,0.34,,72.55,0.97,91.37,66.68,978.73,,,22.71,0.0
2021-03-31 16:00:00,2021-03-31 17:00:00,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31 17:00:00,2021-03-31 18:00:00,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31 18:00:00,2021-03-31 19:00:00,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31 19:00:00,2021-03-31 20:00:00,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31 20:00:00,2021-03-31 21:00:00,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31 21:00:00,2021-03-31 22:00:00,,,,,,,,,,,,,,,,,,,,,,,
