From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),AT (degree C),RF (mm)
2022-01-18 20:00:00,2022-01-18 21:00:00,378.0,558.75,12.37,26.88,24.35,11.43,10.98,2.2,8.45,0.53,14.53,,,,,90.0,0.45,262.5,10.0,749.75,,2.58,10.45,0.0
2022-01-18 21:00:00,2022-01-18 22:00:00,273.25,397.25,8.85,23.0,19.4,10.55,8.72,1.9,7.2,0.5,14.55,,,,,90.75,0.3,253.5,10.0,750.5,,1.55,9.55,0.0
2022-01-18 22:00:00,2022-01-18 23:00:00,249.25,346.0,7.15,19.93,16.4,10.35,8.68,1.9,6.3,0.5,14.62,,,,,91.25,0.3,233.0,10.0,751.0,,1.27,9.15,0.0
2022-01-18 23:00:00,2022-01-19 00:00:00,224.25,305.0,6.55,19.85,15.88,10.55,8.72,1.77,6.03,0.5,14.93,,,,,92.0,0.33,298.75,9.75,750.0,,1.12,9.53,0.0
2022-01-19 00:00:00,2022-01-19 01:00:00,203.5,265.5,5.75,21.25,15.97,11.57,7.27,1.95,6.05,0.5,15.3,,,,,92.0,0.38,242.75,9.0,750.0,,1.02,9.6,0.0
2022-01-19 01:00:00,2022-01-19 02:00:00,180.0,241.5,5.67,21.17,15.85,11.72,7.2,1.87,8.75,0.5,15.15,,,,,92.0,0.62,108.25,7.0,750.0,,1.0,9.43,0.0
2022-01-19 02:00:00,2022-01-19 03:00:00,164.5,225.0,6.0,19.5,15.2,10.9,6.8,1.79,6.02,0.5,15.15,,,,,92.25,0.55,99.75,7.0,750.0,,0.97,9.45,0.0
2022-01-19 03:00:00,2022-01-19 04:00:00,148.5,213.5,5.8,19.35,15.02,11.25,6.03,1.51,6.25,0.5,15.3,,,,,93.0,1.0,80.75,7.0,749.25,,1.0,9.6,0.0
2022-01-19 04:00:00,2022-01-19 05:00:00,129.5,199.25,5.4,19.07,14.53,10.55,5.83,1.42,5.88,0.5,14.9,,,,,93.0,0.65,67.75,7.0,749.0,,1.0,9.75,0.0
2022-01-19 05:00:00,2022-01-19 06:00:00,121.0,182.0,5.1,18.43,13.95,10.2,6.35,1.51,4.9,0.4,14.82,,,,,93.0,0.47,91.0,7.0,749.0,,0.97,10.07,0.0
2022-01-19 06:00:00,2022-01-19 07:00:00,124.0,204.75,5.47,17.48,13.75,10.15,6.38,1.67,4.45,0.4,14.85,,,,,93.0,0.5,37.25,7.0,749.25,,0.92,10.35,0.0
2022-01-19 07:00:00,2022-01-19 08:00:00,143.0,255.75,5.75,17.4,13.93,10.32,6.8,1.68,5.12,0.4,15.1,,,,,93.75,0.57,47.5,9.75,750.0,,0.9,10.5,0.0
2022-01-19 08:00:00,2022-01-19 09:00:00,145.75,281.5,6.55,17.4,14.6,11.07,7.53,1.63,6.67,0.5,15.4,,,,,94.0,0.35,114.0,26.25,750.25,,0.97,10.95,0.0
2022-01-19 09:00:00,2022-01-19 10:00:00,140.75,264.75,6.72,18.02,15.02,11.12,8.07,1.25,11.83,0.45,15.4,,,,,93.0,0.62,110.0,49.0,750.25,,0.95,11.23,0.0
2022-01-19 10:00:00,2022-01-19 11:00:00,131.75,241.0,5.42,17.8,13.88,10.93,8.32,1.11,15.72,0.4,15.65,,,,,92.0,0.55,229.5,66.5,750.75,,0.92,11.82,0.0
2022-01-19 11:00:00,2022-01-19 12:00:00,156.5,236.0,3.82,15.68,11.43,10.4,8.38,1.16,19.3,0.35,15.43,,,,,91.0,0.77,173.25,91.25,749.75,,0.78,12.7,0.0
2022-01-19 12:00:00,2022-01-19 13:00:00,199.75,270.5,3.95,17.4,12.48,9.62,8.73,1.21,21.95,0.3,14.75,,,,,82.25,1.03,215.0,108.25,749.0,,0.67,14.1,0.0
2022-01-19 13:00:00,2022-01-19 14:00:00,203.5,278.25,3.45,16.38,11.53,9.43,8.78,1.16,29.9,0.67,15.43,,,,,73.5,1.05,136.5,162.5,748.25,,0.7,15.35,0.0
2022-01-19 14:00:00,2022-01-19 15:00:00,187.5,262.75,3.45,14.07,10.25,8.0,8.93,1.09,35.7,0.3,14.38,,,,,72.25,1.2,128.25,132.75,747.75,,0.6,15.9,0.0
2022-01-19 15:00:00,2022-01-19 16:00:00,184.25,270.25,3.28,15.0,10.7,8.12,10.0,1.19,38.2,0.3,14.3,,,,,73.75,1.28,205.75,65.5,747.0,,0.6,15.55,0.0
2022-01-19 16:00:00,2022-01-19 17:00:00,196.25,284.5,3.3,15.95,11.18,9.43,9.8,1.33,26.8,0.33,14.55,,,,,76.75,0.75,248.0,26.25,746.25,,0.72,15.08,0.0
2022-01-19 17:00:00,2022-01-19 18:00:00,199.5,316.5,4.45,21.1,14.85,11.65,9.5,1.52,17.57,0.45,16.12,,,,,82.25,0.3,302.25,11.75,746.0,,1.02,13.78,0.0
2022-01-19 18:00:00,2022-01-19 19:00:00,210.0,339.0,5.17,25.88,17.95,11.95,9.18,1.5,9.2,0.5,16.77,,,,,85.0,0.42,221.0,9.75,746.0,,1.15,13.32,0.0
2022-01-19 19:00:00,2022-01-19 20:00:00,193.75,314.5,5.78,25.08,18.02,11.55,9.22,1.63,5.83,0.45,16.32,,,,,87.25,0.4,219.75,10.0,746.25,,1.18,12.38,0.0
2022-01-19 20:00:00,2022-01-19 21:00:00,201.5,299.0,6.55,21.6,16.77,10.75,7.85,1.78,5.12,0.4,14.72,,,,,89.25,0.32,250.25,10.0,747.0,,1.15,11.72,0.0
2022-01-19 21:00:00,2022-01-19 22:00:00,214.25,315.25,8.0,20.5,17.4,10.4,7.83,2.0,5.82,0.4,14.4,,,,,90.25,0.3,246.75,8.25,747.0,,1.48,11.2,0.0
2022-01-19 22:00:00,2022-01-19 23:00:00,226.75,326.5,11.3,19.95,19.8,10.05,8.2,2.01,5.38,0.4,14.4,,,,,91.0,0.33,212.5,8.0,747.0,,1.27,11.1,0.0
2022-01-19 23:00:00,2022-01-20 00:00:00,219.5,326.0,12.0,20.1,20.43,10.15,8.6,2.09,5.22,0.4,14.43,,,,,91.0,0.6,237.75,8.0,746.0,,1.3,11.4,0.0
2022-01-20 00:00:00,2022-01-20 01:00:00,224.25,333.0,13.53,20.9,22.12,11.7,8.4,1.88,4.58,0.5,16.32,,,,,91.75,0.3,192.5,8.0,746.0,,1.55,11.05,0.0
2022-01-20 01:00:00,2022-01-20 02:00:00,210.75,311.25,11.38,19.67,19.72,11.88,8.62,1.6,3.6,0.5,16.12,,,,,92.0,0.5,162.0,8.5,745.75,,1.25,11.27,0.0
2022-01-20 02:00:00,2022-01-20 03:00:00,194.0,286.75,8.1,18.4,16.3,11.1,9.0,1.56,4.22,0.5,15.98,,,,,92.0,0.3,261.5,10.0,745.0,,1.02,11.5,0.0
2022-01-20 03:00:00,2022-01-20 04:00:00,189.75,272.25,8.23,18.1,16.3,11.68,7.95,1.63,3.67,0.5,16.33,,,,,92.0,0.3,147.5,10.0,744.75,,1.0,11.43,0.0
2022-01-20 04:00:00,2022-01-20 05:00:00,185.75,265.5,7.7,16.2,14.88,11.15,8.05,1.59,4.07,0.5,15.07,,,,,92.0,0.32,221.25,9.75,744.0,,0.93,11.22,0.0
2022-01-20 05:00:00,2022-01-20 06:00:00,185.0,262.25,9.05,17.0,16.4,10.6,8.92,1.53,3.93,0.47,14.7,,,,,92.75,0.38,306.25,9.0,744.0,,0.8,11.47,0.0
2022-01-20 06:00:00,2022-01-20 07:00:00,185.5,263.0,10.07,16.95,17.2,10.47,8.9,1.54,4.3,0.45,14.7,,,,,93.0,0.3,241.75,10.0,744.25,,0.8,11.5,0.0
2022-01-20 07:00:00,2022-01-20 08:00:00,185.75,256.75,9.25,16.9,16.5,10.32,9.07,1.6,3.6,0.4,14.72,,,,,93.0,0.38,243.25,10.75,745.0,,0.8,11.6,0.0
2022-01-20 08:00:00,2022-01-20 09:00:00,184.25,268.25,7.88,17.6,15.78,11.97,10.32,1.69,4.45,0.5,16.32,,,,,93.0,0.38,251.0,27.0,745.75,,0.88,11.9,0.0
2022-01-20 09:00:00,2022-01-20 10:00:00,192.25,286.5,6.95,18.6,15.53,12.33,10.95,1.55,8.15,0.5,16.45,,,,,93.0,0.33,283.0,37.25,746.5,,0.85,12.55,0.0
2022-01-20 10:00:00,2022-01-20 11:00:00,201.25,317.75,5.93,19.38,15.15,12.17,10.4,1.46,9.82,0.5,16.4,,,,,92.25,0.35,236.75,35.0,747.0,,0.9,12.77,0.0
2022-01-20 11:00:00,2022-01-20 12:00:00,230.0,337.75,5.85,19.2,15.0,12.18,10.68,1.45,13.33,0.5,16.45,,,,,92.0,0.85,201.0,64.5,746.5,,0.9,13.0,0.0
2022-01-20 12:00:00,2022-01-20 13:00:00,279.25,356.75,4.97,20.27,14.85,12.68,10.93,1.87,20.68,0.47,16.45,,,,,90.5,1.77,213.25,130.0,745.25,,1.05,14.15,0.0
2022-01-20 13:00:00,2022-01-20 14:00:00,308.75,387.5,5.03,21.25,15.38,11.7,11.88,1.47,24.98,0.4,13.8,,,,,85.5,1.57,216.0,166.5,744.5,,1.15,15.65,0.0
2022-01-20 14:00:00,2022-01-20 15:00:00,287.75,358.5,4.38,19.95,14.15,10.97,10.75,1.27,33.4,0.4,13.9,,,,,75.5,0.98,242.5,141.0,744.0,,0.97,17.43,0.0
2022-01-20 15:00:00,2022-01-20 16:00:00,226.75,276.0,3.7,18.9,13.05,11.18,11.33,1.19,35.1,0.35,14.4,,,,,73.25,1.05,214.5,87.5,743.0,,0.95,17.38,0.0
2022-01-20 16:00:00,2022-01-20 17:00:00,140.75,201.5,3.35,20.35,13.53,12.12,11.6,1.38,31.85,0.4,16.7,,,,,77.5,0.73,242.5,34.5,743.0,,1.05,16.62,0.0
2022-01-20 17:00:00,2022-01-20 18:00:00,150.5,213.5,4.28,21.85,15.07,10.85,11.67,1.88,23.07,0.4,15.5,,,,,81.75,0.35,256.5,13.5,743.0,,1.15,15.4,0.0
2022-01-20 18:00:00,2022-01-20 19:00:00,173.5,238.0,6.72,23.0,17.67,11.62,10.53,2.54,10.97,0.43,15.98,,,,,86.5,0.3,258.0,9.75,743.0,,1.45,13.75,0.0
2022-01-20 19:00:00,2022-01-20 20:00:00,194.0,263.75,8.05,22.55,18.52,12.25,8.98,1.98,5.55,0.47,16.88,,,,,88.5,0.3,259.5,9.0,743.5,,1.48,12.57,0.0
2022-01-20 20:00:00,2022-01-20 21:00:00,163.25,235.25,9.42,20.8,18.73,12.78,8.72,1.81,4.67,0.5,16.35,,,,,90.5,0.3,182.5,9.0,744.0,,1.27,12.12,0.0
2022-01-20 21:00:00,2022-01-20 22:00:00,139.0,210.0,8.35,18.47,16.62,11.18,8.53,1.41,4.35,0.4,14.9,,,,,90.75,0.32,68.25,9.0,744.25,,1.02,11.6,0.0
2022-01-20 22:00:00,2022-01-20 23:00:00,127.0,194.75,8.22,17.65,16.1,10.8,8.17,1.4,3.92,0.4,14.92,,,,,91.25,0.3,304.25,9.0,745.0,,0.97,11.07,0.0
2022-01-20 23:00:00,2022-01-21 00:00:00,118.25,175.25,8.12,17.88,16.1,10.6,8.28,1.39,3.03,0.4,14.97,,,,,91.75,0.3,319.0,9.0,744.5,,0.9,10.2,0.0
2022-01-21 00:00:00,2022-01-21 01:00:00,90.75,116.0,7.42,19.4,16.32,11.57,7.9,1.88,2.08,0.5,16.43,,,,,92.0,0.33,177.5,9.0,744.0,,0.95,9.77,0.0
2022-01-21 01:00:00,2022-01-21 02:00:00,86.25,106.25,7.45,17.98,15.6,11.9,7.35,1.74,2.3,0.5,17.25,,,,,92.0,0.3,264.5,9.0,744.0,,0.92,9.28,0.0
2022-01-21 02:00:00,2022-01-21 03:00:00,83.0,103.75,7.7,17.1,15.4,11.5,7.7,1.71,1.88,0.5,17.45,,,,,92.0,0.3,190.25,8.0,744.0,,0.95,8.93,0.0
2022-01-21 03:00:00,2022-01-21 04:00:00,79.75,102.0,7.88,16.65,15.23,11.72,7.35,1.61,1.77,0.5,17.43,,,,,92.75,0.33,241.75,8.0,744.0,,0.88,9.1,0.0
2022-01-21 04:00:00,2022-01-21 05:00:00,78.25,99.75,6.55,16.32,14.0,11.02,7.27,1.48,2.6,0.43,15.88,,,,,93.0,0.4,101.5,8.0,743.0,,0.9,9.97,0.0
2022-01-21 05:00:00,2022-01-21 06:00:00,74.5,99.0,5.82,17.3,13.93,10.5,7.88,1.44,2.6,0.4,15.05,,,,,93.0,0.3,208.75,8.0,743.25,,0.77,9.85,0.0
2022-01-21 06:00:00,2022-01-21 07:00:00,69.0,89.0,5.8,17.25,13.88,10.28,7.55,1.49,1.77,0.4,14.9,,,,,93.0,0.45,111.75,8.0,744.0,,0.7,9.62,0.0
2022-01-21 07:00:00,2022-01-21 08:00:00,65.75,85.0,6.05,16.88,13.88,10.17,7.88,1.38,2.35,0.4,14.92,,,,,93.0,0.3,169.0,11.5,744.5,,0.7,9.53,0.0
2022-01-21 08:00:00,2022-01-21 09:00:00,69.0,88.75,7.77,16.85,15.33,11.3,7.5,1.77,3.0,0.43,16.25,,,,,93.0,0.32,133.0,27.25,745.5,,0.77,9.95,0.0
2022-01-21 09:00:00,2022-01-21 10:00:00,81.25,107.25,10.53,18.15,18.2,12.58,8.0,1.8,4.18,0.53,17.18,,,,,93.0,0.38,83.75,57.75,746.5,,0.85,10.93,0.0
2022-01-21 10:00:00,2022-01-21 11:00:00,80.5,100.0,9.72,17.95,17.5,12.28,8.55,1.56,5.7,0.55,17.4,,,,,93.0,0.4,142.5,92.25,747.0,,0.88,12.47,0.0
2022-01-21 11:00:00,2022-01-21 12:00:00,79.0,96.25,6.55,15.85,13.77,11.3,9.68,1.45,11.62,0.45,16.58,,,,,91.75,0.7,107.25,175.5,746.5,,0.72,14.8,0.0
2022-01-21 12:00:00,2022-01-21 13:00:00,94.0,114.5,5.25,19.57,14.7,11.1,11.95,1.42,24.58,0.4,15.47,,,,,89.25,1.05,183.25,196.75,745.5,,0.73,17.35,0.0
2022-01-21 13:00:00,2022-01-21 14:00:00,105.0,142.25,4.12,19.27,13.62,11.72,16.1,1.23,35.9,0.4,15.45,,,,,68.75,1.1,233.75,189.25,745.0,,0.88,20.17,0.0
2022-01-21 14:00:00,2022-01-21 15:00:00,80.75,119.25,3.38,17.88,12.25,10.68,14.95,1.12,41.92,0.4,14.98,,,,,64.0,1.08,250.0,161.0,744.25,,0.72,20.57,0.0
2022-01-21 15:00:00,2022-01-21 16:00:00,70.25,109.75,3.95,19.73,13.72,10.65,15.1,1.12,39.85,0.4,15.35,,,,,63.5,0.82,251.75,114.0,743.5,,0.88,20.65,0.0
2022-01-21 16:00:00,2022-01-21 17:00:00,80.0,121.0,4.15,21.4,14.77,10.33,14.45,1.71,44.75,0.4,14.92,,,,,69.75,0.65,281.25,43.5,743.0,,1.3,19.53,0.0
2022-01-21 17:00:00,2022-01-21 18:00:00,117.5,172.0,5.82,25.98,18.55,10.8,13.85,2.24,25.35,0.43,14.93,,,,,77.75,0.33,311.75,14.0,743.0,,1.68,17.23,0.0
2022-01-21 18:00:00,2022-01-21 19:00:00,126.25,202.0,13.07,30.98,27.12,11.68,14.75,2.52,8.68,0.6,15.38,,,,,85.25,0.3,312.0,9.5,743.25,,3.7,14.57,0.0
2022-01-21 19:00:00,2022-01-21 20:00:00,136.75,227.0,11.43,26.03,23.1,11.53,11.07,1.95,5.22,0.6,15.62,,,,,88.75,0.3,312.0,9.0,744.0,,3.6,13.28,0.0
2022-01-21 20:00:00,2022-01-21 21:00:00,130.5,195.25,9.4,22.17,19.45,12.07,10.3,1.96,5.2,0.5,16.0,,,,,90.0,0.3,312.0,9.0,744.5,,2.38,12.25,0.0
2022-01-21 21:00:00,2022-01-21 22:00:00,124.5,188.75,8.97,18.75,17.27,11.12,9.73,1.73,4.3,0.45,14.57,,,,,91.0,0.35,290.5,9.0,745.0,,2.1,11.43,0.0
2022-01-21 22:00:00,2022-01-21 23:00:00,117.5,171.75,9.12,20.5,18.32,11.32,9.93,2.38,5.25,0.4,14.42,,,,,91.75,0.5,193.0,9.75,744.25,,1.6,12.4,0.0
2022-01-21 23:00:00,2022-01-22 00:00:00,162.25,215.0,10.12,20.8,19.3,11.45,10.18,2.5,6.03,0.4,14.42,,,,,92.0,0.33,232.25,9.5,744.25,,1.48,11.8,0.0
2022-01-22 00:00:00,2022-01-22 01:00:00,150.5,209.0,10.03,19.48,18.52,11.45,8.98,2.25,4.85,0.47,15.18,,,,,92.0,0.3,279.5,10.0,743.5,,1.45,10.57,0.0
2022-01-22 01:00:00,2022-01-22 02:00:00,129.75,171.25,11.05,18.38,18.77,11.9,8.4,2.12,5.9,0.5,16.4,,,,,92.5,0.32,261.25,10.0,743.5,,1.42,10.38,0.0
2022-01-22 02:00:00,2022-01-22 03:00:00,128.75,171.0,11.7,23.3,21.9,11.5,8.9,1.25,4.78,0.5,16.6,,,,,93.0,0.75,194.0,9.75,741.75,,1.48,11.52,0.0
2022-01-22 03:00:00,2022-01-22 04:00:00,127.5,175.0,10.18,23.32,20.65,11.6,9.2,0.99,4.88,0.5,16.78,,,,,93.0,0.33,188.75,9.0,741.5,,1.43,12.57,0.0
2022-01-22 04:00:00,2022-01-22 05:00:00,92.75,136.25,8.28,20.98,17.88,11.75,10.07,0.61,8.02,0.47,16.5,,,,,93.0,0.95,233.75,9.0,741.0,,1.2,13.02,0.0
2022-01-22 05:00:00,2022-01-22 06:00:00,77.0,121.75,6.38,21.65,16.7,10.97,12.1,0.66,7.65,0.4,15.03,,,,,92.25,0.88,231.75,9.0,741.25,,0.92,13.15,0.0
2022-01-22 06:00:00,2022-01-22 07:00:00,88.0,134.25,5.68,21.95,16.3,10.72,11.25,0.76,8.65,0.4,14.73,,,,,92.0,0.85,233.5,9.5,741.75,,0.88,13.03,0.0
2022-01-22 07:00:00,2022-01-22 08:00:00,96.0,150.75,5.42,21.2,15.68,10.57,11.2,0.68,12.32,0.4,14.73,,,,,91.75,0.95,262.25,10.0,742.0,,0.88,13.05,0.0
2022-01-22 08:00:00,2022-01-22 09:00:00,106.0,165.25,4.7,21.28,15.15,11.28,12.65,1.0,16.57,0.4,15.22,,,,,91.0,1.88,236.0,11.75,742.25,,0.77,13.25,0.0
2022-01-22 09:00:00,2022-01-22 10:00:00,117.5,173.75,4.58,21.85,15.35,12.6,12.07,0.83,16.07,0.4,17.05,,,,,91.0,1.77,232.5,16.0,743.0,,0.85,13.38,0.0
2022-01-22 10:00:00,2022-01-22 11:00:00,116.5,169.0,5.03,21.38,15.42,12.15,11.55,1.11,15.8,0.4,16.77,,,,,91.0,1.8,232.25,35.75,743.5,,0.82,13.33,0.0
2022-01-22 11:00:00,2022-01-22 12:00:00,112.75,157.75,5.05,20.4,14.95,11.53,14.2,1.17,26.2,0.4,16.82,,,,,86.5,2.83,237.25,114.5,742.0,,0.9,14.47,0.0
2022-01-22 12:00:00,2022-01-22 13:00:00,100.75,137.25,3.33,17.0,11.72,10.85,16.98,1.3,37.17,0.3,15.9,,,,,78.0,3.65,236.25,146.0,741.5,,0.97,16.27,0.0
2022-01-22 13:00:00,2022-01-22 14:00:00,107.5,145.25,3.35,14.57,10.45,9.93,32.08,1.03,47.65,0.27,15.1,,,,,75.25,3.42,230.5,71.75,740.25,,0.85,17.0,0.0
2022-01-22 14:00:00,2022-01-22 15:00:00,85.0,120.25,2.95,11.7,8.62,7.18,16.85,0.9,41.85,0.17,12.3,,,,,73.0,3.3,232.75,37.75,740.0,,0.45,17.18,0.0
2022-01-22 15:00:00,2022-01-22 16:00:00,60.0,93.0,2.95,13.85,9.78,9.15,15.33,0.81,35.77,0.2,14.47,,,,,75.25,2.9,236.25,20.75,740.0,,0.83,16.93,0.0
2022-01-22 16:00:00,2022-01-22 17:00:00,68.0,107.5,3.17,15.25,10.68,9.12,14.1,1.21,28.85,0.23,13.77,,,,,78.0,2.8,233.0,15.0,739.25,,0.88,16.42,0.0
2022-01-22 17:00:00,2022-01-22 18:00:00,78.0,114.0,3.2,19.23,12.82,9.32,15.03,1.09,24.93,0.3,15.7,,,,,80.25,2.2,235.5,10.5,740.0,,1.12,16.25,0.0
2022-01-22 18:00:00,2022-01-22 19:00:00,90.5,135.5,3.1,16.92,11.53,8.55,17.15,1.13,30.45,0.22,14.22,,,,,78.0,2.73,236.5,10.0,740.25,,1.05,16.3,0.0
2022-01-22 19:00:00,2022-01-22 20:00:00,91.0,126.0,3.45,17.77,12.25,9.62,17.93,1.1,28.0,0.3,15.28,,,,,77.75,3.38,227.25,10.0,741.0,,0.97,16.17,0.0
2022-01-22 20:00:00,2022-01-22 21:00:00,82.0,113.5,3.17,17.25,11.75,9.6,18.92,0.88,29.23,0.3,15.75,,,,,75.0,3.8,226.75,10.0,741.5,,0.73,15.95,0.0
2022-01-22 21:00:00,2022-01-22 22:00:00,62.25,91.5,3.38,15.57,11.02,9.6,18.82,0.78,28.65,0.3,15.75,,,,,76.75,3.77,225.75,10.0,742.0,,0.67,15.68,0.0
2022-01-22 22:00:00,2022-01-22 23:00:00,54.25,79.75,3.05,13.55,9.7,8.02,15.85,0.31,29.15,0.2,13.02,,,,,79.5,3.78,217.25,10.0,742.0,,0.53,15.48,0.0
2022-01-22 23:00:00,2022-01-23 00:00:00,47.0,67.0,3.33,14.13,10.22,7.6,11.42,0.53,25.38,0.2,12.9,,,,,82.75,2.8,217.25,10.0,742.0,,0.47,15.15,0.0
2022-01-23 00:00:00,2022-01-23 01:00:00,47.0,63.0,3.58,14.12,10.42,7.47,10.57,0.69,26.27,0.2,12.97,,,,,81.25,3.35,218.25,10.0,741.5,,0.45,15.27,0.0
2022-01-23 01:00:00,2022-01-23 02:00:00,37.5,50.0,3.38,14.52,10.47,8.3,10.07,1.22,21.35,0.23,13.85,,,,,81.25,3.45,216.5,10.0,741.0,,0.47,15.45,0.0
2022-01-23 02:00:00,2022-01-23 03:00:00,37.0,49.25,4.0,15.2,11.3,8.9,9.5,1.81,25.93,0.3,15.55,,,,,83.25,2.88,212.5,10.0,740.75,,0.5,15.5,0.0
2022-01-23 03:00:00,2022-01-23 04:00:00,38.5,54.5,3.9,14.45,10.88,9.5,10.73,1.81,24.17,0.3,16.07,,,,,84.75,3.58,213.25,10.0,740.0,,0.55,15.6,0.0
2022-01-23 04:00:00,2022-01-23 05:00:00,31.5,47.75,4.03,15.0,11.23,9.65,10.55,1.75,25.65,0.3,16.22,,,,,82.5,2.62,229.75,10.0,739.25,,0.53,15.88,0.0
2022-01-23 05:00:00,2022-01-23 06:00:00,24.5,39.25,3.55,14.53,10.62,9.03,10.3,1.34,21.05,0.25,15.35,,,,,82.5,0.88,269.75,9.5,740.5,,0.57,15.47,0.0
2022-01-23 06:00:00,2022-01-23 07:00:00,24.5,33.25,3.72,13.93,10.43,8.25,9.78,1.07,24.33,0.2,13.72,,,,,86.5,1.82,246.25,8.5,741.0,,0.5,14.75,0.0
2022-01-23 07:00:00,2022-01-23 08:00:00,19.5,28.25,3.35,13.55,9.95,7.72,9.52,0.42,24.77,0.2,13.4,,,,,86.75,1.03,248.0,9.5,741.5,,0.45,14.55,0.0
2022-01-23 08:00:00,2022-01-23 09:00:00,20.0,24.25,3.5,14.5,10.55,7.7,9.97,0.58,18.72,0.2,13.33,,,,,88.5,1.07,220.5,12.0,742.25,,0.45,14.38,0.0
2022-01-23 09:00:00,2022-01-23 10:00:00,26.0,37.0,3.9,15.4,11.4,7.6,10.3,0.7,21.1,0.2,13.4,,,,,89.0,2.0,229.0,11.0,743.0,,0.5,14.5,0.0
2022-01-23 10:00:00,2022-01-23 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-23 11:00:00,2022-01-23 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-23 12:00:00,2022-01-23 13:00:00,26.0,37.0,,,0.0,,6.9,0.13,40.8,0.2,11.6,,,,,80.0,2.53,256.67,18.0,743.0,,0.4,16.73,0.0
2022-01-23 13:00:00,2022-01-23 14:00:00,41.0,47.0,2.5,10.17,6.12,11.83,15.0,3.51,28.75,0.28,15.68,,,,,86.25,1.42,241.75,17.0,742.25,,0.55,15.35,0.0
2022-01-23 14:00:00,2022-01-23 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-23 15:00:00,2022-01-23 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-23 16:00:00,2022-01-23 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-23 17:00:00,2022-01-23 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-23 18:00:00,2022-01-23 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-23 19:00:00,2022-01-23 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-23 20:00:00,2022-01-23 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,
