From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),RF (mm)
2022-12-06 02:00:00,2022-12-06 03:00:00,320.0,436.0,12.68,77.53,51.55,40.55,3.38,1.79,1.15,3.9,102.45,3.23,7.22,,64.0,0.83,230.75,10.0,20.9,0.0
2022-12-06 03:00:00,2022-12-06 04:00:00,225.5,300.25,3.17,64.97,37.17,41.62,1.93,1.27,8.47,3.17,99.88,2.8,6.03,,63.5,0.7,251.25,10.0,20.73,0.0
2022-12-06 04:00:00,2022-12-06 05:00:00,195.5,249.25,5.2,55.7,33.9,43.08,2.4,1.48,5.37,2.58,98.18,2.42,5.02,,66.5,0.75,295.25,10.0,20.52,0.0
2022-12-06 05:00:00,2022-12-06 06:00:00,201.75,271.25,1.25,41.75,23.23,37.92,14.93,1.18,36.8,2.2,95.7,2.12,4.38,,62.0,1.08,268.25,10.0,20.73,0.0
2022-12-06 06:00:00,2022-12-06 07:00:00,179.25,259.25,1.55,55.12,30.6,34.15,14.82,1.47,23.08,1.98,93.65,1.85,3.7,,61.75,0.8,268.5,10.75,20.78,0.0
2022-12-06 07:00:00,2022-12-06 08:00:00,246.0,325.5,3.07,57.93,33.33,35.3,9.82,1.44,37.03,2.32,92.68,1.67,3.35,,59.25,0.9,286.5,32.5,21.0,0.0
2022-12-06 08:00:00,2022-12-06 09:00:00,247.0,397.0,5.6,61.45,37.23,34.55,10.88,1.34,46.13,2.2,91.0,1.52,3.0,,53.25,1.1,291.25,95.0,21.82,0.0
2022-12-06 09:00:00,2022-12-06 10:00:00,220.5,465.5,2.55,29.15,17.6,33.12,10.9,0.85,163.7,1.95,92.45,1.45,2.85,,45.75,1.7,289.25,174.25,22.88,0.0
2022-12-06 10:00:00,2022-12-06 11:00:00,145.5,265.5,0.85,18.52,10.52,27.4,13.8,0.6,111.25,1.18,66.62,1.1,2.17,,40.0,1.77,305.0,241.25,24.05,0.0
2022-12-06 11:00:00,2022-12-06 12:00:00,129.0,200.75,0.3,15.8,8.67,26.23,15.05,0.61,151.68,0.7,41.73,0.73,1.45,,35.0,2.18,330.25,276.5,24.65,0.0
2022-12-06 12:00:00,2022-12-06 13:00:00,125.0,196.0,0.6,16.1,9.1,24.22,17.75,0.6,145.53,0.67,48.03,0.63,1.27,,31.0,2.1,326.25,284.25,25.15,0.0
2022-12-06 13:00:00,2022-12-06 14:00:00,,,0.35,15.25,8.35,22.57,23.0,0.71,168.43,0.53,51.7,0.53,1.0,,30.0,2.1,337.25,261.0,25.45,0.0
2022-12-06 14:00:00,2022-12-06 15:00:00,107.5,190.0,0.4,14.9,8.28,21.25,19.15,0.72,167.25,0.5,37.53,0.47,0.95,,27.5,2.17,340.25,211.75,25.77,0.0
2022-12-06 15:00:00,2022-12-06 16:00:00,95.0,170.0,0.27,14.52,7.92,19.27,13.05,0.66,158.07,0.43,44.17,0.43,0.9,,25.5,2.05,333.25,139.25,26.15,0.0
2022-12-06 16:00:00,2022-12-06 17:00:00,77.25,149.0,0.15,14.45,7.78,18.3,11.88,0.68,156.75,0.4,53.73,0.5,0.9,,28.5,1.68,341.25,53.25,26.08,0.0
2022-12-06 17:00:00,2022-12-06 18:00:00,80.25,154.25,0.13,23.15,12.35,19.2,10.15,0.97,119.0,0.4,60.5,0.5,0.93,,34.25,1.38,323.25,13.5,25.4,0.0
2022-12-06 18:00:00,2022-12-06 19:00:00,108.0,266.5,11.57,97.97,61.5,25.1,12.62,2.25,32.05,0.68,68.95,0.68,1.25,,38.75,0.95,284.25,10.25,24.7,0.0
2022-12-06 19:00:00,2022-12-06 20:00:00,183.75,506.75,14.95,95.8,63.12,27.13,14.75,2.68,23.15,1.07,77.95,0.9,1.92,,41.25,1.2,279.25,10.0,24.15,0.0
2022-12-06 20:00:00,2022-12-06 21:00:00,212.25,530.0,6.65,79.08,47.45,28.27,15.53,1.96,32.48,1.52,84.85,1.1,2.35,,42.5,1.35,280.75,10.25,23.7,0.0
2022-12-06 21:00:00,2022-12-06 22:00:00,174.5,372.75,1.97,57.68,32.27,24.65,12.45,1.47,59.22,1.52,87.92,1.12,2.35,,43.0,1.38,272.75,10.25,23.55,0.0
2022-12-06 22:00:00,2022-12-06 23:00:00,147.75,288.5,0.65,50.95,27.65,23.43,9.95,1.4,62.4,1.35,89.07,1.1,2.23,,43.5,1.18,267.5,10.0,23.32,0.0
2022-12-06 23:00:00,2022-12-07 00:00:00,145.5,290.0,47.45,83.68,83.1,25.15,8.67,2.37,16.1,1.22,89.55,1.12,2.3,,51.75,0.72,186.75,10.0,22.62,0.0
2022-12-07 00:00:00,2022-12-07 01:00:00,211.75,527.0,29.85,77.92,65.7,28.82,4.88,2.22,0.8,1.55,92.5,1.42,2.95,,55.25,0.6,238.75,10.0,22.25,0.0
2022-12-07 01:00:00,2022-12-07 02:00:00,186.75,329.25,3.8,73.53,42.2,31.15,4.28,1.53,10.25,1.73,93.12,1.5,3.23,,51.75,0.68,249.25,10.0,22.43,0.0
2022-12-07 02:00:00,2022-12-07 03:00:00,143.75,221.0,1.5,64.3,35.42,29.5,3.88,1.26,19.4,1.67,93.58,1.5,3.18,,53.25,0.75,262.25,10.0,22.15,0.0
2022-12-07 03:00:00,2022-12-07 04:00:00,137.0,198.5,0.37,27.9,15.1,29.18,9.1,0.75,72.38,1.52,93.12,1.37,2.9,,49.5,1.05,279.25,10.0,22.18,0.0
2022-12-07 04:00:00,2022-12-07 05:00:00,99.5,148.25,0.13,19.3,10.32,24.88,16.15,0.66,78.2,1.18,91.0,1.2,2.4,,51.5,0.97,287.25,10.0,21.85,0.0
2022-12-07 05:00:00,2022-12-07 06:00:00,92.25,136.0,0.5,25.57,13.82,22.95,14.68,0.73,63.62,1.0,89.78,1.02,1.97,,52.25,1.05,273.5,10.0,21.7,0.0
2022-12-07 06:00:00,2022-12-07 07:00:00,105.25,161.0,1.32,39.3,22.0,24.85,51.65,1.16,60.25,0.97,88.25,0.95,1.73,,50.0,1.1,267.0,10.75,21.85,0.0
2022-12-07 07:00:00,2022-12-07 08:00:00,185.0,260.25,12.2,74.0,49.27,22.43,36.08,1.6,38.08,1.35,86.3,0.88,1.62,,47.75,1.35,265.75,33.5,22.15,0.0
2022-12-07 08:00:00,2022-12-07 09:00:00,182.25,361.5,5.53,43.95,27.88,21.12,16.55,0.93,67.2,1.48,86.18,0.85,1.6,,40.0,1.75,280.5,104.5,23.4,0.0
2022-12-07 09:00:00,2022-12-07 10:00:00,110.5,326.25,0.85,18.65,10.6,21.75,13.78,0.59,171.6,1.23,85.4,0.82,1.58,,35.5,2.25,306.0,189.0,24.4,0.0
2022-12-07 10:00:00,2022-12-07 11:00:00,83.75,160.75,0.35,15.2,8.35,20.73,12.6,0.56,131.43,0.93,76.73,0.73,1.32,,31.75,2.85,317.25,258.0,25.1,0.0
2022-12-07 11:00:00,2022-12-07 12:00:00,78.25,174.75,0.2,15.13,8.2,20.88,10.55,0.56,139.68,0.62,56.05,0.53,1.0,,30.0,2.73,310.25,304.25,25.62,0.0
2022-12-07 12:00:00,2022-12-07 13:00:00,80.0,152.0,0.4,14.5,8.05,19.3,7.42,0.48,135.5,0.55,57.08,0.47,0.9,,25.0,2.83,328.0,312.75,26.15,0.0
2022-12-07 13:00:00,2022-12-07 14:00:00,60.25,131.75,0.33,12.85,7.1,17.4,4.9,0.43,138.78,0.43,55.5,0.4,0.73,,21.0,2.83,337.75,281.75,26.62,0.0
2022-12-07 14:00:00,2022-12-07 15:00:00,46.75,124.0,0.28,12.27,6.75,16.75,2.97,0.41,141.03,0.4,54.3,0.4,0.7,,19.5,2.7,330.25,223.25,26.9,0.0
2022-12-07 15:00:00,2022-12-07 16:00:00,43.75,124.0,0.28,12.17,6.7,15.95,2.55,0.4,142.55,0.33,54.85,0.3,0.67,,20.0,2.33,343.75,138.25,26.87,0.0
2022-12-07 16:00:00,2022-12-07 17:00:00,38.5,105.75,0.2,13.88,7.55,17.25,4.67,0.47,144.62,0.3,56.45,0.3,0.6,,26.5,1.5,235.67,54.5,26.43,0.0
2022-12-07 17:00:00,2022-12-07 18:00:00,53.0,121.75,0.15,19.23,10.22,18.4,4.9,0.64,122.68,0.32,61.88,0.4,0.65,,32.5,1.4,336.25,14.25,25.7,0.0
2022-12-07 18:00:00,2022-12-07 19:00:00,74.5,182.0,4.2,75.22,43.45,21.22,8.4,1.78,51.38,0.47,68.85,0.47,0.85,,37.0,1.05,278.0,11.0,25.17,0.0
2022-12-07 19:00:00,2022-12-07 20:00:00,126.5,363.25,25.0,105.4,76.38,28.95,9.5,2.8,11.07,0.95,78.58,0.77,1.62,,42.0,1.0,273.5,10.75,24.48,0.0
2022-12-07 20:00:00,2022-12-07 21:00:00,196.5,528.75,7.9,94.15,56.5,29.5,7.85,1.99,18.57,1.55,85.93,1.22,2.4,,40.0,1.03,270.5,10.5,24.25,0.0
2022-12-07 21:00:00,2022-12-07 22:00:00,154.5,360.75,47.88,103.33,93.88,26.88,7.68,3.27,10.18,1.75,90.68,1.4,2.77,,44.25,0.72,238.25,10.0,23.77,0.0
2022-12-07 22:00:00,2022-12-07 23:00:00,229.5,518.75,136.45,100.37,164.32,35.25,9.82,5.07,5.15,2.3,96.35,2.08,4.03,,50.75,0.75,201.25,10.0,23.2,0.0
2022-12-07 23:00:00,2022-12-08 00:00:00,298.25,688.0,124.28,83.3,145.33,45.07,10.77,4.26,1.87,3.3,106.6,2.8,5.88,,54.0,0.8,174.5,10.0,22.65,0.0
2022-12-08 00:00:00,2022-12-08 01:00:00,278.25,725.0,28.93,76.78,64.35,38.62,7.48,1.94,,3.52,109.35,2.8,6.0,,52.75,0.73,229.75,10.0,22.38,0.0
2022-12-08 01:00:00,2022-12-08 02:00:00,167.5,310.75,14.3,69.58,48.62,37.33,7.62,1.51,0.3,3.15,105.7,2.52,5.28,,52.5,0.75,187.25,10.0,22.25,0.0
2022-12-08 02:00:00,2022-12-08 03:00:00,155.0,336.75,3.0,59.08,33.85,35.88,7.5,1.16,4.6,2.85,103.27,2.2,4.53,,52.25,0.83,221.0,10.0,22.0,0.0
2022-12-08 03:00:00,2022-12-08 04:00:00,126.75,197.25,1.6,55.75,30.98,37.15,4.9,1.01,7.95,2.55,98.48,1.88,3.85,,54.0,0.75,259.75,10.0,21.77,0.0
2022-12-08 04:00:00,2022-12-08 05:00:00,120.0,184.0,0.77,51.37,27.97,36.67,2.8,0.96,3.2,2.3,96.47,1.67,3.4,,57.33,0.57,205.33,10.0,21.5,0.0
2022-12-08 05:00:00,2022-12-08 06:00:00,102.0,165.5,6.0,57.9,35.7,36.12,2.47,1.3,,1.95,93.12,1.5,3.05,,61.75,0.6,258.25,10.0,21.05,0.0
2022-12-08 06:00:00,2022-12-08 07:00:00,161.25,232.25,8.43,54.85,36.05,36.05,4.53,1.02,2.3,2.02,90.4,1.4,2.85,,57.75,0.82,242.0,10.5,21.32,0.0
2022-12-08 07:00:00,2022-12-08 08:00:00,172.5,259.5,27.72,70.67,60.15,38.95,3.75,1.28,2.73,2.23,89.15,1.3,2.55,,54.0,0.85,226.0,32.25,21.75,0.0
2022-12-08 08:00:00,2022-12-08 09:00:00,155.25,313.25,30.7,82.05,68.6,54.17,6.35,1.52,9.27,2.15,89.45,1.27,2.52,,43.25,0.82,263.5,101.25,23.15,0.0
2022-12-08 09:00:00,2022-12-08 10:00:00,161.0,428.75,5.83,38.65,25.27,42.25,7.28,0.92,147.67,2.02,91.38,1.3,2.6,,32.0,1.32,285.0,184.75,24.75,0.0
2022-12-08 10:00:00,2022-12-08 11:00:00,99.75,302.25,1.1,16.12,9.45,31.85,8.9,0.41,110.68,1.62,91.62,1.2,2.33,,27.5,1.53,182.0,256.25,25.5,0.0
2022-12-08 11:00:00,2022-12-08 12:00:00,60.75,116.25,0.67,14.97,8.53,26.55,6.4,0.42,125.82,1.02,78.6,0.93,1.73,,25.5,1.75,257.0,297.25,25.83,0.0
2022-12-08 12:00:00,2022-12-08 13:00:00,54.25,100.25,0.35,13.3,7.4,24.27,7.95,0.43,139.47,0.7,70.35,0.7,1.37,,23.5,1.58,315.25,306.25,26.18,0.0
2022-12-08 13:00:00,2022-12-08 14:00:00,58.0,103.0,0.25,13.65,7.25,22.73,8.57,0.38,136.38,0.6,69.45,0.65,1.15,,22.25,1.7,319.0,280.5,26.6,0.0
2022-12-08 14:00:00,2022-12-08 15:00:00,,,0.48,14.38,8.03,21.62,10.08,0.58,152.67,0.4,57.4,0.5,0.83,,19.0,1.72,326.75,222.5,27.02,0.0
2022-12-08 15:00:00,2022-12-08 16:00:00,,110.5,0.38,13.52,7.5,20.93,9.38,0.56,151.23,0.4,64.83,0.5,0.92,,20.5,1.77,334.5,139.25,27.05,0.0
2022-12-08 16:00:00,2022-12-08 17:00:00,,105.0,0.2,15.05,8.15,21.53,8.2,0.62,143.4,0.4,65.7,0.5,0.85,,23.0,1.48,334.0,57.5,26.75,0.0
2022-12-08 17:00:00,2022-12-08 18:00:00,,150.5,0.1,25.25,13.37,23.15,10.0,0.9,110.07,0.43,69.08,0.53,0.9,,27.25,1.25,327.0,14.5,26.1,0.0
2022-12-08 18:00:00,2022-12-08 19:00:00,,314.5,0.35,38.88,20.77,26.15,10.6,1.19,83.47,0.55,75.52,0.62,1.1,,32.25,1.25,316.75,11.0,25.35,0.0
2022-12-08 19:00:00,2022-12-08 20:00:00,,310.75,10.6,95.42,59.37,29.33,11.48,2.21,20.32,0.78,80.83,0.72,1.32,,36.75,0.88,256.75,11.0,24.7,0.0
2022-12-08 20:00:00,2022-12-08 21:00:00,,409.25,89.05,118.1,135.22,36.28,15.2,4.08,2.6,1.3,85.68,1.05,2.22,,42.0,0.85,224.0,11.0,24.15,0.0
2022-12-08 21:00:00,2022-12-08 22:00:00,,492.0,117.6,117.15,157.92,42.4,14.95,4.57,2.03,2.2,91.97,1.95,4.33,,46.5,0.97,226.25,11.0,23.65,0.0
2022-12-08 22:00:00,2022-12-08 23:00:00,,487.0,67.5,112.45,114.7,41.2,11.98,3.55,,2.7,94.67,2.35,5.38,,47.0,0.8,265.0,10.75,23.4,0.0
2022-12-08 23:00:00,2022-12-09 00:00:00,,377.0,26.53,100.22,74.88,37.0,12.03,2.99,0.2,2.75,95.93,2.4,5.65,,47.0,0.88,283.75,11.0,23.27,0.0
2022-12-09 00:00:00,2022-12-09 01:00:00,,396.25,12.3,81.38,53.3,36.47,8.7,2.12,8.23,2.6,96.75,2.3,5.47,,48.75,0.93,275.25,11.0,22.9,0.0
2022-12-09 01:00:00,2022-12-09 02:00:00,,376.5,2.08,57.8,32.43,33.35,6.92,1.23,27.7,2.35,96.15,2.1,4.8,,47.5,1.0,283.5,11.0,22.82,0.0
2022-12-09 02:00:00,2022-12-09 03:00:00,,194.0,0.68,34.32,18.82,31.85,4.55,0.74,48.38,1.95,94.85,1.78,4.02,,49.25,0.93,305.0,11.0,22.67,0.0
2022-12-09 03:00:00,2022-12-09 04:00:00,,172.0,,21.63,11.3,28.7,5.03,0.46,70.25,1.45,92.15,1.45,3.25,,47.75,1.2,303.25,11.0,22.58,0.0
2022-12-09 04:00:00,2022-12-09 05:00:00,,95.25,,20.07,10.62,26.73,4.83,0.45,63.08,1.12,90.45,1.23,2.58,,49.75,1.02,310.5,11.0,22.25,0.0
2022-12-09 05:00:00,2022-12-09 06:00:00,,101.5,,18.82,10.03,26.55,5.67,0.46,70.0,0.9,88.25,1.0,2.15,,50.5,1.23,315.5,10.75,22.12,0.0
2022-12-09 06:00:00,2022-12-09 07:00:00,,123.75,1.92,38.33,21.95,27.88,6.07,0.75,42.97,0.73,84.2,0.82,1.62,,54.25,1.0,295.0,12.25,21.77,0.0
2022-12-09 07:00:00,2022-12-09 08:00:00,,218.5,19.93,69.28,53.02,30.73,10.45,1.44,22.03,0.8,83.05,0.8,1.52,,53.25,0.92,266.75,43.25,22.2,0.0
2022-12-09 08:00:00,2022-12-09 09:00:00,,361.75,4.98,38.38,24.48,31.45,22.45,0.95,125.37,1.08,84.17,0.88,1.62,,46.75,0.83,162.75,111.0,23.2,0.0
2022-12-09 09:00:00,2022-12-09 10:00:00,,326.75,3.7,42.08,25.38,29.45,23.12,1.02,93.63,1.1,85.97,0.95,1.63,,42.5,1.15,44.5,186.75,23.98,0.0
2022-12-09 10:00:00,2022-12-09 11:00:00,,259.75,2.72,38.98,22.98,30.93,23.7,1.03,141.65,1.1,87.18,1.02,1.65,,38.25,1.32,69.25,246.25,25.08,0.0
2022-12-09 11:00:00,2022-12-09 12:00:00,,263.75,1.5,35.4,20.05,32.52,36.9,0.91,183.23,1.05,85.67,1.05,1.6,,34.25,1.55,52.0,266.75,25.77,0.0
2022-12-09 12:00:00,2022-12-09 13:00:00,,261.25,1.73,37.53,21.33,34.6,31.77,0.9,187.5,0.95,80.83,1.0,1.48,,29.75,1.65,78.5,278.25,26.4,0.0
2022-12-09 13:00:00,2022-12-09 14:00:00,,229.25,1.0,25.88,14.57,31.93,30.28,0.7,198.72,0.85,81.6,0.95,1.37,,24.5,1.23,25.25,249.0,26.98,0.0
2022-12-09 14:00:00,2022-12-09 15:00:00,,181.25,0.9,25.07,14.07,26.43,10.75,0.65,174.2,0.73,82.73,0.85,1.25,,21.75,1.6,31.25,188.0,27.18,0.0
2022-12-09 15:00:00,2022-12-09 16:00:00,,161.25,0.85,25.02,14.03,26.8,6.88,0.7,176.25,0.6,79.88,0.75,1.1,,24.0,1.38,20.5,105.5,27.12,0.0
2022-12-09 16:00:00,2022-12-09 17:00:00,101.0,170.75,0.4,27.12,14.73,26.27,6.7,0.76,175.03,0.67,60.6,0.67,1.02,,28.25,0.95,269.0,37.25,26.7,0.0
2022-12-09 17:00:00,2022-12-09 18:00:00,109.0,258.25,0.2,40.17,21.38,28.68,8.0,1.23,126.88,0.7,59.8,0.67,1.07,,36.0,1.18,313.0,12.0,25.85,0.0
2022-12-09 18:00:00,2022-12-09 19:00:00,145.75,416.75,12.78,79.9,52.9,33.75,10.35,2.17,77.8,0.9,68.3,0.8,1.38,,42.0,0.7,319.5,11.0,25.08,0.0
2022-12-09 19:00:00,2022-12-09 20:00:00,207.0,485.75,33.77,123.33,93.03,41.2,10.72,3.14,20.82,1.4,76.75,1.1,2.2,,47.75,0.55,105.25,11.0,24.45,0.0
2022-12-09 20:00:00,2022-12-09 21:00:00,253.0,593.5,53.62,112.6,103.53,43.1,11.35,3.73,21.12,1.92,82.82,1.33,2.8,,50.0,0.72,246.5,11.0,24.18,0.0
2022-12-09 21:00:00,2022-12-09 22:00:00,274.25,571.25,120.15,110.72,156.6,49.83,11.57,5.82,13.3,2.65,94.8,2.0,4.3,,56.25,0.62,195.75,11.0,23.53,0.0
2022-12-09 22:00:00,2022-12-09 23:00:00,336.0,739.5,185.0,101.5,204.38,56.28,11.1,6.38,11.47,3.75,103.88,2.72,6.2,,59.25,0.62,215.75,11.0,23.15,0.0
2022-12-09 23:00:00,2022-12-10 00:00:00,317.75,669.5,108.9,103.6,143.62,55.2,13.47,4.93,7.7,4.5,105.48,3.2,7.78,,59.5,0.72,234.75,10.75,22.85,0.0
2022-12-10 00:00:00,2022-12-10 01:00:00,293.25,565.25,83.48,96.88,119.35,52.35,9.27,4.12,6.6,4.65,104.53,3.3,8.33,,60.75,0.6,226.75,10.75,22.57,0.0
2022-12-10 01:00:00,2022-12-10 02:00:00,258.0,473.0,62.27,84.83,95.8,50.2,6.8,3.26,5.82,4.53,104.45,3.33,8.43,,62.0,0.57,226.5,10.75,22.37,0.0
2022-12-10 02:00:00,2022-12-10 03:00:00,235.5,414.5,43.42,70.35,72.72,50.55,6.05,2.6,5.4,4.17,101.83,3.18,7.68,,63.5,0.55,235.75,10.0,22.08,0.0
2022-12-10 03:00:00,2022-12-10 04:00:00,219.75,373.5,9.95,67.95,44.2,46.05,5.18,1.83,5.73,3.85,99.57,2.95,6.7,,62.25,0.55,221.0,10.5,22.02,0.0
2022-12-10 04:00:00,2022-12-10 05:00:00,203.0,340.0,22.22,57.25,48.53,45.33,13.93,1.94,6.2,3.43,97.4,2.65,5.85,,63.5,0.6,183.75,10.0,21.7,0.0
2022-12-10 05:00:00,2022-12-10 06:00:00,222.5,382.25,16.8,61.33,46.27,45.95,41.23,1.93,7.53,3.42,93.97,2.4,5.0,,63.25,0.62,197.75,10.0,21.73,0.0
2022-12-10 06:00:00,2022-12-10 07:00:00,238.75,416.5,10.25,75.5,48.5,45.15,32.53,1.83,8.93,3.5,91.97,2.23,4.45,,63.25,0.82,224.5,12.0,21.73,0.0
2022-12-10 07:00:00,2022-12-10 08:00:00,259.5,447.25,25.52,79.03,62.8,64.85,19.32,2.31,10.55,3.45,90.8,2.05,3.98,,62.75,0.57,221.5,38.0,21.97,0.0
2022-12-10 08:00:00,2022-12-10 09:00:00,278.5,515.75,7.37,72.6,44.6,44.65,19.05,1.93,104.43,3.6,89.25,2.0,3.85,,55.25,0.82,273.5,98.25,22.95,0.0
2022-12-10 09:00:00,2022-12-10 10:00:00,270.75,538.5,5.68,70.65,42.2,45.78,27.3,2.06,115.8,3.33,89.1,1.92,3.62,,46.25,0.88,211.0,169.25,24.48,0.0
2022-12-10 10:00:00,2022-12-10 11:00:00,259.0,541.75,2.35,56.05,31.75,43.35,22.45,1.58,163.0,3.0,89.05,1.85,3.42,,40.25,0.83,83.5,218.75,25.7,0.0
2022-12-10 11:00:00,2022-12-10 12:00:00,230.25,461.0,1.65,41.4,23.4,41.1,19.47,1.22,191.17,2.55,86.27,1.65,3.08,,35.25,1.05,89.25,265.25,26.53,0.0
2022-12-10 12:00:00,2022-12-10 13:00:00,195.0,378.0,1.17,32.97,18.53,37.93,24.6,1.06,,1.97,79.15,1.38,2.5,,31.5,1.35,114.25,267.25,26.92,0.0
2022-12-10 13:00:00,2022-12-10 14:00:00,152.75,290.75,1.07,31.42,17.55,34.2,30.68,0.88,,1.55,80.38,1.25,2.15,,27.25,1.42,48.75,232.25,27.33,0.0
2022-12-10 14:00:00,2022-12-10 15:00:00,128.75,247.0,1.03,34.55,19.2,31.62,34.98,0.81,,1.3,80.62,1.2,1.98,,26.75,1.38,51.75,172.0,27.55,0.0
2022-12-10 15:00:00,2022-12-10 16:00:00,126.5,246.25,0.6,28.35,15.52,29.53,21.98,0.8,,1.05,80.97,1.08,1.75,,30.0,1.18,26.0,98.0,27.48,0.0
2022-12-10 16:00:00,2022-12-10 17:00:00,123.75,238.75,0.5,48.35,26.12,28.05,19.5,0.98,171.88,0.92,80.6,1.0,1.6,,34.0,1.0,37.25,35.75,27.05,0.0
2022-12-10 17:00:00,2022-12-10 18:00:00,124.0,278.25,19.62,120.72,80.18,25.05,12.93,1.81,44.48,0.93,82.53,1.02,1.72,,38.0,0.62,40.5,12.0,26.28,0.0
2022-12-10 18:00:00,2022-12-10 19:00:00,124.75,368.0,89.03,140.9,147.35,32.8,14.07,2.67,27.55,1.27,86.03,1.48,2.58,,45.25,0.57,15.5,11.0,25.3,0.0
2022-12-10 19:00:00,2022-12-10 20:00:00,165.5,429.0,5.45,105.05,60.32,39.5,15.6,2.13,37.95,1.8,89.65,2.05,3.4,,48.25,0.53,175.75,11.0,24.82,0.0
2022-12-10 20:00:00,2022-12-10 21:00:00,201.25,368.75,54.0,106.15,100.38,38.45,11.43,4.17,22.65,1.98,90.78,2.02,3.52,,53.5,0.68,238.75,11.0,24.43,0.0
2022-12-10 21:00:00,2022-12-10 22:00:00,246.25,465.75,189.7,111.9,213.72,52.53,11.25,7.49,16.02,2.9,98.22,2.8,5.97,,59.75,0.78,213.75,11.0,23.8,0.0
2022-12-10 22:00:00,2022-12-10 23:00:00,344.0,720.0,158.18,101.83,182.75,58.22,10.3,6.3,10.75,4.22,108.68,3.53,8.5,,62.0,0.75,217.0,11.0,23.43,0.0
2022-12-10 23:00:00,2022-12-11 00:00:00,311.25,622.25,107.95,95.57,138.62,57.52,8.87,4.84,7.68,4.75,110.03,3.88,9.62,,63.25,0.68,253.25,11.0,23.07,0.0
2022-12-11 00:00:00,2022-12-11 01:00:00,270.75,494.5,115.0,79.88,136.0,58.62,6.45,5.46,8.82,4.75,108.15,3.98,10.18,,66.25,0.65,275.0,11.0,22.85,0.0
