From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree)
2022-04-23 05:00:00,2022-04-23 06:00:00,34.1,70.37,0.28,2.19,2.46,6.15,0.35,8.58,,1.08,145.35,,800.3,
2022-04-23 06:00:00,2022-04-23 07:00:00,35.05,76.41,0.29,2.48,2.77,7.0,0.38,7.25,,0.82,172.36,,800.3,
2022-04-23 07:00:00,2022-04-23 08:00:00,25.39,83.33,0.34,3.03,3.37,6.68,0.45,5.8,,0.94,212.16,,800.27,
2022-04-23 08:00:00,2022-04-23 09:00:00,37.62,109.35,0.38,2.97,3.35,6.31,0.51,5.43,,1.62,243.15,,800.26,
2022-04-23 09:00:00,2022-04-23 10:00:00,60.03,105.47,0.3,2.81,3.12,5.19,0.45,13.66,,1.61,230.88,,800.24,
2022-04-23 10:00:00,2022-04-23 11:00:00,53.75,108.64,0.29,2.26,2.54,4.96,0.2,14.33,,2.4,246.5,,800.24,
2022-04-23 11:00:00,2022-04-23 12:00:00,40.03,88.18,0.29,1.84,2.13,4.41,0.22,21.53,,3.04,274.76,,800.24,
2022-04-23 12:00:00,2022-04-23 13:00:00,31.25,75.03,0.28,1.92,2.19,3.75,0.18,25.74,,3.6,276.86,,800.24,
2022-04-23 13:00:00,2022-04-23 14:00:00,25.35,70.7,0.27,1.83,2.1,4.21,0.17,25.21,,3.71,260.54,,800.24,
2022-04-23 14:00:00,2022-04-23 15:00:00,23.84,80.89,0.29,1.77,2.05,4.66,0.19,22.24,,4.69,265.45,,800.24,
2022-04-23 15:00:00,2022-04-23 16:00:00,29.27,118.84,0.28,1.95,2.23,3.78,0.2,30.74,,5.05,268.83,,800.24,
2022-04-23 16:00:00,2022-04-23 17:00:00,27.88,126.23,0.28,1.82,2.1,3.58,0.19,23.65,,5.66,271.44,,800.24,
2022-04-23 17:00:00,2022-04-23 18:00:00,31.67,141.03,0.29,2.22,2.51,3.71,0.21,23.78,,4.48,270.8,,800.24,
2022-04-23 18:00:00,2022-04-23 19:00:00,42.07,149.37,0.29,2.73,3.01,4.29,0.26,27.4,,2.99,276.66,,800.24,
2022-04-23 19:00:00,2022-04-23 20:00:00,50.59,189.06,0.28,3.5,3.78,4.9,0.35,21.34,,1.25,166.49,,800.25,
2022-04-23 20:00:00,2022-04-23 21:00:00,60.74,183.08,0.28,3.33,3.61,5.53,0.43,12.74,,0.84,117.99,,800.27,
2022-04-23 21:00:00,2022-04-23 22:00:00,47.7,158.73,0.32,4.03,4.35,5.69,0.5,9.32,,0.56,152.28,,800.27,
2022-04-23 22:00:00,2022-04-23 23:00:00,40.72,151.53,0.29,5.09,5.38,6.26,0.58,7.69,,0.32,156.84,,800.28,
2022-04-23 23:00:00,2022-04-24 00:00:00,47.28,152.41,0.28,4.59,4.87,5.82,0.61,7.85,,0.31,142.63,,800.28,
2022-04-24 00:00:00,2022-04-24 01:00:00,50.72,138.23,0.28,4.54,4.82,5.63,0.65,7.83,,0.31,161.07,,800.28,
2022-04-24 01:00:00,2022-04-24 02:00:00,51.86,137.16,0.28,4.89,5.17,5.58,0.64,6.96,,0.31,163.74,,800.29,
2022-04-24 02:00:00,2022-04-24 03:00:00,52.6,140.76,0.29,5.79,6.08,5.56,0.67,6.18,,0.52,158.43,,800.29,
2022-04-24 03:00:00,2022-04-24 04:00:00,55.55,124.67,0.3,5.21,5.5,5.52,0.57,5.76,,1.09,172.39,,800.3,
2022-04-24 04:00:00,2022-04-24 05:00:00,49.82,105.76,0.28,3.88,4.17,5.43,0.44,7.11,,0.9,179.85,,800.31,
2022-04-24 05:00:00,2022-04-24 06:00:00,43.56,98.09,0.29,3.41,3.7,5.67,0.37,8.17,,0.96,141.03,,800.3,
2022-04-24 06:00:00,2022-04-24 07:00:00,44.64,104.51,0.29,3.36,3.65,6.73,0.46,8.51,,0.89,179.28,,800.29,
2022-04-24 07:00:00,2022-04-24 08:00:00,51.9,119.67,0.32,3.08,3.4,6.32,0.43,6.87,,0.77,219.54,,800.26,
2022-04-24 08:00:00,2022-04-24 09:00:00,80.89,113.44,0.33,2.44,2.77,5.73,0.43,7.24,,2.15,278.24,,800.25,
2022-04-24 09:00:00,2022-04-24 10:00:00,53.4,112.01,0.29,2.83,3.12,4.44,0.42,18.28,,1.9,245.16,,800.24,
2022-04-24 10:00:00,2022-04-24 11:00:00,42.85,123.96,0.3,3.05,3.35,4.42,0.42,17.54,,1.72,221.23,,800.24,
2022-04-24 11:00:00,2022-04-24 12:00:00,36.15,120.41,0.29,2.95,3.24,4.21,0.38,21.83,,3.01,227.81,,800.24,
2022-04-24 12:00:00,2022-04-24 13:00:00,35.66,101.63,0.3,2.72,3.02,4.14,0.34,26.36,,2.62,237.51,,800.24,
2022-04-24 13:00:00,2022-04-24 14:00:00,42.02,96.21,0.28,2.29,2.57,4.31,0.31,29.21,,3.05,250.47,,800.24,
2022-04-24 14:00:00,2022-04-24 15:00:00,29.38,104.14,0.28,2.05,2.33,4.06,0.28,31.7,,3.79,261.84,,800.24,
2022-04-24 15:00:00,2022-04-24 16:00:00,26.29,89.74,0.28,1.8,2.08,3.5,0.26,25.35,,4.47,275.62,,800.24,
2022-04-24 16:00:00,2022-04-24 17:00:00,20.41,87.26,0.27,1.91,2.19,3.43,0.26,25.41,,5.15,272.83,,800.24,
2022-04-24 17:00:00,2022-04-24 18:00:00,27.95,97.03,0.27,2.14,2.42,3.54,0.26,24.73,,3.79,267.69,,800.24,
2022-04-24 18:00:00,2022-04-24 19:00:00,34.24,112.17,0.29,2.96,3.25,3.87,0.32,22.2,,1.59,219.25,,800.24,
2022-04-24 19:00:00,2022-04-24 20:00:00,38.09,107.58,0.3,2.85,3.14,4.19,0.36,17.4,,0.74,155.79,,800.25,
2022-04-24 20:00:00,2022-04-24 21:00:00,50.08,102.4,0.29,3.09,3.38,5.04,0.46,13.17,,0.56,126.56,,800.27,
2022-04-24 21:00:00,2022-04-24 22:00:00,45.3,98.56,0.29,2.73,3.01,6.05,0.46,13.33,,0.88,161.01,,800.28,
2022-04-24 22:00:00,2022-04-24 23:00:00,41.57,89.34,0.28,2.65,2.92,6.22,0.45,12.06,,1.0,135.12,,800.27,
2022-04-24 23:00:00,2022-04-25 00:00:00,33.62,89.98,0.28,2.7,2.98,5.78,0.48,10.93,,0.77,176.12,,800.28,
2022-04-25 00:00:00,2022-04-25 01:00:00,35.29,71.64,0.26,2.27,2.53,5.31,0.44,12.4,,1.21,216.39,,800.29,
2022-04-25 01:00:00,2022-04-25 02:00:00,43.54,68.24,0.27,2.38,2.65,4.8,0.41,12.59,,0.6,165.03,,800.29,
2022-04-25 02:00:00,2022-04-25 03:00:00,42.97,84.81,0.28,3.06,3.34,4.96,0.44,9.77,,0.54,203.18,,800.29,
2022-04-25 03:00:00,2022-04-25 04:00:00,38.46,75.72,0.27,2.77,3.05,4.71,0.43,10.84,,0.68,171.97,,800.3,
2022-04-25 04:00:00,2022-04-25 05:00:00,43.29,65.65,0.27,2.38,2.64,4.79,0.4,11.51,,0.8,203.51,,800.3,
2022-04-25 05:00:00,2022-04-25 06:00:00,46.56,67.05,0.27,2.4,2.67,5.09,0.42,12.32,,0.37,183.86,,800.3,
2022-04-25 06:00:00,2022-04-25 07:00:00,43.87,83.93,0.28,3.12,3.41,6.45,0.57,10.42,,0.67,179.94,,800.29,
2022-04-25 07:00:00,2022-04-25 08:00:00,37.01,107.93,0.3,2.99,3.29,6.36,0.58,8.2,,0.84,219.92,,800.26,
2022-04-25 08:00:00,2022-04-25 09:00:00,56.87,154.74,0.32,3.44,3.76,5.38,0.61,11.26,,1.21,207.32,,800.24,
2022-04-25 09:00:00,2022-04-25 10:00:00,68.47,158.62,0.29,4.22,4.51,4.97,0.66,20.96,,1.54,187.41,,800.24,
2022-04-25 10:00:00,2022-04-25 11:00:00,51.27,125.25,0.28,3.16,3.44,4.67,0.64,21.47,,2.29,182.53,,800.24,
2022-04-25 11:00:00,2022-04-25 12:00:00,58.32,115.22,0.31,2.74,3.04,4.61,0.6,22.57,,2.94,197.16,,800.24,
2022-04-25 12:00:00,2022-04-25 13:00:00,47.61,111.67,0.3,2.91,3.21,4.18,0.42,27.03,,4.39,246.12,,800.24,
2022-04-25 13:00:00,2022-04-25 14:00:00,40.17,101.72,0.29,2.53,2.82,4.16,0.36,27.72,,4.43,266.62,,800.24,
2022-04-25 14:00:00,2022-04-25 15:00:00,47.94,133.32,0.28,3.15,3.43,4.3,0.42,40.21,,4.24,266.39,,800.24,
2022-04-25 15:00:00,2022-04-25 16:00:00,49.47,170.34,0.27,2.44,2.71,4.14,0.35,28.83,,4.73,258.33,,800.24,
2022-04-25 16:00:00,2022-04-25 17:00:00,39.5,167.63,0.27,1.88,2.15,3.63,0.23,20.35,13.95,5.76,263.44,187.21,800.24,
2022-04-25 17:00:00,2022-04-25 18:00:00,30.09,185.94,0.27,2.04,2.3,3.61,0.24,22.79,14.81,5.96,272.51,98.18,800.27,
2022-04-25 18:00:00,2022-04-25 19:00:00,34.47,169.81,0.26,2.06,2.33,3.93,0.27,25.25,16.75,4.92,268.74,21.83,800.27,
2022-04-25 19:00:00,2022-04-25 20:00:00,58.84,173.19,0.27,3.79,4.06,4.33,0.35,24.78,18.85,2.17,182.94,0.66,800.24,
2022-04-25 20:00:00,2022-04-25 21:00:00,64.69,175.48,0.27,4.96,5.22,4.8,0.52,16.53,26.45,0.53,136.34,0.61,800.25,
2022-04-25 21:00:00,2022-04-25 22:00:00,46.88,181.69,0.28,3.69,3.97,5.61,0.55,10.96,31.68,0.67,165.71,0.6,800.25,
2022-04-25 22:00:00,2022-04-25 23:00:00,40.49,159.83,0.29,3.49,3.77,5.79,0.56,9.27,36.18,0.74,147.8,0.61,800.26,
2022-04-25 23:00:00,2022-04-26 00:00:00,55.83,146.24,0.28,3.09,3.37,5.67,0.51,10.11,34.13,1.47,203.18,0.6,800.27,
2022-04-26 00:00:00,2022-04-26 01:00:00,94.62,343.97,0.27,2.86,3.14,5.38,0.56,13.26,30.9,2.03,117.65,0.6,800.26,
2022-04-26 01:00:00,2022-04-26 02:00:00,105.58,386.11,0.27,2.63,2.9,4.96,0.58,13.03,33.26,1.93,109.15,0.61,800.26,
2022-04-26 02:00:00,2022-04-26 03:00:00,103.62,386.91,0.29,2.33,2.62,4.81,0.61,8.95,40.8,0.62,193.44,0.6,800.29,
2022-04-26 03:00:00,2022-04-26 04:00:00,116.95,338.35,0.26,2.18,2.45,5.17,0.64,9.13,45.95,0.31,172.57,0.6,800.28,
2022-04-26 04:00:00,2022-04-26 05:00:00,110.99,296.7,0.27,2.08,2.35,5.06,0.64,8.55,47.39,0.7,168.9,0.61,800.28,
2022-04-26 05:00:00,2022-04-26 06:00:00,93.32,268.37,0.28,2.43,2.71,5.59,0.63,7.32,52.03,0.83,201.64,3.02,800.27,
2022-04-26 06:00:00,2022-04-26 07:00:00,94.08,264.61,0.3,3.3,3.6,6.35,0.72,6.42,51.36,0.47,160.19,53.33,800.27,
2022-04-26 07:00:00,2022-04-26 08:00:00,96.21,269.75,0.34,3.4,3.74,6.21,0.75,5.13,42.86,0.75,212.66,165.42,800.25,
2022-04-26 08:00:00,2022-04-26 09:00:00,180.29,272.56,0.33,3.33,3.66,5.65,0.74,7.3,31.23,1.42,253.66,292.94,800.24,27.92
2022-04-26 09:00:00,2022-04-26 10:00:00,206.42,224.88,0.29,3.64,3.94,4.85,0.69,12.95,24.52,1.25,226.7,408.77,800.24,30.81
2022-04-26 10:00:00,2022-04-26 11:00:00,151.11,195.32,0.27,3.51,3.78,4.46,0.58,22.61,16.91,1.17,190.47,501.11,800.24,33.98
2022-04-26 11:00:00,2022-04-26 12:00:00,130.55,178.35,0.28,3.25,3.52,4.17,0.51,28.46,16.75,2.71,270.49,552.71,800.24,34.29
2022-04-26 12:00:00,2022-04-26 13:00:00,106.61,159.55,0.27,2.35,2.63,4.02,0.39,26.0,14.43,3.8,250.13,562.63,800.24,35.0
2022-04-26 13:00:00,2022-04-26 14:00:00,50.37,148.82,0.27,2.13,2.41,4.23,0.33,25.55,14.17,3.92,270.12,520.47,800.24,35.55
2022-04-26 14:00:00,2022-04-26 15:00:00,47.7,143.3,0.27,1.93,2.2,3.98,0.31,24.82,13.5,3.9,267.42,468.42,800.24,35.66
2022-04-26 15:00:00,2022-04-26 16:00:00,59.84,145.49,0.27,1.97,2.24,3.53,0.31,28.11,14.96,4.47,258.36,348.03,800.25,35.57
2022-04-26 16:00:00,2022-04-26 17:00:00,66.24,151.19,0.28,2.05,2.32,3.47,0.32,28.05,16.04,4.64,286.99,198.62,800.27,35.03
2022-04-26 17:00:00,2022-04-26 18:00:00,58.39,157.34,0.27,2.53,2.79,3.75,0.36,29.34,18.81,3.73,270.68,100.47,800.25,34.01
2022-04-26 18:00:00,2022-04-26 19:00:00,59.15,171.53,0.28,3.51,3.79,3.8,0.41,28.01,24.66,1.78,222.63,19.85,800.24,31.58
2022-04-26 19:00:00,2022-04-26 20:00:00,76.74,225.67,0.3,3.7,4.0,4.86,0.46,17.19,31.38,1.05,126.17,0.7,800.24,27.89
2022-04-26 20:00:00,2022-04-26 21:00:00,77.91,186.58,0.28,2.86,3.13,5.29,0.5,15.29,30.92,0.85,144.14,0.61,800.25,26.61
2022-04-26 21:00:00,2022-04-26 22:00:00,59.13,120.89,0.28,3.25,3.52,5.46,0.51,12.71,34.36,0.67,169.18,0.61,800.26,25.27
2022-04-26 22:00:00,2022-04-26 23:00:00,46.86,122.41,0.28,3.45,3.73,6.12,0.51,11.73,37.4,0.73,125.06,0.6,800.26,24.57
2022-04-26 23:00:00,2022-04-27 00:00:00,43.05,120.18,0.28,2.65,2.93,5.39,0.54,12.44,39.93,0.54,170.47,0.61,800.26,23.61
2022-04-27 00:00:00,2022-04-27 01:00:00,44.55,117.5,0.27,2.27,2.54,5.23,0.51,11.86,43.99,1.08,148.53,0.6,800.27,22.64
2022-04-27 01:00:00,2022-04-27 02:00:00,51.47,122.21,0.28,2.19,2.46,5.34,0.55,10.79,47.86,0.95,190.28,0.61,800.27,21.86
2022-04-27 02:00:00,2022-04-27 03:00:00,59.92,121.71,0.28,2.29,2.56,5.04,0.55,10.9,47.44,0.9,149.34,0.61,800.27,21.36
2022-04-27 03:00:00,2022-04-27 04:00:00,65.72,116.99,0.27,2.37,2.64,5.24,0.58,10.92,49.66,1.02,198.04,0.61,800.27,20.9
2022-04-27 04:00:00,2022-04-27 05:00:00,53.05,110.92,0.27,2.17,2.44,4.82,0.55,10.12,50.78,0.65,174.73,0.61,800.27,20.44
2022-04-27 05:00:00,2022-04-27 06:00:00,61.33,108.66,0.27,2.26,2.53,5.45,0.54,11.77,50.64,0.8,197.16,3.06,800.28,20.03
2022-04-27 06:00:00,2022-04-27 07:00:00,66.06,131.97,0.31,3.33,3.64,6.47,0.61,10.28,49.78,0.54,162.85,45.52,800.27,21.09
2022-04-27 07:00:00,2022-04-27 08:00:00,58.8,160.24,0.29,3.5,3.8,6.29,0.68,7.76,45.58,0.76,215.91,151.94,800.25,23.6
2022-04-27 08:00:00,2022-04-27 09:00:00,56.75,180.79,0.32,3.58,3.9,5.82,0.72,8.32,37.8,1.77,249.41,273.66,800.24,26.57
2022-04-27 09:00:00,2022-04-27 10:00:00,85.48,219.19,0.29,3.75,4.03,5.38,0.8,13.27,32.04,2.35,266.39,401.62,800.24,28.97
2022-04-27 10:00:00,2022-04-27 11:00:00,91.37,216.48,0.28,3.56,3.84,4.96,0.76,21.0,27.53,1.95,265.55,478.59,800.24,31.78
2022-04-27 11:00:00,2022-04-27 12:00:00,94.52,198.99,0.28,3.33,3.6,4.79,0.77,31.7,24.05,2.8,169.49,512.5,800.24,33.62
2022-04-27 12:00:00,2022-04-27 13:00:00,121.3,199.06,0.27,3.36,3.62,4.92,0.81,35.89,22.18,2.09,177.19,508.17,800.24,35.03
2022-04-27 13:00:00,2022-04-27 14:00:00,110.39,179.98,0.27,3.1,3.37,4.95,0.76,34.03,19.05,3.03,259.63,481.21,800.24,35.53
2022-04-27 14:00:00,2022-04-27 15:00:00,93.07,171.55,0.27,2.78,3.05,4.78,0.69,34.13,18.68,3.48,257.25,425.97,800.24,35.73
2022-04-27 15:00:00,2022-04-27 16:00:00,68.24,151.04,0.27,2.65,2.92,4.5,0.6,36.11,18.64,3.51,264.63,332.87,800.24,36.0
2022-04-27 16:00:00,2022-04-27 17:00:00,52.81,149.8,0.27,2.63,2.9,4.29,0.54,39.44,17.64,3.12,272.24,215.51,800.24,35.98
2022-04-27 17:00:00,2022-04-27 18:00:00,51.92,134.35,0.28,2.88,3.16,4.08,0.51,40.4,20.31,2.11,258.15,110.98,800.24,35.53
2022-04-27 18:00:00,2022-04-27 19:00:00,34.79,129.6,0.27,3.03,3.3,4.26,0.54,28.67,32.52,0.98,141.27,23.84,800.24,31.54
2022-04-27 19:00:00,2022-04-27 20:00:00,46.63,136.26,0.27,2.79,3.05,4.44,0.55,18.09,30.77,1.0,126.02,0.7,800.24,28.07
2022-04-27 20:00:00,2022-04-27 21:00:00,64.43,111.53,0.28,2.79,3.07,4.5,0.56,15.92,30.67,0.89,140.88,0.61,800.25,26.82
2022-04-27 21:00:00,2022-04-27 22:00:00,58.9,111.24,0.28,3.21,3.48,5.05,0.64,13.98,33.81,0.62,134.59,0.6,800.26,25.7
2022-04-27 22:00:00,2022-04-27 23:00:00,38.15,108.21,0.28,3.32,3.6,5.82,0.71,11.86,39.33,0.49,180.95,0.6,800.26,24.64
2022-04-27 23:00:00,2022-04-28 00:00:00,35.2,105.25,0.27,2.69,2.96,5.31,0.67,13.53,41.19,0.97,137.33,0.6,800.26,24.02
2022-04-28 00:00:00,2022-04-28 01:00:00,37.95,90.73,0.27,2.17,2.44,5.09,0.64,14.43,43.99,0.81,206.37,0.61,800.27,23.18
2022-04-28 01:00:00,2022-04-28 02:00:00,31.7,87.37,0.28,2.22,2.5,5.11,0.56,12.91,48.3,0.62,168.34,0.6,800.27,22.2
2022-04-28 02:00:00,2022-04-28 03:00:00,41.45,82.32,0.27,2.08,2.34,4.92,0.54,14.77,46.51,0.61,172.76,0.6,800.27,21.74
2022-04-28 03:00:00,2022-04-28 04:00:00,45.64,84.98,0.27,2.33,2.6,4.79,0.55,13.13,48.87,0.65,190.88,0.6,800.27,21.29
2022-04-28 04:00:00,2022-04-28 05:00:00,43.31,80.38,0.27,2.41,2.69,5.06,0.56,12.47,49.04,0.67,173.62,0.61,800.27,20.89
2022-04-28 05:00:00,2022-04-28 06:00:00,43.73,77.88,0.28,2.5,2.78,5.25,0.55,12.12,48.82,0.52,179.78,3.53,800.27,20.78
2022-04-28 06:00:00,2022-04-28 07:00:00,42.46,78.12,0.29,3.2,3.48,5.79,0.68,11.42,47.2,0.31,183.34,60.95,800.26,21.84
2022-04-28 07:00:00,2022-04-28 08:00:00,37.23,105.63,0.3,3.47,3.77,5.42,0.66,9.31,41.12,0.57,208.77,186.35,800.24,25.23
2022-04-28 08:00:00,2022-04-28 09:00:00,48.38,133.36,0.3,3.23,3.53,4.86,0.69,11.03,30.68,0.85,235.15,319.25,800.24,29.61
2022-04-28 09:00:00,2022-04-28 10:00:00,76.97,145.57,0.28,2.94,3.22,4.78,0.73,18.45,26.91,1.67,233.57,441.57,800.24,31.89
2022-04-28 10:00:00,2022-04-28 11:00:00,80.59,138.46,0.27,2.96,3.23,4.79,0.78,29.95,23.62,3.41,181.57,507.55,800.24,34.05
2022-04-28 11:00:00,2022-04-28 12:00:00,100.09,211.3,0.27,3.4,3.67,4.86,0.91,38.98,22.89,3.2,172.44,521.93,800.24,35.18
2022-04-28 12:00:00,2022-04-28 13:00:00,98.04,152.84,0.27,3.57,3.84,4.48,0.89,62.66,19.15,3.08,206.14,516.97,800.24,36.23
2022-04-28 13:00:00,2022-04-28 14:00:00,121.69,152.75,0.26,2.79,3.06,4.73,0.76,41.09,17.01,2.78,258.99,492.11,800.24,37.01
2022-04-28 14:00:00,2022-04-28 15:00:00,148.56,162.15,0.27,2.56,2.82,4.74,0.72,37.65,17.42,3.66,257.41,306.54,800.24,37.04
2022-04-28 15:00:00,2022-04-28 16:00:00,94.39,156.73,0.27,2.62,2.88,4.42,0.69,43.09,18.75,3.37,264.38,292.77,800.24,36.92
2022-04-28 16:00:00,2022-04-28 17:00:00,78.58,186.1,0.26,3.14,3.4,4.5,0.75,53.31,20.55,2.49,271.07,138.15,800.24,36.95
2022-04-28 17:00:00,2022-04-28 18:00:00,65.06,230.84,0.27,3.76,4.03,4.6,0.81,53.16,25.95,1.43,219.54,93.74,800.24,36.06
2022-04-28 18:00:00,2022-04-28 19:00:00,46.51,243.23,0.26,3.83,4.08,4.68,0.84,38.6,34.48,1.3,126.45,19.25,800.24,32.61
2022-04-28 19:00:00,2022-04-28 20:00:00,75.08,239.21,0.27,3.25,3.52,5.04,0.81,25.08,33.58,1.08,120.13,0.68,800.24,29.46
2022-04-28 20:00:00,2022-04-28 21:00:00,81.61,167.74,0.27,3.28,3.56,4.79,0.78,20.01,34.75,1.19,131.33,0.61,800.24,28.63
2022-04-28 21:00:00,2022-04-28 22:00:00,74.12,208.03,0.28,3.89,4.16,5.56,0.87,15.86,39.37,1.38,162.45,0.62,800.24,27.23
2022-04-28 22:00:00,2022-04-28 23:00:00,63.86,183.84,0.28,3.34,3.61,5.43,0.94,15.76,42.79,0.78,130.05,0.61,800.25,26.27
2022-04-28 23:00:00,2022-04-29 00:00:00,68.95,157.43,0.27,2.82,3.09,5.07,0.87,15.52,44.21,0.61,163.95,0.61,800.25,25.46
2022-04-29 00:00:00,2022-04-29 01:00:00,63.22,148.15,0.27,2.51,2.78,4.81,0.82,14.82,45.48,0.48,143.98,0.6,800.25,24.65
2022-04-29 01:00:00,2022-04-29 02:00:00,57.92,131.3,0.26,2.3,1.92,5.02,0.56,14.04,44.97,0.27,126.46,0.46,800.25,24.52
2022-04-29 02:00:00,2022-04-29 03:00:00,,,,,0.0,,0.0,,,,,0.0,,
2022-04-29 03:00:00,2022-04-29 04:00:00,,,,,0.0,,0.0,,,,,0.0,,
2022-04-29 04:00:00,2022-04-29 05:00:00,,,,,0.0,,0.0,,,,,0.0,,
2022-04-29 05:00:00,2022-04-29 06:00:00,,,,,0.0,,0.0,,,,,0.0,,
2022-04-29 06:00:00,2022-04-29 07:00:00,,,,,0.0,,0.0,,,,,0.0,,
2022-04-29 07:00:00,2022-04-29 08:00:00,,,,,0.0,,0.0,,,,,0.0,,
2022-04-29 08:00:00,2022-04-29 09:00:00,,,,,0.0,,0.0,,,,,0.0,,
2022-04-29 09:00:00,2022-04-29 10:00:00,,,,,0.0,,0.0,,,,,0.0,,
2022-04-29 10:00:00,2022-04-29 11:00:00,,,,,0.0,,0.0,,,,,0.0,,
2022-04-29 11:00:00,2022-04-29 12:00:00,,,,,0.0,,0.0,,,,,0.0,,
2022-04-29 12:00:00,2022-04-29 13:00:00,,,,,0.0,,0.0,,,,,0.0,,
2022-04-29 13:00:00,2022-04-29 14:00:00,,,,,0.0,,0.0,,,,,0.0,,
2022-04-29 14:00:00,2022-04-29 15:00:00,,,,,,,,,,,,,,
2022-04-29 15:00:00,2022-04-29 16:00:00,,,,,,,,,,,,,,
2022-04-29 16:00:00,2022-04-29 17:00:00,,,,,,,,,,,,,,
2022-04-29 17:00:00,2022-04-29 18:00:00,,,,,,,,,,,,,,
2022-04-29 18:00:00,2022-04-29 19:00:00,,,,,,,,,,,,,,
2022-04-29 19:00:00,2022-04-29 20:00:00,,,,,,,,,,,,,,
2022-04-29 20:00:00,2022-04-29 21:00:00,,,,,,,,,,,,,,
2022-04-29 21:00:00,2022-04-29 22:00:00,,,,,,,,,,,,,,
2022-04-29 22:00:00,2022-04-29 23:00:00,,,,,,,,,,,,,,
2022-04-29 23:00:00,2022-04-30 00:00:00,,,,,,,,,,,,,,
2022-04-30 00:00:00,2022-04-30 01:00:00,,,,,,,,,,,,,,
2022-04-30 01:00:00,2022-04-30 02:00:00,,,,,,,,,,,,,,
2022-04-30 02:00:00,2022-04-30 03:00:00,,,,,,,,,,,,,,
2022-04-30 03:00:00,2022-04-30 04:00:00,,,,,,,,,,,,,,
2022-04-30 04:00:00,2022-04-30 05:00:00,,,,,,,,,,,,,,
2022-04-30 05:00:00,2022-04-30 06:00:00,,,,,,,,,,,,,,
2022-04-30 06:00:00,2022-04-30 07:00:00,,,,,,,,,,,,,,
2022-04-30 07:00:00,2022-04-30 08:00:00,,,,,,,,,,,,,,
2022-04-30 08:00:00,2022-04-30 09:00:00,,,,,,,,,,,,,,
2022-04-30 09:00:00,2022-04-30 10:00:00,,,,,,,,,,,,,,
2022-04-30 10:00:00,2022-04-30 11:00:00,,,,,,,,,,,,,,
2022-04-30 11:00:00,2022-04-30 12:00:00,,,,,,,,,,,,,,
2022-04-30 12:00:00,2022-04-30 13:00:00,58.26,139.62,0.28,2.56,2.84,4.46,0.59,32.06,24.16,2.78,191.08,558.75,800.24,35.75
2022-04-30 13:00:00,2022-04-30 14:00:00,49.52,128.38,0.29,2.51,2.79,4.65,0.55,30.93,20.63,3.49,226.31,528.08,800.24,36.47
2022-04-30 14:00:00,2022-04-30 15:00:00,60.33,126.4,0.28,2.46,2.05,4.38,0.38,30.13,18.86,1.79,127.34,216.85,800.24,37.09
2022-04-30 15:00:00,2022-04-30 16:00:00,46.25,126.38,0.28,2.3,2.57,4.04,0.45,31.17,19.16,3.88,272.6,351.45,800.24,36.69
