From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),AT (degree C),RF (mm)
2021-07-18 17:00:00,2021-07-18 18:00:00,8.0,63.75,2.7,16.38,10.9,102.57,4.05,0.64,14.18,1.45,140.28,27.15,83.57,,25.08,66.25,0.68,164.0,36.0,27.35,31.78,0.0
2021-07-18 18:00:00,2021-07-18 19:00:00,11.25,69.5,2.8,19.3,12.52,114.15,3.67,0.76,10.03,1.55,136.95,23.02,67.85,,25.57,67.25,0.42,163.75,13.0,22.82,31.6,0.0
2021-07-18 19:00:00,2021-07-18 20:00:00,12.0,78.25,3.17,25.5,16.18,66.03,3.75,0.86,9.63,1.72,83.72,21.98,59.3,,28.12,70.75,0.22,228.5,10.0,19.35,31.38,0.0
2021-07-18 20:00:00,2021-07-18 21:00:00,,121.75,4.83,25.6,17.57,43.58,3.75,0.93,5.13,1.98,91.95,17.77,43.58,,29.15,73.0,0.33,198.75,8.5,13.25,31.23,0.0
2021-07-18 21:00:00,2021-07-18 22:00:00,,149.5,4.6,22.17,15.55,39.98,3.3,0.72,11.4,1.82,102.77,16.65,38.6,,29.17,74.25,0.3,209.25,9.0,11.8,31.15,0.0
2021-07-18 22:00:00,2021-07-18 23:00:00,7.0,128.75,2.7,17.0,11.22,35.3,3.42,0.52,10.8,1.57,134.2,15.78,35.3,,29.25,74.75,0.25,188.75,8.5,10.5,31.05,0.0
2021-07-18 23:00:00,2021-07-19 00:00:00,8.25,104.0,1.23,12.35,7.58,32.75,3.2,0.4,7.67,1.28,137.4,15.6,33.12,,29.18,76.0,0.2,292.75,7.75,10.57,30.95,0.0
2021-07-19 00:00:00,2021-07-19 01:00:00,9.5,73.25,0.45,7.72,4.47,29.0,2.4,0.38,9.4,1.17,133.95,15.18,33.08,,29.05,77.25,0.25,169.25,8.25,8.78,30.95,0.0
2021-07-19 01:00:00,2021-07-19 02:00:00,8.5,50.0,0.38,7.08,4.08,27.7,2.27,0.36,9.75,1.15,133.3,15.2,33.22,,29.0,77.75,0.2,253.75,8.75,9.55,30.92,0.0
2021-07-19 02:00:00,2021-07-19 03:00:00,10.5,45.75,0.75,6.4,3.98,27.78,2.27,0.37,7.9,1.2,133.75,15.15,33.53,,29.17,78.75,0.17,210.5,9.0,7.67,30.95,0.0
2021-07-19 03:00:00,2021-07-19 04:00:00,11.25,44.75,0.68,6.6,4.08,25.25,2.2,0.38,7.47,1.1,134.05,15.3,33.83,,29.05,78.0,0.15,231.5,9.0,8.82,30.88,0.0
2021-07-19 04:00:00,2021-07-19 05:00:00,8.75,43.5,0.55,7.53,4.45,25.25,1.98,0.41,7.43,1.12,134.78,15.4,33.88,,29.07,78.0,0.15,157.75,9.25,9.68,30.9,0.0
2021-07-19 05:00:00,2021-07-19 06:00:00,8.5,42.5,0.78,9.05,5.48,23.38,2.33,0.42,7.12,1.2,133.05,15.25,33.83,,29.0,78.0,0.17,302.25,23.5,9.7,30.92,0.0
2021-07-19 06:00:00,2021-07-19 07:00:00,10.0,46.5,0.88,7.4,4.67,22.38,2.33,0.45,12.25,1.2,132.05,15.12,33.78,,28.87,73.5,0.28,194.5,59.25,9.62,31.35,0.0
2021-07-19 07:00:00,2021-07-19 08:00:00,10.5,53.25,0.48,7.12,4.15,22.3,2.38,0.42,11.07,1.3,132.35,15.1,34.05,,29.07,67.5,0.5,95.0,73.0,7.65,31.75,0.0
2021-07-19 08:00:00,2021-07-19 09:00:00,11.5,49.75,0.55,6.78,4.08,26.52,2.17,0.46,11.45,1.3,134.65,15.38,34.83,,28.9,66.75,0.4,20.25,115.5,8.93,31.92,0.0
2021-07-19 09:00:00,2021-07-19 10:00:00,10.0,50.0,0.93,8.78,5.38,46.55,1.35,0.62,14.57,1.27,133.93,11.8,27.15,,25.48,64.25,0.35,62.25,159.0,10.32,32.17,0.0
2021-07-19 10:00:00,2021-07-19 11:00:00,8.75,74.25,2.83,14.35,9.92,36.15,2.92,0.87,10.82,1.6,141.3,20.3,53.58,,25.3,59.25,0.6,114.25,236.75,14.35,32.5,0.0
2021-07-19 11:00:00,2021-07-19 12:00:00,6.5,105.5,3.92,19.05,13.35,35.68,4.4,1.04,12.65,2.02,154.25,29.0,80.6,,25.38,53.5,0.62,145.0,325.75,27.15,32.95,0.0
2021-07-19 12:00:00,2021-07-19 13:00:00,10.75,122.5,2.12,19.05,11.82,41.75,4.12,0.98,14.82,2.23,147.2,28.77,83.18,,25.25,53.0,0.35,202.5,211.25,27.58,33.1,0.0
2021-07-19 13:00:00,2021-07-19 14:00:00,,,,23.3,9.4,61.5,,0.0,6.35,2.0,142.8,23.0,64.3,,25.63,53.67,0.47,169.67,303.33,22.0,33.17,0.0
2021-07-19 14:00:00,2021-07-19 15:00:00,,,1.4,20.0,11.3,90.5,2.73,1.19,11.37,1.98,141.2,16.25,42.82,,25.65,51.75,0.47,160.0,262.5,15.35,33.42,0.0
2021-07-19 15:00:00,2021-07-19 16:00:00,6.25,101.25,2.1,20.8,12.8,109.52,3.12,1.42,16.0,1.98,132.12,16.2,43.93,,25.38,52.0,0.57,181.5,136.25,15.92,33.5,0.0
2021-07-19 16:00:00,2021-07-19 17:00:00,1.0,118.25,3.58,29.12,18.38,94.15,2.77,1.63,10.73,2.05,141.0,12.83,32.55,,25.52,50.75,0.5,198.0,78.5,12.35,33.6,0.0
2021-07-19 17:00:00,2021-07-19 18:00:00,7.0,151.0,3.92,34.2,21.38,102.12,2.58,1.48,12.97,2.12,88.9,12.45,34.0,,25.62,51.25,0.47,198.5,39.0,13.62,33.42,0.0
2021-07-19 18:00:00,2021-07-19 19:00:00,7.25,155.75,4.62,38.42,24.23,69.67,3.15,1.22,4.5,2.1,89.67,9.68,24.2,,27.65,58.5,0.23,199.0,13.25,8.15,33.0,0.0
2021-07-19 19:00:00,2021-07-19 20:00:00,4.5,191.0,3.77,31.98,20.07,45.45,4.03,1.35,12.35,2.38,135.77,13.78,34.0,,28.83,64.5,0.15,194.25,9.75,10.08,32.62,0.0
2021-07-19 20:00:00,2021-07-19 21:00:00,6.5,231.5,6.62,30.75,21.75,39.27,4.4,1.54,7.0,2.65,133.3,15.75,36.93,,28.52,66.75,0.2,172.75,8.75,10.7,32.55,0.0
2021-07-19 21:00:00,2021-07-19 22:00:00,7.25,231.25,3.88,19.0,13.27,33.02,4.08,0.83,10.07,2.45,132.95,15.4,35.92,,28.8,68.5,0.3,94.5,9.5,13.43,32.03,0.0
2021-07-19 22:00:00,2021-07-19 23:00:00,5.25,106.0,1.7,13.55,8.62,28.07,3.97,0.46,12.57,1.5,134.2,15.23,34.15,,28.75,70.5,0.4,63.25,10.0,9.88,31.68,0.0
2021-07-19 23:00:00,2021-07-20 00:00:00,5.75,56.5,0.4,8.25,4.72,26.57,3.57,0.34,8.73,1.12,133.97,14.8,33.0,,28.8,71.25,0.35,59.0,9.75,7.52,31.48,0.0
2021-07-20 00:00:00,2021-07-20 01:00:00,4.5,21.75,0.13,5.5,3.0,22.28,3.02,0.28,17.13,0.95,135.4,14.82,32.77,,28.75,71.5,0.5,207.5,9.75,11.4,31.35,0.0
2021-07-20 01:00:00,2021-07-20 02:00:00,5.0,21.5,0.18,5.18,2.92,24.33,3.05,0.26,17.0,0.82,134.75,14.75,33.03,,28.88,80.75,0.4,274.75,9.5,12.23,30.3,0.05
2021-07-20 02:00:00,2021-07-20 03:00:00,11.25,21.25,0.17,4.3,2.43,22.15,3.12,0.23,17.5,0.73,138.3,14.97,32.52,,29.17,80.5,0.33,212.5,9.75,12.07,30.08,0.08
2021-07-20 03:00:00,2021-07-20 04:00:00,12.0,15.0,0.38,4.27,2.58,19.5,3.0,0.24,14.1,0.7,134.6,14.58,31.98,,29.02,80.25,0.35,137.25,9.75,9.92,30.02,0.05
2021-07-20 04:00:00,2021-07-20 05:00:00,7.0,10.0,0.7,8.88,5.33,18.15,2.92,0.26,9.6,0.7,135.57,14.58,32.05,,29.08,79.75,0.3,146.5,10.0,6.4,29.98,0.1
2021-07-20 05:00:00,2021-07-20 06:00:00,6.5,11.0,0.35,7.3,4.2,16.68,2.95,0.27,14.3,0.7,135.7,14.78,32.45,,29.02,80.5,0.3,258.5,17.5,8.4,30.0,0.03
2021-07-20 06:00:00,2021-07-20 07:00:00,5.0,21.0,0.55,10.05,5.78,16.38,3.05,0.46,14.87,0.95,134.2,14.78,33.12,,29.0,78.75,0.23,180.25,31.5,12.28,30.45,0.0
2021-07-20 07:00:00,2021-07-20 08:00:00,5.25,38.75,1.9,14.1,9.03,15.78,3.0,0.5,10.3,1.2,133.65,15.05,34.2,,29.0,77.75,0.38,150.5,50.25,9.73,30.52,0.0
2021-07-20 08:00:00,2021-07-20 09:00:00,7.0,26.0,4.65,19.85,14.32,15.15,3.15,0.67,9.2,1.48,134.35,15.47,35.45,,28.92,74.75,0.55,153.5,88.25,13.03,30.75,0.0
2021-07-20 09:00:00,2021-07-20 10:00:00,9.25,53.75,5.33,21.38,15.7,18.38,3.12,0.87,11.35,1.68,132.17,15.18,35.6,,28.65,72.25,0.68,149.5,116.5,13.08,30.95,0.0
2021-07-20 10:00:00,2021-07-20 11:00:00,7.5,102.5,6.2,20.35,15.88,45.95,3.88,1.05,7.8,2.07,142.18,18.95,46.58,,26.12,68.25,0.73,158.75,145.75,17.3,31.22,0.0
2021-07-20 11:00:00,2021-07-20 12:00:00,8.75,107.25,5.5,19.07,14.62,79.15,8.03,1.05,11.97,2.17,175.05,30.9,71.33,,30.42,65.5,0.7,154.0,177.25,8.28,31.38,0.0
2021-07-20 12:00:00,2021-07-20 13:00:00,7.5,84.0,4.8,18.6,13.75,78.03,11.93,0.98,11.25,2.32,208.75,47.0,93.0,,30.68,59.25,0.75,154.75,363.25,33.45,31.93,0.0
2021-07-20 13:00:00,2021-07-20 14:00:00,5.25,79.0,3.33,18.2,12.38,74.78,12.82,0.92,13.4,2.35,217.7,54.55,108.57,,30.6,58.25,0.67,169.25,175.0,38.5,32.22,0.0
2021-07-20 14:00:00,2021-07-20 15:00:00,2.75,76.0,3.15,17.73,12.0,75.17,13.38,0.9,13.1,2.25,219.52,59.0,120.1,,30.38,61.75,0.72,167.0,83.25,42.02,32.0,0.0
2021-07-20 15:00:00,2021-07-20 16:00:00,2.5,81.25,3.1,17.75,11.98,77.12,13.35,0.87,10.73,2.12,219.45,59.7,122.55,,30.45,60.25,0.68,160.0,180.75,42.5,32.17,0.0
2021-07-20 16:00:00,2021-07-20 17:00:00,3.75,89.0,3.05,18.27,12.22,73.35,13.75,0.85,9.07,2.1,220.05,61.75,127.57,,30.48,57.75,0.57,153.5,78.5,44.22,32.35,0.0
2021-07-20 17:00:00,2021-07-20 18:00:00,3.25,89.0,3.08,19.02,12.6,73.1,12.93,0.84,11.38,2.02,217.98,59.85,125.03,,30.85,58.5,0.43,172.0,39.0,43.45,32.3,0.0
2021-07-20 18:00:00,2021-07-20 19:00:00,3.75,97.25,3.03,27.8,17.27,27.05,6.97,1.01,9.97,2.05,183.62,41.25,91.18,,30.2,63.25,0.28,190.5,12.0,31.55,32.12,0.0
2021-07-20 19:00:00,2021-07-20 20:00:00,4.25,156.75,5.77,31.68,21.55,26.75,3.85,1.22,11.07,2.2,137.35,19.55,49.52,,28.9,66.0,0.38,170.25,9.5,17.82,31.95,0.0
2021-07-20 20:00:00,2021-07-20 21:00:00,8.0,162.75,2.48,24.65,15.08,27.42,3.5,0.99,12.05,2.02,131.68,16.45,40.62,,28.98,68.75,0.3,196.0,9.75,14.88,31.85,0.0
2021-07-20 21:00:00,2021-07-20 22:00:00,7.25,184.75,3.55,24.93,16.12,25.1,3.23,0.94,7.65,1.9,131.12,15.65,37.1,,28.83,71.5,0.35,182.5,9.5,10.78,31.58,0.0
2021-07-20 22:00:00,2021-07-20 23:00:00,4.75,258.25,2.75,18.32,11.97,25.15,3.2,0.75,9.45,1.85,132.05,15.2,35.6,,28.98,72.5,0.35,160.25,9.5,10.38,31.45,0.0
2021-07-20 23:00:00,2021-07-21 00:00:00,5.25,124.5,1.23,12.0,7.42,23.52,3.03,0.45,11.57,1.4,132.45,14.88,34.3,,29.02,73.25,0.35,174.5,9.25,12.88,31.35,0.0
2021-07-21 00:00:00,2021-07-21 01:00:00,9.0,48.25,0.62,9.12,5.38,23.0,2.8,0.35,11.3,1.1,132.1,14.65,33.22,,29.05,74.0,0.35,169.25,9.5,10.4,31.33,0.0
2021-07-21 01:00:00,2021-07-21 02:00:00,8.5,44.0,0.47,6.25,3.7,21.43,2.8,0.32,13.52,1.0,131.35,14.5,33.0,,28.98,74.5,0.43,154.25,9.75,11.4,31.32,0.0
2021-07-21 02:00:00,2021-07-21 03:00:00,7.0,47.0,0.35,6.17,3.55,22.17,3.05,0.33,13.25,1.0,133.4,14.62,32.9,,29.05,74.5,0.35,157.75,9.5,9.38,31.32,0.0
2021-07-21 03:00:00,2021-07-21 04:00:00,7.0,48.0,0.45,6.72,3.95,21.88,3.15,0.34,12.4,1.02,132.62,14.5,32.88,,29.0,74.75,0.35,156.0,9.75,9.47,31.27,0.0
2021-07-21 04:00:00,2021-07-21 05:00:00,6.5,51.5,0.58,8.18,4.83,21.3,2.8,0.37,11.93,1.12,132.4,14.5,32.8,,28.82,75.25,0.28,200.5,9.25,9.4,31.3,0.0
2021-07-21 05:00:00,2021-07-21 06:00:00,4.75,51.0,0.85,10.62,6.35,21.07,2.95,0.42,7.77,1.12,133.32,14.43,32.67,,29.0,76.0,0.25,208.0,15.25,9.32,31.33,0.0
2021-07-21 06:00:00,2021-07-21 07:00:00,4.75,66.5,2.67,13.42,9.3,20.48,3.25,0.49,10.68,1.27,134.1,14.65,33.4,,29.02,72.0,0.52,151.5,48.25,12.47,31.48,0.0
2021-07-21 07:00:00,2021-07-21 08:00:00,6.5,90.0,1.75,12.68,8.18,19.67,3.1,0.48,14.28,1.35,132.22,14.65,33.98,,28.85,70.5,0.4,65.25,61.25,12.65,31.58,0.0
2021-07-21 08:00:00,2021-07-21 09:00:00,4.5,62.75,0.73,8.93,5.35,18.98,2.8,0.43,14.82,1.25,130.17,14.27,33.15,,28.98,69.5,0.55,139.25,102.75,10.32,31.57,0.0
2021-07-21 09:00:00,2021-07-21 10:00:00,3.0,54.0,0.65,9.22,5.43,41.9,3.97,0.45,13.9,1.15,142.82,15.45,34.12,,31.55,64.75,0.5,39.75,190.5,6.3,31.93,0.0
2021-07-21 10:00:00,2021-07-21 11:00:00,2.0,43.25,0.72,10.15,5.98,55.38,7.77,0.43,13.2,1.32,197.25,21.52,55.37,,29.5,58.0,0.47,75.25,229.75,20.9,32.6,0.0
2021-07-21 11:00:00,2021-07-21 12:00:00,7.0,55.5,1.18,11.43,7.08,50.88,6.15,0.51,15.28,1.55,183.12,34.73,78.5,,25.72,50.75,0.5,120.5,362.25,27.45,33.25,0.0
2021-07-21 12:00:00,2021-07-21 13:00:00,8.25,62.25,1.98,17.0,10.65,79.62,7.1,0.61,9.23,1.77,179.57,35.58,88.3,,30.2,47.75,0.57,131.5,379.25,15.2,33.5,0.0
2021-07-21 13:00:00,2021-07-21 14:00:00,8.0,71.5,1.25,14.82,8.93,74.35,9.28,0.61,7.75,1.9,201.22,37.53,76.4,,30.83,47.5,0.6,137.75,295.0,27.55,33.7,0.0
2021-07-21 14:00:00,2021-07-21 15:00:00,5.25,72.75,1.12,13.03,7.83,83.95,10.75,0.57,11.55,1.85,212.62,47.48,96.93,,30.77,48.5,0.65,128.75,235.75,34.17,33.67,0.0
2021-07-21 15:00:00,2021-07-21 16:00:00,5.5,61.5,1.3,13.4,8.15,83.53,11.5,0.56,11.6,1.8,217.65,52.33,107.25,,30.7,46.5,0.65,132.25,184.75,37.38,33.73,0.0
2021-07-21 16:00:00,2021-07-21 17:00:00,3.75,74.0,1.88,15.17,9.62,92.03,11.73,0.64,12.83,1.75,218.12,53.72,111.9,,30.8,47.0,0.65,150.25,50.5,38.83,33.78,0.0
2021-07-21 17:00:00,2021-07-21 18:00:00,3.5,92.25,2.15,19.38,12.07,130.62,11.05,0.72,8.63,1.9,215.57,52.17,111.43,,30.8,45.5,0.5,160.0,43.25,38.52,33.73,0.0
2021-07-21 18:00:00,2021-07-21 19:00:00,5.0,108.0,2.62,24.45,15.1,37.15,6.63,0.8,9.97,1.95,181.55,36.12,79.57,,30.6,55.0,0.55,155.5,13.5,27.82,33.05,0.0
2021-07-21 19:00:00,2021-07-21 20:00:00,5.5,88.25,0.75,13.55,7.82,31.43,2.75,0.48,13.85,1.53,132.83,17.75,44.55,,29.33,67.25,0.53,259.0,9.5,15.9,31.53,0.0
2021-07-21 20:00:00,2021-07-21 21:00:00,7.5,37.5,1.05,13.52,8.0,28.95,2.8,0.49,12.75,1.35,132.55,15.1,37.25,,29.52,62.75,0.32,197.0,9.75,10.25,31.55,0.0
2021-07-21 21:00:00,2021-07-21 22:00:00,8.75,48.5,0.35,10.12,5.67,25.97,2.95,0.35,12.25,1.18,130.85,14.93,35.7,,29.5,68.0,0.28,183.25,9.75,13.05,31.5,0.0
2021-07-21 22:00:00,2021-07-21 23:00:00,8.5,31.25,0.6,7.62,4.58,24.48,3.1,0.27,16.42,1.1,132.0,14.9,34.7,,29.75,76.0,0.75,147.0,10.5,8.5,30.73,0.0
2021-07-21 23:00:00,2021-07-22 00:00:00,10.0,22.0,0.47,6.0,3.55,21.52,2.77,0.23,17.6,0.85,132.05,14.2,32.45,,29.62,78.25,0.33,246.25,10.25,12.05,30.63,0.08
2021-07-22 00:00:00,2021-07-22 01:00:00,6.0,,0.2,4.53,2.55,20.02,1.92,0.24,15.67,0.8,127.95,13.5,31.05,,29.77,77.5,0.65,351.75,10.75,3.9,30.75,0.0
2021-07-22 01:00:00,2021-07-22 02:00:00,,,0.2,3.9,2.2,18.63,1.77,0.24,17.7,0.77,136.73,13.8,31.1,,29.77,77.67,0.5,268.0,10.0,10.57,30.8,0.13
2021-07-22 02:00:00,2021-07-22 03:00:00,4.5,5.75,0.1,3.65,1.9,18.48,1.83,0.24,17.7,0.73,132.12,13.9,31.17,,29.8,79.0,0.4,266.0,10.75,6.95,30.42,0.05
2021-07-22 03:00:00,2021-07-22 04:00:00,6.0,8.0,,4.0,2.05,17.7,1.7,0.25,,0.77,134.3,14.15,31.12,,29.77,78.0,0.5,183.5,10.0,6.15,30.58,0.0
2021-07-22 04:00:00,2021-07-22 05:00:00,3.0,7.0,0.27,3.82,2.22,16.7,1.95,0.25,,0.8,132.47,13.85,31.15,,29.77,77.0,0.7,105.25,10.0,10.78,30.5,0.0
2021-07-22 05:00:00,2021-07-22 06:00:00,3.5,6.75,0.3,3.75,2.1,16.03,1.75,0.24,17.23,0.8,131.03,13.63,30.57,,29.78,75.75,0.57,20.25,20.0,7.73,30.52,0.0
2021-07-22 06:00:00,2021-07-22 07:00:00,,,0.23,4.57,2.65,15.55,1.82,0.24,14.7,0.8,132.3,13.9,31.9,,29.75,73.5,0.5,43.25,55.25,11.8,30.83,0.0
2021-07-22 07:00:00,2021-07-22 08:00:00,8.0,22.0,0.75,6.12,3.85,14.78,1.88,0.32,14.17,0.9,131.5,14.1,32.2,,29.6,68.25,0.62,73.5,100.5,8.7,31.55,0.0
2021-07-22 08:00:00,2021-07-22 09:00:00,7.25,25.5,1.05,8.55,5.4,14.7,1.95,0.42,15.98,1.2,137.88,14.35,33.33,,29.6,63.25,0.7,97.75,141.0,9.35,32.1,0.0
2021-07-22 09:00:00,2021-07-22 10:00:00,3.75,34.5,1.15,10.62,6.6,32.4,3.3,0.54,12.97,1.5,171.0,20.8,41.5,,29.97,60.25,0.67,72.75,241.5,12.0,32.38,0.0
2021-07-22 10:00:00,2021-07-22 11:00:00,3.75,43.0,1.45,11.6,7.35,45.08,6.2,0.69,15.43,1.57,146.85,34.12,79.55,,27.15,53.0,0.62,108.25,417.5,35.42,33.17,0.0
2021-07-22 11:00:00,2021-07-22 12:00:00,5.25,65.5,2.85,16.73,11.23,50.83,9.57,0.86,10.65,1.95,132.2,39.6,91.45,,28.83,52.0,0.73,131.25,367.0,37.0,33.23,0.0
2021-07-22 12:00:00,2021-07-22 13:00:00,3.0,69.5,1.88,15.07,9.55,48.17,9.95,0.78,14.07,2.1,197.18,44.6,103.35,,28.77,50.0,0.6,114.5,358.25,38.0,33.48,0.0
2021-07-22 13:00:00,2021-07-22 14:00:00,2.0,61.5,2.25,15.1,9.88,49.52,9.57,0.79,12.15,2.0,197.57,44.65,104.72,,28.75,47.0,0.83,135.0,337.5,36.83,33.83,0.0
2021-07-22 14:00:00,2021-07-22 15:00:00,2.75,85.75,2.72,17.57,11.55,48.03,9.6,0.82,13.38,2.02,194.8,45.5,109.8,,28.75,47.75,0.9,138.25,289.5,37.73,33.9,0.0
2021-07-22 15:00:00,2021-07-22 16:00:00,3.25,82.25,2.27,18.18,11.52,47.3,9.03,0.83,11.7,2.07,194.93,45.3,109.62,,28.67,47.0,0.67,122.75,175.5,37.15,33.9,0.0
2021-07-22 16:00:00,2021-07-22 17:00:00,7.0,75.75,2.3,17.27,11.02,47.6,9.35,0.83,14.17,2.12,197.83,46.52,113.15,,28.73,47.0,0.75,126.5,65.0,38.08,33.98,0.0
2021-07-22 17:00:00,2021-07-22 18:00:00,7.25,84.25,2.98,18.4,12.2,43.2,9.07,0.88,13.6,2.3,198.7,46.72,113.25,,28.9,49.0,0.57,132.0,34.75,37.88,33.8,0.0
