From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Temp (),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF ()
2019-10-12 20:00:00,2019-10-12 21:00:00,173.0,299.0,35.27,124.92,95.12,41.4,16.03,0.58,15.07,2.7,13.1,8.5,0.12,,61.5,1.58,101.25,19.0,740.0,0.05,26.82,0.0
2019-10-12 21:00:00,2019-10-12 22:00:00,82.0,144.0,12.05,89.55,57.42,45.0,15.47,0.58,18.6,2.62,10.03,5.75,0.28,,67.5,1.5,91.25,19.0,740.0,0.1,25.77,0.0
2019-10-12 22:00:00,2019-10-12 23:00:00,105.0,158.0,19.12,87.0,61.8,55.12,14.25,0.64,11.23,2.67,7.95,4.25,0.03,,70.5,1.33,85.25,19.0,740.0,0.05,25.07,0.0
2019-10-12 23:00:00,2019-10-13 00:00:00,99.0,156.0,15.28,71.67,50.55,62.67,14.23,0.71,10.68,2.62,4.78,3.17,,,73.0,1.73,70.25,19.0,740.0,0.12,24.3,0.0
2019-10-13 00:00:00,2019-10-13 01:00:00,108.0,148.0,22.98,75.1,58.62,62.05,15.15,0.68,7.02,2.78,5.05,2.85,0.03,,73.5,1.5,82.25,19.0,740.0,0.08,23.77,0.0
2019-10-13 01:00:00,2019-10-13 02:00:00,126.0,164.0,46.97,79.9,80.7,65.1,13.6,0.71,2.8,2.17,3.9,2.35,,,76.25,1.12,139.75,19.0,740.0,0.05,23.33,0.0
2019-10-13 02:00:00,2019-10-13 03:00:00,138.0,180.0,28.95,83.05,67.7,64.03,11.5,0.72,5.05,1.98,4.9,2.2,,,78.75,1.12,125.5,19.0,740.0,0.08,23.1,0.0
2019-10-13 03:00:00,2019-10-13 04:00:00,103.0,137.0,34.02,77.62,69.0,57.05,9.02,0.76,4.3,2.08,4.17,2.52,,,84.5,1.45,119.0,19.0,740.0,0.05,22.33,0.0
2019-10-13 04:00:00,2019-10-13 05:00:00,109.0,134.0,15.45,63.92,46.58,66.58,7.83,0.76,7.07,2.45,5.1,2.17,,,86.75,1.15,80.5,19.0,740.0,0.03,21.98,0.0
2019-10-13 05:00:00,2019-10-13 06:00:00,108.0,136.0,35.85,81.43,72.45,62.1,7.75,0.8,1.95,1.98,5.58,3.0,,,86.0,1.05,95.75,19.0,740.0,0.03,21.9,0.0
2019-10-13 06:00:00,2019-10-13 07:00:00,106.0,132.0,45.4,83.2,81.12,71.92,7.9,0.83,0.8,2.02,5.2,3.05,0.03,,85.75,0.8,84.25,26.5,740.0,0.12,21.57,0.0
2019-10-13 07:00:00,2019-10-13 08:00:00,118.0,156.0,15.1,68.4,48.7,78.2,11.8,0.84,4.3,2.6,10.4,5.38,0.1,,80.75,1.12,86.25,75.0,740.0,0.1,22.68,0.0
2019-10-13 08:00:00,2019-10-13 09:00:00,148.0,194.0,9.45,61.02,40.12,82.15,17.4,0.81,29.7,2.55,7.97,3.55,0.08,,77.0,1.95,83.5,147.0,740.0,0.12,24.08,0.0
2019-10-13 09:00:00,2019-10-13 10:00:00,159.0,186.0,4.5,48.58,29.5,67.97,18.55,0.88,41.33,2.25,6.95,3.08,0.03,,70.5,1.58,107.5,215.75,740.0,0.1,26.43,0.0
2019-10-13 10:00:00,2019-10-13 11:00:00,106.0,134.0,2.58,36.5,21.5,47.5,11.95,0.31,61.45,1.57,4.0,1.95,0.08,,60.5,2.15,118.5,265.25,740.0,0.0,28.4,0.0
2019-10-13 11:00:00,2019-10-13 12:00:00,64.0,102.0,1.67,30.65,17.65,34.05,12.57,0.33,76.27,0.97,4.42,2.15,,,50.75,2.83,108.25,299.75,740.0,0.03,29.7,0.0
2019-10-13 12:00:00,2019-10-13 13:00:00,44.0,76.0,1.9,34.53,19.9,26.45,9.15,0.42,75.2,0.7,3.12,1.75,,,46.5,2.78,108.0,263.75,740.0,0.05,30.6,0.0
2019-10-13 13:00:00,2019-10-13 14:00:00,41.0,72.0,3.35,37.77,22.77,23.45,7.33,0.51,72.05,0.65,4.15,1.97,,,43.25,3.12,117.25,173.0,740.0,0.15,31.02,0.0
2019-10-13 14:00:00,2019-10-13 15:00:00,38.0,70.0,1.78,32.17,18.57,19.45,6.35,0.52,69.83,0.5,3.17,1.57,,,38.75,3.2,101.5,203.75,740.0,0.15,31.35,0.0
2019-10-13 15:00:00,2019-10-13 16:00:00,30.0,62.0,1.93,35.17,20.28,16.45,5.75,0.64,68.45,0.43,1.02,1.3,,,37.75,3.08,107.25,89.5,740.0,0.15,31.3,0.0
2019-10-13 16:00:00,2019-10-13 17:00:00,52.0,56.0,2.0,41.07,23.48,17.93,7.7,0.63,69.28,0.4,1.8,1.23,,,43.25,2.38,110.25,65.75,740.0,0.1,30.45,0.0
2019-10-13 17:00:00,2019-10-13 18:00:00,36.0,67.0,3.87,75.0,43.05,19.67,8.43,0.68,49.83,0.7,3.75,3.1,,,49.75,1.88,111.0,31.0,740.0,0.17,29.4,0.0
