From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (ug/m3)
2021-01-18 03:00:00,2021-01-18 04:00:00,51.65,121.3,8.69,22.15,18.85,1.14,14.5
2021-01-18 04:00:00,2021-01-18 05:00:00,37.7,80.9,8.83,22.58,19.19,1.09,15.0
2021-01-18 05:00:00,2021-01-18 06:00:00,41.58,87.25,9.31,22.35,19.45,1.06,14.25
2021-01-18 06:00:00,2021-01-18 07:00:00,46.8,104.0,8.14,22.51,18.59,1.04,13.25
2021-01-18 07:00:00,2021-01-18 08:00:00,46.27,94.97,8.92,22.64,19.3,1.06,10.25
2021-01-18 08:00:00,2021-01-18 09:00:00,57.9,115.48,8.62,22.49,18.96,1.21,9.5
2021-01-18 09:00:00,2021-01-18 10:00:00,70.08,144.0,8.99,22.61,19.34,1.44,9.75
2021-01-18 10:00:00,2021-01-18 11:00:00,77.2,140.38,8.65,22.51,19.01,1.7,15.0
2021-01-18 11:00:00,2021-01-18 12:00:00,76.25,141.03,8.59,22.56,18.99,1.72,12.5
2021-01-18 12:00:00,2021-01-18 13:00:00,80.75,198.03,8.19,22.54,18.64,1.56,12.25
2021-01-18 13:00:00,2021-01-18 14:00:00,58.23,136.0,8.87,22.69,19.28,1.38,14.75
2021-01-18 14:00:00,2021-01-18 15:00:00,62.33,143.35,8.22,22.28,18.53,1.24,24.25
2021-01-18 15:00:00,2021-01-18 16:00:00,63.17,151.85,8.68,22.4,18.97,1.2,30.0
2021-01-18 16:00:00,2021-01-18 17:00:00,46.85,107.25,8.58,22.8,19.11,1.14,25.5
2021-01-18 17:00:00,2021-01-18 18:00:00,50.85,110.97,8.86,22.21,19.02,1.03,25.25
2021-01-18 18:00:00,2021-01-18 19:00:00,57.2,134.4,8.97,22.44,19.23,0.98,23.5
2021-01-18 19:00:00,2021-01-18 20:00:00,54.6,115.05,8.57,22.52,18.95,1.1,20.75
2021-01-18 20:00:00,2021-01-18 21:00:00,55.58,110.12,8.16,22.17,18.43,1.21,21.0
2021-01-18 21:00:00,2021-01-18 22:00:00,62.85,126.52,8.1,22.39,18.49,1.27,23.5
2021-01-18 22:00:00,2021-01-18 23:00:00,66.25,122.57,8.69,22.38,18.97,1.5,11.25
2021-01-18 23:00:00,2021-01-19 00:00:00,79.23,142.33,8.89,22.54,19.21,1.73,13.0
2021-01-19 00:00:00,2021-01-19 01:00:00,,,,,0.0,0.0,
2021-01-19 01:00:00,2021-01-19 02:00:00,48.3,102.1,8.53,23.22,4.82,0.39,17.0
2021-01-19 02:00:00,2021-01-19 03:00:00,57.23,117.42,8.59,22.26,18.82,1.45,13.0
2021-01-19 03:00:00,2021-01-19 04:00:00,71.75,164.3,9.05,22.33,19.23,1.36,10.0
2021-01-19 04:00:00,2021-01-19 05:00:00,43.12,93.35,8.5,22.04,18.63,1.25,11.75
2021-01-19 05:00:00,2021-01-19 06:00:00,49.58,100.0,8.28,22.4,18.65,1.17,12.0
2021-01-19 06:00:00,2021-01-19 07:00:00,58.4,136.05,9.01,22.19,19.13,1.1,10.75
2021-01-19 07:00:00,2021-01-19 08:00:00,46.02,96.65,8.77,22.79,19.25,1.17,9.25
2021-01-19 08:00:00,2021-01-19 09:00:00,58.38,114.4,8.87,22.85,19.36,1.26,12.0
2021-01-19 09:00:00,2021-01-19 10:00:00,62.22,134.32,8.35,22.76,18.89,1.37,11.5
2021-01-19 10:00:00,2021-01-19 11:00:00,68.12,134.92,8.79,22.23,18.98,1.5,15.5
2021-01-19 11:00:00,2021-01-19 12:00:00,67.55,126.75,8.65,22.35,18.92,1.52,14.75
2021-01-19 12:00:00,2021-01-19 13:00:00,56.42,130.2,9.1,22.31,19.26,1.44,13.75
2021-01-19 13:00:00,2021-01-19 14:00:00,46.2,97.15,8.72,22.75,19.19,1.35,19.25
2021-01-19 14:00:00,2021-01-19 15:00:00,45.22,91.25,8.6,22.78,19.11,1.24,17.0
2021-01-19 15:00:00,2021-01-19 16:00:00,50.15,120.7,8.87,22.07,18.95,1.15,20.25
2021-01-19 16:00:00,2021-01-19 17:00:00,33.77,81.6,9.0,22.74,19.42,1.06,19.75
2021-01-19 17:00:00,2021-01-19 18:00:00,34.77,80.55,8.16,22.94,18.84,0.98,23.5
2021-01-19 18:00:00,2021-01-19 19:00:00,26.33,63.25,9.16,22.47,19.41,0.96,20.25
2021-01-19 19:00:00,2021-01-19 20:00:00,20.1,44.17,8.21,22.65,18.72,1.07,18.25
2021-01-19 20:00:00,2021-01-19 21:00:00,27.35,55.97,8.59,22.37,18.88,1.14,23.25
2021-01-19 21:00:00,2021-01-19 22:00:00,27.18,55.45,8.71,22.65,19.13,1.18,29.0
2021-01-19 22:00:00,2021-01-19 23:00:00,33.58,67.1,8.6,22.29,18.85,1.2,22.25
2021-01-19 23:00:00,2021-01-20 00:00:00,55.7,108.03,8.72,22.35,18.98,1.22,18.67
2021-01-20 00:00:00,2021-01-20 01:00:00,,,,,0.0,0.0,
2021-01-20 01:00:00,2021-01-20 02:00:00,50.8,101.1,7.99,22.66,4.64,0.3,13.0
2021-01-20 02:00:00,2021-01-20 03:00:00,54.17,108.75,8.9,22.21,19.05,1.24,14.25
2021-01-20 03:00:00,2021-01-20 04:00:00,62.5,146.35,8.76,22.55,19.12,1.19,14.75
2021-01-20 04:00:00,2021-01-20 05:00:00,55.22,117.7,7.96,22.95,18.68,1.15,13.0
2021-01-20 05:00:00,2021-01-20 06:00:00,100.95,200.1,8.54,22.47,18.89,1.12,11.75
2021-01-20 06:00:00,2021-01-20 07:00:00,24.27,50.88,9.37,22.62,19.65,1.11,11.75
2021-01-20 07:00:00,2021-01-20 08:00:00,48.43,103.17,8.03,22.65,18.57,1.19,10.5
2021-01-20 08:00:00,2021-01-20 09:00:00,70.9,141.68,8.64,22.86,19.18,1.31,13.0
2021-01-20 09:00:00,2021-01-20 10:00:00,44.38,96.75,9.19,22.66,19.52,1.33,16.39
2021-01-20 10:00:00,2021-01-20 11:00:00,66.85,145.6,8.79,22.49,19.11,1.34,11.75
2021-01-20 11:00:00,2021-01-20 12:00:00,12.05,23.25,8.28,22.62,18.77,1.23,13.5
2021-01-20 12:00:00,2021-01-20 13:00:00,1.77,3.2,8.29,22.62,19.09,1.05,10.75
2021-01-20 13:00:00,2021-01-20 14:00:00,4.92,9.4,8.85,22.27,19.04,0.93,13.25
2021-01-20 14:00:00,2021-01-20 15:00:00,15.28,30.2,8.4,22.43,18.76,0.85,16.0
2021-01-20 15:00:00,2021-01-20 16:00:00,10.0,23.35,8.73,22.9,19.28,0.78,16.0
2021-01-20 16:00:00,2021-01-20 17:00:00,65.2,153.38,8.27,22.25,18.56,0.72,20.75
2021-01-20 17:00:00,2021-01-20 18:00:00,211.58,510.67,9.01,22.26,19.16,0.7,20.5
2021-01-20 18:00:00,2021-01-20 19:00:00,188.8,477.05,9.29,22.42,19.48,0.72,23.0
2021-01-20 19:00:00,2021-01-20 20:00:00,20.43,49.6,8.93,22.47,19.22,0.76,22.75
2021-01-20 20:00:00,2021-01-20 21:00:00,1.7,3.92,8.78,22.48,19.1,0.83,19.75
2021-01-20 21:00:00,2021-01-20 22:00:00,0.95,2.15,7.82,22.81,18.49,0.9,20.0
2021-01-20 22:00:00,2021-01-20 23:00:00,2.45,5.2,9.21,22.8,19.62,0.97,16.25
2021-01-20 23:00:00,2021-01-21 00:00:00,19.6,38.6,8.59,22.29,18.85,1.05,12.67
2021-01-21 00:00:00,2021-01-21 01:00:00,,,,,0.0,0.0,
2021-01-21 01:00:00,2021-01-21 02:00:00,7.2,14.3,8.1,22.57,4.65,0.26,13.0
2021-01-21 02:00:00,2021-01-21 03:00:00,27.15,54.15,9.16,22.09,19.2,0.94,11.75
2021-01-21 03:00:00,2021-01-21 04:00:00,94.25,190.1,8.61,22.61,19.03,0.92,10.5
2021-01-21 04:00:00,2021-01-21 05:00:00,20.95,44.95,9.18,22.4,19.37,0.9,9.5
2021-01-21 05:00:00,2021-01-21 06:00:00,34.55,76.53,8.67,22.54,19.04,0.84,9.25
2021-01-21 06:00:00,2021-01-21 07:00:00,12.52,29.82,8.49,22.29,18.76,0.83,10.25
2021-01-21 07:00:00,2021-01-21 08:00:00,15.33,36.98,8.61,22.72,19.09,0.89,10.25
2021-01-21 08:00:00,2021-01-21 09:00:00,26.83,62.9,8.87,22.16,19.0,1.01,10.25
2021-01-21 09:00:00,2021-01-21 10:00:00,30.25,71.15,8.16,22.96,18.85,1.07,10.5
2021-01-21 10:00:00,2021-01-21 11:00:00,31.0,63.52,9.27,22.91,19.72,1.11,12.25
2021-01-21 11:00:00,2021-01-21 12:00:00,34.47,66.38,8.84,22.49,19.15,1.06,12.25
2021-01-21 12:00:00,2021-01-21 13:00:00,40.73,73.42,8.95,22.39,19.19,1.02,9.75
2021-01-21 13:00:00,2021-01-21 14:00:00,45.77,89.65,8.61,22.48,18.95,0.91,12.5
2021-01-21 14:00:00,2021-01-21 15:00:00,14.95,30.55,7.87,23.06,18.67,0.8,12.5
2021-01-21 15:00:00,2021-01-21 16:00:00,10.57,22.8,8.88,22.56,19.22,0.69,15.5
2021-01-21 16:00:00,2021-01-21 17:00:00,15.38,32.4,8.86,22.39,19.11,0.62,19.5
2021-01-21 17:00:00,2021-01-21 18:00:00,28.6,61.23,8.61,22.33,18.88,0.66,19.75
2021-01-21 18:00:00,2021-01-21 19:00:00,18.62,43.1,8.7,22.42,19.0,0.71,18.0
2021-01-21 19:00:00,2021-01-21 20:00:00,55.58,122.15,8.36,22.56,18.79,0.86,18.0
2021-01-21 20:00:00,2021-01-21 21:00:00,111.32,240.9,8.72,22.68,19.14,0.96,19.5
2021-01-21 21:00:00,2021-01-21 22:00:00,23.82,51.88,8.54,22.5,18.91,0.99,20.5
2021-01-21 22:00:00,2021-01-21 23:00:00,34.3,74.32,8.0,22.93,18.7,0.98,18.0
2021-01-21 23:00:00,2021-01-22 00:00:00,75.67,162.0,6.62,22.62,18.65,1.09,24.28
2021-01-22 00:00:00,2021-01-22 01:00:00,,,,,0.0,0.0,
2021-01-22 01:00:00,2021-01-22 02:00:00,62.9,120.5,7.53,22.58,4.53,0.28,11.0
2021-01-22 02:00:00,2021-01-22 03:00:00,48.3,94.75,8.8,22.31,19.02,1.01,11.75
2021-01-22 03:00:00,2021-01-22 04:00:00,40.23,91.83,9.13,22.24,19.26,0.91,13.25
2021-01-22 04:00:00,2021-01-22 05:00:00,26.57,58.0,8.23,22.09,18.45,0.82,13.25
2021-01-22 05:00:00,2021-01-22 06:00:00,30.95,62.48,8.33,22.46,18.72,0.8,12.75
2021-01-22 06:00:00,2021-01-22 07:00:00,47.12,92.28,8.71,22.58,19.09,0.85,10.75
2021-01-22 07:00:00,2021-01-22 08:00:00,30.55,64.88,8.52,22.53,18.91,0.97,11.0
2021-01-22 08:00:00,2021-01-22 09:00:00,41.27,88.97,7.74,22.78,18.41,1.12,11.25
2021-01-22 09:00:00,2021-01-22 10:00:00,54.55,126.38,8.85,22.35,19.09,1.28,10.75
2021-01-22 10:00:00,2021-01-22 11:00:00,60.25,116.7,9.0,22.43,19.25,1.38,14.5
2021-01-22 11:00:00,2021-01-22 12:00:00,81.45,159.75,8.54,22.32,18.82,1.42,15.75
2021-01-22 12:00:00,2021-01-22 13:00:00,81.47,190.45,9.62,22.8,19.95,1.37,10.75
2021-01-22 13:00:00,2021-01-22 14:00:00,64.95,147.82,9.09,22.23,19.22,1.27,17.5
2021-01-22 14:00:00,2021-01-22 15:00:00,56.05,126.52,8.31,22.34,18.64,1.19,20.25
2021-01-22 15:00:00,2021-01-22 16:00:00,55.95,127.8,8.57,22.59,18.98,1.11,30.25
2021-01-22 16:00:00,2021-01-22 17:00:00,47.78,100.62,8.9,21.96,18.92,1.04,30.25
2021-01-22 17:00:00,2021-01-22 18:00:00,51.88,106.0,8.48,22.17,18.69,1.09,22.5
2021-01-22 18:00:00,2021-01-22 19:00:00,67.7,142.9,8.17,23.14,18.95,1.31,18.0
2021-01-22 19:00:00,2021-01-22 20:00:00,76.85,150.85,7.97,22.53,18.46,1.47,16.75
2021-01-22 20:00:00,2021-01-22 21:00:00,88.0,167.62,8.15,22.56,18.63,1.7,11.25
2021-01-22 21:00:00,2021-01-22 22:00:00,107.48,232.95,9.0,22.9,19.5,1.95,9.75
2021-01-22 22:00:00,2021-01-22 23:00:00,78.97,173.08,8.22,22.71,18.76,2.18,10.0
2021-01-22 23:00:00,2021-01-23 00:00:00,77.6,153.77,9.07,22.68,19.44,2.32,18.61
2021-01-23 00:00:00,2021-01-23 01:00:00,,,,,0.0,0.0,
2021-01-23 01:00:00,2021-01-23 02:00:00,58.7,141.5,9.16,22.65,4.87,0.45,12.0
2021-01-23 02:00:00,2021-01-23 03:00:00,61.72,140.93,8.55,22.42,18.87,1.68,11.75
2021-01-23 03:00:00,2021-01-23 04:00:00,72.95,165.8,8.11,22.97,18.81,1.46,13.0
2021-01-23 04:00:00,2021-01-23 05:00:00,53.93,135.07,8.72,22.78,19.2,1.26,13.75
2021-01-23 05:00:00,2021-01-23 06:00:00,48.25,118.7,8.44,22.65,18.91,1.14,11.5
2021-01-23 06:00:00,2021-01-23 07:00:00,43.45,101.32,8.85,21.97,18.88,1.14,11.5
2021-01-23 07:00:00,2021-01-23 08:00:00,49.1,105.47,8.18,22.82,18.79,1.17,12.0
2021-01-23 08:00:00,2021-01-23 09:00:00,58.25,115.45,8.04,22.34,18.43,1.3,14.0
