From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3)
2018-12-29 21:00:00,2018-12-29 22:00:00,79.9,219.01,,,116.58,7.42
2018-12-29 22:00:00,2018-12-29 23:00:00,82.71,134.32,,,88.27,7.85
2018-12-29 23:00:00,2018-12-30 00:00:00,,,,,66.26,7.32
2018-12-30 00:00:00,2018-12-30 01:00:00,60.19,134.22,,,49.28,6.96
2018-12-30 01:00:00,2018-12-30 02:00:00,58.4,126.02,,,41.14,6.81
2018-12-30 02:00:00,2018-12-30 03:00:00,46.41,96.71,,,34.15,6.67
2018-12-30 03:00:00,2018-12-30 04:00:00,53.42,93.76,,,58.6,6.07
2018-12-30 04:00:00,2018-12-30 05:00:00,45.26,80.73,,,45.31,6.14
2018-12-30 05:00:00,2018-12-30 06:00:00,36.01,78.83,,,36.63,6.72
2018-12-30 06:00:00,2018-12-30 07:00:00,49.51,102.9,,,33.02,6.41
2018-12-30 07:00:00,2018-12-30 08:00:00,49.33,123.2,,,33.9,6.32
2018-12-30 08:00:00,2018-12-30 09:00:00,71.67,225.39,,,32.15,6.23
2018-12-30 09:00:00,2018-12-30 10:00:00,62.54,143.46,,,30.39,6.48
2018-12-30 10:00:00,2018-12-30 11:00:00,50.81,181.97,,,24.06,6.47
2018-12-30 11:00:00,2018-12-30 12:00:00,43.9,141.71,,,29.9,6.56
2018-12-30 12:00:00,2018-12-30 13:00:00,41.81,132.02,,,32.84,7.1
2018-12-30 13:00:00,2018-12-30 14:00:00,45.32,126.6,,,31.65,7.32
2018-12-30 14:00:00,2018-12-30 15:00:00,53.94,119.49,,,32.7,6.97
2018-12-30 15:00:00,2018-12-30 16:00:00,48.16,123.12,,,32.0,7.04
2018-12-30 16:00:00,2018-12-30 17:00:00,18.89,69.86,,,36.44,6.82
2018-12-30 17:00:00,2018-12-30 18:00:00,,66.5,,,52.56,6.59
2018-12-30 18:00:00,2018-12-30 19:00:00,21.49,204.7,,,77.28,6.13
2018-12-30 19:00:00,2018-12-30 20:00:00,79.33,226.39,,,100.26,6.35
2018-12-30 20:00:00,2018-12-30 21:00:00,83.09,207.58,,,110.26,7.15
2018-12-30 21:00:00,2018-12-30 22:00:00,88.63,193.43,,,102.18,6.9
2018-12-30 22:00:00,2018-12-30 23:00:00,70.22,157.79,,,74.41,6.94
2018-12-30 23:00:00,2018-12-31 00:00:00,68.64,132.84,,,49.26,6.79
2018-12-31 00:00:00,2018-12-31 01:00:00,50.42,103.19,,,32.82,6.74
2018-12-31 01:00:00,2018-12-31 02:00:00,44.37,79.57,,,26.36,6.59
2018-12-31 02:00:00,2018-12-31 03:00:00,41.7,46.49,,,21.11,6.5
2018-12-31 03:00:00,2018-12-31 04:00:00,35.42,48.28,,,19.16,6.48
2018-12-31 04:00:00,2018-12-31 05:00:00,38.12,78.02,,,19.95,6.41
2018-12-31 05:00:00,2018-12-31 06:00:00,40.29,79.92,,,24.73,6.03
2018-12-31 06:00:00,2018-12-31 07:00:00,57.74,129.97,,,37.64,5.88
2018-12-31 07:00:00,2018-12-31 08:00:00,65.37,154.26,,,51.14,6.0
2018-12-31 08:00:00,2018-12-31 09:00:00,72.61,181.41,,,51.56,6.28
2018-12-31 09:00:00,2018-12-31 10:00:00,64.61,157.01,,,44.59,5.96
2018-12-31 10:00:00,2018-12-31 11:00:00,55.35,128.8,,,39.94,6.09
2018-12-31 11:00:00,2018-12-31 12:00:00,44.04,126.37,,,40.76,5.96
2018-12-31 12:00:00,2018-12-31 13:00:00,46.57,101.53,,,41.49,6.45
2018-12-31 13:00:00,2018-12-31 14:00:00,44.36,83.59,,,37.42,6.37
2018-12-31 14:00:00,2018-12-31 15:00:00,34.49,90.04,,,38.04,6.54
2018-12-31 15:00:00,2018-12-31 16:00:00,41.29,111.2,,,35.95,6.77
2018-12-31 16:00:00,2018-12-31 17:00:00,36.95,88.42,,,48.43,6.81
2018-12-31 17:00:00,2018-12-31 18:00:00,58.68,168.15,,,70.28,6.3
2018-12-31 18:00:00,2018-12-31 19:00:00,86.67,256.36,,,96.21,6.59
2018-12-31 19:00:00,2018-12-31 20:00:00,117.56,311.6,,,130.55,7.7
2018-12-31 20:00:00,2018-12-31 21:00:00,67.32,189.11,,,103.43,7.15
2018-12-31 21:00:00,2018-12-31 22:00:00,64.84,168.65,,,87.58,6.52
2018-12-31 22:00:00,2018-12-31 23:00:00,56.39,142.11,,,78.88,6.51
2018-12-31 23:00:00,2019-01-01 00:00:00,58.14,137.53,,,74.61,6.39
2019-01-01 00:00:00,2019-01-01 01:00:00,58.02,89.3,,,60.37,6.45
2019-01-01 01:00:00,2019-01-01 02:00:00,50.34,54.51,,,49.41,6.19
2019-01-01 02:00:00,2019-01-01 03:00:00,49.33,116.57,,,42.59,5.91
2019-01-01 03:00:00,2019-01-01 04:00:00,57.97,114.8,,,45.46,5.58
2019-01-01 04:00:00,2019-01-01 05:00:00,58.97,102.32,,,70.13,5.76
2019-01-01 05:00:00,2019-01-01 06:00:00,51.63,103.84,,,61.93,5.56
2019-01-01 06:00:00,2019-01-01 07:00:00,62.43,140.15,,,59.61,5.99
2019-01-01 07:00:00,2019-01-01 08:00:00,65.27,184.84,,,56.44,6.27
2019-01-01 08:00:00,2019-01-01 09:00:00,98.62,242.76,,,57.44,6.02
2019-01-01 09:00:00,2019-01-01 10:00:00,73.86,201.72,,,58.09,6.18
2019-01-01 10:00:00,2019-01-01 11:00:00,66.23,146.68,,,50.45,6.26
2019-01-01 11:00:00,2019-01-01 12:00:00,44.65,122.0,,,43.8,6.75
2019-01-01 12:00:00,2019-01-01 13:00:00,49.76,108.01,,,41.69,6.98
2019-01-01 13:00:00,2019-01-01 14:00:00,46.49,106.94,,,36.6,6.95
2019-01-01 14:00:00,2019-01-01 15:00:00,36.25,74.96,,,28.54,6.74
2019-01-01 15:00:00,2019-01-01 16:00:00,36.4,85.24,,,25.09,6.81
2019-01-01 16:00:00,2019-01-01 17:00:00,44.08,97.59,,,26.65,6.22
2019-01-01 17:00:00,2019-01-01 18:00:00,58.58,153.79,,,50.8,6.27
2019-01-01 18:00:00,2019-01-01 19:00:00,118.23,521.9,,,132.1,7.46
2019-01-01 19:00:00,2019-01-01 20:00:00,202.36,708.45,,,42.36,9.55
2019-01-01 20:00:00,2019-01-01 21:00:00,148.21,375.47,,,152.34,9.99
2019-01-01 21:00:00,2019-01-01 22:00:00,126.9,316.8,,,165.62,9.41
2019-01-01 22:00:00,2019-01-01 23:00:00,168.64,476.31,,,175.63,9.73
2019-01-01 23:00:00,2019-01-02 00:00:00,125.35,376.26,,,176.21,10.11
2019-01-02 00:00:00,2019-01-02 01:00:00,105.97,239.19,,,155.04,9.15
2019-01-02 01:00:00,2019-01-02 02:00:00,108.36,229.97,,,136.86,8.91
2019-01-02 02:00:00,2019-01-02 03:00:00,84.03,138.47,,,114.26,8.35
2019-01-02 03:00:00,2019-01-02 04:00:00,83.04,145.34,,,97.06,7.93
2019-01-02 04:00:00,2019-01-02 05:00:00,72.34,113.36,,,82.49,7.72
2019-01-02 05:00:00,2019-01-02 06:00:00,63.55,101.88,,,72.78,7.42
2019-01-02 06:00:00,2019-01-02 07:00:00,107.49,179.11,,,67.95,7.61
2019-01-02 07:00:00,2019-01-02 08:00:00,181.87,386.61,,,90.09,8.47
2019-01-02 08:00:00,2019-01-02 09:00:00,254.28,630.41,,,128.12,9.44
2019-01-02 09:00:00,2019-01-02 10:00:00,347.46,677.97,,,147.4,9.88
2019-01-02 10:00:00,2019-01-02 11:00:00,167.84,384.32,,,135.44,9.12
2019-01-02 11:00:00,2019-01-02 12:00:00,43.2,110.72,,,93.49,7.78
2019-01-02 12:00:00,2019-01-02 13:00:00,33.84,90.29,,,57.49,9.67
2019-01-02 13:00:00,2019-01-02 14:00:00,34.2,70.85,,,42.32,8.58
2019-01-02 14:00:00,2019-01-02 15:00:00,25.47,82.25,,,40.9,8.38
2019-01-02 15:00:00,2019-01-02 16:00:00,38.24,86.18,,,42.52,7.93
2019-01-02 16:00:00,2019-01-02 17:00:00,42.38,66.05,,,51.68,8.69
2019-01-02 17:00:00,2019-01-02 18:00:00,50.9,73.23,,,71.54,9.49
2019-01-02 18:00:00,2019-01-02 19:00:00,70.31,183.97,,,101.48,11.45
2019-01-02 19:00:00,2019-01-02 20:00:00,117.88,286.29,,,138.13,15.81
2019-01-02 20:00:00,2019-01-02 21:00:00,127.39,350.41,,,150.28,13.01
2019-01-02 21:00:00,2019-01-02 22:00:00,80.84,326.09,,,157.6,9.2
2019-01-02 22:00:00,2019-01-02 23:00:00,77.87,253.44,,,155.97,8.68
2019-01-02 23:00:00,2019-01-03 00:00:00,52.56,175.06,,,136.79,7.59
2019-01-03 00:00:00,2019-01-03 01:00:00,57.44,137.56,,,111.88,7.33
2019-01-03 01:00:00,2019-01-03 02:00:00,53.46,120.93,,,71.88,7.74
2019-01-03 02:00:00,2019-01-03 03:00:00,53.26,101.64,,,42.99,8.13
2019-01-03 03:00:00,2019-01-03 04:00:00,60.61,104.25,,,36.49,8.55
2019-01-03 04:00:00,2019-01-03 05:00:00,61.48,105.98,,,41.86,8.01
2019-01-03 05:00:00,2019-01-03 06:00:00,70.03,116.45,,,52.1,7.56
2019-01-03 06:00:00,2019-01-03 07:00:00,83.92,146.85,,,87.99,7.02
2019-01-03 07:00:00,2019-01-03 08:00:00,91.93,168.11,,,82.86,8.65
2019-01-03 08:00:00,2019-01-03 09:00:00,82.98,165.21,,,60.81,8.74
2019-01-03 09:00:00,2019-01-03 10:00:00,75.28,183.56,,,55.09,8.73
2019-01-03 10:00:00,2019-01-03 11:00:00,70.87,154.93,,,53.26,8.15
2019-01-03 11:00:00,2019-01-03 12:00:00,50.9,127.89,,,50.0,8.09
2019-01-03 12:00:00,2019-01-03 13:00:00,35.18,112.95,,,49.5,7.69
2019-01-03 13:00:00,2019-01-03 14:00:00,32.41,112.75,,,48.43,7.56
2019-01-03 14:00:00,2019-01-03 15:00:00,40.5,110.24,,,48.06,8.54
2019-01-03 15:00:00,2019-01-03 16:00:00,29.87,97.36,,,47.22,8.41
2019-01-03 16:00:00,2019-01-03 17:00:00,35.19,100.75,,,56.84,8.03
2019-01-03 17:00:00,2019-01-03 18:00:00,46.84,140.44,,,73.65,8.1
2019-01-03 18:00:00,2019-01-03 19:00:00,72.82,243.17,,,95.09,9.22
2019-01-03 19:00:00,2019-01-03 20:00:00,106.34,336.25,,,124.72,18.92
2019-01-03 20:00:00,2019-01-03 21:00:00,101.22,270.96,,,151.68,15.8
2019-01-03 21:00:00,2019-01-03 22:00:00,86.99,264.55,,,170.61,10.69
2019-01-03 22:00:00,2019-01-03 23:00:00,80.39,175.67,,,139.12,8.93
2019-01-03 23:00:00,2019-01-04 00:00:00,60.48,174.92,,,105.41,8.24
2019-01-04 00:00:00,2019-01-04 01:00:00,57.76,129.11,,,58.23,8.17
2019-01-04 01:00:00,2019-01-04 02:00:00,58.72,109.83,,,40.57,8.97
2019-01-04 02:00:00,2019-01-04 03:00:00,50.07,95.95,,,31.71,8.19
2019-01-04 03:00:00,2019-01-04 04:00:00,44.12,83.66,,,29.45,7.98
2019-01-04 04:00:00,2019-01-04 05:00:00,38.39,85.91,,,26.59,7.32
2019-01-04 05:00:00,2019-01-04 06:00:00,49.18,84.65,,,32.94,6.75
2019-01-04 06:00:00,2019-01-04 07:00:00,60.6,137.73,,,49.13,6.3
2019-01-04 07:00:00,2019-01-04 08:00:00,76.06,165.04,,,59.67,6.57
2019-01-04 08:00:00,2019-01-04 09:00:00,89.6,217.55,,,58.53,6.58
2019-01-04 09:00:00,2019-01-04 10:00:00,72.03,190.62,,,55.22,6.86
2019-01-04 10:00:00,2019-01-04 11:00:00,58.66,146.1,,,53.19,6.82
2019-01-04 11:00:00,2019-01-04 12:00:00,46.31,145.42,,,50.91,7.11
2019-01-04 12:00:00,2019-01-04 13:00:00,54.35,130.61,,,50.26,7.14
2019-01-04 13:00:00,2019-01-04 14:00:00,50.19,118.1,,,44.03,7.06
2019-01-04 14:00:00,2019-01-04 15:00:00,51.36,122.17,,,46.84,7.32
2019-01-04 15:00:00,2019-01-04 16:00:00,54.52,125.95,,,52.18,7.26
2019-01-04 16:00:00,2019-01-04 17:00:00,50.56,134.13,,,64.06,7.07
2019-01-04 17:00:00,2019-01-04 18:00:00,61.52,181.35,,,88.29,6.98
2019-01-04 18:00:00,2019-01-04 19:00:00,70.05,192.01,,,106.08,6.91
2019-01-04 19:00:00,2019-01-04 20:00:00,74.39,185.99,,,114.2,7.0
2019-01-04 20:00:00,2019-01-04 21:00:00,77.3,181.36,,,100.61,6.98
2019-01-04 21:00:00,2019-01-04 22:00:00,83.86,195.99,,,96.91,6.98
2019-01-04 22:00:00,2019-01-04 23:00:00,77.08,191.76,,,91.34,6.87
2019-01-04 23:00:00,2019-01-05 00:00:00,64.38,165.0,,,77.37,6.77
2019-01-05 00:00:00,2019-01-05 01:00:00,59.56,100.62,,,58.07,6.62
2019-01-05 01:00:00,2019-01-05 02:00:00,,,,,48.58,6.13
2019-01-05 02:00:00,2019-01-05 03:00:00,61.3,77.53,,,41.88,6.14
2019-01-05 03:00:00,2019-01-05 04:00:00,66.5,125.28,,,45.11,5.95
2019-01-05 04:00:00,2019-01-05 05:00:00,83.4,132.54,,,78.9,6.12
2019-01-05 05:00:00,2019-01-05 06:00:00,79.29,157.01,,,90.72,6.24
2019-01-05 06:00:00,2019-01-05 07:00:00,89.49,153.17,,,87.0,6.4
2019-01-05 07:00:00,2019-01-05 08:00:00,130.01,203.92,,,87.51,6.77
2019-01-05 08:00:00,2019-01-05 09:00:00,170.74,312.48,,,95.0,7.21
2019-01-05 09:00:00,2019-01-05 10:00:00,105.8,260.74,,,86.33,6.71
2019-01-05 10:00:00,2019-01-05 11:00:00,94.77,209.6,,,72.54,6.67
2019-01-05 11:00:00,2019-01-05 12:00:00,75.55,144.02,,,59.35,6.76
2019-01-05 12:00:00,2019-01-05 13:00:00,61.02,133.16,,,45.91,6.71
2019-01-05 13:00:00,2019-01-05 14:00:00,43.63,104.54,,,36.56,6.72
2019-01-05 14:00:00,2019-01-05 15:00:00,36.37,79.44,,,30.02,6.36
2019-01-05 15:00:00,2019-01-05 16:00:00,32.96,75.66,,,28.35,6.38
2019-01-05 16:00:00,2019-01-05 17:00:00,45.12,110.46,,,31.28,6.3
2019-01-05 17:00:00,2019-01-05 18:00:00,46.1,141.91,,,34.47,6.1
2019-01-05 18:00:00,2019-01-05 19:00:00,74.61,222.84,,,43.83,5.87
2019-01-05 19:00:00,2019-01-05 20:00:00,126.01,330.03,,,70.06,5.98
2019-01-05 20:00:00,2019-01-05 21:00:00,94.62,217.36,,,72.17,6.11
2019-01-05 21:00:00,2019-01-05 22:00:00,117.05,216.43,,,76.15,6.32
2019-01-05 22:00:00,2019-01-05 23:00:00,112.13,208.37,,,77.11,6.3
2019-01-05 23:00:00,2019-01-06 00:00:00,88.78,182.0,,,77.89,6.41
2019-01-06 00:00:00,2019-01-06 01:00:00,100.53,206.61,,,78.0,6.31
2019-01-06 01:00:00,2019-01-06 02:00:00,98.16,211.34,,,72.02,6.65
2019-01-06 02:00:00,2019-01-06 03:00:00,63.27,129.2,,,56.85,6.7
2019-01-06 03:00:00,2019-01-06 04:00:00,55.49,100.3,,,40.95,6.88
2019-01-06 04:00:00,2019-01-06 05:00:00,86.52,127.28,,,41.72,6.76
2019-01-06 05:00:00,2019-01-06 06:00:00,86.73,147.47,,,47.56,6.59
2019-01-06 06:00:00,2019-01-06 07:00:00,68.48,109.31,,,45.91,6.74
2019-01-06 07:00:00,2019-01-06 08:00:00,56.86,107.7,,,43.16,6.69
2019-01-06 08:00:00,2019-01-06 09:00:00,57.82,116.61,,,38.62,6.45
2019-01-06 09:00:00,2019-01-06 10:00:00,61.4,124.8,,,34.7,6.95
2019-01-06 10:00:00,2019-01-06 11:00:00,61.88,131.89,,,31.08,7.07
2019-01-06 11:00:00,2019-01-06 12:00:00,53.1,171.56,,,30.65,6.81
2019-01-06 12:00:00,2019-01-06 13:00:00,49.42,156.24,,,31.49,6.34
2019-01-06 13:00:00,2019-01-06 14:00:00,45.98,117.42,,,30.58,6.52
2019-01-06 14:00:00,2019-01-06 15:00:00,42.76,119.94,,,30.61,6.57
2019-01-06 15:00:00,2019-01-06 16:00:00,34.31,98.1,,,27.71,6.19
2019-01-06 16:00:00,2019-01-06 17:00:00,48.94,80.66,,,21.18,6.52
2019-01-06 17:00:00,2019-01-06 18:00:00,39.56,70.3,,,20.19,5.87
2019-01-06 18:00:00,2019-01-06 19:00:00,47.17,108.1,,,30.55,5.35
2019-01-06 19:00:00,2019-01-06 20:00:00,79.77,178.42,,,49.53,5.57
2019-01-06 20:00:00,2019-01-06 21:00:00,81.02,197.53,,,95.42,7.84
2019-01-06 21:00:00,2019-01-06 22:00:00,102.9,231.45,,,116.29,7.32
2019-01-06 22:00:00,2019-01-06 23:00:00,98.8,194.32,,,103.97,7.02
2019-01-06 23:00:00,2019-01-07 00:00:00,82.74,142.93,,,83.56,6.46
2019-01-07 00:00:00,2019-01-07 01:00:00,85.7,154.83,,,68.83,6.37
2019-01-07 01:00:00,2019-01-07 02:00:00,107.5,180.51,,,55.78,7.79
2019-01-07 02:00:00,2019-01-07 03:00:00,110.39,169.1,,,53.21,13.53
2019-01-07 03:00:00,2019-01-07 04:00:00,101.5,161.23,,,48.9,7.72
2019-01-07 04:00:00,2019-01-07 05:00:00,103.89,150.78,,,44.22,11.5
2019-01-07 05:00:00,2019-01-07 06:00:00,109.0,160.87,,,41.82,11.74
2019-01-07 06:00:00,2019-01-07 07:00:00,108.32,152.53,,,36.19,7.72
2019-01-07 07:00:00,2019-01-07 08:00:00,133.04,177.18,,,42.12,7.28
2019-01-07 08:00:00,2019-01-07 09:00:00,145.96,224.24,,,57.47,6.94
2019-01-07 09:00:00,2019-01-07 10:00:00,172.34,257.82,,,56.53,7.35
2019-01-07 10:00:00,2019-01-07 11:00:00,,,,,47.6,7.36
2019-01-07 11:00:00,2019-01-07 12:00:00,134.43,144.88,,,41.21,7.38
2019-01-07 12:00:00,2019-01-07 13:00:00,125.41,211.68,,,47.07,7.29
2019-01-07 13:00:00,2019-01-07 14:00:00,107.42,197.03,,,48.43,7.24
2019-01-07 14:00:00,2019-01-07 15:00:00,90.37,164.58,,,50.05,6.95
2019-01-07 15:00:00,2019-01-07 16:00:00,92.45,148.25,,,51.35,6.83
2019-01-07 16:00:00,2019-01-07 17:00:00,96.35,148.57,,,59.51,6.54
2019-01-07 17:00:00,2019-01-07 18:00:00,99.48,183.58,,,76.36,6.25
2019-01-07 18:00:00,2019-01-07 19:00:00,107.17,220.4,,,91.15,6.04
2019-01-07 19:00:00,2019-01-07 20:00:00,131.48,264.89,,,119.43,6.84
2019-01-07 20:00:00,2019-01-07 21:00:00,119.75,222.44,,,111.88,6.82
2019-01-07 21:00:00,2019-01-07 22:00:00,110.21,214.88,,,115.43,6.97
2019-01-07 22:00:00,2019-01-07 23:00:00,109.12,213.12,,,94.2,6.47
2019-01-07 23:00:00,2019-01-08 00:00:00,115.87,205.39,,,73.45,6.71
2019-01-08 00:00:00,2019-01-08 01:00:00,98.7,161.84,,,50.52,6.67
2019-01-08 01:00:00,2019-01-08 02:00:00,97.28,150.17,,,50.04,6.0
2019-01-08 02:00:00,2019-01-08 03:00:00,95.72,145.08,,,65.41,5.68
2019-01-08 03:00:00,2019-01-08 04:00:00,107.54,143.27,,,53.2,6.1
2019-01-08 04:00:00,2019-01-08 05:00:00,109.51,150.34,,,41.12,5.96
2019-01-08 05:00:00,2019-01-08 06:00:00,114.91,154.47,,,44.84,5.85
2019-01-08 06:00:00,2019-01-08 07:00:00,119.08,175.23,,,54.68,5.86
2019-01-08 07:00:00,2019-01-08 08:00:00,124.35,181.88,,,48.91,6.32
2019-01-08 08:00:00,2019-01-08 09:00:00,124.27,189.35,,,46.79,6.55
2019-01-08 09:00:00,2019-01-08 10:00:00,117.66,179.97,,,50.81,6.25
2019-01-08 10:00:00,2019-01-08 11:00:00,108.63,205.19,,,50.69,6.22
2019-01-08 11:00:00,2019-01-08 12:00:00,103.07,193.33,,,49.74,6.53
2019-01-08 12:00:00,2019-01-08 13:00:00,94.26,168.4,,,46.63,6.71
2019-01-08 13:00:00,2019-01-08 14:00:00,84.71,196.22,,,44.31,6.98
2019-01-08 14:00:00,2019-01-08 15:00:00,86.83,151.79,,,50.27,6.62
2019-01-08 15:00:00,2019-01-08 16:00:00,73.02,173.99,,,40.38,6.4
2019-01-08 16:00:00,2019-01-08 17:00:00,76.98,146.62,,,49.35,6.12
2019-01-08 17:00:00,2019-01-08 18:00:00,93.0,188.38,,,69.19,5.89
2019-01-08 18:00:00,2019-01-08 19:00:00,103.06,266.51,,,79.21,6.07
2019-01-08 19:00:00,2019-01-08 20:00:00,171.55,342.19,,,89.84,6.6
2019-01-08 20:00:00,2019-01-08 21:00:00,155.28,281.09,,,106.01,6.88
2019-01-08 21:00:00,2019-01-08 22:00:00,128.84,223.06,,,119.2,6.89
2019-01-08 22:00:00,2019-01-08 23:00:00,120.67,192.28,,,120.81,6.8
2019-01-08 23:00:00,2019-01-09 00:00:00,97.47,194.59,,,111.48,6.48
2019-01-09 00:00:00,2019-01-09 01:00:00,86.66,154.91,,,75.71,6.05
2019-01-09 01:00:00,2019-01-09 02:00:00,89.09,146.97,,,74.28,6.11
2019-01-09 02:00:00,2019-01-09 03:00:00,84.71,125.18,,,80.38,5.99
2019-01-09 03:00:00,2019-01-09 04:00:00,85.63,108.84,,,72.26,5.84
2019-01-09 04:00:00,2019-01-09 05:00:00,77.99,100.72,,,53.26,5.97
2019-01-09 05:00:00,2019-01-09 06:00:00,95.87,123.2,,,48.08,6.13
2019-01-09 06:00:00,2019-01-09 07:00:00,93.98,137.49,,,51.27,5.97
2019-01-09 07:00:00,2019-01-09 08:00:00,109.16,158.99,,,59.65,5.95
2019-01-09 08:00:00,2019-01-09 09:00:00,114.16,210.16,,,64.63,6.99
2019-01-09 09:00:00,2019-01-09 10:00:00,114.47,188.31,,,59.83,7.21
2019-01-09 10:00:00,2019-01-09 11:00:00,94.45,166.4,,,48.51,6.83
2019-01-09 11:00:00,2019-01-09 12:00:00,83.06,148.47,,,43.71,6.91
2019-01-09 12:00:00,2019-01-09 13:00:00,82.78,151.37,,,54.26,7.87
2019-01-09 13:00:00,2019-01-09 14:00:00,85.43,191.72,,,73.07,7.39
2019-01-09 14:00:00,2019-01-09 15:00:00,103.38,293.62,,,59.51,7.26
2019-01-09 15:00:00,2019-01-09 16:00:00,52.63,140.45,,,54.18,6.94
2019-01-09 16:00:00,2019-01-09 17:00:00,43.85,131.74,,,54.57,6.87
2019-01-09 17:00:00,2019-01-09 18:00:00,59.76,161.58,,,71.06,6.48
