From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3)
2023-01-14 03:00:00,2023-01-14 04:00:00,51.41,106.84,6.87,20.11,16.06,,0.77
2023-01-14 04:00:00,2023-01-14 05:00:00,43.97,104.87,6.49,19.84,15.62,,0.76
2023-01-14 05:00:00,2023-01-14 06:00:00,58.91,84.86,6.52,20.12,15.79,,0.75
2023-01-14 06:00:00,2023-01-14 07:00:00,53.7,96.73,6.69,20.27,16.0,,0.74
2023-01-14 07:00:00,2023-01-14 08:00:00,40.97,101.33,6.88,19.96,15.98,,0.75
2023-01-14 08:00:00,2023-01-14 09:00:00,46.02,130.18,6.64,20.02,15.82,,0.77
2023-01-14 09:00:00,2023-01-14 10:00:00,61.85,139.7,6.85,19.88,15.92,,0.78
2023-01-14 10:00:00,2023-01-14 11:00:00,63.31,146.39,6.69,19.98,15.84,,0.77
2023-01-14 11:00:00,2023-01-14 12:00:00,79.53,152.02,6.31,19.92,15.5,,0.8
2023-01-14 12:00:00,2023-01-14 13:00:00,75.51,174.6,6.43,20.21,15.76,,0.81
2023-01-14 13:00:00,2023-01-14 14:00:00,91.75,181.98,6.81,20.2,16.06,,0.6
2023-01-14 14:00:00,2023-01-14 15:00:00,75.61,176.59,6.88,20.11,16.07,,0.56
2023-01-14 15:00:00,2023-01-14 16:00:00,54.32,148.47,6.85,20.18,16.08,,0.53
2023-01-14 16:00:00,2023-01-14 17:00:00,57.6,139.29,6.61,20.02,15.8,,0.51
2023-01-14 17:00:00,2023-01-14 18:00:00,62.15,126.17,6.49,20.22,15.81,,0.51
2023-01-14 18:00:00,2023-01-14 19:00:00,45.59,116.39,6.69,20.01,15.87,,0.52
2023-01-14 19:00:00,2023-01-14 20:00:00,91.44,125.16,6.56,20.15,15.83,,0.56
2023-01-14 20:00:00,2023-01-14 21:00:00,98.7,148.81,6.44,20.26,15.79,,0.62
2023-01-14 21:00:00,2023-01-14 22:00:00,112.98,159.22,6.48,20.07,15.72,,0.64
2023-01-14 22:00:00,2023-01-14 23:00:00,87.15,161.17,7.0,19.87,16.04,,0.62
2023-01-14 23:00:00,2023-01-15 00:00:00,100.75,148.09,6.46,20.02,15.68,,0.6
2023-01-15 00:00:00,2023-01-15 01:00:00,69.86,119.85,6.58,20.39,15.97,,0.57
2023-01-15 01:00:00,2023-01-15 02:00:00,53.04,105.37,7.16,19.94,16.2,,0.55
2023-01-15 02:00:00,2023-01-15 03:00:00,44.31,99.72,6.85,20.2,16.09,,0.54
2023-01-15 03:00:00,2023-01-15 04:00:00,48.76,93.21,6.7,20.04,15.89,,0.54
2023-01-15 04:00:00,2023-01-15 05:00:00,49.61,91.61,6.67,20.35,16.02,,0.54
2023-01-15 05:00:00,2023-01-15 06:00:00,49.76,94.73,6.4,20.08,15.67,,0.55
2023-01-15 06:00:00,2023-01-15 07:00:00,38.89,94.89,6.52,19.98,15.71,,0.55
2023-01-15 07:00:00,2023-01-15 08:00:00,50.83,93.6,6.8,19.91,15.9,,0.55
2023-01-15 08:00:00,2023-01-15 09:00:00,53.19,110.61,7.13,20.16,16.29,,0.56
2023-01-15 09:00:00,2023-01-15 10:00:00,66.27,113.97,6.65,19.99,15.82,,0.56
2023-01-15 10:00:00,2023-01-15 11:00:00,69.8,113.54,6.52,20.12,15.78,,0.55
2023-01-15 11:00:00,2023-01-15 12:00:00,73.93,114.58,6.57,19.91,15.72,,0.55
2023-01-15 12:00:00,2023-01-15 13:00:00,66.68,116.05,6.58,20.24,15.89,,0.54
2023-01-15 13:00:00,2023-01-15 14:00:00,67.69,111.26,6.72,19.99,15.87,,0.54
2023-01-15 14:00:00,2023-01-15 15:00:00,41.91,107.98,6.54,20.04,15.76,,0.53
2023-01-15 15:00:00,2023-01-15 16:00:00,38.31,93.58,6.38,20.33,15.79,,0.52
2023-01-15 16:00:00,2023-01-15 17:00:00,32.67,89.17,6.74,19.83,15.81,,0.51
2023-01-15 17:00:00,2023-01-15 18:00:00,54.44,91.66,6.75,20.13,15.97,,0.51
2023-01-15 18:00:00,2023-01-15 19:00:00,75.57,99.77,6.6,19.99,15.77,,0.51
2023-01-15 19:00:00,2023-01-15 20:00:00,77.24,100.59,6.71,19.99,15.87,,0.54
2023-01-15 20:00:00,2023-01-15 21:00:00,79.45,135.77,6.58,20.08,15.81,,0.63
2023-01-15 21:00:00,2023-01-15 22:00:00,114.56,192.52,6.66,20.07,15.86,,0.71
2023-01-15 22:00:00,2023-01-15 23:00:00,100.31,196.73,6.62,20.01,15.81,,0.7
2023-01-15 23:00:00,2023-01-16 00:00:00,98.08,176.04,6.33,20.06,15.6,,0.66
2023-01-16 00:00:00,2023-01-16 01:00:00,61.87,145.0,6.82,20.06,15.99,,0.6
2023-01-16 01:00:00,2023-01-16 02:00:00,58.14,115.77,6.9,20.11,16.09,,0.57
2023-01-16 02:00:00,2023-01-16 03:00:00,40.21,89.58,6.67,19.98,15.83,,0.55
2023-01-16 03:00:00,2023-01-16 04:00:00,39.92,78.53,6.86,20.02,16.01,,0.54
2023-01-16 04:00:00,2023-01-16 05:00:00,32.4,74.94,6.35,20.26,15.72,,0.53
2023-01-16 05:00:00,2023-01-16 06:00:00,42.18,75.51,6.83,19.8,15.86,,0.53
2023-01-16 06:00:00,2023-01-16 07:00:00,32.28,82.7,7.0,20.12,16.16,,0.53
2023-01-16 07:00:00,2023-01-16 08:00:00,51.98,92.48,6.47,20.34,15.86,,0.53
2023-01-16 08:00:00,2023-01-16 09:00:00,45.34,110.75,6.32,20.11,15.62,,0.54
2023-01-16 09:00:00,2023-01-16 10:00:00,94.21,121.43,6.78,20.28,16.07,,0.55
2023-01-16 10:00:00,2023-01-16 11:00:00,90.4,134.94,6.8,20.06,15.98,,0.55
2023-01-16 11:00:00,2023-01-16 12:00:00,93.73,135.4,6.42,20.04,15.67,,0.55
2023-01-16 12:00:00,2023-01-16 13:00:00,85.87,136.42,6.71,19.95,15.86,,0.57
2023-01-16 13:00:00,2023-01-16 14:00:00,95.05,145.68,6.98,20.02,16.1,,0.61
2023-01-16 14:00:00,2023-01-16 15:00:00,73.98,153.85,6.59,20.08,15.82,,0.62
2023-01-16 15:00:00,2023-01-16 16:00:00,75.81,154.41,6.55,19.99,15.73,,0.59
2023-01-16 16:00:00,2023-01-16 17:00:00,60.98,145.93,6.6,19.97,15.77,,0.56
2023-01-16 17:00:00,2023-01-16 18:00:00,62.46,139.77,6.92,19.85,15.96,,0.56
2023-01-16 18:00:00,2023-01-16 19:00:00,72.99,133.27,6.89,20.14,16.09,,0.55
2023-01-16 19:00:00,2023-01-16 20:00:00,73.92,130.15,6.76,20.07,15.94,,0.56
2023-01-16 20:00:00,2023-01-16 21:00:00,82.62,146.09,6.69,20.09,15.9,,0.59
2023-01-16 21:00:00,2023-01-16 22:00:00,97.96,163.78,6.54,20.18,15.83,,0.61
2023-01-16 22:00:00,2023-01-16 23:00:00,75.07,155.86,6.86,20.16,16.07,,0.6
2023-01-16 23:00:00,2023-01-17 00:00:00,85.77,145.48,6.6,20.29,15.93,,0.59
2023-01-17 00:00:00,2023-01-17 01:00:00,80.08,132.76,6.6,20.04,15.8,,0.57
2023-01-17 01:00:00,2023-01-17 02:00:00,63.32,119.56,6.31,19.91,15.5,,0.56
2023-01-17 02:00:00,2023-01-17 03:00:00,64.97,112.16,6.56,20.06,15.79,,0.56
2023-01-17 03:00:00,2023-01-17 04:00:00,48.56,108.48,6.82,19.95,15.94,,0.55
2023-01-17 04:00:00,2023-01-17 05:00:00,38.6,110.68,6.79,20.02,15.95,,0.56
2023-01-17 05:00:00,2023-01-17 06:00:00,64.74,115.89,6.62,20.0,15.8,,0.56
2023-01-17 06:00:00,2023-01-17 07:00:00,80.06,119.4,6.84,20.08,16.02,,0.57
2023-01-17 07:00:00,2023-01-17 08:00:00,112.02,123.84,6.8,20.12,16.01,,0.57
2023-01-17 08:00:00,2023-01-17 09:00:00,114.76,137.45,6.67,20.01,15.85,,0.58
2023-01-17 09:00:00,2023-01-17 10:00:00,148.8,160.0,6.24,20.0,15.5,,0.58
2023-01-17 10:00:00,2023-01-17 11:00:00,153.24,172.37,6.79,19.96,15.91,,0.58
2023-01-17 11:00:00,2023-01-17 12:00:00,141.05,176.74,6.58,20.0,15.77,,0.58
2023-01-17 12:00:00,2023-01-17 13:00:00,129.02,177.03,6.53,20.12,15.79,,0.58
2023-01-17 13:00:00,2023-01-17 14:00:00,135.3,179.34,6.36,20.22,15.71,,0.58
2023-01-17 14:00:00,2023-01-17 15:00:00,149.5,185.52,6.74,20.02,15.9,,0.7
2023-01-17 15:00:00,2023-01-17 16:00:00,,,6.43,20.09,15.69,,0.77
2023-01-17 16:00:00,2023-01-17 17:00:00,71.2,110.22,6.72,20.1,15.93,,0.76
2023-01-17 17:00:00,2023-01-17 18:00:00,106.07,160.05,6.55,19.94,15.71,,0.76
2023-01-17 18:00:00,2023-01-17 19:00:00,108.69,166.42,6.79,20.05,15.96,,0.75
2023-01-17 19:00:00,2023-01-17 20:00:00,116.72,170.29,6.68,20.02,15.86,,0.76
2023-01-17 20:00:00,2023-01-17 21:00:00,116.46,175.72,6.65,20.05,15.85,,0.79
2023-01-17 21:00:00,2023-01-17 22:00:00,118.46,176.95,6.57,20.17,15.85,,0.8
2023-01-17 22:00:00,2023-01-17 23:00:00,109.73,177.9,6.65,20.06,15.86,,0.79
2023-01-17 23:00:00,2023-01-18 00:00:00,121.16,177.19,7.02,20.18,16.22,,0.79
2023-01-18 00:00:00,2023-01-18 01:00:00,136.1,179.25,6.54,20.3,15.89,,0.76
2023-01-18 01:00:00,2023-01-18 02:00:00,134.87,178.94,6.44,20.08,15.7,,0.75
2023-01-18 02:00:00,2023-01-18 03:00:00,133.11,179.39,6.46,20.23,15.79,,0.74
2023-01-18 03:00:00,2023-01-18 04:00:00,132.91,181.61,7.02,19.88,16.06,,0.73
2023-01-18 04:00:00,2023-01-18 05:00:00,,182.2,6.78,19.92,15.88,,0.73
2023-01-18 05:00:00,2023-01-18 06:00:00,,181.47,6.87,20.2,16.1,,0.72
2023-01-18 06:00:00,2023-01-18 07:00:00,,183.63,7.19,20.1,16.31,,0.73
2023-01-18 07:00:00,2023-01-18 08:00:00,93.0,188.18,6.95,20.08,16.1,,0.73
2023-01-18 08:00:00,2023-01-18 09:00:00,88.13,204.86,6.68,19.97,15.84,,0.74
2023-01-18 09:00:00,2023-01-18 10:00:00,85.4,210.67,6.46,20.16,15.75,,0.74
2023-01-18 10:00:00,2023-01-18 11:00:00,104.15,215.23,6.55,19.98,15.74,,0.74
2023-01-18 11:00:00,2023-01-18 12:00:00,,232.98,6.54,20.14,15.81,,0.74
2023-01-18 12:00:00,2023-01-18 13:00:00,95.0,233.24,6.65,19.96,15.81,,0.74
2023-01-18 13:00:00,2023-01-18 14:00:00,89.33,219.16,6.46,20.04,15.69,,0.74
2023-01-18 14:00:00,2023-01-18 15:00:00,83.61,221.56,6.52,20.22,15.83,,0.75
2023-01-18 15:00:00,2023-01-18 16:00:00,81.34,211.06,6.72,20.01,15.89,,0.75
2023-01-18 16:00:00,2023-01-18 17:00:00,88.24,201.24,6.61,20.09,15.84,,0.71
2023-01-18 17:00:00,2023-01-18 18:00:00,99.72,204.21,6.86,20.11,16.05,,0.72
2023-01-18 18:00:00,2023-01-18 19:00:00,111.71,203.11,7.04,20.04,16.16,,0.72
2023-01-18 19:00:00,2023-01-18 20:00:00,110.53,190.85,6.72,20.06,15.91,,0.74
2023-01-18 20:00:00,2023-01-18 21:00:00,124.56,207.51,7.0,19.93,16.07,,0.83
2023-01-18 21:00:00,2023-01-18 22:00:00,122.25,215.56,6.94,20.06,16.09,,0.9
2023-01-18 22:00:00,2023-01-18 23:00:00,113.35,208.39,6.69,20.02,15.86,,0.86
2023-01-18 23:00:00,2023-01-19 00:00:00,112.93,204.04,6.94,20.09,16.1,,0.82
2023-01-19 00:00:00,2023-01-19 01:00:00,96.5,192.22,6.81,20.05,15.97,,0.77
2023-01-19 01:00:00,2023-01-19 02:00:00,96.21,181.34,6.81,20.26,16.09,,0.73
2023-01-19 02:00:00,2023-01-19 03:00:00,104.04,176.11,6.4,20.14,15.7,,0.71
2023-01-19 03:00:00,2023-01-19 04:00:00,103.3,175.02,6.55,20.14,15.83,,0.71
2023-01-19 04:00:00,2023-01-19 05:00:00,107.67,180.16,6.72,20.05,15.9,,0.71
2023-01-19 05:00:00,2023-01-19 06:00:00,107.68,179.21,6.55,19.98,15.73,,0.71
2023-01-19 06:00:00,2023-01-19 07:00:00,119.91,180.12,6.73,20.33,16.06,,0.71
2023-01-19 07:00:00,2023-01-19 08:00:00,123.53,189.82,6.69,20.19,15.95,,0.72
2023-01-19 08:00:00,2023-01-19 09:00:00,110.6,211.54,6.83,19.99,15.96,,0.73
2023-01-19 09:00:00,2023-01-19 10:00:00,102.81,213.44,6.68,20.2,15.95,,0.74
2023-01-19 10:00:00,2023-01-19 11:00:00,109.25,220.04,6.85,20.13,16.05,,0.75
2023-01-19 11:00:00,2023-01-19 12:00:00,118.84,221.12,6.63,19.78,15.69,,0.74
2023-01-19 12:00:00,2023-01-19 13:00:00,106.87,222.9,6.6,20.41,16.0,,0.73
2023-01-19 13:00:00,2023-01-19 14:00:00,101.71,223.97,6.82,20.2,16.07,,0.74
2023-01-19 14:00:00,2023-01-19 15:00:00,106.72,225.44,6.94,19.95,16.03,,0.74
2023-01-19 15:00:00,2023-01-19 16:00:00,89.06,206.98,6.09,20.21,15.49,,0.72
2023-01-19 16:00:00,2023-01-19 17:00:00,92.15,194.01,6.62,20.06,15.84,,0.71
2023-01-19 17:00:00,2023-01-19 18:00:00,89.78,196.09,6.64,20.07,15.86,,0.7
2023-01-19 18:00:00,2023-01-19 19:00:00,96.03,189.2,6.91,19.91,15.99,,0.7
2023-01-19 19:00:00,2023-01-19 20:00:00,101.93,187.32,6.74,19.95,15.87,,0.71
2023-01-19 20:00:00,2023-01-19 21:00:00,107.96,192.29,6.88,20.03,16.02,,0.73
2023-01-19 21:00:00,2023-01-19 22:00:00,126.65,212.89,6.84,20.01,15.98,,0.85
2023-01-19 22:00:00,2023-01-19 23:00:00,117.74,213.1,6.87,20.02,16.01,,0.88
2023-01-19 23:00:00,2023-01-20 00:00:00,102.5,200.77,7.05,20.09,16.19,,0.83
2023-01-20 00:00:00,2023-01-20 01:00:00,101.62,186.58,6.4,19.9,15.57,,0.77
2023-01-20 01:00:00,2023-01-20 02:00:00,85.41,174.79,6.33,19.99,15.56,,0.75
2023-01-20 02:00:00,2023-01-20 03:00:00,83.55,169.46,6.47,20.09,15.73,,0.73
2023-01-20 03:00:00,2023-01-20 04:00:00,90.49,163.34,6.94,19.93,16.03,,0.72
2023-01-20 04:00:00,2023-01-20 05:00:00,83.06,159.27,6.95,19.83,15.97,,0.72
2023-01-20 05:00:00,2023-01-20 06:00:00,88.97,153.88,6.42,20.22,15.75,,0.71
2023-01-20 06:00:00,2023-01-20 07:00:00,99.67,156.19,7.01,20.06,16.14,,0.71
2023-01-20 07:00:00,2023-01-20 08:00:00,106.5,159.22,6.78,19.75,15.79,,0.71
2023-01-20 08:00:00,2023-01-20 09:00:00,118.57,175.82,6.61,20.12,15.86,,0.73
2023-01-20 09:00:00,2023-01-20 10:00:00,116.69,183.48,6.45,20.01,15.67,,0.74
2023-01-20 10:00:00,2023-01-20 11:00:00,121.66,190.9,6.66,20.21,15.94,,0.76
2023-01-20 11:00:00,2023-01-20 12:00:00,122.77,205.52,6.81,20.08,16.0,,0.87
2023-01-20 12:00:00,2023-01-20 13:00:00,137.45,227.16,6.67,20.03,15.86,,0.99
2023-01-20 13:00:00,2023-01-20 14:00:00,130.5,225.07,6.49,20.07,15.73,,0.89
2023-01-20 14:00:00,2023-01-20 15:00:00,127.1,222.51,6.71,20.24,16.0,,0.81
2023-01-20 15:00:00,2023-01-20 16:00:00,113.51,208.97,6.72,20.0,15.88,,0.76
2023-01-20 16:00:00,2023-01-20 17:00:00,101.2,200.22,6.81,20.02,15.97,,0.73
2023-01-20 17:00:00,2023-01-20 18:00:00,92.83,184.94,6.57,20.22,15.88,,0.72
2023-01-20 18:00:00,2023-01-20 19:00:00,98.52,179.5,6.48,19.77,15.57,,0.71
2023-01-20 19:00:00,2023-01-20 20:00:00,91.18,166.04,6.63,20.05,15.84,,0.71
2023-01-20 20:00:00,2023-01-20 21:00:00,94.07,166.54,6.61,20.21,15.9,,0.73
2023-01-20 21:00:00,2023-01-20 22:00:00,92.67,174.46,6.54,19.97,15.72,,0.77
2023-01-20 22:00:00,2023-01-20 23:00:00,102.27,181.27,6.76,19.94,15.89,,0.79
2023-01-20 23:00:00,2023-01-21 00:00:00,92.05,187.74,6.98,19.73,15.95,,0.83
2023-01-21 00:00:00,2023-01-21 01:00:00,101.04,184.08,6.84,19.97,15.96,,0.83
2023-01-21 01:00:00,2023-01-21 02:00:00,85.78,173.28,6.75,20.15,15.98,,0.79
2023-01-21 02:00:00,2023-01-21 03:00:00,88.84,163.86,6.73,20.2,15.99,,0.74
2023-01-21 03:00:00,2023-01-21 04:00:00,81.28,150.3,6.83,20.0,15.97,,0.71
2023-01-21 04:00:00,2023-01-21 05:00:00,78.23,145.56,6.61,20.24,15.91,,0.7
2023-01-21 05:00:00,2023-01-21 06:00:00,77.91,143.63,6.67,20.04,15.86,,0.7
2023-01-21 06:00:00,2023-01-21 07:00:00,70.75,143.44,6.85,20.03,16.0,,0.73
2023-01-21 07:00:00,2023-01-21 08:00:00,79.18,145.73,6.41,20.38,15.83,,0.75
2023-01-21 08:00:00,2023-01-21 09:00:00,88.54,148.7,6.91,19.81,15.94,,0.75
2023-01-21 09:00:00,2023-01-21 10:00:00,92.11,154.31,6.83,20.06,16.0,,0.76
2023-01-21 10:00:00,2023-01-21 11:00:00,107.66,169.97,6.55,20.06,15.78,,0.82
2023-01-21 11:00:00,2023-01-21 12:00:00,101.76,189.01,6.77,20.14,15.99,,0.86
2023-01-21 12:00:00,2023-01-21 13:00:00,128.47,213.52,6.74,19.94,15.86,,0.88
2023-01-21 13:00:00,2023-01-21 14:00:00,116.21,207.18,6.65,20.07,15.86,,0.82
2023-01-21 14:00:00,2023-01-21 15:00:00,110.55,185.7,6.84,20.12,16.04,,0.76
2023-01-21 15:00:00,2023-01-21 16:00:00,94.54,170.12,7.01,20.05,16.13,,0.71
2023-01-21 16:00:00,2023-01-21 17:00:00,77.99,148.8,6.29,20.02,15.54,,0.65
2023-01-21 17:00:00,2023-01-21 18:00:00,70.3,131.34,6.68,20.02,15.86,,0.61
2023-01-21 18:00:00,2023-01-21 19:00:00,65.09,129.19,6.88,20.01,16.02,,0.62
2023-01-21 19:00:00,2023-01-21 20:00:00,84.86,132.44,6.65,20.01,15.84,,0.69
2023-01-21 20:00:00,2023-01-21 21:00:00,96.59,163.98,7.04,19.82,16.04,,0.84
2023-01-21 21:00:00,2023-01-21 22:00:00,113.19,211.28,6.45,19.94,15.63,,1.07
2023-01-21 22:00:00,2023-01-21 23:00:00,124.16,247.82,6.68,20.21,15.96,,1.18
2023-01-21 23:00:00,2023-01-22 00:00:00,135.75,245.72,6.88,20.33,16.19,,1.13
2023-01-22 00:00:00,2023-01-22 01:00:00,106.16,215.45,6.62,20.21,15.91,,0.98
2023-01-22 01:00:00,2023-01-22 02:00:00,91.58,173.99,6.81,20.22,16.07,,0.87
2023-01-22 02:00:00,2023-01-22 03:00:00,76.8,147.08,6.76,20.02,15.92,,0.79
2023-01-22 03:00:00,2023-01-22 04:00:00,68.03,130.0,7.02,20.07,16.15,,0.74
2023-01-22 04:00:00,2023-01-22 05:00:00,76.42,115.58,6.88,19.8,15.91,,0.7
2023-01-22 05:00:00,2023-01-22 06:00:00,66.02,98.06,6.63,19.96,15.79,,0.68
2023-01-22 06:00:00,2023-01-22 07:00:00,57.74,102.43,6.46,20.0,15.67,,0.66
2023-01-22 07:00:00,2023-01-22 08:00:00,39.78,96.11,6.48,20.08,15.73,,0.66
2023-01-22 08:00:00,2023-01-22 09:00:00,49.36,114.36,7.0,19.9,16.05,,0.68
2023-01-22 09:00:00,2023-01-22 10:00:00,56.7,125.33,6.78,20.28,16.08,,0.7
2023-01-22 10:00:00,2023-01-22 11:00:00,77.39,165.19,6.91,19.93,15.99,,0.77
2023-01-22 11:00:00,2023-01-22 12:00:00,93.1,213.59,6.74,20.05,15.93,,0.9
2023-01-22 12:00:00,2023-01-22 13:00:00,112.66,217.81,6.64,20.2,15.92,,0.87
2023-01-22 13:00:00,2023-01-22 14:00:00,99.09,202.96,6.5,20.12,15.77,,0.81
2023-01-22 14:00:00,2023-01-22 15:00:00,81.43,192.42,6.68,20.07,15.89,,0.77
2023-01-22 15:00:00,2023-01-22 16:00:00,76.8,175.09,6.91,20.0,16.04,,0.74
2023-01-22 16:00:00,2023-01-22 17:00:00,75.7,164.0,6.56,20.04,15.77,,0.72
2023-01-22 17:00:00,2023-01-22 18:00:00,68.28,159.18,7.09,20.02,16.19,,0.71
2023-01-22 18:00:00,2023-01-22 19:00:00,81.07,152.39,6.92,20.14,16.11,,0.69
2023-01-22 19:00:00,2023-01-22 20:00:00,62.4,137.69,6.51,20.11,15.77,,0.68
2023-01-22 20:00:00,2023-01-22 21:00:00,68.44,153.68,6.75,20.0,15.91,,0.73
2023-01-22 21:00:00,2023-01-22 22:00:00,74.32,156.52,6.81,20.04,15.97,,0.77
2023-01-22 22:00:00,2023-01-22 23:00:00,72.64,155.91,6.61,19.99,15.79,,0.75
2023-01-22 23:00:00,2023-01-23 00:00:00,66.5,158.94,6.69,19.9,15.81,,0.78
2023-01-23 00:00:00,2023-01-23 01:00:00,88.9,156.88,6.94,19.99,16.05,,0.78
2023-01-23 01:00:00,2023-01-23 02:00:00,72.59,143.83,6.85,20.22,16.1,,0.76
2023-01-23 02:00:00,2023-01-23 03:00:00,65.89,136.23,6.5,19.96,15.69,,0.75
2023-01-23 03:00:00,2023-01-23 04:00:00,63.85,123.12,6.58,20.0,15.77,,0.72
2023-01-23 04:00:00,2023-01-23 05:00:00,56.16,110.96,6.4,20.25,15.75,,0.68
2023-01-23 05:00:00,2023-01-23 06:00:00,45.8,106.69,6.39,20.16,15.7,,0.66
2023-01-23 06:00:00,2023-01-23 07:00:00,54.37,109.58,7.15,20.07,16.26,,0.66
2023-01-23 07:00:00,2023-01-23 08:00:00,58.62,110.36,6.95,19.9,16.02,,0.66
2023-01-23 08:00:00,2023-01-23 09:00:00,61.66,122.25,6.75,19.94,15.88,,0.66
2023-01-23 09:00:00,2023-01-23 10:00:00,54.08,120.62,6.33,20.06,15.6,,0.66
2023-01-23 10:00:00,2023-01-23 11:00:00,58.83,127.91,6.7,20.29,16.02,,0.67
2023-01-23 11:00:00,2023-01-23 12:00:00,61.8,129.26,6.72,19.97,15.86,,0.7
2023-01-23 12:00:00,2023-01-23 13:00:00,65.73,133.55,11.3,19.95,19.53,,0.75
2023-01-23 13:00:00,2023-01-23 14:00:00,65.92,135.1,6.74,20.24,16.02,,0.7
2023-01-23 14:00:00,2023-01-23 15:00:00,34.77,75.47,6.78,20.04,15.94,,0.68
2023-01-23 15:00:00,2023-01-23 16:00:00,85.4,115.0,6.29,20.02,15.55,,0.66
2023-01-23 16:00:00,2023-01-23 17:00:00,97.61,137.55,6.99,19.9,16.04,,0.64
2023-01-23 17:00:00,2023-01-23 18:00:00,73.18,130.87,6.31,20.12,15.61,,0.64
2023-01-23 18:00:00,2023-01-23 19:00:00,58.1,131.09,6.57,20.15,15.84,,0.65
2023-01-23 19:00:00,2023-01-23 20:00:00,66.62,129.49,6.62,19.97,15.79,,0.65
2023-01-23 20:00:00,2023-01-23 21:00:00,54.77,122.32,6.84,20.05,16.0,,0.65
2023-01-23 21:00:00,2023-01-23 22:00:00,57.88,124.5,6.41,20.02,15.65,,0.69
