From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2021-07-28 07:00:00,2021-07-28 08:00:00,17.38,27.82,2.48,8.03,11.21,22.37,2.04,0.38,1.88,4.71,,6.55,12.97,,91.72,1.35,289.78,11.86,733.39,,26.63,0.03
2021-07-28 08:00:00,2021-07-28 09:00:00,13.82,18.89,3.94,6.88,12.24,15.53,1.65,0.38,4.22,4.56,,6.81,12.34,,95.6,1.39,283.09,28.49,733.78,,26.04,0.04
2021-07-28 09:00:00,2021-07-28 10:00:00,,,3.69,8.0,12.92,13.0,1.51,0.42,6.74,5.02,,6.45,12.33,,96.41,1.48,266.27,36.32,733.99,,26.04,0.07
2021-07-28 10:00:00,2021-07-28 11:00:00,,,2.43,8.2,11.28,17.73,1.4,0.42,7.13,2.45,,3.62,8.96,,96.57,1.91,263.11,30.95,734.19,,26.11,0.19
2021-07-28 11:00:00,2021-07-28 12:00:00,13.1,38.48,1.99,7.34,9.82,23.58,1.71,0.33,11.63,1.57,,2.51,6.29,,96.89,2.47,261.31,38.66,734.14,,26.14,0.67
2021-07-28 12:00:00,2021-07-28 13:00:00,,2.43,2.38,6.76,9.83,31.08,2.62,0.32,6.24,1.25,,2.27,5.39,,97.02,2.39,259.52,59.15,733.88,,26.22,1.22
2021-07-28 13:00:00,2021-07-28 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 14:00:00,2021-07-28 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 15:00:00,2021-07-28 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 16:00:00,2021-07-28 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 17:00:00,2021-07-28 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 18:00:00,2021-07-28 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 19:00:00,2021-07-28 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 20:00:00,2021-07-28 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 21:00:00,2021-07-28 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 22:00:00,2021-07-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-28 23:00:00,2021-07-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 00:00:00,2021-07-29 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 01:00:00,2021-07-29 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 02:00:00,2021-07-29 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 03:00:00,2021-07-29 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 04:00:00,2021-07-29 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 05:00:00,2021-07-29 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 06:00:00,2021-07-29 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 07:00:00,2021-07-29 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 08:00:00,2021-07-29 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 09:00:00,2021-07-29 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 10:00:00,2021-07-29 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 11:00:00,2021-07-29 12:00:00,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,0.0
2021-07-29 12:00:00,2021-07-29 13:00:00,,,1.73,4.24,6.48,,1.24,0.4,29.19,0.0,,,,,86.16,2.27,282.99,312.64,734.0,,28.86,0.01
2021-07-29 13:00:00,2021-07-29 14:00:00,,,1.3,5.06,6.65,,1.54,0.34,44.58,0.0,,,,,84.54,2.28,286.72,242.17,733.5,,29.29,0.02
2021-07-29 14:00:00,2021-07-29 15:00:00,,,1.4,4.6,6.37,60.98,1.77,0.33,44.0,240.91,,231.51,232.0,,81.06,2.39,275.09,436.56,733.02,,30.22,0.01
2021-07-29 15:00:00,2021-07-29 16:00:00,,,27.74,2.94,28.67,25.7,1.88,0.21,39.08,131.07,,305.83,305.83,,77.3,2.29,275.25,315.54,732.37,,30.95,0.0
2021-07-29 16:00:00,2021-07-29 17:00:00,,,0.72,3.99,4.78,50.28,1.66,0.33,37.72,3.06,,3.64,6.84,,80.17,2.32,279.28,218.61,732.32,,30.25,0.02
2021-07-29 17:00:00,2021-07-29 18:00:00,,,0.61,5.74,6.3,61.66,1.46,0.39,41.24,3.74,,3.8,7.14,,86.36,2.19,286.94,81.0,732.32,,28.05,0.05
2021-07-29 18:00:00,2021-07-29 19:00:00,,,0.73,11.93,12.32,41.65,1.54,0.48,35.7,3.08,,3.49,7.46,,84.71,0.97,272.38,24.42,732.72,,28.29,0.0
2021-07-29 19:00:00,2021-07-29 20:00:00,,,0.7,12.63,12.93,39.32,1.65,0.54,27.27,4.11,,4.42,8.69,,87.78,1.08,320.99,,733.33,,28.07,0.0
2021-07-29 20:00:00,2021-07-29 21:00:00,13.3,,0.66,12.88,13.11,35.69,1.82,0.57,28.02,5.2,,5.92,10.75,,88.66,2.45,139.85,,733.85,,27.83,0.0
2021-07-29 21:00:00,2021-07-29 22:00:00,15.7,,0.63,10.31,10.65,31.08,1.78,0.53,30.46,5.59,,8.99,19.28,,89.86,1.39,154.97,,734.27,,27.33,0.0
2021-07-29 22:00:00,2021-07-29 23:00:00,6.6,,0.81,6.68,7.5,31.42,1.93,0.42,29.31,5.8,,12.34,29.06,,92.21,1.74,285.88,,734.43,,26.9,0.0
2021-07-29 23:00:00,2021-07-30 00:00:00,4.2,,1.29,10.23,11.55,27.3,1.94,0.38,25.14,4.89,,10.73,25.32,,93.16,1.55,311.44,,734.12,,26.58,0.0
2021-07-30 00:00:00,2021-07-30 01:00:00,7.9,,0.9,9.35,10.14,26.46,1.89,0.35,24.24,4.78,,11.3,26.64,,93.79,1.4,288.2,,734.22,,26.5,0.0
2021-07-30 01:00:00,2021-07-30 02:00:00,7.8,,0.98,8.13,9.12,28.04,1.91,0.34,19.03,4.93,,11.54,27.44,,93.89,1.02,305.12,,733.97,,26.41,0.0
2021-07-30 02:00:00,2021-07-30 03:00:00,7.4,,0.8,6.02,6.82,26.12,1.89,0.32,21.29,5.1,,12.37,29.04,,94.66,1.5,269.7,,733.82,,26.13,0.0
2021-07-30 03:00:00,2021-07-30 04:00:00,2.9,,0.82,5.8,6.65,22.7,2.0,0.31,21.88,5.08,,12.34,28.89,,94.56,1.17,260.0,,733.7,,26.08,0.0
2021-07-30 04:00:00,2021-07-30 05:00:00,0.4,,0.83,4.54,5.49,21.0,2.0,0.3,22.97,5.2,,12.77,30.12,,94.5,1.22,292.93,,733.5,,26.02,0.0
2021-07-30 05:00:00,2021-07-30 06:00:00,3.3,,0.88,5.29,6.28,20.88,2.0,0.31,21.82,5.98,,12.88,30.4,,95.06,1.31,316.69,0.77,733.66,,26.1,0.0
2021-07-30 06:00:00,2021-07-30 07:00:00,6.1,,1.32,5.25,6.88,29.82,2.24,0.36,14.64,5.06,,12.51,29.73,,94.43,1.02,322.96,13.88,733.8,,26.36,0.0
2021-07-30 07:00:00,2021-07-30 08:00:00,9.5,,1.42,6.11,7.86,20.59,2.44,0.4,14.82,7.06,,14.47,34.91,,92.52,1.46,318.72,64.09,734.08,,26.79,0.02
2021-07-30 08:00:00,2021-07-30 09:00:00,11.9,,0.9,8.01,8.89,23.07,2.07,0.49,27.83,7.24,,14.6,35.35,,89.55,2.14,115.43,66.61,734.44,,27.23,0.0
2021-07-30 09:00:00,2021-07-30 10:00:00,15.8,,1.16,8.46,9.71,22.42,2.05,0.54,35.01,6.6,,15.27,39.49,,87.37,2.52,182.71,210.6,734.75,,27.8,0.03
2021-07-30 10:00:00,2021-07-30 11:00:00,8.5,,0.99,7.92,8.91,19.7,1.87,0.54,38.54,4.91,,13.04,36.31,,85.85,2.23,132.89,273.57,734.93,,28.51,0.01
2021-07-30 11:00:00,2021-07-30 12:00:00,18.5,,0.7,6.31,6.94,18.12,1.82,0.52,47.78,4.94,,10.87,30.04,,81.53,1.64,187.27,295.21,734.48,,29.9,0.0
2021-07-30 12:00:00,2021-07-30 13:00:00,23.6,,0.61,5.86,6.39,24.65,1.78,0.5,58.49,5.33,,8.99,23.63,,77.73,1.74,208.06,308.69,733.95,,30.69,0.0
2021-07-30 13:00:00,2021-07-30 14:00:00,26.1,255.81,0.77,5.6,6.42,54.13,1.83,0.47,58.41,4.25,,5.88,14.71,,75.57,1.47,304.0,287.82,733.39,,31.47,0.0
2021-07-30 14:00:00,2021-07-30 15:00:00,18.6,28.73,0.6,5.59,6.14,54.65,1.89,0.45,40.97,2.88,,3.83,8.55,,83.59,2.11,230.47,40.12,733.14,,29.15,0.66
2021-07-30 15:00:00,2021-07-30 16:00:00,15.5,,0.45,5.78,6.11,46.69,2.24,0.34,44.44,1.45,,2.37,6.41,,95.72,3.15,225.15,2.52,733.08,,25.48,4.52
2021-07-30 16:00:00,2021-07-30 17:00:00,3.1,,0.51,12.8,12.85,28.54,2.54,0.43,40.05,1.45,,3.13,7.69,,96.44,2.28,290.65,4.03,732.53,,25.19,2.91
2021-07-30 17:00:00,2021-07-30 18:00:00,3.03,,0.48,9.63,9.77,23.56,2.45,0.39,38.26,1.56,,2.54,7.22,,96.34,1.82,313.57,3.25,732.1,,25.13,0.72
2021-07-30 18:00:00,2021-07-30 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-30 19:00:00,2021-07-30 20:00:00,2.5,,74.36,9.37,57.2,13.47,1.94,0.21,25.62,78.02,,222.55,223.17,,96.29,1.46,251.16,,732.85,,25.63,0.02
2021-07-30 20:00:00,2021-07-30 21:00:00,,,0.91,10.29,11.05,28.62,2.02,0.45,18.1,1.79,,2.75,6.39,,96.48,1.83,235.93,,733.09,,25.7,0.0
2021-07-30 21:00:00,2021-07-30 22:00:00,1.1,,0.75,6.88,7.59,23.63,2.21,0.42,19.67,2.97,,4.62,9.22,,96.55,2.28,226.26,,733.44,,25.88,0.23
2021-07-30 22:00:00,2021-07-30 23:00:00,1.6,,0.9,6.08,7.03,21.21,2.26,0.41,20.15,3.6,,6.07,12.25,,97.12,2.62,226.78,,733.57,,25.89,2.49
2021-07-30 23:00:00,2021-07-31 00:00:00,2.2,,0.78,6.22,6.98,20.64,2.34,0.4,22.56,4.15,,6.89,13.53,,96.92,1.9,231.18,,733.61,,26.0,0.9
2021-07-31 00:00:00,2021-07-31 01:00:00,6.1,,0.73,3.67,4.5,20.54,2.43,0.4,18.07,4.25,,7.42,14.35,,96.72,2.65,194.39,,733.6,,26.0,0.02
2021-07-31 01:00:00,2021-07-31 02:00:00,3.84,,0.93,2.58,3.79,24.63,2.55,0.39,14.98,4.22,,7.42,14.42,,96.95,2.26,183.21,,733.38,,26.04,0.09
2021-07-31 02:00:00,2021-07-31 03:00:00,2.23,,0.58,2.0,2.65,15.55,2.47,0.35,15.16,4.2,,7.6,13.85,,96.76,1.88,185.84,,733.41,,26.07,0.02
2021-07-31 03:00:00,2021-07-31 04:00:00,3.58,,0.72,2.22,3.07,18.92,2.53,0.34,13.7,4.44,,8.52,15.75,,96.7,1.19,160.97,,733.46,,26.06,0.0
2021-07-31 04:00:00,2021-07-31 05:00:00,4.5,,0.67,2.06,2.95,19.41,2.42,0.35,9.48,4.23,,8.45,15.32,,96.69,2.1,151.11,,733.43,,26.16,0.0
2021-07-31 05:00:00,2021-07-31 06:00:00,2.5,,0.65,2.12,2.95,18.95,2.47,0.35,8.56,4.16,,7.41,12.68,,96.8,1.54,152.62,4.73,733.64,,25.98,0.0
2021-07-31 06:00:00,2021-07-31 07:00:00,0.8,,0.77,2.49,3.4,19.06,2.53,0.37,9.69,4.13,,7.36,13.67,,96.62,1.5,154.3,31.06,734.02,,25.99,0.0
2021-07-31 07:00:00,2021-07-31 08:00:00,4.44,,1.05,2.75,4.11,19.17,2.54,0.4,8.43,4.49,,7.75,14.1,,95.59,1.3,155.68,92.18,734.34,,26.34,0.0
2021-07-31 08:00:00,2021-07-31 09:00:00,12.4,,0.88,2.25,3.46,18.55,2.61,0.41,12.52,4.75,,8.06,14.73,,92.14,1.54,156.68,190.52,734.8,,27.04,0.02
2021-07-31 09:00:00,2021-07-31 10:00:00,9.84,,1.0,2.59,3.9,21.68,2.67,0.41,10.58,4.82,,7.43,12.16,,87.84,1.88,149.78,327.66,735.02,,28.07,0.03
2021-07-31 10:00:00,2021-07-31 11:00:00,11.77,,0.52,2.66,3.29,16.04,2.77,0.37,20.8,5.15,,7.44,11.92,,83.54,2.3,162.31,583.95,735.06,,29.34,0.03
2021-07-31 11:00:00,2021-07-31 12:00:00,8.1,,0.56,1.98,2.68,21.02,2.25,0.35,28.98,2.18,,3.37,6.59,,78.59,2.42,135.75,698.71,734.98,,30.77,0.01
2021-07-31 12:00:00,2021-07-31 13:00:00,8.1,,0.42,1.38,1.86,16.55,1.94,0.34,22.79,1.93,,2.63,5.14,,75.27,1.99,125.11,410.49,734.59,,31.68,0.0
2021-07-31 13:00:00,2021-07-31 14:00:00,6.6,,0.39,1.61,2.03,28.87,1.96,0.34,21.08,2.12,,2.71,4.94,,73.79,2.17,136.83,474.38,733.85,,32.12,0.0
2021-07-31 14:00:00,2021-07-31 15:00:00,3.7,,0.38,1.44,1.84,21.46,1.83,0.35,30.1,1.75,,2.54,4.42,,74.23,2.41,148.25,207.48,733.11,,31.98,0.08
2021-07-31 15:00:00,2021-07-31 16:00:00,4.9,,0.66,5.62,6.21,33.08,1.94,0.39,29.2,1.5,,2.6,4.29,,91.89,1.44,231.97,52.97,732.88,,26.25,1.37
2021-07-31 16:00:00,2021-07-31 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-31 17:00:00,2021-07-31 18:00:00,4.9,,0.59,5.38,3.95,22.0,1.52,0.26,35.83,117.03,,296.47,296.47,,86.26,1.87,214.54,157.99,732.94,,29.16,0.0
2021-07-31 18:00:00,2021-07-31 19:00:00,,,0.99,10.15,11.04,27.08,1.68,0.35,28.63,93.62,,93.62,93.62,,85.12,1.59,223.54,78.33,733.04,,29.08,0.0
2021-07-31 19:00:00,2021-07-31 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-31 20:00:00,2021-07-31 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-31 21:00:00,2021-07-31 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-31 22:00:00,2021-07-31 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-07-31 23:00:00,2021-08-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-08-01 00:00:00,2021-08-01 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-08-01 01:00:00,2021-08-01 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-08-01 02:00:00,2021-08-01 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-08-01 03:00:00,2021-08-01 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-08-01 04:00:00,2021-08-01 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-08-01 05:00:00,2021-08-01 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-08-01 06:00:00,2021-08-01 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-08-01 07:00:00,2021-08-01 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-08-01 08:00:00,2021-08-01 09:00:00,11.8,,1.26,5.1,6.66,21.3,2.41,0.46,26.4,,,,,,79.53,2.92,40.51,329.05,734.1,,30.56,0.0
2021-08-01 09:00:00,2021-08-01 10:00:00,13.47,,0.95,3.67,4.84,24.5,2.28,0.43,27.99,,,,,,75.99,2.16,63.38,360.84,734.25,,31.04,0.0
2021-08-01 10:00:00,2021-08-01 11:00:00,10.46,,0.9,2.04,3.24,19.62,2.33,0.4,23.8,,,,,,69.08,2.16,86.36,612.97,733.95,,32.28,0.03
2021-08-01 11:00:00,2021-08-01 12:00:00,6.47,,0.78,1.94,2.96,16.36,2.33,0.38,26.03,,,,,,68.8,2.53,87.88,597.71,733.55,,32.2,0.0
2021-08-01 12:00:00,2021-08-01 13:00:00,8.37,,0.77,2.11,3.08,15.33,2.3,0.36,26.25,,,,,,66.35,2.65,100.42,610.62,733.25,,32.81,0.0
2021-08-01 13:00:00,2021-08-01 14:00:00,8.89,,0.56,1.83,2.52,15.97,2.31,0.36,24.49,,,,,,67.47,2.63,84.09,504.13,732.78,,32.55,0.0
2021-08-01 14:00:00,2021-08-01 15:00:00,10.47,,0.77,2.67,3.64,25.05,2.62,0.35,38.03,,,,,,67.98,3.42,53.73,362.85,732.13,,32.66,0.0
2021-08-01 15:00:00,2021-08-01 16:00:00,6.18,,0.49,2.39,2.94,23.97,2.88,0.32,60.96,,,,,,66.94,4.48,63.85,495.58,731.72,,32.94,0.0
2021-08-01 16:00:00,2021-08-01 17:00:00,6.1,,0.39,2.25,2.65,17.86,2.49,0.34,50.19,,,,,,68.51,3.96,57.37,289.93,731.41,,32.64,0.02
2021-08-01 17:00:00,2021-08-01 18:00:00,9.14,,0.31,3.41,3.6,18.27,2.33,0.39,31.25,,,,,,72.19,3.2,39.69,44.61,731.55,,31.73,0.01
2021-08-01 18:00:00,2021-08-01 19:00:00,10.48,,0.33,5.64,5.71,16.71,2.19,0.44,31.77,,,,,,73.45,3.5,56.95,35.96,731.93,,31.47,0.04
2021-08-01 19:00:00,2021-08-01 20:00:00,13.94,,0.34,8.93,8.83,20.72,2.17,0.51,28.32,,,,,,76.91,3.62,101.12,,732.22,,30.02,0.0
2021-08-01 20:00:00,2021-08-01 21:00:00,14.98,,0.52,9.88,10.03,21.68,2.25,0.54,25.24,,,,,,78.53,2.75,101.44,,733.01,,29.73,0.0
2021-08-01 21:00:00,2021-08-01 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-08-01 22:00:00,2021-08-01 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-08-01 23:00:00,2021-08-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-08-02 00:00:00,2021-08-02 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-08-02 01:00:00,2021-08-02 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-08-02 02:00:00,2021-08-02 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-08-02 03:00:00,2021-08-02 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-08-02 04:00:00,2021-08-02 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-08-02 05:00:00,2021-08-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-08-02 06:00:00,2021-08-02 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2021-08-02 07:00:00,2021-08-02 08:00:00,9.1,,0.39,5.28,3.68,14.34,2.46,0.29,25.4,0.0,,436.9,436.9,,87.98,2.51,45.21,32.84,733.49,,27.53,0.0
