From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppm),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm),Xylene (ug/m3)
2022-10-02 07:00:00,2022-10-02 08:00:00,17.08,38.38,3.44,31.76,19.7,,37.43,0.67,5.4,0.0,,,,,91.16,1.93,292.43,2.94,779.46,13.31,,
2022-10-02 08:00:00,2022-10-02 09:00:00,18.08,55.84,3.15,19.42,12.89,,37.37,0.69,5.22,0.0,,,,,81.35,2.92,310.56,51.7,779.88,15.93,,
2022-10-02 09:00:00,2022-10-02 10:00:00,19.4,55.64,3.55,19.34,13.17,,37.42,0.69,5.2,0.0,,,,,77.06,3.06,301.94,103.44,780.41,17.41,,
2022-10-02 10:00:00,2022-10-02 11:00:00,24.64,61.22,10.0,24.09,20.95,,37.49,0.68,5.43,0.0,,,,,83.38,2.42,300.48,46.06,780.73,16.27,,
2022-10-02 11:00:00,2022-10-02 12:00:00,31.5,72.84,7.24,25.99,19.71,,37.64,0.71,5.32,0.0,,,,,72.75,3.11,303.05,179.77,780.46,18.07,,
2022-10-02 12:00:00,2022-10-02 13:00:00,25.48,68.3,1.97,24.95,13.54,,37.56,0.7,5.15,0.0,,,,,69.84,3.31,293.72,169.68,779.84,18.73,,
2022-10-02 13:00:00,2022-10-02 14:00:00,19.76,47.07,,17.98,7.38,,37.53,0.7,5.22,0.0,,,,,66.7,3.57,306.15,166.06,779.18,18.7,,
2022-10-02 14:00:00,2022-10-02 15:00:00,16.36,36.52,,11.54,3.88,,37.61,0.69,5.21,0.0,,,,,68.81,3.11,301.49,98.89,778.36,18.21,,
2022-10-02 15:00:00,2022-10-02 16:00:00,9.88,36.58,1.47,19.12,11.26,,37.48,0.68,5.29,0.0,,,,,71.34,2.54,298.98,49.1,777.98,18.11,,
2022-10-02 16:00:00,2022-10-02 17:00:00,20.16,49.2,3.21,18.25,12.32,,37.66,0.69,5.0,0.0,,,,,78.95,2.08,294.83,5.55,778.0,16.59,,
2022-10-02 17:00:00,2022-10-02 18:00:00,21.67,44.03,7.29,22.41,17.86,,37.1,0.69,5.02,0.0,,,,,88.83,1.32,264.97,0.0,778.65,14.45,,
2022-10-02 18:00:00,2022-10-02 19:00:00,19.29,42.38,14.69,30.5,28.17,,36.95,0.68,5.25,0.0,,,,,88.38,1.45,282.01,0.0,779.24,14.17,,
2022-10-02 19:00:00,2022-10-02 20:00:00,33.27,56.48,14.96,26.52,26.24,,37.02,0.68,5.1,0.0,,,,,92.63,1.25,266.47,0.0,779.79,13.74,,
2022-10-02 20:00:00,2022-10-02 21:00:00,25.25,37.36,18.43,27.5,29.6,,37.09,0.67,5.23,0.0,,,,,94.53,1.06,266.72,0.0,780.14,13.3,,
2022-10-02 21:00:00,2022-10-02 22:00:00,27.84,34.63,10.03,20.02,18.81,,37.23,0.67,5.25,0.0,,,,,94.38,1.24,274.6,0.0,780.72,13.39,,
2022-10-02 22:00:00,2022-10-02 23:00:00,25.03,34.04,0.34,6.12,1.28,,36.59,0.67,5.36,0.0,,,,,95.29,1.77,268.69,0.0,780.82,12.63,,
2022-10-02 23:00:00,2022-10-03 00:00:00,13.03,18.7,,1.45,,,36.9,0.67,5.1,0.0,,,,,95.32,1.53,279.85,0.0,780.36,12.19,,
2022-10-03 00:00:00,2022-10-03 01:00:00,10.84,21.2,,,,,37.13,0.68,4.94,0.0,,,,,95.05,1.8,291.24,0.0,779.78,12.6,,
2022-10-03 01:00:00,2022-10-03 02:00:00,9.72,18.31,,,,,36.96,0.67,5.29,0.0,,,,,95.32,2.1,291.78,0.0,779.18,13.1,,
2022-10-03 02:00:00,2022-10-03 03:00:00,17.6,25.32,,,,,36.87,0.68,5.18,0.0,,,,,95.11,1.86,285.7,0.0,778.53,13.22,,
2022-10-03 03:00:00,2022-10-03 04:00:00,13.4,26.52,,,,,37.25,0.7,5.25,0.0,,,,,94.42,1.74,279.58,0.0,778.31,13.29,,
2022-10-03 04:00:00,2022-10-03 05:00:00,18.32,26.26,,,,,37.28,0.7,5.21,0.0,,,,,93.71,1.73,276.88,0.0,778.39,13.28,,
2022-10-03 05:00:00,2022-10-03 06:00:00,22.09,37.84,,4.23,2.97,,37.1,0.7,4.87,0.0,,,,,93.92,1.74,279.84,0.0,778.44,13.23,,
2022-10-03 06:00:00,2022-10-03 07:00:00,22.6,38.29,,21.27,9.12,,36.99,0.69,5.3,0.0,,,,,94.08,1.7,277.06,0.0,778.95,13.19,,
2022-10-03 07:00:00,2022-10-03 08:00:00,18.32,44.52,0.57,23.94,12.96,,37.24,0.68,5.24,0.0,,,,,94.03,1.56,288.94,0.74,779.59,13.27,,
2022-10-03 08:00:00,2022-10-03 09:00:00,23.13,47.48,2.81,20.3,13.04,,37.3,0.69,5.18,0.0,,,,,91.21,1.73,289.01,4.99,780.13,14.21,,
2022-10-03 09:00:00,2022-10-03 10:00:00,36.8,80.83,13.58,26.29,25.03,,37.35,0.69,5.21,0.0,,,,,85.54,2.14,296.4,68.93,780.41,15.55,,
2022-10-03 10:00:00,2022-10-03 11:00:00,45.22,102.3,12.73,24.93,23.6,,37.58,0.69,5.27,0.0,,,,,77.8,2.97,294.37,150.45,780.22,17.14,,
2022-10-03 11:00:00,2022-10-03 12:00:00,35.33,82.36,5.87,26.09,18.63,,36.75,0.7,5.11,0.0,,,,,75.02,3.52,311.23,174.91,780.03,17.46,,
2022-10-03 12:00:00,2022-10-03 13:00:00,28.16,79.16,3.36,24.07,15.53,,37.55,0.7,5.32,0.0,,,,,73.6,3.37,302.15,178.52,779.51,17.93,,
2022-10-03 13:00:00,2022-10-03 14:00:00,29.6,77.26,4.85,21.01,15.12,,38.19,0.69,5.19,0.0,,,,,72.57,3.04,296.9,129.61,778.84,17.96,,
2022-10-03 14:00:00,2022-10-03 15:00:00,25.4,63.0,1.18,16.46,9.62,,37.62,0.68,5.27,0.0,,,,,75.55,2.74,298.94,77.03,778.31,17.29,,
2022-10-03 15:00:00,2022-10-03 16:00:00,30.48,65.42,1.48,16.24,9.84,,37.5,0.68,5.09,0.0,,,,,77.19,2.96,297.02,40.6,777.89,16.81,,
2022-10-03 16:00:00,2022-10-03 17:00:00,35.42,76.39,2.09,19.0,11.79,,37.09,0.68,5.26,0.0,,,,,78.73,2.58,302.12,13.28,778.0,15.87,,
2022-10-03 17:00:00,2022-10-03 18:00:00,29.08,68.81,6.75,20.83,16.56,,37.78,0.68,5.21,0.0,,,,,79.91,1.74,283.6,0.0,778.32,14.89,,
2022-10-03 18:00:00,2022-10-03 19:00:00,30.97,75.22,18.44,30.71,31.34,,37.45,0.67,5.26,0.0,,,,,86.74,1.14,270.37,0.0,778.79,13.91,,
2022-10-03 19:00:00,2022-10-03 20:00:00,42.17,89.25,42.34,32.25,51.63,,37.36,0.68,5.3,0.0,,,,,87.69,1.0,267.87,0.0,779.57,13.58,,
2022-10-03 20:00:00,2022-10-03 21:00:00,44.09,100.37,38.86,36.04,50.78,,37.23,0.67,5.05,0.0,,,,,88.81,0.89,248.18,0.0,780.09,13.64,,
2022-10-03 21:00:00,2022-10-03 22:00:00,44.2,92.74,16.37,18.64,23.21,,36.99,0.68,5.46,0.0,,,,,90.92,1.29,270.69,0.0,780.53,13.71,,
2022-10-03 22:00:00,2022-10-03 23:00:00,34.08,68.1,2.2,11.64,7.59,,36.94,0.68,5.36,0.0,,,,,89.73,1.45,278.49,0.0,780.53,13.55,,
2022-10-03 23:00:00,2022-10-04 00:00:00,23.36,51.26,,2.14,,,36.56,0.67,5.21,0.0,,,,,89.53,1.55,279.16,0.0,780.32,13.57,,
2022-10-04 00:00:00,2022-10-04 01:00:00,16.58,41.2,,1.23,,,37.23,0.68,5.17,0.0,,,,,90.67,1.56,283.28,0.0,779.76,13.05,,
2022-10-04 01:00:00,2022-10-04 02:00:00,22.84,35.87,,,,,37.25,0.71,5.11,0.0,,,,,91.68,1.65,291.42,0.0,779.4,12.73,,
2022-10-04 02:00:00,2022-10-04 03:00:00,20.07,29.18,,,,,37.08,0.71,5.26,0.0,,,,,92.96,1.72,291.25,0.0,779.02,12.66,,
2022-10-04 03:00:00,2022-10-04 04:00:00,12.42,24.68,,,,,37.15,0.71,5.44,0.0,,,,,92.09,1.67,287.65,0.0,778.76,12.62,,
2022-10-04 04:00:00,2022-10-04 05:00:00,16.92,24.11,,,,,37.22,0.72,5.22,0.0,,,,,87.1,1.8,289.21,0.0,778.57,12.66,,
2022-10-04 05:00:00,2022-10-04 06:00:00,15.92,29.52,,,,,37.31,0.73,5.49,0.0,,,,,85.48,1.64,287.94,0.0,778.63,12.58,,
2022-10-04 06:00:00,2022-10-04 07:00:00,15.57,29.26,,4.94,1.47,,37.19,0.74,5.4,0.0,,,,,83.14,1.33,282.75,0.0,779.12,12.73,,
2022-10-04 07:00:00,2022-10-04 08:00:00,22.5,45.19,,18.92,7.92,,37.32,0.75,5.19,0.0,,,,,81.19,1.35,281.37,0.0,779.7,13.58,,
2022-10-04 08:00:00,2022-10-04 09:00:00,28.83,71.67,0.8,26.39,14.64,,37.35,0.75,5.52,0.0,,,,,78.66,2.06,299.31,35.82,780.21,15.03,,
2022-10-04 09:00:00,2022-10-04 10:00:00,38.17,97.29,1.21,25.12,14.29,,36.98,0.73,5.42,0.0,,,,,75.12,2.96,302.15,105.81,780.38,16.31,,
2022-10-04 10:00:00,2022-10-04 11:00:00,39.76,102.87,1.27,23.91,13.71,,37.46,0.73,5.44,0.0,,,,,78.42,2.94,309.8,88.82,780.31,16.52,,
2022-10-04 11:00:00,2022-10-04 12:00:00,36.36,94.31,1.01,23.46,13.29,,37.32,0.73,5.35,0.0,,,,,77.31,2.96,302.5,111.5,779.85,17.14,,
2022-10-04 12:00:00,2022-10-04 13:00:00,28.67,77.42,2.02,28.72,16.9,,37.33,0.72,5.44,0.0,,,,,83.44,2.19,291.35,58.44,779.24,16.25,,
2022-10-04 13:00:00,2022-10-04 14:00:00,25.8,63.52,1.47,20.24,11.91,,37.42,0.72,5.57,0.0,,,,,81.01,2.54,298.81,79.97,778.57,16.88,,
2022-10-04 14:00:00,2022-10-04 15:00:00,34.44,61.82,0.46,17.81,9.53,,37.48,0.74,5.66,0.0,,,,,72.86,2.97,311.16,104.96,777.85,18.32,,
2022-10-04 15:00:00,2022-10-04 16:00:00,28.08,66.48,0.96,19.06,10.88,,37.53,0.74,5.54,0.0,,,,,76.81,2.27,292.48,26.98,777.47,17.49,,
2022-10-04 16:00:00,2022-10-04 17:00:00,29.32,65.62,5.29,24.54,17.36,,37.52,0.74,5.6,0.0,,,,,90.25,1.33,280.27,0.0,777.71,14.87,,
2022-10-04 17:00:00,2022-10-04 18:00:00,33.8,56.54,10.96,26.3,22.89,,37.39,0.74,5.57,0.0,,,,,90.09,1.65,286.96,0.0,778.06,14.75,,
2022-10-04 18:00:00,2022-10-04 19:00:00,41.63,91.33,7.64,20.72,17.26,,37.05,0.75,5.44,0.0,,,,,91.2,1.45,269.13,0.0,778.63,13.79,,
2022-10-04 19:00:00,2022-10-04 20:00:00,26.88,47.61,11.4,31.54,25.98,,37.0,0.76,5.37,0.0,,,,,88.48,1.59,280.71,0.0,779.28,13.83,,
2022-10-04 20:00:00,2022-10-04 21:00:00,36.42,83.29,8.48,24.91,20.12,,37.05,0.76,5.33,0.0,,,,,89.74,1.75,290.28,0.0,779.77,13.59,,
2022-10-04 21:00:00,2022-10-04 22:00:00,29.52,83.67,,9.17,2.76,,37.05,0.75,5.46,0.0,,,,,92.16,1.57,280.46,0.0,780.18,13.83,,
2022-10-04 22:00:00,2022-10-04 23:00:00,24.08,50.95,0.01,6.63,2.91,,37.12,0.76,5.31,0.0,,,,,92.4,1.29,283.22,0.0,780.34,14.07,,
2022-10-04 23:00:00,2022-10-05 00:00:00,25.0,56.0,,3.14,,,37.17,0.76,5.15,0.0,,,,,92.55,1.24,288.55,0.0,780.15,14.06,,
2022-10-05 00:00:00,2022-10-05 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 01:00:00,2022-10-05 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 02:00:00,2022-10-05 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 03:00:00,2022-10-05 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 04:00:00,2022-10-05 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 05:00:00,2022-10-05 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 06:00:00,2022-10-05 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 07:00:00,2022-10-05 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 08:00:00,2022-10-05 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 09:00:00,2022-10-05 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 10:00:00,2022-10-05 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 11:00:00,2022-10-05 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 12:00:00,2022-10-05 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 13:00:00,2022-10-05 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 14:00:00,2022-10-05 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 15:00:00,2022-10-05 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 16:00:00,2022-10-05 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 17:00:00,2022-10-05 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 18:00:00,2022-10-05 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 19:00:00,2022-10-05 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 20:00:00,2022-10-05 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 21:00:00,2022-10-05 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 22:00:00,2022-10-05 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 23:00:00,2022-10-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-06 00:00:00,2022-10-06 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-06 01:00:00,2022-10-06 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-06 02:00:00,2022-10-06 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-06 03:00:00,2022-10-06 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-06 04:00:00,2022-10-06 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-06 05:00:00,2022-10-06 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-06 06:00:00,2022-10-06 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-06 07:00:00,2022-10-06 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-06 08:00:00,2022-10-06 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-06 09:00:00,2022-10-06 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-06 10:00:00,2022-10-06 11:00:00,38.0,83.0,49.43,30.26,50.19,24.38,88.48,0.19,5.05,0.0,,,,,72.98,2.32,304.61,72.36,779.59,16.83,,
2022-10-06 11:00:00,2022-10-06 12:00:00,,,12.5,31.79,27.07,,28.55,0.18,5.4,0.0,,,,,74.28,2.33,297.36,57.4,779.07,16.94,,
2022-10-06 12:00:00,2022-10-06 13:00:00,19.76,,26.55,37.29,41.45,,33.45,0.19,5.36,0.0,,,,,83.93,1.95,294.08,2.03,778.56,15.01,,
2022-10-06 13:00:00,2022-10-06 14:00:00,18.13,52.08,24.27,28.9,35.1,,35.42,0.19,5.32,0.0,,,,,82.68,2.13,292.33,34.63,777.77,15.22,,
2022-10-06 14:00:00,2022-10-06 15:00:00,30.03,70.42,10.52,24.1,21.37,,35.94,0.18,5.26,0.0,,,,,76.68,2.24,296.17,36.53,777.04,16.06,,
2022-10-06 15:00:00,2022-10-06 16:00:00,20.77,60.55,7.6,24.96,19.45,,36.85,0.19,5.38,0.0,,,,,75.9,2.36,287.09,41.49,776.68,15.93,,
2022-10-06 16:00:00,2022-10-06 17:00:00,39.58,74.74,10.0,22.53,20.11,,36.69,0.19,5.35,0.0,,,,,75.79,2.35,297.93,18.69,776.79,15.94,,
2022-10-06 17:00:00,2022-10-06 18:00:00,24.33,54.29,9.73,23.51,20.42,,36.9,0.18,5.24,0.0,,,,,80.44,1.36,247.46,0.0,777.12,14.53,,
2022-10-06 18:00:00,2022-10-06 19:00:00,27.08,63.21,17.68,29.16,29.95,,37.16,0.18,5.19,0.0,,,,,85.57,1.09,233.47,0.0,777.68,13.73,,
2022-10-06 19:00:00,2022-10-06 20:00:00,28.92,76.08,32.39,36.53,45.59,,37.03,0.19,5.17,0.0,,,,,85.69,0.97,190.91,0.0,778.33,13.01,,
2022-10-06 20:00:00,2022-10-06 21:00:00,38.27,80.39,16.17,22.87,25.34,,37.02,0.19,5.16,0.0,,,,,87.31,0.89,179.26,0.0,779.08,12.89,,
2022-10-06 21:00:00,2022-10-06 22:00:00,29.84,70.3,11.56,19.14,19.58,,36.97,0.18,5.38,0.0,,,,,87.16,0.65,148.34,0.0,779.66,12.49,,
2022-10-06 22:00:00,2022-10-06 23:00:00,27.6,60.36,7.84,17.01,15.37,,36.72,0.18,5.32,0.0,,,,,86.82,0.61,152.55,0.0,779.75,12.05,,
2022-10-06 23:00:00,2022-10-07 00:00:00,23.08,54.91,0.27,9.36,4.09,,36.88,0.18,5.45,0.0,,,,,87.78,0.61,156.17,0.0,779.57,11.27,,
2022-10-07 00:00:00,2022-10-07 01:00:00,24.24,45.77,1.12,7.99,2.6,,36.97,0.18,5.38,0.0,,,,,90.58,0.49,156.44,0.0,778.76,10.09,,
2022-10-07 01:00:00,2022-10-07 02:00:00,25.79,51.62,1.05,6.64,5.28,,36.85,0.18,5.52,0.0,,,,,88.5,0.63,157.41,0.0,778.0,9.93,,
2022-10-07 02:00:00,2022-10-07 03:00:00,12.91,33.84,,0.05,,,36.84,0.18,5.29,0.0,,,,,87.78,0.67,160.63,0.0,777.5,9.25,,
2022-10-07 03:00:00,2022-10-07 04:00:00,11.92,34.77,,2.6,,,36.92,0.18,5.39,0.0,,,,,88.93,0.54,168.55,0.0,777.32,8.45,,
2022-10-07 04:00:00,2022-10-07 05:00:00,10.92,43.03,,1.98,,,37.25,0.18,4.91,0.0,,,,,88.19,0.67,162.05,0.0,777.24,8.27,,
2022-10-07 05:00:00,2022-10-07 06:00:00,9.84,37.69,0.07,4.25,1.16,,36.93,0.18,5.37,0.0,,,,,84.38,0.87,164.05,0.0,777.6,9.88,,
2022-10-07 06:00:00,2022-10-07 07:00:00,9.33,43.89,9.76,14.96,15.89,,36.91,0.18,5.21,0.0,,,,,86.58,0.58,175.48,0.0,778.32,9.46,,
2022-10-07 07:00:00,2022-10-07 08:00:00,27.0,99.34,35.54,24.51,41.93,,37.02,0.19,5.25,0.0,,,,,85.51,0.68,172.87,4.76,779.01,10.72,,
2022-10-07 08:00:00,2022-10-07 09:00:00,60.0,174.0,32.16,21.52,37.57,,37.23,0.18,5.42,0.0,,,,,64.83,0.61,191.04,39.03,779.48,15.28,,
2022-10-07 09:00:00,2022-10-07 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-10-07 10:00:00,2022-10-07 11:00:00,60.0,109.0,66.57,,52.42,33.56,114.5,0.19,5.49,0.0,,,,,49.67,1.44,244.01,179.56,779.69,19.62,,
2022-10-07 11:00:00,2022-10-07 12:00:00,,,8.45,13.71,19.23,,28.14,0.2,5.07,0.0,,,,,60.23,2.04,266.59,139.37,778.99,19.45,,
2022-10-07 12:00:00,2022-10-07 13:00:00,13.72,37.32,7.11,12.69,11.61,,34.22,0.19,4.94,0.0,,,,,72.71,1.64,237.96,95.66,778.42,18.04,,
2022-10-07 13:00:00,2022-10-07 14:00:00,21.36,39.16,0.98,3.04,2.19,,35.1,0.18,5.19,0.0,,,,,78.87,1.52,231.1,35.58,778.03,16.84,,
2022-10-07 14:00:00,2022-10-07 15:00:00,14.48,42.9,3.75,10.27,8.46,,36.21,0.18,4.96,0.0,,,,,73.12,2.13,294.79,34.64,777.56,17.35,,
2022-10-07 15:00:00,2022-10-07 16:00:00,20.17,56.87,6.4,15.58,13.5,,34.95,0.19,5.19,0.0,,,,,73.1,1.91,293.99,21.26,777.33,17.21,,
2022-10-07 16:00:00,2022-10-07 17:00:00,22.32,53.09,12.9,22.26,22.32,,36.21,0.18,5.33,0.0,,,,,73.21,1.83,286.15,0.58,777.41,16.77,,
2022-10-07 17:00:00,2022-10-07 18:00:00,25.84,63.37,14.65,23.4,24.35,,37.41,0.19,5.05,0.0,,,,,77.25,1.33,285.61,0.0,777.98,15.99,,
2022-10-07 18:00:00,2022-10-07 19:00:00,25.37,65.0,26.33,25.3,34.83,,38.31,0.19,5.42,0.0,,,,,81.66,0.68,194.03,0.0,778.69,14.14,,
2022-10-07 19:00:00,2022-10-07 20:00:00,43.32,98.73,75.78,20.68,72.43,,37.17,0.21,5.08,0.0,,,,,86.79,0.43,167.94,0.0,779.23,12.24,,
2022-10-07 20:00:00,2022-10-07 21:00:00,71.93,148.34,111.84,24.45,103.89,,37.0,0.21,5.08,0.0,,,,,90.32,0.5,179.25,0.0,779.8,11.19,,
