From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),Ozone (ug/m3),RH (%),WS (m/s),WD (degree),BP (mmHg),AT (degree C),RF (mm)
2021-01-18 18:00:00,2021-01-18 19:00:00,27.09,44.75,6.07,15.49,8.24,2.38,0.3,116.25,40.4,1.47,282.22,833.12,,
2021-01-18 19:00:00,2021-01-18 20:00:00,23.07,38.27,6.36,16.37,8.71,3.02,0.4,107.5,47.48,1.98,285.34,833.59,,
2021-01-18 20:00:00,2021-01-18 21:00:00,32.55,53.26,6.22,18.96,10.09,3.11,0.41,94.0,51.7,1.27,309.98,835.58,,
2021-01-18 21:00:00,2021-01-18 22:00:00,29.02,47.27,6.39,19.33,10.29,3.31,0.45,92.0,51.71,1.3,325.08,836.57,,
2021-01-18 22:00:00,2021-01-18 23:00:00,31.32,51.47,6.33,20.16,10.72,2.5,0.43,76.0,37.8,0.86,329.59,836.91,,
2021-01-18 23:00:00,2021-01-19 00:00:00,45.94,74.66,6.48,25.71,13.68,1.61,0.48,38.67,32.72,0.85,334.61,837.73,,
2021-01-19 00:00:00,2021-01-19 01:00:00,40.23,64.77,6.54,28.6,15.21,1.13,0.49,32.0,30.77,0.79,333.13,837.44,,
2021-01-19 01:00:00,2021-01-19 02:00:00,53.72,84.87,7.06,24.99,13.29,0.53,0.52,42.0,33.91,0.65,234.66,829.19,,
2021-01-19 02:00:00,2021-01-19 03:00:00,56.32,87.42,6.33,21.71,11.55,1.65,0.53,61.75,37.53,0.69,295.42,833.98,,
2021-01-19 03:00:00,2021-01-19 04:00:00,20.18,32.85,6.23,17.97,9.56,1.89,0.52,78.75,39.18,0.74,292.8,833.86,,
2021-01-19 04:00:00,2021-01-19 05:00:00,25.84,42.09,6.43,17.16,9.12,2.6,0.51,67.0,46.0,0.81,331.37,836.84,,
2021-01-19 05:00:00,2021-01-19 06:00:00,38.57,62.34,6.44,19.12,10.17,2.44,0.53,59.75,38.98,0.87,334.25,837.7,,
2021-01-19 06:00:00,2021-01-19 07:00:00,42.88,68.18,6.49,22.03,11.72,1.76,0.53,43.0,37.38,0.88,344.52,838.52,,
2021-01-19 07:00:00,2021-01-19 08:00:00,75.11,121.53,7.03,28.49,15.16,2.22,0.56,30.25,36.98,0.9,336.52,837.76,,
2021-01-19 08:00:00,2021-01-19 09:00:00,71.53,115.79,7.24,26.45,14.06,1.9,0.53,46.75,35.2,1.05,327.86,836.76,,
2021-01-19 09:00:00,2021-01-19 10:00:00,49.72,80.53,6.91,25.07,13.33,2.64,0.53,65.25,35.86,0.89,305.73,834.84,,
2021-01-19 10:00:00,2021-01-19 11:00:00,72.26,116.59,6.58,25.09,13.35,2.49,0.48,102.0,34.38,0.74,249.9,829.8,,
2021-01-19 11:00:00,2021-01-19 12:00:00,78.53,128.34,6.29,24.83,13.21,2.93,0.48,142.75,34.4,0.89,255.85,830.63,,
2021-01-19 12:00:00,2021-01-19 13:00:00,109.83,178.8,6.46,21.26,11.3,2.89,0.5,160.0,34.33,1.28,276.19,832.41,,
2021-01-19 13:00:00,2021-01-19 14:00:00,90.45,148.55,6.13,18.71,9.95,2.87,0.5,164.25,34.19,0.94,241.88,829.26,,
2021-01-19 14:00:00,2021-01-19 15:00:00,84.69,137.35,6.35,19.47,10.36,3.5,0.52,106.5,35.8,0.96,234.28,828.67,,
2021-01-19 15:00:00,2021-01-19 16:00:00,97.75,158.18,6.17,19.24,10.23,4.02,0.53,108.75,38.11,1.19,226.84,828.15,,
2021-01-19 16:00:00,2021-01-19 17:00:00,72.24,118.5,6.33,19.43,10.34,4.29,0.54,170.5,40.16,1.42,276.89,832.6,,
2021-01-19 17:00:00,2021-01-19 18:00:00,58.07,96.49,6.39,18.31,9.74,3.96,0.52,185.0,41.27,1.31,292.0,834.24,,
2021-01-19 18:00:00,2021-01-19 19:00:00,52.52,86.74,6.14,20.12,10.7,3.66,0.49,128.0,45.31,1.5,290.41,834.04,,
2021-01-19 19:00:00,2021-01-19 20:00:00,53.08,87.46,6.14,19.83,10.54,3.73,0.49,147.0,48.96,1.24,290.68,834.07,,
2021-01-19 20:00:00,2021-01-19 21:00:00,56.95,93.5,6.45,16.79,8.93,3.61,0.48,167.75,47.47,1.11,292.49,833.85,,
