From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),AT (degree C),RF (mm)
2019-03-30 00:00:00,2019-03-30 01:00:00,10.05,14.13,10.28,0.97,10.1,,19.89,,59.84,0.0,0.0,,,49.86,,85.42,,,11.48,5.64
2019-03-30 01:00:00,2019-03-30 02:00:00,,,8.4,,7.25,,20.01,,64.58,0.0,0.0,,,49.9,34.36,88.11,,,12.04,5.65
2019-03-30 02:00:00,2019-03-30 03:00:00,,,7.4,,5.53,,19.94,,68.0,0.0,0.0,,,49.89,22.03,95.35,,,11.22,5.65
2019-03-30 03:00:00,2019-03-30 04:00:00,,,6.41,,4.07,,19.87,,70.72,0.0,0.0,,,49.9,18.07,95.24,,,11.43,5.65
2019-03-30 04:00:00,2019-03-30 05:00:00,,,5.93,,3.33,,19.73,,71.29,0.0,0.0,,,49.92,8.39,92.53,,,12.7,5.66
2019-03-30 05:00:00,2019-03-30 06:00:00,12.23,17.22,5.5,,2.67,,19.46,,69.31,0.0,0.0,,,49.84,,97.56,,,14.28,5.65
2019-03-30 06:00:00,2019-03-30 07:00:00,12.9,25.91,5.06,,2.11,,18.95,,67.85,0.0,0.0,,,49.83,3.01,107.06,,,13.97,5.64
2019-03-30 07:00:00,2019-03-30 08:00:00,17.66,32.95,4.56,,1.57,,19.27,,65.94,0.0,0.0,,,49.88,24.95,102.47,130.83,,11.85,5.64
2019-03-30 08:00:00,2019-03-30 09:00:00,23.03,36.28,3.89,,0.73,,19.54,,64.33,0.0,0.0,,,49.92,37.59,98.62,337.7,,6.52,5.63
2019-03-30 09:00:00,2019-03-30 10:00:00,26.39,31.9,2.83,,0.16,,24.06,,57.21,0.0,0.0,,,49.96,49.7,107.34,548.39,,1.63,5.61
2019-03-30 10:00:00,2019-03-30 11:00:00,26.05,32.89,1.72,9.13,10.84,39.7,53.72,0.49,49.26,0.0,0.0,,,47.14,41.17,104.91,665.68,,,5.62
2019-03-30 11:00:00,2019-03-30 12:00:00,26.53,37.84,0.83,8.62,9.14,53.76,24.06,0.5,45.83,0.0,0.0,,,47.63,48.19,77.99,754.21,,,5.63
2019-03-30 12:00:00,2019-03-30 13:00:00,26.62,38.18,1.26,8.17,9.43,70.97,0.55,0.38,42.45,0.0,0.0,,,50.16,,69.89,786.64,,,5.6
2019-03-30 13:00:00,2019-03-30 14:00:00,26.62,38.18,2.51,7.03,9.55,84.08,0.12,0.3,37.32,0.0,0.0,,,49.68,,65.98,745.95,,,5.59
2019-03-30 14:00:00,2019-03-30 15:00:00,26.62,38.18,1.5,6.44,7.34,55.45,6.2,0.27,38.34,0.0,0.0,,,49.14,,75.16,620.26,,0.86,5.62
2019-03-30 15:00:00,2019-03-30 16:00:00,26.62,38.18,,6.06,5.39,44.91,8.29,0.33,34.62,0.0,0.0,,,49.91,,70.31,451.69,,5.24,0.77
2019-03-30 16:00:00,2019-03-30 17:00:00,26.62,38.18,,6.13,5.88,58.11,8.34,0.3,29.67,0.0,0.0,,,50.13,,76.18,234.67,,9.02,0.38
2019-03-30 17:00:00,2019-03-30 18:00:00,26.75,38.11,1.13,6.15,6.2,60.35,8.34,0.3,26.0,0.0,0.0,,,50.12,45.64,80.02,54.82,,14.36,0.36
2019-03-30 18:00:00,2019-03-30 19:00:00,29.3,32.44,1.39,2.52,3.96,57.62,8.41,0.3,24.3,0.0,0.0,,,49.83,37.21,73.97,,,8.33,0.36
2019-03-30 19:00:00,2019-03-30 20:00:00,29.43,29.79,0.73,1.97,2.67,27.77,8.76,0.39,31.66,0.0,0.0,,,50.12,38.47,67.51,,,9.18,0.36
2019-03-30 20:00:00,2019-03-30 21:00:00,,,1.0,2.37,3.33,22.31,8.92,0.52,38.98,0.0,0.0,,,50.26,23.0,75.57,,,12.64,0.38
2019-03-30 21:00:00,2019-03-30 22:00:00,,,0.99,1.22,2.23,23.83,8.87,0.58,44.39,0.0,0.0,,,50.26,33.83,78.25,,,14.03,0.38
2019-03-30 22:00:00,2019-03-30 23:00:00,23.23,24.13,0.97,1.43,2.39,25.05,8.68,0.59,48.19,0.0,0.0,,,50.19,31.34,75.93,,,15.02,0.37
2019-03-30 23:00:00,2019-03-31 00:00:00,21.27,23.27,1.07,0.23,1.16,36.77,8.42,0.53,48.52,0.0,0.0,,,49.91,25.67,81.69,,,13.12,0.33
2019-03-31 00:00:00,2019-03-31 01:00:00,18.69,28.97,1.03,,0.52,42.72,8.24,0.44,47.55,0.0,0.0,,,49.76,10.67,96.77,,,11.15,0.31
2019-03-31 01:00:00,2019-03-31 02:00:00,14.7,29.94,0.7,,0.2,42.38,8.3,0.4,48.16,0.0,0.0,,,49.72,5.36,94.14,,,12.72,0.31
2019-03-31 02:00:00,2019-03-31 03:00:00,16.16,27.1,0.69,0.38,1.02,42.07,8.25,0.37,48.33,0.0,0.0,,,49.7,1.67,112.51,,,11.96,0.32
2019-03-31 03:00:00,2019-03-31 04:00:00,19.63,24.98,0.28,0.94,0.97,25.81,8.56,0.41,53.16,0.0,0.0,,,50.06,14.03,115.54,,,16.22,0.32
2019-03-31 04:00:00,2019-03-31 05:00:00,,,0.42,1.69,2.1,25.35,8.7,0.46,53.36,0.0,0.0,,,50.16,14.92,119.35,,,17.82,0.32
2019-03-31 05:00:00,2019-03-31 06:00:00,,,0.46,1.77,2.25,26.25,8.64,0.46,51.73,0.0,0.0,,,50.12,16.85,112.95,,,19.58,0.32
2019-03-31 06:00:00,2019-03-31 07:00:00,,,0.47,2.15,2.6,27.12,8.44,0.47,50.16,0.0,0.0,,,50.11,24.85,106.11,23.93,,18.39,0.32
2019-03-31 07:00:00,2019-03-31 08:00:00,34.04,35.65,0.72,2.18,2.88,34.21,8.21,0.43,47.11,0.0,0.0,,,49.9,29.18,108.92,145.41,,11.68,0.32
2019-03-31 08:00:00,2019-03-31 09:00:00,34.95,43.36,0.78,2.74,3.54,39.82,8.37,0.41,44.34,0.0,0.0,,,49.85,,111.53,356.63,,4.37,0.31
2019-03-31 09:00:00,2019-03-31 10:00:00,37.07,51.6,0.68,3.29,3.97,42.83,9.0,0.42,42.01,0.0,0.0,,,49.68,43.31,106.48,549.99,,1.38,0.32
2019-03-31 10:00:00,2019-03-31 11:00:00,39.52,54.69,0.45,3.51,3.94,44.33,9.53,0.43,41.82,0.0,0.0,,,41.34,38.02,112.2,696.32,,,0.32
2019-03-31 11:00:00,2019-03-31 12:00:00,45.36,58.29,,4.1,3.73,27.0,9.4,0.49,46.07,0.0,0.0,,,36.8,32.5,109.48,792.63,,0.46,0.32
2019-03-31 12:00:00,2019-03-31 13:00:00,46.3,48.6,,2.76,2.72,28.16,8.84,0.57,41.39,0.0,0.0,,,50.7,46.4,55.19,806.01,,0.29,0.32
2019-03-31 13:00:00,2019-03-31 14:00:00,43.18,44.99,0.06,1.69,1.75,26.71,8.71,0.57,40.95,0.0,0.0,,,50.37,,79.22,756.46,,,0.33
2019-03-31 14:00:00,2019-03-31 15:00:00,41.77,48.28,0.06,1.29,1.29,25.53,8.5,0.57,40.64,0.0,0.0,,,50.33,12.72,77.7,642.56,,1.72,0.32
2019-03-31 15:00:00,2019-03-31 16:00:00,37.34,46.14,0.37,1.11,1.5,32.7,8.3,0.51,38.16,0.0,0.0,,,50.04,22.93,87.6,470.29,,0.66,0.32
2019-03-31 16:00:00,2019-03-31 17:00:00,33.43,50.32,0.48,1.46,1.92,38.67,8.38,0.45,37.94,0.0,0.0,,,49.9,34.75,70.44,256.4,,1.49,0.32
2019-03-31 17:00:00,2019-03-31 18:00:00,35.47,52.17,0.36,1.38,1.73,39.82,8.51,0.42,38.34,0.0,0.0,,,49.82,26.66,71.56,78.92,,5.71,0.32
2019-03-31 18:00:00,2019-03-31 19:00:00,39.33,51.47,0.43,2.82,3.26,39.39,8.46,0.43,38.11,0.0,0.0,,,49.79,17.49,75.94,,,6.35,0.31
2019-03-31 19:00:00,2019-03-31 20:00:00,41.99,48.22,0.42,3.47,3.9,27.09,8.63,0.51,45.17,0.0,0.0,,,50.03,3.81,68.38,,,11.22,0.32
2019-03-31 20:00:00,2019-03-31 21:00:00,,,0.71,3.38,4.09,20.33,8.82,0.66,49.86,0.0,0.0,,,50.2,5.16,66.43,,,15.72,0.32
2019-03-31 21:00:00,2019-03-31 22:00:00,,,0.88,2.35,3.22,21.25,8.78,0.71,51.96,0.0,0.0,,,50.2,,80.29,,,16.82,0.33
2019-03-31 22:00:00,2019-03-31 23:00:00,,,0.8,1.97,2.79,21.94,8.71,0.73,53.8,0.0,0.0,,,50.18,,77.43,,,16.33,0.32
2019-03-31 23:00:00,2019-04-01 00:00:00,,,0.98,0.88,1.84,28.11,8.44,0.67,54.91,0.0,0.0,,,49.91,,72.76,,,13.01,0.32
2019-04-01 00:00:00,2019-04-01 01:00:00,27.27,34.39,0.88,,0.21,35.9,8.17,0.58,54.91,0.0,0.0,,,49.74,,85.68,,,11.28,0.32
2019-04-01 01:00:00,2019-04-01 02:00:00,26.12,34.5,0.75,1.59,0.85,36.26,8.1,0.53,54.76,0.0,0.0,,,49.67,,102.76,,,11.09,0.32
2019-04-01 02:00:00,2019-04-01 03:00:00,27.5,35.01,0.99,,0.34,34.85,8.29,0.49,56.39,0.0,0.0,,,49.66,,104.1,,,11.79,0.31
2019-04-01 03:00:00,2019-04-01 04:00:00,29.99,34.27,0.21,,,24.14,8.46,0.51,60.8,0.0,0.0,,,50.0,,93.73,,,15.18,0.32
2019-04-01 04:00:00,2019-04-01 05:00:00,,,0.17,,,22.69,8.7,0.56,62.45,0.0,0.0,,,50.18,14.68,101.01,,,15.04,0.32
2019-04-01 05:00:00,2019-04-01 06:00:00,,,0.23,0.87,0.48,23.59,8.68,0.54,60.46,0.0,0.0,,,50.19,6.63,106.13,,,13.24,0.32
2019-04-01 06:00:00,2019-04-01 07:00:00,,,0.46,1.52,2.01,24.13,8.59,0.53,57.44,0.0,0.0,,,50.17,3.1,87.46,33.41,,14.59,0.32
2019-04-01 07:00:00,2019-04-01 08:00:00,36.57,37.28,0.85,3.0,3.86,31.52,8.43,0.51,53.8,0.0,0.0,,,49.92,27.96,97.06,168.06,,10.92,0.32
2019-04-01 08:00:00,2019-04-01 09:00:00,36.31,44.88,1.0,5.11,6.09,37.06,8.27,0.49,47.4,0.0,0.0,,,49.85,,90.28,377.81,,4.16,0.31
2019-04-01 09:00:00,2019-04-01 10:00:00,39.54,56.72,0.49,3.62,4.15,39.14,8.4,0.51,44.87,0.0,0.0,,,47.55,,102.91,565.5,,,0.3
2019-04-01 10:00:00,2019-04-01 11:00:00,41.61,60.97,0.94,3.96,4.89,43.54,8.36,0.52,43.0,0.0,0.0,,,43.66,,85.12,709.23,,,0.3
2019-04-01 11:00:00,2019-04-01 12:00:00,41.94,59.03,1.08,3.07,4.42,30.14,8.65,0.54,43.48,0.0,0.0,,,49.97,29.28,76.88,786.92,,,0.3
2019-04-01 12:00:00,2019-04-01 13:00:00,42.09,51.28,1.58,2.56,4.15,35.35,8.63,0.56,41.51,0.0,0.0,,,50.19,43.67,76.0,812.89,,,0.31
2019-04-01 13:00:00,2019-04-01 14:00:00,39.84,48.93,1.65,2.41,4.06,36.9,8.51,0.51,39.81,0.0,0.0,,,50.12,,65.87,766.72,,,0.31
2019-04-01 14:00:00,2019-04-01 15:00:00,39.46,50.12,1.32,2.3,3.62,33.18,8.69,0.47,38.38,0.0,0.0,,,50.17,41.38,73.86,657.14,,,0.31
2019-04-01 15:00:00,2019-04-01 16:00:00,38.77,45.21,1.7,2.42,4.16,39.69,8.6,0.44,35.4,0.0,0.0,,,50.05,33.84,73.92,483.68,,1.01,0.31
2019-04-01 16:00:00,2019-04-01 17:00:00,44.3,44.55,1.85,2.42,4.27,47.43,8.54,0.4,33.35,0.0,0.0,,,49.86,29.85,75.83,268.98,,4.31,0.31
2019-04-01 17:00:00,2019-04-01 18:00:00,44.67,46.13,1.82,2.65,4.47,47.02,8.61,0.4,31.59,0.0,0.0,,,46.73,21.48,70.39,112.97,,5.35,0.15
2019-04-01 18:00:00,2019-04-01 19:00:00,42.89,46.89,2.14,4.31,6.45,47.71,8.68,0.46,28.12,0.0,0.0,,,16.61,6.37,12.34,,,3.04,0.03
2019-04-01 19:00:00,2019-04-01 20:00:00,43.2,45.18,1.92,4.56,6.5,37.66,8.8,0.53,27.5,0.0,0.0,,,46.53,23.01,59.13,,,10.63,0.29
2019-04-01 20:00:00,2019-04-01 21:00:00,,,1.64,5.14,6.77,28.78,8.94,0.66,26.85,0.0,0.0,,,50.03,7.93,60.31,,,14.59,0.32
2019-04-01 21:00:00,2019-04-01 22:00:00,,,1.73,3.56,5.31,31.65,8.93,0.71,27.37,0.0,0.0,,,49.99,,66.69,,,13.24,0.32
2019-04-01 22:00:00,2019-04-01 23:00:00,38.92,25.57,1.77,0.96,1.99,31.23,8.74,0.71,31.7,0.0,0.0,,,50.0,13.18,72.02,,,10.85,0.33
2019-04-01 23:00:00,2019-04-02 00:00:00,,,1.7,,0.1,32.04,8.71,0.67,35.81,0.0,0.0,,,49.91,5.17,75.61,,,12.58,0.32
2019-04-02 00:00:00,2019-04-02 01:00:00,29.69,25.23,1.86,,0.09,38.14,8.47,0.57,41.36,0.0,0.0,,,49.76,9.29,74.59,,,9.9,0.32
2019-04-02 01:00:00,2019-04-02 02:00:00,24.9,32.02,1.74,,,38.39,8.35,0.52,44.68,0.0,0.0,,,49.76,10.89,68.12,,,9.15,0.32
2019-04-02 02:00:00,2019-04-02 03:00:00,23.34,32.45,1.66,,,37.7,8.33,0.46,48.19,0.0,0.0,,,49.76,7.19,89.11,,,8.21,0.34
2019-04-02 03:00:00,2019-04-02 04:00:00,23.27,28.81,1.42,,,31.87,8.48,0.42,50.37,0.0,0.0,,,49.86,6.38,90.99,,,11.66,0.34
2019-04-02 04:00:00,2019-04-02 05:00:00,24.76,25.1,1.64,,,30.83,8.6,0.44,51.62,0.0,0.0,,,49.94,4.38,95.37,,,10.99,0.33
2019-04-02 05:00:00,2019-04-02 06:00:00,,,1.72,,0.41,31.3,8.5,0.42,50.92,0.0,0.0,,,49.92,13.17,95.52,,,13.23,0.32
2019-04-02 06:00:00,2019-04-02 07:00:00,,,1.89,,1.21,31.45,8.55,0.41,49.48,0.0,0.0,,,49.91,3.83,99.91,42.96,,15.0,0.33
2019-04-02 07:00:00,2019-04-02 08:00:00,29.2,29.38,2.07,0.42,2.33,31.79,8.59,0.43,48.73,0.0,0.0,,,49.91,27.34,104.0,74.49,,11.7,0.33
2019-04-02 08:00:00,2019-04-02 09:00:00,31.84,36.56,2.26,0.38,2.41,36.36,8.59,0.45,46.78,0.0,0.0,,,49.87,23.55,100.47,369.96,,2.61,0.32
2019-04-02 09:00:00,2019-04-02 10:00:00,36.68,44.01,1.97,1.41,3.37,38.27,8.57,0.46,45.26,0.0,0.0,,,49.89,,106.22,494.69,,0.31,0.32
2019-04-02 10:00:00,2019-04-02 11:00:00,40.05,50.11,1.59,3.17,4.78,39.61,8.56,0.49,41.62,0.0,0.0,,,49.98,20.67,92.95,589.69,,,0.33
2019-04-02 11:00:00,2019-04-02 12:00:00,33.34,43.84,1.18,2.12,3.41,33.23,7.59,0.45,33.99,0.0,0.0,,,46.87,30.11,68.05,677.55,,,0.3
2019-04-02 12:00:00,2019-04-02 13:00:00,38.11,45.36,1.2,2.34,3.52,33.16,8.82,0.53,39.08,0.0,0.0,,,48.12,,77.53,784.49,,,0.32
2019-04-02 13:00:00,2019-04-02 14:00:00,36.81,44.99,1.31,2.21,3.5,33.39,8.71,0.48,37.58,0.0,0.0,,,49.76,,86.61,727.74,,,0.32
2019-04-02 14:00:00,2019-04-02 15:00:00,34.68,44.15,1.48,0.85,2.33,32.83,8.72,0.45,38.24,0.0,0.0,,,50.3,42.44,71.78,639.89,,,0.32
2019-04-02 15:00:00,2019-04-02 16:00:00,31.92,42.91,1.73,1.91,3.65,34.32,8.6,0.43,36.5,0.0,0.0,,,50.1,42.33,72.24,463.05,,,0.32
2019-04-02 16:00:00,2019-04-02 17:00:00,29.56,43.98,2.15,1.86,4.01,40.98,8.46,0.42,33.18,0.0,0.0,,,49.92,,75.06,234.12,,1.99,0.31
2019-04-02 17:00:00,2019-04-02 18:00:00,29.45,44.09,2.12,1.21,3.33,45.89,8.38,0.4,31.1,0.0,0.0,,,49.85,,75.65,70.36,,5.04,0.3
2019-04-02 18:00:00,2019-04-02 19:00:00,30.33,42.51,1.88,0.74,2.43,43.43,8.42,0.41,30.22,0.0,0.0,,,49.8,12.85,72.66,,,6.49,0.32
2019-04-02 19:00:00,2019-04-02 20:00:00,28.57,39.0,1.7,1.01,1.79,34.21,8.63,0.44,34.76,0.0,0.0,,,49.94,21.88,72.44,,,5.12,0.31
2019-04-02 20:00:00,2019-04-02 21:00:00,29.38,33.63,1.71,,1.14,28.57,8.74,0.53,39.97,0.0,0.0,,,50.05,19.26,76.22,,,9.31,0.3
2019-04-02 21:00:00,2019-04-02 22:00:00,,,1.69,,0.82,28.79,8.65,0.56,43.03,0.0,0.0,,,50.04,17.6,84.68,,,10.77,0.3
2019-04-02 22:00:00,2019-04-02 23:00:00,,,1.68,,0.42,28.71,8.61,0.57,45.23,0.0,0.0,,,50.02,12.62,85.55,,,10.95,0.3
2019-04-02 23:00:00,2019-04-03 00:00:00,,,1.75,,,30.71,8.56,0.55,46.9,0.0,0.0,,,49.98,6.29,72.03,,,9.24,0.3
2019-04-03 00:00:00,2019-04-03 01:00:00,19.75,21.2,1.88,,,36.23,8.32,0.49,49.13,0.0,0.0,,,49.81,12.62,67.95,,,8.12,0.3
2019-04-03 01:00:00,2019-04-03 02:00:00,19.45,26.73,1.96,,,36.6,8.28,0.44,52.41,0.0,0.0,,,49.66,4.88,88.41,,,8.47,0.31
2019-04-03 02:00:00,2019-04-03 03:00:00,20.46,26.92,1.99,,,35.48,8.27,0.4,54.71,0.0,0.0,,,49.61,,94.16,,,10.41,0.32
2019-04-03 03:00:00,2019-04-03 04:00:00,20.54,24.35,1.75,,,30.05,8.31,0.37,56.77,0.0,0.0,,,49.7,,97.45,,,12.48,0.31
2019-04-03 04:00:00,2019-04-03 05:00:00,21.32,21.65,1.98,,,27.31,8.47,0.41,58.53,0.0,0.0,,,49.84,,100.47,,,13.46,0.32
2019-04-03 05:00:00,2019-04-03 06:00:00,,,2.17,,0.8,28.86,8.47,0.41,57.48,0.0,0.0,,,49.84,,102.08,,,13.92,0.32
2019-04-03 06:00:00,2019-04-03 07:00:00,,,2.87,0.66,3.3,29.1,8.61,0.42,55.66,0.0,0.0,,,49.8,,96.21,22.09,,11.46,0.32
2019-04-03 07:00:00,2019-04-03 08:00:00,,,2.94,0.23,2.7,30.54,8.46,0.45,55.18,0.0,0.0,,,49.88,,94.0,155.41,,7.06,0.32
2019-04-03 08:00:00,2019-04-03 09:00:00,28.31,30.29,2.77,0.27,2.46,34.62,8.57,0.47,52.76,0.0,0.0,,,49.82,20.64,83.96,190.59,,5.74,0.32
2019-04-03 09:00:00,2019-04-03 10:00:00,27.51,36.25,2.24,0.99,1.96,36.63,8.5,0.47,50.59,0.0,0.0,,,49.84,21.23,84.35,291.0,,4.24,0.31
2019-04-03 10:00:00,2019-04-03 11:00:00,31.27,38.44,2.08,1.91,3.95,38.71,8.34,0.45,47.52,0.0,0.0,,,49.99,49.64,78.79,667.63,,,0.3
2019-04-03 11:00:00,2019-04-03 12:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-03 12:00:00,2019-04-03 13:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-03 13:00:00,2019-04-03 14:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-03 14:00:00,2019-04-03 15:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-03 15:00:00,2019-04-03 16:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-03 16:00:00,2019-04-03 17:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-03 17:00:00,2019-04-03 18:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-03 18:00:00,2019-04-03 19:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-03 19:00:00,2019-04-03 20:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-03 20:00:00,2019-04-03 21:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-03 21:00:00,2019-04-03 22:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-03 22:00:00,2019-04-03 23:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-03 23:00:00,2019-04-04 00:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-04 00:00:00,2019-04-04 01:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-04 01:00:00,2019-04-04 02:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-04 02:00:00,2019-04-04 03:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-04 03:00:00,2019-04-04 04:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-04 04:00:00,2019-04-04 05:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-04 05:00:00,2019-04-04 06:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-04 06:00:00,2019-04-04 07:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-04 07:00:00,2019-04-04 08:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-04 08:00:00,2019-04-04 09:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-04 09:00:00,2019-04-04 10:00:00,47.04,60.52,5.64,2.86,8.5,36.27,8.75,0.54,49.3,0.0,0.0,,,49.91,18.46,100.78,494.25,,2.73,0.33
2019-04-04 10:00:00,2019-04-04 11:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-04 11:00:00,2019-04-04 12:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-04 12:00:00,2019-04-04 13:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-04 13:00:00,2019-04-04 14:00:00,23.21,29.8,2.66,2.75,5.42,34.94,8.5,0.47,35.0,0.0,0.0,,,47.1,,81.82,757.62,,0.91,0.33
2019-04-04 14:00:00,2019-04-04 15:00:00,21.5,29.67,2.52,2.28,4.8,34.49,8.51,0.45,34.91,0.0,0.0,,,46.87,41.6,73.77,690.77,,2.25,0.33
2019-04-04 15:00:00,2019-04-04 16:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-04 16:00:00,2019-04-04 17:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-04 17:00:00,2019-04-04 18:00:00,,,,,,,,,,,,,,,,,,,,
2019-04-04 18:00:00,2019-04-04 19:00:00,,,,,,,,,,,,,,,,,,,,
