From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm)
2022-11-04 05:00:00,2022-11-04 06:00:00,115.96,183.93,1.36,9.25,6.03,4.89,0.94,66.62,0.7,198.44,0.0,1011.12,23.78,0.0
2022-11-04 06:00:00,2022-11-04 07:00:00,97.0,142.4,1.23,9.49,6.05,4.57,1.01,67.86,0.63,210.34,0.0,1011.75,23.45,0.0
2022-11-04 07:00:00,2022-11-04 08:00:00,110.29,168.6,1.34,9.4,6.09,7.96,1.29,67.23,1.01,202.3,50.43,1012.64,24.12,0.0
2022-11-04 08:00:00,2022-11-04 09:00:00,157.0,250.23,1.29,9.3,5.99,11.57,1.48,62.17,1.22,199.09,203.25,1013.45,26.26,0.0
2022-11-04 09:00:00,2022-11-04 10:00:00,173.75,277.03,1.43,9.28,6.1,12.57,1.54,54.49,1.95,199.51,350.15,1014.12,28.64,0.0
2022-11-04 10:00:00,2022-11-04 11:00:00,169.33,267.87,1.38,9.27,6.05,6.79,1.3,52.29,1.7,220.81,430.33,1014.37,30.47,0.0
2022-11-04 11:00:00,2022-11-04 12:00:00,133.68,199.4,1.25,9.37,6.0,5.59,1.2,46.62,0.97,182.43,473.37,1013.96,33.26,0.0
2022-11-04 12:00:00,2022-11-04 13:00:00,122.08,185.67,1.26,9.21,5.93,5.48,1.27,42.68,0.99,189.57,466.21,1012.93,35.52,0.0
2022-11-04 13:00:00,2022-11-04 14:00:00,126.88,186.3,1.13,9.26,5.84,5.16,0.96,41.33,2.18,158.15,447.38,1011.73,34.85,0.0
2022-11-04 14:00:00,2022-11-04 15:00:00,84.99,129.22,1.34,9.39,6.09,4.62,0.84,40.38,2.0,163.07,340.49,1010.69,35.29,0.0
2022-11-04 15:00:00,2022-11-04 16:00:00,60.83,98.77,1.39,9.24,6.05,5.0,0.81,38.01,1.91,134.0,195.95,1010.23,35.42,0.0
2022-11-04 16:00:00,2022-11-04 17:00:00,58.0,104.28,1.27,9.28,5.97,4.39,0.85,39.8,1.41,122.25,89.41,1010.11,35.27,0.0
2022-11-04 17:00:00,2022-11-04 18:00:00,67.25,119.63,1.25,9.41,6.02,4.13,0.98,43.69,1.02,106.24,30.93,1010.31,33.73,0.0
2022-11-04 18:00:00,2022-11-04 19:00:00,70.75,123.0,1.28,9.37,6.02,4.46,1.2,57.48,1.31,58.78,0.55,1010.89,30.8,0.0
2022-11-04 19:00:00,2022-11-04 20:00:00,104.5,185.7,1.27,9.36,6.01,4.7,1.51,62.56,0.94,47.44,0.0,1011.55,29.73,0.0
2022-11-04 20:00:00,2022-11-04 21:00:00,104.25,170.6,1.44,9.39,6.16,4.54,2.11,64.84,0.72,41.95,0.0,1012.19,28.98,0.0
2022-11-04 21:00:00,2022-11-04 22:00:00,118.25,189.0,1.22,9.36,5.97,4.65,2.01,63.82,0.43,92.48,0.0,1012.66,28.06,0.0
2022-11-04 22:00:00,2022-11-04 23:00:00,127.8,201.83,1.33,9.46,6.11,4.78,1.95,60.59,0.46,129.56,0.0,1012.78,28.06,0.0
2022-11-04 23:00:00,2022-11-05 00:00:00,167.03,265.47,1.3,9.34,6.02,4.92,2.25,64.86,0.67,217.06,0.0,1012.73,26.66,0.0
2022-11-05 00:00:00,2022-11-05 01:00:00,222.25,321.3,1.29,9.57,6.14,4.86,1.92,66.14,0.23,128.45,0.0,1012.36,25.87,0.0
2022-11-05 01:00:00,2022-11-05 02:00:00,187.25,275.57,1.24,9.4,6.0,6.46,1.67,63.7,1.2,233.01,0.0,1012.0,26.02,0.0
2022-11-05 02:00:00,2022-11-05 03:00:00,167.0,266.86,1.2,9.45,6.01,7.13,1.13,62.84,1.52,231.16,0.0,1011.65,25.58,0.0
2022-11-05 03:00:00,2022-11-05 04:00:00,132.21,215.33,1.37,9.46,6.15,8.46,1.12,61.71,1.48,215.15,0.0,1011.39,25.25,0.0
2022-11-05 04:00:00,2022-11-05 05:00:00,133.75,215.77,1.39,9.26,6.06,11.79,1.12,62.25,1.89,213.6,0.0,1011.64,24.69,0.0
2022-11-05 05:00:00,2022-11-05 06:00:00,125.79,192.47,1.22,9.46,6.02,12.28,1.07,63.88,1.81,209.67,0.0,1012.13,24.19,0.0
2022-11-05 06:00:00,2022-11-05 07:00:00,117.89,190.03,1.21,9.44,6.0,8.89,1.0,65.81,1.1,198.72,0.0,1012.8,23.2,0.0
2022-11-05 07:00:00,2022-11-05 08:00:00,87.84,175.83,1.25,9.35,5.99,7.12,1.2,66.66,1.04,200.17,58.39,1013.6,23.13,0.0
2022-11-05 08:00:00,2022-11-05 09:00:00,34.0,172.0,0.99,9.35,5.78,10.16,1.42,58.84,1.98,200.42,219.53,1014.36,25.79,0.0
2022-11-05 09:00:00,2022-11-05 10:00:00,140.0,180.4,1.23,9.46,6.03,6.84,1.19,53.52,2.23,203.41,368.92,1015.19,28.45,0.0
2022-11-05 10:00:00,2022-11-05 11:00:00,138.5,174.83,1.27,9.25,5.95,6.25,1.21,47.9,1.91,183.99,443.18,1015.35,31.09,0.0
2022-11-05 11:00:00,2022-11-05 12:00:00,132.5,180.08,1.33,9.26,6.0,6.29,1.3,39.45,0.89,159.72,487.03,1014.85,34.94,0.0
2022-11-05 12:00:00,2022-11-05 13:00:00,113.75,206.51,1.4,9.28,6.08,6.1,1.24,35.44,0.99,189.09,464.22,1013.88,36.68,0.0
2022-11-05 13:00:00,2022-11-05 14:00:00,58.92,182.87,1.35,9.24,6.02,5.17,0.94,31.57,1.42,219.77,444.54,1012.77,36.91,0.0
2022-11-05 14:00:00,2022-11-05 15:00:00,21.0,143.0,1.38,9.27,6.05,5.42,0.75,31.51,1.9,191.78,336.51,1011.83,36.41,0.0
2022-11-05 15:00:00,2022-11-05 16:00:00,,,1.37,9.24,6.03,4.77,0.79,35.77,1.41,199.09,193.52,1011.56,36.31,0.0
2022-11-05 16:00:00,2022-11-05 17:00:00,84.0,127.0,1.3,9.42,6.07,4.38,0.9,44.8,1.03,105.41,91.14,1011.45,35.25,0.0
2022-11-05 17:00:00,2022-11-05 18:00:00,81.75,127.6,1.09,9.41,5.89,4.22,0.96,48.03,0.85,107.36,30.72,1011.63,33.18,0.0
2022-11-05 18:00:00,2022-11-05 19:00:00,75.0,123.0,1.32,9.39,6.07,4.06,1.23,53.58,0.89,72.68,0.46,1012.04,30.73,0.0
2022-11-05 19:00:00,2022-11-05 20:00:00,88.17,148.87,1.33,9.55,6.17,4.32,1.38,55.05,1.09,50.33,0.0,1012.88,30.05,0.0
2022-11-05 20:00:00,2022-11-05 21:00:00,89.14,152.57,1.47,9.21,6.09,5.26,1.64,57.85,0.6,72.16,0.0,1013.43,29.14,0.0
2022-11-05 21:00:00,2022-11-05 22:00:00,105.75,170.33,1.39,9.34,6.1,5.66,2.11,63.12,0.36,117.28,0.0,1013.79,27.83,0.0
2022-11-05 22:00:00,2022-11-05 23:00:00,125.52,197.27,1.28,9.34,6.01,5.12,1.9,64.56,0.4,154.34,0.0,1013.98,27.25,0.0
2022-11-05 23:00:00,2022-11-06 00:00:00,125.69,189.06,1.32,9.41,6.08,4.99,1.76,65.51,0.43,150.05,0.0,1013.88,27.14,0.0
2022-11-06 00:00:00,2022-11-06 01:00:00,137.5,211.87,1.18,9.47,5.99,5.06,1.96,67.07,0.52,211.66,0.0,1013.53,26.41,0.0
2022-11-06 01:00:00,2022-11-06 02:00:00,158.25,238.67,1.15,9.45,5.96,5.67,1.67,62.21,0.47,192.55,0.0,1013.0,26.06,0.0
2022-11-06 02:00:00,2022-11-06 03:00:00,163.0,233.8,1.37,9.19,6.0,8.11,1.38,62.33,1.65,226.09,0.0,1012.59,25.89,0.0
2022-11-06 03:00:00,2022-11-06 04:00:00,155.0,230.87,1.32,9.33,6.04,7.81,1.06,62.85,1.87,223.64,0.0,1012.39,24.74,0.0
2022-11-06 04:00:00,2022-11-06 05:00:00,114.75,180.73,1.25,9.3,5.96,6.79,0.94,63.06,1.83,223.4,0.0,1012.53,24.21,0.0
2022-11-06 05:00:00,2022-11-06 06:00:00,91.31,143.97,1.25,9.27,5.95,6.03,0.93,61.17,0.94,214.51,0.0,1012.89,23.9,0.0
2022-11-06 06:00:00,2022-11-06 07:00:00,97.36,149.17,1.31,9.22,5.97,6.34,1.11,64.23,0.82,213.4,0.0,1013.41,23.14,0.0
2022-11-06 07:00:00,2022-11-06 08:00:00,145.34,218.18,1.34,9.45,6.11,6.22,1.34,63.67,0.57,209.08,49.38,1014.32,23.49,0.0
2022-11-06 08:00:00,2022-11-06 09:00:00,191.25,296.17,1.39,9.39,6.12,7.66,1.55,59.8,0.86,167.16,204.31,1014.94,26.5,0.0
2022-11-06 09:00:00,2022-11-06 10:00:00,202.85,331.77,1.15,9.48,5.98,9.76,1.49,53.52,1.87,210.99,342.56,1015.56,28.8,0.0
2022-11-06 10:00:00,2022-11-06 11:00:00,169.25,273.42,1.26,9.53,6.09,6.37,1.33,47.14,1.87,208.06,428.78,1015.75,31.4,0.0
2022-11-06 11:00:00,2022-11-06 12:00:00,150.0,221.13,1.5,9.25,6.14,5.13,1.12,39.91,1.68,201.48,492.95,1015.1,33.84,0.0
2022-11-06 12:00:00,2022-11-06 13:00:00,96.0,154.02,1.33,9.09,5.92,4.83,0.8,33.06,1.94,217.94,478.97,1014.03,35.12,0.0
2022-11-06 13:00:00,2022-11-06 14:00:00,55.25,101.65,1.22,9.13,5.85,5.72,0.71,29.75,1.9,202.12,437.36,1012.81,35.83,0.0
2022-11-06 14:00:00,2022-11-06 15:00:00,42.21,79.57,1.21,9.26,5.9,5.21,0.7,29.7,1.9,202.79,331.8,1011.8,36.11,0.0
2022-11-06 15:00:00,2022-11-06 16:00:00,46.97,68.97,1.25,9.47,6.05,5.38,0.72,31.88,1.87,187.19,184.66,1011.18,35.46,0.0
2022-11-06 16:00:00,2022-11-06 17:00:00,50.97,82.93,1.43,9.28,6.1,5.27,0.74,33.7,1.06,223.27,85.02,1010.99,35.47,0.0
2022-11-06 17:00:00,2022-11-06 18:00:00,63.0,100.0,1.49,9.16,6.08,4.83,0.97,44.37,0.86,138.94,33.2,1011.35,33.02,0.0
2022-11-06 18:00:00,2022-11-06 19:00:00,91.25,144.23,1.54,9.21,6.15,4.4,1.09,51.87,0.98,91.94,0.56,1011.88,30.5,0.0
2022-11-06 19:00:00,2022-11-06 20:00:00,88.0,137.03,1.21,9.45,6.01,4.44,1.19,48.02,0.97,59.08,0.0,1012.51,29.85,0.0
2022-11-06 20:00:00,2022-11-06 21:00:00,71.5,115.73,1.41,9.35,6.12,4.68,1.45,50.96,0.89,55.76,0.0,1013.04,29.23,0.0
2022-11-06 21:00:00,2022-11-06 22:00:00,83.25,130.8,1.33,9.27,6.01,4.82,1.78,50.14,0.63,40.01,0.0,1013.43,28.46,0.0
2022-11-06 22:00:00,2022-11-06 23:00:00,85.49,149.8,1.34,9.41,6.09,4.9,2.45,50.79,0.58,124.47,0.0,1013.48,27.82,0.0
2022-11-06 23:00:00,2022-11-07 00:00:00,104.75,177.8,1.37,9.28,6.05,4.83,2.5,56.2,0.34,265.29,0.0,1013.33,25.99,0.0
2022-11-07 00:00:00,2022-11-07 01:00:00,92.72,163.07,1.36,9.29,6.05,4.66,2.5,61.35,0.22,155.97,0.0,1013.05,25.18,0.0
2022-11-07 01:00:00,2022-11-07 02:00:00,112.75,181.47,1.34,9.32,6.05,5.14,2.41,63.53,0.68,220.86,0.0,1012.69,25.05,0.0
2022-11-07 02:00:00,2022-11-07 03:00:00,187.75,287.7,1.23,9.26,5.93,6.03,2.17,66.64,0.51,209.55,0.0,1012.37,24.42,0.0
2022-11-07 03:00:00,2022-11-07 04:00:00,238.75,377.93,1.37,9.42,6.12,5.45,1.91,68.63,0.45,182.25,0.0,1012.07,23.73,0.0
2022-11-07 04:00:00,2022-11-07 05:00:00,201.25,300.73,1.26,9.36,6.0,5.56,1.87,68.88,0.53,180.07,0.0,1012.16,23.83,0.0
2022-11-07 05:00:00,2022-11-07 06:00:00,215.25,323.55,1.23,9.48,6.04,5.75,1.85,70.37,0.49,193.85,0.0,1012.38,23.38,0.0
2022-11-07 06:00:00,2022-11-07 07:00:00,206.75,318.27,1.36,9.36,6.08,6.3,1.68,74.04,1.12,219.23,0.0,1013.0,23.11,0.0
2022-11-07 07:00:00,2022-11-07 08:00:00,200.5,322.52,1.34,9.41,6.09,10.77,1.79,74.38,1.27,212.49,39.6,1013.8,23.06,0.0
2022-11-07 08:00:00,2022-11-07 09:00:00,212.25,352.43,1.21,9.44,6.0,15.06,1.84,67.47,1.28,225.43,207.06,1014.28,25.22,0.0
2022-11-07 09:00:00,2022-11-07 10:00:00,199.75,341.45,1.43,9.43,6.17,8.57,1.42,58.08,1.64,194.28,341.91,1014.78,27.83,0.0
2022-11-07 10:00:00,2022-11-07 11:00:00,146.17,208.87,1.3,9.32,6.02,7.5,1.31,51.03,1.94,174.52,431.68,1014.94,30.49,0.0
2022-11-07 11:00:00,2022-11-07 12:00:00,124.25,184.76,1.35,9.33,6.06,6.45,1.23,45.84,1.71,170.69,481.84,1014.32,32.59,0.0
2022-11-07 12:00:00,2022-11-07 13:00:00,98.25,157.65,1.39,9.46,6.16,5.94,1.09,38.39,1.05,171.81,445.36,1013.37,35.53,0.0
2022-11-07 13:00:00,2022-11-07 14:00:00,87.25,150.53,1.39,9.38,6.12,5.53,1.07,40.42,1.23,207.3,373.58,1012.2,36.08,0.0
2022-11-07 14:00:00,2022-11-07 15:00:00,117.0,181.62,1.34,9.24,6.01,5.91,1.19,48.63,1.15,154.78,276.29,1011.29,34.95,0.0
2022-11-07 15:00:00,2022-11-07 16:00:00,153.87,219.9,1.35,9.18,5.98,5.18,1.21,49.67,1.07,141.11,169.67,1010.7,34.52,0.0
2022-11-07 16:00:00,2022-11-07 17:00:00,157.25,225.37,1.12,9.36,5.89,4.68,1.2,52.68,0.94,117.06,81.36,1010.4,33.32,0.0
2022-11-07 17:00:00,2022-11-07 18:00:00,132.21,186.17,1.31,9.41,6.06,4.69,1.23,58.44,0.48,153.13,27.57,1010.57,31.4,0.0
2022-11-07 18:00:00,2022-11-07 19:00:00,139.25,174.49,1.27,9.45,6.07,4.77,1.55,62.73,0.54,155.8,0.34,1010.89,29.04,0.0
2022-11-07 19:00:00,2022-11-07 20:00:00,145.5,196.79,1.25,9.49,6.06,4.71,1.8,64.71,0.35,202.89,0.0,1011.42,27.63,0.0
2022-11-07 20:00:00,2022-11-07 21:00:00,140.75,202.18,1.39,9.54,6.2,4.81,2.76,69.76,0.53,184.82,0.0,1012.12,27.04,0.0
2022-11-07 21:00:00,2022-11-07 22:00:00,161.14,235.9,1.22,9.52,6.06,4.84,3.2,70.58,0.48,241.43,0.0,1012.65,26.66,0.0
2022-11-07 22:00:00,2022-11-07 23:00:00,164.25,239.69,1.48,9.43,6.22,4.69,2.54,70.13,0.28,200.68,0.0,1012.56,25.97,0.0
2022-11-07 23:00:00,2022-11-08 00:00:00,141.5,198.82,1.38,9.38,6.11,4.5,2.18,66.97,0.53,209.11,0.0,1012.54,25.55,0.0
2022-11-08 00:00:00,2022-11-08 01:00:00,150.5,218.1,1.36,9.27,6.04,5.24,2.28,70.21,0.57,207.04,0.0,1012.43,25.03,0.0
2022-11-08 01:00:00,2022-11-08 02:00:00,219.25,331.66,1.36,9.53,6.18,5.58,2.25,75.15,0.6,217.83,0.0,1012.11,24.59,0.0
2022-11-08 02:00:00,2022-11-08 03:00:00,259.6,401.6,1.36,9.49,6.15,4.98,1.83,78.97,0.49,209.92,0.0,1011.8,23.98,0.0
2022-11-08 03:00:00,2022-11-08 04:00:00,194.75,289.79,1.3,9.39,6.06,4.58,1.42,82.73,0.94,231.5,0.0,1011.63,23.68,0.0
2022-11-08 04:00:00,2022-11-08 05:00:00,175.5,265.9,1.23,9.46,6.03,5.19,1.4,85.34,0.61,169.71,0.0,1011.81,23.32,0.0
2022-11-08 05:00:00,2022-11-08 06:00:00,208.5,336.65,1.19,9.37,5.95,5.76,1.46,82.63,0.68,204.38,0.0,1012.05,23.3,0.0
2022-11-08 06:00:00,2022-11-08 07:00:00,202.75,315.99,1.16,9.48,5.99,7.25,1.36,75.69,1.43,213.34,0.0,1012.75,23.19,0.0
2022-11-08 07:00:00,2022-11-08 08:00:00,188.12,275.8,1.21,9.38,5.97,8.09,1.21,74.57,1.37,217.19,34.39,1013.33,22.93,0.0
2022-11-08 08:00:00,2022-11-08 09:00:00,148.25,217.93,1.32,9.41,6.08,10.0,1.41,68.98,1.44,214.9,174.5,1014.02,24.8,0.0
2022-11-08 09:00:00,2022-11-08 10:00:00,151.3,247.8,1.29,9.54,6.12,17.21,1.67,61.64,1.71,209.05,335.42,1014.57,27.55,0.0
2022-11-08 10:00:00,2022-11-08 11:00:00,197.5,297.97,1.05,9.53,5.92,10.16,1.38,56.89,1.25,200.28,418.27,1014.95,30.71,0.0
2022-11-08 11:00:00,2022-11-08 12:00:00,142.25,214.59,1.22,9.46,6.03,5.94,1.4,47.66,1.05,186.69,471.76,1014.36,33.15,0.0
2022-11-08 12:00:00,2022-11-08 13:00:00,129.75,215.24,1.38,9.31,6.08,5.18,1.37,39.76,0.89,178.2,451.12,1013.29,35.34,0.0
2022-11-08 13:00:00,2022-11-08 14:00:00,112.17,165.93,1.41,9.34,6.11,4.78,1.28,35.36,0.95,121.24,399.5,1012.26,36.3,0.0
2022-11-08 14:00:00,2022-11-08 15:00:00,90.25,134.9,1.35,9.36,6.08,4.37,1.07,33.34,1.02,173.11,309.08,1011.4,37.27,0.0
2022-11-08 15:00:00,2022-11-08 16:00:00,68.79,103.03,1.31,9.41,6.07,4.25,0.97,37.44,0.94,165.15,225.75,1010.74,36.43,0.0
2022-11-08 16:00:00,2022-11-08 17:00:00,64.0,107.92,1.17,9.37,5.93,4.29,0.96,38.15,0.94,162.17,128.88,1010.42,35.79,0.0
2022-11-08 17:00:00,2022-11-08 18:00:00,61.0,93.17,1.25,9.37,6.0,4.27,1.02,44.56,0.78,189.03,41.89,1010.6,33.68,0.0
2022-11-08 18:00:00,2022-11-08 19:00:00,73.1,130.21,1.35,9.39,6.09,4.43,1.19,68.32,0.72,180.28,0.71,1011.07,29.29,0.0
2022-11-08 19:00:00,2022-11-08 20:00:00,111.75,235.62,1.37,9.31,6.07,4.65,1.41,77.28,0.68,196.69,0.0,1011.68,27.64,0.0
2022-11-08 20:00:00,2022-11-08 21:00:00,117.38,221.27,1.27,9.45,6.06,4.52,1.41,83.69,0.47,176.75,0.0,1012.51,26.63,0.0
2022-11-08 21:00:00,2022-11-08 22:00:00,128.0,206.51,1.1,9.52,5.96,4.41,1.36,87.5,0.53,193.53,0.0,1012.88,26.12,0.13
2022-11-08 22:00:00,2022-11-08 23:00:00,130.9,198.45,1.24,9.37,5.99,4.17,1.36,89.54,0.27,195.9,0.0,1012.92,25.16,18.71
2022-11-08 23:00:00,2022-11-09 00:00:00,157.5,222.63,1.31,9.37,6.05,4.09,1.56,92.11,0.42,184.04,0.0,1012.83,24.71,
2022-11-09 00:00:00,2022-11-09 01:00:00,220.88,307.27,1.31,9.44,6.08,4.12,1.67,87.14,0.58,154.64,0.0,1012.69,24.91,28.88
2022-11-09 01:00:00,2022-11-09 02:00:00,253.31,351.35,1.23,9.54,6.07,4.52,1.91,82.53,0.38,216.52,0.0,1012.29,24.71,1.42
2022-11-09 02:00:00,2022-11-09 03:00:00,245.82,388.81,1.22,9.43,6.01,4.93,1.83,81.41,0.47,221.88,0.0,1011.76,24.48,0.0
2022-11-09 03:00:00,2022-11-09 04:00:00,233.93,374.52,1.4,9.3,6.08,4.9,1.7,81.81,0.42,132.68,0.0,1011.59,24.28,0.0
2022-11-09 04:00:00,2022-11-09 05:00:00,221.75,310.52,1.39,9.5,6.18,5.0,1.8,83.52,0.42,173.92,0.0,1011.52,23.94,0.0
2022-11-09 05:00:00,2022-11-09 06:00:00,220.92,316.83,1.29,9.47,6.08,4.72,1.71,89.45,0.4,237.11,0.0,1011.64,23.61,0.0
2022-11-09 06:00:00,2022-11-09 07:00:00,193.5,277.94,1.15,9.5,5.99,5.16,1.69,89.24,0.83,216.33,0.0,1012.27,22.92,0.0
2022-11-09 07:00:00,2022-11-09 08:00:00,239.25,334.53,1.32,9.44,6.1,5.41,1.72,85.03,0.69,214.9,32.44,1013.04,22.8,0.0
2022-11-09 08:00:00,2022-11-09 09:00:00,272.25,394.78,1.31,9.34,6.04,7.55,1.9,78.57,1.67,212.54,155.89,1013.79,24.46,0.0
2022-11-09 09:00:00,2022-11-09 10:00:00,237.5,360.97,1.37,9.43,6.13,7.41,1.77,70.01,1.09,183.16,289.06,1014.6,27.0,0.0
2022-11-09 10:00:00,2022-11-09 11:00:00,222.69,326.2,1.31,9.38,6.06,7.17,1.73,59.52,1.46,132.04,379.23,1014.92,29.94,0.0
2022-11-09 11:00:00,2022-11-09 12:00:00,201.18,284.53,1.49,9.38,6.2,5.53,1.29,49.7,1.67,123.76,445.97,1014.36,31.79,0.0
2022-11-09 12:00:00,2022-11-09 13:00:00,113.62,162.6,1.41,9.43,6.16,4.93,1.16,46.3,1.58,118.41,439.15,1013.37,33.11,0.0
2022-11-09 13:00:00,2022-11-09 14:00:00,99.0,139.81,1.21,9.46,6.01,5.33,0.95,42.2,2.4,175.01,394.89,1012.3,33.2,0.0
2022-11-09 14:00:00,2022-11-09 15:00:00,80.47,116.29,1.27,9.26,5.96,4.84,0.8,37.43,1.7,176.15,309.51,1011.41,34.12,0.0
2022-11-09 15:00:00,2022-11-09 16:00:00,58.55,79.97,1.26,9.42,6.03,4.54,0.8,37.81,1.26,134.86,172.58,1010.82,34.26,0.0
2022-11-09 16:00:00,2022-11-09 17:00:00,55.69,72.33,1.13,9.33,5.88,4.47,0.85,38.6,0.85,101.17,80.68,1010.53,34.33,0.0
2022-11-09 17:00:00,2022-11-09 18:00:00,56.89,83.5,1.33,9.41,6.08,4.42,1.04,43.71,0.68,83.34,27.91,1010.64,32.75,0.0
2022-11-09 18:00:00,2022-11-09 19:00:00,58.52,107.87,1.19,9.29,5.91,4.56,1.28,56.24,1.4,59.55,0.24,1011.15,30.47,0.0
2022-11-09 19:00:00,2022-11-09 20:00:00,102.55,154.57,1.23,9.37,5.98,4.6,1.48,61.08,1.02,57.16,0.0,1011.82,29.31,0.0
2022-11-09 20:00:00,2022-11-09 21:00:00,102.5,158.8,1.49,9.29,6.15,4.59,1.55,62.97,0.84,103.02,0.0,1012.66,28.57,0.0
2022-11-09 21:00:00,2022-11-09 22:00:00,116.72,151.3,1.27,9.41,6.03,4.42,1.53,67.19,0.76,99.15,0.0,1013.16,28.02,0.0
2022-11-09 22:00:00,2022-11-09 23:00:00,116.83,169.67,1.26,9.45,6.05,4.29,1.59,67.91,0.44,90.69,0.0,1013.28,27.27,0.0
2022-11-09 23:00:00,2022-11-10 00:00:00,110.97,159.9,1.37,9.36,6.09,4.24,1.56,67.13,0.45,169.03,0.0,1013.34,26.67,0.0
2022-11-10 00:00:00,2022-11-10 01:00:00,115.5,158.35,1.29,9.48,6.09,4.41,1.54,61.53,0.46,146.73,0.0,1013.07,26.81,0.0
2022-11-10 01:00:00,2022-11-10 02:00:00,116.13,171.33,1.42,9.34,6.13,4.29,1.36,61.5,0.48,137.32,0.0,1012.64,26.37,0.0
2022-11-10 02:00:00,2022-11-10 03:00:00,101.1,148.35,1.33,9.44,6.1,4.41,1.17,62.25,0.93,205.1,0.0,1012.26,26.04,0.0
2022-11-10 03:00:00,2022-11-10 04:00:00,97.0,129.93,1.28,9.45,6.07,4.98,1.09,66.44,0.67,164.18,0.0,1012.18,25.09,0.0
2022-11-10 04:00:00,2022-11-10 05:00:00,105.47,149.03,1.17,9.52,6.01,4.61,1.0,70.21,0.98,112.94,0.0,1012.44,24.39,0.0
2022-11-10 05:00:00,2022-11-10 06:00:00,89.75,127.09,1.31,9.45,6.09,4.33,0.95,72.99,1.06,47.78,0.0,1012.76,23.85,0.0
2022-11-10 06:00:00,2022-11-10 07:00:00,104.97,131.9,1.34,9.32,6.05,4.33,0.96,72.14,0.73,150.54,0.0,1013.28,23.59,0.0
2022-11-10 07:00:00,2022-11-10 08:00:00,108.97,134.9,1.33,9.39,6.08,4.44,1.05,71.72,0.53,122.99,38.11,1014.07,23.82,0.0
2022-11-10 08:00:00,2022-11-10 09:00:00,118.77,183.7,1.36,9.38,6.1,4.65,1.29,65.57,0.47,106.11,165.38,1014.76,26.8,0.0
2022-11-10 09:00:00,2022-11-10 10:00:00,143.14,229.67,1.4,9.4,6.14,5.17,1.43,58.44,1.88,180.04,303.76,1015.28,28.49,0.0
2022-11-10 10:00:00,2022-11-10 11:00:00,145.51,212.43,1.36,9.26,6.03,5.36,1.21,54.45,2.42,184.84,390.93,1015.59,29.58,0.0
2022-11-10 11:00:00,2022-11-10 12:00:00,118.13,174.23,1.43,9.29,6.1,4.95,1.06,49.66,2.65,166.88,450.34,1014.96,31.25,0.0
2022-11-10 12:00:00,2022-11-10 13:00:00,87.15,142.2,0.99,9.45,5.8,3.92,0.84,46.0,2.53,151.65,451.03,1013.93,32.52,0.0
2022-11-10 13:00:00,2022-11-10 14:00:00,40.25,103.23,1.3,9.44,6.08,3.83,0.84,42.58,2.11,121.34,405.36,1012.9,33.65,0.0
