From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Xylene (ug/m3)
2021-11-18 10:00:00,2021-11-18 11:00:00,,69.65,10.71,20.23,30.56,1.86,65.1,1.07,,,,,,,
2021-11-18 11:00:00,2021-11-18 12:00:00,,68.45,11.05,19.99,31.36,2.02,61.38,0.36,,,,,,,
2021-11-18 12:00:00,2021-11-18 13:00:00,,54.35,10.91,19.91,30.82,1.96,50.76,0.03,,,,,,,
2021-11-18 13:00:00,2021-11-18 14:00:00,,55.0,10.84,19.94,30.71,2.05,44.72,0.05,,,,,,,
2021-11-18 14:00:00,2021-11-18 15:00:00,,56.4,10.86,19.95,,1.95,39.49,0.07,,,,,,,
2021-11-18 15:00:00,2021-11-18 16:00:00,,53.6,10.88,20.08,30.94,2.03,14.87,0.04,,,,,,,
2021-11-18 16:00:00,2021-11-18 17:00:00,,52.7,10.95,19.93,30.88,1.93,9.57,0.33,,,,,,,
2021-11-18 17:00:00,2021-11-18 18:00:00,,55.4,11.09,19.73,31.11,2.05,5.82,0.66,,,,,,,
2021-11-18 18:00:00,2021-11-18 19:00:00,,68.25,10.89,19.69,30.39,1.99,2.01,0.59,,,,,,,
2021-11-18 19:00:00,2021-11-18 20:00:00,,,10.91,,30.84,1.99,,,,,,,,,
2021-11-18 20:00:00,2021-11-18 21:00:00,,93.8,10.97,19.96,30.52,2.02,0.69,1.7,,,,,,,
2021-11-18 21:00:00,2021-11-18 22:00:00,,108.2,11.72,20.81,31.74,2.3,2.93,1.48,,,,,,,
2021-11-18 22:00:00,2021-11-18 23:00:00,,109.6,10.95,19.74,30.78,2.08,6.8,1.19,,,,,,,
2021-11-18 23:00:00,2021-11-19 00:00:00,,,,,,,,,,,,,,,
2021-11-19 00:00:00,2021-11-19 01:00:00,,103.65,11.14,20.02,31.16,1.98,14.25,0.95,,,,,,,
2021-11-19 01:00:00,2021-11-19 02:00:00,,94.1,10.79,20.43,31.21,2.08,29.55,0.52,,,,,,,
2021-11-19 02:00:00,2021-11-19 03:00:00,,73.15,10.88,19.91,30.79,2.04,45.66,0.52,,,,,,,
2021-11-19 03:00:00,2021-11-19 04:00:00,,66.8,10.95,19.95,30.91,2.04,46.23,0.48,,,,,,,
2021-11-19 04:00:00,2021-11-19 05:00:00,,63.42,10.84,19.64,30.48,1.87,36.92,0.42,,,,,,,
2021-11-19 05:00:00,2021-11-19 06:00:00,,60.7,10.83,20.03,30.86,1.59,29.98,0.42,,,,,,,
2021-11-19 06:00:00,2021-11-19 07:00:00,,65.85,10.91,20.3,31.21,2.14,22.86,0.44,,,,,,,
2021-11-19 07:00:00,2021-11-19 08:00:00,,66.85,10.75,20.2,30.94,1.72,20.48,0.46,,,,,,,
2021-11-19 08:00:00,2021-11-19 09:00:00,,72.4,10.51,20.98,31.48,2.0,24.06,0.45,,,,,,,
2021-11-19 09:00:00,2021-11-19 10:00:00,,74.25,10.62,19.93,30.54,2.14,,0.63,,,,,,,
2021-11-19 10:00:00,2021-11-19 11:00:00,,71.2,10.93,19.79,30.71,1.46,,0.89,,,,,,,
2021-11-19 11:00:00,2021-11-19 12:00:00,,72.2,10.46,20.5,30.96,1.9,,0.53,,,,,,,
2021-11-19 12:00:00,2021-11-19 13:00:00,,67.45,10.8,19.73,30.52,2.02,,0.36,,,,,,,
2021-11-19 13:00:00,2021-11-19 14:00:00,,58.2,10.94,20.04,30.98,2.0,,0.2,,,,,,,
2021-11-19 14:00:00,2021-11-19 15:00:00,,65.4,10.98,20.08,31.06,1.98,,0.12,,,,,,,
2021-11-19 15:00:00,2021-11-19 16:00:00,,47.35,10.97,19.98,30.93,1.96,,0.1,,,,,,,
2021-11-19 16:00:00,2021-11-19 17:00:00,,46.1,10.91,19.91,30.81,1.97,,0.32,,,,,,,
2021-11-19 17:00:00,2021-11-19 18:00:00,,,,,,,,,,,,,,,
2021-11-19 18:00:00,2021-11-19 19:00:00,,57.6,10.96,20.0,30.96,1.97,,0.7,,,,,,,
2021-11-19 19:00:00,2021-11-19 20:00:00,,79.37,10.97,20.01,30.98,1.99,,0.43,,,,,,,
2021-11-19 20:00:00,2021-11-19 21:00:00,,84.1,10.92,20.01,30.94,1.98,,0.49,,,,,,,
2021-11-19 21:00:00,2021-11-19 22:00:00,,84.55,10.93,20.0,30.94,1.98,,0.48,,,,,,,
2021-11-19 22:00:00,2021-11-19 23:00:00,,84.1,10.86,20.08,30.94,1.98,,0.6,,,,,,,
2021-11-19 23:00:00,2021-11-20 00:00:00,,,,,,,,0.68,,,,,,,
2021-11-20 00:00:00,2021-11-20 01:00:00,,98.6,10.96,20.05,30.96,1.96,,0.45,,,,,,,
2021-11-20 01:00:00,2021-11-20 02:00:00,,88.9,10.95,19.93,28.87,2.02,,0.86,,,,,,,
2021-11-20 02:00:00,2021-11-20 03:00:00,,,,,30.89,,,,,,,,,,
2021-11-20 03:00:00,2021-11-20 04:00:00,,,,,,,,,,,,,,,
2021-11-20 04:00:00,2021-11-20 05:00:00,,,,,,,,,,,,,,,
2021-11-20 05:00:00,2021-11-20 06:00:00,,,,,,,,,,,,,,,
2021-11-20 06:00:00,2021-11-20 07:00:00,,,,,,,,,,,,,,,
2021-11-20 07:00:00,2021-11-20 08:00:00,,,,,,,,,,,,,,,
2021-11-20 08:00:00,2021-11-20 09:00:00,,,,,,,,,,,,,,,
2021-11-20 09:00:00,2021-11-20 10:00:00,,,,,,,,,,,,,,,
2021-11-20 10:00:00,2021-11-20 11:00:00,,,,,,,,,,,,,,,
2021-11-20 11:00:00,2021-11-20 12:00:00,,,,,,,,,,,,,,,
2021-11-20 12:00:00,2021-11-20 13:00:00,,,,,,,,,,,,,,,
2021-11-20 13:00:00,2021-11-20 14:00:00,,,,,,,,,,,,,,,
2021-11-20 14:00:00,2021-11-20 15:00:00,,,,,,,,,,,,,,,
2021-11-20 15:00:00,2021-11-20 16:00:00,,,,,,,,,,,,,,,
2021-11-20 16:00:00,2021-11-20 17:00:00,,,,,,,,,,,,,,,
2021-11-20 17:00:00,2021-11-20 18:00:00,,,,,,,,,,,,,,,
2021-11-20 18:00:00,2021-11-20 19:00:00,,,,,,,,,,,,,,,
2021-11-20 19:00:00,2021-11-20 20:00:00,,,,,,,,,,,,,,,
2021-11-20 20:00:00,2021-11-20 21:00:00,,,,,,,,,,,,,,,
2021-11-20 21:00:00,2021-11-20 22:00:00,,,,,,,,,,,,,,,
2021-11-20 22:00:00,2021-11-20 23:00:00,,,,,,,,,,,,,,,
2021-11-20 23:00:00,2021-11-21 00:00:00,,,,,,,,,,,,,,,
2021-11-21 00:00:00,2021-11-21 01:00:00,,,,,,,,,,,,,,,
2021-11-21 01:00:00,2021-11-21 02:00:00,,,,,,,,,,,,,,,
2021-11-21 02:00:00,2021-11-21 03:00:00,,,,,,,,,,,,,,,
2021-11-21 03:00:00,2021-11-21 04:00:00,,,,,,,,,,,,,,,
2021-11-21 04:00:00,2021-11-21 05:00:00,,,,,,,,,,,,,,,
2021-11-21 05:00:00,2021-11-21 06:00:00,,,,,,,,,,,,,,,
2021-11-21 06:00:00,2021-11-21 07:00:00,,,,,,,,,,,,,,,
2021-11-21 07:00:00,2021-11-21 08:00:00,,,,,,,,,,,,,,,
2021-11-21 08:00:00,2021-11-21 09:00:00,,,,,,,,,,,,,,,
2021-11-21 09:00:00,2021-11-21 10:00:00,,,,,,,,,,,,,,,
2021-11-21 10:00:00,2021-11-21 11:00:00,,,,,,,,,,,,,,,
2021-11-21 11:00:00,2021-11-21 12:00:00,,,,,,,,,,,,,,,
2021-11-21 12:00:00,2021-11-21 13:00:00,,,,,,,,,,,,,,,
2021-11-21 13:00:00,2021-11-21 14:00:00,,,,,,,,,,,,,,,
2021-11-21 14:00:00,2021-11-21 15:00:00,,,,,,,,,,,,,,,
2021-11-21 15:00:00,2021-11-21 16:00:00,,,,,,,,,,,,,,,
2021-11-21 16:00:00,2021-11-21 17:00:00,,,,,,,,,,,,,,,
2021-11-21 17:00:00,2021-11-21 18:00:00,,,,,,,,,,,,,,,
2021-11-21 18:00:00,2021-11-21 19:00:00,,,,,,,,,,,,,,,
2021-11-21 19:00:00,2021-11-21 20:00:00,,,,,,,,,,,,,,,
2021-11-21 20:00:00,2021-11-21 21:00:00,,,,,,,,,,,,,,,
2021-11-21 21:00:00,2021-11-21 22:00:00,,,,,,,,,,,,,,,
2021-11-21 22:00:00,2021-11-21 23:00:00,,,,,,,,,,,,,,,
2021-11-21 23:00:00,2021-11-22 00:00:00,,,,,,,,,,,,,,,
2021-11-22 00:00:00,2021-11-22 01:00:00,,,,,,,,,,,,,,,
2021-11-22 01:00:00,2021-11-22 02:00:00,,,,,,,,,,,,,,,
2021-11-22 02:00:00,2021-11-22 03:00:00,,,,,,,,,,,,,,,
2021-11-22 03:00:00,2021-11-22 04:00:00,,,,,,,,,,,,,,,
2021-11-22 04:00:00,2021-11-22 05:00:00,,,,,,,,,,,,,,,
2021-11-22 05:00:00,2021-11-22 06:00:00,,,,,,,,,,,,,,,
2021-11-22 06:00:00,2021-11-22 07:00:00,,,,,,,,,,,,,,,
2021-11-22 07:00:00,2021-11-22 08:00:00,,,,,,,,,,,,,,,
2021-11-22 08:00:00,2021-11-22 09:00:00,,,,,,,,,,,,,,,
2021-11-22 09:00:00,2021-11-22 10:00:00,,,,,,,,,,,,,,,
2021-11-22 10:00:00,2021-11-22 11:00:00,,,,,,,,,,,,,,,
2021-11-22 11:00:00,2021-11-22 12:00:00,,,,,,,,,,,,,,,
2021-11-22 12:00:00,2021-11-22 13:00:00,,,,,,,,,,,,,,,
2021-11-22 13:00:00,2021-11-22 14:00:00,,,,,,,,,,,,,,,
2021-11-22 14:00:00,2021-11-22 15:00:00,,,,,,,,,,,,,,,
2021-11-22 15:00:00,2021-11-22 16:00:00,,,,,,,,,,,,,,,
2021-11-22 16:00:00,2021-11-22 17:00:00,,,,,,,,,,,,,,,
2021-11-22 17:00:00,2021-11-22 18:00:00,,,,,,,,,,,,,,,
2021-11-22 18:00:00,2021-11-22 19:00:00,,,,,,,,,,,,,,,
2021-11-22 19:00:00,2021-11-22 20:00:00,,,,,,,,,,,,,,,
2021-11-22 20:00:00,2021-11-22 21:00:00,,,,,,,,,,,,,,,
2021-11-22 21:00:00,2021-11-22 22:00:00,,,,,,,,,,,,,,,
2021-11-22 22:00:00,2021-11-22 23:00:00,,,,,,,,,,,,,,,
2021-11-22 23:00:00,2021-11-23 00:00:00,,,,,,,,,,,,,,,
2021-11-23 00:00:00,2021-11-23 01:00:00,,,,,,,,,,,,,,,
2021-11-23 01:00:00,2021-11-23 02:00:00,,,,,,,,,,,,,,,
2021-11-23 02:00:00,2021-11-23 03:00:00,,,,,,,,,,,,,,,
2021-11-23 03:00:00,2021-11-23 04:00:00,,,,,,,,,,,,,,,
2021-11-23 04:00:00,2021-11-23 05:00:00,,,,,,,,,,,,,,,
2021-11-23 05:00:00,2021-11-23 06:00:00,,,,,,,,,,,,,,,
2021-11-23 06:00:00,2021-11-23 07:00:00,,,,,,,,,,,,,,,
2021-11-23 07:00:00,2021-11-23 08:00:00,,,,,,,,,,,,,,,
2021-11-23 08:00:00,2021-11-23 09:00:00,,,,,,,,,,,,,,,
2021-11-23 09:00:00,2021-11-23 10:00:00,,,,,,,,,,,,,,,
2021-11-23 10:00:00,2021-11-23 11:00:00,,,,,,,,,,,,,,,
2021-11-23 11:00:00,2021-11-23 12:00:00,,,,,,,,,,,,,,,
2021-11-23 12:00:00,2021-11-23 13:00:00,,,,,,,,,,,,,,,
2021-11-23 13:00:00,2021-11-23 14:00:00,,,,,,,,,,,,,,,
2021-11-23 14:00:00,2021-11-23 15:00:00,,,,,,,,,,,,,,,
2021-11-23 15:00:00,2021-11-23 16:00:00,,,,,,,,,,,,,,,
2021-11-23 16:00:00,2021-11-23 17:00:00,,,,,,,,,,,,,,,
2021-11-23 17:00:00,2021-11-23 18:00:00,,,,,,,,,,,,,,,
2021-11-23 18:00:00,2021-11-23 19:00:00,,,,,,,,,,,,,,,
2021-11-23 19:00:00,2021-11-23 20:00:00,,,,,,,,,,,,,,,
2021-11-23 20:00:00,2021-11-23 21:00:00,,,,,,,,,,,,,,,
2021-11-23 21:00:00,2021-11-23 22:00:00,,,,,,,,,,,,,,,
2021-11-23 22:00:00,2021-11-23 23:00:00,,,,,,,,,,,,,,,
2021-11-23 23:00:00,2021-11-24 00:00:00,,,,,,,,,,,,,,,
2021-11-24 00:00:00,2021-11-24 01:00:00,,,,,,,,,,,,,,,
2021-11-24 01:00:00,2021-11-24 02:00:00,,,,,,,,,,,,,,,
2021-11-24 02:00:00,2021-11-24 03:00:00,,,,,,,,,,,,,,,
2021-11-24 03:00:00,2021-11-24 04:00:00,,,,,,,,,,,,,,,
2021-11-24 04:00:00,2021-11-24 05:00:00,,,,,,,,,,,,,,,
2021-11-24 05:00:00,2021-11-24 06:00:00,,,,,,,,,,,,,,,
2021-11-24 06:00:00,2021-11-24 07:00:00,,,,,,,,,,,,,,,
2021-11-24 07:00:00,2021-11-24 08:00:00,,,,,,,,,,,,,,,
2021-11-24 08:00:00,2021-11-24 09:00:00,,,,,,,,,,,,,,,
2021-11-24 09:00:00,2021-11-24 10:00:00,,,,,,,,,,,,,,,
2021-11-24 10:00:00,2021-11-24 11:00:00,,,,,,,,,,,,,,,
2021-11-24 11:00:00,2021-11-24 12:00:00,,,,,,,,,,,,,,,
2021-11-24 12:00:00,2021-11-24 13:00:00,,,,,,,,,,,,,,,
2021-11-24 13:00:00,2021-11-24 14:00:00,,,,,,,,,,,,,,,
2021-11-24 14:00:00,2021-11-24 15:00:00,9.0,54.5,11.2,19.95,,1.85,16.94,0.36,,,,,,,
2021-11-24 15:00:00,2021-11-24 16:00:00,,,11.07,20.11,31.18,2.0,14.3,0.37,,,,,,,
2021-11-24 16:00:00,2021-11-24 17:00:00,,65.13,10.96,20.0,30.97,1.96,12.12,0.56,,,,,,,
2021-11-24 17:00:00,2021-11-24 18:00:00,,70.22,10.91,20.04,30.95,1.99,10.07,1.16,,,,,,,
2021-11-24 18:00:00,2021-11-24 19:00:00,,84.08,10.99,20.06,31.05,1.99,11.1,1.06,,,,,,,
2021-11-24 19:00:00,2021-11-24 20:00:00,,88.07,10.89,19.91,30.8,2.0,11.07,1.33,,,,,,,
2021-11-24 20:00:00,2021-11-24 21:00:00,,84.05,11.14,20.34,31.48,2.07,11.09,1.1,,,,,,,
2021-11-24 21:00:00,2021-11-24 22:00:00,,84.8,11.03,20.21,31.24,1.94,11.53,1.04,,,,,,,
2021-11-24 22:00:00,2021-11-24 23:00:00,,80.15,10.94,19.94,30.88,1.99,11.58,1.09,,,,,,,
2021-11-24 23:00:00,2021-11-25 00:00:00,,75.87,10.94,20.04,30.98,1.92,11.66,0.9,,,,,,,
2021-11-25 00:00:00,2021-11-25 01:00:00,,77.8,11.11,20.19,31.3,2.04,11.92,0.91,,,,,,,
2021-11-25 01:00:00,2021-11-25 02:00:00,,74.57,10.96,19.9,30.85,1.97,12.54,1.01,,,,,,,
2021-11-25 02:00:00,2021-11-25 03:00:00,,69.9,10.89,20.12,31.01,1.99,13.52,0.91,,,,,,,
2021-11-25 03:00:00,2021-11-25 04:00:00,,68.6,10.92,19.84,30.76,2.0,14.14,0.62,,,,,,,
2021-11-25 04:00:00,2021-11-25 05:00:00,,60.6,10.89,19.95,30.85,1.95,15.37,0.51,,,,,,,
2021-11-25 05:00:00,2021-11-25 06:00:00,,57.25,10.95,20.48,31.43,2.04,15.98,0.43,,,,,,,
2021-11-25 06:00:00,2021-11-25 07:00:00,,56.1,10.98,19.92,30.89,2.05,16.23,0.42,,,,,,,
2021-11-25 07:00:00,2021-11-25 08:00:00,,57.92,10.85,20.03,30.88,2.0,16.17,0.47,,,,,,,
2021-11-25 08:00:00,2021-11-25 09:00:00,,67.35,10.75,20.21,30.96,1.95,16.49,0.5,,,,,,,
2021-11-25 09:00:00,2021-11-25 10:00:00,,74.7,10.9,19.93,30.82,1.94,19.06,0.67,,,,,,,
2021-11-25 10:00:00,2021-11-25 11:00:00,,90.47,10.97,20.0,30.97,1.95,23.39,1.04,,,,,,,
2021-11-25 11:00:00,2021-11-25 12:00:00,,101.75,11.07,20.1,31.18,2.02,29.77,0.85,,,,,,,
2021-11-25 12:00:00,2021-11-25 13:00:00,,93.48,10.96,19.94,30.9,1.95,32.85,0.29,,,,,,,
2021-11-25 13:00:00,2021-11-25 14:00:00,,70.17,10.98,20.02,31.0,1.98,31.24,0.24,,,,,,,
2021-11-25 14:00:00,2021-11-25 15:00:00,,58.52,10.97,20.05,31.02,2.0,27.08,0.22,,,,,,,
2021-11-25 15:00:00,2021-11-25 16:00:00,,57.9,10.88,20.08,30.95,1.99,12.46,0.24,,,,,,,
2021-11-25 16:00:00,2021-11-25 17:00:00,,59.65,10.91,19.98,30.89,1.98,8.09,0.39,,,,,,,
2021-11-25 17:00:00,2021-11-25 18:00:00,22.36,63.8,10.93,20.04,30.98,1.94,5.89,0.55,,,,,,,
2021-11-25 18:00:00,2021-11-25 19:00:00,20.81,75.08,10.91,19.98,30.89,1.95,3.92,0.71,,,,,,,
2021-11-25 19:00:00,2021-11-25 20:00:00,13.34,81.12,10.92,19.95,30.87,2.0,2.87,0.93,,,,,,,
2021-11-25 20:00:00,2021-11-25 21:00:00,22.64,86.05,10.9,20.11,31.01,1.97,2.81,1.48,,,,,,,
2021-11-25 21:00:00,2021-11-25 22:00:00,23.85,98.42,11.24,20.3,31.54,2.1,3.37,1.8,,,,,,,
2021-11-25 22:00:00,2021-11-25 23:00:00,32.4,104.55,10.89,20.09,30.97,1.98,3.35,1.3,,,,,,,
2021-11-25 23:00:00,2021-11-26 00:00:00,42.68,100.9,10.93,20.02,30.94,1.96,3.92,1.06,,,,,,,
2021-11-26 00:00:00,2021-11-26 01:00:00,30.72,88.4,10.97,19.63,30.61,2.02,4.79,0.67,,,,,,,
2021-11-26 01:00:00,2021-11-26 02:00:00,32.55,74.45,11.22,20.89,32.11,2.15,5.3,0.75,,,,,,,
2021-11-26 02:00:00,2021-11-26 03:00:00,25.17,68.25,10.96,20.01,30.98,1.95,6.48,0.66,,,,,,,
2021-11-26 03:00:00,2021-11-26 04:00:00,20.64,63.52,10.92,19.94,30.85,2.01,7.95,0.52,,,,,,,
2021-11-26 04:00:00,2021-11-26 05:00:00,24.25,57.48,10.76,19.05,29.82,2.2,8.26,0.3,,,,,,,
2021-11-26 05:00:00,2021-11-26 06:00:00,24.72,53.62,10.96,19.76,30.73,2.0,7.96,0.18,,,,,,,
2021-11-26 06:00:00,2021-11-26 07:00:00,17.5,47.6,10.95,19.81,30.76,2.03,7.52,0.17,,,,,,,
2021-11-26 07:00:00,2021-11-26 08:00:00,17.2,51.5,10.82,19.73,30.55,2.07,6.93,0.15,,,,,,,
2021-11-26 08:00:00,2021-11-26 09:00:00,14.86,59.12,10.94,20.02,30.96,1.97,7.59,0.14,,,,,,,
2021-11-26 09:00:00,2021-11-26 10:00:00,19.94,57.6,10.99,20.03,31.03,1.94,6.28,0.14,,,,,,,
2021-11-26 10:00:00,2021-11-26 11:00:00,28.54,55.07,11.01,20.25,31.27,1.95,4.05,0.15,,,,,,,
2021-11-26 11:00:00,2021-11-26 12:00:00,23.02,49.77,10.54,20.23,30.77,1.74,3.9,0.12,,,,,,,
2021-11-26 12:00:00,2021-11-26 13:00:00,15.02,51.75,10.96,20.16,31.12,1.92,3.63,0.06,,,,,,,
2021-11-26 13:00:00,2021-11-26 14:00:00,20.54,45.12,11.04,20.16,31.2,1.99,2.29,0.02,,,,,,,
2021-11-26 14:00:00,2021-11-26 15:00:00,12.63,44.38,10.95,19.96,30.91,2.04,0.9,0.01,,,,,,,
2021-11-26 15:00:00,2021-11-26 16:00:00,17.96,44.62,11.13,20.23,31.36,2.05,14.69,0.04,,,,,,,
2021-11-26 16:00:00,2021-11-26 17:00:00,15.89,52.2,11.06,20.08,31.13,2.06,12.85,0.24,,,,,,,
2021-11-26 17:00:00,2021-11-26 18:00:00,12.55,62.93,10.96,20.08,31.05,1.93,11.71,0.32,,,,,,,
2021-11-26 18:00:00,2021-11-26 19:00:00,24.8,76.7,10.95,19.99,30.94,1.92,12.23,1.15,,,,,,,
2021-11-26 19:00:00,2021-11-26 20:00:00,24.05,100.7,10.96,19.99,30.95,1.98,13.56,1.69,,,,,,,
2021-11-26 20:00:00,2021-11-26 21:00:00,40.09,119.2,11.01,20.04,31.05,1.95,16.11,1.07,,,,,,,
2021-11-26 21:00:00,2021-11-26 22:00:00,45.31,120.53,10.99,20.07,31.06,2.0,23.32,1.75,,,,,,,
2021-11-26 22:00:00,2021-11-26 23:00:00,42.17,131.95,10.97,19.95,30.91,2.01,32.21,1.59,,,,,,,
2021-11-26 23:00:00,2021-11-27 00:00:00,49.25,138.57,10.98,19.99,30.97,2.05,36.01,1.01,,,,,,,
2021-11-27 00:00:00,2021-11-27 01:00:00,36.69,101.57,10.97,20.05,31.02,2.0,36.48,0.28,,,,,,,
2021-11-27 01:00:00,2021-11-27 02:00:00,33.52,81.78,10.84,19.95,30.8,1.93,34.69,0.03,,,,,,,
2021-11-27 02:00:00,2021-11-27 03:00:00,25.04,67.83,10.85,19.93,30.78,1.98,31.68,0.01,,,,,,,
2021-11-27 03:00:00,2021-11-27 04:00:00,20.29,62.0,10.89,20.1,30.99,1.96,28.27,0.0,,,,,,,
2021-11-27 04:00:00,2021-11-27 05:00:00,14.43,51.42,10.86,19.68,30.55,2.04,25.54,0.0,,,,,,,
2021-11-27 05:00:00,2021-11-27 06:00:00,23.32,48.05,,,,,23.4,0.0,,,,,,,
2021-11-27 06:00:00,2021-11-27 07:00:00,26.47,49.67,,,,,21.42,0.0,,,,,,,
2021-11-27 07:00:00,2021-11-27 08:00:00,24.26,48.72,,,,,19.95,0.0,,,,,,,
2021-11-27 08:00:00,2021-11-27 09:00:00,23.38,51.53,,,,,23.24,0.0,,,,,,,
2021-11-27 09:00:00,2021-11-27 10:00:00,21.45,61.6,,,,,32.84,0.02,,,,,,,
2021-11-27 10:00:00,2021-11-27 11:00:00,27.5,67.35,,,,,36.07,0.03,,,,,,,
2021-11-27 11:00:00,2021-11-27 12:00:00,14.89,69.25,,,,,36.84,0.17,,,,,,,
2021-11-27 12:00:00,2021-11-27 13:00:00,24.61,65.98,,,,,37.53,0.0,,,,,,,
2021-11-27 13:00:00,2021-11-27 14:00:00,20.29,59.73,,,,,35.4,0.0,,,,,,,
2021-11-27 14:00:00,2021-11-27 15:00:00,15.33,55.93,,,,,31.55,0.0,,,,,,,
