From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (),RH (%),WS (m/s),WD (degree),SR (W/mt2),VWS (m/s),Xylene (ug/m3),RF (mm),AT (degree C)
2022-04-05 10:00:00,2022-04-05 11:00:00,54.0,153.5,,24.77,,58.0,6.03,0.28,11.88,,,,,,30.1,55.75,0.93,253.0,206.0,,,0.0,29.2
2022-04-05 11:00:00,2022-04-05 12:00:00,66.5,157.5,,31.18,,60.55,6.12,0.28,21.32,,,,,,33.15,45.75,0.97,242.75,222.25,,,0.0,30.1
2022-04-05 12:00:00,2022-04-05 13:00:00,92.33,167.0,,48.5,9.55,57.45,5.88,0.21,27.7,,,,,,33.4,37.25,1.0,211.75,213.25,,,0.0,30.67
2022-04-05 13:00:00,2022-04-05 14:00:00,43.0,163.5,,50.3,9.55,56.17,7.2,0.17,33.98,,,,,,33.38,33.5,1.05,256.25,183.0,,,0.0,31.05
2022-04-05 14:00:00,2022-04-05 15:00:00,65.33,164.0,,46.23,8.05,54.3,10.2,0.12,40.52,,,,,,30.62,28.75,0.65,256.0,135.25,,,0.0,31.45
2022-04-05 15:00:00,2022-04-05 16:00:00,118.0,160.0,,34.77,1.75,51.9,11.6,0.1,37.83,,,,,,28.25,29.75,0.7,281.0,75.5,,,0.0,31.27
2022-04-05 16:00:00,2022-04-05 17:00:00,118.0,180.5,,31.7,1.8,52.7,11.02,0.15,30.45,,,,,,28.45,37.75,0.65,290.25,33.0,,,0.0,30.57
2022-04-05 17:00:00,2022-04-05 18:00:00,106.33,194.25,,35.9,2.87,52.97,14.47,0.24,22.8,,,,,,28.58,51.0,0.73,296.75,8.5,,,0.0,29.5
2022-04-05 18:00:00,2022-04-05 19:00:00,88.0,274.5,,55.97,13.55,53.62,20.58,0.76,14.0,,,,,,30.25,64.0,0.82,303.5,4.5,,,0.0,28.62
2022-04-05 19:00:00,2022-04-05 20:00:00,114.33,397.25,,77.1,26.02,55.22,26.07,1.54,8.8,,,,,,33.33,71.5,0.68,302.25,4.75,,,0.0,28.18
2022-04-05 20:00:00,2022-04-05 21:00:00,128.33,379.75,,60.33,15.97,50.25,17.0,0.62,7.1,,,,,,33.6,77.25,1.17,305.75,5.0,,,0.0,27.65
2022-04-05 21:00:00,2022-04-05 22:00:00,81.67,290.25,,46.33,7.68,46.0,11.78,,7.25,,,,,,33.6,83.25,1.3,307.75,5.0,,,0.0,27.3
2022-04-05 22:00:00,2022-04-05 23:00:00,60.67,216.25,,39.8,3.52,45.45,7.9,,6.85,,,,,,31.3,86.75,1.35,311.5,5.0,,,0.0,27.1
2022-04-05 23:00:00,2022-04-06 00:00:00,85.5,188.0,,32.98,0.47,37.7,5.9,1.02,3.42,,,,,,29.07,90.0,0.9,308.5,5.0,,,0.0,26.8
2022-04-06 00:00:00,2022-04-06 01:00:00,160.33,180.75,,25.77,,36.8,3.55,0.99,2.15,,,,,,29.05,94.25,0.9,297.25,5.25,,,0.0,26.4
2022-04-06 01:00:00,2022-04-06 02:00:00,133.0,168.0,,20.1,,38.2,2.8,1.12,2.9,,,,,,29.1,95.0,1.1,302.0,6.0,,,0.0,26.5
2022-04-06 02:00:00,2022-04-06 03:00:00,,,,19.45,0.0,41.0,3.3,1.11,2.2,,,,,,29.97,98.0,0.57,296.67,5.33,,,0.0,26.1
2022-04-06 03:00:00,2022-04-06 04:00:00,,,,28.77,0.1,50.73,5.47,1.17,1.5,,,,,,32.67,99.0,0.37,287.33,6.0,,,0.0,26.1
2022-04-06 04:00:00,2022-04-06 05:00:00,,,,1.6,,,,,1.5,,,,,,32.9,,0.4,178.0,6.0,,,0.0,25.7
2022-04-06 05:00:00,2022-04-06 06:00:00,53.0,,,47.65,12.32,47.4,4.47,1.18,2.6,,,,,,33.2,,0.7,292.0,8.0,,,0.0,25.8
2022-04-06 06:00:00,2022-04-06 07:00:00,53.25,119.0,,46.25,10.65,47.23,4.97,1.04,1.27,,,,,,32.15,,0.7,295.5,21.25,,,0.0,25.85
2022-04-06 07:00:00,2022-04-06 08:00:00,54.0,130.0,,37.32,6.35,40.45,5.38,0.77,2.65,,,,,,28.85,,0.7,274.25,56.0,,,0.0,26.1
2022-04-06 08:00:00,2022-04-06 09:00:00,66.0,135.0,,22.37,,38.77,6.77,0.5,6.1,,,,,,28.35,83.0,0.7,170.5,123.5,,,0.0,27.12
2022-04-06 09:00:00,2022-04-06 10:00:00,72.33,173.0,,32.15,1.05,41.15,32.25,0.51,8.68,,,,,,28.15,58.75,1.0,169.5,165.0,,,0.0,28.77
2022-04-06 10:00:00,2022-04-06 11:00:00,,,,23.9,0.0,29.7,,0.44,5.7,,,,,,28.9,41.0,1.1,259.0,202.0,,,0.0,30.1
2022-04-06 11:00:00,2022-04-06 12:00:00,,,,,,,,,2.4,,,,,,33.1,30.0,0.9,349.0,219.0,,,0.0,30.9
2022-04-06 12:00:00,2022-04-06 13:00:00,,,,24.6,0.0,37.5,8.6,1.0,29.1,,,,,,32.9,30.0,0.9,217.0,220.0,,,0.0,31.1
2022-04-06 13:00:00,2022-04-06 14:00:00,,,,38.5,10.0,37.53,9.4,1.06,25.95,,,,,,33.25,22.5,,,174.75,,,0.0,31.68
2022-04-06 14:00:00,2022-04-06 15:00:00,51.0,,,46.12,6.8,41.65,11.8,0.91,46.73,,,,,,32.35,19.5,,,132.0,,,0.0,31.8
2022-04-06 15:00:00,2022-04-06 16:00:00,61.25,137.0,5.87,69.92,36.27,33.88,16.6,0.71,48.27,,,,,,28.18,24.0,,,76.75,,,0.0,31.47
2022-04-06 16:00:00,2022-04-06 17:00:00,73.33,155.5,6.08,82.95,49.05,30.55,9.53,0.69,35.28,,,,,,28.33,25.5,,,34.25,,,0.0,30.95
2022-04-06 17:00:00,2022-04-06 18:00:00,53.0,205.75,9.4,107.83,65.0,31.0,21.57,1.4,20.82,,,,,,28.52,35.75,,,9.25,,,0.0,29.62
2022-04-06 18:00:00,2022-04-06 19:00:00,137.67,385.0,12.45,161.18,95.83,29.8,49.9,3.62,6.88,,,,,,29.17,51.75,,,5.0,,,0.0,28.58
2022-04-06 19:00:00,2022-04-06 20:00:00,219.67,658.5,12.35,138.77,83.88,25.7,37.1,3.11,8.0,,,,,,32.85,70.25,,,5.0,,,0.0,28.12
2022-04-06 20:00:00,2022-04-06 21:00:00,200.75,437.75,8.65,93.9,57.0,19.62,21.52,1.15,8.53,,,,,,33.52,80.25,,,5.0,,,0.0,27.5
2022-04-06 21:00:00,2022-04-06 22:00:00,195.33,291.25,6.33,77.5,46.4,18.78,14.6,0.23,8.7,,,,,,33.5,88.5,,,5.0,,,0.0,27.35
2022-04-06 22:00:00,2022-04-06 23:00:00,62.33,191.25,6.23,68.5,41.5,18.6,11.1,0.08,6.3,,,,,,32.85,95.5,,,5.25,,,0.0,26.97
2022-04-06 23:00:00,2022-04-07 00:00:00,55.0,140.0,6.7,65.7,40.4,18.65,7.63,0.88,4.63,,,,,,28.98,98.67,,,5.25,,,0.0,26.65
2022-04-07 00:00:00,2022-04-07 01:00:00,41.0,124.0,7.25,61.07,38.4,18.52,1.82,0.83,3.5,,,,,,29.08,98.5,,,5.0,,,0.0,26.62
2022-04-07 01:00:00,2022-04-07 02:00:00,40.67,109.0,5.9,58.88,36.12,18.65,1.88,0.69,2.7,,,,,,29.1,98.67,,,5.0,,,0.0,26.63
2022-04-07 02:00:00,2022-04-07 03:00:00,,97.0,6.8,58.0,36.4,18.9,2.9,0.3,,,,,,,29.1,97.0,,,6.0,,,0.0,26.9
2022-04-07 03:00:00,2022-04-07 04:00:00,,,6.28,54.45,34.05,17.83,6.1,0.89,1.9,,,,,,32.25,96.75,1.73,306.0,5.25,,,0.0,26.67
2022-04-07 04:00:00,2022-04-07 05:00:00,39.0,,7.0,66.88,41.27,19.27,7.22,1.35,0.53,,,,,,33.33,96.5,1.58,303.25,5.25,,,0.0,26.72
2022-04-07 05:00:00,2022-04-07 06:00:00,46.67,109.5,8.47,81.4,50.2,18.95,7.23,1.59,1.6,,,,,,33.5,97.5,1.37,305.75,9.0,,,0.0,26.7
2022-04-07 06:00:00,2022-04-07 07:00:00,59.75,138.0,8.93,87.97,54.05,18.7,7.97,1.62,1.47,,,,,,32.68,98.0,1.88,303.0,19.0,,,0.0,26.55
2022-04-07 07:00:00,2022-04-07 08:00:00,58.67,150.75,10.28,83.6,52.8,18.62,8.65,1.76,2.2,,,,,,28.85,94.0,2.1,306.25,41.75,,,0.0,26.88
2022-04-07 08:00:00,2022-04-07 09:00:00,69.67,165.0,8.53,68.97,43.63,18.53,10.83,1.66,3.9,,,,,,28.32,85.0,2.33,303.5,107.5,,,0.0,27.52
2022-04-07 09:00:00,2022-04-07 10:00:00,56.67,146.25,8.65,59.1,38.45,19.15,9.5,0.9,2.4,,,,,,28.2,76.25,1.97,291.75,162.75,,,0.0,28.2
2022-04-07 10:00:00,2022-04-07 11:00:00,47.33,137.0,5.07,34.88,22.7,18.73,8.68,1.35,5.63,,,,,,29.35,68.75,2.42,300.5,203.0,,,0.0,28.77
2022-04-07 11:00:00,2022-04-07 12:00:00,45.0,145.5,2.8,6.55,5.77,18.68,9.8,1.25,10.53,,,,,,32.83,62.25,2.0,295.5,215.5,,,0.0,29.4
2022-04-07 12:00:00,2022-04-07 13:00:00,43.0,152.0,2.85,6.5,5.75,18.7,9.8,1.21,13.5,,,,,,33.4,58.0,1.85,298.5,211.0,,,0.0,29.75
2022-04-07 13:00:00,2022-04-07 14:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-04-07 14:00:00,2022-04-07 15:00:00,,,2.3,4.2,2.05,,5.5,,7.05,,,,,,33.95,58.5,1.55,294.0,121.0,,,0.0,29.9
2022-04-07 15:00:00,2022-04-07 16:00:00,36.0,,2.9,7.72,6.47,19.2,8.88,1.04,15.25,,,,,,33.07,58.5,1.62,290.0,76.0,,,0.0,29.73
2022-04-07 16:00:00,2022-04-07 17:00:00,39.67,148.5,2.73,8.0,6.48,18.77,9.15,0.64,14.38,,,,,,28.43,61.0,1.45,293.25,32.0,,,0.0,29.33
2022-04-07 17:00:00,2022-04-07 18:00:00,74.75,163.25,2.75,7.45,6.17,18.78,10.45,0.64,11.43,,,,,,28.62,64.75,1.43,301.0,9.0,,,0.0,28.83
2022-04-07 18:00:00,2022-04-07 19:00:00,147.0,187.25,2.83,8.72,6.93,18.77,17.02,1.16,6.35,,,,,,28.7,71.0,1.12,300.75,4.0,,,0.0,28.15
2022-04-07 19:00:00,2022-04-07 20:00:00,126.67,272.5,2.9,8.62,6.95,18.65,14.9,1.1,4.12,,,,,,29.15,77.25,1.6,305.75,4.5,,,0.0,27.67
2022-04-07 20:00:00,2022-04-07 21:00:00,108.67,240.0,2.88,8.22,6.7,18.73,15.73,0.99,7.35,,,,,,32.5,79.0,2.28,309.0,5.0,,,0.0,27.52
2022-04-07 21:00:00,2022-04-07 22:00:00,61.0,172.25,2.72,7.53,6.25,18.62,11.9,0.55,4.75,,,,,,33.4,88.25,2.55,303.75,5.0,,,0.0,26.97
2022-04-07 22:00:00,2022-04-07 23:00:00,48.0,124.5,2.83,7.58,6.3,18.65,9.25,0.46,4.6,,,,,,33.48,92.25,2.23,308.0,5.5,,,0.0,26.52
2022-04-07 23:00:00,2022-04-08 00:00:00,42.0,103.0,2.88,7.7,6.43,18.55,8.2,0.52,4.92,,,,,,33.15,93.75,2.55,308.25,5.75,,,0.0,26.3
2022-04-08 00:00:00,2022-04-08 01:00:00,56.0,90.0,2.88,7.47,6.3,18.65,1.82,0.68,3.07,,,,,,29.0,95.75,2.52,308.25,5.25,,,0.0,26.25
2022-04-08 01:00:00,2022-04-08 02:00:00,37.0,89.5,2.8,7.05,6.03,18.62,2.87,0.52,2.45,,,,,,29.0,96.0,2.58,306.5,5.0,,,0.0,26.2
2022-04-08 02:00:00,2022-04-08 03:00:00,37.25,87.75,2.93,6.62,5.88,18.55,3.05,0.45,3.4,,,,,,28.98,97.0,2.5,306.25,5.0,,,0.0,26.2
2022-04-08 03:00:00,2022-04-08 04:00:00,37.5,89.0,2.83,6.2,5.6,18.75,3.72,0.54,5.6,,,,,,29.1,97.0,2.35,307.0,5.0,,,0.0,26.17
2022-04-08 04:00:00,2022-04-08 05:00:00,34.0,83.75,2.88,5.97,5.5,18.75,3.97,0.52,2.08,,,,,,32.27,96.25,2.28,306.75,6.0,,,0.0,26.1
2022-04-08 05:00:00,2022-04-08 06:00:00,33.75,78.5,2.93,6.22,5.67,18.65,3.58,0.77,2.62,,,,,,33.42,94.5,2.23,307.75,7.75,,,0.0,26.18
2022-04-08 06:00:00,2022-04-08 07:00:00,50.5,94.0,2.95,6.8,6.02,18.7,5.83,1.05,3.75,,,,,,33.4,91.5,2.2,304.75,18.25,,,0.0,26.3
2022-04-08 07:00:00,2022-04-08 08:00:00,41.0,86.0,2.95,7.6,6.45,18.6,7.08,1.11,3.03,,,,,,33.0,89.25,2.48,302.75,37.75,,,0.0,26.5
2022-04-08 08:00:00,2022-04-08 09:00:00,52.0,103.0,3.0,7.07,6.17,18.43,6.53,1.07,2.45,,,,,,28.17,83.0,2.25,304.5,92.75,,,0.0,27.18
2022-04-08 09:00:00,2022-04-08 10:00:00,49.67,113.75,2.75,6.1,5.45,19.1,4.55,0.46,5.03,,,,,,28.28,76.25,1.75,295.0,149.0,,,0.0,27.98
2022-04-08 10:00:00,2022-04-08 11:00:00,44.33,110.0,2.83,5.95,5.42,18.62,1.3,0.68,7.7,,,,,,28.65,69.25,1.55,284.25,190.25,,,0.0,28.6
2022-04-08 11:00:00,2022-04-08 12:00:00,,,2.9,4.4,4.7,14.3,,0.31,1.5,,,,,,29.35,61.5,1.2,272.0,203.0,,,0.0,29.35
2022-04-08 12:00:00,2022-04-08 13:00:00,,,2.9,5.5,5.3,17.4,5.2,1.58,14.1,,,,,,31.5,58.0,1.1,272.0,204.0,,,0.0,29.6
2022-04-08 13:00:00,2022-04-08 14:00:00,,,2.35,3.95,4.0,10.95,8.8,0.91,9.3,,,,,,33.33,49.67,1.13,307.67,170.67,,,0.0,30.3
2022-04-08 14:00:00,2022-04-08 15:00:00,40.0,,2.8,6.03,5.45,17.75,9.05,1.46,18.57,,,,,,33.27,47.75,1.15,275.0,131.25,,,0.0,30.52
2022-04-08 15:00:00,2022-04-08 16:00:00,39.33,121.0,2.7,6.28,5.53,18.58,10.9,1.55,20.6,,,,,,33.27,46.5,0.82,279.75,77.25,,,0.0,30.52
2022-04-08 16:00:00,2022-04-08 17:00:00,40.0,135.0,2.72,6.45,5.62,18.6,11.6,1.5,19.12,,,,,,28.55,51.5,1.2,298.0,34.5,,,0.0,30.1
2022-04-08 17:00:00,2022-04-08 18:00:00,69.0,173.5,2.7,6.47,5.67,18.7,12.25,1.54,13.5,,,,,,28.62,63.75,1.58,305.75,9.25,,,0.0,29.18
2022-04-08 18:00:00,2022-04-08 19:00:00,,232.0,2.7,7.1,6.0,18.8,15.0,1.69,9.9,,,,,,28.7,70.0,1.8,304.0,4.0,,,0.0,28.6
2022-04-08 19:00:00,2022-04-08 20:00:00,,,2.97,5.9,5.53,13.0,7.1,0.82,4.37,,,,,,29.07,82.5,2.67,306.5,4.25,,,0.0,27.67
2022-04-08 20:00:00,2022-04-08 21:00:00,140.0,,2.77,7.07,6.03,18.38,9.9,1.7,6.95,,,,,,32.23,87.5,2.68,306.75,5.0,,,0.0,27.25
2022-04-08 21:00:00,2022-04-08 22:00:00,111.0,144.25,2.7,6.7,5.72,18.65,8.88,1.5,6.55,,,,,,33.45,90.75,2.53,307.25,5.0,,,0.0,26.93
2022-04-08 22:00:00,2022-04-08 23:00:00,55.33,144.25,2.8,6.6,5.77,18.88,7.9,1.46,4.7,,,,,,33.5,92.75,2.83,308.75,5.5,,,0.0,26.62
2022-04-08 23:00:00,2022-04-09 00:00:00,56.67,136.25,2.83,7.03,6.0,18.6,7.1,1.32,4.33,,,,,,33.38,94.75,2.7,308.0,5.75,,,0.0,26.4
2022-04-09 00:00:00,2022-04-09 01:00:00,50.67,117.5,2.78,7.17,6.07,18.7,3.45,0.6,3.5,,,,,,29.08,95.0,3.0,309.5,5.0,,,0.0,26.4
2022-04-09 01:00:00,2022-04-09 02:00:00,49.67,116.25,2.78,6.52,5.72,18.68,4.47,0.46,4.75,,,,,,28.9,94.25,2.83,308.0,4.75,,,0.0,26.37
2022-04-09 02:00:00,2022-04-09 03:00:00,43.67,100.25,2.83,6.03,5.53,18.62,4.62,0.39,1.75,,,,,,28.95,93.75,2.62,305.0,4.75,,,0.0,26.23
2022-04-09 03:00:00,2022-04-09 04:00:00,41.0,92.0,2.75,6.0,5.43,18.65,4.15,0.37,4.27,,,,,,29.15,92.0,2.38,306.75,5.0,,,0.0,26.27
2022-04-09 04:00:00,2022-04-09 05:00:00,39.0,85.0,2.77,6.03,5.45,18.82,6.0,0.39,3.12,,,,,,32.42,90.5,2.53,306.0,5.25,,,0.0,26.2
2022-04-09 05:00:00,2022-04-09 06:00:00,35.25,73.0,2.82,6.0,5.47,18.52,6.25,0.38,3.67,,,,,,33.35,90.75,2.83,307.5,9.0,,,0.0,26.02
2022-04-09 06:00:00,2022-04-09 07:00:00,40.5,78.75,2.8,6.88,5.95,18.68,7.33,0.72,3.42,,,,,,33.4,91.25,2.7,307.25,28.25,,,0.0,26.05
2022-04-09 07:00:00,2022-04-09 08:00:00,55.0,98.0,3.0,7.58,6.47,18.65,10.45,0.81,3.1,,,,,,33.27,86.5,3.15,306.5,64.0,,,0.0,26.47
2022-04-09 08:00:00,2022-04-09 09:00:00,,108.0,2.9,7.6,6.4,18.3,11.0,0.43,,,,,,,28.0,79.0,3.1,306.0,99.0,,,0.0,27.1
2022-04-09 09:00:00,2022-04-09 10:00:00,,,2.73,5.58,5.18,13.07,8.75,0.85,4.53,,,,,,28.78,71.0,2.97,305.0,161.5,,,0.0,28.15
2022-04-09 10:00:00,2022-04-09 11:00:00,41.0,,2.75,6.32,5.6,18.57,9.05,1.42,9.75,,,,,,28.65,65.0,2.67,308.0,194.0,,,0.0,28.77
2022-04-09 11:00:00,2022-04-09 12:00:00,42.0,136.25,2.67,5.78,5.25,18.5,8.97,1.46,11.45,,,,,,28.65,60.5,2.33,301.5,205.0,,,0.0,29.3
2022-04-09 12:00:00,2022-04-09 13:00:00,43.33,139.5,2.75,5.72,5.3,18.7,10.02,1.53,18.68,,,,,,31.95,58.0,2.45,296.5,197.25,,,0.0,29.62
2022-04-09 13:00:00,2022-04-09 14:00:00,42.0,134.5,2.77,5.53,5.2,18.77,10.22,1.48,20.68,,,,,,33.2,58.75,2.25,293.25,168.0,,,0.0,29.7
2022-04-09 14:00:00,2022-04-09 15:00:00,42.0,137.0,2.77,5.43,5.17,18.53,9.97,1.44,18.8,,,,,,33.23,58.33,2.17,292.0,130.67,,,0.0,29.63
2022-04-09 15:00:00,2022-04-09 16:00:00,,,2.97,5.17,5.17,13.07,7.9,0.0,13.73,,,,,,32.97,60.0,2.47,301.67,71.0,,,0.0,29.4
2022-04-09 16:00:00,2022-04-09 17:00:00,42.0,,2.67,5.9,5.35,18.35,7.75,0.0,15.8,,,,,,28.5,62.75,2.4,302.5,35.25,,,0.0,29.08
2022-04-09 17:00:00,2022-04-09 18:00:00,41.67,166.25,2.78,5.9,5.4,18.65,9.15,0.0,12.65,,,,,,28.65,67.75,2.27,302.75,9.0,,,0.0,28.5
2022-04-09 18:00:00,2022-04-09 19:00:00,41.0,180.5,2.65,6.0,5.38,18.52,9.8,0.0,8.48,,,,,,28.7,75.25,2.38,300.0,4.0,,,0.0,27.88
2022-04-09 19:00:00,2022-04-09 20:00:00,,151.0,2.7,6.1,5.4,18.6,10.9,0.0,13.6,,,,,,28.8,78.0,3.1,304.0,4.0,,,0.0,27.6
2022-04-09 20:00:00,2022-04-09 21:00:00,,,2.4,5.53,4.9,13.63,7.1,0.78,4.0,,,,,,31.93,85.0,2.9,303.5,4.25,,,0.0,26.97
2022-04-09 21:00:00,2022-04-09 22:00:00,36.0,,2.8,6.38,5.65,18.32,6.33,1.5,6.17,,,,,,33.27,88.25,2.92,304.0,5.25,,,0.0,26.57
2022-04-09 22:00:00,2022-04-09 23:00:00,36.0,97.0,2.8,6.55,5.75,18.45,6.2,1.51,5.85,,,,,,33.3,89.0,2.8,307.0,5.0,,,0.0,26.4
2022-04-09 23:00:00,2022-04-10 00:00:00,,,,,0.0,,,,,,,,,,,,,,,,,,
2022-04-10 00:00:00,2022-04-10 01:00:00,,,2.97,5.73,5.43,16.67,7.03,0.81,6.62,,,,,,29.57,88.5,3.0,305.0,5.25,,,0.0,26.2
2022-04-10 01:00:00,2022-04-10 02:00:00,,,2.9,6.87,6.0,18.4,9.33,1.06,5.73,,,,,,28.9,87.67,2.5,301.67,5.0,,,0.0,26.07
2022-04-10 02:00:00,2022-04-10 03:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-04-10 03:00:00,2022-04-10 04:00:00,,,2.6,3.35,2.6,17.5,4.6,0.98,3.43,,,,,,29.23,85.67,2.37,311.0,5.33,,,0.0,25.9
2022-04-10 04:00:00,2022-04-10 05:00:00,,,2.73,6.68,5.78,17.85,7.08,1.21,6.0,,,,,,29.23,88.0,2.33,307.25,5.25,,,0.0,25.7
2022-04-10 05:00:00,2022-04-10 06:00:00,20.0,51.0,2.8,6.6,5.8,18.6,8.8,1.27,4.0,,,,,,31.6,88.0,1.5,300.0,6.0,,,0.0,25.6
2022-04-10 06:00:00,2022-04-10 07:00:00,,,,,,,,,,,,,,,,,,,,,,,
2022-04-10 07:00:00,2022-04-10 08:00:00,,,3.05,5.9,3.73,18.5,11.1,1.14,2.73,,,,,,33.17,83.0,2.9,306.25,47.25,,,0.0,26.1
2022-04-10 08:00:00,2022-04-10 09:00:00,36.0,,3.03,7.97,6.67,20.53,14.2,1.11,8.5,,,,,,33.33,76.5,3.02,303.75,104.0,,,0.0,26.88
2022-04-10 09:00:00,2022-04-10 10:00:00,,103.0,2.4,5.45,4.8,16.8,,0.0,7.3,,,,,,29.93,72.0,2.9,302.0,154.67,,,0.0,27.7
2022-04-10 10:00:00,2022-04-10 11:00:00,38.0,,3.0,6.22,5.78,17.88,7.78,0.0,9.8,,,,,,28.5,68.25,2.95,311.0,185.75,,,0.0,28.5
2022-04-10 11:00:00,2022-04-10 12:00:00,37.0,158.75,2.75,6.12,5.53,18.6,9.57,0.0,10.52,,,,,,28.58,65.75,3.05,302.75,189.0,,,0.0,28.8
2022-04-10 12:00:00,2022-04-10 13:00:00,33.67,155.0,2.65,5.52,5.1,18.62,6.38,0.0,11.77,,,,,,28.52,64.5,2.73,298.0,192.0,,,0.0,28.95
2022-04-10 13:00:00,2022-04-10 14:00:00,30.67,130.75,2.7,5.2,4.95,18.93,6.5,0.0,16.88,,,,,,31.07,60.25,2.28,299.75,166.5,,,0.0,29.38
2022-04-10 14:00:00,2022-04-10 15:00:00,30.33,128.25,2.65,5.25,4.93,18.52,7.73,0.0,19.27,,,,,,33.0,59.25,1.98,299.0,122.5,,,0.0,29.48
2022-04-10 15:00:00,2022-04-10 16:00:00,31.0,123.0,2.75,5.23,5.0,18.65,8.03,0.0,18.78,,,,,,33.12,63.75,1.9,290.75,74.75,,,0.0,29.12
2022-04-10 16:00:00,2022-04-10 17:00:00,32.0,115.75,2.73,5.5,5.15,18.7,10.92,0.0,17.43,,,,,,33.23,67.75,2.45,300.0,34.75,,,0.0,28.65
2022-04-10 17:00:00,2022-04-10 18:00:00,33.67,126.75,2.83,6.03,5.5,18.38,10.1,0.0,16.0,,,,,,29.68,74.0,2.45,301.25,9.5,,,0.0,28.07
2022-04-10 18:00:00,2022-04-10 19:00:00,52.5,136.5,2.72,6.17,5.5,18.52,7.97,0.0,6.35,,,,,,28.85,81.75,3.05,300.5,4.75,,,0.0,27.12
