From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),RF (mm)
2023-01-19 03:00:00,2023-01-19 04:00:00,53.93,136.31,20.52,57.82,48.09,18.05,3.13,1.79,5.02,0.1,95.44,0.17,219.71,34.38,20.39,0.0
2023-01-19 04:00:00,2023-01-19 05:00:00,54.71,134.36,46.28,65.7,72.87,12.57,1.97,1.82,4.58,0.15,96.34,0.18,279.72,34.4,20.43,0.0
2023-01-19 05:00:00,2023-01-19 06:00:00,52.5,135.09,39.52,56.76,62.78,16.79,0.55,1.82,4.63,0.1,96.69,0.15,132.73,34.27,19.22,0.0
2023-01-19 06:00:00,2023-01-19 07:00:00,57.31,131.64,54.1,66.83,79.74,13.45,5.75,2.07,5.61,0.1,96.66,0.15,233.87,35.62,18.2,0.0
2023-01-19 07:00:00,2023-01-19 08:00:00,68.97,155.12,56.56,66.19,81.37,14.79,6.28,2.06,4.81,0.1,96.5,0.14,213.5,48.95,17.84,0.0
2023-01-19 08:00:00,2023-01-19 09:00:00,60.61,212.88,14.89,61.23,45.36,26.39,7.42,1.86,10.75,0.1,89.16,0.26,211.06,66.6,20.68,0.0
2023-01-19 09:00:00,2023-01-19 10:00:00,43.56,94.92,3.83,34.42,22.49,30.82,23.21,1.76,44.58,0.1,70.63,0.36,164.35,74.33,25.31,0.0
2023-01-19 10:00:00,2023-01-19 11:00:00,48.77,79.52,3.02,31.06,20.08,28.32,61.27,1.97,62.78,2.24,64.02,0.33,148.52,86.15,30.67,0.0
2023-01-19 11:00:00,2023-01-19 12:00:00,49.64,116.47,4.26,48.72,30.3,24.79,,2.18,62.74,3.76,60.55,0.4,144.7,98.78,31.0,0.0
2023-01-19 12:00:00,2023-01-19 13:00:00,49.17,140.77,19.64,106.94,73.06,17.31,15.03,1.85,51.4,5.2,57.55,0.42,278.46,93.78,31.22,0.0
2023-01-19 13:00:00,2023-01-19 14:00:00,62.74,139.57,13.25,108.68,68.84,17.15,,1.74,69.69,1.59,54.7,0.47,160.84,131.25,30.4,0.0
2023-01-19 14:00:00,2023-01-19 15:00:00,71.15,103.55,4.1,64.85,38.6,23.04,,1.6,82.25,0.74,53.58,0.63,90.09,109.1,32.2,0.0
2023-01-19 15:00:00,2023-01-19 16:00:00,73.57,108.72,3.78,67.09,39.51,21.14,,1.49,80.22,0.53,51.2,0.69,259.86,74.15,33.8,0.0
2023-01-19 16:00:00,2023-01-19 17:00:00,80.82,86.4,3.1,62.92,36.8,20.84,,1.49,74.39,0.48,54.28,0.36,253.63,49.5,32.62,0.0
2023-01-19 17:00:00,2023-01-19 18:00:00,,86.53,2.98,65.83,38.22,19.69,79.48,1.53,52.12,0.67,65.16,0.2,227.07,35.85,30.03,0.0
2023-01-19 18:00:00,2023-01-19 19:00:00,,108.74,2.84,51.92,30.84,19.88,62.36,1.55,47.91,1.19,78.19,0.24,146.64,34.52,26.68,0.0
2023-01-19 19:00:00,2023-01-19 20:00:00,,95.32,5.75,70.74,43.01,17.11,38.77,1.72,23.77,1.74,84.77,0.21,125.91,34.33,26.01,0.0
2023-01-19 20:00:00,2023-01-19 21:00:00,37.83,114.64,2.74,37.81,23.39,21.27,31.36,1.62,27.58,2.09,90.75,0.28,133.2,34.2,23.64,0.0
2023-01-19 21:00:00,2023-01-19 22:00:00,50.55,71.28,2.62,27.81,18.06,20.11,30.59,1.64,31.61,2.41,91.24,0.24,135.49,34.17,22.76,0.0
2023-01-19 22:00:00,2023-01-19 23:00:00,50.31,72.31,7.9,59.53,38.87,15.97,21.61,1.61,15.5,2.04,91.4,0.16,84.64,34.2,22.85,0.0
2023-01-19 23:00:00,2023-01-20 00:00:00,51.73,96.75,4.14,39.46,25.37,19.21,16.62,1.65,21.43,1.14,92.69,0.27,121.34,34.2,22.54,0.0
2023-01-20 00:00:00,2023-01-20 01:00:00,34.22,90.41,4.19,36.46,23.84,20.17,19.41,1.12,17.01,0.87,93.19,0.15,222.8,34.33,22.02,0.0
2023-01-20 01:00:00,2023-01-20 02:00:00,15.01,81.72,6.13,45.38,30.06,20.81,12.78,1.1,7.52,0.1,95.56,0.23,142.03,34.42,20.39,0.0
2023-01-20 02:00:00,2023-01-20 03:00:00,40.14,94.88,11.5,45.54,34.45,18.02,7.36,1.12,9.22,0.1,96.32,0.23,233.99,34.35,20.03,0.0
2023-01-20 03:00:00,2023-01-20 04:00:00,49.16,102.13,19.94,53.03,45.13,16.55,3.17,1.13,5.12,0.11,96.53,0.25,68.11,34.48,19.35,0.0
2023-01-20 04:00:00,2023-01-20 05:00:00,37.97,115.86,19.41,42.49,39.2,19.62,0.08,1.1,5.15,0.12,97.05,0.2,209.14,34.4,18.08,0.0
2023-01-20 05:00:00,2023-01-20 06:00:00,25.27,84.08,35.78,48.9,55.68,15.1,,1.16,5.14,0.11,97.35,0.15,175.6,34.3,17.85,0.0
2023-01-20 06:00:00,2023-01-20 07:00:00,47.83,105.89,62.16,71.22,88.5,7.95,8.42,1.22,5.26,0.15,97.33,0.1,142.07,35.85,17.94,0.0
2023-01-20 07:00:00,2023-01-20 08:00:00,42.0,187.63,70.81,75.41,97.62,10.99,8.94,1.41,5.68,0.12,97.07,0.21,86.74,51.5,19.16,0.0
2023-01-20 08:00:00,2023-01-20 09:00:00,63.96,181.62,10.97,40.86,31.58,29.25,12.44,1.67,20.39,0.1,88.23,0.32,99.88,71.32,23.56,0.0
2023-01-20 09:00:00,2023-01-20 10:00:00,77.55,140.06,4.11,37.8,24.48,29.25,37.69,1.49,41.78,0.14,74.26,0.33,119.8,71.17,25.09,0.0
2023-01-20 10:00:00,2023-01-20 11:00:00,44.29,91.69,3.54,33.44,21.74,27.91,77.39,1.52,63.35,1.84,67.56,0.45,179.02,85.55,28.58,0.0
2023-01-20 11:00:00,2023-01-20 12:00:00,40.88,100.55,3.65,39.91,25.21,25.98,,1.45,74.41,2.87,62.43,0.24,165.12,95.8,31.88,0.0
2023-01-20 12:00:00,2023-01-20 13:00:00,47.6,101.09,3.27,33.86,21.74,25.02,12.36,1.21,88.96,1.96,58.98,0.38,278.28,86.8,32.69,0.0
2023-01-20 13:00:00,2023-01-20 14:00:00,44.97,92.7,4.65,74.88,44.28,21.32,,1.07,81.67,1.13,54.61,0.27,168.95,70.7,31.77,0.0
2023-01-20 14:00:00,2023-01-20 15:00:00,46.18,101.23,4.32,74.86,44.01,20.45,,1.06,80.45,0.71,50.71,0.35,101.99,60.88,32.43,0.0
2023-01-20 15:00:00,2023-01-20 16:00:00,49.34,102.66,2.94,25.89,17.32,24.92,,0.95,99.74,0.54,45.13,0.47,155.31,66.7,33.53,0.0
2023-01-20 16:00:00,2023-01-20 17:00:00,50.55,88.18,4.02,46.35,28.87,20.75,,0.94,77.76,0.4,48.8,0.27,67.14,50.07,34.32,0.0
2023-01-20 17:00:00,2023-01-20 18:00:00,33.19,75.52,2.86,38.93,24.06,22.47,73.9,0.93,68.75,0.56,61.24,0.21,138.24,36.27,30.1,0.0
2023-01-20 18:00:00,2023-01-20 19:00:00,41.67,71.0,4.9,55.89,34.56,18.3,53.0,1.09,46.79,1.29,75.02,0.22,82.21,34.55,27.2,0.0
2023-01-20 19:00:00,2023-01-20 20:00:00,47.06,92.15,8.0,80.48,49.89,15.54,38.68,1.33,19.29,3.27,84.2,0.19,114.0,34.48,25.11,0.0
2023-01-20 20:00:00,2023-01-20 21:00:00,55.69,114.09,3.06,37.08,23.26,23.39,30.76,1.16,31.77,2.94,88.49,0.2,149.61,34.3,24.32,0.0
2023-01-20 21:00:00,2023-01-20 22:00:00,36.12,89.18,9.56,65.47,43.31,19.05,23.05,1.25,17.44,2.49,91.3,0.17,160.07,34.3,23.27,0.0
2023-01-20 22:00:00,2023-01-20 23:00:00,41.97,93.0,14.43,62.08,45.45,18.05,13.12,1.26,19.37,2.57,92.92,0.27,52.78,34.23,22.75,0.0
2023-01-20 23:00:00,2023-01-21 00:00:00,49.71,99.94,7.11,43.76,30.0,22.32,9.74,1.26,14.62,2.48,94.08,0.14,197.09,34.3,22.38,0.0
2023-01-21 00:00:00,2023-01-21 01:00:00,50.36,100.11,4.68,34.72,23.33,24.79,17.31,1.18,16.26,1.39,95.13,0.17,228.45,34.35,22.57,0.0
2023-01-21 01:00:00,2023-01-21 02:00:00,39.62,77.48,7.34,42.02,29.27,21.66,15.07,1.26,12.03,0.12,95.97,0.16,202.15,34.42,21.48,0.0
2023-01-21 02:00:00,2023-01-21 03:00:00,45.47,79.36,8.36,34.94,26.39,19.44,8.45,1.21,7.51,0.14,96.06,0.16,164.94,34.4,20.97,0.0
2023-01-21 03:00:00,2023-01-21 04:00:00,33.22,72.08,14.54,38.27,33.09,18.26,4.23,1.22,5.37,0.1,96.1,0.14,199.78,34.45,20.49,0.0
2023-01-21 04:00:00,2023-01-21 05:00:00,20.33,61.44,12.41,31.69,27.94,20.27,1.88,1.32,5.87,0.1,96.72,0.19,203.95,34.45,19.55,0.0
2023-01-21 05:00:00,2023-01-21 06:00:00,9.99,49.51,12.53,35.06,29.8,19.78,0.08,1.29,5.89,0.14,97.32,0.3,250.39,34.35,17.09,0.0
2023-01-21 06:00:00,2023-01-21 07:00:00,,,6.34,26.51,20.37,18.73,4.55,1.29,5.24,0.1,97.79,0.25,173.5,35.95,17.02,0.0
2023-01-21 07:00:00,2023-01-21 08:00:00,,38.97,20.44,38.17,37.77,16.14,4.67,1.41,5.22,0.1,98.0,0.22,235.32,51.62,18.67,0.0
2023-01-21 08:00:00,2023-01-21 09:00:00,0.4,44.95,31.91,58.05,57.35,14.26,8.31,1.57,6.6,0.1,96.72,0.26,275.05,77.35,22.43,0.0
2023-01-21 09:00:00,2023-01-21 10:00:00,9.35,58.23,8.17,47.66,32.88,21.55,26.93,1.54,35.39,0.33,78.8,0.36,252.15,66.0,25.28,0.0
2023-01-21 10:00:00,2023-01-21 11:00:00,54.69,80.6,3.67,34.07,22.18,22.21,78.53,1.57,70.02,1.74,64.55,0.33,227.42,78.28,29.14,0.0
2023-01-21 11:00:00,2023-01-21 12:00:00,71.09,90.62,3.94,41.89,26.48,21.25,,1.34,81.58,3.1,57.98,0.61,93.24,88.83,32.7,0.0
2023-01-21 12:00:00,2023-01-21 13:00:00,16.5,93.56,7.09,90.97,54.64,15.64,23.53,1.19,73.58,1.97,49.57,0.41,226.98,83.35,34.48,0.0
2023-01-21 13:00:00,2023-01-21 14:00:00,33.51,91.28,2.93,26.41,17.58,22.77,88.14,0.94,107.16,0.58,38.88,0.62,177.83,140.53,35.69,0.0
2023-01-21 14:00:00,2023-01-21 15:00:00,42.3,86.82,3.03,36.3,22.83,19.12,,1.0,97.86,0.15,36.9,0.49,166.59,123.3,36.17,0.0
2023-01-21 15:00:00,2023-01-21 16:00:00,34.23,80.82,2.93,30.34,19.63,19.45,,0.8,100.11,0.11,34.69,0.55,305.39,81.2,37.48,0.0
2023-01-21 16:00:00,2023-01-21 17:00:00,38.7,72.31,2.6,27.69,17.99,19.43,,0.79,89.44,0.11,39.09,0.32,162.18,52.15,36.05,0.0
2023-01-21 17:00:00,2023-01-21 18:00:00,40.35,70.54,3.18,52.97,31.66,18.18,52.11,0.87,45.83,0.15,50.07,0.14,250.51,36.4,32.32,0.0
2023-01-21 18:00:00,2023-01-21 19:00:00,31.47,75.7,3.77,48.2,29.64,18.44,31.95,0.99,48.18,0.86,65.22,0.24,114.5,34.65,28.91,0.0
2023-01-21 19:00:00,2023-01-21 20:00:00,37.0,79.08,3.17,44.65,27.3,18.83,29.02,0.94,32.48,1.55,78.75,0.25,123.91,34.55,26.26,0.0
2023-01-21 20:00:00,2023-01-21 21:00:00,26.54,76.31,3.32,47.24,28.78,20.64,24.09,1.0,24.98,2.2,83.9,0.2,117.58,34.38,25.73,0.0
2023-01-21 21:00:00,2023-01-21 22:00:00,14.26,77.56,12.48,62.49,44.1,18.0,15.82,1.02,18.01,2.53,85.26,0.32,137.54,34.12,23.31,0.0
2023-01-21 22:00:00,2023-01-21 23:00:00,33.45,81.46,2.87,29.37,19.08,21.0,11.71,0.9,29.1,1.01,83.81,0.12,118.64,34.17,23.03,0.0
2023-01-21 23:00:00,2023-01-22 00:00:00,27.75,73.61,5.97,31.13,22.48,19.66,8.21,0.91,19.25,0.73,88.42,0.18,258.62,34.25,21.83,0.0
2023-01-22 00:00:00,2023-01-22 01:00:00,21.87,73.51,22.15,70.8,56.18,13.81,7.11,1.0,5.41,0.83,92.45,0.14,146.93,34.3,22.17,0.0
2023-01-22 01:00:00,2023-01-22 02:00:00,32.29,89.06,10.14,47.55,34.41,22.3,1.94,0.98,6.45,0.1,94.09,0.11,190.8,34.27,20.32,0.0
2023-01-22 02:00:00,2023-01-22 03:00:00,27.73,86.97,11.97,41.3,32.61,20.92,,0.99,6.14,0.15,94.44,0.2,157.53,34.15,19.72,0.0
2023-01-22 03:00:00,2023-01-22 04:00:00,32.07,89.77,7.32,35.18,25.68,21.66,,1.03,9.03,0.1,94.28,0.19,129.34,34.1,19.68,0.0
2023-01-22 04:00:00,2023-01-22 05:00:00,18.07,86.31,16.71,46.41,39.08,20.01,,0.99,6.28,0.15,94.64,0.18,323.79,34.35,20.22,0.0
2023-01-22 05:00:00,2023-01-22 06:00:00,15.27,83.2,26.72,47.73,47.79,17.59,,1.05,4.92,0.1,95.97,0.23,140.49,34.27,19.59,0.0
2023-01-22 06:00:00,2023-01-22 07:00:00,33.36,78.46,15.8,37.25,33.56,21.26,2.02,0.97,5.16,0.1,95.91,0.18,211.43,35.88,19.19,0.0
2023-01-22 07:00:00,2023-01-22 08:00:00,30.06,87.55,26.1,41.52,44.06,18.45,2.4,1.07,5.14,0.12,95.41,0.17,247.42,51.83,21.1,0.0
2023-01-22 08:00:00,2023-01-22 09:00:00,28.71,88.36,10.57,61.05,41.8,21.06,15.27,1.67,21.77,0.1,82.94,0.32,64.38,71.52,24.55,0.0
2023-01-22 09:00:00,2023-01-22 10:00:00,27.42,89.54,4.54,52.48,32.49,24.01,55.69,1.9,53.3,0.1,65.95,0.22,116.55,64.38,26.59,0.0
2023-01-22 10:00:00,2023-01-22 11:00:00,38.2,91.5,2.94,23.28,15.95,24.5,,1.12,80.1,4.39,50.73,0.32,217.8,76.47,31.47,0.0
2023-01-22 11:00:00,2023-01-22 12:00:00,43.89,84.29,2.72,15.18,11.54,22.08,,0.93,86.49,1.66,43.71,0.48,253.55,87.6,33.45,0.0
2023-01-22 12:00:00,2023-01-22 13:00:00,31.7,73.74,2.78,20.93,14.6,20.66,31.76,0.88,96.5,0.73,38.04,0.53,198.84,81.25,34.72,0.0
2023-01-22 13:00:00,2023-01-22 14:00:00,22.19,61.47,2.61,14.16,10.92,20.35,39.35,0.76,100.72,0.15,33.07,0.6,189.25,144.25,34.43,0.0
2023-01-22 14:00:00,2023-01-22 15:00:00,32.89,56.72,2.59,11.89,9.72,18.63,,0.7,102.33,0.1,31.11,0.52,202.41,140.48,34.98,0.0
2023-01-22 15:00:00,2023-01-22 16:00:00,29.84,51.88,2.53,11.08,9.25,15.37,74.82,0.7,99.25,0.1,32.37,0.38,205.88,79.03,34.84,0.0
2023-01-22 16:00:00,2023-01-22 17:00:00,30.36,49.75,2.53,12.42,9.95,14.04,67.38,0.7,81.56,0.1,37.57,0.27,187.6,51.55,33.02,0.0
2023-01-22 17:00:00,2023-01-22 18:00:00,26.42,44.58,2.58,18.88,13.37,15.31,46.95,0.72,58.47,0.15,47.72,0.12,168.27,36.4,31.04,0.0
2023-01-22 18:00:00,2023-01-22 19:00:00,35.25,49.38,5.14,48.59,30.94,13.9,18.93,1.01,42.57,0.61,59.84,0.39,63.24,34.58,27.87,0.0
2023-01-22 19:00:00,2023-01-22 20:00:00,35.6,76.98,3.0,47.27,28.54,15.64,16.87,0.97,38.84,2.23,68.44,0.21,104.36,34.3,25.96,0.0
2023-01-22 20:00:00,2023-01-22 21:00:00,47.6,79.03,4.34,40.78,26.22,16.81,14.21,0.87,35.14,1.34,75.55,0.15,171.24,34.3,24.74,0.0
2023-01-22 21:00:00,2023-01-22 22:00:00,34.49,72.48,6.0,58.5,36.81,17.7,6.83,0.89,24.04,0.84,80.45,0.15,194.23,34.03,22.48,0.0
2023-01-22 22:00:00,2023-01-22 23:00:00,21.48,78.14,3.62,30.94,20.49,17.93,5.54,0.87,30.18,1.1,81.95,0.26,109.1,34.15,21.57,0.0
2023-01-22 23:00:00,2023-01-23 00:00:00,20.52,67.71,3.12,26.15,17.6,16.81,1.8,0.9,22.14,1.52,86.44,0.11,156.23,34.17,20.1,0.0
2023-01-23 00:00:00,2023-01-23 01:00:00,31.28,65.87,8.08,41.17,29.42,16.57,11.22,0.83,13.93,0.41,89.09,0.11,208.53,34.12,19.48,0.0
2023-01-23 01:00:00,2023-01-23 02:00:00,40.76,67.37,5.64,30.85,22.08,20.4,10.62,0.88,15.7,0.15,90.79,0.17,84.22,34.17,18.97,0.0
2023-01-23 02:00:00,2023-01-23 03:00:00,28.88,65.96,17.59,42.99,38.0,17.54,5.65,1.03,5.42,0.19,93.46,0.19,185.11,34.2,18.3,0.0
2023-01-23 03:00:00,2023-01-23 04:00:00,34.55,73.12,30.57,49.25,51.68,13.86,2.64,1.08,5.37,0.14,95.16,0.21,96.17,34.15,18.3,0.0
2023-01-23 04:00:00,2023-01-23 05:00:00,39.52,80.48,14.0,30.7,28.7,21.03,0.26,1.07,6.71,0.1,95.52,0.18,121.9,34.27,16.98,0.0
2023-01-23 05:00:00,2023-01-23 06:00:00,46.88,63.64,21.67,38.55,38.95,18.41,,1.02,5.05,0.1,96.03,0.12,174.0,34.2,16.61,0.0
2023-01-23 06:00:00,2023-01-23 07:00:00,34.32,70.9,55.48,58.27,76.37,10.06,4.14,1.08,4.71,0.21,96.17,0.16,187.66,35.9,15.9,0.0
2023-01-23 07:00:00,2023-01-23 08:00:00,37.87,87.53,31.91,42.76,49.36,17.91,3.57,1.11,5.95,0.1,95.37,0.21,190.4,55.65,16.82,0.0
2023-01-23 08:00:00,2023-01-23 09:00:00,28.53,96.16,10.21,40.6,30.84,24.55,6.65,1.22,15.62,0.1,82.47,0.26,219.97,77.9,20.96,0.0
2023-01-23 09:00:00,2023-01-23 10:00:00,17.76,94.62,4.34,31.96,21.61,26.58,40.67,1.38,51.8,0.1,63.67,0.24,259.82,58.23,25.3,0.0
2023-01-23 10:00:00,2023-01-23 11:00:00,11.41,93.67,3.06,26.38,17.67,26.45,,1.24,76.56,2.78,47.02,0.48,176.41,69.4,30.11,0.0
2023-01-23 11:00:00,2023-01-23 12:00:00,7.88,88.46,2.95,23.71,16.18,25.06,,0.82,86.27,1.66,36.76,0.22,282.12,84.22,33.85,0.0
2023-01-23 12:00:00,2023-01-23 13:00:00,6.81,67.56,2.52,10.21,8.79,24.03,52.54,0.63,85.91,0.67,29.23,0.33,216.14,71.55,34.55,0.0
2023-01-23 13:00:00,2023-01-23 14:00:00,4.79,49.13,2.49,8.82,8.03,23.07,50.11,0.6,80.93,0.14,26.29,0.29,185.54,160.05,36.17,0.0
2023-01-23 14:00:00,2023-01-23 15:00:00,3.35,47.33,2.7,9.74,8.69,21.34,45.46,0.58,85.01,0.1,24.29,0.36,147.06,161.78,36.55,0.0
2023-01-23 15:00:00,2023-01-23 16:00:00,4.15,41.71,2.46,8.51,7.85,17.33,46.23,0.58,87.14,0.1,25.37,0.33,200.7,80.83,35.48,0.0
2023-01-23 16:00:00,2023-01-23 17:00:00,12.3,36.91,2.47,9.96,8.62,16.5,57.23,0.6,85.61,0.1,31.09,0.38,198.03,52.9,33.71,0.0
2023-01-23 17:00:00,2023-01-23 18:00:00,16.18,36.45,2.5,22.11,14.99,18.01,55.4,0.65,65.69,0.13,40.05,0.2,159.42,36.55,29.61,0.0
2023-01-23 18:00:00,2023-01-23 19:00:00,19.5,43.24,2.77,46.28,27.83,18.73,26.36,0.91,50.64,0.61,50.2,0.29,70.59,34.45,26.4,0.0
2023-01-23 19:00:00,2023-01-23 20:00:00,29.73,56.96,2.57,25.48,16.81,19.57,22.59,0.89,53.86,1.5,60.11,0.24,113.53,34.6,23.66,0.0
2023-01-23 20:00:00,2023-01-23 21:00:00,20.1,60.5,10.17,74.12,48.31,13.91,12.93,1.0,16.88,2.61,72.3,0.15,103.87,34.22,22.04,0.0
2023-01-23 21:00:00,2023-01-23 22:00:00,21.44,75.74,4.93,61.95,37.76,17.71,5.66,0.91,20.0,1.72,75.19,0.1,145.17,34.05,20.92,0.0
2023-01-23 22:00:00,2023-01-23 23:00:00,20.16,76.72,9.42,58.95,39.79,17.22,1.11,0.94,14.78,1.51,82.08,0.14,220.74,34.08,19.64,0.0
2023-01-23 23:00:00,2023-01-24 00:00:00,25.34,74.34,4.52,41.14,26.55,19.53,,0.92,13.87,0.93,85.94,0.12,159.49,33.92,18.94,0.0
2023-01-24 00:00:00,2023-01-24 01:00:00,20.62,70.24,9.78,37.06,28.64,17.88,9.27,0.9,16.74,0.34,87.93,0.17,61.98,34.0,18.28,0.0
