From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),BP (mmHg),Xylene (ug/m3),AT (degree C)
2020-10-23 05:00:00,2020-10-23 06:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-23 06:00:00,2020-10-23 07:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-23 07:00:00,2020-10-23 08:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-23 08:00:00,2020-10-23 09:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-23 09:00:00,2020-10-23 10:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-23 10:00:00,2020-10-23 11:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-23 11:00:00,2020-10-23 12:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-23 12:00:00,2020-10-23 13:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-23 13:00:00,2020-10-23 14:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-23 14:00:00,2020-10-23 15:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-23 15:00:00,2020-10-23 16:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-23 16:00:00,2020-10-23 17:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-23 17:00:00,2020-10-23 18:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-23 18:00:00,2020-10-23 19:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-23 19:00:00,2020-10-23 20:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-23 20:00:00,2020-10-23 21:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-23 21:00:00,2020-10-23 22:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-23 22:00:00,2020-10-23 23:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-23 23:00:00,2020-10-24 00:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-24 00:00:00,2020-10-24 01:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-24 01:00:00,2020-10-24 02:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-24 02:00:00,2020-10-24 03:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-24 03:00:00,2020-10-24 04:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-24 04:00:00,2020-10-24 05:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-24 05:00:00,2020-10-24 06:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-24 06:00:00,2020-10-24 07:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-24 07:00:00,2020-10-24 08:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-24 08:00:00,2020-10-24 09:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-24 09:00:00,2020-10-24 10:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-24 10:00:00,2020-10-24 11:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-24 11:00:00,2020-10-24 12:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-24 12:00:00,2020-10-24 13:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-24 13:00:00,2020-10-24 14:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-24 14:00:00,2020-10-24 15:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-24 15:00:00,2020-10-24 16:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-24 16:00:00,2020-10-24 17:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-24 17:00:00,2020-10-24 18:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-24 18:00:00,2020-10-24 19:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-24 19:00:00,2020-10-24 20:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-24 20:00:00,2020-10-24 21:00:00,,,,,,,,,,,,,,,,,,,,
2020-10-24 21:00:00,2020-10-24 22:00:00,,,,,,,,,,,,,,,,,,,,
