From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mg/m3),AT (degree C),RF (mm),Xylene (ug/m3)
2022-08-09 14:00:00,2022-08-09 15:00:00,22.74,42.65,9.52,10.17,13.15,10.67,21.3,1.41,1.5,0.0,,0.05,0.02,,77.23,1.63,234.02,41.43,,24.44,,
2022-08-09 15:00:00,2022-08-09 16:00:00,19.09,35.48,9.71,10.74,13.61,10.46,21.26,1.51,,0.0,,0.04,0.01,,79.75,1.58,227.65,42.34,,24.07,,
2022-08-09 16:00:00,2022-08-09 17:00:00,17.54,32.43,8.92,10.11,12.64,10.99,21.41,1.85,,0.0,,0.05,0.02,,78.78,1.49,244.36,41.9,,24.18,,
2022-08-09 17:00:00,2022-08-09 18:00:00,16.88,31.17,9.22,11.82,13.78,10.43,21.32,1.66,0.32,0.0,,0.04,0.01,,77.43,1.31,232.82,24.85,,24.36,,
2022-08-09 18:00:00,2022-08-09 19:00:00,21.8,40.78,16.12,12.27,19.64,9.47,21.35,1.39,0.96,0.0,,0.04,0.01,,83.99,1.14,233.0,1.07,,22.92,,
2022-08-09 19:00:00,2022-08-09 20:00:00,20.93,39.08,20.55,11.84,23.0,8.77,21.31,1.26,1.21,0.0,,0.05,0.01,,87.81,0.99,206.15,0.0,,22.26,,
2022-08-09 20:00:00,2022-08-09 21:00:00,15.28,28.0,23.39,10.86,24.8,8.31,21.35,0.69,0.94,0.0,,0.05,0.02,,87.3,1.07,219.71,0.0,,22.19,,
2022-08-09 21:00:00,2022-08-09 22:00:00,16.21,29.83,19.61,10.01,21.26,8.95,21.19,0.74,0.99,0.0,,0.08,0.02,,87.22,0.96,243.98,0.0,,21.84,,
2022-08-09 22:00:00,2022-08-09 23:00:00,18.45,34.22,17.25,9.15,18.89,9.48,21.28,1.02,2.3,0.0,,0.11,0.03,,88.01,1.07,256.45,0.0,,21.29,,
2022-08-09 23:00:00,2022-08-10 00:00:00,16.66,30.7,13.77,8.57,15.76,9.43,21.29,0.84,,0.0,,0.1,0.03,,88.91,1.44,272.14,0.0,,20.91,,
2022-08-10 00:00:00,2022-08-10 01:00:00,14.06,25.61,11.18,8.28,13.5,10.16,21.38,0.84,0.29,0.0,,0.08,0.02,,88.91,1.25,260.43,0.0,,20.65,,
2022-08-10 01:00:00,2022-08-10 02:00:00,12.46,22.48,10.75,7.72,12.85,10.02,21.33,0.81,0.83,0.0,,0.08,0.03,,89.35,1.12,238.4,0.0,,20.35,,
2022-08-10 02:00:00,2022-08-10 03:00:00,11.3,20.22,10.11,7.69,12.3,10.1,21.37,1.02,,0.0,,0.08,0.02,,89.07,1.09,226.45,0.0,,20.34,,
2022-08-10 03:00:00,2022-08-10 04:00:00,9.28,16.7,11.24,8.11,13.44,9.55,21.36,0.49,,0.0,,0.06,0.01,,88.62,1.12,231.5,0.0,,20.27,,
2022-08-10 04:00:00,2022-08-10 05:00:00,8.29,14.3,10.88,8.18,13.19,9.63,21.43,0.8,0.48,0.0,,0.05,0.01,,89.13,1.1,240.81,0.0,,20.08,,
2022-08-10 05:00:00,2022-08-10 06:00:00,11.36,20.35,12.88,8.49,14.98,9.53,21.44,0.76,0.45,0.0,,0.04,0.01,,88.84,0.92,229.21,0.0,,20.19,,
2022-08-10 06:00:00,2022-08-10 07:00:00,14.77,27.0,15.16,9.28,17.27,8.79,21.35,1.45,,0.0,,0.05,0.01,,88.63,1.07,239.66,0.0,,20.33,,
2022-08-10 07:00:00,2022-08-10 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 08:00:00,2022-08-10 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-08-10 09:00:00,2022-08-10 10:00:00,24.11,45.24,14.03,10.9,17.21,8.96,21.18,0.73,0.18,0.0,,0.04,0.02,,77.07,1.81,241.97,41.27,,23.86,,
2022-08-10 10:00:00,2022-08-10 11:00:00,23.48,44.09,8.39,11.56,12.95,10.2,21.16,1.19,,0.0,,0.04,0.01,,73.08,1.92,238.38,41.0,,24.56,,
2022-08-10 11:00:00,2022-08-10 12:00:00,27.16,51.3,7.51,13.09,13.07,10.7,21.34,0.66,0.86,0.0,,0.04,0.01,,70.48,1.82,242.33,40.83,,25.41,,
2022-08-10 12:00:00,2022-08-10 13:00:00,28.78,54.48,7.0,13.8,13.04,10.74,21.17,1.1,,0.0,,0.03,0.01,,67.13,1.65,230.5,40.78,,26.31,,
2022-08-10 13:00:00,2022-08-10 14:00:00,29.22,55.35,5.97,12.33,11.42,11.57,21.01,1.04,1.48,0.0,,0.03,0.01,,64.39,1.93,236.54,40.92,,26.95,,
2022-08-10 14:00:00,2022-08-10 15:00:00,30.25,57.3,6.23,13.07,12.02,11.69,21.31,1.01,1.8,0.0,,0.03,0.01,,66.21,1.92,243.38,40.97,,26.7,,
2022-08-10 15:00:00,2022-08-10 16:00:00,24.62,46.35,6.34,13.53,12.35,11.64,21.42,1.06,1.38,0.0,,0.04,0.01,,66.75,1.78,240.27,40.75,,26.54,,
2022-08-10 16:00:00,2022-08-10 17:00:00,27.5,51.96,10.0,17.12,17.24,10.6,21.16,1.13,0.41,0.0,,0.04,0.01,,67.22,1.51,231.39,36.48,,26.3,,
2022-08-10 17:00:00,2022-08-10 18:00:00,25.99,49.0,13.79,16.54,20.02,10.39,21.27,1.21,2.07,0.0,,0.04,0.01,,68.03,1.4,245.0,22.01,,25.83,,
2022-08-10 18:00:00,2022-08-10 19:00:00,25.32,47.7,18.54,15.72,23.44,9.77,21.23,1.37,0.41,0.0,,0.05,0.02,,75.06,1.13,232.95,0.76,,24.41,,
2022-08-10 19:00:00,2022-08-10 20:00:00,23.44,44.0,17.26,12.62,20.74,10.33,21.16,1.29,,0.0,,0.06,0.02,,80.75,0.95,234.53,0.0,,23.16,,
2022-08-10 20:00:00,2022-08-10 21:00:00,23.97,45.05,20.21,11.02,22.3,10.17,21.07,1.22,,0.0,,0.08,0.03,,82.88,0.79,218.86,0.0,,22.44,,
2022-08-10 21:00:00,2022-08-10 22:00:00,23.76,44.62,19.44,11.06,21.69,10.12,21.05,0.94,0.41,0.0,,0.11,0.04,,84.63,1.0,237.51,0.0,,21.98,,
2022-08-10 22:00:00,2022-08-10 23:00:00,18.85,35.0,15.63,9.59,17.8,10.57,21.16,0.84,0.2,0.0,,0.13,0.05,,85.0,1.14,238.43,0.0,,21.64,,
2022-08-10 23:00:00,2022-08-11 00:00:00,17.79,32.91,13.09,8.65,15.24,10.87,21.2,1.07,,0.0,,0.11,0.04,,86.0,1.52,262.19,0.0,,21.04,,
2022-08-11 00:00:00,2022-08-11 01:00:00,15.43,28.29,10.81,8.03,13.05,11.5,21.26,0.93,0.61,0.0,,0.1,0.03,,87.13,1.4,258.49,0.0,,20.64,,
2022-08-11 01:00:00,2022-08-11 02:00:00,16.05,29.5,11.05,7.22,12.82,11.62,21.19,0.7,1.43,0.0,,0.08,0.03,,87.77,1.4,254.86,0.0,,20.56,,
2022-08-11 02:00:00,2022-08-11 03:00:00,12.09,21.74,9.85,7.45,11.97,11.56,21.15,0.88,0.45,0.0,,0.07,0.02,,87.37,1.46,250.54,0.0,,20.54,,
2022-08-11 03:00:00,2022-08-11 04:00:00,12.37,22.3,8.96,7.6,11.33,11.57,21.0,0.99,0.26,0.0,,0.06,0.02,,88.29,1.22,238.91,0.0,,20.2,,
2022-08-11 04:00:00,2022-08-11 05:00:00,14.13,25.74,10.8,8.66,13.39,10.84,21.12,0.96,2.91,0.0,,0.06,0.02,,89.17,1.13,236.07,0.0,,20.02,,
2022-08-11 05:00:00,2022-08-11 06:00:00,14.68,26.82,14.48,8.65,16.37,10.59,20.84,1.02,0.36,0.0,,0.04,0.02,,88.94,0.95,228.94,0.0,,20.14,,
2022-08-11 06:00:00,2022-08-11 07:00:00,16.79,30.97,14.84,9.04,16.86,10.23,20.83,0.86,1.92,0.0,,0.03,0.01,,88.7,0.96,236.54,2.45,,20.21,,
2022-08-11 07:00:00,2022-08-11 08:00:00,16.48,30.38,14.97,9.44,17.19,10.33,21.11,0.83,1.07,0.0,,0.04,0.01,,86.97,1.29,261.49,26.53,,20.9,,
2022-08-11 08:00:00,2022-08-11 09:00:00,20.27,37.78,15.13,8.67,16.93,10.66,21.05,0.88,,0.0,,0.04,0.01,,83.76,1.33,232.14,34.65,,21.96,,
2022-08-11 09:00:00,2022-08-11 10:00:00,22.33,41.83,12.13,11.07,15.75,11.74,20.95,0.56,0.66,0.0,,0.04,0.01,,78.35,1.88,236.33,40.02,,23.55,,
2022-08-11 10:00:00,2022-08-11 11:00:00,24.57,46.21,7.42,12.04,12.43,12.52,20.98,0.71,2.37,0.0,,0.03,0.01,,75.48,1.68,245.19,40.12,,24.29,,
2022-08-11 11:00:00,2022-08-11 12:00:00,24.23,45.55,6.85,11.82,11.86,13.06,21.02,0.61,,0.0,,0.02,0.01,,71.89,1.71,248.56,40.07,,25.42,,
2022-08-11 12:00:00,2022-08-11 13:00:00,26.5,50.0,6.75,13.71,12.78,13.23,20.93,0.62,,0.0,,0.02,0.01,,70.25,1.71,224.96,39.92,,26.21,,
2022-08-11 13:00:00,2022-08-11 14:00:00,25.43,47.93,7.05,14.06,13.21,13.91,20.87,0.73,,0.0,,0.02,0.01,,67.51,1.92,234.61,40.16,,27.09,,
2022-08-11 14:00:00,2022-08-11 15:00:00,23.21,43.56,6.73,13.13,12.45,14.59,21.09,0.69,9.31,0.0,,0.03,0.01,,63.05,1.73,227.63,40.64,915.12,27.87,,
2022-08-11 15:00:00,2022-08-11 16:00:00,26.54,50.07,8.02,13.34,13.61,14.66,20.96,0.59,9.35,0.0,,0.03,0.01,,63.0,1.58,233.24,37.0,915.72,27.51,,
2022-08-11 16:00:00,2022-08-11 17:00:00,29.56,53.16,,,,,,,,,,,,,,,,,,,,
2022-08-11 17:00:00,2022-08-11 18:00:00,23.84,43.7,10.99,13.25,15.98,15.18,21.05,0.6,,,,,,,,,,,,,,
2022-08-11 18:00:00,2022-08-11 19:00:00,24.33,45.74,,,,,20.77,0.95,0.68,,,,,,,,,,,,,
2022-08-11 19:00:00,2022-08-11 20:00:00,28.4,55.73,23.14,12.8,25.63,13.82,20.29,0.67,,0.0,,0.02,0.01,,78.66,0.63,235.18,0.0,,23.95,,
2022-08-11 20:00:00,2022-08-11 21:00:00,20.12,37.48,22.05,10.77,23.65,14.01,20.78,1.0,0.2,0.0,,0.02,0.01,,78.29,0.92,240.53,0.0,,23.71,,
2022-08-11 21:00:00,2022-08-11 22:00:00,19.89,37.05,20.96,10.08,22.4,14.14,20.62,0.73,0.33,0.0,,0.02,0.01,,81.25,1.77,241.53,0.0,,23.04,,
2022-08-11 22:00:00,2022-08-11 23:00:00,19.82,37.67,19.54,10.23,21.33,13.75,20.62,0.73,,0.0,,0.02,0.01,,83.53,1.5,187.34,0.0,,22.62,,
2022-08-11 23:00:00,2022-08-12 00:00:00,16.14,29.71,19.06,8.26,19.89,13.91,20.61,0.74,,0.0,,0.02,0.01,,86.49,1.07,212.59,0.0,,22.02,,
2022-08-12 00:00:00,2022-08-12 01:00:00,13.6,24.7,15.05,8.02,16.51,14.09,20.6,0.73,,0.0,,0.02,0.01,,86.78,1.21,242.07,0.0,,21.81,,
2022-08-12 01:00:00,2022-08-12 02:00:00,11.71,18.65,,,,,20.37,,,,,,,,,,,,,,,
2022-08-12 02:00:00,2022-08-12 03:00:00,6.78,11.48,,,,,20.89,,,,,,,,,,,,,,,
2022-08-12 03:00:00,2022-08-12 04:00:00,6.98,11.29,,,,,20.63,,,,,,,,,,,,,,,
2022-08-12 04:00:00,2022-08-12 05:00:00,21.14,27.66,,,,,,,,,,,,,,,,,,,,
2022-08-12 05:00:00,2022-08-12 06:00:00,33.13,52.25,,,,,20.96,,,,,,,,,,,,,,,
2022-08-12 06:00:00,2022-08-12 07:00:00,11.22,20.03,,,,,20.73,,,,,,,,,,,,,,,
2022-08-12 07:00:00,2022-08-12 08:00:00,12.75,23.52,20.31,8.22,20.89,11.4,20.86,0.68,,0.0,,0.01,,,87.55,1.29,276.65,20.99,,21.03,,
2022-08-12 08:00:00,2022-08-12 09:00:00,15.68,27.84,20.07,8.85,21.03,11.35,20.73,1.12,0.53,0.0,,0.02,0.01,,83.49,1.3,204.83,37.61,,22.11,,
2022-08-12 09:00:00,2022-08-12 10:00:00,21.47,39.1,17.5,10.3,19.71,12.29,20.79,0.94,,0.0,,0.02,,,79.31,1.64,203.27,40.28,,23.2,,
2022-08-12 10:00:00,2022-08-12 11:00:00,24.82,46.7,13.98,12.82,18.18,12.83,20.96,0.8,9.23,0.0,,0.01,,,75.94,1.37,230.52,40.67,916.97,23.94,,
2022-08-12 11:00:00,2022-08-12 12:00:00,24.11,45.35,12.19,14.8,17.79,13.27,20.91,0.42,9.36,0.0,,0.01,,,71.99,1.43,233.39,40.75,917.34,25.19,,
2022-08-12 12:00:00,2022-08-12 13:00:00,18.05,33.32,19.87,15.43,24.36,23.92,17.06,0.42,9.52,0.01,,0.02,0.01,,94.06,1.14,188.69,37.16,917.65,21.68,,
2022-08-12 13:00:00,2022-08-12 14:00:00,20.88,38.98,16.19,19.78,23.68,25.57,16.62,0.29,9.4,0.01,,0.02,0.01,,90.92,0.69,220.06,36.99,917.53,23.18,,
2022-08-12 14:00:00,2022-08-12 15:00:00,21.4,40.0,8.12,20.55,17.54,28.05,17.75,0.41,9.32,0.01,,0.02,0.01,,85.61,0.82,232.17,34.2,917.42,24.59,,
2022-08-12 15:00:00,2022-08-12 16:00:00,9.71,17.11,7.11,11.45,11.87,26.33,17.73,0.39,9.28,0.01,,0.02,0.01,,94.59,0.94,306.7,36.72,917.07,21.03,,
2022-08-12 16:00:00,2022-08-12 17:00:00,33.97,64.66,10.73,14.83,16.61,14.74,20.86,0.84,0.96,0.0,,0.02,,,63.75,1.51,201.79,38.76,,27.36,,
2022-08-12 17:00:00,2022-08-12 18:00:00,30.58,58.0,10.55,14.72,16.41,14.41,20.68,0.83,1.69,0.0,,0.02,0.01,,64.61,1.39,182.25,28.74,,27.03,,
2022-08-12 18:00:00,2022-08-12 19:00:00,33.74,64.27,18.02,16.17,23.25,13.56,20.79,0.77,0.34,0.0,,0.02,0.01,,68.56,0.98,190.37,2.11,,26.09,,
2022-08-12 19:00:00,2022-08-12 20:00:00,41.62,79.65,21.16,14.18,24.74,12.99,20.67,0.89,,0.01,,0.02,0.01,,72.17,0.75,219.55,0.0,,24.89,,
2022-08-12 20:00:00,2022-08-12 21:00:00,36.99,71.17,28.43,11.68,29.33,11.93,20.65,1.16,1.66,0.01,,0.02,0.01,,75.95,0.66,231.08,0.0,,23.8,,
2022-08-12 21:00:00,2022-08-12 22:00:00,33.21,63.13,28.54,10.82,28.97,12.0,20.74,0.99,2.96,0.01,,0.03,0.01,,79.01,0.74,240.53,0.0,,23.4,,
2022-08-12 22:00:00,2022-08-12 23:00:00,27.47,51.9,24.25,11.13,25.64,12.03,20.64,0.82,,0.01,,0.07,0.03,,83.53,0.94,229.15,0.0,,22.66,,
2022-08-12 23:00:00,2022-08-13 00:00:00,23.33,43.78,22.89,10.1,23.98,12.13,20.5,0.81,,0.0,,0.04,0.01,,83.52,1.0,188.5,0.0,,22.48,,
2022-08-13 00:00:00,2022-08-13 01:00:00,23.01,43.13,24.02,10.75,25.25,11.71,20.36,1.06,,0.0,,0.02,0.01,,83.8,1.15,175.61,0.0,,22.27,,
2022-08-13 01:00:00,2022-08-13 02:00:00,17.4,32.13,17.69,9.32,19.34,12.83,20.65,0.8,0.83,0.0,,0.02,0.01,,87.19,0.86,258.12,0.0,,21.42,,
2022-08-13 02:00:00,2022-08-13 03:00:00,12.58,22.71,16.57,8.73,18.11,12.76,20.67,0.57,,0.0,,0.02,,,87.59,0.83,259.08,0.0,,21.17,,
2022-08-13 03:00:00,2022-08-13 04:00:00,10.82,19.26,16.31,8.78,17.92,12.66,20.5,0.57,0.95,0.0,,0.01,,,87.31,1.13,277.37,0.0,,20.86,,
2022-08-13 04:00:00,2022-08-13 05:00:00,11.2,20.0,15.39,8.29,16.93,12.59,20.86,0.46,0.84,0.0,,0.02,0.01,,88.62,1.14,270.39,0.0,,20.56,,
2022-08-13 05:00:00,2022-08-13 06:00:00,12.12,21.83,19.96,8.39,20.7,11.82,20.69,0.58,1.3,0.0,,0.01,0.01,,88.89,1.08,272.63,0.0,,20.52,,
2022-08-13 06:00:00,2022-08-13 07:00:00,15.56,28.53,23.93,7.93,23.67,11.26,20.66,0.44,,0.0,,0.01,,,89.92,0.81,255.4,1.12,,20.27,,
2022-08-13 07:00:00,2022-08-13 08:00:00,15.96,29.34,22.84,8.73,23.21,11.55,20.89,0.84,,0.0,,0.01,,,90.81,1.01,253.06,24.39,,20.13,,
2022-08-13 08:00:00,2022-08-13 09:00:00,12.14,21.87,20.4,8.5,21.1,11.89,20.83,0.81,,0.0,,0.02,0.01,,86.94,1.42,252.05,40.41,,21.18,,
2022-08-13 09:00:00,2022-08-13 10:00:00,16.56,30.52,13.93,10.51,16.92,12.66,20.74,0.52,,0.0,,0.02,0.01,,79.49,1.51,210.42,40.3,,23.2,,
2022-08-13 10:00:00,2022-08-13 11:00:00,18.77,34.84,10.36,13.76,15.73,12.72,20.81,0.64,,0.0,,0.01,,,71.14,1.34,232.14,40.57,,25.02,,
2022-08-13 11:00:00,2022-08-13 12:00:00,24.25,45.61,8.33,14.96,14.72,13.11,20.78,0.62,,0.0,,0.01,,,67.62,1.51,191.45,40.76,,25.94,,
2022-08-13 12:00:00,2022-08-13 13:00:00,28.56,54.03,8.69,14.49,14.77,13.16,20.92,0.64,,0.0,,0.01,,,65.11,1.41,186.99,40.82,,26.87,,
2022-08-13 13:00:00,2022-08-13 14:00:00,29.41,55.71,8.06,13.47,13.73,13.79,20.86,0.84,,0.0,,0.01,,,64.01,1.57,216.97,41.04,,27.13,,
2022-08-13 14:00:00,2022-08-13 15:00:00,25.92,48.87,7.15,11.96,12.17,14.18,20.84,0.65,,0.0,,0.01,,,63.12,1.45,184.31,41.07,,27.09,,
2022-08-13 15:00:00,2022-08-13 16:00:00,23.38,43.92,7.64,12.79,13.02,13.82,20.86,0.4,,0.0,,0.01,,,63.58,1.49,185.34,41.05,,27.12,,
2022-08-13 16:00:00,2022-08-13 17:00:00,27.73,52.42,8.79,15.29,15.28,13.84,20.9,0.64,,0.0,,0.01,,,63.11,1.05,206.7,40.72,,27.64,,
2022-08-13 17:00:00,2022-08-13 18:00:00,25.14,47.37,8.47,15.79,15.29,13.51,20.94,0.7,1.77,0.0,,0.01,,,63.89,1.42,199.41,26.73,,27.2,,
2022-08-13 18:00:00,2022-08-13 19:00:00,28.94,54.78,10.83,15.18,16.88,13.24,20.79,0.71,0.01,0.0,,0.02,,,69.23,1.3,230.7,1.26,,25.78,,
2022-08-13 19:00:00,2022-08-13 20:00:00,29.99,53.38,11.07,14.51,16.72,13.23,20.76,0.77,,0.0,,0.03,0.01,,73.94,1.3,240.85,0.0,,24.57,,
2022-08-13 20:00:00,2022-08-13 21:00:00,23.06,43.26,14.48,10.29,17.24,13.1,20.76,0.76,3.92,0.0,,0.02,0.01,,76.24,0.95,237.89,0.0,,23.96,,
2022-08-13 21:00:00,2022-08-13 22:00:00,23.31,43.74,16.02,9.04,17.84,13.03,20.67,0.68,0.97,0.0,,0.03,0.01,,77.11,1.15,251.95,0.0,,23.36,,
2022-08-13 22:00:00,2022-08-13 23:00:00,22.27,41.71,15.82,8.32,17.29,12.9,20.65,0.91,1.56,0.0,,0.04,0.02,,79.8,0.96,235.89,0.0,,22.43,,
2022-08-13 23:00:00,2022-08-14 00:00:00,18.91,35.16,14.31,8.24,16.02,12.86,20.6,0.81,1.8,0.0,,0.07,0.03,,82.12,0.94,254.15,0.0,,21.59,,
2022-08-14 00:00:00,2022-08-14 01:00:00,14.64,26.74,13.06,7.77,14.75,12.84,20.33,0.86,1.36,0.0,,0.06,0.02,,83.76,1.21,281.91,0.0,,21.0,,
2022-08-14 01:00:00,2022-08-14 02:00:00,14.26,26.0,12.91,7.92,14.7,12.62,20.65,0.52,1.05,0.0,,0.03,0.01,,85.35,1.1,275.68,0.0,,20.6,,
2022-08-14 02:00:00,2022-08-14 03:00:00,14.53,26.52,12.48,7.06,13.89,13.29,20.76,0.45,1.66,0.0,,0.04,0.02,,85.74,0.94,254.98,0.0,,20.39,,
2022-08-14 03:00:00,2022-08-14 04:00:00,15.28,28.0,12.69,6.96,14.02,12.73,20.7,0.66,1.4,0.0,,0.04,0.02,,86.22,0.91,240.98,0.0,,20.29,,
2022-08-14 04:00:00,2022-08-14 05:00:00,14.75,26.98,14.83,6.93,15.76,12.21,20.65,0.61,1.4,0.0,,0.06,0.03,,86.58,1.01,237.41,0.0,,20.17,,
2022-08-14 05:00:00,2022-08-14 06:00:00,12.85,23.22,15.53,7.19,16.45,11.61,20.66,0.7,2.52,0.0,,0.05,0.02,,87.0,0.86,253.2,0.0,,20.01,,
2022-08-14 06:00:00,2022-08-14 07:00:00,12.11,21.77,15.62,6.75,16.29,12.11,20.73,0.47,0.36,0.0,,0.07,0.02,,87.3,1.07,239.26,2.92,,20.02,,
2022-08-14 07:00:00,2022-08-14 08:00:00,13.37,24.25,14.21,8.5,16.09,12.2,20.66,0.48,,0.0,,0.06,0.02,,86.14,1.28,258.9,31.2,,20.44,,
2022-08-14 08:00:00,2022-08-14 09:00:00,14.41,26.29,12.64,9.66,15.43,12.17,20.58,0.46,,0.0,,0.03,0.01,,83.35,1.23,258.92,41.15,,21.28,,
2022-08-14 09:00:00,2022-08-14 10:00:00,16.43,30.26,11.04,11.27,14.97,11.98,20.67,0.67,0.01,0.0,,0.01,,,76.81,1.47,213.46,41.34,,23.14,,
2022-08-14 10:00:00,2022-08-14 11:00:00,18.27,33.87,10.27,12.36,14.92,12.24,20.79,0.59,,0.0,,0.01,,,73.37,1.2,209.22,41.48,,24.11,,
2022-08-14 11:00:00,2022-08-14 12:00:00,23.08,43.3,9.63,12.28,14.37,12.21,20.74,0.48,1.75,0.0,,0.02,,,70.75,1.36,232.63,41.65,,24.93,,
2022-08-14 12:00:00,2022-08-14 13:00:00,23.91,44.95,8.61,11.67,13.21,12.28,20.76,0.74,,0.0,,0.01,,,69.61,1.45,243.52,41.77,,25.39,,
2022-08-14 13:00:00,2022-08-14 14:00:00,21.02,39.27,7.72,11.05,12.15,12.48,20.87,0.54,,0.0,,0.01,,,69.61,1.53,240.16,41.66,,25.41,,
2022-08-14 14:00:00,2022-08-14 15:00:00,20.61,38.45,7.65,11.73,12.45,12.31,20.87,0.75,,0.0,,0.02,0.01,,68.94,1.32,193.51,41.61,,25.74,,
2022-08-14 15:00:00,2022-08-14 16:00:00,17.29,31.93,8.15,11.27,12.62,12.51,20.92,0.58,,0.0,,0.02,,,69.21,1.38,188.99,41.35,,25.7,,
2022-08-14 16:00:00,2022-08-14 17:00:00,14.79,27.05,8.91,12.11,13.68,12.57,20.89,0.77,,0.0,,0.02,0.01,,70.03,1.12,223.26,41.2,,25.7,,
2022-08-14 17:00:00,2022-08-14 18:00:00,16.56,30.52,9.68,12.69,14.62,12.05,20.82,0.87,,0.0,,0.02,0.01,,71.19,1.12,246.05,19.15,,25.27,,
2022-08-14 18:00:00,2022-08-14 19:00:00,19.18,35.64,11.55,14.05,16.86,11.96,20.8,0.8,1.02,0.0,,0.02,0.01,,73.37,0.73,220.31,0.68,,24.75,,
