From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),RH (%),WS (m/s),WD (degree),SR (ug/m3),RF (mm),AT (degree C)
2023-01-14 07:00:00,2023-01-14 08:00:00,44.93,121.0,13.28,19.28,22.16,18.69,6.83,1.09,5.62,0.8,97.51,0.15,113.17,72.28,0.0,13.81
2023-01-14 08:00:00,2023-01-14 09:00:00,40.23,87.85,4.54,11.23,10.95,18.68,12.86,0.87,42.39,0.75,86.05,0.34,252.94,169.32,0.0,17.05
2023-01-14 09:00:00,2023-01-14 10:00:00,43.94,83.29,4.46,14.95,12.82,18.04,27.28,0.79,68.82,0.71,70.77,0.34,162.15,385.1,0.0,20.75
2023-01-14 10:00:00,2023-01-14 11:00:00,43.21,81.7,4.29,24.17,17.5,17.5,55.35,0.89,96.96,0.69,56.4,0.29,187.59,471.45,0.0,23.95
2023-01-14 11:00:00,2023-01-14 12:00:00,44.38,97.34,3.73,26.75,18.4,17.46,,1.03,121.68,0.74,47.45,0.44,233.14,484.3,0.0,26.34
2023-01-14 12:00:00,2023-01-14 13:00:00,44.8,104.07,2.88,14.77,11.46,17.36,57.87,0.71,145.87,0.72,47.05,0.54,231.19,533.35,0.0,27.27
2023-01-14 13:00:00,2023-01-14 14:00:00,40.8,81.74,2.95,11.47,9.79,17.34,73.72,0.58,147.48,0.67,42.4,0.69,205.4,556.17,0.0,28.18
2023-01-14 14:00:00,2023-01-14 15:00:00,39.74,81.19,2.8,10.19,9.0,17.2,67.07,0.54,149.91,0.65,38.98,0.74,185.09,409.98,0.0,28.44
2023-01-14 15:00:00,2023-01-14 16:00:00,39.27,76.56,2.95,12.42,10.28,17.02,59.19,0.54,144.06,0.65,38.25,0.66,182.69,244.95,0.0,28.04
2023-01-14 16:00:00,2023-01-14 17:00:00,29.95,62.95,3.0,12.22,10.22,16.8,44.03,0.58,135.32,0.66,40.98,0.48,183.19,110.2,0.0,26.73
2023-01-14 17:00:00,2023-01-14 18:00:00,31.01,67.68,2.62,13.84,10.77,16.77,35.96,0.63,98.75,0.67,57.56,0.26,124.7,30.12,0.0,23.51
2023-01-14 18:00:00,2023-01-14 19:00:00,38.91,104.83,7.54,36.89,28.15,16.84,32.23,0.88,45.73,0.68,73.42,0.22,103.01,23.22,0.0,21.02
2023-01-14 19:00:00,2023-01-14 20:00:00,48.34,205.65,18.73,63.62,49.76,17.34,24.17,1.25,9.53,0.78,82.09,0.21,31.47,23.2,0.0,19.52
2023-01-14 20:00:00,2023-01-14 21:00:00,55.64,354.19,4.78,32.96,22.49,17.88,15.16,1.0,22.51,0.81,87.17,0.22,49.51,23.07,0.0,18.68
2023-01-14 21:00:00,2023-01-14 22:00:00,52.23,136.99,2.95,18.12,13.26,17.62,18.43,0.69,34.96,0.69,87.73,0.24,91.2,23.15,0.0,18.14
2023-01-14 22:00:00,2023-01-14 23:00:00,47.67,96.41,9.33,26.58,22.8,17.52,17.5,0.76,28.15,0.69,90.22,0.33,157.69,23.17,0.0,17.54
2023-01-14 23:00:00,2023-01-15 00:00:00,43.96,95.03,2.71,15.5,11.7,17.38,18.89,0.78,29.13,0.69,92.33,0.19,155.26,22.98,0.0,17.12
2023-01-15 00:00:00,2023-01-15 01:00:00,42.93,74.41,2.66,15.35,11.59,17.14,15.0,0.8,21.81,0.7,95.98,0.2,78.62,22.8,0.0,16.27
2023-01-15 01:00:00,2023-01-15 02:00:00,39.88,66.25,6.72,20.07,17.31,17.16,12.12,0.79,9.7,0.7,97.76,0.24,36.75,22.85,0.0,15.5
2023-01-15 02:00:00,2023-01-15 03:00:00,38.72,90.23,3.0,14.26,11.29,17.32,10.6,0.71,23.65,0.69,96.57,0.19,45.84,22.7,0.0,15.29
2023-01-15 03:00:00,2023-01-15 04:00:00,38.49,49.53,2.62,9.95,8.74,17.19,9.91,0.66,23.94,0.68,98.22,0.2,157.85,22.75,0.0,14.62
2023-01-15 04:00:00,2023-01-15 05:00:00,30.8,48.48,5.23,16.33,14.16,17.17,9.17,0.68,12.77,0.68,98.43,0.25,28.25,22.88,0.0,14.11
2023-01-15 05:00:00,2023-01-15 06:00:00,29.27,52.09,4.52,12.92,11.81,17.22,8.4,0.67,14.98,0.68,99.06,0.23,39.02,22.75,0.0,13.66
2023-01-15 06:00:00,2023-01-15 07:00:00,32.09,58.49,30.49,24.91,38.9,17.6,7.28,0.86,3.18,0.7,99.75,0.23,59.53,28.68,0.0,13.01
2023-01-15 07:00:00,2023-01-15 08:00:00,36.3,119.53,35.67,33.7,47.65,19.46,6.7,1.1,5.75,0.78,96.79,0.31,84.95,66.2,0.0,13.93
2023-01-15 08:00:00,2023-01-15 09:00:00,41.42,132.68,6.39,15.0,14.35,20.58,24.84,0.79,32.9,0.75,82.27,0.36,228.83,169.57,0.0,17.55
2023-01-15 09:00:00,2023-01-15 10:00:00,39.77,96.91,5.34,11.2,11.57,19.71,42.54,0.73,59.11,0.69,69.95,0.44,214.35,459.62,0.0,19.99
2023-01-15 10:00:00,2023-01-15 11:00:00,34.98,74.53,3.74,9.83,9.57,18.55,38.57,0.64,80.69,0.68,56.73,0.31,273.61,558.45,0.0,22.96
2023-01-15 11:00:00,2023-01-15 12:00:00,36.41,65.03,3.81,12.94,11.25,17.62,43.68,0.47,98.2,0.66,45.81,0.53,227.73,629.0,0.0,24.73
2023-01-15 12:00:00,2023-01-15 13:00:00,32.68,47.06,3.99,17.71,13.88,17.25,70.82,0.48,114.77,0.65,40.96,0.64,255.22,657.97,0.0,25.66
2023-01-15 13:00:00,2023-01-15 14:00:00,28.61,50.6,3.66,15.29,12.35,17.12,74.08,0.47,125.62,0.64,41.23,0.7,251.88,592.55,0.0,26.27
2023-01-15 14:00:00,2023-01-15 15:00:00,27.12,54.59,3.27,15.77,12.29,17.02,73.58,0.47,128.74,0.64,38.8,0.8,231.2,399.12,0.0,26.63
2023-01-15 15:00:00,2023-01-15 16:00:00,27.27,62.56,3.21,16.54,12.65,16.96,71.55,0.45,131.43,0.64,35.15,0.82,211.62,301.6,0.0,26.7
2023-01-15 16:00:00,2023-01-15 17:00:00,24.69,63.13,3.29,13.98,11.37,16.89,63.28,0.51,131.36,0.65,39.92,0.44,228.69,125.4,0.0,25.68
2023-01-15 17:00:00,2023-01-15 18:00:00,25.62,64.49,2.66,14.99,11.4,16.88,49.92,0.68,100.96,0.66,54.4,0.18,182.16,30.3,0.0,22.44
2023-01-15 18:00:00,2023-01-15 19:00:00,32.82,208.87,2.84,22.75,15.59,16.88,37.34,0.74,81.08,0.7,67.54,0.2,83.79,23.1,0.0,19.4
2023-01-15 19:00:00,2023-01-15 20:00:00,33.03,107.61,3.89,34.48,22.57,16.93,29.88,1.08,40.52,0.72,78.47,0.18,100.77,22.73,0.0,17.93
2023-01-15 20:00:00,2023-01-15 21:00:00,35.84,131.31,10.62,48.48,35.27,17.29,17.3,1.11,8.0,0.75,87.17,0.2,126.71,22.88,0.0,16.64
2023-01-15 21:00:00,2023-01-15 22:00:00,43.69,159.18,5.93,29.75,21.72,17.64,12.18,0.92,11.85,0.73,91.91,0.14,65.48,22.65,0.0,15.85
2023-01-15 22:00:00,2023-01-15 23:00:00,41.57,112.54,3.62,17.06,13.25,17.65,11.09,0.62,24.52,0.69,94.59,0.17,63.41,22.8,0.0,14.85
2023-01-15 23:00:00,2023-01-16 00:00:00,36.22,58.06,9.43,26.45,22.81,17.49,10.12,0.7,14.88,0.67,96.21,0.23,63.55,22.65,0.0,14.24
2023-01-16 00:00:00,2023-01-16 01:00:00,33.51,95.64,5.85,28.36,20.94,17.87,7.64,0.75,9.45,0.68,97.7,0.17,49.98,22.63,0.0,13.72
2023-01-16 01:00:00,2023-01-16 02:00:00,33.39,90.64,5.72,19.09,15.99,18.03,5.53,0.69,14.21,0.69,98.12,0.26,189.08,22.52,0.0,13.33
2023-01-16 02:00:00,2023-01-16 03:00:00,31.8,71.11,2.58,10.38,8.92,17.76,8.48,0.72,34.18,0.69,95.19,0.4,209.78,22.43,0.0,13.35
2023-01-16 03:00:00,2023-01-16 04:00:00,31.32,58.64,2.55,10.28,8.85,17.39,9.83,0.73,35.45,0.7,94.09,0.27,200.69,22.35,0.0,12.96
2023-01-16 04:00:00,2023-01-16 05:00:00,27.89,46.15,2.65,11.27,9.44,17.2,13.14,0.74,28.32,0.69,95.94,0.29,82.47,22.68,0.0,12.18
2023-01-16 05:00:00,2023-01-16 06:00:00,27.62,50.46,2.76,16.54,12.29,17.15,12.46,0.79,17.01,0.71,97.33,0.23,54.97,22.62,0.0,11.66
2023-01-16 06:00:00,2023-01-16 07:00:00,29.71,67.56,6.56,20.39,17.35,17.16,14.11,0.77,23.4,0.7,94.79,0.21,157.63,28.25,0.0,11.56
2023-01-16 07:00:00,2023-01-16 08:00:00,29.9,77.91,8.61,24.16,20.95,17.28,15.35,0.87,19.14,0.72,92.65,0.31,112.66,68.12,0.0,12.32
2023-01-16 08:00:00,2023-01-16 09:00:00,34.02,99.93,6.14,13.8,13.66,17.54,14.9,0.81,29.84,0.73,84.68,0.3,190.12,164.77,0.0,15.05
2023-01-16 09:00:00,2023-01-16 10:00:00,31.27,77.63,5.38,14.87,13.52,17.43,22.2,0.77,57.71,0.71,68.41,0.4,203.25,407.25,0.0,18.43
2023-01-16 10:00:00,2023-01-16 11:00:00,32.36,68.84,4.74,19.08,15.2,17.21,35.3,0.71,78.79,0.7,57.51,0.5,244.12,503.7,0.0,21.25
2023-01-16 11:00:00,2023-01-16 12:00:00,35.14,88.67,13.88,57.52,43.32,18.02,48.6,0.65,62.7,0.69,48.75,0.22,143.01,565.73,0.0,23.62
2023-01-16 12:00:00,2023-01-16 13:00:00,33.43,89.34,5.34,31.88,22.37,17.79,12.74,0.64,104.36,0.68,43.27,0.57,218.09,609.15,0.0,24.69
2023-01-16 13:00:00,2023-01-16 14:00:00,33.65,70.06,5.55,18.68,15.51,17.29,68.78,0.59,136.69,0.66,38.34,0.37,219.25,554.35,0.0,25.61
2023-01-16 14:00:00,2023-01-16 15:00:00,33.36,71.02,4.11,16.48,14.05,16.91,63.48,0.59,147.61,0.66,38.62,0.37,178.5,433.08,0.0,26.14
2023-01-16 15:00:00,2023-01-16 16:00:00,29.93,60.25,2.74,12.17,9.98,16.66,62.27,0.54,145.39,0.65,42.74,0.66,298.13,242.15,0.0,25.75
2023-01-16 16:00:00,2023-01-16 17:00:00,24.22,43.06,2.81,13.15,10.55,16.65,55.7,0.58,131.37,0.65,50.16,0.33,169.84,92.92,0.0,24.34
2023-01-16 17:00:00,2023-01-16 18:00:00,28.18,63.13,15.57,16.91,38.98,16.54,45.38,0.81,75.6,0.67,64.53,0.26,123.19,28.18,0.0,21.54
2023-01-16 18:00:00,2023-01-16 19:00:00,45.24,297.01,14.23,67.31,51.8,17.79,24.98,1.06,13.14,0.78,81.56,0.2,119.08,23.1,0.0,19.4
2023-01-16 19:00:00,2023-01-16 20:00:00,53.91,283.87,3.46,52.28,32.07,18.16,24.24,0.87,26.62,0.74,84.25,0.27,67.3,23.02,0.0,18.15
2023-01-16 20:00:00,2023-01-16 21:00:00,51.43,170.32,4.82,40.69,26.55,17.97,18.52,0.85,27.42,0.71,88.81,0.2,182.3,23.02,0.0,17.08
2023-01-16 21:00:00,2023-01-16 22:00:00,50.7,137.29,3.09,20.03,14.38,17.41,17.44,0.84,35.47,0.69,91.39,0.2,175.86,22.88,0.0,16.52
2023-01-16 22:00:00,2023-01-16 23:00:00,47.16,82.22,4.91,22.16,16.95,17.01,14.15,0.87,17.85,0.72,96.28,0.22,54.1,22.93,0.0,15.99
2023-01-16 23:00:00,2023-01-17 00:00:00,44.04,110.7,8.85,37.07,27.89,17.09,11.64,0.84,5.44,0.7,95.59,0.21,43.15,22.85,0.0,15.26
2023-01-17 00:00:00,2023-01-17 01:00:00,42.9,91.82,16.35,35.52,33.11,17.58,14.34,0.75,8.6,0.68,97.09,0.2,134.6,22.73,0.0,14.84
2023-01-17 01:00:00,2023-01-17 02:00:00,43.08,144.54,3.97,23.56,16.92,17.75,19.88,0.78,13.86,0.69,98.77,0.2,144.19,22.82,0.0,14.65
2023-01-17 02:00:00,2023-01-17 03:00:00,44.12,79.56,2.77,19.23,13.7,17.45,16.75,0.79,14.86,0.69,98.19,0.14,125.63,22.8,0.0,14.57
2023-01-17 03:00:00,2023-01-17 04:00:00,39.53,71.85,2.78,17.46,12.79,17.22,17.15,0.8,17.48,0.69,97.18,0.26,160.16,22.83,0.0,14.38
2023-01-17 04:00:00,2023-01-17 05:00:00,37.67,50.5,2.7,16.55,12.24,16.99,15.95,0.79,13.95,0.69,98.25,0.27,39.37,22.9,0.0,13.89
2023-01-17 05:00:00,2023-01-17 06:00:00,29.96,51.83,2.87,12.48,10.25,16.77,13.87,0.74,14.05,0.69,99.73,0.23,175.82,22.9,0.0,13.46
2023-01-17 06:00:00,2023-01-17 07:00:00,31.0,48.62,3.62,13.99,11.64,16.7,13.86,0.77,13.25,0.69,99.83,0.17,226.47,27.88,0.0,13.44
2023-01-17 07:00:00,2023-01-17 08:00:00,32.67,59.18,7.28,16.46,15.87,16.78,14.58,0.92,15.09,0.71,96.92,0.29,194.22,76.28,0.0,14.13
2023-01-17 08:00:00,2023-01-17 09:00:00,29.82,72.73,5.82,11.77,12.25,16.83,16.71,0.79,31.01,0.78,88.24,0.51,215.36,157.35,0.0,16.06
2023-01-17 09:00:00,2023-01-17 10:00:00,32.33,63.08,4.96,12.88,12.25,16.64,28.18,0.7,60.68,0.7,72.97,0.35,213.22,313.15,0.0,18.76
2023-01-17 10:00:00,2023-01-17 11:00:00,35.18,61.64,3.63,13.15,11.21,16.53,42.79,0.74,77.97,0.7,63.22,0.41,258.42,414.15,0.0,21.43
2023-01-17 11:00:00,2023-01-17 12:00:00,36.92,77.15,4.44,24.33,17.7,16.76,69.09,0.91,96.91,0.7,55.76,0.24,250.52,490.62,0.0,23.87
2023-01-17 12:00:00,2023-01-17 13:00:00,40.09,97.44,5.74,40.21,27.04,17.68,20.66,0.91,106.95,0.71,49.86,0.3,174.92,499.78,0.0,25.56
2023-01-17 13:00:00,2023-01-17 14:00:00,41.41,102.99,5.26,31.95,22.65,17.57,173.71,0.92,127.23,0.7,49.11,0.69,225.62,419.6,0.0,25.85
2023-01-17 14:00:00,2023-01-17 15:00:00,44.78,96.94,4.37,23.33,17.76,17.65,,0.8,145.42,0.69,47.94,0.55,251.56,381.03,0.0,26.3
2023-01-17 15:00:00,2023-01-17 16:00:00,45.14,96.24,3.19,22.1,15.54,17.59,,0.76,138.1,0.68,50.45,0.77,273.46,232.75,0.0,25.97
2023-01-17 16:00:00,2023-01-17 17:00:00,45.28,97.24,2.81,23.11,15.76,17.42,,1.33,114.05,0.72,56.62,0.22,159.37,97.05,0.0,24.99
2023-01-17 17:00:00,2023-01-17 18:00:00,53.31,108.22,2.89,26.62,17.65,17.47,78.44,1.88,89.15,0.99,68.16,0.22,52.61,29.2,0.0,22.45
2023-01-17 18:00:00,2023-01-17 19:00:00,65.86,126.2,6.98,45.76,41.93,17.56,56.32,1.73,28.29,0.86,82.68,0.22,134.3,23.2,0.0,20.19
2023-01-17 19:00:00,2023-01-17 20:00:00,68.19,170.35,4.42,27.64,19.42,17.53,42.23,1.1,42.8,0.78,87.44,0.21,175.28,23.05,0.0,19.43
2023-01-17 20:00:00,2023-01-17 21:00:00,59.91,133.9,3.6,29.5,19.73,17.27,28.14,1.43,29.74,0.75,90.4,0.14,162.87,23.23,0.0,18.99
2023-01-17 21:00:00,2023-01-17 22:00:00,60.32,123.2,6.64,37.16,26.17,17.24,21.77,1.42,11.19,0.83,93.35,0.23,56.46,23.12,0.0,18.29
2023-01-17 22:00:00,2023-01-17 23:00:00,59.0,141.52,3.94,25.12,17.72,17.37,18.73,1.02,10.91,0.76,95.93,0.17,145.85,22.93,0.0,17.44
2023-01-17 23:00:00,2023-01-18 00:00:00,57.96,122.83,4.91,25.43,18.65,17.32,28.31,1.04,15.66,0.73,96.0,0.17,135.22,22.85,0.0,17.12
2023-01-18 00:00:00,2023-01-18 01:00:00,55.2,108.39,2.81,17.08,12.62,17.23,25.42,0.9,9.62,0.72,98.38,0.16,147.34,22.98,0.0,16.34
2023-01-18 01:00:00,2023-01-18 02:00:00,50.46,84.8,2.77,18.08,13.1,17.2,25.15,0.85,15.73,0.71,97.47,0.15,150.78,22.8,0.0,15.99
2023-01-18 02:00:00,2023-01-18 03:00:00,49.19,82.9,6.27,21.15,17.5,17.23,28.8,0.9,12.88,0.7,98.14,0.28,53.3,22.88,0.0,15.57
2023-01-18 03:00:00,2023-01-18 04:00:00,44.53,84.66,3.9,18.76,14.36,17.31,19.37,0.9,10.99,0.71,98.48,0.4,16.01,22.87,0.0,15.29
2023-01-18 04:00:00,2023-01-18 05:00:00,41.67,74.49,2.75,14.76,11.35,17.21,20.66,0.84,15.84,0.71,98.55,0.1,135.73,22.82,0.0,14.99
2023-01-18 05:00:00,2023-01-18 06:00:00,41.71,72.38,2.98,12.4,10.3,17.17,27.29,0.81,28.03,0.71,97.59,0.26,189.47,22.92,0.0,14.93
2023-01-18 06:00:00,2023-01-18 07:00:00,37.9,70.12,3.48,15.9,12.53,17.08,25.43,0.86,18.86,0.71,97.75,0.38,234.72,27.5,0.0,14.71
2023-01-18 07:00:00,2023-01-18 08:00:00,39.84,68.89,6.86,22.69,18.78,17.09,24.35,0.93,19.97,0.73,92.8,0.25,209.53,73.08,0.0,15.48
2023-01-18 08:00:00,2023-01-18 09:00:00,41.09,69.99,6.32,11.6,12.56,17.09,24.96,0.85,30.45,0.73,87.64,0.47,203.33,150.6,0.0,16.76
2023-01-18 09:00:00,2023-01-18 10:00:00,40.16,70.74,5.14,13.92,12.83,17.03,26.43,0.83,44.09,0.71,76.96,0.33,215.39,261.52,0.0,19.16
2023-01-18 10:00:00,2023-01-18 11:00:00,40.1,71.19,6.61,27.06,21.55,17.25,33.95,0.84,62.55,0.72,66.2,0.39,297.62,360.6,0.0,21.73
2023-01-18 11:00:00,2023-01-18 12:00:00,48.79,85.47,9.81,56.36,38.74,17.92,,0.86,64.17,0.73,60.76,0.38,249.48,389.22,0.0,23.54
2023-01-18 12:00:00,2023-01-18 13:00:00,51.3,90.4,5.97,41.5,27.9,17.77,13.71,0.84,84.45,0.4,57.87,0.39,251.66,447.08,0.0,24.72
2023-01-18 13:00:00,2023-01-18 14:00:00,54.08,102.61,5.97,40.04,27.21,17.57,,0.87,101.52,0.72,56.84,0.39,207.5,429.48,0.0,25.31
2023-01-18 14:00:00,2023-01-18 15:00:00,55.96,107.87,5.38,46.54,30.07,17.38,,0.87,94.08,0.71,57.65,0.73,266.84,355.65,0.0,25.57
2023-01-18 15:00:00,2023-01-18 16:00:00,55.78,104.15,3.66,35.95,23.15,17.42,,0.82,111.07,0.7,56.61,0.8,277.78,235.3,0.0,25.47
2023-01-18 16:00:00,2023-01-18 17:00:00,56.88,101.47,3.04,32.55,20.87,17.41,,0.81,105.96,0.7,60.87,0.28,112.33,94.75,0.0,24.57
2023-01-18 17:00:00,2023-01-18 18:00:00,55.57,106.39,2.81,39.34,24.24,17.35,,0.95,79.16,0.69,73.13,0.3,33.04,29.57,0.0,22.29
2023-01-18 18:00:00,2023-01-18 19:00:00,60.84,125.11,3.48,46.75,28.64,17.12,72.73,1.13,34.98,0.78,86.61,0.22,162.39,23.13,0.0,20.43
2023-01-18 19:00:00,2023-01-18 20:00:00,65.23,128.05,4.8,43.06,27.79,16.93,47.7,1.27,16.57,0.77,94.57,0.17,80.52,22.93,0.0,18.9
2023-01-18 20:00:00,2023-01-18 21:00:00,68.09,137.37,4.74,25.1,18.35,16.97,32.43,1.05,19.83,0.8,95.43,0.2,166.11,22.8,0.0,18.21
2023-01-18 21:00:00,2023-01-18 22:00:00,64.81,123.29,4.12,20.86,15.64,16.89,29.79,1.04,21.85,0.74,97.26,0.18,149.66,22.88,0.0,17.35
2023-01-18 22:00:00,2023-01-18 23:00:00,61.04,106.54,3.39,22.04,15.66,16.8,22.33,1.02,14.54,0.74,99.21,0.18,80.75,22.93,0.0,16.8
2023-01-18 23:00:00,2023-01-19 00:00:00,60.39,104.69,3.0,23.43,16.08,16.73,16.52,0.95,9.17,0.73,99.52,0.2,60.52,22.95,0.0,16.07
2023-01-19 00:00:00,2023-01-19 01:00:00,56.13,102.74,11.33,30.12,26.25,16.95,13.14,0.97,4.85,0.72,,0.28,29.29,22.9,0.0,15.8
2023-01-19 01:00:00,2023-01-19 02:00:00,56.42,113.09,3.89,21.57,15.82,17.27,11.93,0.92,6.89,0.72,,0.18,77.14,22.93,0.0,15.28
2023-01-19 02:00:00,2023-01-19 03:00:00,55.48,100.34,2.71,12.09,9.92,17.14,12.12,0.9,19.31,0.71,,0.22,201.13,22.82,0.0,15.04
2023-01-19 03:00:00,2023-01-19 04:00:00,53.46,92.35,2.72,14.14,11.0,16.91,14.15,0.93,17.03,0.72,,0.21,189.88,23.0,0.0,14.77
2023-01-19 04:00:00,2023-01-19 05:00:00,49.01,88.51,2.66,11.94,9.81,16.86,12.1,0.91,16.33,0.72,,0.25,239.15,23.02,0.0,14.33
2023-01-19 05:00:00,2023-01-19 06:00:00,44.8,76.76,3.43,10.83,9.84,16.8,12.82,0.88,21.33,0.72,99.88,0.23,211.97,23.05,0.0,13.93
2023-01-19 06:00:00,2023-01-19 07:00:00,44.44,64.49,4.1,10.44,10.17,16.75,11.22,0.89,19.94,0.71,,0.36,207.38,28.05,0.0,13.46
2023-01-19 07:00:00,2023-01-19 08:00:00,45.7,65.9,7.83,12.31,14.0,16.74,10.62,0.88,20.27,0.72,96.87,0.38,241.08,76.95,0.0,13.96
2023-01-19 08:00:00,2023-01-19 09:00:00,40.51,66.69,9.11,12.37,16.49,17.04,12.25,0.84,30.31,0.72,91.5,0.4,212.94,161.5,0.0,15.58
2023-01-19 09:00:00,2023-01-19 10:00:00,37.55,64.41,4.26,13.45,11.88,17.12,16.59,0.84,48.14,0.7,80.1,0.41,257.58,283.05,0.0,18.32
2023-01-19 10:00:00,2023-01-19 11:00:00,45.03,67.35,3.63,16.22,12.82,16.83,27.77,0.85,66.51,0.71,69.16,0.4,216.44,363.73,0.0,21.13
2023-01-19 11:00:00,2023-01-19 12:00:00,49.71,85.78,5.64,37.35,25.46,16.96,,0.93,77.63,0.73,63.55,0.27,267.04,349.98,0.0,23.0
2023-01-19 12:00:00,2023-01-19 13:00:00,53.33,97.45,15.41,63.23,54.21,17.97,11.76,0.91,59.84,0.73,60.64,0.44,170.79,476.5,0.0,24.13
2023-01-19 13:00:00,2023-01-19 14:00:00,58.18,108.15,13.44,70.82,53.63,18.43,,0.91,72.62,0.72,57.19,0.37,242.03,450.4,0.0,25.35
2023-01-19 14:00:00,2023-01-19 15:00:00,58.81,107.72,5.98,52.2,33.99,18.21,,0.85,102.75,0.71,55.28,0.74,275.67,372.2,0.0,25.9
2023-01-19 15:00:00,2023-01-19 16:00:00,60.33,112.52,4.18,44.42,27.99,18.2,,0.81,105.61,0.69,57.04,0.7,272.46,230.7,0.0,25.74
2023-01-19 16:00:00,2023-01-19 17:00:00,58.66,115.34,2.87,28.86,18.81,17.98,,0.8,112.67,0.69,62.4,0.32,170.92,94.17,0.0,24.73
2023-01-19 17:00:00,2023-01-19 18:00:00,60.2,115.14,2.71,27.21,17.82,17.46,,0.83,96.91,0.68,73.97,0.28,34.47,30.12,0.0,22.4
2023-01-19 18:00:00,2023-01-19 19:00:00,60.47,124.9,6.29,68.78,46.51,17.23,67.07,1.4,21.47,0.79,85.21,0.29,27.9,23.1,0.0,20.39
2023-01-19 19:00:00,2023-01-19 20:00:00,78.52,275.65,5.79,48.62,31.48,17.3,42.25,1.34,17.45,0.8,93.06,0.12,96.94,22.95,0.0,18.93
2023-01-19 20:00:00,2023-01-19 21:00:00,76.44,163.43,5.4,37.72,25.47,17.31,26.38,1.23,9.8,0.79,95.92,0.12,159.85,22.82,0.0,18.12
2023-01-19 21:00:00,2023-01-19 22:00:00,77.21,140.49,6.08,26.7,20.26,17.22,19.24,1.08,12.53,0.75,96.8,0.17,82.46,22.95,0.0,17.42
2023-01-19 22:00:00,2023-01-19 23:00:00,77.82,163.26,6.01,31.43,22.67,17.23,14.98,1.0,7.89,0.73,98.17,0.22,121.61,22.88,0.0,16.75
2023-01-19 23:00:00,2023-01-20 00:00:00,72.45,155.08,3.64,25.09,17.46,17.36,13.05,1.0,10.82,0.71,99.72,0.18,59.67,22.82,0.0,16.37
2023-01-20 00:00:00,2023-01-20 01:00:00,66.87,131.96,3.17,22.57,15.77,17.39,13.97,0.91,7.81,0.71,99.39,0.2,116.27,22.95,0.0,15.98
