From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),SR (W/mt2),BP (mmHg),RF (mm),AT (degree C)
2022-11-26 11:00:00,2022-11-26 12:00:00,51.95,99.12,28.46,43.59,72.04,222.28,4.53,1.05,41.45,1.04,37.62,0.8,1.02,,,0.6,135.98,,0.0,23.06
2022-11-26 12:00:00,2022-11-26 13:00:00,45.01,86.16,26.0,43.77,69.83,197.94,6.92,0.99,55.81,0.93,35.94,0.8,1.02,,,0.69,174.07,,0.0,23.77
2022-11-26 13:00:00,2022-11-26 14:00:00,50.71,88.93,32.01,48.86,81.06,196.68,6.0,1.0,44.32,0.86,34.26,0.78,0.94,,,0.59,402.78,,0.0,24.31
2022-11-26 14:00:00,2022-11-26 15:00:00,42.65,98.74,35.48,51.05,86.64,202.84,5.75,0.98,48.61,0.84,34.94,0.82,0.98,,,0.54,315.85,,0.0,24.53
2022-11-26 15:00:00,2022-11-26 16:00:00,51.85,108.88,47.55,57.4,104.83,209.5,5.19,1.0,37.79,0.83,35.74,0.89,1.03,,,0.48,142.85,,0.0,24.16
2022-11-26 16:00:00,2022-11-26 17:00:00,43.35,111.26,58.98,58.16,117.17,212.58,3.54,1.01,23.36,0.85,38.49,0.99,1.15,,,0.34,34.67,,0.0,22.34
2022-11-26 17:00:00,2022-11-26 18:00:00,51.31,117.93,59.37,57.57,117.01,223.29,3.0,1.07,19.79,0.88,41.38,1.08,1.23,,,0.23,9.87,,0.0,19.35
2022-11-26 18:00:00,2022-11-26 19:00:00,61.84,151.38,55.92,56.11,112.06,215.23,2.96,1.12,19.63,0.94,42.21,1.09,1.25,,,0.22,8.31,,0.0,17.52
2022-11-26 19:00:00,2022-11-26 20:00:00,50.14,145.51,53.95,55.46,109.35,234.01,2.9,1.15,14.71,0.96,43.02,1.1,1.27,,,0.15,8.29,,0.0,16.09
2022-11-26 20:00:00,2022-11-26 21:00:00,51.47,128.35,52.07,51.52,103.46,273.31,2.75,1.16,12.54,0.99,43.84,1.1,1.3,,,0.07,8.14,,0.0,14.64
2022-11-26 21:00:00,2022-11-26 22:00:00,59.45,131.31,50.61,49.66,100.25,271.92,2.91,1.26,13.08,1.12,43.63,1.08,1.25,,,0.09,8.09,,0.0,13.56
2022-11-26 22:00:00,2022-11-26 23:00:00,51.97,131.69,49.62,48.03,97.55,281.06,2.75,1.31,11.92,1.23,42.92,1.06,1.27,,,0.09,7.93,,0.0,12.84
2022-11-26 23:00:00,2022-11-27 00:00:00,56.99,126.76,50.03,46.45,96.51,270.92,2.59,1.3,13.15,1.23,42.21,1.02,1.25,,,0.1,7.92,,0.0,12.25
2022-11-27 00:00:00,2022-11-27 01:00:00,59.24,120.13,46.67,45.53,92.16,218.4,2.67,1.23,12.57,1.15,41.1,0.96,1.19,,,0.14,7.85,,0.0,12.11
2022-11-27 01:00:00,2022-11-27 02:00:00,52.38,110.15,44.1,43.08,87.14,225.36,2.47,1.16,12.88,1.04,40.34,0.92,1.16,,,0.1,7.87,,0.0,11.63
2022-11-27 02:00:00,2022-11-27 03:00:00,40.03,110.74,41.74,41.6,83.33,227.49,2.43,1.09,13.46,0.95,39.67,0.88,1.09,,,0.13,7.84,,0.0,11.3
2022-11-27 03:00:00,2022-11-27 04:00:00,33.51,107.45,39.28,41.35,80.66,234.2,2.32,1.04,12.54,0.88,38.9,0.82,1.04,,,0.11,7.88,,0.0,10.97
2022-11-27 04:00:00,2022-11-27 05:00:00,42.84,107.4,38.37,40.95,79.24,292.44,2.38,1.0,11.86,0.82,38.46,0.82,1.04,,,0.08,7.87,,0.0,10.68
2022-11-27 05:00:00,2022-11-27 06:00:00,36.88,109.92,38.24,39.69,77.9,282.88,2.38,0.98,12.27,0.78,37.71,0.8,0.99,,,0.07,7.89,,0.0,10.44
2022-11-27 06:00:00,2022-11-27 07:00:00,43.22,102.23,38.3,40.02,78.33,271.65,2.41,0.98,12.6,0.81,37.07,0.78,0.98,,,0.09,16.51,,0.0,10.61
2022-11-27 07:00:00,2022-11-27 08:00:00,52.44,130.03,40.55,42.2,82.89,279.61,2.54,1.07,12.83,1.07,37.04,0.63,1.21,,,0.18,39.64,,0.0,12.5
2022-11-27 08:00:00,2022-11-27 09:00:00,57.4,160.19,39.24,42.62,81.84,256.89,2.47,1.1,14.9,1.23,36.16,0.83,1.19,,,0.21,55.09,,0.0,16.13
2022-11-27 09:00:00,2022-11-27 10:00:00,50.68,137.95,36.01,43.15,79.16,254.41,3.54,1.08,20.84,1.19,36.7,0.84,1.19,,,0.29,67.48,,0.0,19.7
2022-11-27 10:00:00,2022-11-27 11:00:00,51.35,119.3,31.32,42.17,73.48,249.01,5.26,1.04,30.78,1.12,37.19,0.83,1.14,,,0.35,93.31,,0.0,21.81
2022-11-27 11:00:00,2022-11-27 12:00:00,52.28,92.42,32.29,42.4,74.72,273.55,5.12,1.01,30.38,1.09,39.13,0.87,1.15,,,0.41,124.29,,0.0,23.14
2022-11-27 12:00:00,2022-11-27 13:00:00,45.2,102.58,32.98,45.33,78.42,226.84,6.07,0.98,39.27,1.04,39.53,0.86,1.13,,,0.48,125.3,,0.0,23.81
2022-11-27 13:00:00,2022-11-27 14:00:00,50.38,96.38,38.2,50.27,88.64,231.3,6.39,0.96,45.0,1.01,40.08,0.91,1.16,,,0.65,352.4,,0.0,24.16
2022-11-27 14:00:00,2022-11-27 15:00:00,46.18,106.49,45.22,55.75,100.93,224.48,5.31,0.98,34.1,0.95,38.1,0.88,1.12,,,0.39,296.86,,0.0,24.5
2022-11-27 15:00:00,2022-11-27 16:00:00,54.06,122.22,57.95,61.33,119.5,255.96,4.37,1.01,26.56,0.96,42.01,1.0,1.23,,,0.21,135.12,,0.0,24.22
2022-11-27 16:00:00,2022-11-27 17:00:00,45.45,132.13,75.64,64.6,140.19,260.25,3.78,1.05,14.17,0.99,44.81,1.1,1.33,,,0.13,35.67,,0.0,22.23
2022-11-27 17:00:00,2022-11-27 18:00:00,53.82,127.69,75.98,66.37,142.4,242.77,3.44,1.08,12.56,1.09,46.94,1.17,1.39,,,0.15,12.4,,0.0,19.87
2022-11-27 18:00:00,2022-11-27 19:00:00,65.37,125.14,68.04,61.95,129.84,237.64,3.38,1.14,12.44,1.35,47.82,1.18,1.37,,,0.15,8.43,,0.0,18.06
2022-11-27 19:00:00,2022-11-27 20:00:00,65.51,119.88,63.57,58.65,122.24,242.74,3.35,1.19,17.26,1.36,48.19,1.17,1.38,,,0.13,8.39,,0.0,15.99
2022-11-27 20:00:00,2022-11-27 21:00:00,66.84,128.82,59.94,55.85,115.73,270.45,3.39,1.24,18.0,1.39,48.68,1.17,1.36,,,0.15,8.18,,0.0,15.1
2022-11-27 21:00:00,2022-11-27 22:00:00,64.63,150.59,56.88,54.49,111.32,268.96,3.2,1.29,17.79,1.44,48.06,1.11,1.28,,,0.11,8.21,,0.0,14.52
2022-11-27 22:00:00,2022-11-27 23:00:00,66.2,148.45,55.2,51.98,107.08,281.25,3.01,1.33,18.59,1.47,46.8,1.09,1.29,,,0.14,8.23,,0.0,13.58
2022-11-27 23:00:00,2022-11-28 00:00:00,65.31,139.67,54.84,51.86,106.77,282.56,2.89,1.35,17.56,1.51,45.65,1.11,1.34,,,0.09,8.08,,0.0,12.92
2022-11-28 00:00:00,2022-11-28 01:00:00,61.28,142.28,53.7,48.28,101.86,268.69,2.88,1.3,17.79,1.44,44.33,1.05,1.29,,,0.08,7.91,,0.0,12.38
2022-11-28 01:00:00,2022-11-28 02:00:00,57.61,134.89,52.19,47.41,99.61,245.05,2.71,1.25,18.76,1.36,43.04,0.99,1.23,,,0.12,7.99,,0.0,12.19
2022-11-28 02:00:00,2022-11-28 03:00:00,61.98,154.81,53.45,48.12,101.55,240.18,2.73,1.21,18.02,1.27,42.17,0.93,1.16,,,0.09,7.98,,0.0,11.34
2022-11-28 03:00:00,2022-11-28 04:00:00,56.31,146.11,54.23,48.02,102.33,237.06,2.47,1.2,18.2,1.18,41.33,0.89,1.1,,,0.09,7.87,,0.0,11.14
2022-11-28 04:00:00,2022-11-28 05:00:00,53.9,137.31,52.09,48.49,100.54,264.59,2.62,1.16,18.06,1.12,40.75,0.85,1.06,,,0.08,7.93,,0.0,11.08
2022-11-28 05:00:00,2022-11-28 06:00:00,48.6,118.13,50.15,47.06,97.19,298.99,2.55,1.13,18.54,1.08,40.42,0.84,1.02,,,0.08,7.89,,0.0,10.82
2022-11-28 06:00:00,2022-11-28 07:00:00,50.59,109.27,49.24,45.57,94.8,283.67,2.5,1.14,16.91,1.06,39.73,0.82,1.03,,,0.11,16.31,,0.0,10.84
2022-11-28 07:00:00,2022-11-28 08:00:00,58.77,112.81,49.15,46.1,95.3,296.96,2.55,1.23,18.29,1.23,39.19,0.84,1.15,,,0.17,43.32,,0.0,12.51
2022-11-28 08:00:00,2022-11-28 09:00:00,73.14,153.17,45.72,46.37,92.08,284.97,2.76,1.26,20.55,1.45,38.46,0.87,1.21,,,0.18,64.22,,0.0,16.09
2022-11-28 09:00:00,2022-11-28 10:00:00,62.94,147.03,42.13,47.09,89.24,274.86,3.67,1.25,25.0,1.43,38.28,0.84,1.15,,,0.24,78.67,,0.0,19.76
2022-11-28 10:00:00,2022-11-28 11:00:00,57.55,147.05,34.71,46.21,80.88,263.64,5.87,1.23,41.64,1.38,38.37,0.86,1.15,,,0.48,114.06,,0.0,22.0
2022-11-28 11:00:00,2022-11-28 12:00:00,55.9,141.51,33.7,47.85,81.6,270.59,6.13,1.18,45.17,1.33,37.83,0.85,1.1,,,0.54,134.14,,0.0,23.0
2022-11-28 12:00:00,2022-11-28 13:00:00,55.55,137.55,35.18,48.02,83.21,272.42,5.82,1.16,47.37,1.32,38.41,0.86,1.08,,,0.65,180.76,,0.0,23.66
2022-11-28 13:00:00,2022-11-28 14:00:00,60.8,126.72,40.75,52.55,93.41,219.83,5.32,1.15,39.7,1.29,38.46,0.92,1.13,,,0.54,363.66,,0.0,24.23
2022-11-28 14:00:00,2022-11-28 15:00:00,66.02,123.09,53.4,58.27,111.86,242.79,4.11,1.16,35.09,1.26,38.84,0.96,1.16,,,0.42,299.11,,0.0,24.64
2022-11-28 15:00:00,2022-11-28 16:00:00,48.61,129.23,64.48,64.67,129.22,273.21,4.06,1.18,33.91,1.26,40.84,1.03,1.21,,,0.39,137.19,,0.0,24.34
2022-11-28 16:00:00,2022-11-28 17:00:00,59.24,111.78,82.36,72.41,154.88,278.0,3.13,1.2,21.9,1.23,40.7,1.04,1.17,,,0.21,35.71,,0.0,22.42
2022-11-28 17:00:00,2022-11-28 18:00:00,56.43,110.21,90.41,74.62,164.98,261.54,2.83,1.22,18.58,1.27,43.54,1.14,1.29,,,0.17,9.8,,0.0,18.92
2022-11-28 18:00:00,2022-11-28 19:00:00,62.08,134.06,79.71,68.23,147.83,249.96,2.84,1.3,18.28,1.38,45.11,1.18,1.37,,,0.15,8.34,,0.0,17.11
2022-11-28 19:00:00,2022-11-28 20:00:00,71.69,144.01,73.62,64.08,137.66,265.51,2.74,1.39,14.17,1.53,46.26,1.18,1.38,,,0.15,8.19,,0.0,16.3
2022-11-28 20:00:00,2022-11-28 21:00:00,73.45,148.37,67.93,61.24,129.2,268.32,2.61,1.37,13.35,1.61,46.75,1.16,1.38,,,0.17,8.21,,0.0,15.79
2022-11-28 21:00:00,2022-11-28 22:00:00,71.53,159.41,62.54,58.26,120.56,324.86,2.54,1.41,13.11,1.63,46.93,1.13,1.31,,,0.1,8.13,,0.0,15.24
2022-11-28 22:00:00,2022-11-28 23:00:00,77.68,149.22,58.98,56.59,115.66,314.52,2.39,1.44,12.78,1.64,46.38,1.12,1.34,,,0.12,8.25,,0.0,14.46
2022-11-28 23:00:00,2022-11-29 00:00:00,78.07,150.49,57.56,54.65,112.09,328.21,2.26,1.46,12.82,1.64,45.51,1.09,1.31,,,0.08,8.08,,0.0,13.68
2022-11-29 00:00:00,2022-11-29 01:00:00,70.89,155.18,59.01,53.59,112.67,319.59,2.38,1.45,13.31,1.62,44.66,1.07,1.32,,,0.1,8.07,,0.0,13.41
2022-11-29 01:00:00,2022-11-29 02:00:00,71.98,149.84,60.05,54.13,114.12,282.98,2.2,1.44,14.23,1.57,43.66,1.04,1.29,,,0.11,8.05,,0.0,12.85
2022-11-29 02:00:00,2022-11-29 03:00:00,73.04,155.53,59.98,53.46,113.49,282.58,2.15,1.42,13.72,1.5,42.94,0.98,1.22,,,0.11,8.06,,0.0,12.55
2022-11-29 03:00:00,2022-11-29 04:00:00,71.67,150.06,61.59,53.81,115.45,290.82,2.02,1.42,13.06,1.44,42.3,0.94,1.15,,,0.08,7.96,,0.0,12.18
2022-11-29 04:00:00,2022-11-29 05:00:00,73.75,149.15,63.48,54.49,117.91,300.26,2.07,1.39,13.53,1.39,41.62,0.91,1.13,,,0.11,8.01,,0.0,12.41
2022-11-29 05:00:00,2022-11-29 06:00:00,68.27,146.89,62.1,53.91,115.98,319.55,2.07,1.35,13.3,1.35,41.39,0.91,1.12,,,0.08,8.04,,0.0,11.83
2022-11-29 06:00:00,2022-11-29 07:00:00,68.43,133.08,61.35,52.18,113.49,305.88,2.06,1.35,12.91,1.33,40.84,0.89,1.09,,,0.15,15.7,,0.0,11.58
2022-11-29 07:00:00,2022-11-29 08:00:00,72.47,140.44,61.63,52.28,113.98,308.66,2.24,1.38,13.39,1.34,39.95,0.89,1.1,,,0.14,42.95,,0.0,13.11
2022-11-29 08:00:00,2022-11-29 09:00:00,72.75,154.54,58.55,52.72,111.31,314.62,2.43,1.42,14.64,1.46,39.25,0.89,1.14,,,0.2,65.79,,0.0,16.59
2022-11-29 09:00:00,2022-11-29 10:00:00,82.77,165.06,47.46,53.5,100.94,269.9,6.54,1.39,30.65,1.52,38.39,0.86,1.11,,,0.54,82.86,,0.0,20.16
2022-11-29 10:00:00,2022-11-29 11:00:00,76.53,153.31,40.94,50.42,90.91,274.21,5.19,1.32,41.37,1.5,37.98,0.85,1.07,,,0.45,111.19,,0.0,22.12
2022-11-29 11:00:00,2022-11-29 12:00:00,,,5.52,24.5,29.75,243.6,9.7,0.94,129.96,1.47,18.71,0.41,0.51,,,0.72,132.03,,0.0,23.14
2022-11-29 12:00:00,2022-11-29 13:00:00,,,6.75,24.19,31.06,267.93,7.21,0.73,117.05,1.19,3.8,0.07,0.09,0.05,,0.49,146.85,,0.0,24.18
2022-11-29 13:00:00,2022-11-29 14:00:00,,,6.19,23.57,29.82,219.1,7.53,0.72,121.22,1.2,2.84,0.06,0.07,0.04,,0.51,353.33,,0.0,24.86
2022-11-29 14:00:00,2022-11-29 15:00:00,,,9.62,28.22,37.77,332.83,5.58,0.88,103.03,1.27,5.26,0.08,0.15,0.08,,0.34,283.1,,0.0,25.34
2022-11-29 15:00:00,2022-11-29 16:00:00,9.63,21.62,7.05,23.53,30.37,194.21,9.11,0.85,116.16,1.2,3.78,0.08,0.16,0.07,,0.23,128.89,,0.0,24.92
2022-11-29 16:00:00,2022-11-29 17:00:00,42.16,52.03,7.6,32.98,40.33,119.17,4.49,1.2,45.28,1.72,2.12,0.09,0.13,0.08,,0.33,44.53,,0.0,23.28
2022-11-29 17:00:00,2022-11-29 18:00:00,69.47,111.25,20.32,42.66,44.07,105.45,2.11,1.24,5.18,1.77,5.57,0.18,0.31,0.08,,0.17,9.77,,0.0,20.02
2022-11-29 18:00:00,2022-11-29 19:00:00,86.66,133.66,24.35,40.06,45.97,104.68,2.14,1.27,3.86,1.83,10.55,0.3,0.54,,,0.16,8.57,,0.0,18.07
2022-11-29 19:00:00,2022-11-29 20:00:00,89.03,143.44,25.64,38.72,46.36,106.74,2.08,1.33,5.82,1.91,15.43,0.4,0.7,0.38,,0.12,8.36,,0.0,17.29
2022-11-29 20:00:00,2022-11-29 21:00:00,94.19,141.95,28.92,39.34,49.34,110.42,2.21,1.4,7.1,1.93,19.97,0.49,0.84,0.51,,0.16,8.39,,0.0,16.68
2022-11-29 21:00:00,2022-11-29 22:00:00,90.95,154.16,31.35,39.48,51.4,123.97,2.29,1.44,6.77,1.91,23.87,0.58,0.96,0.57,,0.12,8.35,,0.0,16.35
2022-11-29 22:00:00,2022-11-29 23:00:00,98.35,158.67,35.56,41.66,56.01,129.96,2.07,1.47,6.41,1.87,27.05,0.67,1.13,0.6,,0.12,8.49,,0.0,15.67
2022-11-29 23:00:00,2022-11-30 00:00:00,86.2,154.31,40.47,43.48,60.96,131.44,2.17,1.5,6.46,1.8,29.44,0.72,1.17,0.64,,0.08,8.3,,0.0,14.85
2022-11-30 00:00:00,2022-11-30 01:00:00,91.41,162.36,42.42,43.96,62.77,137.31,2.13,1.5,5.98,1.79,31.25,0.74,1.15,0.66,,0.09,8.28,,0.0,14.54
2022-11-30 01:00:00,2022-11-30 02:00:00,89.46,153.69,45.29,45.16,65.76,156.78,2.36,1.47,6.34,1.71,32.67,0.77,1.19,0.49,,0.09,8.27,,0.0,14.21
2022-11-30 02:00:00,2022-11-30 03:00:00,90.7,162.76,49.23,47.49,70.15,152.58,2.15,1.43,6.68,1.64,33.69,0.8,1.23,0.17,,0.07,8.24,,0.0,13.69
2022-11-30 03:00:00,2022-11-30 04:00:00,90.45,185.91,51.84,47.63,72.34,147.92,2.31,1.44,6.28,1.59,34.47,0.79,1.2,0.49,,0.09,8.24,,0.0,13.45
2022-11-30 04:00:00,2022-11-30 05:00:00,93.3,218.12,53.78,48.55,74.42,150.52,2.3,1.43,6.12,1.52,35.02,0.78,1.16,0.56,,0.07,8.25,,0.0,13.24
2022-11-30 05:00:00,2022-11-30 06:00:00,102.05,200.83,54.92,48.02,75.07,154.78,2.24,1.43,5.98,1.46,35.59,0.77,1.15,0.38,,0.08,8.25,,0.0,13.06
2022-11-30 06:00:00,2022-11-30 07:00:00,96.19,208.48,56.31,49.92,77.21,172.37,2.41,1.53,5.8,1.56,36.22,0.78,1.14,0.47,,0.09,15.48,,0.0,13.26
2022-11-30 07:00:00,2022-11-30 08:00:00,90.46,183.95,60.16,51.74,81.32,193.15,2.52,1.65,5.21,1.79,36.8,0.83,1.27,0.6,,0.14,41.61,,0.0,14.94
2022-11-30 08:00:00,2022-11-30 09:00:00,111.89,194.38,59.72,55.46,82.96,191.94,2.97,1.69,8.43,1.91,37.12,0.85,1.25,0.6,,0.22,62.55,,0.0,19.14
2022-11-30 09:00:00,2022-11-30 10:00:00,104.57,180.46,53.21,56.82,78.23,202.27,6.44,1.62,18.41,1.91,37.24,0.87,1.26,0.45,,0.4,77.76,,0.0,21.46
2022-11-30 10:00:00,2022-11-30 11:00:00,99.7,168.07,52.55,57.28,78.02,175.87,7.61,1.54,25.54,1.88,36.14,0.88,1.27,0.51,,0.47,111.85,,0.0,22.81
2022-11-30 11:00:00,2022-11-30 12:00:00,93.75,154.68,50.47,58.84,77.09,164.0,6.64,1.45,28.78,1.8,36.33,0.91,1.29,0.17,,0.6,120.62,,0.0,24.19
2022-11-30 12:00:00,2022-11-30 13:00:00,82.27,144.12,53.27,56.97,78.38,198.58,4.61,1.39,22.69,1.72,37.33,0.97,1.33,0.08,,0.33,122.1,,0.0,25.92
2022-11-30 13:00:00,2022-11-30 14:00:00,81.34,129.62,66.73,59.0,90.53,279.66,3.69,1.33,18.55,1.61,38.44,1.0,1.39,0.48,,0.33,295.35,,0.0,26.8
2022-11-30 14:00:00,2022-11-30 15:00:00,69.93,129.18,89.35,70.09,114.76,237.56,3.73,1.31,13.18,1.59,40.19,1.08,1.47,0.7,,0.36,183.37,,0.0,26.08
2022-11-30 15:00:00,2022-11-30 16:00:00,58.61,100.81,107.68,82.7,136.34,220.15,4.37,1.27,17.04,1.5,40.66,1.11,1.52,0.81,,0.59,107.65,,0.0,25.54
2022-11-30 16:00:00,2022-11-30 17:00:00,52.14,101.42,99.82,88.67,132.94,167.7,5.67,1.2,25.22,1.38,37.07,1.02,1.38,0.12,,0.85,31.89,,0.0,23.93
2022-11-30 17:00:00,2022-11-30 18:00:00,58.23,112.77,129.13,95.29,160.27,172.16,4.45,1.29,9.16,1.42,37.54,1.06,1.38,0.2,,0.26,10.22,,0.0,22.13
2022-11-30 18:00:00,2022-11-30 19:00:00,85.68,156.46,138.63,98.39,169.61,179.67,3.5,1.33,6.45,1.5,40.69,1.2,1.53,,,0.12,8.69,,0.0,20.5
2022-11-30 19:00:00,2022-11-30 20:00:00,91.66,169.22,132.11,92.63,161.21,198.89,3.64,1.37,4.91,1.59,42.34,1.26,1.63,,,0.12,8.5,,0.0,19.3
2022-11-30 20:00:00,2022-11-30 21:00:00,86.55,152.97,124.43,86.3,151.68,197.36,3.46,1.46,4.25,1.63,43.63,1.27,1.66,,,0.09,8.65,,0.0,18.8
2022-11-30 21:00:00,2022-11-30 22:00:00,81.43,143.92,117.59,81.29,143.5,200.56,3.42,1.55,4.83,1.66,44.93,1.28,1.67,,,0.1,8.34,,0.0,18.27
2022-11-30 22:00:00,2022-11-30 23:00:00,83.25,150.44,111.09,76.94,135.93,214.41,3.57,1.58,4.59,1.69,46.06,1.28,1.69,0.23,,0.15,8.35,,0.0,17.62
2022-11-30 23:00:00,2022-12-01 00:00:00,81.77,136.02,107.12,75.66,131.98,219.95,3.36,1.6,3.81,1.68,46.88,1.31,1.77,0.56,,0.12,8.45,,0.0,16.79
2022-12-01 00:00:00,2022-12-01 01:00:00,78.28,134.53,97.31,69.73,120.92,218.68,3.31,1.58,5.06,1.63,46.86,1.3,1.78,0.9,,0.11,8.34,,0.0,16.2
2022-12-01 01:00:00,2022-12-01 02:00:00,73.69,123.07,90.87,66.19,113.88,236.34,3.31,1.58,5.27,1.57,46.84,1.26,1.71,0.56,,0.07,8.34,,0.0,15.95
2022-12-01 02:00:00,2022-12-01 03:00:00,70.67,126.28,87.37,66.89,111.41,244.31,3.18,1.53,4.17,1.5,46.57,1.23,1.65,0.21,,0.12,8.28,,0.0,15.65
2022-12-01 03:00:00,2022-12-01 04:00:00,71.01,136.4,82.06,69.03,108.14,251.72,3.06,1.5,4.04,1.42,46.5,1.19,1.59,0.09,,0.11,8.26,,0.0,15.27
2022-12-01 04:00:00,2022-12-01 05:00:00,76.62,138.89,77.57,63.38,101.48,260.48,3.11,1.46,4.79,1.36,46.36,1.15,1.49,0.12,,0.11,8.23,,0.0,15.01
2022-12-01 05:00:00,2022-12-01 06:00:00,66.48,130.11,72.11,59.34,94.97,263.39,2.96,1.42,4.23,1.34,45.91,1.12,1.46,0.28,,0.09,8.28,,0.0,14.38
2022-12-01 06:00:00,2022-12-01 07:00:00,68.78,135.13,68.1,56.71,90.3,276.87,3.01,1.42,4.45,1.31,45.31,1.09,1.46,0.2,,0.1,15.46,,0.0,14.29
