From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),AT (degree C),RF (mm)
2019-06-26 03:00:00,2019-06-26 04:00:00,9.32,33.03,,,,,8.77,0.28,22.64,0.56,,2.54,3.12,90.33,25.06,231.47,,1003.58,,,26.25,
2019-06-26 04:00:00,2019-06-26 05:00:00,13.0,34.2,,,,,8.07,0.22,22.52,0.35,,,0.27,86.91,24.43,228.5,,1003.74,,,27.07,
2019-06-26 05:00:00,2019-06-26 06:00:00,13.0,39.86,,,,,9.09,0.21,22.12,0.44,,,2.46,84.77,24.4,227.57,,1003.85,,,27.32,
2019-06-26 06:00:00,2019-06-26 07:00:00,13.08,35.89,,,,,9.2,0.21,24.41,1.91,,,,84.09,24.53,227.48,35.55,1004.34,,,27.42,
2019-06-26 07:00:00,2019-06-26 08:00:00,13.76,32.9,,,,,9.81,0.25,22.3,0.49,,0.43,1.59,81.1,24.91,229.13,229.52,1004.89,,,27.73,
2019-06-26 08:00:00,2019-06-26 09:00:00,10.52,29.93,,,,,10.59,0.35,25.28,2.58,,,0.81,81.39,25.08,230.33,362.57,1005.3,,,27.98,
2019-06-26 09:00:00,2019-06-26 10:00:00,4.67,27.75,,,,,9.73,0.31,27.03,2.65,,2.05,2.41,80.48,25.02,230.94,608.92,1005.3,,,28.38,
2019-06-26 10:00:00,2019-06-26 11:00:00,1.08,21.0,,,,,8.64,0.22,28.55,1.43,,0.65,0.39,80.66,24.58,230.05,741.82,1005.32,,,28.64,
2019-06-26 11:00:00,2019-06-26 12:00:00,2.58,21.18,,,,,9.2,0.15,31.21,1.76,,1.13,1.83,79.85,24.88,230.24,905.15,1005.18,,,28.87,
2019-06-26 12:00:00,2019-06-26 13:00:00,8.92,26.07,,,,,8.3,0.05,34.01,0.97,,1.42,,76.4,24.81,231.39,606.03,1004.67,,,29.71,
2019-06-26 13:00:00,2019-06-26 14:00:00,7.75,28.14,,,,,9.84,0.18,30.99,0.83,,1.73,1.11,74.21,25.03,233.84,723.12,1004.27,,,30.17,
2019-06-26 14:00:00,2019-06-26 15:00:00,4.76,31.86,,,,,9.5,0.22,28.36,0.59,,,1.93,74.67,25.12,232.95,335.73,1003.47,,,30.17,
2019-06-26 15:00:00,2019-06-26 16:00:00,2.08,28.07,,,,,9.45,0.17,30.47,3.2,,,2.41,74.7,25.31,233.88,179.56,1002.89,,,30.31,
2019-06-26 16:00:00,2019-06-26 17:00:00,3.24,29.89,,,,,10.0,0.23,25.73,0.0,,,2.2,77.33,25.41,233.19,109.09,1002.81,,,29.49,
2019-06-26 17:00:00,2019-06-26 18:00:00,5.92,26.92,,,,,9.62,0.19,25.41,1.09,,1.92,1.77,79.13,25.46,232.56,55.88,1002.65,,,28.93,
2019-06-26 18:00:00,2019-06-26 19:00:00,4.92,24.93,,,,,9.46,0.16,27.03,0.18,,0.24,,82.16,25.1,230.84,24.79,1003.08,,,28.47,
2019-06-26 19:00:00,2019-06-26 20:00:00,4.08,22.8,,,,,9.28,0.17,25.94,0.0,,,0.88,82.15,25.29,232.11,,1003.64,,,28.21,
2019-06-26 20:00:00,2019-06-26 21:00:00,5.16,17.22,,,,,9.5,0.15,27.05,0.0,,0.82,3.23,82.47,25.22,231.11,,1004.46,,,27.88,
2019-06-26 21:00:00,2019-06-26 22:00:00,6.6,22.89,,,,,9.65,0.1,31.29,0.0,,3.49,0.67,85.28,24.65,229.06,,1004.73,,,27.7,
2019-06-26 22:00:00,2019-06-26 23:00:00,1.84,19.57,,,,,9.31,0.11,33.29,0.0,,2.02,4.2,83.66,24.93,230.31,,1004.83,,,27.82,
2019-06-26 23:00:00,2019-06-27 00:00:00,,10.89,,,,,9.46,0.12,30.55,0.0,,0.38,4.2,82.45,25.74,232.49,,1004.27,,,27.91,
2019-06-27 00:00:00,2019-06-27 01:00:00,,7.97,,,,,9.1,0.15,25.62,0.0,,,0.38,86.52,24.91,227.15,,1003.64,,,27.34,
2019-06-27 01:00:00,2019-06-27 02:00:00,,7.18,,,,,9.23,0.12,26.53,0.0,,2.56,,88.53,24.85,226.48,,1003.12,,,26.76,
2019-06-27 02:00:00,2019-06-27 03:00:00,,12.76,,,,,9.5,0.41,15.86,1.45,,0.18,,90.42,24.05,222.36,,1002.91,,,26.46,
2019-06-27 03:00:00,2019-06-27 04:00:00,5.75,32.46,,,,,9.44,0.1,25.76,1.52,,2.87,1.3,93.17,23.77,224.89,,1002.56,,,25.58,
2019-06-27 04:00:00,2019-06-27 05:00:00,2.68,17.75,,,,,9.45,0.09,24.24,0.71,,1.86,1.59,92.41,24.94,226.56,,1002.61,,,25.79,
2019-06-27 05:00:00,2019-06-27 06:00:00,,11.36,,,,,9.76,0.11,26.78,0.0,,0.34,0.81,94.19,29.71,230.94,,1003.03,,,25.06,
2019-06-27 06:00:00,2019-06-27 07:00:00,,20.53,,,,,9.57,0.1,25.57,0.0,,1.45,0.95,95.83,8.46,195.61,13.9,1003.26,,,24.7,
2019-06-27 07:00:00,2019-06-27 08:00:00,2.37,9.73,,,,,9.86,0.6,15.78,1.36,,2.51,3.84,93.14,20.82,217.21,66.45,1003.7,,,25.74,
2019-06-27 08:00:00,2019-06-27 09:00:00,17.27,55.35,,,,,9.38,0.51,18.83,5.61,,,1.92,90.84,24.21,225.26,66.04,1003.92,,,26.21,
2019-06-27 09:00:00,2019-06-27 10:00:00,8.58,37.02,,,,,9.42,0.16,31.54,3.82,,1.33,,87.93,24.63,228.62,349.19,1003.99,,,26.98,
2019-06-27 10:00:00,2019-06-27 11:00:00,3.6,11.04,,,,,9.59,0.17,28.98,0.59,,0.78,4.04,85.64,25.63,232.2,385.17,1003.94,,,27.92,
2019-06-27 11:00:00,2019-06-27 12:00:00,,12.17,,,,,9.66,0.2,24.19,0.0,,0.26,6.43,76.24,25.36,234.09,717.63,1003.86,,,30.53,
2019-06-27 12:00:00,2019-06-27 13:00:00,0.43,17.05,,,,,9.29,0.17,26.96,0.0,,1.64,2.8,69.01,25.28,234.21,453.21,1003.27,,,31.43,
2019-06-27 13:00:00,2019-06-27 14:00:00,4.0,18.11,,,,,9.58,0.16,29.49,1.04,,3.97,0.17,68.66,25.4,234.56,622.2,1002.71,,,31.61,
2019-06-27 14:00:00,2019-06-27 15:00:00,3.92,20.82,,,,,9.56,0.14,34.06,1.69,,0.35,2.84,76.0,25.98,233.3,184.89,1002.09,,,29.5,
2019-06-27 15:00:00,2019-06-27 16:00:00,3.08,16.07,,,,,9.47,0.15,29.01,0.0,,1.02,1.57,79.48,25.95,233.53,70.34,1001.68,,,28.34,
2019-06-27 16:00:00,2019-06-27 17:00:00,3.92,18.0,,,,,9.67,0.14,27.57,2.34,,,1.63,81.61,25.79,185.45,131.81,1001.34,,,28.33,
2019-06-27 17:00:00,2019-06-27 18:00:00,2.84,21.93,4.48,3.65,8.14,9.54,9.68,0.16,26.75,1.69,,1.26,1.18,81.9,25.88,135.3,32.15,1001.85,,,27.78,
2019-06-27 18:00:00,2019-06-27 19:00:00,1.0,19.93,5.39,2.7,8.09,6.6,9.47,0.18,25.23,0.0,,,2.76,84.5,26.32,233.33,4.17,1002.22,,,27.41,
2019-06-27 19:00:00,2019-06-27 20:00:00,1.08,17.93,3.26,4.73,8.0,6.2,9.62,0.18,22.74,0.0,,5.01,,85.81,25.35,65.72,,1002.75,,,26.93,
2019-06-27 20:00:00,2019-06-27 21:00:00,2.48,16.04,8.78,2.38,10.31,5.13,9.02,0.1,27.95,1.64,,2.03,0.92,85.48,26.02,53.16,,1003.4,,,26.93,
2019-06-27 21:00:00,2019-06-27 22:00:00,7.58,16.93,4.61,2.57,7.19,5.29,9.39,0.07,29.44,2.12,,0.49,,86.42,26.06,53.18,,1004.02,,,26.86,
2019-06-27 22:00:00,2019-06-27 23:00:00,2.68,14.93,3.48,3.9,7.38,4.89,9.41,0.04,32.26,0.81,,,2.47,85.01,25.78,53.49,,1004.17,,,26.97,
2019-06-27 23:00:00,2019-06-28 00:00:00,,13.18,4.92,3.08,8.0,4.23,9.38,0.01,29.94,1.1,,,0.28,86.68,26.13,134.55,,1004.26,,,26.99,
2019-06-28 00:00:00,2019-06-28 01:00:00,0.75,17.82,2.08,2.62,4.71,4.45,9.6,0.0,33.03,0.46,,5.71,1.27,84.45,26.14,233.95,,1003.89,,,27.06,
2019-06-28 01:00:00,2019-06-28 02:00:00,,13.07,2.8,3.9,6.7,3.66,9.86,0.02,29.84,0.0,,0.45,,85.74,26.41,233.79,,1003.3,,,26.79,
2019-06-28 02:00:00,2019-06-28 03:00:00,,15.07,6.84,2.23,9.08,4.51,9.73,,26.82,0.0,,1.8,,85.77,25.97,233.94,,1002.58,,,26.9,
2019-06-28 03:00:00,2019-06-28 04:00:00,1.17,17.11,3.44,1.56,5.01,3.49,9.6,,31.88,0.0,,0.28,,84.9,25.91,151.83,,1001.71,,,27.07,
2019-06-28 04:00:00,2019-06-28 05:00:00,3.42,20.23,8.35,0.4,7.79,2.65,9.05,,33.02,2.54,,,,83.9,26.22,158.88,,1001.52,,,27.32,
2019-06-28 05:00:00,2019-06-28 06:00:00,8.0,26.25,3.92,0.89,4.81,2.82,9.4,,33.27,1.08,,2.63,,83.17,27.0,234.44,,1001.89,,,27.63,
2019-06-28 06:00:00,2019-06-28 07:00:00,7.84,33.05,4.31,1.57,5.88,2.81,9.37,,32.94,1.98,,1.73,3.71,81.57,26.57,234.43,4.14,1002.53,,,27.91,
2019-06-28 07:00:00,2019-06-28 08:00:00,5.92,34.0,5.65,5.27,10.93,2.56,9.49,0.01,31.79,0.65,,0.89,5.75,82.31,26.38,152.68,11.84,1002.97,,,27.39,
2019-06-28 08:00:00,2019-06-28 09:00:00,5.32,34.29,4.93,5.56,10.5,2.65,9.65,0.08,27.82,0.69,,5.27,0.31,82.71,25.9,135.55,47.09,1003.59,,,27.95,
2019-06-28 09:00:00,2019-06-28 10:00:00,8.67,42.07,3.59,5.71,9.26,2.62,9.86,0.01,26.32,0.0,,1.93,0.84,90.76,25.95,234.62,6.64,1003.99,,,26.41,
2019-06-28 10:00:00,2019-06-28 11:00:00,4.83,43.78,5.04,3.04,8.07,2.31,9.76,0.01,27.82,1.47,,1.38,2.73,90.04,26.38,234.51,18.51,1004.02,,,25.97,
2019-06-28 11:00:00,2019-06-28 12:00:00,3.56,38.03,8.85,3.85,12.73,1.75,9.52,0.11,22.73,0.2,,1.02,0.66,92.8,26.42,234.2,0.33,1004.0,,,25.68,
2019-06-28 12:00:00,2019-06-28 13:00:00,10.16,39.18,14.57,6.6,21.17,2.35,9.34,0.06,21.32,0.05,,4.22,4.07,94.27,25.25,152.54,,1003.82,,,25.65,
2019-06-28 13:00:00,2019-06-28 14:00:00,11.83,43.84,7.64,8.34,15.97,2.36,9.46,0.04,23.23,0.72,,2.81,3.55,94.53,25.74,136.13,,1003.45,,,25.61,
2019-06-28 14:00:00,2019-06-28 15:00:00,9.75,39.84,6.34,4.8,11.14,2.13,9.44,0.03,28.44,1.15,,3.0,1.25,94.59,25.8,152.62,,1002.63,,,25.27,
2019-06-28 15:00:00,2019-06-28 16:00:00,6.92,35.73,5.63,4.14,9.77,2.1,9.43,0.02,27.08,0.26,,1.37,0.64,94.6,25.67,52.2,4.03,1001.96,,,25.34,
2019-06-28 16:00:00,2019-06-28 17:00:00,5.76,28.47,5.06,6.78,11.83,1.94,9.42,0.03,28.21,2.75,,,0.43,95.32,25.09,54.44,6.1,1001.48,,,24.79,
2019-06-28 17:00:00,2019-06-28 18:00:00,2.67,18.0,4.11,2.5,6.61,2.2,9.68,0.0,30.15,1.48,,,3.28,95.22,25.91,135.09,3.88,1001.58,,,24.76,
2019-06-28 18:00:00,2019-06-28 19:00:00,,17.88,4.39,2.84,7.23,1.96,9.59,0.01,30.74,0.59,,,2.13,95.03,26.2,234.09,,1001.8,,,25.01,
2019-06-28 19:00:00,2019-06-28 20:00:00,,15.77,10.26,9.54,19.79,1.42,9.63,0.04,28.91,2.05,,2.16,,95.38,26.06,125.34,,1002.53,,,24.61,
2019-06-28 20:00:00,2019-06-28 21:00:00,1.17,31.0,7.04,3.29,10.33,1.82,9.34,0.02,33.76,1.94,,0.75,0.34,95.11,26.0,135.35,,1003.03,,,24.6,
2019-06-28 21:00:00,2019-06-28 22:00:00,2.92,30.67,5.26,3.14,8.4,1.71,9.47,0.0,39.23,0.39,,1.67,1.16,95.23,25.7,233.66,,1003.74,,,24.69,
2019-06-28 22:00:00,2019-06-28 23:00:00,2.0,21.22,5.25,4.46,9.71,1.48,9.42,,38.69,0.64,,2.85,2.14,95.05,25.79,233.8,,1004.08,,,24.79,
2019-06-28 23:00:00,2019-06-29 00:00:00,2.08,26.89,4.78,2.98,7.76,1.65,9.35,,41.49,1.57,,0.74,1.22,95.22,25.84,233.96,,1004.25,,,24.33,
2019-06-29 00:00:00,2019-06-29 01:00:00,2.92,24.04,4.71,3.25,7.95,1.51,9.51,,40.03,0.0,,0.06,,95.2,25.81,152.35,,1003.74,,,24.67,
2019-06-29 01:00:00,2019-06-29 02:00:00,1.83,24.82,3.5,2.02,5.52,1.67,9.66,,33.39,0.45,,1.4,2.06,94.88,25.67,135.78,,1002.67,,,25.03,
2019-06-29 02:00:00,2019-06-29 03:00:00,0.17,20.04,4.29,2.11,6.4,1.42,9.52,,37.66,0.33,,2.08,2.75,94.18,25.61,233.73,,1002.05,,,25.09,
2019-06-29 03:00:00,2019-06-29 04:00:00,2.17,21.12,3.58,1.58,5.17,1.43,9.6,,40.74,1.43,,4.09,1.95,93.32,25.65,233.42,,1001.73,,,25.26,
2019-06-29 04:00:00,2019-06-29 05:00:00,3.92,23.92,4.27,0.84,5.12,1.33,9.39,,44.87,0.19,,,,92.47,26.21,234.53,,1002.1,,,24.87,
2019-06-29 05:00:00,2019-06-29 06:00:00,3.16,22.4,8.07,1.11,7.65,0.98,9.14,,54.16,0.0,,4.19,1.19,94.29,26.17,234.11,,1002.72,,,23.46,
2019-06-29 06:00:00,2019-06-29 07:00:00,5.0,32.93,3.48,3.51,6.99,1.45,9.62,,54.15,0.49,,1.08,0.28,94.33,26.32,152.92,,1003.47,,,23.72,
2019-06-29 07:00:00,2019-06-29 08:00:00,5.42,31.65,5.23,14.11,19.34,1.2,9.5,0.18,43.0,1.36,,0.22,,94.15,24.79,128.34,5.32,1003.81,,,23.62,
2019-06-29 08:00:00,2019-06-29 09:00:00,9.83,48.38,6.21,11.47,17.68,1.49,9.5,0.1,48.84,2.02,,5.13,3.25,95.18,24.77,135.68,,1004.48,,,22.77,
2019-06-29 09:00:00,2019-06-29 10:00:00,7.92,33.11,9.32,8.32,17.63,1.99,9.63,0.07,42.79,2.19,,1.34,0.25,97.25,26.35,153.82,1.65,1004.23,,,22.92,
2019-06-29 10:00:00,2019-06-29 11:00:00,6.92,36.47,14.79,10.55,25.31,2.49,9.73,0.06,24.46,1.66,,2.7,1.15,97.31,26.08,136.83,19.92,1004.27,,,25.34,
2019-06-29 11:00:00,2019-06-29 12:00:00,6.32,47.86,11.01,9.83,20.85,1.38,9.74,0.06,27.74,4.58,,2.99,4.89,96.36,25.67,233.64,109.17,1003.98,,,25.65,
2019-06-29 12:00:00,2019-06-29 13:00:00,9.83,44.03,6.34,5.31,11.65,1.39,9.55,0.01,52.26,1.99,,0.48,7.35,95.05,25.9,152.07,39.83,1003.72,,,23.67,
2019-06-29 13:00:00,2019-06-29 14:00:00,8.42,45.14,7.7,6.79,14.49,1.61,9.31,0.01,42.82,0.0,,1.69,1.28,95.79,25.86,135.55,56.25,1003.19,,,24.43,
2019-06-29 14:00:00,2019-06-29 15:00:00,12.52,48.67,7.19,5.74,12.92,1.51,9.56,,42.76,0.99,,1.78,1.27,94.61,26.03,152.72,71.67,1002.8,,,24.81,
2019-06-29 15:00:00,2019-06-29 16:00:00,6.83,39.78,8.13,7.72,15.83,1.9,9.63,0.2,36.86,0.09,,2.35,2.2,92.02,26.0,135.89,151.72,1002.06,,,25.84,
2019-06-29 16:00:00,2019-06-29 17:00:00,5.08,34.0,5.61,6.27,11.88,2.03,9.59,0.2,43.56,1.69,,0.46,2.41,93.09,25.77,233.2,49.62,1001.63,,,24.24,
2019-06-29 17:00:00,2019-06-29 18:00:00,6.0,34.4,8.04,9.63,17.67,1.7,9.51,0.22,32.3,0.14,,,0.14,94.28,25.93,182.98,19.04,1001.67,,,25.26,
2019-06-29 18:00:00,2019-06-29 19:00:00,6.0,45.18,6.82,10.88,17.69,1.49,9.68,0.24,29.78,0.49,,3.12,,95.74,25.8,234.69,,1002.09,,,24.27,
2019-06-29 19:00:00,2019-06-29 20:00:00,6.17,50.03,9.4,14.14,23.54,1.86,9.59,0.28,21.34,1.88,,2.1,1.85,95.55,25.59,234.25,,1002.62,,,25.46,
2019-06-29 20:00:00,2019-06-29 21:00:00,7.92,50.74,3.84,6.0,9.84,1.87,9.59,0.23,35.02,0.1,,0.55,8.08,93.93,25.56,233.93,,1003.26,,,24.83,
2019-06-29 21:00:00,2019-06-29 22:00:00,6.92,44.07,8.58,4.74,13.32,1.27,9.16,0.21,31.53,1.29,,1.69,0.84,95.29,25.68,233.57,,1003.47,,,24.69,
2019-06-29 22:00:00,2019-06-29 23:00:00,5.92,45.93,4.47,7.75,12.22,1.59,9.55,0.18,38.33,1.23,,2.45,0.09,94.03,25.74,233.37,,1003.68,,,24.59,
2019-06-29 23:00:00,2019-06-30 00:00:00,5.16,44.07,5.71,5.99,11.68,1.3,9.29,0.17,39.68,1.27,,2.54,1.14,94.27,26.12,234.71,,1003.73,,,24.26,
2019-06-30 00:00:00,2019-06-30 01:00:00,7.08,45.89,5.16,7.9,13.06,1.4,9.62,0.17,43.15,0.97,,0.17,2.04,94.4,25.52,150.91,,1003.29,,,23.75,
2019-06-30 01:00:00,2019-06-30 02:00:00,7.75,42.46,4.1,2.55,6.65,1.73,9.55,0.15,37.48,0.0,,3.0,0.73,95.99,26.72,137.68,,1002.85,,,24.57,
2019-06-30 02:00:00,2019-06-30 03:00:00,4.42,27.82,4.82,2.22,7.04,1.44,9.58,0.16,30.73,2.49,,1.4,0.55,96.85,6.17,191.5,,1002.17,,,24.71,
2019-06-30 03:00:00,2019-06-30 04:00:00,,23.66,5.37,1.57,6.94,1.38,9.62,0.17,27.72,2.94,,2.29,1.22,96.44,16.95,83.22,,1001.49,,,25.27,
2019-06-30 04:00:00,2019-06-30 05:00:00,1.25,40.29,4.69,2.02,6.71,1.35,9.67,0.17,26.2,2.05,,2.59,2.22,95.9,25.43,55.11,,1001.74,,,25.77,
2019-06-30 05:00:00,2019-06-30 06:00:00,4.08,48.16,7.1,0.61,7.49,1.02,9.23,0.15,27.38,1.87,,7.4,1.84,95.95,25.98,54.85,,1002.07,,,25.81,
2019-06-30 06:00:00,2019-06-30 07:00:00,4.92,51.67,5.38,1.51,6.9,1.0,9.34,0.15,26.59,2.63,,2.55,0.8,95.8,25.86,135.41,,1002.68,,,25.88,
2019-06-30 07:00:00,2019-06-30 08:00:00,4.08,43.03,4.42,3.5,7.92,1.09,9.62,0.17,24.59,0.58,,1.5,0.47,95.75,25.56,233.59,26.72,1003.31,,,26.11,
2019-06-30 08:00:00,2019-06-30 09:00:00,5.08,44.39,4.62,3.15,7.78,1.09,9.62,0.17,32.26,4.45,,0.86,0.49,95.27,25.9,151.66,57.99,1003.56,,,26.26,
