From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),RH (%),WS (m/s),WD (degree),AT (degree C),RF (mm)
2019-05-28 16:00:00,2019-05-28 17:00:00,4.36,29.17,8.07,15.06,22.14,31.85,4.83,0.56,17.49,66.59,1.77,288.39,34.44,0.0
2019-05-28 17:00:00,2019-05-28 18:00:00,4.75,31.36,8.18,17.16,24.34,32.08,23.34,0.65,14.68,71.28,1.77,291.19,33.61,0.0
2019-05-28 18:00:00,2019-05-28 19:00:00,4.58,31.82,8.18,17.04,24.21,32.11,23.46,0.55,15.3,75.22,1.66,300.41,32.78,0.0
2019-05-28 19:00:00,2019-05-28 20:00:00,4.57,26.82,8.12,16.64,23.76,32.01,17.47,0.61,15.96,76.72,1.64,312.3,32.45,0.0
2019-05-28 20:00:00,2019-05-28 21:00:00,9.55,23.79,8.13,15.88,23.01,31.93,4.96,0.49,16.27,79.37,1.21,318.84,32.19,0.0
2019-05-28 21:00:00,2019-05-28 22:00:00,15.27,28.97,8.09,15.5,22.58,31.95,5.7,0.42,15.91,80.26,1.03,317.86,32.1,0.0
2019-05-28 22:00:00,2019-05-28 23:00:00,14.91,29.22,8.07,15.9,22.98,31.92,9.42,0.45,15.57,79.84,1.21,305.33,32.12,0.0
2019-05-28 23:00:00,2019-05-29 00:00:00,13.51,25.24,8.1,15.54,22.64,31.92,7.72,0.5,15.63,80.83,0.92,309.75,31.98,0.0
2019-05-29 00:00:00,2019-05-29 01:00:00,12.65,24.51,8.09,15.34,22.43,32.02,7.8,0.64,16.11,83.48,2.68,90.85,29.15,2.75
2019-05-29 01:00:00,2019-05-29 02:00:00,11.26,24.42,8.05,14.69,21.74,31.84,1.9,0.84,19.92,94.58,1.53,229.89,32.4,1.5
2019-05-29 02:00:00,2019-05-29 03:00:00,9.63,21.46,8.04,13.83,20.88,31.75,,0.91,20.63,91.53,0.45,113.41,44.45,0.0
2019-05-29 03:00:00,2019-05-29 04:00:00,7.75,17.55,8.03,13.45,20.48,31.55,,0.88,20.0,89.93,1.11,324.38,34.44,0.0
2019-05-29 04:00:00,2019-05-29 05:00:00,6.75,18.32,8.02,12.75,19.77,31.52,5.44,0.88,20.63,90.26,0.97,329.5,27.99,0.0
2019-05-29 05:00:00,2019-05-29 06:00:00,6.04,17.31,7.99,12.27,19.25,31.54,6.03,0.92,20.23,90.08,0.47,80.07,30.14,0.0
2019-05-29 06:00:00,2019-05-29 07:00:00,6.23,13.98,8.18,13.15,20.32,31.28,5.95,0.68,18.79,89.98,0.57,84.91,30.8,0.0
2019-05-29 07:00:00,2019-05-29 08:00:00,7.18,13.9,8.17,13.24,20.4,31.33,5.64,0.83,19.73,84.48,0.86,75.2,32.22,0.0
2019-05-29 08:00:00,2019-05-29 09:00:00,7.57,13.69,8.14,14.38,21.51,31.61,10.4,1.12,18.86,77.3,0.81,73.5,38.86,0.0
2019-05-29 09:00:00,2019-05-29 10:00:00,7.94,16.57,8.09,13.74,20.83,31.68,4.07,1.01,19.23,73.79,0.9,265.04,51.07,0.0
2019-05-29 10:00:00,2019-05-29 11:00:00,7.49,16.87,7.99,14.04,21.03,31.63,2.76,0.94,20.7,72.09,1.94,330.83,51.42,0.0
2019-05-29 11:00:00,2019-05-29 12:00:00,7.71,17.8,8.07,14.94,22.0,31.79,14.4,0.78,18.8,61.31,2.31,340.03,36.94,0.0
2019-05-29 12:00:00,2019-05-29 13:00:00,8.28,24.37,8.03,13.87,20.91,31.7,3.88,0.53,21.77,51.5,2.29,319.36,38.04,0.0
2019-05-29 13:00:00,2019-05-29 14:00:00,7.56,25.88,8.01,13.7,20.72,31.75,6.8,0.58,21.36,58.18,2.45,309.95,37.26,0.0
2019-05-29 14:00:00,2019-05-29 15:00:00,6.35,30.09,8.15,17.95,25.1,32.48,59.38,0.72,15.57,58.14,2.5,311.81,34.73,0.0
2019-05-29 15:00:00,2019-05-29 16:00:00,5.17,32.84,8.33,23.24,30.57,33.08,86.32,0.59,14.08,62.76,2.06,301.97,34.29,0.0
2019-05-29 16:00:00,2019-05-29 17:00:00,4.22,29.8,8.46,28.09,35.55,33.48,2.29,0.46,12.49,69.19,1.5,303.93,33.43,0.0
2019-05-29 17:00:00,2019-05-29 18:00:00,3.55,23.86,8.31,24.6,31.91,32.88,,0.28,14.79,71.47,1.33,304.02,32.78,0.0
2019-05-29 18:00:00,2019-05-29 19:00:00,3.08,19.42,8.16,20.7,27.86,32.38,,0.66,16.66,77.55,1.22,311.64,32.47,0.0
2019-05-29 19:00:00,2019-05-29 20:00:00,2.76,18.4,8.13,17.42,24.55,32.35,,0.83,17.04,78.79,0.45,252.89,32.38,0.0
2019-05-29 20:00:00,2019-05-29 21:00:00,5.92,19.26,8.15,16.65,23.8,31.96,4.92,0.83,16.81,80.22,0.46,204.09,32.28,0.0
2019-05-29 21:00:00,2019-05-29 22:00:00,7.99,21.89,8.54,17.69,25.23,32.04,17.51,0.93,15.66,81.75,0.44,296.18,32.25,0.0
2019-05-29 22:00:00,2019-05-29 23:00:00,7.76,29.06,8.31,22.08,29.4,33.03,62.14,1.07,10.55,83.98,0.56,125.13,32.01,0.0
2019-05-29 23:00:00,2019-05-30 00:00:00,7.8,28.97,8.35,21.12,28.47,33.07,39.48,1.09,11.53,84.53,0.58,92.66,31.37,0.0
2019-05-30 00:00:00,2019-05-30 01:00:00,8.03,20.68,8.16,18.39,25.55,32.57,3.51,0.72,15.32,86.46,0.48,62.55,30.7,0.3
2019-05-30 01:00:00,2019-05-30 02:00:00,7.5,15.68,8.17,16.71,23.87,32.2,,0.96,14.87,90.03,0.61,69.28,31.76,0.1
2019-05-30 02:00:00,2019-05-30 03:00:00,7.0,17.3,8.2,16.25,23.44,31.95,,1.12,14.62,90.24,0.5,111.24,41.52,0.0
2019-05-30 03:00:00,2019-05-30 04:00:00,7.12,24.29,8.13,15.47,22.59,31.89,,0.99,16.04,88.39,0.46,90.7,45.81,0.0
2019-05-30 04:00:00,2019-05-30 05:00:00,8.42,28.63,8.2,15.29,22.5,31.72,5.17,1.05,16.08,88.23,0.73,135.59,44.76,0.0
2019-05-30 05:00:00,2019-05-30 06:00:00,8.11,25.33,8.1,14.67,21.77,31.75,4.16,1.12,16.37,90.55,0.85,102.56,28.91,0.0
2019-05-30 06:00:00,2019-05-30 07:00:00,11.62,24.58,8.24,15.2,22.45,31.73,10.5,1.0,15.41,89.89,0.66,70.24,40.16,0.0
2019-05-30 07:00:00,2019-05-30 08:00:00,11.3,22.03,8.47,15.48,22.96,31.55,6.68,1.34,15.33,86.57,0.69,67.33,52.65,0.0
2019-05-30 08:00:00,2019-05-30 09:00:00,9.85,25.99,8.16,14.96,22.13,31.73,7.1,1.27,17.53,79.94,0.61,108.38,54.13,0.0
2019-05-30 09:00:00,2019-05-30 10:00:00,9.99,30.36,8.12,14.1,21.21,31.79,7.51,1.23,19.4,73.73,0.84,94.78,53.99,0.0
2019-05-30 10:00:00,2019-05-30 11:00:00,9.89,27.69,8.06,13.73,20.79,31.73,6.9,1.2,21.4,69.67,1.17,326.98,35.85,0.0
2019-05-30 11:00:00,2019-05-30 12:00:00,8.93,27.45,8.04,13.52,20.55,31.67,7.09,1.18,20.48,64.39,1.98,309.02,39.24,0.0
