From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C)
2023-02-20 09:00:00,2023-02-20 10:00:00,112.58,267.53,5.22,17.08,17.16,31.73,1.98,0.51,53.2,0.17,14.28,10.29,2.08,1.05,,43.28,0.19,314.09,320.27,,,24.61
2023-02-20 10:00:00,2023-02-20 11:00:00,109.35,224.49,4.26,18.61,17.2,31.79,6.04,0.76,67.19,0.11,10.08,7.09,1.03,0.58,,38.01,0.34,29.76,382.21,,,27.32
2023-02-20 11:00:00,2023-02-20 12:00:00,104.99,231.06,3.8,19.66,17.38,31.81,22.67,1.39,96.3,0.09,12.7,5.76,0.91,0.47,,33.32,0.4,220.5,402.13,,,29.02
2023-02-20 12:00:00,2023-02-20 13:00:00,108.0,271.9,3.33,16.52,15.34,30.8,34.0,1.62,104.12,0.07,14.04,4.59,0.86,0.42,,24.27,0.8,237.49,407.37,,,30.56
2023-02-20 13:00:00,2023-02-20 14:00:00,107.88,262.82,3.02,12.64,13.02,30.25,18.02,3.1,102.03,0.04,4.31,2.45,0.4,0.22,,20.38,0.85,234.7,393.39,,,31.55
2023-02-20 14:00:00,2023-02-20 15:00:00,88.62,206.13,3.0,12.86,13.12,29.87,10.55,3.05,89.89,0.04,2.83,2.33,0.32,0.2,,15.78,1.08,257.08,334.67,,,31.73
2023-02-20 15:00:00,2023-02-20 16:00:00,77.02,154.66,8.12,16.13,18.89,29.61,8.02,2.2,82.78,0.03,2.83,2.13,0.28,0.17,,14.31,0.81,232.89,142.69,,,31.52
2023-02-20 16:00:00,2023-02-20 17:00:00,71.9,133.13,3.25,14.47,14.18,29.71,8.72,0.51,87.59,0.04,2.01,1.51,0.3,0.16,,14.2,0.69,232.35,59.84,,,30.56
2023-02-20 17:00:00,2023-02-20 18:00:00,65.24,143.53,13.37,34.36,32.99,28.45,8.1,0.38,26.68,0.18,2.71,6.38,1.68,0.76,,20.66,0.19,184.3,25.15,,,27.86
2023-02-20 18:00:00,2023-02-20 19:00:00,79.56,317.86,37.66,17.82,43.75,28.85,6.13,0.3,6.53,0.72,11.73,36.75,9.16,3.97,,32.95,0.21,163.33,15.61,,,24.23
2023-02-20 19:00:00,2023-02-20 20:00:00,106.34,510.07,16.75,22.19,29.26,29.44,5.21,0.89,17.59,0.98,16.1,18.1,7.55,3.81,,38.41,0.25,93.38,14.56,,,22.55
2023-02-20 20:00:00,2023-02-20 21:00:00,105.86,365.31,10.37,24.25,25.17,29.69,4.03,1.09,12.8,0.31,10.45,9.76,3.64,1.62,,46.26,0.26,188.94,14.76,,,20.69
2023-02-20 21:00:00,2023-02-20 22:00:00,92.05,211.75,12.07,20.69,24.65,29.3,3.06,1.3,13.07,0.22,7.72,8.17,2.46,1.08,,49.15,0.25,192.2,14.92,,,19.58
2023-02-20 22:00:00,2023-02-20 23:00:00,82.5,247.92,36.63,6.58,37.13,28.32,2.68,1.24,5.02,0.26,12.99,10.23,3.27,1.27,,54.21,0.37,185.95,14.09,,,18.91
2023-02-20 23:00:00,2023-02-21 00:00:00,80.44,313.94,35.11,6.38,34.85,28.99,2.06,0.34,4.62,0.19,10.38,9.77,2.54,1.03,,60.97,0.3,171.47,13.99,,,18.0
2023-02-21 00:00:00,2023-02-21 01:00:00,79.68,300.25,27.73,11.71,30.46,29.83,2.07,0.64,5.12,0.16,8.62,9.96,2.68,1.66,,63.1,0.3,173.38,13.62,,,17.75
2023-02-21 01:00:00,2023-02-21 02:00:00,77.81,251.92,14.64,13.94,23.16,30.36,1.97,0.73,6.29,0.13,12.35,10.81,2.81,1.34,,66.43,0.34,175.34,13.9,,,16.9
2023-02-21 02:00:00,2023-02-21 03:00:00,77.54,217.7,12.98,13.78,21.72,30.43,2.02,0.68,6.85,0.2,20.85,14.89,3.87,1.24,,68.01,0.36,163.01,13.75,,,16.37
2023-02-21 03:00:00,2023-02-21 04:00:00,74.22,240.19,8.0,15.24,18.45,30.38,1.86,2.27,8.6,0.1,18.01,12.76,3.29,1.35,,69.09,0.54,66.56,13.26,,,15.89
2023-02-21 04:00:00,2023-02-21 05:00:00,75.07,179.3,6.98,16.68,18.39,29.94,1.74,3.05,7.0,0.07,10.91,8.05,1.16,0.56,,70.3,0.34,190.22,13.96,,,15.61
2023-02-21 05:00:00,2023-02-21 06:00:00,73.27,172.31,7.51,15.31,18.09,29.81,1.73,2.93,6.94,0.07,10.98,7.96,1.28,0.69,,71.94,0.43,197.13,13.77,,,15.07
2023-02-21 06:00:00,2023-02-21 07:00:00,71.22,207.66,9.71,15.68,20.07,29.81,1.81,3.06,5.88,0.06,29.17,16.09,4.08,1.14,,72.19,0.31,141.57,31.67,,,15.17
2023-02-21 07:00:00,2023-02-21 08:00:00,87.66,291.96,19.12,12.55,26.06,29.84,2.09,1.61,8.8,0.12,29.22,15.34,3.99,1.35,,65.96,0.54,129.73,130.15,,,17.06
2023-02-21 08:00:00,2023-02-21 09:00:00,95.04,273.42,8.54,19.18,20.98,30.58,3.33,0.51,22.5,0.08,21.78,10.86,2.04,0.9,,53.27,0.26,156.71,249.67,,,20.57
2023-02-21 09:00:00,2023-02-21 10:00:00,99.53,266.1,5.9,20.59,19.58,30.59,5.54,1.25,53.94,0.17,19.56,11.78,2.49,1.14,,40.28,0.32,231.35,349.6,,,24.18
2023-02-21 10:00:00,2023-02-21 11:00:00,100.21,251.27,6.11,17.97,18.09,30.21,5.96,1.75,75.21,0.15,11.76,10.04,2.2,0.99,,31.74,0.48,104.79,422.41,,,27.11
2023-02-21 11:00:00,2023-02-21 12:00:00,91.94,205.57,3.42,15.36,14.5,29.79,11.86,2.66,103.83,0.1,6.23,5.4,0.9,0.44,,22.27,0.66,93.27,448.65,,,29.89
2023-02-21 12:00:00,2023-02-21 13:00:00,83.01,174.94,4.31,17.84,16.83,29.43,32.72,3.4,105.9,0.07,4.62,2.65,0.56,0.25,,17.55,0.62,225.19,445.15,,,31.84
2023-02-21 13:00:00,2023-02-21 14:00:00,83.05,155.44,20.67,17.06,27.07,29.96,14.91,3.56,92.99,0.05,3.26,1.85,0.51,0.23,,13.89,0.97,243.33,421.53,,,32.35
2023-02-21 14:00:00,2023-02-21 15:00:00,76.03,144.08,3.0,13.98,13.72,29.29,15.87,3.84,109.71,0.04,2.9,1.8,0.3,0.15,,13.87,0.85,244.66,341.71,,,32.73
2023-02-21 15:00:00,2023-02-21 16:00:00,67.62,139.58,3.0,14.47,13.97,29.38,14.59,3.11,115.45,0.03,2.0,1.05,0.2,0.1,,14.16,0.78,252.29,141.02,,,32.38
2023-02-21 16:00:00,2023-02-21 17:00:00,60.15,127.19,3.07,18.07,15.95,29.19,12.86,1.2,106.04,0.05,1.66,1.33,0.27,0.13,,15.32,0.49,245.43,57.11,,,31.27
2023-02-21 17:00:00,2023-02-21 18:00:00,62.61,142.57,5.72,44.44,32.12,28.76,10.39,1.1,42.4,0.25,3.19,5.66,1.98,0.92,,22.54,0.2,205.22,24.91,,,28.58
2023-02-21 18:00:00,2023-02-21 19:00:00,79.02,218.05,18.61,35.62,37.91,29.6,8.02,0.49,12.66,0.76,12.1,26.23,11.7,6.05,,35.13,0.18,166.6,15.54,,,24.83
2023-02-21 19:00:00,2023-02-21 20:00:00,114.08,532.53,9.07,27.56,25.87,30.46,6.02,0.49,32.91,1.55,23.85,21.3,9.71,4.51,,40.86,0.41,36.2,13.9,,,23.29
2023-02-21 20:00:00,2023-02-21 21:00:00,118.71,354.26,4.01,23.72,19.71,30.2,5.7,1.23,39.43,0.15,7.7,5.4,1.93,0.86,,44.09,0.29,62.33,14.15,,,22.19
2023-02-21 21:00:00,2023-02-21 22:00:00,107.29,174.88,3.99,24.7,20.22,29.79,5.3,1.45,29.43,0.15,6.64,5.69,1.68,0.78,,47.8,0.27,111.18,14.35,,,21.04
2023-02-21 22:00:00,2023-02-21 23:00:00,96.74,208.48,10.42,24.81,25.51,29.48,4.44,1.29,16.8,0.07,6.16,4.73,0.98,0.53,,53.48,0.29,160.85,14.63,,,20.06
2023-02-21 23:00:00,2023-02-22 00:00:00,92.41,218.49,16.7,20.13,28.12,29.37,3.43,1.21,6.9,0.1,8.28,6.28,1.28,0.74,,61.52,0.38,174.71,14.18,,,18.78
2023-02-22 00:00:00,2023-02-22 01:00:00,90.32,218.98,10.59,20.35,23.27,30.05,2.01,0.53,9.05,0.13,7.44,7.37,1.45,0.87,,63.06,0.39,190.36,13.96,,,18.02
2023-02-22 01:00:00,2023-02-22 02:00:00,88.54,214.46,5.83,19.91,19.17,30.52,2.09,0.45,13.14,0.09,5.67,7.05,1.09,0.67,,62.83,0.31,190.81,14.16,,,17.38
2023-02-22 02:00:00,2023-02-22 03:00:00,85.73,249.82,6.88,19.77,19.95,30.66,2.36,0.41,10.34,0.11,12.28,9.57,1.97,0.84,,64.55,0.38,196.9,13.93,,,16.84
2023-02-22 03:00:00,2023-02-22 04:00:00,87.74,269.68,5.58,19.03,18.49,30.73,2.85,0.47,12.11,0.07,15.09,10.12,2.13,0.81,,65.87,0.39,208.34,13.75,,,16.35
2023-02-22 04:00:00,2023-02-22 05:00:00,90.8,301.9,9.0,17.48,20.45,30.29,3.23,1.74,7.69,0.06,31.11,16.16,4.73,1.28,,68.92,0.32,139.64,13.86,,,15.93
2023-02-22 05:00:00,2023-02-22 06:00:00,88.16,301.68,5.44,18.82,18.26,30.25,2.87,2.19,7.51,0.06,24.21,11.99,3.12,1.03,,72.41,0.23,109.39,13.95,,,15.53
2023-02-22 06:00:00,2023-02-22 07:00:00,87.67,270.49,19.04,11.75,25.51,29.66,2.83,2.26,6.1,0.06,20.39,9.38,1.72,0.71,,72.9,0.4,178.73,30.19,,,15.33
2023-02-22 07:00:00,2023-02-22 08:00:00,101.63,332.72,19.52,15.96,28.2,29.8,3.43,2.37,7.53,0.11,30.03,10.74,2.11,0.9,,66.34,0.39,184.33,118.36,,,17.32
2023-02-22 08:00:00,2023-02-22 09:00:00,112.99,333.63,8.73,18.3,20.67,30.56,5.45,0.3,21.81,0.18,24.64,11.5,2.58,1.17,,54.88,0.36,226.03,231.01,,,20.57
2023-02-22 09:00:00,2023-02-22 10:00:00,110.33,276.39,6.03,23.72,21.36,30.71,30.48,0.3,60.11,0.16,34.75,12.2,2.4,1.11,,39.19,0.34,155.33,326.62,,,24.57
2023-02-22 10:00:00,2023-02-22 11:00:00,121.19,312.31,5.08,27.47,22.58,30.52,101.28,0.31,101.86,0.11,47.92,10.53,1.66,0.78,,30.17,0.59,132.47,379.38,,,27.83
2023-02-22 11:00:00,2023-02-22 12:00:00,132.93,354.39,3.86,21.52,18.42,30.63,77.25,0.4,142.97,0.05,49.92,7.51,0.69,0.31,,24.54,0.58,89.41,412.84,,,30.72
2023-02-22 12:00:00,2023-02-22 13:00:00,131.26,304.89,3.87,17.17,16.12,28.97,35.38,0.47,104.38,0.04,22.27,3.7,0.31,0.14,,13.78,0.78,223.38,442.91,,,32.88
2023-02-22 13:00:00,2023-02-22 14:00:00,120.09,225.36,3.3,13.34,13.61,28.75,29.2,0.87,111.49,0.03,4.7,1.7,0.22,0.1,,10.73,1.09,220.29,428.52,,,33.52
2023-02-22 14:00:00,2023-02-22 15:00:00,97.52,146.91,3.26,12.04,12.88,28.86,16.85,1.1,108.67,0.02,2.53,0.97,0.14,0.07,,10.21,1.53,192.82,359.63,,,33.26
2023-02-22 15:00:00,2023-02-22 16:00:00,82.53,125.44,3.17,12.16,12.88,28.67,13.6,1.32,110.86,0.01,1.39,0.63,0.11,0.05,,10.38,1.2,199.52,135.42,,,32.9
2023-02-22 16:00:00,2023-02-22 17:00:00,69.14,102.44,3.11,13.89,13.76,28.93,16.78,0.34,113.11,0.02,1.33,0.58,0.11,0.05,,12.68,0.69,198.73,54.65,,,31.83
2023-02-22 17:00:00,2023-02-22 18:00:00,55.18,116.9,5.48,37.16,28.06,28.95,14.35,0.72,43.02,0.62,5.47,4.84,1.12,0.42,,21.93,0.15,196.8,22.79,,,28.51
2023-02-22 18:00:00,2023-02-22 19:00:00,65.09,189.54,5.54,30.66,24.65,29.46,12.41,0.72,51.28,1.29,9.47,12.24,4.41,4.35,,29.6,0.28,186.86,15.4,,,25.52
2023-02-22 19:00:00,2023-02-22 20:00:00,71.82,210.12,4.53,31.4,24.23,30.05,9.73,0.4,29.18,0.24,8.12,6.67,2.52,1.3,,36.59,0.16,123.29,15.15,,,23.51
2023-02-22 20:00:00,2023-02-22 21:00:00,84.88,249.84,26.77,25.91,39.39,29.03,8.17,0.67,11.22,0.65,13.09,11.47,5.06,2.27,,42.65,0.21,240.19,14.99,,,22.45
2023-02-22 21:00:00,2023-02-22 22:00:00,109.13,423.09,29.09,21.17,38.74,29.05,6.21,0.91,5.46,2.37,22.02,33.64,13.95,6.48,,52.6,0.33,180.56,14.57,,,21.07
2023-02-22 22:00:00,2023-02-22 23:00:00,119.95,442.69,59.28,3.8,49.89,28.18,4.53,0.62,4.6,0.81,14.89,26.88,6.56,2.92,,60.07,0.26,179.56,14.2,,,19.97
2023-02-22 23:00:00,2023-02-23 00:00:00,132.22,474.85,76.95,0.3,56.57,27.44,3.74,0.35,4.77,0.78,14.93,20.57,6.8,3.32,,62.67,0.33,180.6,14.38,,,19.09
2023-02-23 00:00:00,2023-02-23 01:00:00,140.41,468.6,46.72,11.74,41.37,28.43,2.63,0.35,5.0,0.52,16.52,16.63,5.55,2.57,,64.36,0.44,181.43,13.94,,,18.14
2023-02-23 01:00:00,2023-02-23 02:00:00,127.3,296.48,15.57,17.75,25.94,29.68,2.42,0.3,6.73,0.22,12.8,10.99,2.99,1.3,,62.8,0.28,182.11,13.89,,,17.58
2023-02-23 02:00:00,2023-02-23 03:00:00,111.6,235.54,20.83,13.08,27.73,30.02,2.21,0.3,5.03,0.2,13.19,11.59,3.14,1.42,,66.59,0.26,155.38,14.01,,,16.93
2023-02-23 03:00:00,2023-02-23 04:00:00,104.22,227.88,12.82,16.69,23.14,30.38,2.03,0.3,7.3,0.17,16.92,11.76,3.38,1.76,,66.77,0.4,200.9,13.89,,,16.32
2023-02-23 04:00:00,2023-02-23 05:00:00,101.31,260.86,16.26,15.82,25.47,30.04,2.74,0.3,6.26,0.15,21.28,12.27,3.0,1.16,,66.42,0.32,149.05,13.76,,,15.92
2023-02-23 05:00:00,2023-02-23 06:00:00,96.5,308.84,17.91,12.76,25.18,29.93,2.31,0.31,4.83,0.13,21.07,11.1,2.86,1.18,,72.7,0.3,189.15,14.1,,,15.5
2023-02-23 06:00:00,2023-02-23 07:00:00,98.98,282.63,16.25,13.43,24.19,29.77,2.03,0.41,5.46,0.2,23.52,11.98,3.37,1.68,,71.4,0.42,195.95,34.74,,,15.18
2023-02-23 07:00:00,2023-02-23 08:00:00,111.0,285.48,11.52,20.73,24.23,29.88,4.01,0.7,11.21,0.11,38.44,15.9,4.28,1.41,,58.8,0.3,172.56,139.46,,,17.97
2023-02-23 08:00:00,2023-02-23 09:00:00,109.4,339.32,9.54,25.79,25.32,29.9,9.34,0.35,26.19,0.15,33.59,14.55,3.98,1.42,,49.39,0.48,183.61,245.71,,,21.31
2023-02-23 09:00:00,2023-02-23 10:00:00,114.69,344.42,6.33,28.71,24.25,30.3,16.48,0.3,52.91,0.18,38.79,13.79,3.35,1.37,,39.12,0.46,211.7,315.85,,,24.7
2023-02-23 10:00:00,2023-02-23 11:00:00,116.1,325.97,7.15,29.35,24.77,29.92,32.6,0.3,87.08,0.3,23.82,11.88,2.83,1.27,,26.69,0.32,106.14,371.78,,,28.06
2023-02-23 11:00:00,2023-02-23 12:00:00,121.9,292.57,3.75,25.39,20.39,30.05,54.96,0.36,148.08,0.11,30.2,7.18,1.12,0.5,,19.29,0.66,138.96,391.63,,,30.47
2023-02-23 12:00:00,2023-02-23 13:00:00,127.33,238.32,3.51,21.25,17.99,29.6,44.08,0.99,130.86,0.06,32.01,5.02,0.45,0.2,,15.34,0.59,154.9,404.51,,,31.98
2023-02-23 13:00:00,2023-02-23 14:00:00,121.72,213.41,3.16,15.62,14.71,29.31,37.62,2.38,132.81,0.06,17.88,3.12,0.37,0.17,,13.29,0.51,202.29,378.54,,,32.84
2023-02-23 14:00:00,2023-02-23 15:00:00,101.59,184.59,3.0,14.36,13.91,28.87,17.57,3.19,101.19,0.07,6.88,2.59,0.53,0.26,,11.63,0.86,243.09,280.71,,,32.89
2023-02-23 15:00:00,2023-02-23 16:00:00,79.45,147.25,3.02,15.18,14.37,28.9,12.42,3.21,99.58,0.12,3.64,7.62,1.05,0.54,,13.53,0.97,266.69,127.16,,,31.76
2023-02-23 16:00:00,2023-02-23 17:00:00,72.64,212.02,3.02,18.37,16.06,28.75,11.16,0.33,88.3,0.08,2.58,8.76,0.53,0.27,,15.37,0.55,269.19,63.7,,,30.89
2023-02-23 17:00:00,2023-02-23 18:00:00,76.79,261.57,16.0,37.39,36.73,28.27,9.58,0.3,23.72,0.35,6.17,11.05,2.66,1.25,,24.35,0.17,231.1,24.58,,,28.07
2023-02-23 18:00:00,2023-02-23 19:00:00,89.41,419.95,24.8,33.73,41.82,28.36,7.72,0.3,8.69,0.98,10.8,20.78,7.01,3.32,,33.31,0.22,195.65,15.64,,,24.57
2023-02-23 19:00:00,2023-02-23 20:00:00,103.52,447.51,11.58,25.88,27.01,30.22,6.3,0.3,20.22,0.83,13.37,19.98,6.55,3.14,,42.47,0.31,99.15,14.15,,,22.86
2023-02-23 20:00:00,2023-02-23 21:00:00,105.1,266.7,10.84,24.65,25.76,30.21,5.35,0.3,16.6,0.23,10.13,10.07,3.45,1.57,,46.85,0.14,125.77,14.87,,,21.56
2023-02-23 21:00:00,2023-02-23 22:00:00,97.45,227.58,9.18,23.22,23.65,29.99,4.42,0.3,21.77,0.26,10.93,10.16,3.25,1.45,,49.43,0.24,120.44,14.31,,,20.86
2023-02-23 22:00:00,2023-02-23 23:00:00,93.64,231.67,26.68,17.17,34.66,28.94,3.48,0.3,5.07,0.17,9.54,7.43,2.08,0.96,,57.5,0.32,192.91,14.46,,,19.61
2023-02-23 23:00:00,2023-02-24 00:00:00,87.21,235.33,12.76,22.65,26.26,29.32,2.69,0.3,6.18,0.18,9.79,8.69,2.19,1.07,,59.38,0.36,191.32,14.18,,,18.81
2023-02-24 00:00:00,2023-02-24 01:00:00,88.53,235.37,7.92,21.81,21.88,29.57,2.62,0.35,8.07,0.14,11.24,9.32,2.08,0.97,,60.73,0.35,200.41,14.08,,,18.17
2023-02-24 01:00:00,2023-02-24 02:00:00,91.95,311.03,6.85,21.23,20.7,30.01,2.58,0.33,7.07,0.13,28.46,14.26,3.89,1.37,,63.17,0.42,210.03,13.79,,,17.92
2023-02-24 02:00:00,2023-02-24 03:00:00,91.32,264.62,5.78,19.43,18.87,30.48,2.63,0.3,9.48,0.13,23.49,13.07,3.33,1.2,,64.39,0.3,189.88,13.93,,,17.05
2023-02-24 03:00:00,2023-02-24 04:00:00,87.94,265.71,8.45,19.25,20.95,30.75,2.77,0.3,5.78,0.46,33.09,15.91,4.3,1.34,,67.41,0.35,130.3,13.52,,,16.8
2023-02-24 04:00:00,2023-02-24 05:00:00,84.97,295.93,14.51,14.8,23.51,30.68,2.42,0.3,4.72,0.19,25.71,13.61,3.69,1.33,,71.95,0.24,221.16,13.98,,,16.41
2023-02-24 05:00:00,2023-02-24 06:00:00,80.74,273.25,25.5,6.85,28.21,30.16,2.42,0.3,4.85,0.18,26.0,14.24,3.77,1.53,,73.72,0.38,166.53,13.96,,,15.93
2023-02-24 06:00:00,2023-02-24 07:00:00,88.84,277.87,35.69,5.24,32.83,29.55,2.23,0.3,4.81,0.15,29.16,13.73,3.71,1.56,,74.03,0.32,162.86,34.1,,,15.87
2023-02-24 07:00:00,2023-02-24 08:00:00,99.11,346.62,20.18,13.45,27.4,29.86,2.23,0.3,8.22,0.16,27.84,13.02,3.25,1.3,,64.34,0.45,209.4,136.34,,,18.25
2023-02-24 08:00:00,2023-02-24 09:00:00,103.72,316.28,11.06,23.06,25.09,29.97,6.42,0.96,27.35,0.15,28.57,12.38,3.0,1.24,,48.8,0.49,202.18,241.71,,,22.12
2023-02-24 09:00:00,2023-02-24 10:00:00,125.61,385.16,6.14,24.84,22.04,30.41,26.41,0.92,57.67,0.12,38.13,12.08,2.6,1.05,,33.93,0.27,201.09,323.76,,,25.85
2023-02-24 10:00:00,2023-02-24 11:00:00,140.85,425.63,6.19,19.31,19.08,30.8,16.57,0.3,66.1,0.53,44.3,14.72,2.98,1.57,,22.04,0.88,112.26,392.8,,,28.36
2023-02-24 11:00:00,2023-02-24 12:00:00,146.24,388.91,4.52,14.67,15.32,30.77,8.68,0.59,67.99,0.28,25.81,9.42,1.84,1.21,,17.88,0.53,115.81,414.88,,,30.21
2023-02-24 12:00:00,2023-02-24 13:00:00,137.09,220.0,3.53,12.15,13.17,30.22,8.44,0.96,86.66,0.17,12.59,6.44,1.94,1.19,,17.41,0.59,133.63,440.18,,,31.4
2023-02-24 13:00:00,2023-02-24 14:00:00,111.81,118.84,3.39,11.99,12.97,29.91,8.82,1.12,84.29,0.05,5.06,2.97,0.48,0.32,,15.74,0.57,229.8,398.53,,,32.34
2023-02-24 14:00:00,2023-02-24 15:00:00,83.28,122.41,3.24,11.86,12.79,29.38,7.56,1.93,87.18,0.05,2.94,3.08,0.63,0.35,,14.62,1.1,228.86,336.78,,,32.18
2023-02-24 15:00:00,2023-02-24 16:00:00,67.02,106.93,3.01,12.6,12.98,29.3,6.77,1.88,94.02,0.03,1.92,1.86,0.48,0.24,,15.65,1.02,232.3,120.91,,,31.75
2023-02-24 16:00:00,2023-02-24 17:00:00,56.32,101.62,3.0,13.4,13.4,29.3,9.22,0.33,92.88,0.03,1.61,1.39,0.41,0.34,,17.74,0.65,196.04,60.68,,,30.82
2023-02-24 17:00:00,2023-02-24 18:00:00,48.4,124.57,3.62,27.92,21.64,29.23,7.68,0.3,46.34,0.06,3.41,2.32,0.78,4.02,,24.18,0.24,185.43,25.74,,,28.8
2023-02-24 18:00:00,2023-02-24 19:00:00,56.2,303.71,45.03,19.5,50.25,28.31,6.29,0.3,6.37,0.65,11.71,13.39,6.37,10.32,,34.77,0.27,179.16,15.48,,,25.41
2023-02-24 19:00:00,2023-02-24 20:00:00,87.39,558.68,31.41,19.75,39.64,29.69,5.24,0.3,9.76,1.14,19.16,20.06,8.62,5.38,,41.86,0.29,141.38,14.14,,,23.62
2023-02-24 20:00:00,2023-02-24 21:00:00,101.72,424.2,13.43,29.65,30.52,30.34,4.92,0.3,9.78,0.85,14.03,16.41,10.25,4.69,,42.63,0.41,213.5,13.97,,,23.21
2023-02-24 21:00:00,2023-02-24 22:00:00,106.6,326.25,10.54,27.67,27.12,30.3,4.38,0.3,10.27,0.77,12.83,21.14,8.81,3.96,,44.89,0.37,207.11,13.92,,,22.32
2023-02-24 22:00:00,2023-02-24 23:00:00,99.13,297.38,9.25,23.42,23.82,30.36,4.39,0.3,13.13,0.28,12.5,13.77,4.27,2.06,,50.41,0.25,103.33,14.24,,,21.01
2023-02-24 23:00:00,2023-02-25 00:00:00,90.42,231.87,12.9,22.5,26.3,30.01,3.41,0.3,5.05,0.27,10.27,10.96,3.34,1.82,,57.31,0.38,208.09,14.16,,,19.77
2023-02-25 00:00:00,2023-02-25 01:00:00,85.56,188.16,7.99,19.41,20.66,30.12,2.76,0.3,10.03,0.25,12.66,11.79,3.29,1.68,,58.58,0.39,193.14,14.11,,,18.92
2023-02-25 01:00:00,2023-02-25 02:00:00,76.82,193.24,6.16,20.22,19.6,30.21,2.56,0.31,7.77,0.1,15.28,10.84,2.8,1.25,,62.86,0.37,156.73,13.9,,,18.1
2023-02-25 02:00:00,2023-02-25 03:00:00,72.2,172.38,5.65,18.92,18.5,30.71,2.24,0.3,9.18,0.11,9.94,8.9,1.98,1.18,,65.92,0.36,94.86,13.46,,,17.6
2023-02-25 03:00:00,2023-02-25 04:00:00,67.3,136.87,6.5,17.64,18.5,31.16,1.98,0.3,8.58,0.09,8.7,8.32,1.48,0.9,,69.08,0.23,171.62,13.96,,,16.86
2023-02-25 04:00:00,2023-02-25 05:00:00,62.29,105.74,12.88,14.06,21.79,31.06,1.88,0.3,5.27,0.1,8.88,9.02,1.7,1.01,,71.04,0.46,201.4,13.63,,,16.27
2023-02-25 05:00:00,2023-02-25 06:00:00,66.88,175.54,8.37,17.93,20.18,31.16,2.11,0.3,5.93,0.09,46.3,19.21,4.9,1.6,,65.01,0.39,230.49,13.49,,,16.4
2023-02-25 06:00:00,2023-02-25 07:00:00,81.9,306.93,20.98,9.68,26.03,30.68,2.53,0.3,5.38,0.08,59.42,21.06,5.65,1.7,,69.54,0.47,130.66,33.26,,,15.98
2023-02-25 07:00:00,2023-02-25 08:00:00,84.11,284.71,10.06,16.04,20.55,30.48,2.81,0.3,11.07,0.08,32.72,12.58,2.69,1.11,,61.92,0.44,95.35,132.52,,,17.98
