From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),RF (mm)
2020-11-08 17:00:00,2020-11-08 18:00:00,53.75,87.75,2.77,9.25,7.17,25.8,4.07,0.47,140.71,1.0,3.6,,,26.7,76.5,0.48,354.0,20.75,759.25,,0.0
2020-11-08 18:00:00,2020-11-08 19:00:00,52.75,81.0,2.95,8.3,6.8,26.05,3.3,0.62,,1.05,3.6,,,27.25,77.0,0.5,354.0,15.75,760.0,,0.0
2020-11-08 19:00:00,2020-11-08 20:00:00,43.0,79.25,3.23,8.72,7.25,27.6,3.85,0.08,,0.88,3.47,,,27.9,76.75,0.62,354.0,15.5,759.75,,0.0
2020-11-08 20:00:00,2020-11-08 21:00:00,42.0,74.25,3.08,8.85,7.2,29.42,2.95,0.36,,1.0,3.7,,,27.95,76.5,0.45,354.0,15.75,760.0,,0.0
2020-11-08 21:00:00,2020-11-08 22:00:00,40.5,77.25,2.75,7.83,6.4,27.9,3.27,0.35,,0.92,3.22,,,27.9,76.0,0.55,354.0,15.5,760.0,,0.0
2020-11-08 22:00:00,2020-11-08 23:00:00,43.75,81.5,2.67,8.1,6.53,26.73,2.88,0.31,,0.88,3.1,,,27.77,76.0,0.4,354.0,15.75,760.25,,0.0
2020-11-08 23:00:00,2020-11-09 00:00:00,41.75,75.5,2.77,6.18,5.55,27.38,2.45,0.73,,1.03,2.7,,,26.98,76.0,0.42,354.0,15.75,760.25,,0.0
2020-11-09 00:00:00,2020-11-09 01:00:00,47.5,79.75,2.88,5.47,5.2,26.2,2.27,0.45,,1.02,2.77,,,26.92,76.0,0.4,354.0,15.75,760.75,,0.0
2020-11-09 01:00:00,2020-11-09 02:00:00,49.5,79.0,2.8,5.05,4.95,25.12,1.75,0.48,,0.9,2.65,,,26.9,76.25,0.33,354.0,15.75,760.75,,0.0
2020-11-09 02:00:00,2020-11-09 03:00:00,51.0,80.25,2.6,5.22,4.9,25.6,2.23,0.5,,0.93,2.3,,,27.05,75.5,0.4,354.0,16.0,761.0,,0.0
2020-11-09 03:00:00,2020-11-09 04:00:00,53.25,84.25,2.88,4.62,4.8,26.7,2.57,0.34,,1.02,2.48,,,27.82,75.25,0.53,354.0,15.75,761.0,,0.0
2020-11-09 04:00:00,2020-11-09 05:00:00,60.5,85.25,2.35,13.5,9.12,27.55,4.75,0.62,,1.18,2.5,,,28.05,74.25,0.47,354.0,15.75,761.0,,0.0
2020-11-09 05:00:00,2020-11-09 06:00:00,59.5,84.0,3.12,9.1,7.37,26.7,4.8,0.64,,1.15,2.2,,,28.07,72.75,0.75,354.0,15.75,760.75,,0.0
2020-11-09 06:00:00,2020-11-09 07:00:00,52.0,83.75,3.05,28.43,17.6,25.62,6.5,0.78,,0.88,2.2,,,28.0,73.75,0.68,354.0,27.25,760.25,,0.0
2020-11-09 07:00:00,2020-11-09 08:00:00,52.75,101.5,3.22,18.65,12.53,27.15,5.65,0.82,,1.05,3.27,,,27.57,74.0,1.18,354.0,54.5,759.5,,0.0
2020-11-09 08:00:00,2020-11-09 09:00:00,53.25,97.75,3.2,10.57,8.22,27.22,4.08,0.69,,1.05,2.52,,,27.12,71.75,1.45,354.0,92.75,758.5,,0.0
2020-11-09 09:00:00,2020-11-09 10:00:00,46.25,85.0,3.12,12.98,9.45,25.82,3.88,0.75,,1.05,3.35,,,27.15,69.5,2.28,354.0,143.25,757.0,,0.0
2020-11-09 10:00:00,2020-11-09 11:00:00,42.5,94.0,3.02,12.0,8.85,25.45,3.87,0.78,,2.08,13.85,,,27.12,68.25,1.5,354.0,306.5,755.25,,0.0
2020-11-09 11:00:00,2020-11-09 12:00:00,45.75,94.25,2.73,9.5,7.23,25.47,5.33,0.82,62.3,1.12,4.85,,,27.5,67.25,2.35,354.0,329.25,754.75,,0.0
2020-11-09 12:00:00,2020-11-09 13:00:00,41.25,95.0,2.85,14.8,9.07,24.97,4.72,0.61,88.91,1.15,4.57,,,27.9,66.5,2.5,354.0,258.75,755.25,,0.0
2020-11-09 13:00:00,2020-11-09 14:00:00,40.75,98.25,3.2,27.35,17.15,24.68,8.73,0.72,83.96,1.05,4.32,,,27.98,65.75,3.78,354.0,261.0,755.0,,0.0
2020-11-09 14:00:00,2020-11-09 15:00:00,48.0,124.5,2.27,37.08,21.57,24.4,20.77,0.79,71.75,1.05,4.8,,,27.7,65.5,4.38,354.0,226.0,755.0,,0.0
2020-11-09 15:00:00,2020-11-09 16:00:00,52.5,161.5,2.92,21.93,14.05,26.12,22.55,0.55,80.53,1.0,4.35,,,27.65,67.75,2.0,354.0,148.25,756.0,,0.0
2020-11-09 16:00:00,2020-11-09 17:00:00,48.5,118.5,2.8,18.18,11.95,27.8,10.2,0.86,90.25,0.9,3.33,,,27.23,70.0,1.88,354.0,79.25,757.75,,0.0
2020-11-09 17:00:00,2020-11-09 18:00:00,51.5,105.25,3.22,35.32,21.4,28.43,8.97,1.26,79.99,1.32,6.48,,,27.25,73.5,3.1,354.0,24.25,759.25,,0.0
2020-11-09 18:00:00,2020-11-09 19:00:00,54.0,114.0,3.12,35.8,21.6,27.1,8.7,1.35,78.18,1.48,6.8,,,27.25,74.25,2.55,354.0,15.75,760.0,,0.0
2020-11-09 19:00:00,2020-11-09 20:00:00,49.75,111.25,2.8,38.42,22.7,26.4,6.3,1.4,87.53,1.5,7.17,,,27.18,74.25,2.1,354.0,15.75,760.0,,0.0
2020-11-09 20:00:00,2020-11-09 21:00:00,56.75,117.25,3.12,46.75,27.38,25.53,8.8,1.11,79.79,1.93,11.3,,,27.73,73.5,3.12,354.0,15.75,760.0,,0.0
2020-11-09 21:00:00,2020-11-09 22:00:00,60.0,125.75,2.65,29.2,17.68,24.48,7.72,0.48,93.17,1.53,9.6,,,28.0,71.0,1.32,354.0,15.75,760.0,,0.0
2020-11-09 22:00:00,2020-11-09 23:00:00,53.75,98.5,2.52,16.6,10.9,24.9,5.85,0.23,113.66,0.93,3.83,,,27.88,71.25,1.08,354.0,15.75,760.5,,0.0
2020-11-09 23:00:00,2020-11-10 00:00:00,50.0,83.25,2.83,17.35,11.53,24.55,6.15,0.16,117.03,0.8,2.43,,,27.88,70.0,1.12,354.0,15.75,760.25,,0.0
2020-11-10 00:00:00,2020-11-10 01:00:00,41.75,86.0,2.73,18.8,12.18,25.55,10.18,0.84,112.67,0.67,2.35,,,27.6,68.0,1.62,354.0,16.0,760.75,,0.0
2020-11-10 01:00:00,2020-11-10 02:00:00,44.5,83.25,2.88,21.08,13.55,25.5,11.05,1.19,113.13,0.62,1.85,,,27.2,68.25,1.15,354.0,16.0,761.25,,0.0
2020-11-10 02:00:00,2020-11-10 03:00:00,47.0,84.5,2.85,19.15,12.5,25.67,13.3,1.24,111.32,0.75,3.73,,,27.1,69.25,1.27,354.0,16.75,761.0,,0.0
2020-11-10 03:00:00,2020-11-10 04:00:00,48.75,85.0,3.17,17.47,11.9,24.9,11.43,1.25,106.18,0.7,3.98,,,27.25,70.75,1.12,354.0,16.75,761.25,,0.0
2020-11-10 04:00:00,2020-11-10 05:00:00,45.75,82.75,3.02,21.15,13.7,24.98,8.97,0.52,110.92,0.68,2.45,,,27.42,70.75,1.5,354.0,16.25,761.0,,0.0
2020-11-10 05:00:00,2020-11-10 06:00:00,47.75,88.25,2.72,40.9,23.95,22.82,8.45,0.13,90.13,0.77,3.7,,,27.9,70.75,1.55,354.0,15.75,761.0,,0.0
2020-11-10 06:00:00,2020-11-10 07:00:00,52.5,111.75,6.0,116.52,63.95,30.0,10.68,0.64,32.34,1.45,5.35,,,28.12,79.25,0.65,354.0,24.0,761.75,,0.0
2020-11-10 07:00:00,2020-11-10 08:00:00,72.0,156.25,5.63,90.27,50.17,30.65,16.12,0.67,32.96,1.93,5.38,,,28.0,81.25,0.4,354.0,47.25,761.0,,0.0
2020-11-10 08:00:00,2020-11-10 09:00:00,84.25,163.5,2.17,83.78,45.38,31.32,26.95,1.21,37.35,2.08,6.75,,,27.98,77.25,0.6,354.0,84.75,759.5,,0.0
2020-11-10 09:00:00,2020-11-10 10:00:00,91.25,153.25,0.93,60.62,32.65,30.5,32.42,1.61,63.43,2.58,9.75,,,27.45,72.5,0.85,354.0,148.75,757.5,,0.0
2020-11-10 10:00:00,2020-11-10 11:00:00,72.5,131.25,2.85,15.5,10.58,25.62,10.23,1.02,66.39,1.4,4.95,,,27.5,66.25,1.68,354.0,295.0,755.5,,0.0
2020-11-10 11:00:00,2020-11-10 12:00:00,40.0,87.25,3.17,11.1,8.47,24.37,4.1,0.71,95.51,1.18,3.6,,,27.32,66.0,1.35,354.0,267.0,755.75,,0.0
2020-11-10 12:00:00,2020-11-10 13:00:00,39.0,78.5,1.6,12.27,7.83,25.4,1.45,0.58,97.33,1.15,3.58,,,27.15,65.75,1.2,354.0,263.75,755.25,,0.0
2020-11-10 13:00:00,2020-11-10 14:00:00,43.25,75.5,3.05,12.57,9.15,25.88,0.8,0.37,69.31,1.2,3.77,,,27.8,66.0,1.7,354.0,270.75,754.5,,0.0
2020-11-10 14:00:00,2020-11-10 15:00:00,38.5,74.0,3.12,24.6,15.62,24.6,5.93,0.17,79.91,1.15,3.02,,,27.82,66.75,2.83,354.0,181.75,755.25,,0.0
2020-11-10 15:00:00,2020-11-10 16:00:00,41.0,89.25,3.0,47.38,27.6,25.1,20.02,0.99,54.39,0.97,4.1,,,27.75,68.0,4.22,354.0,105.25,757.0,,0.0
2020-11-10 16:00:00,2020-11-10 17:00:00,47.25,112.25,1.73,60.55,32.83,25.57,21.88,1.33,,1.23,6.0,,,27.77,70.5,2.95,354.0,47.75,758.5,,0.0
2020-11-10 17:00:00,2020-11-10 18:00:00,54.75,121.5,2.52,42.27,24.55,26.98,5.93,1.23,169.38,1.35,7.23,,,28.25,72.5,2.92,354.0,20.0,760.0,,0.0
2020-11-10 18:00:00,2020-11-10 19:00:00,48.0,111.5,2.55,55.38,31.52,29.15,5.65,1.97,194.12,1.85,9.83,,,28.6,73.0,2.75,354.0,16.75,760.0,,0.0
2020-11-10 19:00:00,2020-11-10 20:00:00,48.0,112.25,2.48,60.1,33.92,27.55,4.08,1.95,59.68,2.25,11.07,,,27.25,73.5,2.8,354.0,16.75,760.0,,0.0
2020-11-10 20:00:00,2020-11-10 21:00:00,48.75,111.75,2.4,51.6,29.38,28.58,4.62,1.55,,2.47,13.5,,,27.27,77.0,3.5,354.0,16.75,760.0,,0.0
2020-11-10 21:00:00,2020-11-10 22:00:00,51.75,116.5,3.8,45.95,27.55,28.75,4.52,1.38,149.89,1.9,9.52,,,27.2,78.25,2.85,354.0,16.75,760.0,,0.0
2020-11-10 22:00:00,2020-11-10 23:00:00,53.25,110.25,3.12,36.1,21.73,28.1,3.2,0.86,,1.52,6.73,,,27.58,79.75,2.35,354.0,16.5,760.0,,0.0
2020-11-10 23:00:00,2020-11-11 00:00:00,49.25,92.0,2.58,26.62,16.27,31.6,3.25,0.26,,1.05,4.0,,,28.0,80.0,2.02,354.0,16.75,760.0,,0.0
2020-11-11 00:00:00,2020-11-11 01:00:00,49.25,82.5,0.95,38.88,21.45,31.33,9.98,0.51,,1.18,3.9,,,27.95,83.25,0.45,354.0,16.25,760.75,,0.0
2020-11-11 01:00:00,2020-11-11 02:00:00,62.25,89.0,1.45,32.53,18.48,30.38,9.2,0.56,,1.6,3.9,,,27.95,83.75,0.7,354.0,16.5,761.0,,0.0
2020-11-11 02:00:00,2020-11-11 03:00:00,56.0,86.0,3.27,33.25,20.35,31.5,11.0,0.69,,1.82,3.7,,,27.55,83.0,0.93,354.0,16.75,761.0,,0.0
2020-11-11 03:00:00,2020-11-11 04:00:00,60.75,86.25,2.95,28.27,17.45,29.82,6.7,0.95,,1.55,2.58,,,27.25,83.0,2.05,354.0,16.75,761.5,,0.0
2020-11-11 04:00:00,2020-11-11 05:00:00,55.5,85.0,3.05,23.85,15.2,28.88,6.62,0.54,,1.3,2.1,,,27.25,81.25,2.93,354.0,16.75,761.5,,0.0
2020-11-11 05:00:00,2020-11-11 06:00:00,52.5,82.25,3.15,29.17,18.07,28.27,5.12,0.56,,1.3,2.15,,,27.27,81.0,2.3,354.0,16.75,761.75,,0.0
2020-11-11 06:00:00,2020-11-11 07:00:00,58.0,92.5,2.5,50.25,28.1,29.45,8.45,0.65,,1.27,2.2,,,27.32,79.5,3.12,354.0,20.5,761.25,,0.0
2020-11-11 07:00:00,2020-11-11 08:00:00,66.25,98.25,2.65,52.88,30.27,29.77,13.55,0.21,,1.4,3.12,,,27.85,75.5,3.52,354.0,24.5,761.0,,0.0
2020-11-11 08:00:00,2020-11-11 09:00:00,78.75,108.75,2.52,59.8,33.88,28.38,10.02,0.95,,1.68,5.8,,,28.05,82.0,2.67,354.0,22.75,761.75,,0.0
2020-11-11 09:00:00,2020-11-11 10:00:00,72.5,102.75,3.83,83.22,45.85,30.57,4.62,1.41,,2.32,8.5,,,28.25,86.5,1.52,354.0,44.25,762.0,,0.0
2020-11-11 10:00:00,2020-11-11 11:00:00,82.5,105.25,4.03,72.5,40.82,31.25,4.6,1.62,,2.73,10.78,,,28.47,82.25,2.33,354.0,82.5,761.0,,0.0
2020-11-11 11:00:00,2020-11-11 12:00:00,78.5,107.75,2.15,75.8,41.4,31.73,8.87,1.91,,2.8,10.43,,,27.7,77.5,3.08,354.0,77.75,760.75,,0.0
2020-11-11 12:00:00,2020-11-11 13:00:00,72.5,116.5,3.8,79.93,43.93,35.93,18.27,1.34,,2.55,9.72,,,27.68,75.5,3.45,354.0,100.5,760.0,,0.0
2020-11-11 13:00:00,2020-11-11 14:00:00,75.0,125.5,5.17,86.5,50.2,32.93,66.28,1.28,,3.15,13.1,,,27.4,75.25,6.8,354.0,160.25,759.0,,0.0
2020-11-11 14:00:00,2020-11-11 15:00:00,67.5,118.5,3.57,75.02,41.33,35.35,55.6,1.27,,1.93,8.72,,,27.33,78.0,4.4,354.0,101.0,759.0,,0.0
2020-11-11 15:00:00,2020-11-11 16:00:00,61.25,108.5,2.25,67.3,37.6,37.07,30.7,0.97,,2.3,10.38,,,27.7,83.5,2.9,354.0,48.75,760.0,,0.0
2020-11-11 16:00:00,2020-11-11 17:00:00,55.0,92.5,3.6,81.92,43.93,40.23,8.28,1.16,,2.05,10.0,,,27.98,89.25,3.1,354.0,36.0,761.0,,0.0
2020-11-11 17:00:00,2020-11-11 18:00:00,48.75,64.75,4.3,82.2,44.55,37.65,9.22,1.7,,1.95,11.92,,,27.88,88.0,2.47,354.0,22.0,760.75,,0.0
2020-11-11 18:00:00,2020-11-11 19:00:00,43.5,65.25,8.95,116.97,64.83,52.8,37.77,2.72,,3.7,20.38,,,31.85,87.75,0.85,354.0,10.0,761.25,,0.0
2020-11-11 19:00:00,2020-11-11 20:00:00,62.0,87.0,,,,,32.3,3.71,,8.95,38.65,,,36.48,88.0,0.35,354.0,10.0,761.0,,0.0
2020-11-11 20:00:00,2020-11-11 21:00:00,70.75,82.25,0.8,90.0,48.5,34.4,18.27,2.53,,7.47,30.15,,,33.38,88.0,0.3,354.0,15.75,760.5,,0.0
2020-11-11 21:00:00,2020-11-11 22:00:00,50.75,67.25,3.5,85.6,46.73,32.8,9.08,2.06,,4.45,19.5,,,27.73,88.0,0.47,354.0,16.75,761.0,,0.0
2020-11-11 22:00:00,2020-11-11 23:00:00,45.0,62.25,3.77,73.5,41.28,36.65,9.8,1.67,,2.92,14.55,,,27.32,89.25,0.45,354.0,16.75,761.75,,0.0
2020-11-11 23:00:00,2020-11-12 00:00:00,40.75,53.0,1.97,53.82,28.8,35.67,5.1,1.29,,2.35,8.32,,,27.23,90.0,0.3,354.0,16.5,761.75,,0.0
2020-11-12 00:00:00,2020-11-12 01:00:00,46.0,52.25,4.0,43.32,25.48,35.62,4.1,0.71,,1.52,5.9,,,27.25,90.75,0.3,354.0,16.75,762.0,,0.0
2020-11-12 01:00:00,2020-11-12 02:00:00,44.5,56.75,4.9,45.12,26.97,36.3,3.32,0.65,,1.45,5.33,,,27.45,91.0,0.3,354.0,16.5,762.0,,0.0
2020-11-12 02:00:00,2020-11-12 03:00:00,42.5,52.0,2.02,36.35,21.02,39.92,3.27,0.49,,2.05,4.92,,,27.4,91.0,0.32,354.0,16.75,762.0,,0.0
2020-11-12 03:00:00,2020-11-12 04:00:00,45.5,54.75,3.23,24.12,14.7,40.02,2.82,0.35,,1.18,3.4,,,28.33,91.0,0.3,354.0,15.75,761.25,,0.0
2020-11-12 04:00:00,2020-11-12 05:00:00,33.5,49.75,3.1,41.77,24.75,43.38,4.05,0.74,,1.75,3.2,,,28.05,90.5,0.3,354.0,15.75,761.5,,0.0
2020-11-12 05:00:00,2020-11-12 06:00:00,42.0,64.0,4.55,57.62,34.35,59.7,4.7,0.73,,1.65,4.22,,,27.8,91.5,0.35,354.0,15.25,761.5,,0.0
2020-11-12 06:00:00,2020-11-12 07:00:00,56.75,68.75,2.53,69.22,37.92,60.33,3.77,0.86,,2.1,5.8,,,27.33,92.0,0.3,354.0,16.75,762.0,,0.0
2020-11-12 07:00:00,2020-11-12 08:00:00,60.0,77.0,2.6,81.08,42.45,60.17,3.72,1.21,,1.6,4.97,,,27.15,91.75,0.95,354.0,28.25,762.0,,0.0
2020-11-12 08:00:00,2020-11-12 09:00:00,48.5,61.0,2.7,54.88,29.08,62.42,2.67,0.89,,2.6,10.45,,,27.25,91.25,1.3,354.0,43.75,761.0,,0.0
2020-11-12 09:00:00,2020-11-12 10:00:00,49.25,55.5,3.07,56.9,32.72,81.95,2.27,0.79,,2.12,8.12,,,27.22,92.0,2.23,354.0,30.75,761.75,,0.0
2020-11-12 10:00:00,2020-11-12 11:00:00,25.75,27.25,2.77,63.32,34.33,97.97,4.23,1.47,,2.7,12.35,,,27.58,91.75,0.6,354.0,45.5,761.0,,0.0
2020-11-12 11:00:00,2020-11-12 12:00:00,37.75,41.5,1.4,83.8,45.73,90.77,8.57,1.4,,3.6,15.4,,,27.7,92.0,0.32,354.0,22.75,761.0,,0.0
2020-11-12 12:00:00,2020-11-12 13:00:00,23.5,34.0,5.1,82.4,46.47,73.0,4.05,1.48,,4.08,17.7,,,27.7,91.75,0.3,354.0,32.25,761.0,,0.0
2020-11-12 13:00:00,2020-11-12 14:00:00,30.25,52.75,4.12,85.05,48.55,78.83,3.17,1.74,,2.65,15.45,,,28.67,91.25,0.35,354.0,44.5,760.75,,0.0
2020-11-12 14:00:00,2020-11-12 15:00:00,39.25,57.0,3.47,88.72,48.92,60.48,2.52,1.67,,4.0,16.48,,,27.65,91.25,0.35,354.0,61.5,761.0,,0.0
2020-11-12 15:00:00,2020-11-12 16:00:00,43.0,59.5,4.6,78.0,45.23,55.45,2.58,1.54,21.32,4.72,17.43,,,27.2,89.5,0.68,354.0,70.0,760.5,,0.0
2020-11-12 16:00:00,2020-11-12 17:00:00,29.75,46.5,3.03,58.32,32.65,57.78,2.12,1.45,34.64,2.1,11.35,,,27.02,90.5,0.48,351.75,38.5,761.0,,0.25
2020-11-12 17:00:00,2020-11-12 18:00:00,23.0,45.25,6.62,102.23,59.75,51.05,3.9,2.86,,2.98,18.12,,,27.02,90.5,0.3,354.0,23.25,761.0,,0.0
2020-11-12 18:00:00,2020-11-12 19:00:00,41.25,66.25,8.3,137.25,69.17,50.92,4.45,3.72,2.31,4.47,27.05,,,27.18,91.0,0.3,354.0,18.0,761.0,,0.0
2020-11-12 19:00:00,2020-11-12 20:00:00,45.75,73.0,5.05,127.38,66.92,74.57,5.33,3.42,6.83,7.3,37.95,,,27.65,91.0,0.3,354.0,17.75,761.0,,0.0
2020-11-12 20:00:00,2020-11-12 21:00:00,44.0,56.75,2.47,16.85,10.95,66.53,3.97,0.47,10.77,3.77,18.55,,,28.17,91.25,0.43,354.0,17.25,761.0,,0.0
2020-11-12 21:00:00,2020-11-12 22:00:00,4.75,8.75,3.2,25.6,16.22,58.08,4.1,0.42,,5.67,9.6,,,27.58,92.0,0.3,354.0,16.75,761.0,,0.0
2020-11-12 22:00:00,2020-11-12 23:00:00,3.25,10.5,3.0,9.97,7.75,58.43,2.9,0.41,2.01,4.05,7.38,,,28.05,92.0,0.3,354.0,17.0,760.75,,0.0
2020-11-12 23:00:00,2020-11-13 00:00:00,1.25,15.75,3.22,19.88,13.2,54.02,3.05,0.38,12.76,2.48,5.68,,,27.38,91.75,0.3,354.0,17.75,761.0,,0.0
2020-11-13 00:00:00,2020-11-13 01:00:00,2.75,28.5,3.33,15.82,11.15,35.77,3.62,0.33,5.18,13.68,13.8,,,26.9,90.25,0.3,354.0,17.75,761.25,,0.0
2020-11-13 01:00:00,2020-11-13 02:00:00,5.25,7.75,2.72,10.7,7.88,46.58,3.9,0.33,7.32,8.05,9.55,,,26.85,89.5,0.3,354.0,17.0,761.25,,0.0
2020-11-13 02:00:00,2020-11-13 03:00:00,6.0,13.0,2.9,6.05,5.58,48.55,3.6,0.35,12.11,1.05,3.67,,,26.8,88.25,0.33,354.0,17.0,761.25,,0.0
2020-11-13 03:00:00,2020-11-13 04:00:00,5.0,10.0,2.92,5.43,5.22,50.65,3.7,0.44,,0.95,4.22,,,27.43,88.25,0.3,354.0,17.5,761.0,,0.0
2020-11-13 04:00:00,2020-11-13 05:00:00,5.25,12.25,2.95,7.18,6.2,57.83,2.33,0.12,2.98,0.92,3.75,,,28.02,87.25,0.32,354.0,16.75,760.5,,0.0
2020-11-13 05:00:00,2020-11-13 06:00:00,6.0,17.0,2.8,6.95,5.97,47.75,1.45,0.11,6.31,1.18,3.9,,,28.0,87.75,0.3,354.0,17.5,760.75,,0.0
2020-11-13 06:00:00,2020-11-13 07:00:00,6.25,11.25,2.67,8.15,6.5,48.45,1.68,0.14,8.21,0.78,3.35,,,28.08,86.25,0.35,354.0,27.25,760.25,,0.0
2020-11-13 07:00:00,2020-11-13 08:00:00,7.25,14.5,3.18,9.72,7.73,45.38,1.9,0.13,26.92,0.75,3.2,,,27.93,86.0,0.33,354.0,47.5,759.75,,0.0
2020-11-13 08:00:00,2020-11-13 09:00:00,8.0,20.75,2.87,7.78,6.45,39.0,1.38,0.36,10.43,0.95,3.72,,,27.07,85.5,0.33,354.0,59.0,759.0,,0.0
2020-11-13 09:00:00,2020-11-13 10:00:00,8.25,18.5,2.88,11.5,8.45,30.95,1.93,0.47,3.82,0.82,4.17,,,26.8,82.0,0.3,354.0,104.5,757.75,,0.0
2020-11-13 10:00:00,2020-11-13 11:00:00,8.25,23.75,2.85,9.43,7.32,39.3,2.87,0.46,2.25,0.95,4.28,,,26.68,78.5,0.45,354.0,239.75,755.5,,0.0
2020-11-13 11:00:00,2020-11-13 12:00:00,6.0,25.5,2.9,8.5,6.9,39.4,4.77,0.49,2.46,1.15,4.5,,,26.68,78.0,0.43,354.0,282.0,755.5,,0.0
2020-11-13 12:00:00,2020-11-13 13:00:00,6.0,24.5,2.33,7.53,5.87,49.87,2.38,0.28,44.58,0.95,4.55,,,27.77,75.0,0.4,354.0,325.75,753.75,,0.0
2020-11-13 13:00:00,2020-11-13 14:00:00,7.0,23.75,3.3,8.0,6.95,45.0,2.15,0.12,18.84,0.85,4.8,,,27.65,75.75,0.5,354.0,255.0,754.0,,0.0
2020-11-13 14:00:00,2020-11-13 15:00:00,9.0,19.25,2.9,7.85,6.53,38.47,3.12,0.2,,0.7,4.05,,,27.58,76.5,0.55,354.0,177.5,754.5,,0.0
