From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),RF (m/s),AT (degree C)
2023-01-21 08:00:00,2023-01-21 09:00:00,43.52,92.33,15.11,35.6,33.1,20.58,5.88,1.23,6.79,6.66,89.66,0.39,243.94,164.42,0.0,19.07
2023-01-21 09:00:00,2023-01-21 10:00:00,47.07,96.95,8.42,30.07,24.85,21.65,17.98,1.15,34.04,6.36,72.39,0.9,109.5,296.88,0.0,23.12
2023-01-21 10:00:00,2023-01-21 11:00:00,45.34,87.52,5.51,29.35,22.15,22.08,36.32,1.29,55.33,6.62,61.69,0.89,42.58,364.3,0.0,25.8
2023-01-21 11:00:00,2023-01-21 12:00:00,46.56,105.73,4.86,35.44,24.8,20.7,53.52,1.25,67.65,6.54,53.02,1.14,249.62,429.7,0.0,27.9
2023-01-21 12:00:00,2023-01-21 13:00:00,46.36,105.35,3.22,26.77,18.96,19.41,43.54,1.06,92.03,6.04,44.23,1.07,101.04,472.3,0.0,29.42
2023-01-21 13:00:00,2023-01-21 14:00:00,42.55,84.04,3.23,26.97,19.07,17.52,41.06,0.9,89.82,3.83,35.73,1.26,96.34,428.6,0.0,30.3
2023-01-21 14:00:00,2023-01-21 15:00:00,37.04,67.03,2.88,22.07,16.23,18.5,30.06,0.69,103.37,2.53,32.41,1.4,173.34,374.45,0.0,30.57
2023-01-21 15:00:00,2023-01-21 16:00:00,34.09,57.43,2.89,27.08,18.85,16.47,36.89,0.69,100.74,2.54,33.05,1.11,183.37,263.8,0.0,30.46
2023-01-21 16:00:00,2023-01-21 17:00:00,30.01,48.22,2.7,21.08,15.56,16.68,16.14,0.66,83.79,2.54,31.76,0.91,170.94,136.77,0.0,29.84
2023-01-21 17:00:00,2023-01-21 18:00:00,26.93,45.61,3.25,32.75,22.11,15.51,12.95,0.79,21.98,3.14,47.07,0.21,157.32,43.38,0.0,26.13
2023-01-21 18:00:00,2023-01-21 19:00:00,29.98,138.82,22.56,54.84,49.13,11.79,8.24,1.05,7.13,3.8,65.41,0.32,122.21,34.0,0.0,22.05
2023-01-21 19:00:00,2023-01-21 20:00:00,63.77,349.01,30.25,59.67,57.83,12.47,6.99,2.03,3.59,9.25,71.91,0.31,137.06,33.45,0.0,20.77
2023-01-21 20:00:00,2023-01-21 21:00:00,105.31,392.16,25.97,61.36,55.27,16.24,7.0,1.37,3.24,8.29,75.41,0.54,108.43,33.57,0.0,20.09
2023-01-21 21:00:00,2023-01-21 22:00:00,92.89,321.31,20.27,54.35,47.04,20.45,12.21,1.37,3.44,5.83,76.7,0.35,99.4,33.4,0.0,19.92
2023-01-21 22:00:00,2023-01-21 23:00:00,85.56,285.91,15.41,44.4,37.95,22.78,8.85,1.14,6.51,6.5,80.51,0.32,99.96,33.7,0.0,18.97
2023-01-21 23:00:00,2023-01-22 00:00:00,58.0,206.57,12.25,41.63,33.96,22.1,7.55,1.09,8.44,6.16,84.45,0.38,98.74,33.42,0.0,18.2
2023-01-22 00:00:00,2023-01-22 01:00:00,41.46,114.23,11.1,36.38,30.29,21.22,6.14,1.06,6.52,6.15,89.12,0.41,84.12,33.47,0.0,17.46
2023-01-22 01:00:00,2023-01-22 02:00:00,33.48,87.43,10.84,33.25,28.46,21.43,6.19,1.03,7.03,6.19,90.18,0.32,112.08,33.45,0.0,17.38
2023-01-22 02:00:00,2023-01-22 03:00:00,33.3,73.29,12.94,35.06,31.09,20.19,5.67,1.05,3.67,6.04,92.05,0.17,107.37,33.65,0.0,16.71
2023-01-22 03:00:00,2023-01-22 04:00:00,30.32,54.93,13.75,31.03,29.62,19.79,5.56,1.04,3.23,6.17,94.18,0.11,128.96,33.7,0.0,16.14
2023-01-22 04:00:00,2023-01-22 05:00:00,28.67,50.44,13.73,28.03,28.05,19.82,5.36,1.03,2.63,6.0,94.81,0.12,199.25,33.77,0.0,15.85
2023-01-22 05:00:00,2023-01-22 06:00:00,28.44,62.66,13.56,26.83,27.28,19.44,5.11,1.03,2.32,5.98,95.25,0.14,264.87,33.75,0.0,15.69
2023-01-22 06:00:00,2023-01-22 07:00:00,26.61,54.55,12.45,25.67,25.79,18.93,4.97,0.99,2.71,6.12,95.53,0.21,132.95,38.77,0.0,15.3
2023-01-22 07:00:00,2023-01-22 08:00:00,24.83,54.22,12.6,25.17,25.64,18.61,5.08,0.96,3.8,5.54,95.42,0.33,100.54,78.5,0.0,16.42
2023-01-22 08:00:00,2023-01-22 09:00:00,35.4,81.62,18.56,48.06,43.24,16.16,36.15,1.33,9.5,5.5,75.05,0.51,188.21,158.03,0.0,21.15
2023-01-22 09:00:00,2023-01-22 10:00:00,56.13,136.44,13.58,58.16,43.67,17.39,93.36,1.47,37.62,8.26,52.24,0.91,168.34,299.1,0.0,25.27
2023-01-22 10:00:00,2023-01-22 11:00:00,55.98,144.67,9.04,47.11,34.26,19.7,73.53,1.38,48.17,7.5,45.37,0.79,203.47,401.2,0.0,27.68
2023-01-22 11:00:00,2023-01-22 12:00:00,48.52,122.43,6.54,42.64,29.91,19.91,62.01,1.26,59.98,5.1,40.54,0.74,213.65,439.83,0.0,29.26
2023-01-22 12:00:00,2023-01-22 13:00:00,42.29,99.21,4.08,35.15,24.03,20.91,44.4,1.1,82.84,4.54,36.15,1.3,230.04,426.53,0.0,30.34
2023-01-22 13:00:00,2023-01-22 14:00:00,36.68,85.82,3.46,32.08,21.93,20.16,35.61,0.89,88.55,3.44,30.65,1.35,238.75,421.92,0.0,31.05
2023-01-22 14:00:00,2023-01-22 15:00:00,33.45,77.57,3.12,27.17,19.09,18.24,28.81,0.76,85.5,2.76,28.37,0.93,218.01,348.18,0.0,31.29
2023-01-22 15:00:00,2023-01-22 16:00:00,29.52,65.49,3.13,29.31,20.21,17.69,28.28,0.74,83.22,2.62,27.18,1.07,248.17,254.77,0.0,31.18
2023-01-22 16:00:00,2023-01-22 17:00:00,31.57,74.71,3.13,33.88,22.6,17.27,23.63,0.76,68.56,2.56,28.77,0.69,213.29,128.82,0.0,30.34
2023-01-22 17:00:00,2023-01-22 18:00:00,31.05,79.51,3.18,39.07,25.35,16.18,17.77,0.82,39.13,2.94,36.93,0.34,177.13,41.98,0.0,27.59
2023-01-22 18:00:00,2023-01-22 19:00:00,31.79,100.95,3.31,36.17,23.94,15.99,16.08,0.99,46.63,3.94,45.59,0.49,186.37,33.2,0.0,25.85
2023-01-22 19:00:00,2023-01-22 20:00:00,46.2,119.27,12.2,43.3,34.8,14.59,11.08,0.93,25.58,3.81,56.16,0.4,144.32,34.15,0.0,23.12
2023-01-22 20:00:00,2023-01-22 21:00:00,55.59,193.49,9.47,60.37,41.52,14.18,7.81,0.83,10.13,3.55,70.1,0.51,110.67,33.7,0.0,20.08
2023-01-22 21:00:00,2023-01-22 22:00:00,66.77,338.84,7.85,48.99,34.28,16.81,6.8,0.78,11.96,3.27,78.24,0.51,107.28,33.55,0.0,18.59
2023-01-22 22:00:00,2023-01-22 23:00:00,69.59,307.06,7.1,46.88,32.58,17.35,6.72,0.84,9.19,3.61,79.69,0.43,116.51,32.95,0.0,18.31
2023-01-22 23:00:00,2023-01-23 00:00:00,65.19,220.7,7.97,46.12,32.88,17.87,7.26,0.88,9.54,4.95,81.06,0.32,80.31,33.58,0.0,18.49
2023-01-23 00:00:00,2023-01-23 01:00:00,56.46,150.73,10.46,35.64,29.39,19.33,5.59,0.88,3.34,5.27,89.37,0.14,188.97,33.77,0.0,16.75
2023-01-23 01:00:00,2023-01-23 02:00:00,45.47,91.09,11.47,34.12,29.41,18.82,5.14,0.88,2.63,5.13,92.22,0.27,125.23,33.5,0.0,16.2
2023-01-23 02:00:00,2023-01-23 03:00:00,40.9,85.17,14.36,33.92,31.62,18.88,4.79,0.87,2.31,5.16,93.92,0.18,141.73,33.55,0.0,15.79
2023-01-23 03:00:00,2023-01-23 04:00:00,38.16,91.91,13.39,33.68,30.73,19.61,4.55,0.86,2.31,5.05,94.46,0.35,97.58,33.45,0.0,15.62
2023-01-23 04:00:00,2023-01-23 05:00:00,36.92,99.55,16.3,31.94,32.14,19.49,4.46,0.85,2.04,4.89,94.77,0.19,111.47,33.72,0.0,15.02
2023-01-23 05:00:00,2023-01-23 06:00:00,37.46,124.76,15.45,30.34,30.62,19.73,4.4,0.84,2.59,4.91,95.5,0.29,140.79,33.5,0.0,14.76
2023-01-23 06:00:00,2023-01-23 07:00:00,45.36,172.53,27.22,33.31,41.62,18.74,4.31,0.86,2.23,4.51,95.56,0.26,101.95,38.67,0.0,14.51
2023-01-23 07:00:00,2023-01-23 08:00:00,56.97,221.03,20.17,32.39,35.49,21.2,4.62,0.84,5.84,4.55,94.11,0.51,97.16,76.15,0.0,15.75
2023-01-23 08:00:00,2023-01-23 09:00:00,53.07,104.53,13.2,34.93,31.22,22.04,9.52,0.93,21.9,4.45,77.51,0.96,79.09,168.32,0.0,20.05
2023-01-23 09:00:00,2023-01-23 10:00:00,49.17,102.42,7.53,32.23,25.26,23.17,35.14,1.02,46.7,5.13,54.72,0.57,142.24,341.53,0.0,24.93
2023-01-23 10:00:00,2023-01-23 11:00:00,44.31,93.61,9.24,66.22,44.39,26.52,84.84,1.18,41.75,6.45,35.69,0.42,231.17,424.83,0.0,28.9
2023-01-23 11:00:00,2023-01-23 12:00:00,45.36,116.63,4.97,43.63,29.17,23.64,64.61,0.82,68.22,4.67,27.87,0.87,198.06,501.88,0.0,30.45
2023-01-23 12:00:00,2023-01-23 13:00:00,42.3,91.42,3.84,32.12,22.25,17.89,53.19,0.6,77.57,2.84,23.04,0.68,173.47,490.97,0.0,31.68
2023-01-23 13:00:00,2023-01-23 14:00:00,36.11,75.28,3.15,23.99,17.45,17.26,38.88,0.51,80.34,1.77,21.09,0.73,161.87,453.17,0.0,32.04
2023-01-23 14:00:00,2023-01-23 15:00:00,32.19,48.58,3.01,21.8,16.2,15.78,42.34,0.47,103.56,1.71,20.42,0.68,119.94,371.5,0.0,32.23
2023-01-23 15:00:00,2023-01-23 16:00:00,27.5,50.93,2.98,25.24,17.96,14.17,36.42,0.58,94.64,1.43,20.05,0.82,209.24,259.88,0.0,32.36
2023-01-23 16:00:00,2023-01-23 17:00:00,25.83,59.43,3.23,34.06,22.77,14.27,27.88,0.79,92.83,1.76,22.92,1.29,210.38,131.9,0.0,30.64
2023-01-23 17:00:00,2023-01-23 18:00:00,26.88,81.19,2.91,47.02,29.29,15.45,21.97,0.89,59.25,1.58,26.74,1.13,207.07,43.3,0.0,28.36
2023-01-23 18:00:00,2023-01-23 19:00:00,49.4,139.0,4.42,60.62,44.57,14.06,66.27,1.26,25.04,2.28,31.26,0.9,207.97,33.15,0.0,26.42
2023-01-23 19:00:00,2023-01-23 20:00:00,92.93,249.91,12.48,79.27,58.55,10.4,81.49,1.48,7.79,6.95,39.66,0.48,191.22,33.67,0.0,24.49
2023-01-23 20:00:00,2023-01-23 21:00:00,95.08,343.11,13.98,70.48,50.42,13.69,40.18,1.56,7.04,13.49,53.84,0.43,129.38,34.23,0.0,21.28
2023-01-23 21:00:00,2023-01-23 22:00:00,76.4,284.8,23.22,58.11,51.37,14.92,10.38,1.02,6.51,4.88,68.17,0.43,109.84,33.6,0.0,18.02
2023-01-23 22:00:00,2023-01-23 23:00:00,54.09,236.71,28.82,58.36,55.99,15.84,7.88,1.03,2.84,4.84,72.25,0.38,115.22,33.35,0.0,16.98
2023-01-23 23:00:00,2023-01-24 00:00:00,68.07,320.9,20.56,54.27,47.23,18.92,7.06,1.0,3.3,5.02,77.02,0.41,88.52,33.1,0.0,16.77
2023-01-24 00:00:00,2023-01-24 01:00:00,58.81,230.01,17.41,43.33,38.99,20.56,6.93,0.93,3.8,4.68,84.93,0.35,104.69,33.25,0.0,15.74
2023-01-24 01:00:00,2023-01-24 02:00:00,32.45,107.47,16.61,38.41,35.77,20.17,6.51,0.94,2.99,4.9,89.9,0.22,145.54,33.4,0.0,14.93
2023-01-24 02:00:00,2023-01-24 03:00:00,26.06,73.61,16.52,34.96,33.9,19.32,6.15,0.91,2.28,4.92,92.15,0.24,113.69,33.55,0.0,14.4
2023-01-24 03:00:00,2023-01-24 04:00:00,24.09,73.62,16.48,31.52,32.07,18.37,5.9,0.91,2.64,4.78,93.83,0.21,124.52,33.42,0.0,13.93
2023-01-24 04:00:00,2023-01-24 05:00:00,18.17,60.53,14.27,31.02,30.04,18.6,5.6,0.86,2.85,4.69,93.9,0.22,109.66,33.6,0.0,13.37
2023-01-24 05:00:00,2023-01-24 06:00:00,24.43,52.74,14.0,29.44,28.99,18.5,5.48,0.8,3.37,4.46,94.03,0.23,123.85,33.5,0.0,12.96
2023-01-24 06:00:00,2023-01-24 07:00:00,26.54,83.05,31.03,33.98,45.03,13.89,5.41,0.82,2.36,4.0,94.38,0.33,105.12,38.67,0.0,12.65
2023-01-24 07:00:00,2023-01-24 08:00:00,37.87,148.68,40.62,35.95,53.74,15.49,5.84,0.83,2.96,4.29,90.44,0.4,107.16,70.08,0.0,14.32
2023-01-24 08:00:00,2023-01-24 09:00:00,46.62,171.82,17.33,39.43,36.88,22.32,12.66,0.95,20.69,4.45,66.8,0.93,82.3,166.65,0.0,20.23
2023-01-24 09:00:00,2023-01-24 10:00:00,43.29,101.45,11.09,35.56,29.86,23.66,46.79,0.93,37.53,5.13,44.16,0.77,125.88,351.75,0.0,25.48
2023-01-24 10:00:00,2023-01-24 11:00:00,34.63,93.45,7.39,44.79,31.72,19.59,78.55,0.93,54.41,5.41,31.09,0.59,195.86,427.45,0.0,28.62
2023-01-24 11:00:00,2023-01-24 12:00:00,33.4,97.38,4.49,39.88,26.83,17.34,71.32,1.04,57.86,4.0,26.86,0.61,218.31,469.82,0.0,30.57
2023-01-24 12:00:00,2023-01-24 13:00:00,29.21,90.19,3.62,32.23,22.13,16.91,66.76,0.96,96.99,3.11,25.38,0.83,249.48,469.55,0.0,31.42
2023-01-24 13:00:00,2023-01-24 14:00:00,24.51,82.04,2.71,19.94,14.98,14.78,44.02,0.76,114.88,2.01,24.23,0.92,115.92,440.82,0.0,31.96
2023-01-24 14:00:00,2023-01-24 15:00:00,26.38,58.86,2.48,12.42,10.86,13.26,24.7,0.55,115.07,1.48,23.78,1.2,103.07,388.32,0.0,32.22
2023-01-24 15:00:00,2023-01-24 16:00:00,12.09,41.1,2.82,22.33,16.32,12.22,29.24,0.62,96.67,1.23,22.95,1.09,252.75,241.02,0.0,32.34
2023-01-24 16:00:00,2023-01-24 17:00:00,10.67,50.42,2.71,26.01,18.15,13.76,13.81,0.51,81.38,1.24,27.39,0.91,285.36,96.65,0.0,30.52
2023-01-24 17:00:00,2023-01-24 18:00:00,19.09,88.39,3.28,54.52,33.5,17.35,10.93,0.69,38.55,1.79,33.16,0.37,241.58,41.27,0.0,28.58
2023-01-24 18:00:00,2023-01-24 19:00:00,50.27,178.08,3.83,72.55,43.5,16.84,48.41,1.03,18.6,5.17,37.47,0.66,201.99,33.5,0.0,26.99
2023-01-24 19:00:00,2023-01-24 20:00:00,94.28,260.93,8.68,73.98,50.48,14.71,52.94,1.33,8.66,7.68,42.98,0.53,153.9,34.15,0.0,25.04
2023-01-24 20:00:00,2023-01-24 21:00:00,90.02,299.59,6.69,63.11,40.73,15.83,11.82,0.82,7.48,7.11,57.18,0.57,117.41,34.02,0.0,21.25
2023-01-24 21:00:00,2023-01-24 22:00:00,82.17,428.47,17.21,58.33,46.66,14.0,8.26,0.85,3.74,4.24,65.52,0.47,112.69,33.65,0.0,19.36
2023-01-24 22:00:00,2023-01-24 23:00:00,87.42,482.48,19.02,52.15,44.89,15.18,6.68,0.81,2.71,4.33,71.95,0.37,96.46,33.45,0.0,18.46
2023-01-24 23:00:00,2023-01-25 00:00:00,40.54,191.56,11.96,44.19,35.07,18.32,5.49,0.78,4.48,3.95,75.43,0.32,106.89,33.42,0.0,17.86
2023-01-25 00:00:00,2023-01-25 01:00:00,43.47,171.07,11.39,42.88,33.92,18.74,7.1,0.83,4.12,4.37,80.41,0.27,87.54,33.2,0.0,18.25
2023-01-25 01:00:00,2023-01-25 02:00:00,31.59,117.44,12.46,36.78,31.59,18.79,7.07,0.82,2.99,4.62,84.55,0.2,284.77,33.82,0.0,17.23
2023-01-25 02:00:00,2023-01-25 03:00:00,24.82,79.51,12.71,31.67,29.12,18.8,6.53,0.81,2.79,4.66,87.88,0.17,141.46,33.6,0.0,16.33
2023-01-25 03:00:00,2023-01-25 04:00:00,32.59,82.97,17.47,32.48,33.37,17.62,5.77,0.8,2.12,4.37,90.55,0.28,121.67,33.45,0.0,15.91
2023-01-25 04:00:00,2023-01-25 05:00:00,28.25,89.55,15.16,30.93,30.71,18.45,6.09,0.77,2.46,4.35,91.14,0.19,95.27,33.6,0.0,15.56
2023-01-25 05:00:00,2023-01-25 06:00:00,22.78,64.4,17.67,30.82,32.66,18.0,5.66,0.74,2.18,4.01,93.22,0.28,117.67,33.52,0.0,15.06
2023-01-25 06:00:00,2023-01-25 07:00:00,26.23,94.27,28.89,29.49,40.96,17.37,5.38,0.74,2.1,3.74,92.47,0.35,116.13,38.95,0.0,14.98
2023-01-25 07:00:00,2023-01-25 08:00:00,33.56,129.27,16.0,32.09,31.99,20.23,6.27,0.76,6.05,4.1,82.65,0.55,111.54,67.83,0.0,16.99
2023-01-25 08:00:00,2023-01-25 09:00:00,26.95,79.79,12.04,30.49,27.98,21.05,14.24,0.84,26.7,5.23,54.72,0.8,131.56,164.85,0.0,22.57
2023-01-25 09:00:00,2023-01-25 10:00:00,31.72,98.48,7.55,24.88,21.44,21.91,33.88,0.75,46.69,3.29,36.42,0.84,148.83,347.27,0.0,26.76
2023-01-25 10:00:00,2023-01-25 11:00:00,21.19,68.89,6.97,43.19,30.55,18.72,86.75,0.83,49.8,3.9,32.36,0.85,186.42,416.93,0.0,28.8
2023-01-25 11:00:00,2023-01-25 12:00:00,21.62,99.93,6.11,46.79,31.73,20.36,92.42,0.72,65.52,4.26,26.86,0.73,204.53,475.83,0.0,31.05
2023-01-25 12:00:00,2023-01-25 13:00:00,25.07,101.96,4.11,34.94,23.94,17.49,78.66,0.7,80.62,1.96,22.79,0.71,195.65,472.0,0.0,32.39
2023-01-25 13:00:00,2023-01-25 14:00:00,30.71,78.87,3.32,26.51,18.9,15.36,56.27,0.57,98.96,1.97,21.64,0.79,130.68,444.62,0.0,32.9
2023-01-25 14:00:00,2023-01-25 15:00:00,26.39,69.73,3.08,23.52,17.15,13.3,55.45,0.53,104.64,1.43,22.4,0.79,170.95,363.77,0.0,33.5
2023-01-25 15:00:00,2023-01-25 16:00:00,20.94,55.68,3.01,27.66,19.25,13.56,62.24,0.68,99.8,1.49,22.89,0.8,237.56,255.35,0.0,33.25
2023-01-25 16:00:00,2023-01-25 17:00:00,21.22,56.23,2.98,41.47,26.44,15.85,44.66,0.77,91.45,2.24,25.78,1.25,248.91,132.65,0.0,31.96
2023-01-25 17:00:00,2023-01-25 18:00:00,31.33,98.89,2.71,51.77,31.61,17.24,29.09,0.87,61.01,1.83,32.05,0.66,227.39,43.32,0.0,29.4
2023-01-25 18:00:00,2023-01-25 19:00:00,32.95,108.4,2.85,51.07,31.35,17.23,23.94,0.84,27.18,2.47,43.06,0.4,164.11,33.33,0.0,26.14
2023-01-25 19:00:00,2023-01-25 20:00:00,49.96,162.5,7.13,69.23,45.83,12.8,59.57,1.24,20.27,4.79,40.73,0.67,196.33,33.33,0.0,26.35
2023-01-25 20:00:00,2023-01-25 21:00:00,70.03,240.57,5.23,52.31,33.91,15.28,38.07,1.16,18.06,9.94,47.94,0.43,119.16,34.1,0.0,24.1
2023-01-25 21:00:00,2023-01-25 22:00:00,70.91,252.21,17.49,54.93,45.11,13.88,12.14,0.95,4.51,5.2,65.49,0.39,107.15,33.95,0.0,20.82
2023-01-25 22:00:00,2023-01-25 23:00:00,69.7,315.95,12.47,49.06,38.02,16.05,11.07,0.87,5.36,5.3,71.4,0.48,114.06,33.53,0.0,19.48
2023-01-25 23:00:00,2023-01-26 00:00:00,66.28,313.09,8.91,42.5,31.74,17.16,9.71,0.88,9.84,4.5,70.62,0.44,112.98,33.2,0.0,19.53
2023-01-26 00:00:00,2023-01-26 01:00:00,53.81,156.16,9.86,40.23,31.31,18.19,8.28,0.93,6.19,4.8,75.92,0.26,91.35,33.62,0.0,19.09
2023-01-26 01:00:00,2023-01-26 02:00:00,47.75,129.94,12.0,37.92,31.82,18.44,7.42,0.93,3.02,4.94,84.22,0.17,93.76,33.5,0.0,17.96
2023-01-26 02:00:00,2023-01-26 03:00:00,42.1,120.13,14.13,35.29,32.16,17.98,6.92,0.93,2.4,5.16,89.0,0.21,96.06,33.52,0.0,17.1
2023-01-26 03:00:00,2023-01-26 04:00:00,40.0,115.5,16.23,31.31,31.76,18.2,6.46,0.93,2.29,5.16,91.4,0.22,204.41,33.57,0.0,16.66
2023-01-26 04:00:00,2023-01-26 05:00:00,34.66,111.75,12.89,27.75,27.22,19.73,6.01,0.87,3.23,5.0,92.03,0.33,123.95,33.6,0.0,16.43
2023-01-26 05:00:00,2023-01-26 06:00:00,37.84,157.95,24.76,33.08,39.53,17.46,5.66,0.88,2.33,4.58,91.41,0.42,105.22,33.42,0.0,16.01
2023-01-26 06:00:00,2023-01-26 07:00:00,46.78,270.83,20.15,32.78,35.67,18.91,5.76,0.88,2.52,4.02,92.07,0.32,214.04,38.5,0.0,15.75
2023-01-26 07:00:00,2023-01-26 08:00:00,39.54,95.89,19.57,28.01,32.72,20.04,6.37,0.93,4.13,5.42,88.93,0.33,170.71,68.55,0.0,17.23
2023-01-26 08:00:00,2023-01-26 09:00:00,40.0,87.15,10.67,29.36,26.29,22.11,16.75,0.89,27.73,5.51,65.56,0.94,80.55,153.28,0.0,21.98
2023-01-26 09:00:00,2023-01-26 10:00:00,36.99,80.07,7.03,26.92,22.09,22.56,39.0,0.98,47.42,5.55,49.89,0.99,79.2,329.2,0.0,25.93
2023-01-26 10:00:00,2023-01-26 11:00:00,33.95,92.01,10.32,52.33,38.01,17.81,116.33,1.31,46.07,6.46,39.02,0.72,86.54,369.62,0.0,28.86
2023-01-26 11:00:00,2023-01-26 12:00:00,34.22,119.78,5.95,40.38,28.26,20.24,87.43,1.18,75.92,8.5,37.44,1.32,32.5,389.33,0.0,29.69
2023-01-26 12:00:00,2023-01-26 13:00:00,34.34,111.88,4.09,32.34,22.55,21.41,57.23,0.85,84.87,5.59,30.78,1.23,187.06,436.25,0.0,31.19
2023-01-26 13:00:00,2023-01-26 14:00:00,31.0,75.39,4.37,40.18,26.88,18.35,67.18,0.69,72.88,3.06,25.61,1.05,307.26,427.95,0.0,32.59
2023-01-26 14:00:00,2023-01-26 15:00:00,16.71,51.88,3.78,34.87,23.63,17.64,71.58,0.6,101.96,2.54,25.14,1.23,127.91,365.23,0.0,32.69
2023-01-26 15:00:00,2023-01-26 16:00:00,26.62,32.9,2.98,25.75,18.24,19.44,52.8,0.58,103.57,1.48,24.62,0.95,66.67,242.55,0.0,32.7
2023-01-26 16:00:00,2023-01-26 17:00:00,20.21,34.64,3.0,30.18,20.56,18.4,46.11,0.62,85.07,2.09,28.66,0.66,79.02,115.7,0.0,31.7
2023-01-26 17:00:00,2023-01-26 18:00:00,,,3.81,38.44,25.51,15.96,21.82,0.81,23.07,3.0,44.09,0.13,190.84,43.48,0.0,27.95
2023-01-26 18:00:00,2023-01-26 19:00:00,,108.67,17.07,47.33,40.83,12.52,15.96,0.96,11.47,4.59,57.97,0.26,148.44,34.02,0.0,24.4
2023-01-26 19:00:00,2023-01-26 20:00:00,125.76,166.0,23.07,67.75,56.94,11.11,20.27,1.24,4.17,5.5,60.88,0.46,128.07,33.38,0.0,23.37
2023-01-26 20:00:00,2023-01-26 21:00:00,,356.15,25.82,57.67,53.22,13.99,19.5,1.28,3.99,6.56,65.37,0.27,108.28,33.67,0.0,22.07
2023-01-26 21:00:00,2023-01-26 22:00:00,,274.2,34.18,57.28,59.72,14.44,12.81,1.14,2.69,6.29,71.11,0.36,104.66,33.53,0.0,20.92
2023-01-26 22:00:00,2023-01-26 23:00:00,,309.9,23.98,50.71,48.11,19.32,12.82,1.02,4.88,5.56,72.94,0.38,104.76,33.52,0.0,20.34
