From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2022-05-26 02:00:00,2022-05-26 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 03:00:00,2022-05-26 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 04:00:00,2022-05-26 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 05:00:00,2022-05-26 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 06:00:00,2022-05-26 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 07:00:00,2022-05-26 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 08:00:00,2022-05-26 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 09:00:00,2022-05-26 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 10:00:00,2022-05-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 11:00:00,2022-05-26 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 12:00:00,2022-05-26 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 13:00:00,2022-05-26 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 14:00:00,2022-05-26 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 15:00:00,2022-05-26 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 16:00:00,2022-05-26 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 17:00:00,2022-05-26 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 18:00:00,2022-05-26 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 19:00:00,2022-05-26 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 20:00:00,2022-05-26 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 21:00:00,2022-05-26 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 22:00:00,2022-05-26 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 23:00:00,2022-05-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 00:00:00,2022-05-27 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 01:00:00,2022-05-27 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 02:00:00,2022-05-27 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 03:00:00,2022-05-27 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 04:00:00,2022-05-27 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 05:00:00,2022-05-27 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 06:00:00,2022-05-27 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 07:00:00,2022-05-27 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 08:00:00,2022-05-27 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 09:00:00,2022-05-27 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 10:00:00,2022-05-27 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 11:00:00,2022-05-27 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 12:00:00,2022-05-27 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 13:00:00,2022-05-27 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 14:00:00,2022-05-27 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 15:00:00,2022-05-27 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 16:00:00,2022-05-27 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 17:00:00,2022-05-27 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 18:00:00,2022-05-27 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 19:00:00,2022-05-27 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 20:00:00,2022-05-27 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 21:00:00,2022-05-27 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 22:00:00,2022-05-27 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-27 23:00:00,2022-05-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 00:00:00,2022-05-28 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 01:00:00,2022-05-28 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 02:00:00,2022-05-28 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 03:00:00,2022-05-28 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 04:00:00,2022-05-28 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 05:00:00,2022-05-28 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 06:00:00,2022-05-28 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 07:00:00,2022-05-28 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 08:00:00,2022-05-28 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 09:00:00,2022-05-28 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 10:00:00,2022-05-28 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 11:00:00,2022-05-28 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 12:00:00,2022-05-28 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 13:00:00,2022-05-28 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 14:00:00,2022-05-28 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 15:00:00,2022-05-28 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 16:00:00,2022-05-28 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 17:00:00,2022-05-28 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 18:00:00,2022-05-28 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 19:00:00,2022-05-28 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 20:00:00,2022-05-28 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 21:00:00,2022-05-28 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 22:00:00,2022-05-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 23:00:00,2022-05-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 00:00:00,2022-05-29 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 01:00:00,2022-05-29 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 02:00:00,2022-05-29 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 03:00:00,2022-05-29 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 04:00:00,2022-05-29 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 05:00:00,2022-05-29 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 06:00:00,2022-05-29 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 07:00:00,2022-05-29 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 08:00:00,2022-05-29 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 09:00:00,2022-05-29 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 10:00:00,2022-05-29 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 11:00:00,2022-05-29 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 12:00:00,2022-05-29 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 13:00:00,2022-05-29 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 14:00:00,2022-05-29 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 15:00:00,2022-05-29 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 16:00:00,2022-05-29 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 17:00:00,2022-05-29 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 18:00:00,2022-05-29 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 19:00:00,2022-05-29 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 20:00:00,2022-05-29 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 21:00:00,2022-05-29 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 22:00:00,2022-05-29 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-29 23:00:00,2022-05-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 00:00:00,2022-05-30 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 01:00:00,2022-05-30 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 02:00:00,2022-05-30 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 03:00:00,2022-05-30 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 04:00:00,2022-05-30 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 05:00:00,2022-05-30 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 06:00:00,2022-05-30 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 07:00:00,2022-05-30 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 08:00:00,2022-05-30 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 09:00:00,2022-05-30 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 10:00:00,2022-05-30 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 11:00:00,2022-05-30 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 12:00:00,2022-05-30 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 13:00:00,2022-05-30 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 14:00:00,2022-05-30 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 15:00:00,2022-05-30 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 16:00:00,2022-05-30 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 17:00:00,2022-05-30 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 18:00:00,2022-05-30 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 19:00:00,2022-05-30 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 20:00:00,2022-05-30 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 21:00:00,2022-05-30 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 22:00:00,2022-05-30 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 23:00:00,2022-05-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 00:00:00,2022-05-31 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 01:00:00,2022-05-31 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 02:00:00,2022-05-31 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 03:00:00,2022-05-31 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 04:00:00,2022-05-31 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 05:00:00,2022-05-31 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 06:00:00,2022-05-31 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 07:00:00,2022-05-31 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 08:00:00,2022-05-31 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 09:00:00,2022-05-31 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 10:00:00,2022-05-31 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 11:00:00,2022-05-31 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 12:00:00,2022-05-31 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 13:00:00,2022-05-31 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 14:00:00,2022-05-31 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 15:00:00,2022-05-31 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 16:00:00,2022-05-31 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 17:00:00,2022-05-31 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 18:00:00,2022-05-31 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 19:00:00,2022-05-31 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 20:00:00,2022-05-31 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 21:00:00,2022-05-31 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 22:00:00,2022-05-31 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-05-31 23:00:00,2022-06-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 00:00:00,2022-06-01 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 01:00:00,2022-06-01 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 02:00:00,2022-06-01 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 03:00:00,2022-06-01 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 04:00:00,2022-06-01 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 05:00:00,2022-06-01 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 06:00:00,2022-06-01 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 07:00:00,2022-06-01 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 08:00:00,2022-06-01 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 09:00:00,2022-06-01 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 10:00:00,2022-06-01 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 11:00:00,2022-06-01 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 12:00:00,2022-06-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 13:00:00,2022-06-01 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 14:00:00,2022-06-01 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 15:00:00,2022-06-01 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 16:00:00,2022-06-01 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 17:00:00,2022-06-01 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 18:00:00,2022-06-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 19:00:00,2022-06-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 20:00:00,2022-06-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 21:00:00,2022-06-01 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 22:00:00,2022-06-01 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 23:00:00,2022-06-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-02 00:00:00,2022-06-02 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-02 01:00:00,2022-06-02 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-02 02:00:00,2022-06-02 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-02 03:00:00,2022-06-02 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-02 04:00:00,2022-06-02 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-02 05:00:00,2022-06-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-02 06:00:00,2022-06-02 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-02 07:00:00,2022-06-02 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-02 08:00:00,2022-06-02 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-02 09:00:00,2022-06-02 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-02 10:00:00,2022-06-02 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-02 11:00:00,2022-06-02 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-02 12:00:00,2022-06-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-02 13:00:00,2022-06-02 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-02 14:00:00,2022-06-02 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-06-02 15:00:00,2022-06-02 16:00:00,77.9,179.4,1.79,10.38,12.18,9.08,1.25,0.74,45.26,,,,,,29.08,1.52,256.01,504.48,733.27,,41.07,0.0
2022-06-02 16:00:00,2022-06-02 17:00:00,75.6,170.6,2.57,11.21,14.24,0.21,1.17,0.69,56.67,,,,,,27.54,1.72,261.51,360.3,732.96,,40.61,0.0
2022-06-02 17:00:00,2022-06-02 18:00:00,65.7,178.8,2.57,11.89,14.71,0.3,1.34,0.69,45.24,,,,,,29.51,1.64,253.75,207.12,732.67,,39.79,0.31
2022-06-02 18:00:00,2022-06-02 19:00:00,72.3,213.3,2.24,14.29,16.21,0.29,1.42,0.76,50.11,,,,,,34.24,2.18,230.11,46.28,732.66,,37.85,0.0
2022-06-02 19:00:00,2022-06-02 20:00:00,88.0,258.48,1.95,21.99,23.41,28.3,1.34,0.85,55.03,,,,,,36.23,1.34,221.92,0.04,732.81,,35.97,0.0
2022-06-02 20:00:00,2022-06-02 21:00:00,97.7,315.13,2.29,23.71,25.22,23.47,1.14,0.95,30.67,,,,,,37.55,1.5,220.98,0.0,733.0,,34.91,0.0
2022-06-02 21:00:00,2022-06-02 22:00:00,105.9,323.6,2.57,23.88,25.38,12.02,1.02,1.0,26.13,,,,,,40.25,1.38,224.8,0.0,733.05,,33.88,0.0
2022-06-02 22:00:00,2022-06-02 23:00:00,101.1,303.8,2.51,22.17,24.28,0.34,1.07,1.0,24.44,,,,,,41.67,1.52,228.35,0.0,733.0,,33.12,0.0
2022-06-02 23:00:00,2022-06-03 00:00:00,101.6,277.7,2.62,17.71,20.09,0.26,1.05,0.93,25.6,,,,,,40.21,1.24,242.0,0.0,732.88,,32.95,0.0
2022-06-03 00:00:00,2022-06-03 01:00:00,90.1,251.7,2.85,16.78,19.69,0.35,1.06,0.87,24.06,,,,,,47.84,0.98,283.75,0.0,732.95,,30.79,0.0
2022-06-03 01:00:00,2022-06-03 02:00:00,109.2,223.49,2.79,16.52,19.3,12.88,1.03,0.85,21.39,,,,,,51.16,0.32,222.74,0.0,732.78,,29.95,0.0
2022-06-03 02:00:00,2022-06-03 03:00:00,99.3,234.6,2.96,14.98,18.03,19.34,1.07,0.84,20.56,,,,,,50.83,0.25,213.54,0.0,732.55,,30.2,0.0
2022-06-03 03:00:00,2022-06-03 04:00:00,103.2,239.2,2.91,21.31,23.88,15.22,0.93,0.86,11.45,,,,,,55.63,0.1,65.94,0.0,732.52,,29.7,0.0
2022-06-03 04:00:00,2022-06-03 05:00:00,101.4,202.12,3.52,24.39,27.6,0.34,0.96,0.92,6.02,,,,,,60.33,0.26,35.81,0.0,732.79,,28.57,0.0
2022-06-03 05:00:00,2022-06-03 06:00:00,121.7,233.0,3.85,28.33,31.95,0.34,1.2,1.03,4.91,,,,,,57.09,0.21,51.52,15.87,733.08,,29.01,0.0
2022-06-03 06:00:00,2022-06-03 07:00:00,191.2,298.37,5.25,31.66,36.61,14.0,1.8,1.21,1.88,,,,,,59.74,0.07,38.36,109.89,733.5,,29.6,0.0
2022-06-03 07:00:00,2022-06-03 08:00:00,152.8,338.7,5.7,28.33,34.32,42.72,3.15,1.29,,,,,,,44.0,0.19,50.2,293.06,733.92,,33.05,0.0
2022-06-03 08:00:00,2022-06-03 09:00:00,125.9,381.7,3.18,20.97,24.2,27.33,2.54,1.23,8.52,,,,,,43.5,0.68,74.6,452.7,734.28,,34.3,0.0
2022-06-03 09:00:00,2022-06-03 10:00:00,115.29,322.8,2.62,19.69,21.83,17.75,1.62,1.22,24.87,,,,,,42.99,0.63,140.08,586.86,734.47,,35.75,0.0
2022-06-03 10:00:00,2022-06-03 11:00:00,88.68,283.44,2.23,17.12,19.22,16.24,1.38,1.18,38.06,,,,,,35.1,1.08,141.07,663.03,734.53,,37.14,0.05
2022-06-03 11:00:00,2022-06-03 12:00:00,72.18,255.04,2.4,14.81,16.92,15.56,1.36,1.1,45.38,,,,,,30.65,0.84,132.43,713.42,734.27,,38.8,0.14
2022-06-03 12:00:00,2022-06-03 13:00:00,61.62,208.64,2.29,13.7,15.73,15.53,1.37,1.07,48.72,,,,,,25.18,0.92,157.0,717.64,733.98,,40.71,0.0
2022-06-03 13:00:00,2022-06-03 14:00:00,54.66,185.36,2.4,12.92,15.34,16.0,1.37,0.98,50.8,,,,,,19.76,1.35,244.75,728.85,733.53,,41.98,0.0
2022-06-03 14:00:00,2022-06-03 15:00:00,47.34,165.92,2.68,11.12,14.31,17.4,1.29,0.81,47.11,,,,,,14.61,2.15,271.3,681.67,733.21,,42.14,0.0
2022-06-03 15:00:00,2022-06-03 16:00:00,22.38,114.72,3.13,10.1,13.68,20.25,1.35,0.68,46.52,,,,,,14.47,3.02,267.19,563.74,732.88,,42.0,0.0
2022-06-03 16:00:00,2022-06-03 17:00:00,22.26,126.24,3.74,10.7,15.11,23.68,1.48,0.62,51.99,,,,,,17.35,2.7,267.33,365.18,732.38,,41.44,0.0
2022-06-03 17:00:00,2022-06-03 18:00:00,27.96,121.28,3.52,12.24,16.37,25.57,1.52,0.64,54.4,,,,,,18.4,2.15,255.27,232.16,732.27,,40.23,0.0
2022-06-03 18:00:00,2022-06-03 19:00:00,26.34,127.28,2.34,34.32,34.88,43.45,2.85,0.65,41.3,,,,,,20.58,1.38,254.72,56.39,732.27,,38.17,0.1
2022-06-03 19:00:00,2022-06-03 20:00:00,31.86,147.84,3.02,94.4,91.58,31.1,3.69,1.09,20.88,,,,,,24.77,0.9,265.94,0.1,732.46,,35.83,0.21
2022-06-03 20:00:00,2022-06-03 21:00:00,54.78,209.12,4.08,113.31,110.72,35.17,4.95,1.47,11.36,,,,,,27.46,0.92,227.76,0.0,732.75,,34.8,0.0
2022-06-03 21:00:00,2022-06-03 22:00:00,69.78,243.76,5.25,115.45,114.43,29.61,4.69,1.71,10.04,,,,,,30.34,0.74,210.85,0.0,732.95,,33.96,0.0
2022-06-03 22:00:00,2022-06-03 23:00:00,83.22,255.84,5.97,148.57,145.67,0.35,4.65,1.42,7.46,,,,,,31.19,1.02,207.81,0.0,733.07,,33.63,0.0
2022-06-03 23:00:00,2022-06-04 00:00:00,66.0,203.36,3.29,58.97,59.15,0.27,5.19,1.03,12.05,,,,,,32.98,1.07,210.23,0.0,732.97,,32.79,0.0
2022-06-04 00:00:00,2022-06-04 01:00:00,55.38,177.28,3.86,81.82,81.14,0.33,4.99,0.96,11.19,,,,,,34.17,1.18,222.42,0.0,732.84,,32.31,0.0
2022-06-04 01:00:00,2022-06-04 02:00:00,54.3,164.48,3.85,50.75,52.19,39.02,3.96,1.0,10.79,,,,,,43.45,0.93,175.32,0.0,732.99,,29.61,0.0
2022-06-04 02:00:00,2022-06-04 03:00:00,62.94,172.48,3.74,39.88,42.47,49.96,5.48,1.01,10.08,,,,,,45.41,0.4,132.3,0.0,732.91,,28.71,0.0
2022-06-04 03:00:00,2022-06-04 04:00:00,70.98,167.2,3.41,44.59,46.26,25.82,5.43,1.03,10.68,,,,,,46.53,0.13,98.56,0.0,732.85,,28.59,0.0
2022-06-04 04:00:00,2022-06-04 05:00:00,67.92,153.28,2.68,67.1,65.32,0.26,3.0,1.1,7.83,,,,,,51.58,0.12,79.94,0.0,733.0,,27.99,0.0
2022-06-04 05:00:00,2022-06-04 06:00:00,70.86,161.36,4.74,70.52,71.97,0.24,3.35,1.16,6.12,,,,,,51.27,0.38,177.31,18.77,733.22,,27.94,0.0
2022-06-04 06:00:00,2022-06-04 07:00:00,72.18,175.84,7.31,86.61,90.0,0.31,5.9,1.28,7.46,,,,,,49.23,0.64,234.49,146.53,733.79,,28.95,0.0
