From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm)
2019-09-18 14:00:00,2019-09-18 15:00:00,,,,,,,,,,,,,,,,,
2019-09-18 15:00:00,2019-09-18 16:00:00,,,,,,,,,,,,,,,,,
2019-09-18 16:00:00,2019-09-18 17:00:00,,,,,,,,,,,,,,,,,
2019-09-18 17:00:00,2019-09-18 18:00:00,,,,,,,,,,,,,,,,,
2019-09-18 18:00:00,2019-09-18 19:00:00,,,,,,,,,,,,,,,,,
2019-09-18 19:00:00,2019-09-18 20:00:00,,,,,,,,,,,,,,,,,
2019-09-18 20:00:00,2019-09-18 21:00:00,,,,,,,,,,,,,,,,,
2019-09-18 21:00:00,2019-09-18 22:00:00,,,,,,,,,,,,,,,,,
2019-09-18 22:00:00,2019-09-18 23:00:00,,,,,,,,,,,,,,,,,
2019-09-18 23:00:00,2019-09-19 00:00:00,,,,,,,,,,,,,,,,,
2019-09-19 00:00:00,2019-09-19 01:00:00,,,,,,,,,,,,,,,,,
2019-09-19 01:00:00,2019-09-19 02:00:00,,,,,,,,,,,,,,,,,
2019-09-19 02:00:00,2019-09-19 03:00:00,,,,,,,,,,,,,,,,,
2019-09-19 03:00:00,2019-09-19 04:00:00,,,,,,,,,,,,,,,,,
2019-09-19 04:00:00,2019-09-19 05:00:00,,,,,,,,,,,,,,,,,
2019-09-19 05:00:00,2019-09-19 06:00:00,,,,,,,,,,,,,,,,,
2019-09-19 06:00:00,2019-09-19 07:00:00,,,,,,,,,,,,,,,,,
2019-09-19 07:00:00,2019-09-19 08:00:00,,,,,,,,,,,,,,,,,
2019-09-19 08:00:00,2019-09-19 09:00:00,,,,,,,,,,,,,,,,,
2019-09-19 09:00:00,2019-09-19 10:00:00,,,,,,,,,,,,,,,,,
2019-09-19 10:00:00,2019-09-19 11:00:00,,,,,,,,,,,,,,,,,
2019-09-19 11:00:00,2019-09-19 12:00:00,,,,,,,,,,,,,,,,,
2019-09-19 12:00:00,2019-09-19 13:00:00,23.0,45.5,2.65,14.65,9.95,6.9,10.5,0.79,51.65,,67.5,1.25,99.0,719.5,719.0,32.5,0.0
2019-09-19 13:00:00,2019-09-19 14:00:00,25.75,55.75,2.02,14.88,9.52,6.92,8.95,0.76,56.4,,67.5,1.02,89.25,506.5,718.25,32.45,0.0
2019-09-19 14:00:00,2019-09-19 15:00:00,26.0,71.75,1.65,13.5,8.53,6.52,9.4,0.71,66.33,,65.5,1.0,84.0,693.0,717.25,32.67,0.0
2019-09-19 15:00:00,2019-09-19 16:00:00,29.75,66.5,1.2,11.05,6.85,6.18,12.53,0.62,73.28,,62.25,1.2,111.5,492.5,717.0,32.92,0.0
2019-09-19 16:00:00,2019-09-19 17:00:00,28.25,53.5,1.77,14.85,9.35,4.53,4.25,0.66,49.23,,82.75,1.97,85.0,379.0,717.0,26.48,4.05
2019-09-19 17:00:00,2019-09-19 18:00:00,17.5,28.25,3.88,22.62,15.15,4.25,2.78,0.89,25.45,,81.75,0.75,71.5,237.25,718.0,27.3,0.0
2019-09-19 18:00:00,2019-09-19 19:00:00,22.5,39.0,5.58,26.88,18.83,5.15,2.95,1.19,9.53,,84.25,0.35,111.0,19.25,718.25,27.3,0.0
2019-09-19 19:00:00,2019-09-19 20:00:00,33.5,65.75,6.65,31.45,22.15,6.22,2.3,1.25,8.03,,84.75,0.4,80.25,21.75,719.0,27.25,0.0
2019-09-19 20:00:00,2019-09-19 21:00:00,34.25,60.0,7.92,34.98,25.08,8.22,2.7,1.47,4.45,,83.75,0.33,79.25,19.75,719.0,27.0,0.0
2019-09-19 21:00:00,2019-09-19 22:00:00,31.0,69.5,8.93,38.12,27.55,8.62,2.75,1.22,5.2,,83.75,0.32,79.25,17.0,719.0,26.72,0.0
2019-09-19 22:00:00,2019-09-19 23:00:00,26.75,57.5,3.3,31.48,19.43,9.05,4.68,0.91,17.62,,83.75,0.4,92.25,17.25,719.0,26.62,0.0
2019-09-19 23:00:00,2019-09-20 00:00:00,22.5,43.0,0.98,25.55,14.38,9.25,4.6,0.71,17.77,,85.25,0.35,87.0,20.0,719.0,26.38,0.0
2019-09-20 00:00:00,2019-09-20 01:00:00,21.0,38.75,0.28,18.98,10.3,9.5,4.83,0.47,22.57,,86.0,0.32,71.5,16.75,719.0,26.2,0.0
2019-09-20 01:00:00,2019-09-20 02:00:00,19.5,33.5,0.25,16.77,9.12,10.48,3.58,0.41,18.98,,86.75,0.3,83.75,17.75,718.0,26.12,0.0
2019-09-20 02:00:00,2019-09-20 03:00:00,14.75,26.5,0.35,14.7,7.92,11.52,3.32,0.34,17.4,,87.25,0.33,119.25,18.75,718.0,25.93,0.0
2019-09-20 03:00:00,2019-09-20 04:00:00,14.0,19.25,0.3,15.53,8.53,10.83,3.05,0.35,12.9,,88.25,0.3,147.0,19.25,718.0,25.7,0.0
2019-09-20 04:00:00,2019-09-20 05:00:00,14.5,21.75,1.7,21.23,12.65,8.68,1.42,0.35,9.75,,88.75,0.38,100.0,16.75,718.0,25.62,0.0
2019-09-20 05:00:00,2019-09-20 06:00:00,16.0,27.75,1.5,17.68,10.6,10.6,2.2,0.38,14.1,,88.0,0.65,100.75,17.5,718.75,25.93,0.0
2019-09-20 06:00:00,2019-09-20 07:00:00,17.75,30.0,1.0,12.45,7.45,10.0,4.0,0.46,15.8,,88.0,1.1,101.0,65.5,719.0,26.1,0.0
2019-09-20 07:00:00,2019-09-20 08:00:00,23.5,31.5,1.47,9.35,5.8,9.72,4.0,0.48,21.18,,86.0,1.32,106.75,351.0,719.75,26.73,0.0
2019-09-20 08:00:00,2019-09-20 09:00:00,25.5,37.25,0.9,8.1,5.07,9.25,3.65,0.47,26.73,,80.75,1.57,113.0,663.25,720.0,28.05,0.0
2019-09-20 09:00:00,2019-09-20 10:00:00,26.25,41.25,1.07,7.37,4.8,8.97,7.12,0.43,41.85,,73.25,1.08,137.25,719.5,720.0,30.33,0.0
2019-09-20 10:00:00,2019-09-20 11:00:00,22.0,41.25,1.6,8.4,5.72,8.5,14.23,0.34,58.17,,66.0,1.33,155.5,716.25,720.0,31.8,0.0
2019-09-20 11:00:00,2019-09-20 12:00:00,18.75,39.75,1.07,8.03,5.17,7.17,9.1,0.37,61.05,,64.0,0.97,143.0,663.5,719.5,32.45,0.0
2019-09-20 12:00:00,2019-09-20 13:00:00,26.0,45.25,1.35,12.6,7.8,11.47,7.9,0.64,66.53,,62.5,0.68,158.5,635.75,718.5,32.95,0.0
2019-09-20 13:00:00,2019-09-20 14:00:00,23.75,53.0,1.27,12.9,7.9,5.93,5.22,0.64,54.55,,74.5,0.78,189.75,501.75,718.0,30.07,1.35
2019-09-20 14:00:00,2019-09-20 15:00:00,23.0,40.0,1.48,9.15,6.05,5.52,4.75,0.57,49.05,,73.25,1.95,113.25,636.75,717.25,30.03,0.0
2019-09-20 15:00:00,2019-09-20 16:00:00,13.0,23.0,1.73,16.25,9.97,4.28,3.83,0.76,39.3,,78.25,0.7,145.25,76.25,716.25,28.7,0.05
2019-09-20 16:00:00,2019-09-20 17:00:00,11.25,33.0,2.72,18.85,12.25,3.9,3.1,0.7,23.23,,84.5,0.62,174.0,21.5,716.0,27.65,0.0
2019-09-20 17:00:00,2019-09-20 18:00:00,17.75,34.75,4.38,21.02,14.75,6.72,3.48,0.97,14.25,,85.75,0.38,137.0,20.5,716.25,27.2,0.0
2019-09-20 18:00:00,2019-09-20 19:00:00,26.75,59.5,3.18,28.38,17.68,8.85,2.9,0.96,12.2,,85.5,0.35,187.5,15.75,717.25,27.23,0.05
2019-09-20 19:00:00,2019-09-20 20:00:00,30.75,63.75,7.93,25.98,20.27,10.65,1.93,1.36,9.2,,84.75,0.65,105.0,18.0,718.0,27.23,0.0
2019-09-20 20:00:00,2019-09-20 21:00:00,31.25,55.0,4.35,27.03,17.9,9.72,1.5,0.74,9.15,,82.5,0.67,133.5,16.25,718.0,27.02,0.0
2019-09-20 21:00:00,2019-09-20 22:00:00,22.0,36.0,4.2,29.93,19.33,10.17,2.35,1.42,7.28,,84.5,0.35,239.75,16.5,719.0,26.75,0.0
2019-09-20 22:00:00,2019-09-20 23:00:00,33.25,49.5,5.85,32.15,21.88,10.85,3.95,1.25,4.15,,84.0,0.3,132.25,18.25,718.75,26.6,0.0
2019-09-20 23:00:00,2019-09-21 00:00:00,22.0,46.75,8.28,27.73,21.5,11.15,4.4,1.17,4.92,,85.0,0.3,171.25,20.0,718.0,26.33,0.0
2019-09-21 00:00:00,2019-09-21 01:00:00,21.75,50.0,7.5,26.35,20.15,17.6,6.2,0.94,2.62,,86.25,0.3,166.5,18.25,718.0,26.15,0.0
2019-09-21 01:00:00,2019-09-21 02:00:00,22.0,45.0,20.27,25.77,30.22,18.25,6.0,1.24,,,87.75,0.3,242.0,17.25,718.0,25.95,0.0
2019-09-21 02:00:00,2019-09-21 03:00:00,24.0,46.5,10.5,23.23,20.88,21.27,6.25,0.89,0.4,,88.25,0.3,189.0,17.25,717.75,25.8,0.0
2019-09-21 03:00:00,2019-09-21 04:00:00,20.0,39.0,6.08,16.15,13.55,19.7,4.6,0.49,2.6,,88.0,0.45,93.75,15.75,717.0,25.82,0.0
2019-09-21 04:00:00,2019-09-21 05:00:00,14.5,26.5,1.4,13.68,8.4,16.0,3.88,0.37,7.52,,87.25,0.35,112.5,16.25,717.75,25.75,0.0
2019-09-21 05:00:00,2019-09-21 06:00:00,7.0,19.0,1.65,12.25,7.85,13.3,4.05,0.36,5.98,,88.0,0.38,132.25,15.5,718.25,25.55,0.0
2019-09-21 06:00:00,2019-09-21 07:00:00,11.0,30.0,10.77,13.85,16.1,10.6,8.7,0.5,1.4,,87.75,0.3,147.0,119.0,719.0,25.8,0.0
2019-09-21 07:00:00,2019-09-21 08:00:00,24.5,43.0,15.65,18.75,22.7,10.85,12.47,0.64,8.32,,83.5,0.62,137.25,475.25,720.0,27.33,0.0
2019-09-21 08:00:00,2019-09-21 09:00:00,25.0,55.75,2.83,9.38,7.28,9.9,9.93,0.5,23.1,,75.5,1.23,134.75,711.75,720.0,29.8,0.0
2019-09-21 09:00:00,2019-09-21 10:00:00,12.75,28.75,1.45,6.75,4.8,9.93,10.95,0.43,42.9,,68.25,1.43,154.75,733.75,719.5,31.55,0.0
2019-09-21 10:00:00,2019-09-21 11:00:00,11.0,21.25,1.6,6.85,4.95,9.6,8.33,0.4,50.55,,63.5,1.35,148.5,724.75,719.0,32.77,0.0
2019-09-21 11:00:00,2019-09-21 12:00:00,7.0,21.25,1.23,6.2,4.33,8.13,7.05,0.46,55.03,,57.0,1.18,136.0,696.0,718.0,34.3,0.0
2019-09-21 12:00:00,2019-09-21 13:00:00,5.0,28.0,1.25,4.7,3.55,11.83,6.3,0.47,53.95,,57.25,1.35,124.0,671.0,717.5,34.4,0.0
2019-09-21 13:00:00,2019-09-21 14:00:00,7.25,26.75,0.37,5.2,3.08,6.82,5.58,0.44,52.3,,57.25,1.33,129.5,708.75,716.5,34.45,0.0
2019-09-21 14:00:00,2019-09-21 15:00:00,4.75,21.75,0.23,5.0,2.8,5.6,6.67,0.43,52.33,,52.75,1.32,148.5,727.0,715.0,35.4,0.0
2019-09-21 15:00:00,2019-09-21 16:00:00,4.0,18.5,0.25,4.75,2.55,5.43,6.75,0.46,50.47,,53.25,1.57,125.25,701.0,714.0,35.2,0.0
2019-09-21 16:00:00,2019-09-21 17:00:00,5.0,22.75,0.57,8.28,4.7,5.62,6.8,0.68,46.53,,56.0,0.88,97.25,311.25,714.25,34.33,0.0
2019-09-21 17:00:00,2019-09-21 18:00:00,9.0,33.0,1.15,16.85,9.9,6.0,6.65,0.8,43.78,,62.5,1.18,99.25,172.75,715.0,32.9,0.0
2019-09-21 18:00:00,2019-09-21 19:00:00,15.75,46.75,0.7,29.2,16.1,7.3,5.75,1.0,29.02,,67.75,0.7,114.75,18.75,716.0,31.83,0.0
2019-09-21 19:00:00,2019-09-21 20:00:00,28.75,73.75,1.15,38.73,21.57,8.4,5.65,1.42,25.02,,67.75,0.6,107.0,18.75,716.75,31.52,0.0
2019-09-21 20:00:00,2019-09-21 21:00:00,28.25,79.0,1.1,18.07,10.5,10.6,4.38,0.74,30.85,,72.25,1.4,210.25,18.5,718.0,29.5,0.05
2019-09-21 21:00:00,2019-09-21 22:00:00,14.75,60.5,1.12,18.43,10.7,10.5,11.93,0.81,25.45,,83.25,0.65,263.75,19.75,718.25,26.85,0.38
2019-09-21 22:00:00,2019-09-21 23:00:00,22.0,48.5,0.62,14.5,8.2,8.32,7.25,0.52,33.77,,83.25,0.93,124.0,17.75,719.75,26.45,0.3
2019-09-21 23:00:00,2019-09-22 00:00:00,9.0,15.5,0.8,10.2,6.07,6.58,7.37,0.41,37.67,,85.0,1.98,127.25,18.0,720.75,25.27,2.95
2019-09-22 00:00:00,2019-09-22 01:00:00,6.0,11.0,0.4,6.92,4.0,5.92,6.02,0.25,50.42,,86.75,0.83,139.75,15.0,719.75,23.88,12.62
2019-09-22 01:00:00,2019-09-22 02:00:00,18.0,27.0,5.65,26.0,15.98,6.97,7.42,0.44,33.02,,88.0,0.38,187.0,18.0,718.0,24.72,0.62
2019-09-22 02:00:00,2019-09-22 03:00:00,15.5,27.5,0.65,10.53,5.83,6.85,8.85,0.32,25.9,,88.0,0.32,210.25,18.5,717.25,24.82,0.0
2019-09-22 03:00:00,2019-09-22 04:00:00,8.5,27.5,0.73,9.83,5.62,5.7,4.97,0.29,25.07,,87.5,0.38,220.75,21.75,717.75,24.55,0.0
2019-09-22 04:00:00,2019-09-22 05:00:00,10.0,23.0,0.47,6.9,3.92,4.75,3.42,0.23,30.95,,86.0,0.3,67.0,21.25,718.75,24.2,0.0
2019-09-22 05:00:00,2019-09-22 06:00:00,8.0,12.0,0.72,7.85,4.78,4.62,3.03,0.25,27.62,,86.75,0.3,203.75,19.0,719.25,24.2,0.0
2019-09-22 06:00:00,2019-09-22 07:00:00,11.75,18.5,1.6,13.35,8.4,4.62,5.2,0.49,20.35,,86.0,0.3,53.75,124.0,720.0,24.55,0.0
2019-09-22 07:00:00,2019-09-22 08:00:00,25.5,39.5,2.38,14.68,9.78,5.15,6.05,0.68,13.47,,85.0,0.4,85.75,492.5,720.0,25.43,0.0
2019-09-22 08:00:00,2019-09-22 09:00:00,27.25,38.75,1.52,8.73,5.85,6.05,4.93,0.5,20.57,,80.0,1.1,105.0,699.25,720.0,27.2,0.0
2019-09-22 09:00:00,2019-09-22 10:00:00,9.25,21.75,1.77,7.17,5.28,6.72,5.92,0.42,41.95,,74.5,1.3,99.75,686.5,720.0,28.95,0.0
2019-09-22 10:00:00,2019-09-22 11:00:00,6.75,17.75,0.55,6.17,3.75,7.4,4.67,0.32,43.7,,72.5,1.55,121.5,714.5,720.0,30.35,0.0
2019-09-22 11:00:00,2019-09-22 12:00:00,7.75,18.25,1.07,7.23,4.7,7.1,6.45,0.32,49.12,,67.75,1.75,126.0,722.25,720.0,31.77,0.0
2019-09-22 12:00:00,2019-09-22 13:00:00,12.25,24.0,0.75,7.8,4.75,14.7,7.9,0.4,61.6,,61.25,1.2,102.5,714.5,719.0,33.73,0.0
2019-09-22 13:00:00,2019-09-22 14:00:00,12.0,32.25,0.97,10.3,6.3,6.72,4.82,0.59,57.88,,68.0,1.2,91.25,419.5,717.75,31.83,0.0
2019-09-22 14:00:00,2019-09-22 15:00:00,21.75,43.25,0.55,17.75,9.9,6.07,5.4,0.7,46.6,,79.75,0.85,203.0,36.75,717.0,29.5,1.38
2019-09-22 15:00:00,2019-09-22 16:00:00,29.0,46.5,0.4,7.33,4.12,5.97,5.92,0.42,59.45,,82.75,1.78,140.75,46.0,717.0,26.55,0.88
2019-09-22 16:00:00,2019-09-22 17:00:00,18.0,19.75,0.62,18.3,10.22,4.9,4.38,0.72,38.08,,82.0,0.38,212.0,72.25,717.5,27.02,0.0
2019-09-22 17:00:00,2019-09-22 18:00:00,20.5,25.0,1.93,19.73,12.05,5.35,4.93,0.8,30.67,,84.25,0.38,147.5,47.0,717.25,26.95,0.0
2019-09-22 18:00:00,2019-09-22 19:00:00,21.0,26.0,1.75,21.52,12.88,5.95,4.93,0.76,23.38,,85.5,0.33,283.5,18.0,718.5,26.6,0.0
2019-09-22 19:00:00,2019-09-22 20:00:00,24.75,29.0,1.68,18.88,11.42,6.07,3.75,0.77,21.55,,86.0,0.6,282.0,16.75,719.25,26.62,0.0
2019-09-22 20:00:00,2019-09-22 21:00:00,18.75,29.25,1.58,20.12,11.97,6.55,2.92,0.98,20.98,,85.25,0.38,317.25,20.0,720.0,26.85,0.0
2019-09-22 21:00:00,2019-09-22 22:00:00,21.25,32.5,2.02,23.12,13.95,6.95,2.2,1.02,17.42,,84.75,0.3,179.75,18.25,720.0,26.85,0.0
2019-09-22 22:00:00,2019-09-22 23:00:00,21.75,39.75,3.38,21.0,13.93,6.9,5.12,0.82,15.15,,85.0,0.33,44.5,18.0,720.25,26.78,0.0
2019-09-22 23:00:00,2019-09-23 00:00:00,20.75,38.25,1.32,16.5,9.85,6.7,3.0,0.67,10.9,,86.0,0.3,138.5,18.25,720.0,26.68,0.0
2019-09-23 00:00:00,2019-09-23 01:00:00,21.25,38.75,1.43,17.75,10.62,7.62,3.9,0.59,16.45,,86.75,0.3,204.0,18.5,720.0,26.77,0.0
2019-09-23 01:00:00,2019-09-23 02:00:00,23.25,41.5,0.3,9.62,5.28,8.5,4.45,0.4,16.0,,86.75,0.38,64.0,18.5,720.0,26.8,0.0
2019-09-23 02:00:00,2019-09-23 03:00:00,20.75,29.25,0.23,11.68,6.35,9.75,4.75,0.47,15.9,,88.0,0.38,82.5,19.75,719.25,26.8,0.0
2019-09-23 03:00:00,2019-09-23 04:00:00,30.25,43.5,0.2,15.38,8.25,10.15,3.42,0.45,14.35,,88.0,0.62,90.25,17.5,719.0,26.95,0.0
2019-09-23 04:00:00,2019-09-23 05:00:00,33.5,47.75,0.5,12.1,6.82,10.95,2.5,0.36,25.52,,88.25,0.77,109.25,16.5,719.25,26.85,0.0
2019-09-23 05:00:00,2019-09-23 06:00:00,32.5,47.0,0.23,13.22,7.23,10.65,1.75,0.39,18.12,,89.0,0.45,108.0,21.5,720.0,26.8,0.0
2019-09-23 06:00:00,2019-09-23 07:00:00,36.0,49.25,1.25,12.4,7.6,9.32,4.05,0.49,18.93,,88.25,0.82,110.5,186.25,720.0,26.95,0.0
2019-09-23 07:00:00,2019-09-23 08:00:00,43.5,57.75,1.05,9.28,5.8,9.07,4.9,0.54,24.52,,85.5,1.42,121.75,409.25,720.5,27.53,0.0
2019-09-23 08:00:00,2019-09-23 09:00:00,46.5,61.0,1.45,8.07,5.52,9.0,5.57,0.54,35.93,,80.5,1.52,113.0,695.5,721.0,28.8,0.0
2019-09-23 09:00:00,2019-09-23 10:00:00,41.25,61.5,2.42,10.0,7.3,8.75,6.45,0.64,51.4,,74.25,1.25,102.25,714.75,721.0,30.63,0.0
2019-09-23 10:00:00,2019-09-23 11:00:00,38.75,76.0,1.3,7.88,5.22,8.88,8.1,0.46,62.5,,68.75,1.58,122.5,738.25,721.25,31.87,0.0
2019-09-23 11:00:00,2019-09-23 12:00:00,36.5,60.25,0.63,7.3,4.4,7.9,9.3,0.46,68.85,,61.75,1.52,129.75,717.5,720.5,33.08,0.0
2019-09-23 12:00:00,2019-09-23 13:00:00,30.0,56.5,1.05,6.3,4.2,11.23,9.18,0.46,78.95,,56.0,1.38,129.5,737.0,719.25,34.27,0.0
2019-09-23 13:00:00,2019-09-23 14:00:00,26.25,53.0,0.4,7.1,3.95,7.15,8.62,0.55,80.5,,55.25,1.52,129.25,727.5,718.0,34.53,0.0
2019-09-23 14:00:00,2019-09-23 15:00:00,37.75,61.5,0.35,9.8,5.48,7.2,10.7,0.61,95.67,,54.75,1.18,106.0,704.75,717.5,34.92,0.0
2019-09-23 15:00:00,2019-09-23 16:00:00,51.75,79.25,0.65,11.82,6.8,6.77,11.6,0.73,102.67,,56.5,1.33,86.25,552.25,717.0,33.95,0.0
2019-09-23 16:00:00,2019-09-23 17:00:00,48.25,80.5,0.65,15.12,8.55,6.07,8.43,0.74,73.72,,67.5,2.5,98.0,219.5,717.5,30.57,1.38
2019-09-23 17:00:00,2019-09-23 18:00:00,41.25,67.75,1.02,14.75,8.68,4.8,4.7,0.73,59.75,,84.0,1.62,71.75,27.25,718.5,27.0,0.25
2019-09-23 18:00:00,2019-09-23 19:00:00,41.5,50.75,1.68,25.1,14.72,4.88,4.28,0.93,35.7,,83.0,0.7,80.75,18.25,719.75,26.95,0.0
2019-09-23 19:00:00,2019-09-23 20:00:00,28.25,41.5,1.3,25.75,14.77,4.45,2.73,0.65,34.72,,82.75,0.45,108.75,17.5,720.25,27.0,0.5
2019-09-23 20:00:00,2019-09-23 21:00:00,20.0,25.0,0.23,21.08,11.32,4.22,2.12,0.57,40.85,,85.5,0.53,119.25,19.25,721.0,26.55,0.3
2019-09-23 21:00:00,2019-09-23 22:00:00,21.0,27.25,0.57,15.28,8.62,4.38,2.05,0.51,45.88,,85.25,1.15,149.5,18.25,721.0,26.32,0.05
2019-09-23 22:00:00,2019-09-23 23:00:00,23.5,31.75,0.35,15.05,8.3,4.17,6.07,0.47,46.67,,85.25,0.85,114.0,19.75,720.5,26.02,0.0
2019-09-23 23:00:00,2019-09-24 00:00:00,20.5,23.75,0.1,12.6,6.7,4.4,6.03,0.5,44.42,,86.0,0.8,104.5,17.0,720.0,25.85,0.0
2019-09-24 00:00:00,2019-09-24 01:00:00,15.0,19.5,0.47,9.85,5.6,4.2,5.17,0.41,41.45,,86.0,1.25,98.25,16.5,720.0,25.8,0.0
2019-09-24 01:00:00,2019-09-24 02:00:00,12.0,18.5,0.1,7.25,3.85,4.2,4.2,0.38,40.0,,86.75,0.55,84.0,20.5,720.0,25.62,0.0
2019-09-24 02:00:00,2019-09-24 03:00:00,12.0,19.25,0.35,8.12,4.45,4.58,3.75,0.35,39.0,,86.75,0.6,84.0,17.25,719.75,25.58,0.0
2019-09-24 03:00:00,2019-09-24 04:00:00,11.5,15.75,0.45,11.95,6.72,5.12,2.9,0.29,31.75,,85.25,0.82,106.25,18.25,719.0,25.5,0.0
2019-09-24 04:00:00,2019-09-24 05:00:00,9.25,11.75,0.2,10.1,5.4,5.7,1.05,0.28,28.9,,86.5,0.4,112.5,18.25,719.0,25.28,0.0
2019-09-24 05:00:00,2019-09-24 06:00:00,6.75,12.5,0.28,16.75,9.12,5.9,0.8,0.32,22.7,,87.5,0.33,93.25,17.0,719.0,25.2,0.0
2019-09-24 06:00:00,2019-09-24 07:00:00,8.5,19.5,0.88,15.03,8.68,5.67,2.68,0.42,25.65,,86.75,0.75,97.75,184.75,719.5,25.65,0.0
2019-09-24 07:00:00,2019-09-24 08:00:00,16.75,27.25,1.52,11.8,7.55,5.38,4.55,0.49,27.0,,83.5,1.42,100.25,498.25,720.5,26.47,0.0
2019-09-24 08:00:00,2019-09-24 09:00:00,18.5,31.25,2.38,10.45,7.5,5.67,3.9,0.58,31.4,,79.5,1.48,102.0,653.5,721.75,27.8,0.0
2019-09-24 09:00:00,2019-09-24 10:00:00,16.75,39.75,2.35,10.6,7.55,5.87,4.95,0.6,32.8,,76.5,1.18,105.5,683.0,722.0,28.85,0.0
2019-09-24 10:00:00,2019-09-24 11:00:00,14.5,34.75,2.28,9.85,7.07,6.0,5.07,0.56,44.03,,69.5,1.43,99.0,733.0,722.0,30.8,0.0
2019-09-24 11:00:00,2019-09-24 12:00:00,11.0,32.0,2.23,9.8,7.0,6.53,6.35,0.68,47.88,,67.75,1.3,100.0,710.0,720.75,31.55,0.0
2019-09-24 12:00:00,2019-09-24 13:00:00,13.0,36.0,2.35,10.95,7.7,10.53,4.95,0.65,53.2,,64.75,2.0,103.5,742.5,719.5,32.4,0.0
2019-09-24 13:00:00,2019-09-24 14:00:00,9.75,36.5,1.85,8.9,6.25,5.45,4.28,0.61,51.95,,65.5,1.97,113.75,728.0,718.5,32.55,0.0
2019-09-24 14:00:00,2019-09-24 15:00:00,8.25,29.25,2.4,11.02,7.82,4.33,3.2,0.61,43.73,,66.75,1.73,101.75,488.5,718.0,31.55,0.0
2019-09-24 15:00:00,2019-09-24 16:00:00,6.0,32.75,3.8,21.77,14.65,3.27,3.98,0.75,36.22,,68.75,1.12,99.25,258.0,717.75,31.02,0.0
2019-09-24 16:00:00,2019-09-24 17:00:00,7.75,44.0,1.25,19.2,11.25,4.45,4.3,0.87,34.88,,71.25,0.72,92.5,107.25,717.0,30.6,0.0
