From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),RF (mm),Xylene (),AT (degree C)
2022-12-13 17:00:00,2022-12-13 18:00:00,12.43,32.77,5.01,10.03,9.41,20.81,2.56,0.66,10.07,0.0,1.32,0.03,0.58,,48.7,18.93,241.3,969.22,970.68,0.0,,22.21
2022-12-13 18:00:00,2022-12-13 19:00:00,9.07,29.41,4.83,10.29,9.39,20.75,2.58,0.73,8.28,0.0,2.58,,1.25,,53.44,22.51,240.16,956.65,971.16,0.0,,21.52
2022-12-13 19:00:00,2022-12-13 20:00:00,6.82,27.16,4.87,10.24,9.4,21.27,2.59,0.78,6.25,0.0,2.81,,1.25,,55.67,22.06,267.28,954.97,971.84,0.0,,21.5
2022-12-13 20:00:00,2022-12-13 21:00:00,6.5,26.84,4.97,10.09,9.41,21.41,2.61,0.81,4.66,0.0,4.29,0.29,2.55,,57.65,23.19,237.34,952.83,972.25,0.0,,21.5
2022-12-13 21:00:00,2022-12-13 22:00:00,7.16,27.5,5.03,10.0,9.4,21.27,2.54,0.72,6.52,0.0,3.21,,1.81,,58.68,16.08,277.57,948.88,972.47,0.0,,21.51
2022-12-13 22:00:00,2022-12-13 23:00:00,8.18,28.52,4.8,10.32,9.39,20.75,2.54,0.68,6.75,0.0,1.86,,0.75,,62.22,21.38,282.64,937.69,972.47,0.0,,21.52
2022-12-13 23:00:00,2022-12-14 00:00:00,10.52,30.86,4.79,10.34,9.39,20.99,2.48,0.66,5.76,0.0,1.81,0.05,0.61,,65.62,22.91,277.6,928.7,972.24,0.0,,21.5
2022-12-14 00:00:00,2022-12-14 01:00:00,12.79,33.13,5.02,10.0,9.4,21.3,2.59,0.64,5.29,0.0,1.53,,0.24,,67.26,17.32,267.44,922.85,972.19,0.0,,21.5
2022-12-14 01:00:00,2022-12-14 02:00:00,12.72,33.06,5.04,9.96,9.4,21.58,2.64,0.64,4.72,0.0,1.33,,0.21,,68.45,13.28,259.76,918.38,972.17,0.0,,21.5
2022-12-14 02:00:00,2022-12-14 03:00:00,12.38,32.72,5.04,9.97,9.4,21.73,2.55,0.63,5.07,0.0,1.22,,0.06,,70.41,12.7,262.95,912.13,971.95,0.0,,21.5
2022-12-14 03:00:00,2022-12-14 04:00:00,12.44,32.78,5.0,10.01,9.39,21.32,2.57,0.64,4.04,0.0,1.2,,0.15,,71.97,11.61,240.02,906.03,971.73,0.0,,21.5
2022-12-14 04:00:00,2022-12-14 05:00:00,13.02,33.36,5.04,9.96,9.4,21.89,2.54,0.64,4.15,0.0,1.17,,0.11,,72.99,11.19,295.82,902.18,971.68,0.0,,21.5
2022-12-14 05:00:00,2022-12-14 06:00:00,13.16,33.5,5.01,10.01,9.4,21.18,2.49,0.64,4.2,0.0,1.23,,0.08,,74.27,5.99,252.84,899.34,971.77,0.0,,21.5
2022-12-14 06:00:00,2022-12-14 07:00:00,12.71,33.05,5.08,9.91,9.4,22.2,2.45,0.67,3.34,0.0,1.27,,0.1,,75.59,20.44,266.98,899.67,972.12,0.0,,21.56
2022-12-14 07:00:00,2022-12-14 08:00:00,15.78,36.12,5.13,9.84,9.41,21.9,2.53,0.71,3.45,0.0,1.52,,0.1,,74.56,22.47,250.92,903.66,972.51,0.0,,22.36
2022-12-14 08:00:00,2022-12-14 09:00:00,14.91,35.25,5.22,9.72,9.41,22.1,2.56,0.73,4.59,0.0,1.38,,0.22,,68.97,17.93,250.09,922.46,973.02,0.0,,23.24
2022-12-14 09:00:00,2022-12-14 10:00:00,13.15,33.49,5.38,9.48,9.42,21.83,2.53,0.69,5.72,0.0,2.09,,0.54,,57.96,15.92,230.59,951.05,973.32,0.0,,23.69
2022-12-14 10:00:00,2022-12-14 11:00:00,12.27,32.61,5.23,9.71,9.42,22.68,2.5,0.68,8.16,0.0,1.88,,0.66,,49.09,17.5,197.56,973.51,973.22,0.0,,24.04
2022-12-14 11:00:00,2022-12-14 12:00:00,9.73,30.07,5.34,9.55,9.42,22.66,2.5,0.66,8.54,0.0,1.52,,0.66,,45.42,15.78,172.73,987.76,972.87,0.0,,25.56
2022-12-14 12:00:00,2022-12-14 13:00:00,11.06,31.41,5.15,9.8,9.4,22.05,2.57,0.68,11.73,0.0,1.58,,0.87,,42.4,15.59,178.73,1000.32,972.11,0.0,,25.3
2022-12-14 13:00:00,2022-12-14 14:00:00,13.53,33.87,5.06,9.94,9.4,21.25,2.59,0.66,11.39,0.0,1.7,,0.67,,39.4,12.79,173.56,1010.53,971.24,0.0,,26.06
2022-12-14 14:00:00,2022-12-14 15:00:00,11.84,32.17,5.03,9.98,9.4,20.38,2.59,0.67,14.37,0.0,1.27,,0.47,,36.93,16.56,216.21,1017.56,970.83,0.0,,25.83
2022-12-14 15:00:00,2022-12-14 16:00:00,12.18,32.52,5.3,9.61,9.42,21.24,2.63,0.7,11.77,0.0,1.81,,0.4,,37.7,18.61,172.29,1009.61,970.69,0.0,,23.96
2022-12-14 16:00:00,2022-12-14 17:00:00,15.24,35.58,5.25,9.68,9.41,21.62,2.66,0.69,11.89,0.0,2.28,,0.9,,38.62,17.8,157.97,1008.02,970.71,0.0,,23.36
2022-12-14 17:00:00,2022-12-14 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-14 18:00:00,2022-12-14 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-14 19:00:00,2022-12-14 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-14 20:00:00,2022-12-14 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-14 21:00:00,2022-12-14 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-14 22:00:00,2022-12-14 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-14 23:00:00,2022-12-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-15 00:00:00,2022-12-15 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-15 01:00:00,2022-12-15 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-15 02:00:00,2022-12-15 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-15 03:00:00,2022-12-15 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-15 04:00:00,2022-12-15 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-15 05:00:00,2022-12-15 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-15 06:00:00,2022-12-15 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-15 07:00:00,2022-12-15 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-15 08:00:00,2022-12-15 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-15 09:00:00,2022-12-15 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-15 10:00:00,2022-12-15 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-15 11:00:00,2022-12-15 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-15 12:00:00,2022-12-15 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-15 13:00:00,2022-12-15 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-15 14:00:00,2022-12-15 15:00:00,18.72,39.06,4.87,10.21,9.39,20.31,3.05,0.65,20.71,0.0,1.29,,0.28,,31.83,19.06,206.96,1012.27,969.95,0.0,,24.73
2022-12-15 15:00:00,2022-12-15 16:00:00,19.29,39.63,4.89,10.18,9.39,20.72,3.12,0.68,20.45,0.0,1.35,,0.25,,31.53,16.83,210.88,1010.95,969.79,0.0,,24.08
2022-12-15 16:00:00,2022-12-15 17:00:00,22.59,42.93,4.93,10.14,9.4,20.94,3.12,0.72,18.32,0.0,1.84,,0.63,,33.72,16.99,197.97,1004.1,969.85,0.0,,23.18
2022-12-15 17:00:00,2022-12-15 18:00:00,24.4,44.74,5.0,10.07,9.42,20.88,3.13,0.83,15.4,0.0,2.64,,1.11,,37.67,22.43,209.32,991.54,970.17,0.0,,21.98
2022-12-15 18:00:00,2022-12-15 19:00:00,25.71,46.05,5.08,10.0,9.45,21.91,3.17,1.2,5.81,0.0,6.07,,1.85,,42.17,21.62,187.63,974.87,970.62,0.0,,21.52
2022-12-15 19:00:00,2022-12-15 20:00:00,32.75,53.09,6.1,8.55,9.51,23.71,3.28,1.89,0.62,0.0,11.83,1.47,2.78,,45.93,6.69,44.8,961.52,971.2,0.0,,21.52
2022-12-15 20:00:00,2022-12-15 21:00:00,39.98,60.33,7.49,6.53,9.55,26.74,3.37,2.24,0.45,0.0,28.27,0.47,10.35,,49.53,14.32,128.42,954.26,971.75,0.0,,21.5
2022-12-15 21:00:00,2022-12-15 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-15 22:00:00,2022-12-15 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-15 23:00:00,2022-12-16 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-16 00:00:00,2022-12-16 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-16 01:00:00,2022-12-16 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-16 02:00:00,2022-12-16 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-16 03:00:00,2022-12-16 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-16 04:00:00,2022-12-16 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-16 05:00:00,2022-12-16 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-16 06:00:00,2022-12-16 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-16 07:00:00,2022-12-16 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-16 08:00:00,2022-12-16 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-16 09:00:00,2022-12-16 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-16 10:00:00,2022-12-16 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-16 11:00:00,2022-12-16 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-16 12:00:00,2022-12-16 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-16 13:00:00,2022-12-16 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2022-12-16 14:00:00,2022-12-16 15:00:00,27.38,47.72,4.34,10.99,9.37,18.64,3.06,0.66,33.21,0.0,1.35,,0.26,,31.8,4.56,302.0,1016.35,969.7,0.0,,24.72
2022-12-16 15:00:00,2022-12-16 16:00:00,30.38,50.72,4.39,10.91,9.38,19.43,3.16,0.68,29.46,0.0,1.41,,,,31.77,10.62,211.74,1018.01,969.54,0.0,,24.68
2022-12-16 16:00:00,2022-12-16 17:00:00,34.16,54.5,4.43,10.86,9.38,19.57,3.19,0.69,28.43,0.0,1.67,,0.23,,32.96,11.07,217.62,1011.57,969.5,0.0,,23.35
2022-12-16 17:00:00,2022-12-16 18:00:00,33.97,54.31,4.47,10.84,9.4,19.7,3.28,0.83,19.92,0.0,2.57,,1.11,,36.04,19.87,187.76,1002.62,969.78,0.0,,22.11
2022-12-16 18:00:00,2022-12-16 19:00:00,36.73,57.07,4.59,10.69,9.42,20.61,3.28,1.0,13.91,0.0,5.71,,3.94,,38.06,24.19,207.17,994.0,970.3,0.0,,21.52
2022-12-16 19:00:00,2022-12-16 20:00:00,38.97,59.31,4.63,10.65,9.43,21.07,3.33,1.28,10.82,0.0,13.82,0.26,4.55,,38.98,14.51,272.34,989.08,970.84,0.0,,21.51
2022-12-16 20:00:00,2022-12-16 21:00:00,39.17,59.51,4.7,10.53,9.42,20.94,3.12,1.01,15.85,0.0,8.09,0.17,4.09,,39.46,4.63,127.16,983.73,971.52,0.0,,21.52
2022-12-16 21:00:00,2022-12-16 22:00:00,44.04,64.38,4.58,10.66,9.4,21.29,3.06,0.87,15.78,0.0,4.69,,2.54,,40.44,7.73,133.89,973.72,971.96,0.0,,21.52
2022-12-16 22:00:00,2022-12-16 23:00:00,46.45,66.79,4.54,10.71,9.39,20.74,3.11,0.76,14.9,0.0,3.17,,1.51,,43.67,14.31,222.1,962.47,972.04,0.0,,21.51
2022-12-16 23:00:00,2022-12-17 00:00:00,45.45,65.79,4.51,10.75,9.39,20.59,3.18,0.8,19.26,0.0,2.41,,0.81,,46.12,9.7,286.18,956.4,971.72,0.0,,21.51
2022-12-17 00:00:00,2022-12-17 01:00:00,45.94,66.28,5.0,10.04,9.4,21.88,2.66,0.82,17.57,0.0,2.6,,0.4,,49.3,11.29,218.37,945.89,971.49,0.0,,21.5
2022-12-17 01:00:00,2022-12-17 02:00:00,50.59,70.93,5.0,10.04,9.4,21.8,2.64,0.8,16.6,0.0,2.29,,,,51.56,5.43,97.2,937.7,971.25,0.0,,21.5
2022-12-17 02:00:00,2022-12-17 03:00:00,54.78,75.12,5.01,10.02,9.4,22.32,2.68,0.81,15.5,0.0,2.33,,,,54.7,5.5,31.38,928.03,971.07,0.0,,21.5
2022-12-17 03:00:00,2022-12-17 04:00:00,55.56,75.91,4.99,10.03,9.4,21.99,2.71,0.8,14.38,0.0,2.51,,0.16,,56.68,7.47,221.62,923.53,970.91,0.0,,21.49
2022-12-17 04:00:00,2022-12-17 05:00:00,56.38,76.72,5.0,10.03,9.4,22.02,2.73,0.77,15.46,0.0,2.4,,0.13,,56.88,6.16,244.58,923.12,970.99,0.0,,21.5
2022-12-17 05:00:00,2022-12-17 06:00:00,57.6,77.94,5.01,10.02,9.4,22.15,2.78,0.79,13.45,0.0,2.67,,0.19,,59.62,5.49,107.0,915.94,971.4,0.0,,21.5
2022-12-17 06:00:00,2022-12-17 07:00:00,57.99,78.34,5.0,10.05,9.41,21.87,2.74,0.87,11.93,0.0,3.38,,0.06,,61.68,6.06,32.32,910.39,971.96,0.0,,21.56
2022-12-17 07:00:00,2022-12-17 08:00:00,62.01,82.35,5.02,10.02,9.42,22.24,2.73,0.96,11.25,0.0,3.67,,0.72,,61.51,6.69,92.32,913.98,972.67,0.0,,22.55
2022-12-17 08:00:00,2022-12-17 09:00:00,65.77,86.11,5.04,10.0,9.41,22.16,2.7,0.92,13.95,0.0,3.48,,1.02,,56.75,13.97,251.09,925.2,973.38,0.0,,23.9
2022-12-17 09:00:00,2022-12-17 10:00:00,61.14,81.47,5.21,9.76,9.43,22.83,2.71,0.87,15.69,0.0,2.55,,,,50.42,10.43,183.05,948.49,973.61,0.0,,24.79
2022-12-17 10:00:00,2022-12-17 11:00:00,56.58,76.91,5.56,9.27,9.44,25.35,2.75,0.8,18.5,0.0,2.33,,,,44.46,8.62,197.24,971.57,973.41,0.0,,25.31
2022-12-17 11:00:00,2022-12-17 12:00:00,54.08,74.43,5.14,9.84,9.42,23.15,2.83,0.77,26.87,0.0,1.66,,0.31,,40.29,6.39,203.79,986.53,972.71,0.0,,25.97
2022-12-17 12:00:00,2022-12-17 13:00:00,54.25,74.59,4.98,10.06,9.4,21.63,3.05,0.75,30.1,0.0,1.72,,0.39,,37.21,4.28,341.83,995.86,971.89,0.0,,25.94
2022-12-17 13:00:00,2022-12-17 14:00:00,51.47,71.81,4.97,10.07,9.4,21.75,3.22,0.75,31.41,0.0,1.25,,,,34.68,4.86,237.16,1005.54,971.15,0.0,,26.89
2022-12-17 14:00:00,2022-12-17 15:00:00,42.21,62.55,4.95,10.11,9.39,21.37,3.29,0.74,31.97,0.0,1.22,,,,32.62,6.45,262.37,1009.39,970.59,0.0,,25.9
2022-12-17 15:00:00,2022-12-17 16:00:00,40.52,60.86,4.89,10.18,9.39,20.52,3.45,0.75,31.4,0.0,1.49,,0.19,,31.11,5.47,302.41,1012.09,970.26,0.0,,25.03
2022-12-17 16:00:00,2022-12-17 17:00:00,46.58,66.92,4.96,10.09,9.4,21.26,3.6,0.75,30.12,0.0,1.47,,0.11,,30.39,9.96,222.53,1009.15,970.27,0.0,,23.48
2022-12-17 17:00:00,2022-12-17 18:00:00,46.38,66.72,4.89,10.19,9.4,20.42,3.52,0.84,27.16,0.0,3.99,,0.37,,32.6,5.19,23.8,999.57,970.58,0.0,,21.92
2022-12-17 18:00:00,2022-12-17 19:00:00,49.59,69.93,4.97,10.09,9.41,21.8,3.42,0.9,23.37,0.0,3.1,,1.51,,36.76,4.83,19.01,986.85,971.02,0.0,,21.53
2022-12-17 19:00:00,2022-12-17 20:00:00,55.33,75.66,5.02,10.03,9.41,22.11,3.54,0.94,21.81,0.0,3.38,,0.18,,39.94,5.52,29.99,973.21,971.74,0.0,,21.52
2022-12-17 20:00:00,2022-12-17 21:00:00,55.19,75.53,5.03,10.01,9.41,22.34,3.67,0.92,21.05,0.0,2.97,,1.12,,42.76,5.73,31.21,962.38,972.41,0.0,,21.52
2022-12-17 21:00:00,2022-12-17 22:00:00,61.37,81.71,5.03,10.01,9.42,22.31,3.98,0.97,17.94,0.0,2.98,,0.54,,45.67,5.52,30.56,952.8,972.65,0.0,,21.51
2022-12-17 22:00:00,2022-12-17 23:00:00,66.4,86.74,5.03,9.99,9.4,22.38,4.12,0.86,19.72,0.0,2.71,,0.26,,48.89,5.7,32.19,944.55,972.67,0.0,,21.51
2022-12-17 23:00:00,2022-12-18 00:00:00,68.84,89.18,5.0,10.05,9.41,22.08,3.77,0.84,17.84,0.0,2.16,,0.25,,52.08,5.87,33.05,935.86,972.33,0.0,,21.51
2022-12-18 00:00:00,2022-12-18 01:00:00,69.24,89.58,4.93,10.15,9.4,21.85,3.45,0.81,18.05,0.0,2.14,,0.41,,53.58,5.69,31.42,931.23,971.97,0.0,,21.5
2022-12-18 01:00:00,2022-12-18 02:00:00,69.47,89.81,4.98,10.06,9.41,22.5,3.38,0.81,17.84,0.0,2.45,,0.15,,54.92,5.44,29.58,932.71,971.6,0.0,,21.5
2022-12-18 02:00:00,2022-12-18 03:00:00,67.81,88.16,4.98,10.07,9.4,22.53,3.4,0.79,17.01,0.0,2.31,,0.06,,57.21,4.99,25.54,927.35,971.22,0.0,,21.5
2022-12-18 03:00:00,2022-12-18 04:00:00,64.23,84.57,4.93,10.13,9.4,22.09,3.3,0.77,19.29,0.0,1.89,,0.14,,58.39,5.0,22.24,922.95,971.12,0.0,,21.5
2022-12-18 04:00:00,2022-12-18 05:00:00,71.41,91.75,4.91,10.16,9.4,21.97,3.31,0.78,18.75,0.0,1.71,,0.04,,60.64,4.69,22.29,916.21,971.26,0.0,,21.5
2022-12-18 05:00:00,2022-12-18 06:00:00,77.81,98.15,4.91,10.16,9.39,22.13,3.28,0.8,19.33,0.0,1.51,,0.08,,62.01,5.18,26.36,912.37,971.58,0.0,,21.5
2022-12-18 06:00:00,2022-12-18 07:00:00,83.6,103.94,4.91,10.17,9.4,21.84,3.22,0.85,17.95,0.0,1.63,,0.08,,64.32,5.41,28.9,907.13,971.98,0.0,,21.54
2022-12-18 07:00:00,2022-12-18 08:00:00,88.58,108.92,4.96,10.11,9.41,22.45,3.31,0.93,18.02,0.0,2.25,,0.17,,63.36,5.08,23.71,911.67,972.55,0.0,,22.59
2022-12-18 08:00:00,2022-12-18 09:00:00,93.05,113.39,4.97,10.08,9.41,22.64,3.37,0.9,20.14,0.0,2.83,,,,59.47,7.4,226.72,926.99,973.06,0.0,,23.84
