From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),RF (mm),Xylene (ug/m3)
2022-10-31 07:00:00,2022-10-31 08:00:00,75.25,117.25,4.78,25.43,17.43,14.05,4.95,1.25,93.15,5.18,128.45,1.2,2.12,42.25,0.15,192.33,80.75,23.03,0.0,0.43
2022-10-31 08:00:00,2022-10-31 09:00:00,98.25,172.75,4.93,27.18,18.48,13.95,4.33,1.16,75.75,2.42,136.98,2.92,7.38,38.0,0.28,104.5,205.75,24.82,0.0,2.88
2022-10-31 09:00:00,2022-10-31 10:00:00,91.5,208.0,2.92,10.33,7.88,13.97,4.47,0.94,126.43,1.15,130.85,1.07,2.23,29.5,0.7,94.0,311.5,25.35,0.0,0.7
2022-10-31 10:00:00,2022-10-31 11:00:00,59.0,106.0,2.4,7.97,6.2,13.97,3.9,0.76,132.88,0.8,58.12,0.35,0.7,22.75,0.73,80.5,387.0,25.7,0.0,0.2
2022-10-31 11:00:00,2022-10-31 12:00:00,55.25,101.75,2.35,8.2,6.3,13.93,2.93,0.76,131.65,0.85,71.88,0.4,0.8,20.0,0.62,69.75,412.5,26.0,0.0,0.22
2022-10-31 12:00:00,2022-10-31 13:00:00,52.0,94.75,3.07,8.37,6.97,14.0,3.17,0.82,131.93,0.83,83.7,0.45,0.78,18.5,0.75,87.5,404.25,26.23,0.0,0.2
2022-10-31 13:00:00,2022-10-31 14:00:00,46.0,92.25,2.8,9.05,7.08,14.0,3.4,0.78,132.1,0.9,92.38,0.53,0.93,16.5,0.57,58.75,345.25,26.45,0.0,0.25
2022-10-31 14:00:00,2022-10-31 15:00:00,44.0,92.25,2.95,10.18,7.78,14.05,3.3,0.78,130.35,0.95,44.98,0.55,1.08,16.0,0.75,28.5,258.25,26.55,0.0,0.33
2022-10-31 15:00:00,2022-10-31 16:00:00,43.5,88.75,2.93,12.78,9.15,14.05,3.52,0.82,124.0,0.9,67.08,1.5,2.33,16.0,0.75,32.75,152.25,26.43,0.0,0.73
2022-10-31 16:00:00,2022-10-31 17:00:00,42.25,91.5,2.8,17.5,11.6,13.95,2.62,0.92,114.1,1.02,79.72,1.5,3.15,20.5,0.65,100.0,58.5,25.92,0.0,1.05
2022-10-31 17:00:00,2022-10-31 18:00:00,47.75,114.0,2.85,32.85,19.8,14.05,3.28,1.35,84.9,1.55,92.22,3.05,5.75,29.25,0.33,88.75,17.75,24.8,0.0,2.12
2022-10-31 18:00:00,2022-10-31 19:00:00,66.25,160.0,2.9,43.45,25.48,14.0,3.42,1.45,74.1,3.17,114.88,4.97,13.57,33.0,0.4,86.25,15.5,24.18,0.0,5.3
2022-10-31 19:00:00,2022-10-31 20:00:00,76.25,199.0,2.55,24.17,14.93,13.97,3.4,1.16,91.18,1.9,118.03,2.92,7.8,32.5,0.65,85.5,15.75,24.08,0.0,3.1
2022-10-31 20:00:00,2022-10-31 21:00:00,58.25,148.25,3.78,25.1,16.42,14.03,2.43,0.99,91.38,1.23,118.95,1.4,3.45,33.75,0.53,81.5,16.0,23.77,0.0,1.2
2022-10-31 21:00:00,2022-10-31 22:00:00,52.5,105.0,2.58,21.32,13.45,14.03,2.25,1.0,94.28,1.0,119.67,1.1,2.88,35.0,0.28,89.5,15.75,23.52,0.0,0.93
2022-10-31 22:00:00,2022-10-31 23:00:00,51.0,104.75,2.65,21.85,13.8,13.97,2.25,1.01,81.83,1.25,122.08,1.65,4.27,38.25,0.3,107.75,15.75,23.1,0.0,1.57
2022-10-31 23:00:00,2022-11-01 00:00:00,52.0,119.0,2.4,11.6,8.12,14.03,1.83,0.93,94.85,1.0,122.7,1.25,2.57,37.0,0.38,184.75,15.25,23.25,0.0,1.05
2022-11-01 00:00:00,2022-11-01 01:00:00,45.25,93.25,2.53,19.0,12.15,14.0,1.98,1.03,68.4,1.0,126.65,1.3,3.08,43.25,0.38,172.0,15.25,22.85,0.0,1.07
2022-11-01 01:00:00,2022-11-01 02:00:00,44.25,89.0,2.65,11.8,8.45,13.92,2.18,0.87,96.85,0.88,131.82,1.12,2.47,37.5,0.33,169.0,15.5,22.88,0.0,0.82
2022-11-01 02:00:00,2022-11-01 03:00:00,38.75,62.75,2.5,9.15,6.9,14.0,2.6,0.84,99.02,0.62,132.42,0.57,0.88,38.5,0.2,139.25,15.5,22.7,0.0,0.25
2022-11-01 03:00:00,2022-11-01 04:00:00,42.0,65.25,2.42,10.3,7.47,14.05,3.33,0.87,87.15,0.75,133.7,0.7,1.1,42.5,0.2,176.75,15.75,22.12,0.0,0.4
2022-11-01 04:00:00,2022-11-01 05:00:00,63.25,86.5,2.35,9.8,7.13,14.05,4.47,0.85,94.88,1.03,130.12,0.7,1.25,41.25,0.2,143.0,16.0,22.35,0.0,0.45
2022-11-01 05:00:00,2022-11-01 06:00:00,70.0,93.25,2.2,6.67,5.38,14.0,3.22,0.81,102.48,0.7,129.93,0.5,0.62,42.0,0.23,161.0,16.0,22.38,0.0,0.15
2022-11-01 06:00:00,2022-11-01 07:00:00,45.25,85.25,2.2,6.7,5.35,13.97,2.95,0.78,97.0,0.73,128.8,0.53,0.88,45.25,0.28,201.25,27.75,22.25,0.0,0.2
2022-11-01 07:00:00,2022-11-01 08:00:00,51.25,112.75,3.0,13.83,9.8,13.95,4.05,0.97,75.97,2.52,126.23,0.93,1.9,45.0,0.22,241.5,81.75,23.05,0.0,0.45
2022-11-01 08:00:00,2022-11-01 09:00:00,67.25,122.0,3.15,12.3,9.1,13.95,5.67,0.86,81.95,1.6,128.32,1.27,3.05,37.0,0.38,104.5,226.25,24.9,0.0,1.0
2022-11-01 09:00:00,2022-11-01 10:00:00,48.0,103.75,2.65,8.22,6.55,14.0,9.35,0.79,109.67,0.78,129.35,0.65,0.98,33.5,0.53,120.0,323.25,25.5,0.0,0.25
2022-11-01 10:00:00,2022-11-01 11:00:00,44.5,78.0,2.95,8.35,6.85,14.05,7.85,0.75,113.95,0.67,79.6,0.43,0.73,27.5,0.57,111.0,389.25,25.98,0.0,0.2
2022-11-01 11:00:00,2022-11-01 12:00:00,40.75,74.75,2.75,7.65,6.3,14.0,6.3,0.73,118.42,0.65,67.62,0.35,0.7,22.75,0.55,83.5,417.75,26.2,0.0,0.18
2022-11-01 12:00:00,2022-11-01 13:00:00,34.25,66.5,2.37,7.27,5.8,13.95,5.85,0.76,121.65,0.65,72.4,0.38,0.78,19.75,0.55,44.5,404.75,26.25,0.0,0.2
2022-11-01 13:00:00,2022-11-01 14:00:00,33.5,68.25,2.85,9.27,7.25,13.93,5.3,0.79,121.85,0.65,82.75,0.5,0.85,18.25,0.5,45.5,348.25,26.57,0.0,0.23
2022-11-01 14:00:00,2022-11-01 15:00:00,35.5,66.25,2.77,8.78,6.95,13.88,5.18,0.76,125.12,0.65,94.75,0.53,0.82,16.75,0.53,198.5,264.25,26.9,0.0,0.22
2022-11-01 15:00:00,2022-11-01 16:00:00,32.0,60.5,2.72,10.43,7.75,13.97,4.55,0.79,117.53,0.72,103.15,0.77,1.4,15.5,0.57,47.5,156.75,26.88,0.0,0.38
2022-11-01 16:00:00,2022-11-01 17:00:00,31.75,70.25,2.6,16.33,10.8,14.0,4.83,0.88,107.3,0.88,104.0,1.17,2.8,19.25,0.82,269.75,58.25,26.25,0.0,0.95
2022-11-01 17:00:00,2022-11-01 18:00:00,33.25,94.75,2.62,26.52,16.23,14.05,4.72,1.07,82.5,1.35,106.95,2.67,4.95,28.25,0.53,50.25,17.75,25.12,0.0,1.77
