From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),RF (mm),Xylene (ug/m3),AT (degree C)
2022-06-02 21:00:00,2022-06-02 22:00:00,38.5,39.85,3.17,8.14,11.3,,10.1,1.12,1.23,1.54,1.5,,1.54,,32.99,0.52,184.46,0.0,0.0,1.46,29.03
2022-06-02 22:00:00,2022-06-02 23:00:00,42.22,45.62,5.04,7.58,12.62,,10.27,1.23,1.18,1.57,1.55,,1.53,,34.9,1.24,217.62,0.0,0.0,1.48,28.38
2022-06-02 23:00:00,2022-06-03 00:00:00,40.91,47.63,3.88,7.36,11.24,,10.07,1.07,1.59,1.54,1.53,,1.48,,32.22,1.94,236.62,0.0,0.0,1.43,29.68
2022-06-03 00:00:00,2022-06-03 01:00:00,39.33,46.04,1.18,6.36,7.54,,7.29,0.75,4.23,1.53,1.51,,1.48,,37.61,2.48,269.21,0.0,0.0,1.52,28.28
2022-06-03 01:00:00,2022-06-03 02:00:00,38.83,44.21,0.6,4.69,5.29,,7.68,0.51,5.54,1.53,1.5,,1.5,,44.93,2.96,282.24,0.0,0.0,1.41,26.04
2022-06-03 02:00:00,2022-06-03 03:00:00,34.63,40.58,0.67,4.21,4.88,0.3,7.43,0.37,4.36,1.48,1.56,,1.51,,47.53,2.98,297.14,0.0,0.0,1.56,25.09
2022-06-03 03:00:00,2022-06-03 04:00:00,28.54,33.14,0.63,3.55,4.18,0.96,7.28,0.29,3.8,1.53,1.57,,1.48,,51.08,2.3,291.83,0.0,0.0,1.48,24.18
2022-06-03 04:00:00,2022-06-03 05:00:00,26.38,29.82,0.8,3.43,4.23,0.61,7.18,0.28,3.58,1.44,1.48,,1.51,,47.97,2.43,302.4,0.0,0.0,1.47,24.26
2022-06-03 05:00:00,2022-06-03 06:00:00,21.12,24.6,0.3,3.19,3.49,0.99,7.11,0.25,4.51,1.48,1.64,,1.46,,45.54,2.78,308.11,0.0,0.0,1.47,24.1
2022-06-03 06:00:00,2022-06-03 07:00:00,17.52,21.84,0.16,3.23,3.38,1.17,7.08,0.25,5.03,1.52,1.53,,1.45,,44.08,2.74,311.19,1.4,0.0,1.49,24.14
2022-06-03 07:00:00,2022-06-03 08:00:00,17.08,23.26,0.26,3.56,3.75,1.44,7.4,0.29,3.82,1.55,1.53,,1.49,,45.03,2.4,312.55,39.27,0.0,1.43,24.27
2022-06-03 08:00:00,2022-06-03 09:00:00,20.91,24.74,0.22,3.51,3.67,1.9,7.58,0.3,3.65,1.5,1.45,,1.56,,44.72,2.49,320.22,28.35,0.0,1.47,24.54
2022-06-03 09:00:00,2022-06-03 10:00:00,20.56,24.04,0.16,3.43,3.55,1.84,7.71,0.32,3.93,1.52,1.45,,1.46,,44.09,2.74,330.48,124.93,0.0,1.5,25.2
2022-06-03 10:00:00,2022-06-03 11:00:00,23.23,27.67,0.65,3.61,4.26,1.58,7.78,0.33,4.99,1.56,1.74,0.85,4.3,,40.38,3.28,334.35,186.28,0.0,4.91,26.51
2022-06-03 11:00:00,2022-06-03 12:00:00,22.4,32.9,0.59,3.31,3.91,1.76,7.86,0.35,6.13,1.61,2.59,1.6,6.93,,37.62,2.66,332.71,351.1,0.0,7.78,29.01
2022-06-03 12:00:00,2022-06-03 13:00:00,24.67,35.36,0.7,3.14,3.85,1.32,7.7,0.36,8.97,1.61,2.62,1.59,6.97,,24.27,3.23,343.39,779.15,0.0,8.16,34.38
2022-06-03 13:00:00,2022-06-03 14:00:00,24.82,38.91,0.96,2.85,3.81,1.07,7.73,0.32,13.88,1.58,2.59,1.6,7.0,,17.91,3.68,267.25,748.83,0.0,8.18,36.54
2022-06-03 14:00:00,2022-06-03 15:00:00,22.82,35.64,0.97,2.81,3.78,0.67,7.84,0.29,13.5,1.6,2.58,1.59,7.08,,15.12,3.66,355.69,651.65,0.0,8.12,37.46
2022-06-03 15:00:00,2022-06-03 16:00:00,24.9,38.21,0.77,2.97,3.74,0.2,8.13,0.29,12.74,1.59,2.6,1.6,6.94,,15.53,3.27,89.72,483.58,0.0,8.18,37.68
2022-06-03 16:00:00,2022-06-03 17:00:00,25.73,41.98,0.8,3.06,3.87,0.26,8.49,0.29,10.8,1.58,2.62,1.59,7.21,,14.96,3.11,349.25,305.73,0.0,7.91,37.63
2022-06-03 17:00:00,2022-06-03 18:00:00,28.88,45.05,0.98,3.11,4.1,0.24,8.43,0.32,9.04,1.59,2.59,1.61,7.14,,16.34,2.33,350.67,76.82,0.0,8.29,36.91
2022-06-03 18:00:00,2022-06-03 19:00:00,26.76,46.63,0.64,3.4,4.04,0.4,8.68,0.38,7.95,1.6,2.58,1.6,6.79,,19.39,0.93,308.6,0.03,0.0,8.28,35.41
2022-06-03 19:00:00,2022-06-03 20:00:00,21.49,51.78,0.65,5.73,6.38,0.12,8.96,0.57,4.46,1.58,2.61,1.59,7.02,,24.64,0.72,228.84,0.0,0.0,8.13,33.01
2022-06-03 20:00:00,2022-06-03 21:00:00,22.81,53.2,2.01,8.29,10.29,,8.95,0.81,1.82,1.62,2.62,1.59,6.9,,28.71,0.95,243.58,0.0,0.0,8.17,31.8
2022-06-03 21:00:00,2022-06-03 22:00:00,32.02,52.62,1.5,7.1,8.6,,8.79,0.8,2.9,1.59,2.63,1.61,7.07,,30.13,1.17,244.37,0.0,0.0,8.31,31.31
2022-06-03 22:00:00,2022-06-03 23:00:00,36.65,50.75,1.48,5.84,7.33,,8.66,0.76,3.65,1.58,2.61,1.61,7.12,,30.2,1.1,256.55,0.0,0.0,8.22,31.44
2022-06-03 23:00:00,2022-06-04 00:00:00,33.16,49.1,1.62,5.03,6.65,0.02,9.56,0.68,3.08,1.6,2.59,1.6,7.04,,30.45,1.28,279.95,0.0,0.0,8.19,31.39
2022-06-04 00:00:00,2022-06-04 01:00:00,32.41,46.93,0.11,4.41,4.44,1.03,7.46,0.51,3.78,1.61,2.6,1.59,7.04,,29.99,1.23,277.28,0.0,0.0,8.24,30.99
2022-06-04 01:00:00,2022-06-04 02:00:00,32.95,45.38,0.01,4.12,4.13,1.3,7.83,0.44,3.72,1.6,2.6,1.6,7.06,,30.42,1.62,297.53,0.0,0.0,8.21,30.38
2022-06-04 02:00:00,2022-06-04 03:00:00,28.72,43.8,0.09,3.67,3.77,1.67,7.6,0.38,4.35,1.6,2.59,1.6,7.11,,32.91,2.01,301.19,0.0,0.0,8.31,29.39
2022-06-04 03:00:00,2022-06-04 04:00:00,22.44,42.41,0.13,3.37,3.47,2.05,7.23,0.34,5.13,1.6,2.61,1.6,6.86,,36.03,1.06,235.24,0.0,0.0,8.43,28.5
2022-06-04 04:00:00,2022-06-04 05:00:00,22.06,42.82,,3.26,3.26,2.26,7.31,0.31,4.44,1.61,2.58,1.6,7.01,,38.29,2.91,311.31,0.0,0.0,8.21,27.63
2022-06-04 05:00:00,2022-06-04 06:00:00,25.62,40.03,,3.07,3.07,2.29,6.96,0.29,3.65,1.59,2.61,1.59,7.15,,40.53,2.04,320.52,0.0,0.0,8.2,26.88
2022-06-04 06:00:00,2022-06-04 07:00:00,22.88,40.91,,3.26,3.26,2.04,7.06,0.3,2.94,1.61,2.6,1.61,7.02,,40.7,1.79,304.6,26.65,0.0,8.14,27.09
2022-06-04 07:00:00,2022-06-04 08:00:00,24.12,42.28,0.02,3.65,3.66,1.66,7.4,0.33,2.44,1.59,2.63,1.6,7.09,,42.65,1.4,265.26,106.45,0.0,8.09,27.46
2022-06-04 08:00:00,2022-06-04 09:00:00,24.15,43.81,0.16,3.67,3.83,1.54,7.66,0.33,2.76,1.6,2.59,1.61,7.05,,32.09,2.5,306.82,257.27,0.0,8.1,30.17
2022-06-04 09:00:00,2022-06-04 10:00:00,31.49,45.54,0.16,3.56,3.64,1.55,7.85,0.32,3.49,1.58,2.6,1.59,7.03,,31.32,2.93,314.16,268.88,0.0,8.13,30.52
2022-06-04 10:00:00,2022-06-04 11:00:00,33.46,42.88,0.28,3.49,3.77,1.55,7.71,0.3,5.4,1.59,2.63,1.6,7.08,,26.95,3.2,320.7,354.68,0.0,8.12,32.56
2022-06-04 11:00:00,2022-06-04 12:00:00,25.8,41.27,0.33,2.97,3.3,1.93,7.49,0.29,8.57,1.61,2.61,1.6,7.04,,21.86,3.04,333.04,348.12,0.0,8.25,34.48
2022-06-04 12:00:00,2022-06-04 13:00:00,20.96,35.88,0.55,2.87,3.28,1.1,7.45,0.28,11.02,1.6,2.6,1.61,6.97,,17.84,3.03,257.92,795.62,0.0,8.1,35.91
2022-06-04 13:00:00,2022-06-04 14:00:00,17.31,33.63,0.04,2.63,2.66,0.94,7.49,0.28,12.41,1.59,2.6,1.61,7.01,,11.87,3.15,358.53,637.58,0.0,8.05,37.07
2022-06-04 14:00:00,2022-06-04 15:00:00,15.79,36.4,,2.64,2.64,0.69,7.63,0.27,11.42,1.62,2.6,1.6,6.88,,10.67,2.64,90.74,590.92,0.0,8.27,37.44
2022-06-04 15:00:00,2022-06-04 16:00:00,20.74,41.34,,2.8,2.8,0.22,7.88,0.28,11.13,1.59,2.6,1.6,7.0,,9.9,2.39,351.96,483.02,0.0,8.16,38.07
2022-06-04 16:00:00,2022-06-04 17:00:00,27.21,42.34,0.01,3.01,3.01,0.56,8.12,0.29,9.81,1.64,2.57,1.6,7.07,,10.66,2.06,260.72,284.27,0.0,8.07,38.23
2022-06-04 17:00:00,2022-06-04 18:00:00,25.38,43.32,,2.69,2.69,1.32,8.34,0.32,9.42,1.61,2.61,1.6,6.95,,11.45,1.91,338.04,110.83,0.0,8.41,37.85
2022-06-04 18:00:00,2022-06-04 19:00:00,28.52,46.14,,2.79,2.79,1.71,8.53,0.34,8.73,1.6,2.58,1.59,7.11,,14.06,0.93,124.23,3.7,0.0,8.37,36.67
2022-06-04 19:00:00,2022-06-04 20:00:00,35.36,58.49,,3.75,3.75,1.69,8.48,0.48,7.87,1.62,2.61,1.6,7.01,,19.61,0.65,178.27,0.0,0.0,8.03,33.58
2022-06-04 20:00:00,2022-06-04 21:00:00,33.62,53.17,,4.36,4.36,1.95,8.7,0.65,4.58,1.61,2.61,1.59,6.95,,25.45,0.72,202.27,0.0,0.0,8.12,30.23
2022-06-04 21:00:00,2022-06-04 22:00:00,33.23,50.3,1.61,6.74,7.95,0.74,9.2,0.86,1.94,1.61,2.59,1.61,7.25,,29.83,0.49,202.1,0.0,0.0,8.13,29.07
2022-06-04 22:00:00,2022-06-04 23:00:00,37.1,54.12,10.5,8.63,19.13,,10.04,1.39,1.42,1.62,2.61,1.62,7.02,,35.51,0.59,226.64,0.0,0.0,7.96,27.9
2022-06-04 23:00:00,2022-06-05 00:00:00,41.66,53.78,13.93,7.93,21.85,,9.91,1.52,1.23,1.6,2.6,1.6,6.9,,30.91,0.63,179.77,0.0,0.0,8.09,28.07
2022-06-05 00:00:00,2022-06-05 01:00:00,42.56,56.77,13.43,7.59,21.02,,7.37,1.33,1.26,1.62,2.63,1.6,7.05,,30.66,0.66,248.71,0.0,0.0,8.15,27.72
2022-06-05 01:00:00,2022-06-05 02:00:00,39.78,53.28,12.34,7.52,19.86,,7.8,1.24,1.15,1.59,2.62,1.6,7.03,,33.08,0.79,294.86,0.0,0.0,8.15,27.12
2022-06-05 02:00:00,2022-06-05 03:00:00,41.79,54.64,10.72,6.94,17.66,,7.68,1.22,1.09,1.58,2.58,1.6,6.94,,37.81,0.43,241.75,0.0,0.0,8.12,25.77
2022-06-05 03:00:00,2022-06-05 04:00:00,39.26,52.08,8.95,6.88,15.83,,7.74,1.27,1.29,1.58,2.59,1.59,7.06,,35.68,0.79,321.64,0.0,0.0,8.36,26.3
2022-06-05 04:00:00,2022-06-05 05:00:00,39.24,44.52,7.04,6.38,13.41,,7.51,1.42,1.16,1.61,2.6,1.6,7.02,,41.83,0.51,252.27,0.0,0.0,8.35,24.36
2022-06-05 05:00:00,2022-06-05 06:00:00,35.17,46.7,7.09,6.55,13.64,,8.24,1.49,1.12,1.6,2.61,1.6,6.89,,40.37,0.61,250.09,0.0,0.0,8.36,24.84
2022-06-05 06:00:00,2022-06-05 07:00:00,35.34,50.88,6.37,6.75,13.12,,8.7,1.37,1.25,1.59,2.61,1.61,7.0,,38.14,0.73,272.42,35.03,0.0,8.2,25.87
2022-06-05 07:00:00,2022-06-05 08:00:00,40.48,52.86,4.3,6.36,10.66,,8.61,1.19,1.37,1.6,2.6,1.6,7.08,,32.4,1.09,320.14,150.47,0.0,8.29,28.79
2022-06-05 08:00:00,2022-06-05 09:00:00,39.35,50.4,1.7,6.42,8.12,0.14,8.45,1.02,2.54,1.61,2.6,1.61,7.05,,26.28,2.01,328.61,276.1,0.0,8.2,31.85
2022-06-05 09:00:00,2022-06-05 10:00:00,36.42,47.31,0.18,5.25,5.42,0.95,8.15,0.76,4.68,1.61,2.59,1.62,7.01,,23.14,2.43,336.29,175.5,0.0,8.35,33.75
2022-06-05 10:00:00,2022-06-05 11:00:00,35.41,48.37,0.65,4.33,4.97,1.04,7.85,0.59,6.79,1.61,2.6,1.6,6.84,,18.68,2.42,340.11,207.52,0.0,8.35,36.07
2022-06-05 11:00:00,2022-06-05 12:00:00,40.61,48.58,0.24,3.79,3.92,1.91,7.9,0.45,10.05,1.58,2.61,1.61,7.04,,14.19,2.39,178.49,268.47,0.0,8.33,38.03
2022-06-05 12:00:00,2022-06-05 13:00:00,34.79,42.28,0.35,3.54,3.8,1.4,7.78,0.36,11.12,1.6,2.6,1.59,6.92,,12.76,2.54,267.5,782.3,0.0,8.13,39.23
2022-06-05 13:00:00,2022-06-05 14:00:00,27.29,37.97,0.44,3.37,3.82,1.14,7.62,0.3,12.64,1.6,2.58,1.6,6.83,,12.38,2.01,106.97,714.38,0.0,8.25,40.11
2022-06-05 14:00:00,2022-06-05 15:00:00,24.66,38.92,0.45,3.32,3.76,1.06,7.9,0.28,12.42,1.62,2.6,1.61,6.91,,12.03,2.16,262.85,610.52,0.0,8.21,40.31
2022-06-05 15:00:00,2022-06-05 16:00:00,26.62,42.72,0.38,3.4,3.68,0.94,8.02,0.27,11.41,1.6,2.6,1.61,6.9,,13.8,2.09,220.4,267.97,0.0,8.08,39.21
2022-06-05 16:00:00,2022-06-05 17:00:00,29.8,47.83,,3.32,3.32,1.71,8.3,0.28,19.07,1.61,2.6,1.6,6.98,,18.19,3.64,132.41,106.0,0.0,8.14,36.06
2022-06-05 17:00:00,2022-06-05 18:00:00,,,,,,,,,,,,,,,,,,,,,
2022-06-05 18:00:00,2022-06-05 19:00:00,29.59,48.96,0.21,4.12,4.33,1.46,8.35,0.38,8.49,1.61,2.6,1.6,6.98,,22.99,1.55,217.17,1.57,0.0,8.01,32.86
2022-06-05 19:00:00,2022-06-05 20:00:00,29.22,57.64,0.02,4.71,4.72,1.06,8.27,0.46,7.41,1.6,2.62,1.6,6.99,,27.66,1.43,212.14,0.0,0.0,8.15,31.12
2022-06-05 20:00:00,2022-06-05 21:00:00,29.38,53.91,0.01,4.6,4.6,0.93,8.38,0.46,11.31,1.59,2.6,1.6,7.17,,24.86,3.02,162.4,0.0,0.0,8.1,31.66
2022-06-05 21:00:00,2022-06-05 22:00:00,28.24,47.84,0.01,4.0,4.01,1.24,8.24,0.42,12.38,1.59,2.58,1.6,7.05,,27.22,2.5,197.73,0.0,0.0,8.2,30.52
2022-06-05 22:00:00,2022-06-05 23:00:00,25.59,47.39,0.02,3.54,3.54,1.44,8.04,0.39,15.57,1.62,2.62,1.6,7.0,,31.39,2.72,201.42,0.0,0.0,8.34,29.03
2022-06-05 23:00:00,2022-06-06 00:00:00,26.77,48.38,0.13,4.16,4.29,1.04,8.29,0.43,10.33,1.6,2.59,1.59,6.89,,35.49,2.14,223.42,0.0,0.0,8.22,27.59
2022-06-06 00:00:00,2022-06-06 01:00:00,28.56,45.48,0.25,3.91,4.16,1.06,6.8,0.43,6.16,1.61,2.58,1.6,7.04,,36.78,2.23,283.94,0.0,0.0,8.29,27.27
2022-06-06 01:00:00,2022-06-06 02:00:00,28.23,46.46,0.64,3.44,4.08,1.4,7.1,0.37,6.08,1.62,2.62,1.59,6.8,,42.45,2.73,300.52,0.0,0.0,8.11,26.24
2022-06-06 02:00:00,2022-06-06 03:00:00,31.74,48.14,0.83,3.25,4.09,1.5,7.05,0.32,5.1,1.59,2.62,1.6,7.12,,45.8,2.29,298.7,0.0,0.0,8.14,25.3
2022-06-06 03:00:00,2022-06-06 04:00:00,31.0,42.22,1.27,3.29,4.55,1.28,7.16,0.31,5.24,1.61,2.57,1.6,7.0,,46.47,2.17,301.66,0.0,0.0,8.13,24.97
2022-06-06 04:00:00,2022-06-06 05:00:00,25.25,38.52,1.0,3.3,4.3,1.1,7.26,0.3,4.92,1.61,2.59,1.6,6.97,,47.24,1.52,280.5,0.0,0.0,8.15,24.67
2022-06-06 05:00:00,2022-06-06 06:00:00,24.2,38.52,1.36,3.54,4.9,0.5,7.6,0.31,4.62,1.6,2.61,1.6,6.89,,49.86,2.27,239.46,0.0,0.0,8.14,24.14
2022-06-06 06:00:00,2022-06-06 07:00:00,22.89,34.41,1.2,3.6,4.79,0.51,7.47,0.31,5.38,1.61,2.6,1.59,6.99,,51.52,2.38,249.45,3.52,0.0,8.43,23.65
2022-06-06 07:00:00,2022-06-06 08:00:00,21.98,34.96,0.74,3.66,4.4,0.83,7.69,0.32,4.69,1.6,2.56,1.6,7.07,,50.49,2.04,266.12,97.1,0.0,8.29,24.36
2022-06-06 08:00:00,2022-06-06 09:00:00,28.29,38.98,0.87,3.44,4.31,1.09,7.93,0.31,4.36,1.59,2.58,1.59,7.08,,47.34,2.23,288.39,253.35,0.0,8.14,26.42
2022-06-06 09:00:00,2022-06-06 10:00:00,26.96,42.7,1.05,3.34,4.39,1.06,8.11,0.31,5.32,1.62,2.61,1.6,7.08,,39.4,2.17,279.46,216.95,0.0,8.29,29.21
2022-06-06 10:00:00,2022-06-06 11:00:00,25.85,45.01,0.52,3.19,3.71,1.4,8.4,0.32,6.23,1.58,2.6,1.59,7.12,,31.63,2.92,303.42,296.17,0.0,8.24,31.82
2022-06-06 11:00:00,2022-06-06 12:00:00,22.04,39.2,0.57,3.15,3.72,1.5,8.16,0.3,9.62,1.62,2.59,1.6,7.0,,28.48,3.25,318.19,407.27,0.0,8.23,33.02
2022-06-06 12:00:00,2022-06-06 13:00:00,17.7,34.19,0.71,3.09,3.81,0.72,8.06,0.3,9.47,1.61,2.61,1.6,7.01,,25.5,3.11,314.62,444.4,0.0,7.92,33.9
2022-06-06 13:00:00,2022-06-06 14:00:00,16.7,30.97,0.8,2.79,3.6,0.28,7.97,0.3,10.06,1.61,2.6,1.6,7.08,,21.41,2.96,322.26,418.12,0.0,8.02,35.3
2022-06-06 14:00:00,2022-06-06 15:00:00,19.38,32.27,0.13,3.0,3.06,0.39,8.21,0.31,8.72,1.63,2.59,1.6,6.96,,20.52,2.44,325.67,211.8,0.0,8.1,35.15
2022-06-06 15:00:00,2022-06-06 16:00:00,24.91,38.15,0.01,3.17,3.17,0.08,8.62,0.33,6.6,1.6,2.62,1.6,6.83,,20.59,2.19,312.42,213.0,0.0,8.27,35.61
2022-06-06 16:00:00,2022-06-06 17:00:00,33.65,42.59,0.04,3.18,3.2,0.04,8.72,0.34,6.14,1.61,2.59,1.6,7.12,,22.08,1.77,285.74,150.03,0.0,8.24,35.28
2022-06-06 17:00:00,2022-06-06 18:00:00,31.04,47.6,0.16,3.28,3.32,0.27,9.06,0.36,5.92,1.6,2.61,1.6,7.02,,27.08,1.49,247.98,29.52,0.0,8.18,33.58
2022-06-06 18:00:00,2022-06-06 19:00:00,39.82,48.4,0.43,3.84,4.26,0.04,9.24,0.41,4.79,1.6,2.61,1.6,6.92,,30.22,1.79,230.23,0.0,0.0,7.9,32.09
2022-06-06 19:00:00,2022-06-06 20:00:00,49.13,59.88,0.72,4.5,5.23,0.01,9.11,0.46,4.96,1.61,2.6,1.58,6.93,,32.53,1.35,226.84,0.0,0.0,8.27,30.65
2022-06-06 20:00:00,2022-06-06 21:00:00,39.9,49.17,0.96,4.92,5.89,,9.22,0.48,4.25,1.6,2.57,1.6,7.05,,35.12,0.97,230.69,0.0,0.0,8.06,29.29
2022-06-06 21:00:00,2022-06-06 22:00:00,35.89,46.28,1.0,5.26,6.25,,9.18,0.52,3.54,1.61,2.57,1.6,6.92,,36.55,1.45,222.58,0.0,0.0,8.31,28.81
2022-06-06 22:00:00,2022-06-06 23:00:00,33.07,49.68,0.38,4.83,5.21,,9.27,0.52,4.06,1.59,2.6,1.61,7.07,,41.84,2.08,233.02,0.0,0.0,8.25,28.43
2022-06-06 23:00:00,2022-06-07 00:00:00,37.72,48.62,0.64,4.39,5.04,,9.48,,3.05,1.61,2.6,1.61,7.11,,44.86,1.54,248.84,0.0,0.0,8.08,27.96
2022-06-07 00:00:00,2022-06-07 01:00:00,35.3,48.31,0.35,3.84,4.19,0.69,6.67,,2.85,1.6,2.63,1.59,7.09,,44.88,1.17,264.94,0.0,0.0,8.16,27.76
2022-06-07 01:00:00,2022-06-07 02:00:00,35.44,46.2,0.27,3.9,4.17,1.01,7.65,,2.74,1.58,2.63,1.6,6.87,,44.32,1.21,270.91,0.0,0.0,8.29,27.52
2022-06-07 02:00:00,2022-06-07 03:00:00,31.59,47.92,0.25,3.77,3.96,1.27,7.81,,3.28,1.61,2.61,1.59,7.0,,44.38,1.81,291.17,0.0,0.0,8.23,27.41
2022-06-07 03:00:00,2022-06-07 04:00:00,25.3,42.93,0.01,3.49,3.5,1.86,7.38,,4.36,1.58,2.59,1.59,7.06,,45.47,2.06,298.82,0.0,0.0,8.11,26.98
2022-06-07 04:00:00,2022-06-07 05:00:00,22.16,37.98,0.22,3.45,3.67,1.45,6.97,,3.66,1.59,2.6,1.6,7.0,,46.52,2.21,302.69,0.0,0.0,8.21,26.2
2022-06-07 05:00:00,2022-06-07 06:00:00,22.36,37.01,0.51,3.34,3.85,1.25,6.87,,2.98,1.61,2.62,1.6,7.15,,46.54,2.17,302.45,0.0,0.0,8.18,25.73
2022-06-07 06:00:00,2022-06-07 07:00:00,18.69,34.32,0.44,3.4,3.85,1.16,6.9,,2.61,1.59,2.58,1.6,6.89,,46.83,2.26,299.75,31.43,0.0,8.16,25.75
2022-06-07 07:00:00,2022-06-07 08:00:00,18.97,34.11,0.45,3.41,3.86,1.08,7.15,,2.43,1.58,2.59,1.6,7.0,,43.58,2.52,308.28,155.72,0.0,8.37,27.39
2022-06-07 08:00:00,2022-06-07 09:00:00,27.03,39.45,0.27,3.34,3.6,1.41,7.21,,3.26,1.59,2.59,1.59,6.8,,38.05,3.26,319.36,269.05,0.0,8.21,29.46
2022-06-07 09:00:00,2022-06-07 10:00:00,29.05,41.64,0.33,3.14,3.47,1.46,7.17,,4.7,1.6,2.6,1.6,6.97,,29.16,3.55,330.17,157.88,0.0,8.04,31.98
2022-06-07 10:00:00,2022-06-07 11:00:00,25.09,37.29,0.05,2.88,2.89,1.61,7.39,,6.65,1.61,2.61,1.6,7.0,,24.42,3.09,336.12,180.35,0.0,8.44,33.95
2022-06-07 11:00:00,2022-06-07 12:00:00,27.44,36.72,,2.72,2.72,1.8,7.14,,9.32,1.6,2.6,1.6,7.32,,18.0,3.05,341.45,235.23,0.0,8.12,36.16
2022-06-07 12:00:00,2022-06-07 13:00:00,26.93,35.38,,2.61,2.61,1.45,7.39,,12.55,1.61,2.61,1.61,7.02,,14.15,3.25,260.09,808.55,0.0,8.34,37.39
2022-06-07 13:00:00,2022-06-07 14:00:00,23.18,36.33,,2.56,2.56,1.09,7.64,,13.18,1.61,2.62,1.59,7.08,,12.35,2.81,180.33,760.57,0.0,8.36,38.49
2022-06-07 14:00:00,2022-06-07 15:00:00,21.78,39.2,,2.45,2.45,0.84,7.28,,11.86,1.6,2.6,1.6,6.7,,10.88,2.5,350.6,653.02,0.0,8.41,39.22
2022-06-07 15:00:00,2022-06-07 16:00:00,25.31,39.93,,2.64,2.64,0.36,7.57,,9.91,1.6,2.59,1.6,6.94,,10.63,2.13,237.86,513.13,0.0,8.06,39.42
2022-06-07 16:00:00,2022-06-07 17:00:00,25.99,39.1,0.01,3.04,3.05,0.19,7.82,,9.34,1.63,2.6,1.6,6.97,,10.54,2.15,95.26,311.47,0.0,8.18,39.22
2022-06-07 17:00:00,2022-06-07 18:00:00,21.94,35.35,0.01,3.09,3.09,0.49,7.98,,8.55,1.6,2.59,1.6,7.1,,10.61,1.59,262.73,120.58,0.0,8.11,38.8
2022-06-07 18:00:00,2022-06-07 19:00:00,22.36,43.0,0.04,3.09,3.1,1.03,8.08,,7.53,1.58,2.58,1.61,6.96,,12.75,1.14,319.63,6.25,0.0,8.16,37.15
2022-06-07 19:00:00,2022-06-07 20:00:00,24.37,54.41,0.2,3.5,3.6,1.77,7.96,,7.47,1.6,2.59,1.6,6.82,,22.77,2.72,241.35,0.0,0.0,8.27,32.44
