From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C)
2022-11-26 08:00:00,2022-11-26 09:00:00,85.75,106.8,8.8,37.88,32.07,40.74,8.03,1.02,33.14,4.47,22.83,2.29,1.29,3.02,73.05,0.44,139.88,147.93,11.2
2022-11-26 09:00:00,2022-11-26 10:00:00,83.72,97.49,5.18,31.24,25.61,42.02,10.88,1.31,48.78,4.38,23.44,2.43,1.31,3.09,60.07,0.32,203.38,465.29,14.5
2022-11-26 10:00:00,2022-11-26 11:00:00,76.25,98.53,4.49,29.59,24.17,42.49,15.44,1.06,63.23,4.27,23.65,2.56,1.32,3.07,48.16,0.23,253.38,578.89,18.21
2022-11-26 11:00:00,2022-11-26 12:00:00,71.29,97.83,3.06,26.42,21.32,42.95,19.98,1.12,80.46,4.05,23.85,2.68,1.32,2.96,36.6,0.26,319.88,605.04,21.0
2022-11-26 12:00:00,2022-11-26 13:00:00,68.91,92.92,3.67,24.33,20.69,43.1,11.87,1.07,74.13,3.8,24.01,2.78,1.29,2.8,29.32,0.43,312.48,607.51,22.27
2022-11-26 13:00:00,2022-11-26 14:00:00,66.73,84.82,3.87,25.02,21.23,43.03,11.33,0.88,80.09,3.49,24.23,2.83,1.28,2.7,29.61,0.34,314.64,541.74,22.91
2022-11-26 14:00:00,2022-11-26 15:00:00,69.7,82.62,4.18,30.1,24.18,42.58,11.78,0.92,80.3,3.21,24.88,2.84,1.25,2.61,30.2,0.17,251.0,422.13,23.24
2022-11-26 15:00:00,2022-11-26 16:00:00,61.36,91.77,3.48,25.75,21.3,43.01,11.19,0.84,79.65,3.03,26.05,2.86,1.24,2.58,31.81,0.12,337.44,198.21,22.12
2022-11-26 16:00:00,2022-11-26 17:00:00,59.98,88.05,3.48,29.2,23.14,42.63,8.7,0.68,64.73,2.88,26.96,2.97,1.24,2.52,41.3,0.06,249.67,34.1,18.87
2022-11-26 17:00:00,2022-11-26 18:00:00,61.27,97.36,11.61,71.38,52.18,36.3,6.28,0.67,24.79,2.98,27.88,3.12,1.36,2.88,57.73,0.09,170.98,1.73,15.23
2022-11-26 18:00:00,2022-11-26 19:00:00,67.62,111.08,23.83,82.99,68.28,32.89,5.9,1.04,6.63,3.83,30.65,3.27,1.85,4.58,67.88,0.08,120.77,0.39,13.34
2022-11-26 19:00:00,2022-11-26 20:00:00,78.74,137.51,18.68,72.26,58.4,34.95,4.93,1.18,6.88,5.38,33.51,3.4,2.27,5.99,76.25,0.06,130.58,0.44,11.81
2022-11-26 20:00:00,2022-11-26 21:00:00,86.87,146.54,15.04,57.25,47.45,37.44,4.65,1.04,9.95,6.82,36.26,3.43,2.03,7.54,79.53,0.08,77.29,0.36,10.79
2022-11-26 21:00:00,2022-11-26 22:00:00,84.85,144.19,9.85,49.55,39.14,39.06,4.7,0.88,15.61,7.2,36.43,3.37,2.08,7.53,82.78,0.09,128.59,0.28,9.86
2022-11-26 22:00:00,2022-11-26 23:00:00,81.93,127.71,8.8,39.13,32.74,40.5,4.16,0.94,12.52,6.74,34.86,3.23,2.52,6.84,85.25,0.1,97.98,0.34,9.18
2022-11-26 23:00:00,2022-11-27 00:00:00,77.65,122.82,5.96,30.78,26.0,41.98,4.03,0.92,19.23,6.17,33.18,3.09,2.22,5.94,87.26,0.09,82.14,0.33,8.41
2022-11-27 00:00:00,2022-11-27 01:00:00,68.25,104.59,4.57,28.33,23.56,42.52,3.79,0.89,18.04,5.37,30.99,2.94,1.93,4.98,89.43,0.07,91.55,0.34,7.79
2022-11-27 01:00:00,2022-11-27 02:00:00,63.06,92.95,3.52,22.54,19.63,43.34,3.44,0.76,14.89,4.74,29.08,2.82,1.74,4.39,91.58,0.07,73.19,0.29,7.19
2022-11-27 02:00:00,2022-11-27 03:00:00,57.44,81.92,3.51,20.36,18.46,43.57,3.2,0.72,13.79,4.2,27.43,2.7,1.57,3.85,92.53,0.1,96.36,0.35,6.61
2022-11-27 03:00:00,2022-11-27 04:00:00,50.73,77.33,3.66,20.21,18.5,43.57,3.15,0.73,14.01,3.73,25.93,2.58,1.43,3.34,93.91,0.08,103.05,0.35,6.33
2022-11-27 04:00:00,2022-11-27 05:00:00,46.95,74.53,10.59,26.55,27.5,41.67,2.93,0.87,8.9,3.32,24.47,2.47,1.31,2.9,94.11,0.12,105.03,0.31,5.96
2022-11-27 05:00:00,2022-11-27 06:00:00,51.64,73.43,13.71,30.25,32.02,40.72,2.77,0.91,3.99,3.02,23.3,2.38,1.21,2.58,94.04,0.07,116.29,0.33,5.95
2022-11-27 06:00:00,2022-11-27 07:00:00,53.32,73.73,10.41,32.7,30.62,40.96,2.87,0.89,5.48,2.91,22.59,2.31,1.16,2.43,94.87,0.07,113.62,11.63,5.62
2022-11-27 07:00:00,2022-11-27 08:00:00,57.93,84.54,11.75,34.73,32.8,40.62,3.75,0.85,11.14,3.29,22.54,2.27,1.19,2.51,87.74,0.17,102.47,56.86,7.78
2022-11-27 08:00:00,2022-11-27 09:00:00,68.19,93.83,6.17,34.41,28.09,41.49,5.55,0.93,26.29,3.82,22.84,2.31,0.91,2.65,76.49,0.4,200.16,148.76,10.6
2022-11-27 09:00:00,2022-11-27 10:00:00,71.11,92.74,4.98,31.85,25.77,41.97,8.43,1.14,44.14,4.02,22.86,2.4,1.25,2.76,65.95,0.35,210.13,387.29,13.43
2022-11-27 10:00:00,2022-11-27 11:00:00,69.72,100.18,4.25,29.96,24.17,42.34,12.33,0.96,55.7,3.99,22.89,2.52,1.24,2.73,54.91,0.23,258.15,488.21,17.41
2022-11-27 11:00:00,2022-11-27 12:00:00,75.37,104.15,3.38,25.73,21.21,42.96,13.93,0.9,70.77,4.24,23.51,2.67,0.95,2.72,47.98,0.32,292.33,532.92,20.0
2022-11-27 12:00:00,2022-11-27 13:00:00,70.71,102.53,3.27,23.75,20.07,43.18,13.19,0.8,78.35,4.13,23.74,2.4,1.1,2.61,39.7,0.25,250.08,539.45,21.73
2022-11-27 13:00:00,2022-11-27 14:00:00,75.8,101.06,4.13,31.07,24.66,42.66,13.98,0.72,78.22,3.92,24.25,2.5,1.09,2.56,36.91,0.22,232.01,477.15,22.69
2022-11-27 14:00:00,2022-11-27 15:00:00,73.56,100.81,3.23,25.5,20.96,43.08,13.77,0.71,81.3,3.71,25.36,2.9,1.26,2.53,36.19,0.21,250.32,379.64,22.77
2022-11-27 15:00:00,2022-11-27 16:00:00,63.17,93.98,3.08,23.55,19.8,43.32,12.18,0.72,79.57,3.5,26.43,2.92,1.24,2.46,37.96,0.2,321.04,181.1,21.73
2022-11-27 16:00:00,2022-11-27 17:00:00,66.05,90.96,3.02,25.07,20.57,43.15,9.71,0.65,70.44,3.35,27.08,2.98,1.24,2.41,48.77,0.07,246.28,33.36,18.59
2022-11-27 17:00:00,2022-11-27 18:00:00,80.51,101.76,10.5,71.14,51.16,36.44,6.8,0.83,27.82,3.46,27.72,2.36,0.34,2.61,62.17,0.08,88.12,1.47,15.26
2022-11-27 18:00:00,2022-11-27 19:00:00,70.1,117.4,17.05,76.69,59.42,34.58,5.79,1.06,14.37,4.39,30.92,3.33,1.81,4.48,72.47,0.14,120.07,0.4,13.5
2022-11-27 19:00:00,2022-11-27 20:00:00,74.22,130.63,15.46,71.4,55.32,35.42,5.23,1.02,12.41,5.54,34.13,2.58,1.71,6.25,79.26,0.06,147.78,0.25,12.63
2022-11-27 20:00:00,2022-11-27 21:00:00,81.51,134.55,11.7,57.35,44.8,37.93,4.55,1.18,9.49,6.61,35.38,3.44,2.5,6.87,85.73,0.1,71.88,0.32,11.31
2022-11-27 21:00:00,2022-11-27 22:00:00,81.54,134.29,10.03,45.55,37.16,39.47,4.57,1.12,13.63,7.27,35.28,3.41,2.5,6.84,89.27,0.07,100.44,0.29,10.53
2022-11-27 22:00:00,2022-11-27 23:00:00,84.63,129.72,6.88,38.74,30.98,40.89,4.51,0.97,17.34,7.13,34.14,3.34,2.33,6.34,90.22,0.11,115.34,0.17,10.04
2022-11-27 23:00:00,2022-11-28 00:00:00,83.64,125.3,6.35,34.88,28.48,41.39,4.29,0.89,18.34,6.54,32.45,3.22,2.11,5.64,90.96,0.13,131.18,0.2,9.75
2022-11-28 00:00:00,2022-11-28 01:00:00,82.7,119.79,6.24,30.86,26.27,41.84,3.89,0.85,11.12,5.94,30.8,3.12,1.41,4.96,92.49,0.08,124.72,0.23,9.06
2022-11-28 01:00:00,2022-11-28 02:00:00,79.08,108.91,4.01,23.2,20.37,43.15,3.75,0.73,17.84,5.42,29.38,3.02,1.74,4.42,94.77,0.07,60.07,0.3,8.32
2022-11-28 02:00:00,2022-11-28 03:00:00,77.39,99.03,4.94,26.02,22.63,42.74,3.42,0.84,12.98,4.87,27.73,2.93,1.56,3.8,94.68,0.1,101.81,0.25,7.99
2022-11-28 03:00:00,2022-11-28 04:00:00,66.52,88.87,4.1,21.76,19.68,43.31,3.31,0.94,8.03,4.41,26.09,2.79,1.42,3.34,95.64,0.09,125.64,0.29,7.48
2022-11-28 04:00:00,2022-11-28 05:00:00,62.24,86.59,4.0,21.37,19.39,43.36,3.14,0.84,8.37,4.09,24.78,2.69,1.17,2.99,96.23,0.06,145.33,0.29,7.05
2022-11-28 05:00:00,2022-11-28 06:00:00,62.87,82.04,8.89,25.93,25.79,41.97,2.99,0.86,6.0,3.85,23.75,1.95,0.78,2.73,96.3,0.09,112.67,0.21,6.55
2022-11-28 06:00:00,2022-11-28 07:00:00,60.35,82.5,20.14,40.5,42.69,38.34,3.16,1.04,2.85,3.85,23.03,2.52,1.23,2.57,97.35,0.07,45.88,10.79,6.67
2022-11-28 07:00:00,2022-11-28 08:00:00,70.54,95.23,16.55,39.2,39.08,39.17,3.76,1.06,6.65,4.57,23.24,1.86,0.97,2.85,92.07,0.3,136.29,56.38,8.23
2022-11-28 08:00:00,2022-11-28 09:00:00,85.97,119.06,10.43,38.41,33.68,40.35,5.42,1.0,21.14,5.32,24.24,2.5,1.44,3.34,84.77,0.4,167.34,142.25,10.59
2022-11-28 09:00:00,2022-11-28 10:00:00,99.27,123.84,6.64,32.29,27.34,41.66,8.54,1.03,43.13,5.54,24.52,2.58,1.46,3.37,73.64,0.27,224.74,357.65,13.5
2022-11-28 10:00:00,2022-11-28 11:00:00,94.9,122.63,4.06,31.3,24.73,42.21,15.16,0.82,55.27,5.33,24.29,2.67,1.06,3.2,61.93,0.27,294.03,470.74,17.06
2022-11-28 11:00:00,2022-11-28 12:00:00,87.14,121.93,3.92,30.73,24.3,42.3,15.66,0.78,64.2,5.11,24.22,2.76,1.39,3.05,49.88,0.18,155.68,524.03,20.68
2022-11-28 12:00:00,2022-11-28 13:00:00,85.27,119.78,3.71,30.22,23.87,42.31,15.84,0.8,72.24,4.9,25.18,2.87,1.45,3.18,45.08,0.28,325.44,514.73,22.19
2022-11-28 13:00:00,2022-11-28 14:00:00,87.2,114.95,3.26,25.0,20.72,43.25,17.33,0.74,80.16,4.61,25.61,1.83,0.9,3.12,43.6,0.3,258.47,455.17,22.62
2022-11-28 14:00:00,2022-11-28 15:00:00,82.91,112.83,3.14,24.84,20.54,43.25,18.06,0.93,83.62,4.31,26.08,2.59,0.69,2.97,41.95,0.37,307.44,359.94,22.5
2022-11-28 15:00:00,2022-11-28 16:00:00,77.85,109.38,3.22,27.82,22.19,42.82,15.15,0.92,79.05,4.11,26.83,2.6,1.02,2.86,45.55,0.17,328.5,176.07,21.66
2022-11-28 16:00:00,2022-11-28 17:00:00,82.1,118.07,3.11,28.27,22.34,42.74,12.33,0.78,67.81,4.1,27.67,2.68,1.21,2.88,55.47,0.05,181.97,35.77,18.93
2022-11-28 17:00:00,2022-11-28 18:00:00,94.28,130.42,5.66,79.72,51.78,36.39,8.25,1.04,27.24,4.72,28.93,3.22,1.53,3.3,68.33,0.06,127.38,1.53,15.8
2022-11-28 18:00:00,2022-11-28 19:00:00,97.88,140.9,13.29,86.06,61.35,34.39,6.24,1.21,8.53,6.59,32.37,3.42,1.6,5.17,77.58,0.11,165.98,0.4,14.28
2022-11-28 19:00:00,2022-11-28 20:00:00,101.81,154.74,17.75,73.29,58.19,35.09,5.49,0.9,9.0,7.95,36.47,2.66,2.01,7.43,83.15,0.07,79.81,0.34,12.9
2022-11-28 20:00:00,2022-11-28 21:00:00,111.38,164.87,11.34,64.46,48.28,37.03,5.14,1.11,11.93,8.69,37.95,3.59,2.98,8.07,85.86,0.11,131.45,0.26,12.04
2022-11-28 21:00:00,2022-11-28 22:00:00,111.86,163.77,14.28,56.45,46.41,37.48,4.77,1.05,8.75,8.86,37.92,3.56,2.59,8.05,89.0,0.16,133.36,0.28,11.35
2022-11-28 22:00:00,2022-11-28 23:00:00,108.38,158.22,7.3,38.57,31.22,40.83,4.36,0.91,12.67,8.54,37.0,3.49,2.44,7.63,91.35,0.13,115.86,0.32,10.61
2022-11-28 23:00:00,2022-11-29 00:00:00,101.81,139.26,5.64,32.05,26.41,41.86,4.14,0.86,13.92,7.88,35.06,3.39,2.52,6.79,92.3,0.07,90.44,0.32,10.14
2022-11-29 00:00:00,2022-11-29 01:00:00,87.03,130.81,4.68,27.19,23.04,42.64,3.97,0.87,11.59,7.08,32.8,3.25,1.63,5.79,92.88,0.06,112.66,0.27,9.87
2022-11-29 01:00:00,2022-11-29 02:00:00,81.6,116.17,6.36,27.03,24.32,42.28,3.69,0.93,10.62,6.42,30.97,2.37,1.24,5.0,94.01,0.07,178.12,0.33,9.18
2022-11-29 02:00:00,2022-11-29 03:00:00,74.7,106.19,4.38,24.05,21.14,43.06,3.38,0.82,6.85,5.82,29.06,2.27,1.09,4.34,95.59,0.07,184.61,0.33,8.82
2022-11-29 03:00:00,2022-11-29 04:00:00,72.34,91.97,4.56,24.47,21.5,42.93,3.22,0.7,6.84,5.38,27.43,2.91,1.6,3.87,95.65,0.07,213.17,0.34,8.74
2022-11-29 04:00:00,2022-11-29 05:00:00,67.79,93.41,5.1,23.3,21.31,42.96,3.12,0.8,2.74,5.14,26.1,2.82,1.33,3.54,95.27,0.07,207.21,0.32,8.23
2022-11-29 05:00:00,2022-11-29 06:00:00,70.5,91.4,14.94,29.46,32.59,40.56,3.15,0.9,0.66,4.96,25.12,2.73,1.26,3.32,95.88,0.09,100.84,0.34,7.86
2022-11-29 06:00:00,2022-11-29 07:00:00,70.21,97.96,26.14,34.69,44.48,37.91,3.31,0.9,0.87,5.09,24.52,2.65,1.4,3.19,96.16,0.07,87.31,10.29,7.45
2022-11-29 07:00:00,2022-11-29 08:00:00,83.19,115.94,24.32,38.27,44.9,37.67,3.89,0.93,2.25,5.88,24.74,2.61,1.08,3.34,92.0,0.22,125.89,54.49,9.0
2022-11-29 08:00:00,2022-11-29 09:00:00,96.75,145.67,13.81,39.14,36.82,39.59,5.33,1.01,16.41,6.78,25.77,2.3,1.36,3.82,83.92,0.4,148.83,135.75,11.91
2022-11-29 09:00:00,2022-11-29 10:00:00,107.3,141.39,7.46,33.5,28.65,41.39,11.21,1.08,33.87,6.99,26.39,2.41,1.43,3.96,75.18,0.21,282.8,352.33,14.61
2022-11-29 10:00:00,2022-11-29 11:00:00,102.9,141.43,5.51,33.09,26.86,41.78,13.06,0.97,48.8,6.75,26.08,2.84,1.6,3.76,63.17,0.14,314.57,460.83,18.13
2022-11-29 11:00:00,2022-11-29 12:00:00,89.26,137.55,4.0,29.24,23.58,42.45,14.51,1.04,67.09,6.37,26.19,2.96,1.59,3.58,53.1,0.16,259.09,504.82,20.96
2022-11-29 12:00:00,2022-11-29 13:00:00,92.76,130.93,4.11,28.28,23.16,42.45,15.34,0.97,78.52,5.92,26.41,3.03,1.17,3.45,45.03,0.25,310.72,507.3,22.37
2022-11-29 13:00:00,2022-11-29 14:00:00,82.78,121.82,3.49,25.78,21.32,42.8,12.68,1.0,80.51,5.47,26.54,3.04,1.53,3.3,43.0,0.25,324.29,473.37,23.02
2022-11-29 14:00:00,2022-11-29 15:00:00,80.87,113.7,3.52,22.93,19.83,43.32,12.79,0.81,84.24,5.03,26.94,3.04,1.48,3.13,41.01,0.34,323.97,384.76,22.94
2022-11-29 15:00:00,2022-11-29 16:00:00,76.21,105.71,3.88,25.82,21.67,42.9,13.38,0.71,80.68,4.51,27.48,3.0,1.41,2.93,39.55,0.22,328.78,198.14,22.5
2022-11-29 16:00:00,2022-11-29 17:00:00,69.82,97.69,3.62,26.75,21.95,42.83,13.5,0.78,75.8,4.17,28.21,3.04,1.4,2.87,50.11,0.13,341.79,30.55,19.64
2022-11-29 17:00:00,2022-11-29 18:00:00,70.01,100.73,5.34,57.38,39.64,39.01,10.86,0.95,45.74,4.23,28.91,3.2,1.48,3.11,63.04,0.05,46.23,1.41,16.74
2022-11-29 18:00:00,2022-11-29 19:00:00,87.4,123.91,8.04,64.34,45.54,37.52,8.56,0.85,32.88,4.95,31.21,3.39,1.82,4.19,71.65,0.06,81.86,0.68,14.98
2022-11-29 19:00:00,2022-11-29 20:00:00,97.89,134.56,9.24,66.38,47.6,37.24,6.61,0.8,21.88,6.02,33.42,2.69,1.08,5.08,78.28,0.07,142.52,0.54,13.89
2022-11-29 20:00:00,2022-11-29 21:00:00,105.37,149.22,6.77,58.31,41.29,38.72,5.98,0.89,19.97,7.0,34.67,3.62,2.25,5.5,83.31,0.11,197.49,0.42,13.18
2022-11-29 21:00:00,2022-11-29 22:00:00,101.16,142.62,15.31,60.81,49.56,36.89,5.12,1.0,3.04,7.76,35.7,3.67,2.11,6.08,87.27,0.08,104.7,0.4,12.35
2022-11-29 22:00:00,2022-11-29 23:00:00,113.52,143.18,11.89,49.82,40.94,38.74,4.79,0.95,6.69,8.8,36.62,3.64,2.29,6.64,88.94,0.06,88.94,0.37,11.81
2022-11-29 23:00:00,2022-11-30 00:00:00,106.67,140.38,6.4,34.14,28.13,41.46,4.48,0.8,10.55,8.7,35.67,3.12,2.2,6.27,91.78,0.12,126.47,0.35,11.34
2022-11-30 00:00:00,2022-11-30 01:00:00,96.45,128.54,8.46,30.02,27.62,41.64,4.25,0.79,5.61,7.93,33.76,3.02,1.94,5.5,93.4,0.07,94.47,0.39,10.81
2022-11-30 01:00:00,2022-11-30 02:00:00,89.64,118.69,4.87,25.25,22.16,42.8,3.97,0.67,5.41,7.26,32.25,3.39,2.04,4.9,93.83,0.07,103.34,0.39,10.47
2022-11-30 02:00:00,2022-11-30 03:00:00,86.23,110.6,4.42,24.14,21.2,43.01,3.78,0.73,5.27,6.7,30.84,2.48,1.41,4.39,94.97,0.05,117.9,0.4,10.2
2022-11-30 03:00:00,2022-11-30 04:00:00,81.74,102.42,3.99,21.49,19.45,43.41,3.83,0.68,10.39,6.17,29.63,3.24,1.73,3.98,94.9,0.07,225.68,0.36,9.94
2022-11-30 04:00:00,2022-11-30 05:00:00,73.56,94.47,7.56,27.31,25.45,41.99,3.62,0.76,2.32,5.83,28.31,2.35,0.82,3.6,95.77,0.07,196.95,0.43,9.64
2022-11-30 05:00:00,2022-11-30 06:00:00,74.06,94.98,8.35,25.68,25.22,42.16,3.33,0.7,1.22,5.99,27.49,3.08,1.22,3.45,95.51,0.05,58.99,0.37,9.29
2022-11-30 06:00:00,2022-11-30 07:00:00,68.37,95.26,27.27,35.37,45.76,37.62,3.53,0.85,0.08,5.71,26.56,2.97,1.55,3.26,95.48,0.09,102.36,10.07,9.27
2022-11-30 07:00:00,2022-11-30 08:00:00,64.72,119.28,23.01,35.55,42.39,38.49,4.01,1.03,2.17,5.78,26.7,2.91,1.38,3.54,90.38,0.25,124.14,51.8,10.76
2022-11-30 08:00:00,2022-11-30 09:00:00,71.74,145.91,9.89,34.51,31.17,40.86,7.16,0.94,23.21,6.33,27.41,2.2,1.04,3.88,81.28,0.24,281.28,143.02,13.54
2022-11-30 09:00:00,2022-11-30 10:00:00,86.96,143.32,5.18,31.14,25.55,42.07,12.62,0.96,42.86,6.56,27.34,3.01,0.84,3.81,70.04,0.3,320.91,377.19,16.57
2022-11-30 10:00:00,2022-11-30 11:00:00,84.68,135.5,3.9,29.84,23.82,42.53,12.87,0.85,53.74,6.36,26.85,3.07,1.64,3.58,58.38,0.28,314.81,432.43,19.67
2022-11-30 11:00:00,2022-11-30 12:00:00,81.19,124.93,3.1,27.88,22.12,42.99,15.75,0.84,61.59,5.91,26.53,3.11,1.2,3.37,51.77,0.27,301.22,510.15,21.91
2022-11-30 12:00:00,2022-11-30 13:00:00,78.71,119.3,3.59,26.75,21.92,42.94,20.87,0.87,76.01,5.52,26.59,3.1,1.18,3.28,45.79,0.29,307.58,520.72,23.25
2022-11-30 13:00:00,2022-11-30 14:00:00,76.27,113.04,3.57,24.85,20.9,43.09,17.28,0.97,79.64,5.12,27.03,3.12,1.54,3.17,42.99,0.28,299.12,495.16,24.16
2022-11-30 14:00:00,2022-11-30 15:00:00,70.05,111.29,3.69,24.68,20.9,43.12,14.94,0.95,77.82,4.69,27.57,3.05,1.29,3.02,42.48,0.23,325.91,390.71,24.45
2022-11-30 15:00:00,2022-11-30 16:00:00,67.16,106.21,3.61,23.62,20.27,43.27,15.34,0.58,79.22,4.33,28.38,3.01,0.89,2.89,46.13,0.31,318.97,186.77,23.13
2022-11-30 16:00:00,2022-11-30 17:00:00,64.68,101.22,3.71,26.08,21.66,42.92,14.64,0.51,68.86,4.28,29.1,3.09,1.43,2.9,54.94,0.06,324.65,32.21,20.92
2022-11-30 17:00:00,2022-11-30 18:00:00,67.66,105.12,7.09,65.25,45.25,37.87,11.75,1.0,35.56,4.36,30.01,3.25,1.17,3.19,68.01,0.06,123.24,1.63,17.91
2022-11-30 18:00:00,2022-11-30 19:00:00,72.36,111.78,11.46,74.29,53.6,35.95,8.52,1.33,16.09,4.8,32.85,2.55,1.21,4.5,75.5,0.11,134.24,0.6,16.14
2022-11-30 19:00:00,2022-11-30 20:00:00,83.08,123.82,13.44,72.5,54.26,35.92,7.12,0.75,9.15,5.84,36.64,3.24,1.85,6.26,80.55,0.06,208.28,0.46,15.25
2022-11-30 20:00:00,2022-11-30 21:00:00,89.2,136.88,21.62,71.56,60.41,34.52,6.12,1.21,3.15,7.16,39.96,3.41,2.56,7.69,84.25,0.07,119.92,0.36,14.46
2022-11-30 21:00:00,2022-11-30 22:00:00,93.06,144.44,14.37,54.06,45.22,37.6,5.34,1.08,4.57,8.05,41.72,3.92,3.17,8.51,89.3,0.09,96.9,0.4,13.41
2022-11-30 22:00:00,2022-11-30 23:00:00,89.21,137.36,9.36,43.3,35.41,39.91,5.41,1.01,11.84,8.12,41.12,3.92,3.13,8.24,90.53,0.07,105.5,0.35,12.8
2022-11-30 23:00:00,2022-12-01 00:00:00,82.68,127.03,7.65,34.68,29.44,41.23,5.15,0.91,12.34,7.7,39.44,2.91,2.25,7.51,91.49,0.07,109.05,0.41,12.16
