From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Xylene (ug/m3)
2020-11-15 07:00:00,2020-11-15 08:00:00,34.89,56.63,2.4,13.81,16.21,0.67,36.75,1.32,,,0.71,
2020-11-15 08:00:00,2020-11-15 09:00:00,56.98,89.85,2.17,13.95,16.11,0.54,36.75,2.36,,,0.89,
2020-11-15 09:00:00,2020-11-15 10:00:00,64.77,101.56,2.25,13.74,15.99,0.52,37.25,1.78,,,0.59,
2020-11-15 10:00:00,2020-11-15 11:00:00,42.48,68.23,2.29,13.4,15.69,0.5,34.25,1.4,,,0.44,
2020-11-15 11:00:00,2020-11-15 12:00:00,40.52,65.39,1.96,13.53,15.49,0.53,33.0,1.1,,,0.43,
2020-11-15 12:00:00,2020-11-15 13:00:00,32.19,52.69,2.22,13.34,15.56,0.45,31.75,0.79,,,0.4,
2020-11-15 13:00:00,2020-11-15 14:00:00,19.98,34.3,2.41,13.24,15.65,0.45,32.25,0.68,,,0.38,
2020-11-15 14:00:00,2020-11-15 15:00:00,13.78,25.12,2.21,13.35,15.56,0.47,33.5,0.64,,,0.39,
2020-11-15 15:00:00,2020-11-15 16:00:00,11.21,21.31,2.08,13.27,15.28,0.42,31.5,0.64,,,0.39,
2020-11-15 16:00:00,2020-11-15 17:00:00,12.81,23.71,2.47,13.4,15.88,0.41,33.75,0.61,,,0.37,
2020-11-15 17:00:00,2020-11-15 18:00:00,15.02,26.98,2.75,13.37,16.13,0.45,33.25,0.77,,,0.41,
2020-11-15 18:00:00,2020-11-15 19:00:00,27.44,45.65,2.5,14.04,16.54,0.51,33.5,1.0,,,0.57,
2020-11-15 19:00:00,2020-11-15 20:00:00,27.28,45.19,2.24,14.62,16.86,0.63,33.5,1.54,,,1.1,
2020-11-15 20:00:00,2020-11-15 21:00:00,35.09,57.29,2.54,14.3,16.83,0.54,35.75,1.98,,,1.16,
2020-11-15 21:00:00,2020-11-15 22:00:00,49.1,77.63,2.86,14.66,17.52,0.75,38.0,2.17,,,1.29,
2020-11-15 22:00:00,2020-11-15 23:00:00,84.58,131.33,2.79,14.11,16.9,0.41,37.0,2.76,,,1.68,
2020-11-15 23:00:00,2020-11-16 00:00:00,80.46,125.2,2.31,13.6,15.92,0.7,36.0,2.0,,,1.02,
2020-11-16 00:00:00,2020-11-16 01:00:00,62.09,97.95,2.4,13.8,16.21,0.51,35.25,1.27,,,0.54,
2020-11-16 01:00:00,2020-11-16 02:00:00,46.77,74.65,2.49,13.96,16.46,0.43,35.0,1.13,,,0.45,
2020-11-16 02:00:00,2020-11-16 03:00:00,45.25,72.27,2.41,14.06,16.47,0.59,37.25,1.27,,,0.52,
2020-11-16 03:00:00,2020-11-16 04:00:00,35.64,57.98,2.71,13.85,16.56,0.62,36.0,1.28,,,0.54,
2020-11-16 04:00:00,2020-11-16 05:00:00,40.17,64.77,2.44,13.58,16.02,0.48,36.0,1.05,,,0.5,
2020-11-16 05:00:00,2020-11-16 06:00:00,37.11,60.15,2.34,13.71,16.05,0.59,36.25,1.21,,,0.6,
2020-11-16 06:00:00,2020-11-16 07:00:00,33.9,55.36,2.22,13.89,16.12,0.56,36.25,1.54,,,0.84,
2020-11-16 07:00:00,2020-11-16 08:00:00,34.35,55.73,1.98,14.01,15.98,0.65,36.0,2.13,,,0.97,
2020-11-16 08:00:00,2020-11-16 09:00:00,49.16,78.22,2.85,13.65,16.5,0.48,37.0,2.9,,,0.81,
2020-11-16 09:00:00,2020-11-16 10:00:00,51.6,81.92,2.29,13.74,16.02,0.4,35.0,2.09,,,0.58,
2020-11-16 10:00:00,2020-11-16 11:00:00,50.0,79.16,2.81,13.55,16.37,0.55,32.25,1.29,,,0.46,
2020-11-16 11:00:00,2020-11-16 12:00:00,28.66,47.38,2.74,13.26,16.0,0.48,33.25,0.88,,,0.41,
2020-11-16 12:00:00,2020-11-16 13:00:00,19.44,33.83,2.71,13.39,16.1,0.36,30.75,0.83,,,0.39,
2020-11-16 13:00:00,2020-11-16 14:00:00,23.01,39.07,2.29,13.34,15.63,0.59,32.5,0.78,,,0.37,
2020-11-16 14:00:00,2020-11-16 15:00:00,19.05,33.07,2.3,13.41,15.71,0.47,35.25,0.7,,,0.35,
2020-11-16 15:00:00,2020-11-16 16:00:00,21.16,36.29,2.47,13.45,15.92,0.37,33.25,0.64,,,0.36,
2020-11-16 16:00:00,2020-11-16 17:00:00,14.76,26.7,2.64,13.37,16.0,0.57,34.5,0.68,,,0.35,
2020-11-16 17:00:00,2020-11-16 18:00:00,19.77,34.06,2.44,13.53,15.97,0.56,34.75,0.69,,,0.4,
2020-11-16 18:00:00,2020-11-16 19:00:00,14.14,26.04,2.33,13.99,16.32,0.66,34.0,0.92,,,0.55,
2020-11-16 19:00:00,2020-11-16 20:00:00,31.1,50.96,2.67,14.14,16.8,0.65,35.75,1.49,,,0.94,
2020-11-16 20:00:00,2020-11-16 21:00:00,44.38,71.61,2.71,14.74,17.44,0.53,35.25,2.42,,,1.35,
2020-11-16 21:00:00,2020-11-16 22:00:00,70.19,109.88,2.65,13.91,16.57,0.52,36.75,2.42,,,1.41,
2020-11-16 22:00:00,2020-11-16 23:00:00,58.2,91.82,2.02,13.88,15.83,0.61,34.5,1.53,,,1.0,
2020-11-16 23:00:00,2020-11-17 00:00:00,56.21,88.83,2.05,14.06,16.11,0.52,35.33,1.17,,,0.7,
2020-11-17 00:00:00,2020-11-17 01:00:00,35.56,57.71,2.68,13.73,16.41,0.56,34.75,1.12,,,0.62,
2020-11-17 01:00:00,2020-11-17 02:00:00,41.95,67.7,2.81,13.89,16.7,0.62,35.75,1.18,,,0.59,
2020-11-17 02:00:00,2020-11-17 03:00:00,48.89,78.02,2.78,13.92,16.7,0.51,36.25,1.27,,,0.64,
2020-11-17 03:00:00,2020-11-17 04:00:00,42.8,68.71,2.05,13.76,15.81,0.51,36.0,1.29,,,0.62,
2020-11-17 04:00:00,2020-11-17 05:00:00,42.01,67.53,2.47,13.58,16.06,0.52,36.0,1.52,,,0.65,
2020-11-17 05:00:00,2020-11-17 06:00:00,43.49,69.73,2.71,14.02,16.71,0.64,36.25,1.81,,,0.57,
2020-11-17 06:00:00,2020-11-17 07:00:00,53.02,84.01,2.38,13.99,16.37,0.45,36.0,1.49,,,0.53,
2020-11-17 07:00:00,2020-11-17 08:00:00,44.16,70.73,2.08,13.9,15.98,0.52,36.25,1.7,,,0.65,
2020-11-17 08:00:00,2020-11-17 09:00:00,44.31,71.02,2.72,13.79,16.52,0.52,36.25,1.97,,,0.62,
2020-11-17 09:00:00,2020-11-17 10:00:00,38.59,62.39,2.42,13.54,15.97,0.39,34.0,1.6,,,0.48,
2020-11-17 10:00:00,2020-11-17 11:00:00,36.87,59.82,2.52,13.61,16.13,0.5,32.25,1.19,,,0.45,
2020-11-17 11:00:00,2020-11-17 12:00:00,26.77,44.68,2.91,13.66,16.57,0.59,31.75,0.96,,,0.4,
2020-11-17 12:00:00,2020-11-17 13:00:00,27.05,44.9,2.4,13.51,15.91,0.41,30.0,0.79,,,0.4,
2020-11-17 13:00:00,2020-11-17 14:00:00,19.65,34.03,2.32,13.66,15.98,0.53,30.75,0.72,,,0.38,
2020-11-17 14:00:00,2020-11-17 15:00:00,26.41,43.95,3.0,13.56,16.56,0.42,30.0,0.68,,,0.37,
2020-11-17 15:00:00,2020-11-17 16:00:00,18.87,32.83,2.34,13.56,15.9,0.48,31.5,0.65,,,0.38,
2020-11-17 16:00:00,2020-11-17 17:00:00,21.1,36.13,2.38,13.4,15.79,0.37,29.75,0.78,,,0.38,
2020-11-17 17:00:00,2020-11-17 18:00:00,29.14,48.19,2.32,13.73,16.05,0.57,31.25,0.76,,,0.42,
2020-11-17 18:00:00,2020-11-17 19:00:00,22.32,37.87,3.17,13.98,17.16,0.58,32.5,1.04,,,0.54,
2020-11-17 19:00:00,2020-11-17 20:00:00,32.48,53.3,2.98,14.05,17.02,0.69,32.75,1.58,,,0.92,
2020-11-17 20:00:00,2020-11-17 21:00:00,31.4,51.66,2.61,14.33,16.95,0.61,35.5,2.28,,,1.73,
2020-11-17 21:00:00,2020-11-17 22:00:00,47.37,75.59,2.64,14.16,16.8,0.55,35.0,3.1,,,3.38,
2020-11-17 22:00:00,2020-11-17 23:00:00,52.56,83.33,2.72,14.29,17.01,0.52,34.75,2.77,,,2.92,
2020-11-17 23:00:00,2020-11-18 00:00:00,47.78,76.18,2.92,14.35,17.27,0.7,35.67,1.87,,,1.76,
2020-11-18 00:00:00,2020-11-18 01:00:00,44.37,71.1,2.88,14.47,17.35,0.58,35.25,2.21,,,1.61,
2020-11-18 01:00:00,2020-11-18 02:00:00,42.14,67.7,3.1,14.24,17.35,0.68,36.75,2.17,,,1.42,
2020-11-18 02:00:00,2020-11-18 03:00:00,43.48,69.72,2.81,14.4,17.2,0.51,35.0,2.28,,,1.52,
2020-11-18 03:00:00,2020-11-18 04:00:00,39.48,63.71,2.88,14.27,17.15,0.48,35.5,2.1,,,1.73,
2020-11-18 04:00:00,2020-11-18 05:00:00,38.29,61.88,2.48,13.75,16.23,0.53,37.5,1.58,,,0.99,
2020-11-18 05:00:00,2020-11-18 06:00:00,33.7,55.06,2.2,14.1,16.3,0.57,36.75,1.64,,,0.96,
2020-11-18 06:00:00,2020-11-18 07:00:00,28.57,47.97,2.39,13.89,16.28,0.55,37.75,1.81,,,1.07,
2020-11-18 07:00:00,2020-11-18 08:00:00,43.04,69.06,3.2,14.27,17.47,0.61,36.5,2.39,,,1.55,
2020-11-18 08:00:00,2020-11-18 09:00:00,47.63,76.16,2.65,14.13,16.78,0.61,35.0,3.21,,,1.5,
2020-11-18 09:00:00,2020-11-18 10:00:00,62.68,98.85,2.26,14.09,16.35,0.5,34.0,2.67,,,1.06,
2020-11-18 10:00:00,2020-11-18 11:00:00,45.58,73.06,2.35,13.75,16.11,0.4,31.25,1.51,,,0.69,
2020-11-18 11:00:00,2020-11-18 12:00:00,35.18,57.28,2.29,13.72,16.01,0.6,28.0,1.29,,,0.52,
2020-11-18 12:00:00,2020-11-18 13:00:00,,,,,,,,,,,,
2020-11-18 13:00:00,2020-11-18 14:00:00,,,,,,,,,,,,
2020-11-18 14:00:00,2020-11-18 15:00:00,,,,,,,,,,,,
2020-11-18 15:00:00,2020-11-18 16:00:00,,,,,,,,,,,,
2020-11-18 16:00:00,2020-11-18 17:00:00,,,,,,,,,,,,
2020-11-18 17:00:00,2020-11-18 18:00:00,,,,,,,,,,,,
2020-11-18 18:00:00,2020-11-18 19:00:00,,,,,,,,,,,,
2020-11-18 19:00:00,2020-11-18 20:00:00,,,,,,,,,,,,
2020-11-18 20:00:00,2020-11-18 21:00:00,,,,,,,,,,,,
2020-11-18 21:00:00,2020-11-18 22:00:00,,,,,,,,,,,,
2020-11-18 22:00:00,2020-11-18 23:00:00,,,,,,,,,,,,
2020-11-18 23:00:00,2020-11-19 00:00:00,,,,,,,,,,,,
2020-11-19 00:00:00,2020-11-19 01:00:00,,,,,,,,,,,,
2020-11-19 01:00:00,2020-11-19 02:00:00,,,,,,,,,,,,
2020-11-19 02:00:00,2020-11-19 03:00:00,,,,,,,,,,,,
2020-11-19 03:00:00,2020-11-19 04:00:00,,,,,,,,,,,,
2020-11-19 04:00:00,2020-11-19 05:00:00,,,,,,,,,,,,
2020-11-19 05:00:00,2020-11-19 06:00:00,,,,,,,,,,,,
2020-11-19 06:00:00,2020-11-19 07:00:00,,,,,,,,,,,,
2020-11-19 07:00:00,2020-11-19 08:00:00,,,,,,,,,,,,
2020-11-19 08:00:00,2020-11-19 09:00:00,,,,,,,,,,,,
2020-11-19 09:00:00,2020-11-19 10:00:00,,,,,,,,,,,,
2020-11-19 10:00:00,2020-11-19 11:00:00,14.54,22.19,,,,,37.0,0.57,,,0.29,
2020-11-19 11:00:00,2020-11-19 12:00:00,5.0,12.01,1.28,14.24,15.53,0.36,47.0,1.25,,,0.47,
2020-11-19 12:00:00,2020-11-19 13:00:00,5.0,12.01,2.01,13.99,16.0,0.35,45.25,1.17,,,0.42,
2020-11-19 13:00:00,2020-11-19 14:00:00,5.0,12.01,2.05,14.17,16.23,0.5,39.5,1.21,,,0.4,
2020-11-19 14:00:00,2020-11-19 15:00:00,5.71,13.07,1.96,14.03,15.98,0.62,38.25,1.04,,,0.41,
2020-11-19 15:00:00,2020-11-19 16:00:00,12.15,22.71,2.06,13.87,15.93,0.61,40.0,0.86,,,0.39,
2020-11-19 16:00:00,2020-11-19 17:00:00,13.85,25.31,2.29,13.74,16.04,0.56,38.5,0.79,,,0.38,
2020-11-19 17:00:00,2020-11-19 18:00:00,11.46,21.62,1.98,13.88,15.86,0.62,40.0,0.78,,,0.4,
2020-11-19 18:00:00,2020-11-19 19:00:00,9.71,19.09,2.26,13.64,15.91,0.45,38.0,0.87,,,0.45,
2020-11-19 19:00:00,2020-11-19 20:00:00,22.22,38.06,2.05,13.97,16.02,0.67,33.0,1.09,,,0.43,
2020-11-19 20:00:00,2020-11-19 21:00:00,37.89,61.25,1.98,13.86,15.83,0.65,30.25,1.6,,,0.47,
2020-11-19 21:00:00,2020-11-19 22:00:00,44.24,70.85,2.15,13.76,15.86,0.78,30.5,1.59,,,0.43,
2020-11-19 22:00:00,2020-11-19 23:00:00,41.42,66.58,2.19,14.15,16.34,0.57,32.75,2.08,,,1.01,
2020-11-19 23:00:00,2020-11-20 00:00:00,33.38,54.6,2.7,14.38,17.08,0.66,33.33,1.85,,,1.79,
2020-11-20 00:00:00,2020-11-20 01:00:00,41.84,67.64,2.49,14.01,16.51,0.61,32.5,2.2,,,1.24,
2020-11-20 01:00:00,2020-11-20 02:00:00,43.92,70.36,2.33,13.74,16.07,0.78,31.25,1.72,,,0.55,
2020-11-20 02:00:00,2020-11-20 03:00:00,48.11,76.75,2.78,14.26,17.05,0.64,38.75,1.71,,,0.47,
2020-11-20 03:00:00,2020-11-20 04:00:00,43.12,69.28,2.05,14.26,16.31,0.65,43.25,2.21,,,0.59,
2020-11-20 04:00:00,2020-11-20 05:00:00,40.03,64.53,2.52,14.01,16.53,0.73,41.75,1.94,,,0.51,
2020-11-20 05:00:00,2020-11-20 06:00:00,34.29,56.23,2.33,13.95,16.28,0.66,39.5,1.09,,,0.41,
2020-11-20 06:00:00,2020-11-20 07:00:00,33.3,54.45,1.87,13.93,15.77,0.66,37.5,1.13,,,0.45,
2020-11-20 07:00:00,2020-11-20 08:00:00,25.09,42.1,2.36,13.77,16.12,0.68,38.0,0.88,,,0.4,
2020-11-20 08:00:00,2020-11-20 09:00:00,25.08,42.1,2.18,13.98,16.16,0.69,38.75,0.96,,,0.4,
2020-11-20 09:00:00,2020-11-20 10:00:00,21.44,36.56,2.47,13.84,16.31,0.88,34.25,1.27,,,0.56,
2020-11-20 10:00:00,2020-11-20 11:00:00,30.27,50.6,2.25,13.74,16.0,0.65,34.67,1.39,,,0.56,
2020-11-20 11:00:00,2020-11-20 12:00:00,22.97,39.27,1.96,13.78,15.75,0.78,33.75,1.03,,,0.43,
2020-11-20 12:00:00,2020-11-20 13:00:00,17.32,30.49,2.23,13.95,16.17,0.78,32.25,0.82,,,0.38,
2020-11-20 13:00:00,2020-11-20 14:00:00,13.24,24.39,2.38,13.84,16.22,0.71,31.75,0.61,,,0.36,
2020-11-20 14:00:00,2020-11-20 15:00:00,9.69,19.06,2.19,13.82,16.02,0.73,30.5,0.57,,,0.35,
2020-11-20 15:00:00,2020-11-20 16:00:00,13.42,24.67,2.44,13.76,16.19,0.6,29.0,0.63,,,0.35,
2020-11-20 16:00:00,2020-11-20 17:00:00,27.2,45.38,2.25,13.84,16.09,0.62,31.0,0.97,,,0.36,
2020-11-20 17:00:00,2020-11-20 18:00:00,25.43,42.83,1.83,13.59,15.42,0.6,34.5,0.72,,,0.35,
2020-11-20 18:00:00,2020-11-20 19:00:00,26.23,43.94,1.64,13.77,15.41,0.59,39.0,1.17,,,0.55,
2020-11-20 19:00:00,2020-11-20 20:00:00,31.98,52.27,1.8,13.8,15.61,0.66,37.0,1.19,,,0.76,
2020-11-20 20:00:00,2020-11-20 21:00:00,,,,,,,,,,,,
2020-11-20 21:00:00,2020-11-20 22:00:00,,,,,,,,,,,,
2020-11-20 22:00:00,2020-11-20 23:00:00,,,,,,,,,,,,
2020-11-20 23:00:00,2020-11-21 00:00:00,,,,,,,,,,,,
2020-11-21 00:00:00,2020-11-21 01:00:00,,,,,,,,,,,,
2020-11-21 01:00:00,2020-11-21 02:00:00,,,,,,,,,,,,
2020-11-21 02:00:00,2020-11-21 03:00:00,,,,,,,,,,,,
2020-11-21 03:00:00,2020-11-21 04:00:00,,,,,,,,,,,,
2020-11-21 04:00:00,2020-11-21 05:00:00,,,,,,,,,,,,
2020-11-21 05:00:00,2020-11-21 06:00:00,,,,,,,,,,,,
2020-11-21 06:00:00,2020-11-21 07:00:00,,,,,,,,,,,,
2020-11-21 07:00:00,2020-11-21 08:00:00,,,,,,,,,,,,
2020-11-21 08:00:00,2020-11-21 09:00:00,,,,,,,,,,,,
2020-11-21 09:00:00,2020-11-21 10:00:00,,,,,,,,,,,,
2020-11-21 10:00:00,2020-11-21 11:00:00,182.47,278.22,2.21,14.72,16.93,0.31,33.0,0.16,,,0.21,
2020-11-21 11:00:00,2020-11-21 12:00:00,122.65,189.49,1.71,14.37,16.09,0.57,33.25,1.01,,,0.8,
2020-11-21 12:00:00,2020-11-21 13:00:00,,,,,,,,,,,,
2020-11-21 13:00:00,2020-11-21 14:00:00,,,,,,,,,,,,
2020-11-21 14:00:00,2020-11-21 15:00:00,,,,,,,,,,,,
2020-11-21 15:00:00,2020-11-21 16:00:00,,,,,,,,,,,,
2020-11-21 16:00:00,2020-11-21 17:00:00,,,,,,,,,,,,
2020-11-21 17:00:00,2020-11-21 18:00:00,,,,,,,,,,,,
2020-11-21 18:00:00,2020-11-21 19:00:00,,,,,,,,,,,,
2020-11-21 19:00:00,2020-11-21 20:00:00,,,,,,,,,,,,
2020-11-21 20:00:00,2020-11-21 21:00:00,,,,,,,,,,,,
2020-11-21 21:00:00,2020-11-21 22:00:00,,,,,,,,,,,,
2020-11-21 22:00:00,2020-11-21 23:00:00,,,,,,,,,,,,
2020-11-21 23:00:00,2020-11-22 00:00:00,,,,,,,,,,,,
2020-11-22 00:00:00,2020-11-22 01:00:00,,,,,,,,,,,,
2020-11-22 01:00:00,2020-11-22 02:00:00,,,,,,,,,,,,
2020-11-22 02:00:00,2020-11-22 03:00:00,,,,,,,,,,,,
2020-11-22 03:00:00,2020-11-22 04:00:00,,,,,,,,,,,,
2020-11-22 04:00:00,2020-11-22 05:00:00,,,,,,,,,,,,
2020-11-22 05:00:00,2020-11-22 06:00:00,,,,,,,,,,,,
2020-11-22 06:00:00,2020-11-22 07:00:00,,,,,,,,,,,,
2020-11-22 07:00:00,2020-11-22 08:00:00,,,,,,,,,,,,
2020-11-22 08:00:00,2020-11-22 09:00:00,,,,,,,,,,,,
2020-11-22 09:00:00,2020-11-22 10:00:00,,,,,,,,,,,,
2020-11-22 10:00:00,2020-11-22 11:00:00,,,,,,,,,,,,
2020-11-22 11:00:00,2020-11-22 12:00:00,,,,,,,,,,,,
2020-11-22 12:00:00,2020-11-22 13:00:00,,,,,,,,,,,,
2020-11-22 13:00:00,2020-11-22 14:00:00,,,,,,,,,,,,
2020-11-22 14:00:00,2020-11-22 15:00:00,,,,,,,,,,,,
2020-11-22 15:00:00,2020-11-22 16:00:00,25.75,43.13,2.51,13.54,16.04,0.66,31.75,0.76,,,0.35,
2020-11-22 16:00:00,2020-11-22 17:00:00,27.59,45.91,2.84,13.41,16.26,0.64,31.75,0.77,,,0.35,
2020-11-22 17:00:00,2020-11-22 18:00:00,27.28,45.47,2.43,13.21,15.64,0.52,34.0,0.62,,,0.35,
2020-11-22 18:00:00,2020-11-22 19:00:00,25.86,43.29,2.68,13.2,15.88,0.56,38.5,0.62,,,0.35,
2020-11-22 19:00:00,2020-11-22 20:00:00,22.88,38.84,2.66,13.4,16.06,0.54,39.0,0.91,,,0.38,
2020-11-22 20:00:00,2020-11-22 21:00:00,21.88,37.33,2.65,13.44,16.09,0.64,39.75,1.38,,,0.44,
2020-11-22 21:00:00,2020-11-22 22:00:00,37.84,61.19,2.74,13.64,16.38,0.69,38.25,1.77,,,0.49,
2020-11-22 22:00:00,2020-11-22 23:00:00,41.18,66.14,2.41,13.49,15.9,0.65,39.25,2.42,,,0.54,
2020-11-22 23:00:00,2020-11-23 00:00:00,34.94,56.8,2.33,13.56,15.89,0.65,37.0,2.48,,,0.51,
2020-11-23 00:00:00,2020-11-23 01:00:00,41.74,67.15,2.68,13.23,15.92,0.65,39.0,1.91,,,0.48,
2020-11-23 01:00:00,2020-11-23 02:00:00,38.96,62.91,2.67,13.46,16.12,0.68,41.5,1.38,,,0.48,
2020-11-23 02:00:00,2020-11-23 03:00:00,36.36,59.06,2.69,14.18,16.87,0.67,43.0,1.87,,,0.56,
2020-11-23 03:00:00,2020-11-23 04:00:00,36.91,59.88,2.93,13.81,16.74,0.65,41.5,1.84,,,0.55,
2020-11-23 04:00:00,2020-11-23 05:00:00,38.14,61.69,2.65,13.81,16.43,0.69,39.25,1.62,,,0.49,
2020-11-23 05:00:00,2020-11-23 06:00:00,39.55,63.84,3.11,13.74,16.85,0.72,37.75,1.67,,,0.48,
2020-11-23 06:00:00,2020-11-23 07:00:00,40.44,65.17,3.94,13.84,17.78,0.76,38.0,1.94,,,0.5,
2020-11-23 07:00:00,2020-11-23 08:00:00,,,,,,,,,,,,
2020-11-23 08:00:00,2020-11-23 09:00:00,,,,,,,,,,,,
2020-11-23 09:00:00,2020-11-23 10:00:00,,,,,,,,,,,,
2020-11-23 10:00:00,2020-11-23 11:00:00,50.32,79.99,,,,,33.0,2.04,,,1.05,
2020-11-23 11:00:00,2020-11-23 12:00:00,47.23,75.38,,,,,34.75,1.86,,,0.9,
2020-11-23 12:00:00,2020-11-23 13:00:00,46.76,74.69,,,,,37.75,1.78,,,0.66,
