From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ug/m3),NH3 (ug/m3),SO2 (ug/m3),CO (ug/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm),Xylene (ug/m3)
2023-02-09 22:00:00,2023-02-09 23:00:00,20.0,76.0,1.28,40.8,22.72,16.05,6.08,0.52,32.35,0.1,2.0,0.3,0.5,0.3,41.75,0.85,226.75,146.0,,26.15,0.0,
2023-02-09 23:00:00,2023-02-10 00:00:00,19.0,79.5,,22.05,11.5,16.4,7.5,0.33,53.15,0.1,1.8,0.3,0.38,0.22,41.0,1.52,214.0,153.75,,26.5,0.0,
2023-02-10 00:00:00,2023-02-10 01:00:00,17.25,65.25,,22.65,11.7,16.0,6.17,0.36,50.25,0.1,1.52,0.2,0.3,0.15,42.25,0.5,261.75,156.5,,23.0,0.0,
2023-02-10 01:00:00,2023-02-10 02:00:00,20.5,58.25,0.13,20.18,10.8,15.45,4.85,0.33,52.98,0.1,1.37,0.2,0.25,0.12,40.25,0.57,258.75,154.5,,22.92,0.0,
2023-02-10 02:00:00,2023-02-10 03:00:00,18.5,55.75,0.32,16.25,8.9,14.78,3.97,0.29,54.7,0.1,1.23,0.12,0.2,0.1,39.25,0.57,287.25,158.0,,22.77,0.0,
2023-02-10 03:00:00,2023-02-10 04:00:00,17.25,46.5,0.15,17.65,9.55,14.0,4.12,0.29,50.8,0.1,1.17,0.1,0.12,0.1,44.25,0.38,278.75,154.75,,22.07,0.0,
2023-02-10 04:00:00,2023-02-10 05:00:00,18.25,45.0,0.1,19.75,10.5,13.3,5.77,0.28,51.73,0.1,1.1,0.1,0.1,0.08,40.5,0.55,283.5,144.75,,22.23,0.0,
2023-02-10 05:00:00,2023-02-10 06:00:00,19.25,51.0,0.17,20.32,10.93,13.07,8.95,0.3,57.45,0.1,1.1,0.1,0.1,0.05,40.75,0.57,281.5,141.0,,22.13,0.0,
2023-02-10 06:00:00,2023-02-10 07:00:00,24.75,62.75,0.3,25.82,14.03,13.12,20.0,0.35,59.35,0.1,1.1,0.1,0.1,,40.25,0.57,293.75,148.0,,22.18,0.0,
2023-02-10 07:00:00,2023-02-10 08:00:00,40.0,95.5,0.45,29.0,15.78,13.03,17.83,0.45,64.42,0.1,1.1,0.1,0.1,0.03,42.0,0.55,234.0,167.5,,22.38,0.0,
2023-02-10 08:00:00,2023-02-10 09:00:00,45.25,125.25,0.77,27.4,15.2,13.68,21.73,0.49,72.05,0.1,1.15,0.1,0.12,0.03,36.25,0.65,263.75,255.25,,23.72,0.0,
2023-02-10 09:00:00,2023-02-10 10:00:00,50.25,134.0,1.12,22.45,12.9,13.58,29.55,0.42,81.2,0.1,1.25,0.1,0.17,0.1,28.0,1.48,240.75,350.25,,24.88,0.0,
2023-02-10 10:00:00,2023-02-10 11:00:00,41.0,125.75,0.75,19.03,10.73,13.68,22.6,0.32,71.38,0.1,1.3,0.1,0.17,0.1,21.0,1.55,237.0,409.0,,25.73,0.0,
2023-02-10 11:00:00,2023-02-10 12:00:00,24.25,92.75,1.07,16.8,9.8,12.82,10.62,0.23,59.6,0.1,1.3,0.1,0.2,0.12,15.0,1.42,246.75,444.5,,26.45,0.0,
2023-02-10 12:00:00,2023-02-10 13:00:00,10.0,59.0,0.97,16.6,9.62,12.55,7.1,0.22,57.88,0.1,1.3,0.12,0.15,0.12,14.25,1.6,265.75,444.75,,26.88,0.0,
2023-02-10 13:00:00,2023-02-10 14:00:00,9.5,59.5,0.57,17.17,9.6,12.6,4.9,0.2,58.45,0.1,1.4,0.1,0.17,0.1,13.25,1.7,259.25,406.5,,30.25,0.0,
2023-02-10 14:00:00,2023-02-10 15:00:00,8.25,73.25,0.57,17.88,10.0,12.68,2.07,0.18,53.38,0.05,1.5,0.1,0.17,0.15,10.25,1.82,268.0,332.5,,33.62,0.0,
2023-02-10 15:00:00,2023-02-10 16:00:00,8.75,72.0,0.68,18.85,10.57,12.35,1.65,0.18,51.67,0.03,1.6,0.1,0.2,0.15,10.0,1.9,270.0,285.75,,33.68,0.0,
2023-02-10 16:00:00,2023-02-10 17:00:00,7.5,69.5,0.55,21.2,11.72,12.03,2.08,0.21,52.55,0.03,1.7,0.12,0.18,0.1,11.0,1.6,277.0,139.75,,33.5,0.0,
2023-02-10 17:00:00,2023-02-10 18:00:00,5.5,69.75,0.55,26.4,14.5,11.0,2.58,0.34,50.62,0.05,1.7,0.17,0.2,0.1,14.75,0.9,269.25,123.5,,29.72,0.0,
2023-02-10 18:00:00,2023-02-10 19:00:00,11.5,67.0,3.15,64.7,36.98,8.85,4.05,1.13,27.0,0.12,1.5,0.2,0.23,0.12,23.75,0.22,147.75,180.5,,28.08,0.0,
2023-02-10 19:00:00,2023-02-10 20:00:00,33.0,101.5,7.35,80.8,48.97,7.85,4.1,1.2,13.43,0.2,1.9,0.35,0.55,0.32,28.75,0.28,282.75,174.75,,27.35,0.0,
2023-02-10 20:00:00,2023-02-10 21:00:00,33.5,107.75,7.45,67.65,42.05,8.28,5.22,0.99,14.0,0.2,2.25,0.47,0.75,0.45,33.5,0.43,287.5,152.75,,26.85,0.0,
2023-02-10 21:00:00,2023-02-10 22:00:00,39.75,102.5,1.1,54.35,29.82,9.68,4.5,0.66,24.02,0.2,2.3,0.5,0.7,0.4,37.25,0.32,278.75,151.0,,26.45,0.0,
2023-02-10 22:00:00,2023-02-10 23:00:00,25.0,74.0,0.27,29.58,15.95,11.38,4.35,0.34,39.0,0.15,2.08,0.43,0.62,0.35,34.75,0.78,257.5,153.75,,26.7,0.0,
2023-02-10 23:00:00,2023-02-11 00:00:00,18.75,62.75,0.15,26.62,14.18,11.3,4.28,0.3,41.2,0.1,1.78,0.27,0.4,0.22,35.75,0.62,282.75,156.0,,26.43,0.0,
2023-02-11 00:00:00,2023-02-11 01:00:00,18.0,56.0,0.25,24.9,13.43,11.55,5.08,0.28,37.5,0.1,1.52,0.25,0.3,0.18,38.5,0.47,300.25,150.5,,25.9,0.0,
2023-02-11 01:00:00,2023-02-11 02:00:00,16.25,46.25,0.27,24.43,13.15,11.22,5.12,0.26,33.55,0.1,1.4,0.2,0.27,0.1,40.5,0.5,285.0,151.75,,25.55,0.0,
2023-02-11 02:00:00,2023-02-11 03:00:00,10.5,47.25,0.37,28.77,15.62,10.73,5.75,0.26,27.65,0.1,1.3,0.17,0.2,0.1,42.0,0.35,285.5,150.25,,25.2,0.0,
2023-02-11 03:00:00,2023-02-11 04:00:00,11.25,46.75,0.35,34.02,18.38,10.75,5.58,0.29,20.8,0.1,1.2,0.15,0.2,0.1,50.25,0.17,272.75,154.5,,24.43,0.0,
2023-02-11 04:00:00,2023-02-11 05:00:00,17.5,46.5,0.4,40.12,21.7,10.72,5.4,0.31,16.25,0.1,1.23,0.15,0.2,0.1,55.25,0.2,268.25,151.0,,24.05,0.0,
2023-02-11 05:00:00,2023-02-11 06:00:00,16.25,50.75,0.62,38.3,20.9,10.85,4.95,0.32,17.17,0.08,1.22,0.2,0.2,0.1,57.75,0.2,260.25,154.75,,23.88,0.0,
2023-02-11 06:00:00,2023-02-11 07:00:00,18.5,51.0,10.6,46.75,33.5,9.18,4.68,0.49,12.23,0.1,1.25,0.17,0.2,0.1,60.75,0.15,226.75,153.0,,23.68,0.0,
2023-02-11 07:00:00,2023-02-11 08:00:00,22.75,72.0,9.97,46.8,33.02,10.38,8.07,0.56,14.98,0.1,1.32,0.2,0.2,0.1,52.75,0.45,296.5,171.0,,24.68,0.0,
2023-02-11 08:00:00,2023-02-11 09:00:00,26.5,107.75,11.45,44.93,33.2,11.1,13.12,0.62,20.6,0.1,1.4,0.2,0.3,0.12,46.75,0.95,304.25,248.25,,25.53,0.0,
2023-02-11 09:00:00,2023-02-11 10:00:00,37.0,146.0,5.65,27.85,19.4,12.83,12.38,0.45,35.0,0.1,1.5,0.2,0.3,0.18,40.25,1.55,298.25,319.5,,26.55,0.0,
2023-02-11 10:00:00,2023-02-11 11:00:00,24.25,104.75,3.12,22.2,14.35,12.95,9.0,0.48,38.35,0.1,1.5,0.2,0.3,0.1,38.0,1.35,316.0,378.0,,27.5,0.0,
2023-02-11 11:00:00,2023-02-11 12:00:00,12.0,87.5,2.53,20.9,13.17,13.9,6.7,0.42,44.2,0.1,1.5,0.2,0.3,0.1,38.25,1.28,324.25,452.75,,27.82,0.0,
2023-02-11 12:00:00,2023-02-11 13:00:00,11.5,87.25,2.12,23.02,13.97,14.95,7.45,0.48,48.83,0.1,1.5,0.22,0.3,0.12,41.5,1.22,338.25,470.0,,28.1,0.0,
2023-02-11 13:00:00,2023-02-11 14:00:00,24.0,102.5,2.95,28.0,17.3,18.4,9.8,0.66,55.8,0.1,1.58,0.25,0.3,0.12,39.25,1.45,168.5,425.75,,28.35,0.0,
2023-02-11 14:00:00,2023-02-11 15:00:00,40.25,124.25,1.93,23.65,14.15,16.43,5.75,0.54,56.1,0.1,1.65,0.3,0.3,0.15,34.25,1.38,26.67,354.25,,28.52,0.0,
2023-02-11 15:00:00,2023-02-11 16:00:00,40.75,135.75,1.7,22.47,13.35,14.97,5.17,0.47,58.83,0.1,1.75,0.3,0.3,0.15,33.5,1.05,184.0,299.0,,28.58,0.0,
2023-02-11 16:00:00,2023-02-11 17:00:00,31.75,131.25,1.75,24.93,14.7,13.87,4.55,0.46,56.3,0.1,1.8,0.3,0.3,0.1,29.5,0.9,345.5,172.75,,28.52,0.0,
2023-02-11 17:00:00,2023-02-11 18:00:00,34.0,140.0,1.75,39.17,22.27,11.95,4.45,0.67,45.6,0.1,1.9,0.38,0.35,0.17,32.5,0.5,157.25,172.5,,27.98,0.0,
2023-02-11 18:00:00,2023-02-11 19:00:00,38.33,170.0,31.97,90.07,73.87,6.9,5.47,1.67,15.17,0.17,2.53,1.0,0.73,0.47,46.0,0.1,176.33,177.33,,26.47,0.0,
2023-02-11 19:00:00,2023-02-11 20:00:00,61.0,235.5,144.12,103.35,172.12,3.55,10.77,3.8,12.18,0.3,3.95,1.9,1.53,1.0,54.25,0.12,173.25,184.5,,25.7,0.0,
2023-02-11 20:00:00,2023-02-11 21:00:00,109.5,361.0,97.58,83.47,123.75,7.53,10.07,3.21,13.35,0.53,5.68,2.65,2.58,1.98,60.0,0.2,248.5,185.0,,25.2,0.0,
2023-02-11 21:00:00,2023-02-11 22:00:00,126.0,387.0,55.5,79.67,87.5,12.07,8.2,2.64,11.52,0.6,5.97,2.65,2.7,2.02,62.0,0.2,288.25,188.5,,24.9,0.0,
2023-02-11 22:00:00,2023-02-11 23:00:00,128.75,357.5,72.55,78.72,100.9,8.72,9.88,2.83,12.2,0.6,6.03,2.35,2.55,1.88,63.0,0.25,268.75,189.25,,24.73,0.0,
2023-02-11 23:00:00,2023-02-12 00:00:00,160.0,378.25,123.58,73.95,139.78,5.25,8.42,3.05,12.43,0.6,6.03,2.1,2.45,1.73,66.75,0.33,281.0,183.25,,24.4,0.0,
2023-02-12 00:00:00,2023-02-12 01:00:00,128.0,340.0,21.8,58.42,48.83,14.88,2.85,1.05,9.18,0.6,5.58,1.9,2.38,1.65,64.5,0.4,275.75,189.75,,24.52,0.0,
2023-02-12 01:00:00,2023-02-12 02:00:00,61.75,197.5,1.1,42.25,23.35,16.3,2.35,0.48,12.5,0.43,4.15,1.33,1.73,1.15,60.5,0.48,285.5,183.5,,24.4,0.0,
2023-02-12 02:00:00,2023-02-12 03:00:00,39.75,137.5,0.33,30.42,16.48,16.68,1.98,0.35,21.1,0.33,3.03,0.93,1.15,0.78,55.5,0.45,267.25,189.5,,24.45,0.0,
2023-02-12 03:00:00,2023-02-12 04:00:00,30.25,142.5,0.25,34.62,18.62,15.9,1.05,0.37,20.25,0.2,2.3,0.65,0.82,0.55,61.0,0.38,251.5,195.5,,23.73,0.0,
2023-02-12 04:00:00,2023-02-12 05:00:00,31.0,151.5,0.33,31.95,17.27,15.35,0.78,0.33,24.2,0.15,1.85,0.43,0.6,0.38,57.75,0.22,261.5,188.75,,23.43,0.0,
2023-02-12 05:00:00,2023-02-12 06:00:00,30.5,126.5,0.28,34.77,18.73,14.55,0.97,0.37,23.85,0.1,1.6,0.35,0.47,0.3,56.75,0.28,263.0,190.5,,23.2,0.0,
2023-02-12 06:00:00,2023-02-12 07:00:00,33.0,127.0,0.7,47.25,25.7,13.75,1.4,0.53,18.92,0.1,1.48,0.33,0.38,0.27,58.75,0.3,271.75,185.25,,22.75,0.0,
2023-02-12 07:00:00,2023-02-12 08:00:00,50.5,154.25,9.75,53.62,36.45,11.57,1.35,0.73,17.73,0.1,1.42,0.3,0.35,0.25,58.0,0.3,252.0,178.75,,23.05,0.0,
2023-02-12 08:00:00,2023-02-12 09:00:00,65.75,194.75,6.3,43.98,28.5,13.18,3.62,0.7,29.1,0.2,1.5,0.3,0.4,0.25,42.0,0.47,282.75,227.5,,24.65,0.0,
2023-02-12 09:00:00,2023-02-12 10:00:00,62.5,205.75,5.15,34.38,22.45,14.28,5.12,0.62,48.27,0.2,1.58,0.3,0.47,0.28,32.25,0.7,166.33,298.5,,25.75,0.0,
2023-02-12 10:00:00,2023-02-12 11:00:00,59.75,198.5,2.18,24.33,14.7,14.8,10.2,0.49,58.45,0.2,1.5,0.3,0.35,0.25,33.0,1.12,86.0,377.0,,26.12,0.0,
2023-02-12 11:00:00,2023-02-12 12:00:00,51.25,180.0,3.12,29.35,18.2,16.07,42.9,0.51,62.85,0.2,1.37,0.22,0.3,0.2,33.75,1.0,87.25,402.0,,26.65,0.0,
2023-02-12 12:00:00,2023-02-12 13:00:00,60.25,190.75,2.55,26.75,16.28,15.45,24.2,0.43,67.95,0.2,1.3,0.22,0.3,0.17,25.5,1.05,98.0,402.0,,27.42,0.0,
2023-02-12 13:00:00,2023-02-12 14:00:00,45.25,157.5,1.6,22.02,13.05,13.95,6.58,0.38,70.12,0.1,1.38,0.22,0.3,0.2,20.25,1.35,97.0,361.75,,27.7,0.0,
2023-02-12 14:00:00,2023-02-12 15:00:00,32.75,124.0,1.23,20.62,11.95,12.88,3.75,0.34,70.58,0.1,1.38,0.22,0.3,0.15,21.0,1.27,247.5,314.0,,27.92,0.0,
2023-02-12 15:00:00,2023-02-12 16:00:00,29.0,110.5,1.23,23.32,13.42,12.55,2.78,0.36,71.7,0.1,1.35,0.2,0.3,0.15,21.75,1.25,348.0,266.0,,27.98,0.0,
2023-02-12 16:00:00,2023-02-12 17:00:00,30.0,113.0,0.97,25.15,14.15,12.23,2.53,0.38,71.18,0.1,1.35,0.2,0.25,0.17,22.25,1.1,317.5,154.5,,27.93,0.0,
2023-02-12 17:00:00,2023-02-12 18:00:00,31.25,117.5,0.88,38.18,21.02,11.45,1.95,0.52,56.65,0.1,1.4,0.2,0.3,0.2,22.0,0.83,315.75,145.5,,27.4,0.0,
2023-02-12 18:00:00,2023-02-12 19:00:00,27.5,126.5,0.23,54.83,29.38,11.17,2.02,0.72,43.03,0.1,1.5,0.3,0.35,0.28,27.5,0.6,289.75,136.5,,26.6,0.0,
2023-02-12 19:00:00,2023-02-12 20:00:00,35.5,136.75,0.55,55.9,30.23,11.73,3.93,0.85,41.83,0.12,1.68,0.3,0.4,0.3,24.5,0.82,293.0,141.25,,26.3,0.0,
2023-02-12 20:00:00,2023-02-12 21:00:00,46.25,146.5,3.17,72.38,41.08,10.82,2.9,0.99,27.23,0.2,1.75,0.3,0.47,0.3,31.5,0.45,259.5,141.5,,25.27,0.0,
2023-02-12 21:00:00,2023-02-12 22:00:00,45.75,139.75,5.12,70.55,41.7,10.43,2.25,0.78,20.73,0.2,1.88,0.33,0.55,0.3,33.0,0.3,252.25,147.0,,24.57,0.0,
2023-02-12 22:00:00,2023-02-12 23:00:00,36.75,116.75,1.32,49.25,27.27,11.12,0.95,0.45,27.7,0.2,1.78,0.3,0.5,0.3,27.25,0.75,288.0,145.75,,24.62,0.0,
2023-02-12 23:00:00,2023-02-13 00:00:00,20.33,94.33,0.27,34.2,18.4,10.87,1.1,0.34,44.8,0.17,1.6,0.27,0.37,0.23,24.33,1.13,302.0,148.0,,24.67,0.0,
2023-02-13 00:00:00,2023-02-13 01:00:00,18.5,91.5,0.4,29.27,15.68,10.8,2.52,0.3,46.55,0.1,1.42,0.2,0.3,0.15,30.75,0.85,276.25,152.5,,23.85,0.0,
2023-02-13 01:00:00,2023-02-13 02:00:00,17.0,80.25,0.4,25.05,13.62,11.55,4.17,0.26,52.28,0.1,1.3,0.15,0.2,0.12,33.5,0.9,289.25,159.75,,23.45,0.0,
2023-02-13 02:00:00,2023-02-13 03:00:00,16.0,73.67,0.25,18.73,10.13,11.9,4.67,0.25,59.8,0.1,1.2,0.13,0.2,0.1,34.33,1.0,291.0,155.33,,23.23,0.0,
2023-02-13 03:00:00,2023-02-13 04:00:00,14.75,70.75,0.18,20.05,10.78,11.6,4.35,0.26,58.43,0.1,1.1,0.1,0.12,0.08,34.5,1.18,297.75,153.5,,22.92,0.0,
2023-02-13 04:00:00,2023-02-13 05:00:00,18.0,69.5,,19.18,9.9,10.73,3.8,0.26,58.88,0.1,1.1,0.1,0.1,0.05,36.25,0.97,298.25,156.0,,22.6,0.0,
2023-02-13 05:00:00,2023-02-13 06:00:00,20.67,69.67,0.2,23.13,12.5,10.6,3.37,0.32,55.53,0.1,1.03,0.1,0.1,,40.0,0.67,287.67,156.67,,22.13,0.0,
2023-02-13 06:00:00,2023-02-13 07:00:00,29.67,80.33,0.6,30.53,16.7,11.27,4.93,0.55,53.67,0.1,1.0,0.1,0.1,,41.67,0.6,283.0,161.67,,21.9,0.0,
2023-02-13 07:00:00,2023-02-13 08:00:00,47.5,100.75,0.93,36.3,20.05,12.28,4.38,0.53,52.67,0.15,1.1,0.1,0.1,0.05,40.25,1.15,297.75,190.5,,22.15,0.0,
2023-02-13 08:00:00,2023-02-13 09:00:00,40.75,115.75,1.75,27.95,16.27,11.22,7.67,0.41,61.87,0.1,1.1,0.1,0.1,0.03,33.25,1.42,304.75,276.25,,22.8,0.0,
2023-02-13 09:00:00,2023-02-13 10:00:00,30.75,111.5,1.95,25.65,15.22,11.48,8.25,0.39,71.63,0.1,1.1,0.1,0.15,0.05,25.5,1.25,315.5,354.25,,23.55,0.0,
2023-02-13 10:00:00,2023-02-13 11:00:00,20.25,95.75,2.65,27.25,16.65,10.9,7.0,0.39,71.1,0.1,1.18,0.1,0.17,0.1,21.75,1.25,316.75,401.75,,24.22,0.0,
2023-02-13 11:00:00,2023-02-13 12:00:00,19.0,77.75,2.33,24.7,15.02,10.95,6.25,0.39,72.8,0.1,1.12,0.1,0.2,0.08,23.0,1.15,327.0,425.75,,24.67,0.0,
2023-02-13 12:00:00,2023-02-13 13:00:00,21.5,78.0,2.12,25.0,15.02,11.15,5.32,0.43,75.38,0.1,1.2,0.17,0.2,0.1,23.25,1.17,311.75,425.25,,25.3,0.0,
2023-02-13 13:00:00,2023-02-13 14:00:00,19.5,82.5,1.4,22.83,13.28,11.15,4.6,0.39,77.28,0.1,1.2,0.2,0.2,0.1,20.5,1.15,238.25,389.0,,25.95,0.0,
2023-02-13 14:00:00,2023-02-13 15:00:00,16.25,65.25,1.42,23.4,13.63,11.0,4.2,0.38,77.22,0.1,1.2,0.2,0.2,0.1,18.5,1.15,313.5,327.0,,26.48,0.0,
2023-02-13 15:00:00,2023-02-13 16:00:00,11.25,66.75,1.6,24.7,14.45,10.2,3.28,0.37,75.15,0.1,1.35,0.2,0.23,0.12,14.5,1.3,317.0,266.5,,26.8,0.0,
2023-02-13 16:00:00,2023-02-13 17:00:00,11.25,65.75,1.92,31.83,18.52,9.72,2.83,0.4,71.92,0.1,1.4,0.25,0.3,0.15,15.75,0.93,329.0,154.0,,26.8,0.0,
2023-02-13 17:00:00,2023-02-13 18:00:00,10.0,62.75,1.72,48.9,27.38,9.52,3.45,0.64,62.27,0.1,1.42,0.35,0.32,0.2,17.75,0.67,319.5,143.5,,25.1,0.0,
2023-02-13 18:00:00,2023-02-13 19:00:00,19.0,88.75,3.95,86.33,49.15,9.65,4.53,1.34,32.88,0.12,1.62,0.5,0.55,0.32,30.5,0.17,227.5,137.75,,19.93,0.0,
2023-02-13 19:00:00,2023-02-13 20:00:00,52.75,149.5,83.22,124.03,133.62,5.68,28.45,2.76,15.27,0.23,2.42,0.72,0.95,0.6,43.0,0.17,256.25,145.25,,18.75,0.0,
2023-02-13 20:00:00,2023-02-13 21:00:00,106.5,246.25,77.92,106.12,119.8,6.62,47.52,3.23,13.93,0.38,3.83,1.27,1.57,1.1,50.5,0.15,265.5,150.0,,18.33,0.0,
2023-02-13 21:00:00,2023-02-13 22:00:00,131.75,291.5,147.72,101.4,174.05,3.17,21.82,4.38,15.08,0.55,5.07,1.97,2.3,1.7,53.0,0.22,217.75,141.25,,18.1,0.0,
2023-02-13 22:00:00,2023-02-13 23:00:00,141.75,326.5,116.3,96.8,146.1,5.0,10.67,3.28,14.3,0.7,6.03,2.32,2.98,2.15,48.5,0.33,272.5,140.0,,18.2,0.0,
