From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3)
2017-12-09 07:00:00,2017-12-09 08:00:00,210.25,317.75,63.78,20.88,8.22,1.39,5.15,1.53
2017-12-09 08:00:00,2017-12-09 09:00:00,182.25,309.75,50.65,23.7,13.52,1.56,17.75,1.48
2017-12-09 09:00:00,2017-12-09 10:00:00,244.25,377.25,54.27,27.7,19.45,1.28,71.2,1.38
2017-12-09 10:00:00,2017-12-09 11:00:00,167.0,288.0,53.87,29.8,19.05,0.63,120.43,1.05
2017-12-09 11:00:00,2017-12-09 12:00:00,131.25,265.0,34.6,30.2,164.65,0.86,138.05,0.78
2017-12-09 12:00:00,2017-12-09 13:00:00,110.75,261.75,85.8,32.8,146.8,0.91,95.68,0.55
2017-12-09 13:00:00,2017-12-09 14:00:00,125.75,292.75,80.88,29.03,126.95,0.77,115.52,0.53
2017-12-09 14:00:00,2017-12-09 15:00:00,104.5,249.75,32.25,23.0,27.58,0.43,167.2,0.38
2017-12-09 15:00:00,2017-12-09 16:00:00,56.25,144.25,23.72,18.5,10.75,0.32,155.17,0.2
2017-12-09 16:00:00,2017-12-09 17:00:00,42.75,105.25,34.3,16.67,6.6,0.42,102.63,0.2
2017-12-09 17:00:00,2017-12-09 18:00:00,86.0,184.0,75.7,17.58,13.8,1.24,29.27,0.63
2017-12-09 18:00:00,2017-12-09 19:00:00,237.0,414.5,92.0,25.18,22.03,2.04,4.77,2.2
2017-12-09 19:00:00,2017-12-09 20:00:00,324.25,530.25,79.27,23.88,20.15,3.0,3.8,2.57
2017-12-09 20:00:00,2017-12-09 21:00:00,281.75,434.75,81.15,21.35,13.47,1.72,7.48,1.97
2017-12-09 21:00:00,2017-12-09 22:00:00,110.75,209.75,71.2,16.15,8.6,0.96,13.65,0.73
2017-12-09 22:00:00,2017-12-09 23:00:00,81.5,171.25,61.25,21.15,8.88,1.28,9.33,0.85
2017-12-09 23:00:00,2017-12-10 00:00:00,122.0,205.5,38.7,20.7,6.48,1.26,12.37,0.85
2017-12-10 00:00:00,2017-12-10 01:00:00,119.67,186.0,37.7,18.28,4.6,1.15,8.25,0.75
2017-12-10 01:00:00,2017-12-10 02:00:00,110.0,173.5,32.3,16.9,4.05,0.99,15.73,0.58
2017-12-10 02:00:00,2017-12-10 03:00:00,94.5,160.75,30.9,16.22,3.45,0.93,21.3,0.48
2017-12-10 03:00:00,2017-12-10 04:00:00,94.0,157.5,34.43,18.37,2.8,0.97,11.1,0.55
2017-12-10 04:00:00,2017-12-10 05:00:00,96.0,170.25,34.0,18.72,3.33,0.89,5.15,0.5
2017-12-10 05:00:00,2017-12-10 06:00:00,100.0,186.5,42.28,18.0,4.03,1.24,3.9,0.85
2017-12-10 06:00:00,2017-12-10 07:00:00,123.75,213.0,30.67,18.7,2.9,1.3,3.23,1.23
2017-12-10 07:00:00,2017-12-10 08:00:00,133.25,215.5,32.25,18.33,3.3,1.4,4.48,1.18
2017-12-10 08:00:00,2017-12-10 09:00:00,157.75,271.25,48.68,21.47,12.05,1.47,15.8,1.33
2017-12-10 09:00:00,2017-12-10 10:00:00,215.25,357.25,58.7,27.07,20.35,1.59,47.8,1.5
2017-12-10 10:00:00,2017-12-10 11:00:00,177.25,308.75,37.08,28.15,18.15,0.48,108.42,0.9
2017-12-10 11:00:00,2017-12-10 12:00:00,92.25,183.25,14.65,25.1,8.6,0.47,146.8,0.38
2017-12-10 12:00:00,2017-12-10 13:00:00,53.0,119.0,19.4,26.67,8.3,0.49,155.45,0.3
2017-12-10 13:00:00,2017-12-10 14:00:00,60.5,136.5,19.92,22.15,8.67,0.54,168.9,0.3
2017-12-10 14:00:00,2017-12-10 15:00:00,71.25,165.0,44.05,23.32,70.6,0.67,141.83,0.38
2017-12-10 15:00:00,2017-12-10 16:00:00,82.25,180.75,22.3,21.88,14.42,0.53,170.13,0.3
2017-12-10 16:00:00,2017-12-10 17:00:00,61.5,125.25,22.08,19.07,6.27,0.64,132.5,0.3
2017-12-10 17:00:00,2017-12-10 18:00:00,80.5,161.25,42.23,19.57,10.27,1.02,69.32,0.6
2017-12-10 18:00:00,2017-12-10 19:00:00,158.0,298.75,79.9,23.1,16.02,2.21,6.65,1.45
2017-12-10 19:00:00,2017-12-10 20:00:00,256.25,481.25,81.68,21.05,12.6,2.05,3.37,1.25
2017-12-10 20:00:00,2017-12-10 21:00:00,170.25,337.75,95.95,23.67,13.6,2.34,3.27,1.95
2017-12-10 21:00:00,2017-12-10 22:00:00,177.5,319.0,84.23,21.78,10.55,1.74,1.88,1.5
2017-12-10 22:00:00,2017-12-10 23:00:00,149.25,282.5,75.1,23.55,8.25,1.8,2.65,1.45
2017-12-10 23:00:00,2017-12-11 00:00:00,163.5,329.5,66.13,22.8,6.48,1.54,2.57,1.13
2017-12-11 00:00:00,2017-12-11 01:00:00,150.75,302.75,53.83,20.53,5.75,1.61,3.57,1.1
2017-12-11 01:00:00,2017-12-11 02:00:00,154.0,269.0,40.4,19.95,4.8,1.84,3.53,1.05
2017-12-11 02:00:00,2017-12-11 03:00:00,159.0,265.75,36.27,19.88,4.45,1.88,3.1,1.1
2017-12-11 03:00:00,2017-12-11 04:00:00,161.0,274.0,33.1,20.68,3.68,1.77,7.3,1.13
2017-12-11 04:00:00,2017-12-11 05:00:00,143.75,234.25,31.65,20.92,3.82,1.46,2.62,1.05
2017-12-11 05:00:00,2017-12-11 06:00:00,133.0,199.5,33.4,21.22,3.3,1.2,2.82,0.92
2017-12-11 06:00:00,2017-12-11 07:00:00,148.5,211.25,30.15,20.45,2.5,1.29,2.35,0.9
2017-12-11 07:00:00,2017-12-11 08:00:00,149.5,221.25,34.33,20.8,3.35,1.28,4.65,1.05
2017-12-11 08:00:00,2017-12-11 09:00:00,157.0,260.0,45.28,21.33,10.83,1.32,11.77,1.12
2017-12-11 09:00:00,2017-12-11 10:00:00,194.25,329.25,68.0,27.42,20.4,1.64,24.5,1.38
2017-12-11 10:00:00,2017-12-11 11:00:00,203.0,325.5,43.57,31.22,24.45,0.62,108.68,1.3
2017-12-11 11:00:00,2017-12-11 12:00:00,129.0,217.25,33.55,31.2,15.3,0.81,135.5,0.7
2017-12-11 12:00:00,2017-12-11 13:00:00,92.75,156.75,17.33,26.87,17.9,0.49,155.62,0.35
2017-12-11 13:00:00,2017-12-11 14:00:00,57.0,100.5,16.97,21.13,18.17,0.46,184.92,0.2
2017-12-11 14:00:00,2017-12-11 15:00:00,59.75,103.0,16.93,19.5,14.98,0.42,188.67,0.2
2017-12-11 15:00:00,2017-12-11 16:00:00,57.75,97.5,15.4,20.28,14.42,0.39,,0.2
2017-12-11 16:00:00,2017-12-11 17:00:00,56.25,105.0,29.02,18.8,12.6,0.6,48.3,0.23
2017-12-11 17:00:00,2017-12-11 18:00:00,72.25,137.75,58.65,19.9,16.4,1.26,21.65,0.6
2017-12-11 18:00:00,2017-12-11 19:00:00,129.25,219.0,87.47,20.07,37.57,2.15,5.58,1.05
2017-12-11 19:00:00,2017-12-11 20:00:00,218.75,347.25,91.67,21.18,36.15,2.45,4.5,1.78
2017-12-11 20:00:00,2017-12-11 21:00:00,232.0,419.5,83.22,24.08,67.22,2.95,4.73,1.73
2017-12-11 21:00:00,2017-12-11 22:00:00,238.0,448.0,85.75,22.38,79.38,2.28,4.52,1.82
2017-12-11 22:00:00,2017-12-11 23:00:00,174.75,332.0,72.17,22.7,67.83,2.28,4.12,1.4
2017-12-11 23:00:00,2017-12-12 00:00:00,155.25,288.75,51.88,23.35,18.82,2.4,4.4,1.58
2017-12-12 00:00:00,2017-12-12 01:00:00,181.0,325.5,38.97,17.95,14.77,2.62,4.58,1.53
2017-12-12 01:00:00,2017-12-12 02:00:00,177.0,355.25,50.83,20.3,15.97,2.15,4.07,1.75
2017-12-12 02:00:00,2017-12-12 03:00:00,160.25,320.5,52.15,19.7,24.93,1.98,3.7,1.53
2017-12-12 03:00:00,2017-12-12 04:00:00,166.0,308.75,56.48,21.65,26.68,2.22,11.1,1.68
2017-12-12 04:00:00,2017-12-12 05:00:00,174.75,291.0,49.78,22.55,21.17,2.3,3.52,2.15
2017-12-12 05:00:00,2017-12-12 06:00:00,176.5,264.75,51.5,22.57,21.55,1.58,3.97,1.75
2017-12-12 06:00:00,2017-12-12 07:00:00,156.5,237.25,44.12,20.5,14.05,1.47,3.78,1.77
2017-12-12 07:00:00,2017-12-12 08:00:00,255.5,347.75,56.27,24.4,10.88,2.44,5.57,2.0
2017-12-12 08:00:00,2017-12-12 09:00:00,454.25,519.5,33.6,18.05,21.1,1.12,17.3,1.33
2017-12-12 09:00:00,2017-12-12 10:00:00,153.25,252.0,92.78,26.38,29.82,1.63,12.35,1.38
2017-12-12 10:00:00,2017-12-12 11:00:00,159.25,353.75,68.7,28.8,33.95,0.71,34.03,1.45
2017-12-12 11:00:00,2017-12-12 12:00:00,115.5,268.0,69.2,31.1,41.85,1.12,49.4,1.05
2017-12-12 12:00:00,2017-12-12 13:00:00,107.0,224.75,34.3,23.63,70.25,0.53,65.78,0.43
2017-12-12 13:00:00,2017-12-12 14:00:00,48.0,125.5,23.32,17.82,17.67,0.46,79.27,0.2
2017-12-12 14:00:00,2017-12-12 15:00:00,45.0,118.25,23.93,16.72,33.78,0.52,79.45,0.2
2017-12-12 15:00:00,2017-12-12 16:00:00,52.25,141.5,25.28,16.83,30.52,0.49,73.28,0.2
2017-12-12 16:00:00,2017-12-12 17:00:00,49.25,134.0,29.9,15.35,17.95,0.6,60.77,0.25
2017-12-12 17:00:00,2017-12-12 18:00:00,67.75,190.75,57.83,16.2,9.12,0.9,26.25,0.48
2017-12-12 18:00:00,2017-12-12 19:00:00,114.5,315.5,75.8,17.88,14.1,1.34,6.68,0.95
2017-12-12 19:00:00,2017-12-12 20:00:00,158.0,344.5,78.25,17.8,21.45,1.94,4.27,1.43
2017-12-12 20:00:00,2017-12-12 21:00:00,177.25,342.5,77.38,21.02,41.75,1.91,4.9,1.53
2017-12-12 21:00:00,2017-12-12 22:00:00,156.75,317.5,61.78,19.0,44.77,2.14,3.85,1.28
2017-12-12 22:00:00,2017-12-12 23:00:00,157.5,338.5,61.32,18.58,36.13,1.72,3.83,1.22
2017-12-12 23:00:00,2017-12-13 00:00:00,137.5,294.75,54.37,19.28,23.43,2.16,3.87,1.38
2017-12-13 00:00:00,2017-12-13 01:00:00,146.0,300.25,57.35,18.68,30.82,1.91,4.38,1.8
2017-12-13 01:00:00,2017-12-13 02:00:00,142.25,265.0,52.08,17.6,55.38,1.32,4.05,1.15
2017-12-13 02:00:00,2017-12-13 03:00:00,122.75,258.75,43.6,17.57,26.5,1.5,4.0,1.03
2017-12-13 03:00:00,2017-12-13 04:00:00,125.5,245.5,28.28,20.45,17.3,1.57,13.87,1.25
2017-12-13 04:00:00,2017-12-13 05:00:00,127.25,258.25,28.93,19.9,21.27,1.65,3.77,1.1
2017-12-13 05:00:00,2017-12-13 06:00:00,137.0,255.0,41.77,20.5,28.9,1.83,4.0,1.42
2017-12-13 06:00:00,2017-12-13 07:00:00,170.5,279.25,39.5,21.45,22.55,1.86,4.27,1.6
2017-12-13 07:00:00,2017-12-13 08:00:00,185.75,278.75,37.83,21.72,16.35,1.7,3.82,1.85
2017-12-13 08:00:00,2017-12-13 09:00:00,189.25,314.5,57.1,22.7,24.07,1.74,6.33,1.62
2017-12-13 09:00:00,2017-12-13 10:00:00,218.75,399.0,42.25,24.65,21.5,1.25,18.58,1.2
2017-12-13 10:00:00,2017-12-13 11:00:00,156.75,301.5,48.5,29.18,35.45,0.79,42.4,1.0
2017-12-13 11:00:00,2017-12-13 12:00:00,137.75,305.75,35.3,31.8,60.75,0.94,69.85,0.82
2017-12-13 12:00:00,2017-12-13 13:00:00,120.5,284.0,76.0,31.17,137.23,0.95,46.27,0.58
2017-12-13 13:00:00,2017-12-13 14:00:00,123.5,302.0,70.35,26.4,149.17,1.01,45.22,0.55
2017-12-13 14:00:00,2017-12-13 15:00:00,116.75,290.5,56.13,25.42,101.5,0.87,66.2,0.43
2017-12-13 15:00:00,2017-12-13 16:00:00,108.25,244.25,38.75,24.03,52.77,0.83,81.38,0.4
2017-12-13 16:00:00,2017-12-13 17:00:00,108.5,214.75,31.25,21.65,22.72,0.92,74.3,0.4
2017-12-13 17:00:00,2017-12-13 18:00:00,132.0,243.75,49.75,23.33,21.07,1.42,36.52,0.6
2017-12-13 18:00:00,2017-12-13 19:00:00,196.0,384.5,92.62,27.82,32.3,2.88,4.83,1.58
2017-12-13 19:00:00,2017-12-13 20:00:00,311.5,668.0,90.95,23.65,31.97,2.39,4.25,1.97
2017-12-13 20:00:00,2017-12-13 21:00:00,254.75,516.75,91.83,25.1,24.05,2.36,6.98,1.75
2017-12-13 21:00:00,2017-12-13 22:00:00,187.0,328.5,56.5,22.65,13.52,1.54,20.38,1.02
2017-12-13 22:00:00,2017-12-13 23:00:00,130.5,236.0,55.98,22.93,9.43,1.65,14.97,0.95
2017-12-13 23:00:00,2017-12-14 00:00:00,142.0,248.25,61.55,23.98,5.95,1.84,5.5,1.1
2017-12-14 00:00:00,2017-12-14 01:00:00,175.67,277.0,56.78,22.95,18.6,1.85,4.7,1.05
2017-12-14 01:00:00,2017-12-14 02:00:00,180.75,302.25,49.43,21.62,17.62,1.73,4.07,0.92
2017-12-14 02:00:00,2017-12-14 03:00:00,173.0,278.25,37.02,23.08,11.6,1.78,4.95,1.08
2017-12-14 03:00:00,2017-12-14 04:00:00,169.5,256.0,38.0,23.05,11.4,2.1,13.1,1.05
2017-12-14 04:00:00,2017-12-14 05:00:00,170.25,281.75,54.23,24.2,16.92,2.32,3.97,1.67
2017-12-14 05:00:00,2017-12-14 06:00:00,171.0,281.25,42.67,23.72,12.62,1.78,3.65,1.6
2017-12-14 06:00:00,2017-12-14 07:00:00,165.25,245.25,32.7,23.27,8.27,1.67,4.45,1.25
2017-12-14 07:00:00,2017-12-14 08:00:00,204.5,287.0,38.73,23.85,9.5,2.0,4.27,1.45
2017-12-14 08:00:00,2017-12-14 09:00:00,222.75,365.0,78.85,25.28,35.85,2.3,5.02,1.75
2017-12-14 09:00:00,2017-12-14 10:00:00,224.75,400.0,73.13,25.25,46.2,1.69,16.38,1.53
2017-12-14 10:00:00,2017-12-14 11:00:00,136.0,265.0,63.05,29.25,72.95,0.78,27.9,1.2
2017-12-14 11:00:00,2017-12-14 12:00:00,132.75,260.0,60.0,31.85,27.7,0.89,48.97,0.65
2017-12-14 12:00:00,2017-12-14 13:00:00,107.5,236.25,97.13,26.43,129.5,0.75,26.67,0.33
2017-12-14 13:00:00,2017-12-14 14:00:00,113.75,285.0,100.5,24.6,,0.8,19.55,0.3
2017-12-14 14:00:00,2017-12-14 15:00:00,110.0,259.5,108.0,25.8,,0.8,27.5,0.3
2017-12-14 15:00:00,2017-12-14 16:00:00,112.0,240.75,121.88,23.55,,0.82,15.83,0.3
2017-12-14 16:00:00,2017-12-14 17:00:00,116.75,249.25,125.67,18.5,,0.9,8.27,0.35
2017-12-14 17:00:00,2017-12-14 18:00:00,133.25,272.0,118.08,20.75,,1.74,5.6,0.6
2017-12-14 18:00:00,2017-12-14 19:00:00,210.75,392.0,107.75,23.0,151.47,2.08,6.05,1.5
2017-12-14 19:00:00,2017-12-14 20:00:00,243.5,436.25,90.0,20.95,60.95,1.87,5.12,1.35
2017-12-14 20:00:00,2017-12-14 21:00:00,171.25,293.5,56.62,19.98,28.05,1.07,25.28,0.88
2017-12-14 21:00:00,2017-12-14 22:00:00,106.5,186.75,44.6,18.22,16.5,0.84,33.6,0.45
2017-12-14 22:00:00,2017-12-14 23:00:00,91.75,161.75,55.57,17.95,14.85,0.88,20.6,0.43
2017-12-14 23:00:00,2017-12-15 00:00:00,114.0,189.0,47.95,20.82,11.95,1.56,12.05,0.67
2017-12-15 00:00:00,2017-12-15 01:00:00,166.33,245.5,44.58,21.15,13.05,1.6,5.95,0.92
2017-12-15 01:00:00,2017-12-15 02:00:00,173.25,248.0,40.82,21.2,11.6,1.9,4.65,0.95
2017-12-15 02:00:00,2017-12-15 03:00:00,183.25,258.5,37.48,22.15,10.28,1.99,5.05,1.35
2017-12-15 03:00:00,2017-12-15 04:00:00,165.75,252.75,42.2,21.95,12.4,1.53,13.0,1.25
2017-12-15 04:00:00,2017-12-15 05:00:00,144.5,251.5,46.62,20.17,15.8,1.73,3.87,1.02
2017-12-15 05:00:00,2017-12-15 06:00:00,165.5,270.75,41.52,21.55,10.62,2.16,3.37,1.65
2017-12-15 06:00:00,2017-12-15 07:00:00,164.5,291.25,35.1,20.65,10.0,1.84,4.47,1.45
2017-12-15 07:00:00,2017-12-15 08:00:00,159.5,262.0,35.77,22.18,8.5,1.97,4.73,1.55
2017-12-15 08:00:00,2017-12-15 09:00:00,215.75,334.5,56.2,23.45,18.6,1.75,7.33,1.63
2017-12-15 09:00:00,2017-12-15 10:00:00,263.0,395.0,66.55,25.45,21.52,1.55,16.08,1.42
2017-12-15 10:00:00,2017-12-15 11:00:00,196.5,314.25,62.75,31.38,27.2,0.8,35.68,1.15
2017-12-15 11:00:00,2017-12-15 12:00:00,158.75,275.75,97.75,31.1,53.5,1.27,39.68,1.1
2017-12-15 12:00:00,2017-12-15 13:00:00,155.0,289.5,62.57,33.9,60.52,1.15,58.12,0.97
2017-12-15 13:00:00,2017-12-15 14:00:00,137.25,267.5,54.35,26.95,63.6,0.92,63.93,0.75
2017-12-15 14:00:00,2017-12-15 15:00:00,112.0,240.5,54.43,25.57,62.68,0.93,63.05,0.6
2017-12-15 15:00:00,2017-12-15 16:00:00,118.25,277.75,59.32,24.4,65.52,0.96,62.87,0.6
2017-12-15 16:00:00,2017-12-15 17:00:00,129.75,327.5,67.05,22.03,49.25,1.2,37.35,0.75
2017-12-15 17:00:00,2017-12-15 18:00:00,141.5,338.25,73.9,21.3,27.45,1.15,14.98,1.03
2017-12-15 18:00:00,2017-12-15 19:00:00,145.75,289.5,66.58,17.52,16.28,0.76,14.8,0.7
2017-12-15 19:00:00,2017-12-15 20:00:00,125.25,227.0,79.53,18.45,18.42,1.77,8.53,1.2
2017-12-15 20:00:00,2017-12-15 21:00:00,180.0,299.25,64.75,18.05,12.65,1.39,9.9,0.8
2017-12-15 21:00:00,2017-12-15 22:00:00,132.25,257.0,74.55,20.38,15.08,2.3,4.7,1.17
2017-12-15 22:00:00,2017-12-15 23:00:00,166.5,321.25,78.67,19.25,14.6,1.29,3.82,0.88
2017-12-15 23:00:00,2017-12-16 00:00:00,133.5,245.5,73.12,22.42,18.82,1.43,4.07,0.8
2017-12-16 00:00:00,2017-12-16 01:00:00,145.5,230.25,65.98,22.62,26.7,1.88,4.65,0.95
2017-12-16 01:00:00,2017-12-16 02:00:00,166.0,253.75,62.18,20.8,24.55,1.81,4.1,1.0
2017-12-16 02:00:00,2017-12-16 03:00:00,158.5,253.75,49.87,21.98,16.1,1.94,4.25,1.15
2017-12-16 03:00:00,2017-12-16 04:00:00,154.0,241.5,42.93,21.68,12.17,2.14,13.2,1.25
2017-12-16 04:00:00,2017-12-16 05:00:00,155.75,269.5,51.12,22.8,13.08,2.03,3.5,1.58
2017-12-16 05:00:00,2017-12-16 06:00:00,164.25,306.0,58.92,23.7,13.45,1.82,3.4,1.6
2017-12-16 06:00:00,2017-12-16 07:00:00,168.0,246.0,58.3,23.0,12.15,1.35,3.9,1.75
2017-12-16 07:00:00,2017-12-16 08:00:00,166.75,231.75,44.55,24.73,12.03,1.57,4.83,1.45
2017-12-16 08:00:00,2017-12-16 09:00:00,216.25,300.0,46.35,23.82,19.25,1.44,11.65,1.25
2017-12-16 09:00:00,2017-12-16 10:00:00,194.5,291.0,40.33,23.15,20.1,1.11,33.08,1.0
2017-12-16 10:00:00,2017-12-16 11:00:00,128.5,229.5,38.02,23.93,19.45,0.5,43.55,0.75
2017-12-16 11:00:00,2017-12-16 12:00:00,102.25,203.75,42.6,24.95,65.6,0.69,42.12,0.53
2017-12-16 12:00:00,2017-12-16 13:00:00,87.0,184.5,30.33,26.3,43.93,0.57,58.03,0.35
2017-12-16 13:00:00,2017-12-16 14:00:00,74.25,160.0,34.8,21.92,55.32,0.59,61.7,0.33
2017-12-16 14:00:00,2017-12-16 15:00:00,73.25,170.0,30.8,21.55,42.28,0.59,76.2,0.3
2017-12-16 15:00:00,2017-12-16 16:00:00,76.0,162.75,23.9,21.22,22.7,0.55,80.17,0.3
2017-12-16 16:00:00,2017-12-16 17:00:00,74.0,161.25,24.05,19.0,18.18,0.63,71.23,0.28
2017-12-16 17:00:00,2017-12-16 18:00:00,87.25,179.0,44.47,18.68,13.57,0.93,30.73,0.48
2017-12-16 18:00:00,2017-12-16 19:00:00,158.5,261.25,77.32,22.25,21.25,2.23,6.1,1.1
2017-12-16 19:00:00,2017-12-16 20:00:00,282.75,421.75,81.12,24.52,21.33,2.67,4.73,2.12
2017-12-16 20:00:00,2017-12-16 21:00:00,249.25,404.5,81.8,19.1,17.52,1.58,4.7,1.55
2017-12-16 21:00:00,2017-12-16 22:00:00,119.0,224.75,73.55,18.9,20.38,1.18,5.83,0.8
2017-12-16 22:00:00,2017-12-16 23:00:00,118.25,201.75,53.15,21.38,13.5,1.32,6.8,0.82
2017-12-16 23:00:00,2017-12-17 00:00:00,153.0,241.0,37.57,21.85,9.55,1.23,7.82,0.9
2017-12-17 00:00:00,2017-12-17 01:00:00,125.25,202.75,26.05,18.98,8.78,0.89,11.22,0.68
2017-12-17 01:00:00,2017-12-17 02:00:00,107.0,179.5,26.22,16.2,8.55,0.74,12.58,0.43
2017-12-17 02:00:00,2017-12-17 03:00:00,84.75,152.75,41.32,15.2,11.45,0.7,9.4,0.43
2017-12-17 03:00:00,2017-12-17 04:00:00,79.0,137.25,40.15,16.08,21.7,0.68,18.27,0.58
2017-12-17 04:00:00,2017-12-17 05:00:00,74.25,134.0,35.82,16.17,18.63,0.76,11.6,0.6
2017-12-17 05:00:00,2017-12-17 06:00:00,77.5,147.5,30.2,17.38,14.33,0.66,16.75,0.53
2017-12-17 06:00:00,2017-12-17 07:00:00,82.25,148.0,34.32,18.8,13.95,0.85,14.65,1.0
2017-12-17 07:00:00,2017-12-17 08:00:00,107.75,171.75,31.35,18.75,16.8,0.75,13.45,0.68
2017-12-17 08:00:00,2017-12-17 09:00:00,122.75,191.5,22.7,18.53,13.95,0.64,21.32,0.62
2017-12-17 09:00:00,2017-12-17 10:00:00,106.25,176.5,38.3,18.15,53.65,0.63,24.05,0.45
2017-12-17 10:00:00,2017-12-17 11:00:00,104.75,193.5,43.47,23.45,90.35,0.44,27.1,0.5
2017-12-17 11:00:00,2017-12-17 12:00:00,101.75,196.0,23.0,24.6,15.5,0.52,38.27,0.43
2017-12-17 12:00:00,2017-12-17 13:00:00,82.75,175.75,27.03,26.37,17.7,0.46,37.6,0.4
2017-12-17 13:00:00,2017-12-17 14:00:00,68.5,188.75,34.87,20.22,45.05,0.38,31.3,0.35
2017-12-17 14:00:00,2017-12-17 15:00:00,51.25,180.5,23.5,16.68,13.15,0.31,35.4,0.23
2017-12-17 15:00:00,2017-12-17 16:00:00,41.75,138.5,22.25,17.25,10.25,0.36,36.7,0.23
2017-12-17 16:00:00,2017-12-17 17:00:00,50.0,157.0,36.8,15.33,20.05,0.59,28.7,0.35
2017-12-17 17:00:00,2017-12-17 18:00:00,72.5,269.25,72.4,16.98,34.03,1.02,11.38,0.55
2017-12-17 18:00:00,2017-12-17 19:00:00,131.25,408.0,87.48,18.88,29.62,2.0,5.23,1.05
2017-12-17 19:00:00,2017-12-17 20:00:00,192.25,447.5,86.45,21.25,24.72,2.48,5.0,1.62
2017-12-17 20:00:00,2017-12-17 21:00:00,194.25,433.25,89.87,22.93,19.25,1.56,4.55,1.4
2017-12-17 21:00:00,2017-12-17 22:00:00,155.5,290.75,78.8,23.12,15.15,2.47,4.6,1.35
2017-12-17 22:00:00,2017-12-17 23:00:00,196.25,334.75,62.18,25.18,9.97,2.41,4.83,1.65
2017-12-17 23:00:00,2017-12-18 00:00:00,218.0,349.5,51.53,26.43,7.47,2.48,4.7,1.7
2017-12-18 00:00:00,2017-12-18 01:00:00,216.0,329.5,46.0,24.18,8.25,2.23,4.78,1.47
2017-12-18 01:00:00,2017-12-18 02:00:00,176.0,269.5,44.13,20.03,9.9,1.63,5.52,1.17
2017-12-18 02:00:00,2017-12-18 03:00:00,122.75,201.75,45.15,19.85,9.95,1.53,5.25,0.93
2017-12-18 03:00:00,2017-12-18 04:00:00,124.75,197.5,58.95,24.82,14.5,1.47,8.77,1.05
2017-12-18 04:00:00,2017-12-18 05:00:00,125.75,187.75,51.95,25.27,11.0,1.72,4.8,1.4
2017-12-18 05:00:00,2017-12-18 06:00:00,138.75,201.5,41.35,24.88,6.5,2.12,4.88,1.3
2017-12-18 06:00:00,2017-12-18 07:00:00,191.5,267.25,41.65,27.35,6.8,2.44,5.25,2.3
2017-12-18 07:00:00,2017-12-18 08:00:00,252.5,335.25,45.28,27.1,10.05,2.06,4.93,2.25
2017-12-18 08:00:00,2017-12-18 09:00:00,180.75,270.0,51.35,24.77,20.45,1.33,9.7,1.48
