From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (),Benzene (ug/m3),Toluene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),RF (mm)
2017-12-10 12:00:00,2017-12-10 13:00:00,188.0,,5.57,54.3,33.43,14.6,1.27,55.25,3.02,2.15,36.5,0.1,121.0,297.75,753.25,-0.3,31.2,0.0
2017-12-10 13:00:00,2017-12-10 14:00:00,88.0,,6.2,60.15,37.05,16.08,1.14,54.28,3.45,3.35,35.5,0.1,121.0,265.25,753.0,-0.3,31.37,0.0
2017-12-10 14:00:00,2017-12-10 15:00:00,84.25,,2.35,41.27,23.83,14.52,0.67,72.02,4.68,4.5,36.0,0.13,121.0,179.25,752.75,-0.3,31.2,0.0
2017-12-10 15:00:00,2017-12-10 16:00:00,82.75,,2.1,48.98,27.75,14.97,0.84,61.6,1.7,1.25,36.25,0.1,121.0,84.25,752.0,-0.3,31.23,0.0
2017-12-10 16:00:00,2017-12-10 17:00:00,91.0,,2.9,80.32,45.12,18.9,1.95,49.45,1.8,1.15,38.5,0.1,121.0,14.75,752.75,-0.3,30.17,0.0
2017-12-10 17:00:00,2017-12-10 18:00:00,120.33,,31.13,109.0,83.3,22.1,4.09,25.77,3.7,3.1,43.67,0.1,121.0,6.0,753.0,-0.3,28.4,0.0
2017-12-10 18:00:00,2017-12-10 19:00:00,161.75,,92.6,132.82,145.95,29.5,5.09,9.12,6.78,6.55,48.25,0.1,121.0,6.0,753.0,-0.3,27.45,0.0
2017-12-10 19:00:00,2017-12-10 20:00:00,218.0,,178.95,145.6,222.95,41.8,2.21,7.3,10.1,10.1,50.25,0.1,121.0,6.0,753.0,-0.3,26.78,0.0
2017-12-10 20:00:00,2017-12-10 21:00:00,244.0,,242.97,148.88,276.7,30.25,4.02,7.53,16.2,14.8,52.25,0.1,121.0,6.0,753.0,-0.3,26.45,0.0
2017-12-10 21:00:00,2017-12-10 22:00:00,245.67,,195.07,135.57,230.67,25.43,8.84,7.47,16.6,17.0,55.33,0.1,121.0,6.0,753.0,-0.3,25.6,0.0
2017-12-10 22:00:00,2017-12-10 23:00:00,267.25,,180.47,118.92,210.02,25.02,6.29,7.3,13.9,14.5,56.25,0.1,121.0,6.0,753.0,-0.3,25.35,0.0
2017-12-10 23:00:00,2017-12-11 00:00:00,281.25,,60.03,113.12,109.0,15.65,3.83,4.88,13.12,13.3,54.5,0.1,121.0,6.0,753.0,-0.3,25.08,0.0
2017-12-11 00:00:00,2017-12-11 01:00:00,199.67,,12.33,89.3,57.5,13.9,2.05,7.57,6.73,6.83,53.67,0.1,121.0,6.0,753.0,-0.3,24.87,0.0
2017-12-11 01:00:00,2017-12-11 02:00:00,173.0,,23.43,91.13,67.5,13.63,2.3,6.57,4.5,4.3,55.0,0.1,121.0,6.0,752.67,-0.3,24.6,0.0
2017-12-11 02:00:00,2017-12-11 03:00:00,,,,,,,,,,,,,,,,,,
2017-12-11 03:00:00,2017-12-11 04:00:00,143.75,,8.45,74.38,46.42,12.05,0.86,10.8,4.08,3.0,55.25,0.1,121.0,6.0,752.0,-0.3,24.08,0.0
2017-12-11 04:00:00,2017-12-11 05:00:00,142.25,,3.62,59.88,34.8,19.35,0.87,16.45,3.1,2.2,57.0,0.1,121.0,6.0,752.0,-0.3,23.75,0.0
2017-12-11 05:00:00,2017-12-11 06:00:00,150.75,,2.65,48.17,27.75,13.48,0.73,23.1,2.5,1.6,57.75,0.1,121.0,6.0,752.0,-0.3,23.75,0.0
2017-12-11 06:00:00,2017-12-11 07:00:00,176.33,,64.93,77.0,93.77,15.27,2.15,9.83,2.2,1.13,60.67,0.1,121.0,6.33,752.67,-0.3,23.23,0.0
2017-12-11 07:00:00,2017-12-11 08:00:00,220.75,,48.1,83.07,83.33,16.05,2.26,7.55,3.83,2.83,60.75,0.1,121.0,22.0,753.0,-0.3,23.35,0.0
2017-12-11 08:00:00,2017-12-11 09:00:00,238.67,,20.0,96.37,67.53,17.83,2.53,11.77,4.07,3.1,56.33,0.1,121.0,105.0,753.0,-0.3,24.37,0.0
2017-12-11 09:00:00,2017-12-11 10:00:00,245.25,,8.0,77.15,23.75,19.15,2.08,30.1,3.92,3.18,51.5,0.1,121.0,186.0,753.25,-0.3,25.7,0.0
2017-12-11 10:00:00,2017-12-11 11:00:00,218.0,,2.87,70.73,29.98,17.17,2.0,49.97,3.8,3.1,45.25,0.1,121.0,258.0,754.0,-0.3,27.75,0.0
2017-12-11 11:00:00,2017-12-11 12:00:00,178.75,,6.43,66.48,40.55,15.28,1.66,55.28,3.72,2.8,39.0,0.15,121.0,304.25,754.0,-0.3,29.7,0.0
2017-12-11 12:00:00,2017-12-11 13:00:00,110.5,,7.07,53.75,34.35,16.35,1.74,53.65,4.05,3.05,34.5,0.15,121.0,318.0,753.5,-0.3,30.7,0.0
2017-12-11 13:00:00,2017-12-11 14:00:00,68.75,,7.03,50.12,32.35,15.42,1.67,58.0,3.27,2.97,35.0,0.2,121.0,271.75,753.0,-0.3,30.85,0.0
2017-12-11 14:00:00,2017-12-11 15:00:00,66.25,,8.8,59.0,38.52,14.92,1.73,55.1,3.45,3.17,35.0,0.15,121.0,189.5,753.0,-0.3,30.95,0.0
2017-12-11 15:00:00,2017-12-11 16:00:00,73.75,,22.17,89.15,65.47,18.07,2.66,34.1,2.65,2.55,34.75,0.1,121.0,88.25,752.0,-0.3,31.32,0.0
2017-12-11 16:00:00,2017-12-11 17:00:00,84.5,,55.83,116.88,107.55,18.95,3.03,24.37,4.8,4.92,37.75,0.1,121.0,14.5,752.0,-0.3,29.95,0.0
2017-12-11 17:00:00,2017-12-11 18:00:00,89.0,,125.93,135.6,132.3,26.97,5.39,6.67,6.5,7.05,42.5,0.1,121.0,6.0,752.0,-0.3,28.27,0.0
2017-12-11 18:00:00,2017-12-11 19:00:00,114.0,,125.8,125.58,169.08,28.38,5.77,7.6,9.8,10.78,45.25,0.1,121.0,6.0,752.75,-0.3,27.32,0.0
2017-12-11 19:00:00,2017-12-11 20:00:00,140.75,,155.8,125.63,193.5,32.83,6.51,6.75,10.52,11.75,47.0,0.1,121.0,6.0,753.0,-0.3,26.72,0.0
2017-12-11 20:00:00,2017-12-11 21:00:00,164.75,,167.75,122.8,201.7,28.05,6.93,6.77,12.25,13.0,49.25,0.1,121.0,6.0,753.0,-0.3,26.17,0.0
2017-12-11 21:00:00,2017-12-11 22:00:00,183.75,,105.65,111.67,108.65,21.82,5.52,6.93,10.45,11.73,50.5,0.1,121.0,6.0,753.0,-0.3,25.57,0.0
2017-12-11 22:00:00,2017-12-11 23:00:00,177.25,,70.52,116.0,119.03,15.23,4.6,5.75,8.0,8.75,52.75,0.1,121.0,6.0,753.0,-0.3,25.0,0.0
2017-12-11 23:00:00,2017-12-12 00:00:00,169.0,,177.77,113.7,205.0,27.53,8.04,7.87,7.27,7.83,54.33,0.1,121.0,6.0,753.0,-0.3,24.97,0.0
2017-12-12 00:00:00,2017-12-12 01:00:00,246.5,,173.4,100.52,194.42,19.7,4.8,6.15,11.5,12.25,58.0,0.1,121.0,6.0,752.0,-0.3,24.35,0.0
2017-12-12 01:00:00,2017-12-12 02:00:00,218.75,,128.45,88.85,151.7,11.42,2.62,5.85,10.5,10.98,59.25,0.1,121.0,6.0,752.0,-0.3,23.95,0.0
2017-12-12 02:00:00,2017-12-12 03:00:00,211.75,,134.25,81.62,152.55,9.6,3.82,6.83,7.82,8.23,61.25,0.1,121.0,6.0,752.75,-0.3,23.8,0.0
2017-12-12 03:00:00,2017-12-12 04:00:00,209.5,,85.43,76.2,110.0,8.52,2.94,5.83,9.25,9.3,61.5,0.1,121.0,6.0,752.75,-0.3,23.68,0.0
2017-12-12 04:00:00,2017-12-12 05:00:00,198.0,,23.73,74.88,59.12,10.93,2.02,5.55,8.47,8.17,58.0,0.1,121.0,6.0,752.5,-0.3,23.92,0.0
2017-12-12 05:00:00,2017-12-12 06:00:00,177.0,,14.13,63.9,45.5,9.97,1.32,9.0,6.03,5.5,58.0,0.1,121.0,6.67,752.0,-0.3,24.1,0.0
2017-12-12 06:00:00,2017-12-12 07:00:00,159.5,,23.18,71.48,56.85,10.4,1.32,5.6,4.1,3.35,60.0,0.1,121.0,6.25,753.0,-0.3,24.15,0.0
2017-12-12 07:00:00,2017-12-12 08:00:00,174.5,,37.4,76.75,71.2,12.03,2.11,6.87,4.52,3.82,59.25,0.1,121.0,14.0,753.5,-0.3,24.32,0.0
2017-12-12 08:00:00,2017-12-12 09:00:00,190.75,,34.6,75.6,68.38,13.53,3.08,9.25,5.27,4.4,55.0,0.1,121.0,38.25,754.0,-0.3,25.05,0.0
2017-12-12 09:00:00,2017-12-12 10:00:00,199.67,,13.9,68.25,23.8,12.2,2.84,19.75,6.25,6.15,51.75,0.1,121.0,137.0,754.0,-0.3,26.23,0.0
2017-12-12 10:00:00,2017-12-12 11:00:00,196.5,,6.73,54.17,25.7,11.57,2.06,30.25,4.43,4.17,48.25,0.1,121.0,235.5,754.0,-0.3,27.75,0.0
2017-12-12 11:00:00,2017-12-12 12:00:00,174.25,,7.43,52.3,33.85,11.48,1.73,43.07,4.38,4.65,43.5,0.1,121.0,201.25,753.5,-0.3,29.3,0.0
2017-12-12 12:00:00,2017-12-12 13:00:00,143.33,,7.0,62.53,38.93,18.07,2.44,44.33,3.13,2.8,43.33,0.1,121.0,146.0,753.0,-0.3,29.37,0.0
2017-12-12 13:00:00,2017-12-12 14:00:00,134.25,,11.5,71.73,47.53,17.43,3.16,38.25,4.27,4.05,42.25,0.1,121.0,141.5,752.5,-0.3,29.72,0.0
2017-12-12 14:00:00,2017-12-12 15:00:00,130.75,,9.4,65.07,42.25,17.35,2.96,39.55,5.7,6.05,42.0,0.1,121.0,107.5,752.0,-0.3,29.75,0.12
2017-12-12 15:00:00,2017-12-12 16:00:00,116.25,,17.52,78.65,56.05,16.47,2.88,28.1,3.75,3.83,42.75,0.1,121.0,56.0,752.0,-0.3,29.57,0.0
2017-12-12 16:00:00,2017-12-12 17:00:00,116.5,,36.05,97.9,81.38,16.1,3.16,23.9,4.48,4.6,44.25,0.1,121.0,12.75,752.0,-0.3,28.72,0.0
2017-12-12 17:00:00,2017-12-12 18:00:00,137.0,,85.72,125.15,136.25,20.47,5.69,8.42,5.95,6.4,49.0,0.1,121.0,6.0,752.0,-0.3,27.58,0.0
2017-12-12 18:00:00,2017-12-12 19:00:00,163.0,,154.13,134.15,196.65,27.18,5.97,7.05,8.52,8.65,52.25,0.1,121.0,6.0,752.5,-0.3,27.0,0.0
2017-12-12 19:00:00,2017-12-12 20:00:00,205.0,,232.83,142.07,264.87,37.67,0.01,7.53,10.7,11.3,54.67,0.1,121.0,6.0,753.0,-0.3,26.6,0.0
2017-12-12 20:00:00,2017-12-12 21:00:00,258.25,,125.2,128.9,170.33,27.08,6.43,6.87,19.62,19.2,54.75,0.1,121.0,6.0,753.0,-0.3,26.18,0.0
2017-12-12 21:00:00,2017-12-12 22:00:00,267.33,,42.97,105.63,91.13,14.0,5.07,6.13,16.9,16.07,57.33,0.1,121.0,6.0,753.67,-0.3,25.53,0.0
2017-12-12 22:00:00,2017-12-12 23:00:00,229.0,,7.4,77.87,47.47,5.13,2.11,9.43,8.9,8.63,60.0,0.1,121.0,6.0,754.0,-0.3,25.03,0.0
2017-12-12 23:00:00,2017-12-13 00:00:00,198.67,,5.55,67.35,40.35,4.07,1.41,10.33,4.48,3.88,61.0,0.1,121.0,6.0,754.0,-0.3,24.82,0.0
2017-12-13 00:00:00,2017-12-13 01:00:00,186.0,,3.65,50.55,29.85,10.12,1.26,14.7,3.68,3.1,62.25,0.1,121.0,6.0,753.0,-0.3,24.37,0.0
2017-12-13 01:00:00,2017-12-13 02:00:00,171.25,,3.08,46.5,27.25,10.2,0.77,18.0,2.75,2.1,62.0,0.1,121.0,6.0,753.0,-0.3,24.3,0.0
2017-12-13 02:00:00,2017-12-13 03:00:00,160.25,,2.7,43.45,25.33,10.97,0.54,19.1,2.65,1.8,63.25,0.1,121.0,6.0,753.0,-0.3,23.97,0.0
2017-12-13 03:00:00,2017-12-13 04:00:00,157.5,,1.7,47.75,26.78,9.62,0.28,16.73,2.05,1.6,64.25,0.1,121.0,6.0,753.0,-0.3,23.77,0.0
2017-12-13 04:00:00,2017-12-13 05:00:00,172.25,,2.0,47.18,26.72,11.05,1.3,18.22,1.75,1.3,64.25,0.1,121.0,6.0,753.0,-0.3,23.75,0.0
2017-12-13 05:00:00,2017-12-13 06:00:00,166.75,,2.05,49.4,27.93,12.4,1.54,21.28,1.83,1.2,64.0,0.1,121.0,6.0,753.0,-0.3,23.6,0.0
2017-12-13 06:00:00,2017-12-13 07:00:00,171.5,,3.38,49.32,28.98,11.85,1.54,18.8,1.37,0.75,65.25,0.1,121.0,6.0,754.0,-0.3,23.32,0.0
2017-12-13 07:00:00,2017-12-13 08:00:00,193.5,,12.07,61.67,42.65,12.58,1.81,14.25,1.53,0.88,65.75,0.1,121.0,20.0,754.0,-0.3,23.47,0.0
2017-12-13 08:00:00,2017-12-13 09:00:00,212.0,,15.28,70.7,38.33,14.1,0.47,18.1,2.2,1.62,63.0,0.1,121.0,92.5,754.0,-0.3,24.2,0.0
2017-12-13 09:00:00,2017-12-13 10:00:00,223.5,,15.65,85.1,29.0,15.15,1.05,30.15,2.7,2.32,58.0,0.1,121.0,185.25,754.25,-0.3,25.85,0.0
2017-12-13 10:00:00,2017-12-13 11:00:00,240.0,,4.47,50.1,22.67,12.57,0.18,46.93,3.6,3.17,53.75,0.15,121.0,240.5,755.0,-0.3,27.5,0.0
2017-12-13 11:00:00,2017-12-13 12:00:00,185.0,,1.82,33.25,19.18,11.27,,53.4,3.32,2.1,48.5,0.25,130.5,309.75,755.0,-0.3,29.12,0.0
2017-12-13 12:00:00,2017-12-13 13:00:00,115.67,,2.2,26.2,15.73,10.55,0.22,53.57,1.55,0.82,43.75,0.43,173.0,298.75,754.25,-0.38,29.9,0.0
2017-12-13 13:00:00,2017-12-13 14:00:00,227.25,,2.12,23.8,14.38,10.65,,54.52,0.77,0.38,40.5,0.43,173.0,248.5,754.0,-0.38,30.32,0.0
2017-12-13 14:00:00,2017-12-13 15:00:00,196.67,,1.7,22.43,13.3,12.3,,56.63,0.5,0.3,39.67,0.53,173.0,196.0,754.0,-0.43,30.27,0.0
2017-12-13 15:00:00,2017-12-13 16:00:00,157.0,,1.6,26.02,15.15,9.9,,51.9,0.43,0.2,38.75,0.43,173.0,85.25,753.0,-0.38,30.2,0.0
2017-12-13 16:00:00,2017-12-13 17:00:00,160.25,,1.8,31.03,18.0,10.2,0.61,49.78,0.7,0.33,40.5,0.3,173.0,16.0,753.0,-0.3,29.38,0.0
2017-12-13 17:00:00,2017-12-13 18:00:00,173.0,,2.03,61.6,34.42,12.45,1.81,30.12,1.6,0.62,45.25,0.2,173.0,6.0,753.0,-0.3,27.97,0.0
2017-12-13 18:00:00,2017-12-13 19:00:00,232.25,,3.5,80.45,45.6,14.35,2.2,16.6,4.95,2.93,48.25,0.2,173.0,6.0,753.0,-0.3,26.85,0.0
2017-12-13 19:00:00,2017-12-13 20:00:00,370.0,,4.23,63.6,37.27,14.87,2.3,23.53,4.07,4.47,50.0,0.2,173.0,6.0,754.0,-0.3,26.17,0.0
2017-12-13 20:00:00,2017-12-13 21:00:00,135.0,,3.07,56.85,32.73,14.83,2.12,26.95,4.42,3.3,52.25,0.2,173.0,6.0,754.0,-0.3,25.75,0.0
2017-12-13 21:00:00,2017-12-13 22:00:00,146.0,,3.15,48.73,28.52,13.3,1.62,27.15,3.25,2.25,55.5,0.28,173.0,6.0,754.0,-0.3,25.1,0.0
2017-12-13 22:00:00,2017-12-13 23:00:00,153.0,,3.87,42.13,25.57,12.37,1.48,23.9,1.83,1.3,61.67,0.3,173.0,6.0,754.0,-0.3,24.3,0.0
2017-12-13 23:00:00,2017-12-14 00:00:00,176.33,,3.13,39.47,18.02,12.0,1.51,19.28,1.8,0.92,67.25,0.28,173.0,7.25,754.0,-0.33,23.65,0.0
2017-12-14 00:00:00,2017-12-14 01:00:00,197.33,,2.3,33.33,19.6,10.77,1.57,16.85,1.63,0.6,71.0,0.25,173.0,9.75,754.0,-0.3,23.15,0.0
2017-12-14 01:00:00,2017-12-14 02:00:00,178.67,,2.0,34.2,18.78,8.9,1.6,14.9,1.32,0.38,72.75,0.28,173.0,9.75,754.0,-0.3,22.7,0.0
2017-12-14 02:00:00,2017-12-14 03:00:00,161.5,,1.77,29.57,17.15,7.67,1.2,13.05,1.1,0.3,73.5,0.33,173.0,7.75,754.0,-0.33,21.77,0.0
2017-12-14 03:00:00,2017-12-14 04:00:00,141.0,,3.1,24.87,15.73,6.6,0.72,14.87,1.07,0.23,75.67,0.4,173.0,7.0,753.67,-0.4,20.93,0.0
2017-12-14 04:00:00,2017-12-14 05:00:00,331.0,,1.92,20.6,12.53,8.2,0.77,17.72,0.85,0.2,76.75,0.45,173.0,6.75,754.0,-0.38,20.75,0.0
2017-12-14 05:00:00,2017-12-14 06:00:00,310.25,,1.93,20.9,12.67,8.55,0.87,20.3,0.5,0.1,76.75,0.45,173.0,7.0,754.0,-0.4,20.75,0.0
2017-12-14 06:00:00,2017-12-14 07:00:00,277.75,,1.5,19.9,11.8,8.38,0.67,22.35,0.48,0.1,76.0,0.43,173.0,7.25,755.0,-0.4,20.75,0.0
2017-12-14 07:00:00,2017-12-14 08:00:00,278.25,,2.25,22.97,14.05,8.27,0.64,21.08,0.4,0.1,75.5,0.43,173.0,19.0,755.25,-0.4,20.87,0.0
2017-12-14 08:00:00,2017-12-14 09:00:00,289.5,,2.38,23.2,14.3,9.72,0.39,19.32,0.4,0.1,74.5,0.5,173.0,73.75,756.0,-0.43,21.08,0.0
2017-12-14 09:00:00,2017-12-14 10:00:00,132.33,,3.15,23.55,7.55,10.5,0.5,21.0,0.5,0.18,71.5,0.45,173.0,189.75,756.0,-0.4,21.83,0.0
2017-12-14 10:00:00,2017-12-14 11:00:00,143.67,,3.73,25.5,12.47,11.23,0.37,26.42,0.55,0.2,65.25,0.43,173.0,267.25,756.75,-0.4,23.28,0.0
2017-12-14 11:00:00,2017-12-14 12:00:00,146.33,,3.07,25.55,16.1,11.45,0.34,34.7,0.67,0.23,56.75,0.45,173.0,306.25,756.25,-0.33,25.15,0.0
2017-12-14 12:00:00,2017-12-14 13:00:00,130.33,,2.07,24.95,14.95,10.9,1.38,41.5,0.73,0.25,49.0,0.5,173.0,310.25,756.0,-0.45,26.65,0.0
