From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),RF (mm),AT (degree C)
2023-02-14 09:00:00,2023-02-14 10:00:00,65.43,132.81,5.11,21.38,15.27,30.17,5.13,0.78,11.69,2.72,26.65,4.41,11.32,,64.59,0.45,179.24,354.28,931.7,0.65,,0.0,13.49
2023-02-14 10:00:00,2023-02-14 11:00:00,60.59,136.85,4.5,24.8,16.56,31.99,5.56,0.84,18.7,2.83,19.22,4.77,12.35,,58.3,1.32,100.59,491.11,932.05,1.07,,0.0,15.54
2023-02-14 11:00:00,2023-02-14 12:00:00,73.37,150.69,4.21,23.71,15.77,35.99,5.65,0.82,23.21,2.81,15.12,4.85,12.45,,53.71,1.97,105.35,571.23,931.25,1.42,,0.0,16.95
2023-02-14 12:00:00,2023-02-14 13:00:00,81.26,160.49,3.81,18.56,12.75,38.6,5.55,0.75,27.12,2.48,11.77,4.4,11.25,,50.18,1.86,104.64,625.74,929.8,1.54,,0.0,18.49
2023-02-14 13:00:00,2023-02-14 14:00:00,70.75,162.24,3.73,16.71,11.72,41.46,5.62,0.69,32.68,2.12,9.96,4.16,11.07,,47.3,1.49,111.52,598.7,927.65,-0.6,,0.0,19.31
2023-02-14 14:00:00,2023-02-14 15:00:00,73.63,156.55,3.78,16.66,11.73,45.17,5.72,0.7,37.07,1.97,8.64,4.04,11.18,,45.17,1.17,123.76,470.51,926.22,-0.59,,0.0,19.86
2023-02-14 15:00:00,2023-02-14 16:00:00,68.19,162.86,3.83,18.34,12.66,46.75,5.81,0.69,39.7,1.97,8.7,4.5,12.11,,45.24,1.15,133.92,340.22,924.8,-0.65,,0.0,19.85
2023-02-14 16:00:00,2023-02-14 17:00:00,70.76,162.03,3.82,17.96,12.45,47.44,5.71,0.73,40.21,1.99,8.85,4.59,12.26,,45.08,0.93,143.05,176.85,923.95,-0.58,,0.0,19.75
2023-02-14 17:00:00,2023-02-14 18:00:00,66.68,162.9,4.83,32.16,20.68,44.34,5.75,0.92,36.28,2.33,11.09,5.46,14.36,,49.51,0.62,179.74,30.62,923.38,-0.58,,0.0,18.72
2023-02-14 18:00:00,2023-02-14 19:00:00,74.2,165.37,9.39,63.12,42.13,34.04,5.71,1.33,21.02,3.41,15.89,7.48,19.06,,54.62,0.34,261.04,0.0,924.25,-0.65,,0.0,17.71
2023-02-14 19:00:00,2023-02-14 20:00:00,82.23,197.22,16.45,74.56,57.48,30.41,6.21,1.98,6.55,5.55,70.84,10.32,25.71,,61.3,0.33,132.53,0.0,923.8,-0.69,,0.0,16.43
2023-02-14 20:00:00,2023-02-14 21:00:00,119.4,396.23,13.06,65.97,47.83,41.23,6.67,2.56,10.09,8.41,166.23,13.76,33.62,,64.66,1.09,304.85,0.0,925.45,-0.68,,0.0,15.63
2023-02-14 21:00:00,2023-02-14 22:00:00,125.31,331.17,6.02,38.38,24.88,49.18,6.25,1.92,16.37,7.85,233.45,15.07,36.75,,70.58,0.8,309.84,0.0,925.83,-0.66,,0.0,14.65
2023-02-14 22:00:00,2023-02-14 23:00:00,120.58,207.57,4.84,29.11,19.09,49.39,6.14,1.46,14.76,6.1,99.45,12.79,31.4,,75.48,0.47,288.44,0.0,925.48,-0.64,,0.0,13.87
2023-02-14 23:00:00,2023-02-15 00:00:00,108.43,168.57,4.12,30.77,19.38,48.07,5.96,1.24,12.62,5.01,58.58,10.58,25.83,,72.36,0.5,287.28,0.0,924.83,-0.59,,0.0,13.53
2023-02-15 00:00:00,2023-02-15 01:00:00,115.75,208.77,3.67,25.37,16.2,48.45,5.8,1.14,8.99,4.94,37.95,9.02,21.98,,79.09,0.5,206.63,0.0,923.6,-0.64,,0.0,12.57
2023-02-15 01:00:00,2023-02-15 02:00:00,114.69,203.84,3.72,24.68,15.88,46.99,5.78,1.07,6.52,4.9,27.01,8.01,19.24,,85.74,0.27,170.77,0.0,923.08,-0.64,,0.0,11.71
2023-02-15 02:00:00,2023-02-15 03:00:00,120.66,167.48,4.06,26.1,16.88,45.48,5.65,1.03,3.67,4.83,21.81,7.4,17.6,,88.86,0.3,214.38,0.0,922.5,0.6,,0.0,11.18
2023-02-15 03:00:00,2023-02-15 04:00:00,116.74,203.09,3.73,16.95,11.84,45.06,5.64,0.91,8.1,4.85,17.93,6.96,16.09,,87.77,0.64,227.43,0.0,921.68,0.9,,0.0,10.84
2023-02-15 04:00:00,2023-02-15 05:00:00,106.15,151.05,3.86,20.3,13.7,41.47,5.53,0.81,5.93,3.9,13.74,6.01,14.22,,91.04,0.36,84.51,0.0,921.17,0.62,,0.0,10.06
2023-02-15 05:00:00,2023-02-15 06:00:00,90.02,111.97,3.69,16.54,11.59,40.58,5.42,0.69,4.08,2.19,7.65,3.41,8.37,,93.79,0.28,70.15,0.0,922.1,-0.42,,0.0,9.64
2023-02-15 06:00:00,2023-02-15 07:00:00,70.38,79.07,4.01,15.09,11.1,36.75,5.0,0.6,3.22,1.08,6.32,1.72,4.23,,94.24,0.6,76.81,0.0,923.35,-0.46,,0.0,9.37
2023-02-15 07:00:00,2023-02-15 08:00:00,118.57,161.57,3.78,19.23,13.08,36.84,4.67,0.57,3.16,2.6,15.61,4.16,10.38,,95.43,0.48,77.85,23.37,924.07,-0.51,,0.0,8.89
2023-02-15 08:00:00,2023-02-15 09:00:00,102.16,151.11,5.78,22.43,16.36,35.81,4.44,0.65,2.8,2.51,13.59,4.0,10.19,,92.04,0.85,75.7,118.85,925.42,-0.48,,0.0,9.56
2023-02-15 09:00:00,2023-02-15 10:00:00,106.24,194.93,8.13,29.78,22.08,37.4,4.61,1.06,5.19,4.27,14.05,4.67,11.2,,85.66,0.66,65.14,302.21,926.23,-0.48,,0.0,11.92
2023-02-15 10:00:00,2023-02-15 11:00:00,105.49,236.61,4.32,29.55,18.91,40.79,4.67,1.08,12.99,5.52,15.79,5.83,13.19,,70.38,1.14,84.12,457.52,926.85,-0.49,,0.0,15.44
2023-02-15 11:00:00,2023-02-15 12:00:00,114.52,219.4,3.17,27.0,16.66,42.07,4.76,0.91,21.83,4.67,15.17,6.54,14.49,,61.31,1.45,82.54,562.1,925.98,-0.48,,0.0,17.96
2023-02-15 12:00:00,2023-02-15 13:00:00,114.12,209.21,2.83,24.79,15.22,44.53,5.11,0.72,22.62,3.49,15.04,7.73,15.6,,54.62,2.18,98.17,616.15,924.58,-0.45,,0.0,19.29
2023-02-15 13:00:00,2023-02-15 14:00:00,93.31,193.66,2.45,17.8,11.27,47.74,5.16,0.58,28.8,2.54,11.86,7.07,14.59,,53.48,2.08,103.89,578.7,922.8,-0.42,,0.0,20.12
2023-02-15 14:00:00,2023-02-15 15:00:00,90.96,181.37,2.41,19.45,12.1,50.98,5.29,0.64,32.8,2.3,9.62,5.76,12.77,,52.8,1.9,100.69,477.74,921.73,-0.43,,0.0,20.52
2023-02-15 15:00:00,2023-02-15 16:00:00,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15 16:00:00,2023-02-15 17:00:00,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15 17:00:00,2023-02-15 18:00:00,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15 18:00:00,2023-02-15 19:00:00,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15 19:00:00,2023-02-15 20:00:00,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15 20:00:00,2023-02-15 21:00:00,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15 21:00:00,2023-02-15 22:00:00,140.46,345.5,,,28.87,54.72,,,,,,,,,80.65,0.19,268.47,0.0,925.4,,,,14.68
2023-02-15 22:00:00,2023-02-15 23:00:00,130.5,288.68,5.24,38.07,24.09,53.37,5.3,1.3,7.68,5.8,27.83,13.41,32.87,,81.42,0.2,218.85,0.0,925.7,-0.52,,0.0,14.32
2023-02-15 23:00:00,2023-02-16 00:00:00,123.43,214.86,2.97,27.94,16.98,53.09,5.23,0.91,9.14,4.09,19.8,10.85,26.67,,82.67,0.68,294.16,0.0,926.15,-0.49,,0.0,13.84
2023-02-16 00:00:00,2023-02-16 01:00:00,117.67,193.12,3.73,18.68,12.76,53.9,5.76,1.07,9.64,3.28,14.57,9.07,22.29,,83.4,0.27,270.08,0.0,925.83,-0.51,,0.0,13.39
2023-02-16 01:00:00,2023-02-16 02:00:00,103.5,170.74,3.62,18.16,12.39,51.03,5.66,0.97,11.74,2.61,11.02,7.71,18.85,,82.53,0.59,296.05,0.0,925.58,-0.54,,0.0,13.25
2023-02-16 02:00:00,2023-02-16 03:00:00,93.02,144.73,3.56,15.0,10.7,50.46,5.59,1.0,11.17,2.94,9.35,6.84,16.62,,84.74,0.94,302.88,0.0,925.3,-0.52,,0.0,12.63
2023-02-16 03:00:00,2023-02-16 04:00:00,96.02,127.93,3.69,20.49,13.67,47.04,5.48,0.89,8.04,2.76,8.3,6.5,15.79,,86.12,0.64,299.81,0.0,924.62,-0.51,,0.0,12.14
2023-02-16 04:00:00,2023-02-16 05:00:00,86.35,135.31,3.56,12.43,9.36,47.55,5.44,0.85,9.57,2.64,7.59,6.1,15.03,,86.38,1.06,301.69,0.0,925.1,-0.51,,0.0,11.71
2023-02-16 05:00:00,2023-02-16 06:00:00,74.89,126.02,3.51,15.15,10.74,44.61,5.35,0.82,8.78,2.68,6.88,5.62,13.66,,85.39,1.13,301.42,0.0,925.6,-0.49,,0.0,11.6
2023-02-16 06:00:00,2023-02-16 07:00:00,86.53,121.89,3.75,20.2,13.56,42.54,5.34,0.94,6.84,3.24,6.59,5.38,13.33,,84.83,0.61,280.13,0.0,926.68,-0.47,,0.0,11.57
2023-02-16 07:00:00,2023-02-16 08:00:00,89.34,119.72,4.35,23.27,15.64,40.41,5.28,0.97,7.19,2.91,6.85,5.3,13.32,,80.62,0.49,271.6,28.21,928.2,-0.48,,0.0,12.23
2023-02-16 08:00:00,2023-02-16 09:00:00,86.88,137.35,9.96,35.3,27.12,34.01,5.33,1.05,6.64,2.99,7.38,5.17,13.16,,71.08,0.24,183.53,144.99,929.2,-0.45,,0.0,14.69
2023-02-16 09:00:00,2023-02-16 10:00:00,81.28,143.38,18.18,50.65,44.43,28.77,5.3,1.22,8.64,3.13,9.19,5.53,14.11,,63.65,0.82,311.86,345.74,929.98,-0.43,,0.0,17.15
2023-02-16 10:00:00,2023-02-16 11:00:00,46.36,113.6,12.92,53.81,39.08,34.01,5.46,1.52,16.38,5.18,11.68,6.46,15.85,,51.85,0.48,169.17,487.11,930.27,-0.45,,0.0,20.53
2023-02-16 11:00:00,2023-02-16 12:00:00,48.66,114.4,5.74,31.18,20.9,45.79,5.69,1.35,34.85,5.04,15.38,7.74,18.75,,40.57,0.46,102.86,567.8,929.33,-0.46,,0.0,22.53
2023-02-16 12:00:00,2023-02-16 13:00:00,50.36,113.16,5.64,31.57,21.02,48.07,6.36,1.02,39.27,3.48,13.98,7.89,19.3,,38.29,0.55,151.19,616.67,928.03,-0.44,,0.0,23.39
2023-02-16 13:00:00,2023-02-16 14:00:00,47.77,107.29,4.5,21.93,15.07,49.51,6.11,0.86,43.49,2.47,11.93,7.26,18.07,,37.62,1.12,131.0,602.15,926.57,-0.49,,0.0,23.56
2023-02-16 14:00:00,2023-02-16 15:00:00,35.27,102.18,3.63,13.53,9.98,51.24,5.79,0.79,45.69,1.85,9.95,6.35,16.33,,36.71,1.16,116.16,512.04,925.45,-0.49,,0.0,23.79
2023-02-16 15:00:00,2023-02-16 16:00:00,33.41,94.81,3.52,14.99,10.66,50.03,5.7,0.73,48.51,1.51,8.48,5.76,15.11,,37.78,0.98,125.46,365.32,924.67,-0.5,,0.0,23.91
2023-02-16 16:00:00,2023-02-16 17:00:00,30.95,93.0,3.8,18.47,12.69,51.85,5.71,0.79,43.7,1.5,9.12,5.58,14.56,,39.02,0.85,155.14,201.07,924.28,-0.46,,0.0,23.55
2023-02-16 17:00:00,2023-02-16 18:00:00,29.63,85.92,3.82,19.7,13.35,51.89,5.75,0.84,38.96,1.74,10.44,6.12,15.23,,42.38,0.51,146.25,32.63,924.9,-0.48,,0.0,22.36
2023-02-16 18:00:00,2023-02-16 19:00:00,27.81,89.24,5.86,47.96,29.77,44.43,5.72,1.11,18.38,2.6,14.39,9.36,19.66,,50.1,0.17,140.82,0.0,926.2,-0.47,,0.0,20.49
2023-02-16 19:00:00,2023-02-16 20:00:00,44.13,115.37,26.79,70.86,64.31,29.19,6.09,1.76,5.78,4.46,24.2,16.99,30.68,,58.0,0.14,85.49,0.0,927.48,-0.47,,0.0,18.99
2023-02-16 20:00:00,2023-02-16 21:00:00,61.06,257.42,94.64,,135.0,30.6,6.76,3.28,1.3,7.9,63.34,23.46,44.09,,63.28,0.36,199.71,0.0,928.3,-0.49,,0.0,18.02
2023-02-16 21:00:00,2023-02-16 22:00:00,83.82,321.06,30.96,64.56,59.88,61.93,7.0,3.37,2.46,11.16,113.73,27.24,56.96,,71.12,0.24,202.98,0.0,928.9,-0.55,,0.0,16.66
2023-02-16 22:00:00,2023-02-16 23:00:00,76.0,174.2,8.55,41.03,28.29,59.06,6.41,1.97,6.28,8.12,78.25,22.63,49.8,,73.78,0.34,279.81,0.0,929.3,-0.55,,0.0,15.75
2023-02-16 23:00:00,2023-02-17 00:00:00,58.47,92.26,4.02,30.54,19.17,55.34,6.16,1.32,8.28,5.03,45.3,16.21,36.71,,74.82,0.49,275.46,0.0,929.62,-0.51,,0.0,15.17
2023-02-17 00:00:00,2023-02-17 01:00:00,55.27,102.9,4.02,38.71,23.45,54.04,5.82,1.18,4.04,3.83,28.67,12.7,29.34,,76.62,0.91,297.9,0.0,929.67,-0.53,,0.0,14.64
2023-02-17 01:00:00,2023-02-17 02:00:00,65.72,120.89,3.66,22.31,14.59,56.13,5.78,1.11,9.36,4.01,19.88,10.57,24.66,,77.11,0.7,295.52,0.0,929.25,-0.55,,0.0,14.17
2023-02-17 02:00:00,2023-02-17 03:00:00,62.42,79.04,3.59,23.03,14.91,53.1,5.68,0.86,9.03,3.27,14.62,8.98,21.34,,76.61,0.9,297.7,0.0,928.15,-0.56,,0.0,13.93
2023-02-17 03:00:00,2023-02-17 04:00:00,56.78,94.78,3.53,15.55,10.96,53.44,5.57,0.85,10.73,2.66,11.55,7.95,19.26,,76.73,0.8,300.12,0.0,927.57,-0.56,,0.0,13.75
2023-02-17 04:00:00,2023-02-17 05:00:00,50.91,83.58,3.47,8.29,7.11,53.09,5.51,0.72,10.31,2.35,9.96,7.28,17.8,,78.72,0.72,304.71,0.0,927.77,-0.56,,0.0,13.17
2023-02-17 05:00:00,2023-02-17 06:00:00,43.44,61.36,3.46,7.54,6.71,51.17,5.36,0.62,11.12,1.81,9.18,6.62,16.49,,79.86,0.94,303.42,0.0,928.45,-0.53,,0.0,12.72
2023-02-17 06:00:00,2023-02-17 07:00:00,37.62,46.79,3.55,13.17,9.72,47.92,5.36,0.68,9.58,1.78,8.22,5.98,14.97,,78.54,0.99,306.04,0.0,929.3,-0.51,,0.0,12.95
2023-02-17 07:00:00,2023-02-17 08:00:00,39.09,57.84,3.83,11.09,8.87,47.65,5.27,0.68,9.75,1.88,8.15,5.52,13.75,,78.0,0.79,305.36,29.71,930.17,-0.52,,0.0,12.88
2023-02-17 08:00:00,2023-02-17 09:00:00,32.5,59.31,4.96,20.29,14.58,44.74,5.36,0.88,10.2,2.58,8.16,5.3,13.4,,70.65,1.12,302.12,133.83,931.2,-0.51,,0.0,14.54
2023-02-17 09:00:00,2023-02-17 10:00:00,36.16,87.31,10.1,24.77,22.55,40.62,5.34,1.02,12.48,3.32,11.72,5.72,14.51,,63.84,1.01,301.21,273.7,931.95,-0.5,,0.0,16.86
2023-02-17 10:00:00,2023-02-17 11:00:00,40.35,117.51,20.73,50.51,44.93,35.34,5.54,1.3,12.77,5.21,16.27,6.66,17.09,,52.18,0.83,300.42,400.17,932.0,-0.43,,0.0,20.41
2023-02-17 11:00:00,2023-02-17 12:00:00,41.83,119.59,12.41,37.77,29.68,41.33,5.49,1.32,21.86,6.17,19.28,7.68,19.94,,46.56,0.68,284.98,484.2,931.48,-0.53,,0.0,22.66
2023-02-17 12:00:00,2023-02-17 13:00:00,41.17,101.2,5.9,33.12,22.04,35.34,5.63,1.25,44.46,4.55,22.02,7.89,20.19,,41.83,0.57,233.45,521.66,930.4,1.37,,0.0,24.36
2023-02-17 13:00:00,2023-02-17 14:00:00,38.55,110.52,4.03,18.28,12.79,46.38,5.35,1.25,48.74,4.82,45.31,6.72,17.89,,40.08,0.85,183.67,484.74,928.8,1.03,,0.0,24.56
2023-02-17 14:00:00,2023-02-17 15:00:00,39.34,75.58,4.11,14.93,11.09,51.76,5.09,0.95,47.42,3.75,27.45,5.8,15.67,,38.4,0.89,163.86,410.77,927.52,-0.18,,0.0,24.79
2023-02-17 15:00:00,2023-02-17 16:00:00,33.06,59.54,4.49,17.25,12.61,47.45,5.08,0.9,48.13,2.97,17.18,5.32,14.99,,35.31,0.93,180.28,341.83,926.55,-0.49,,0.0,24.84
2023-02-17 16:00:00,2023-02-17 17:00:00,30.78,65.02,3.37,11.39,8.65,51.5,5.18,0.82,51.25,2.27,12.73,5.27,15.2,,38.22,0.76,157.44,162.14,926.0,-0.52,,0.0,24.27
2023-02-17 17:00:00,2023-02-17 18:00:00,30.44,73.02,4.07,23.09,15.32,39.02,4.89,1.0,40.08,1.87,10.25,4.74,13.77,,43.78,0.31,130.71,50.74,926.4,-0.48,,0.0,23.4
2023-02-17 18:00:00,2023-02-17 19:00:00,33.98,88.84,5.23,38.05,24.07,29.8,4.84,1.37,23.52,4.39,15.59,6.35,17.89,,53.09,0.31,90.82,0.02,927.18,-0.46,,0.0,21.16
2023-02-17 19:00:00,2023-02-17 20:00:00,41.04,101.86,16.74,65.19,54.13,13.7,4.93,2.19,4.79,9.39,25.46,9.0,24.14,,61.66,0.2,90.1,0.0,927.9,-0.36,,0.0,19.74
2023-02-17 20:00:00,2023-02-17 21:00:00,46.96,139.37,21.7,66.41,55.48,18.54,5.11,2.75,5.83,12.04,37.72,13.05,33.35,,66.25,0.43,185.13,0.0,928.33,0.38,,0.0,18.84
2023-02-17 21:00:00,2023-02-17 22:00:00,65.67,195.23,29.94,63.88,60.58,25.71,5.44,3.14,1.33,11.98,54.24,16.42,39.96,,72.78,0.17,132.97,0.0,928.55,-0.4,,0.0,17.4
2023-02-17 22:00:00,2023-02-17 23:00:00,57.33,164.98,7.47,32.12,22.77,40.04,5.23,2.14,7.74,9.24,50.89,16.82,40.56,,74.47,0.48,218.54,0.0,928.62,-0.39,,0.0,16.59
2023-02-17 23:00:00,2023-02-18 00:00:00,59.89,127.98,3.85,22.95,15.08,43.04,5.15,1.42,10.85,5.61,33.62,13.39,33.28,,75.34,0.61,294.79,0.0,928.52,-0.38,,0.0,15.98
2023-02-18 00:00:00,2023-02-18 01:00:00,51.67,94.73,3.82,13.92,10.33,43.9,5.79,0.88,9.13,3.62,22.43,10.45,27.27,,80.15,0.77,297.81,0.0,928.17,-0.42,,0.0,15.11
2023-02-18 01:00:00,2023-02-18 02:00:00,47.91,77.32,3.76,18.77,12.82,42.17,5.8,0.74,8.9,2.71,15.79,8.46,22.23,,80.15,0.23,143.95,0.0,927.88,-0.4,,0.0,14.61
2023-02-18 02:00:00,2023-02-18 03:00:00,41.71,65.18,3.65,13.36,9.9,43.81,5.7,0.63,9.86,2.04,11.62,6.93,18.55,,81.49,0.23,99.91,0.0,927.62,-0.35,,0.0,14.0
2023-02-18 03:00:00,2023-02-18 04:00:00,38.79,51.1,3.82,19.57,13.29,41.17,5.66,0.59,8.02,1.69,9.36,5.99,16.32,,81.76,0.86,310.47,0.0,927.2,-0.36,,0.0,13.78
2023-02-18 04:00:00,2023-02-18 05:00:00,34.41,55.2,3.77,14.46,10.58,41.28,5.68,0.61,8.56,1.66,8.43,5.5,15.12,,80.93,0.49,291.85,0.0,926.88,-0.34,,0.0,13.4
2023-02-18 05:00:00,2023-02-18 06:00:00,33.48,54.78,3.62,9.07,7.65,42.29,5.56,0.53,10.24,1.31,7.27,5.04,13.81,,80.55,0.39,295.36,0.0,927.2,0.45,,0.0,12.99
2023-02-18 06:00:00,2023-02-18 07:00:00,29.43,52.0,3.68,12.62,9.55,39.96,5.56,0.5,8.94,1.03,6.38,4.56,12.69,,82.15,0.25,245.01,0.0,928.3,-0.24,,0.0,12.55
2023-02-18 07:00:00,2023-02-18 08:00:00,30.76,53.53,3.96,16.95,12.03,37.68,5.6,0.52,9.75,1.01,6.35,4.32,12.06,,79.1,0.35,248.08,32.41,929.68,-0.29,,0.0,12.98
2023-02-18 08:00:00,2023-02-18 09:00:00,31.8,54.09,5.0,19.7,14.3,36.11,5.55,0.6,10.79,1.16,6.51,4.2,11.78,,69.9,0.15,253.26,146.39,931.02,-0.3,,0.0,15.46
2023-02-18 09:00:00,2023-02-18 10:00:00,28.71,64.95,4.53,17.2,12.62,38.34,5.81,0.78,17.73,1.9,7.91,4.38,12.24,,63.95,0.3,63.41,343.42,931.6,-0.33,,0.0,18.16
2023-02-18 10:00:00,2023-02-18 11:00:00,29.44,78.36,4.51,20.52,14.34,37.63,5.92,0.91,23.9,2.5,9.48,4.78,13.07,,61.5,0.82,77.14,479.56,931.85,-0.32,,0.0,20.1
2023-02-18 11:00:00,2023-02-18 12:00:00,33.68,96.57,4.59,21.1,14.7,39.86,6.15,1.06,35.44,3.17,10.96,5.21,13.81,,56.61,0.56,146.52,554.5,931.22,2.65,,0.0,22.13
2023-02-18 12:00:00,2023-02-18 13:00:00,52.8,108.53,3.69,24.03,15.51,43.33,6.36,1.07,53.64,3.47,11.7,5.73,14.35,,49.75,0.38,140.69,578.54,929.75,4.03,,0.0,23.77
2023-02-18 13:00:00,2023-02-18 14:00:00,46.67,115.65,3.78,21.85,14.45,43.8,6.5,1.05,64.66,3.5,11.75,5.75,14.04,,42.99,0.53,173.29,585.37,927.8,5.53,,0.0,25.0
2023-02-18 14:00:00,2023-02-18 15:00:00,47.95,110.77,3.47,10.56,8.3,46.2,6.2,0.86,59.16,2.97,11.71,5.93,14.12,,37.66,0.82,122.97,524.56,926.12,5.73,,0.0,25.38
2023-02-18 15:00:00,2023-02-18 16:00:00,43.52,92.81,3.47,8.66,7.31,40.63,6.02,0.77,59.65,2.22,9.7,5.2,12.9,,37.78,0.73,156.99,369.15,925.12,7.0,,0.0,25.45
2023-02-18 16:00:00,2023-02-18 17:00:00,37.05,87.26,3.73,13.23,9.91,38.82,5.86,0.81,60.89,2.09,9.09,4.91,12.74,,41.77,0.76,161.13,200.63,924.6,3.11,,0.0,24.94
2023-02-18 17:00:00,2023-02-18 18:00:00,41.63,83.6,4.0,23.1,15.28,34.43,5.82,0.94,48.45,2.34,9.27,5.08,13.41,,46.18,0.49,111.22,38.89,924.83,4.09,,0.0,23.65
