From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppm),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm)
2021-07-01 23:00:00,2021-07-02 00:00:00,31.85,57.81,2.52,1.48,4.72,58.28,2.47,0.53,,0.0,93.44,,99.65,0.0,740.77,27.84,0.0
2021-07-02 00:00:00,2021-07-02 01:00:00,29.54,63.7,2.52,1.51,4.77,55.91,2.94,0.53,0.02,0.0,95.22,,102.18,0.0,739.95,27.47,0.0
2021-07-02 01:00:00,2021-07-02 02:00:00,33.53,63.89,2.58,1.43,4.76,53.54,3.12,0.53,,0.0,95.74,,76.03,0.0,740.01,27.31,0.0
2021-07-02 02:00:00,2021-07-02 03:00:00,34.9,65.87,2.47,1.56,4.73,43.84,3.18,0.51,,0.0,96.0,,104.97,0.0,739.87,27.18,0.0
2021-07-02 03:00:00,2021-07-02 04:00:00,36.64,75.22,2.44,1.56,4.71,44.2,3.12,0.5,,0.0,96.63,,117.35,0.0,739.89,27.3,0.0
2021-07-02 04:00:00,2021-07-02 05:00:00,35.17,68.77,2.66,1.34,4.82,42.42,2.79,0.5,,0.0,95.18,,82.3,0.0,740.45,27.27,0.0
2021-07-02 05:00:00,2021-07-02 06:00:00,28.54,50.81,2.54,1.48,4.75,43.67,2.45,0.47,,0.0,94.14,,123.83,2.2,740.58,26.67,0.0
2021-07-02 06:00:00,2021-07-02 07:00:00,6.64,11.92,2.55,1.33,4.62,40.66,2.47,0.45,,0.0,92.98,,125.34,24.55,741.37,26.89,0.0
2021-07-02 07:00:00,2021-07-02 08:00:00,8.38,16.47,2.5,1.58,4.81,37.92,2.44,0.43,,0.0,89.37,,116.19,111.15,741.84,27.52,0.0
2021-07-02 08:00:00,2021-07-02 09:00:00,11.29,18.45,2.51,1.34,4.61,48.93,2.69,0.41,1.47,0.0,85.29,,141.96,230.91,742.15,28.35,0.0
2021-07-02 09:00:00,2021-07-02 10:00:00,9.06,23.94,2.42,1.62,4.75,42.49,2.79,0.39,2.29,0.0,82.65,,144.9,238.83,732.22,28.36,0.0
2021-07-02 10:00:00,2021-07-02 11:00:00,10.67,21.86,2.46,1.52,4.69,38.39,2.83,0.39,2.29,0.0,80.93,,146.22,280.89,742.8,29.56,0.0
2021-07-02 11:00:00,2021-07-02 12:00:00,9.59,26.22,2.44,1.58,4.72,35.31,2.86,0.39,2.52,0.0,79.86,,139.7,301.99,742.68,29.91,0.0
2021-07-02 12:00:00,2021-07-02 13:00:00,10.41,28.27,2.47,1.56,4.73,28.9,2.61,0.39,0.39,0.0,79.0,,139.81,312.64,742.51,30.29,0.0
2021-07-02 13:00:00,2021-07-02 14:00:00,11.18,28.16,2.56,1.32,4.64,28.39,2.42,0.4,0.06,0.0,76.41,,138.32,317.04,742.3,31.35,0.0
2021-07-02 14:00:00,2021-07-02 15:00:00,11.67,29.14,2.49,1.5,4.71,25.74,2.08,0.38,7.57,0.0,76.97,,141.55,278.6,741.93,31.34,0.0
2021-07-02 15:00:00,2021-07-02 16:00:00,10.53,29.95,2.51,1.56,4.78,23.02,1.47,0.34,7.86,0.0,78.62,,127.9,203.54,741.34,31.16,0.0
2021-07-02 16:00:00,2021-07-02 17:00:00,13.54,33.95,2.57,1.39,4.74,35.68,1.55,0.35,9.47,0.0,80.54,,42.65,176.18,740.87,30.74,0.0
2021-07-02 17:00:00,2021-07-02 18:00:00,12.27,29.27,2.51,1.58,4.84,37.28,1.75,0.32,12.32,0.0,83.2,,50.01,57.94,729.27,29.1,0.0
2021-07-02 18:00:00,2021-07-02 19:00:00,13.16,29.47,2.54,1.39,4.67,37.74,2.13,0.34,5.1,0.0,87.21,,49.18,6.43,741.48,28.73,0.0
2021-07-02 19:00:00,2021-07-02 20:00:00,11.25,29.23,2.42,1.38,4.5,36.39,2.37,0.36,3.99,0.0,89.23,,36.16,0.0,742.22,28.13,0.0
2021-07-02 20:00:00,2021-07-02 21:00:00,15.2,28.34,2.52,1.36,4.64,30.98,2.35,0.38,2.36,0.0,89.53,,36.5,0.0,742.99,27.83,0.0
2021-07-02 21:00:00,2021-07-02 22:00:00,11.39,28.08,1.31,0.61,2.32,13.01,1.03,0.2,0.65,0.0,45.2,,18.57,0.0,743.37,13.8,0.0
2021-07-02 22:00:00,2021-07-02 23:00:00,,,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0
2021-07-02 23:00:00,2021-07-03 00:00:00,,,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0
2021-07-03 00:00:00,2021-07-03 01:00:00,,,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0
2021-07-03 01:00:00,2021-07-03 02:00:00,,,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0
2021-07-03 02:00:00,2021-07-03 03:00:00,,,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0
2021-07-03 03:00:00,2021-07-03 04:00:00,,,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0
2021-07-03 04:00:00,2021-07-03 05:00:00,,,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0
2021-07-03 05:00:00,2021-07-03 06:00:00,,,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0
2021-07-03 06:00:00,2021-07-03 07:00:00,,,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0
2021-07-03 07:00:00,2021-07-03 08:00:00,,,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0
2021-07-03 08:00:00,2021-07-03 09:00:00,,,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0
2021-07-03 09:00:00,2021-07-03 10:00:00,,,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0
2021-07-03 10:00:00,2021-07-03 11:00:00,,,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0
2021-07-03 11:00:00,2021-07-03 12:00:00,,,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0
2021-07-03 12:00:00,2021-07-03 13:00:00,,,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0
2021-07-03 13:00:00,2021-07-03 14:00:00,,,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0
2021-07-03 14:00:00,2021-07-03 15:00:00,,,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0
2021-07-03 15:00:00,2021-07-03 16:00:00,,,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0
2021-07-03 16:00:00,2021-07-03 17:00:00,7.93,18.94,1.94,1.08,3.58,11.72,0.93,0.23,40.39,0.0,33.94,,26.73,0.0,,17.77,0.0
2021-07-03 17:00:00,2021-07-03 18:00:00,8.54,16.48,2.46,1.41,4.63,17.81,1.28,0.28,66.98,0.0,58.72,,53.34,0.0,,26.79,0.0
2021-07-03 18:00:00,2021-07-03 19:00:00,20.6,22.69,2.49,1.52,4.72,15.59,1.49,0.28,37.92,0.0,66.94,,122.85,0.0,,25.18,0.0
2021-07-03 19:00:00,2021-07-03 20:00:00,10.01,21.49,2.45,1.55,4.71,15.97,1.93,0.3,25.46,0.0,70.72,,94.53,0.0,,24.38,0.0
2021-07-03 20:00:00,2021-07-03 21:00:00,8.6,21.65,2.4,1.68,4.78,16.15,2.2,0.32,23.5,0.0,72.98,,88.59,0.0,,24.28,0.0
2021-07-03 21:00:00,2021-07-03 22:00:00,14.98,22.71,2.58,1.5,4.86,14.18,2.1,0.37,23.91,0.0,76.27,,58.29,0.0,,25.48,0.0
2021-07-03 22:00:00,2021-07-03 23:00:00,20.2,29.52,2.43,1.53,4.68,20.78,2.12,0.44,25.51,0.0,74.19,,25.35,0.0,,24.34,0.0
2021-07-03 23:00:00,2021-07-04 00:00:00,25.01,36.15,2.65,1.48,4.91,18.91,2.13,0.45,32.22,0.0,81.62,,43.74,0.0,,25.73,0.0
2021-07-04 00:00:00,2021-07-04 01:00:00,34.67,41.6,2.78,1.22,4.91,17.01,2.13,0.47,27.15,0.0,77.44,,27.45,0.0,,23.84,0.0
2021-07-04 01:00:00,2021-07-04 02:00:00,29.92,39.63,2.39,1.57,4.66,27.24,2.4,0.46,23.16,0.0,81.67,,46.17,0.0,,24.52,0.0
2021-07-04 02:00:00,2021-07-04 03:00:00,21.73,34.48,2.52,1.6,4.83,23.39,2.44,0.44,24.55,0.0,78.5,,33.22,0.0,,23.27,0.0
2021-07-04 03:00:00,2021-07-04 04:00:00,12.87,24.88,2.52,1.47,4.71,21.15,2.5,0.41,25.66,0.0,78.34,,30.74,0.0,,22.98,0.0
2021-07-04 04:00:00,2021-07-04 05:00:00,12.4,22.14,2.42,1.48,4.6,20.37,2.58,0.4,25.98,0.0,87.31,,104.64,0.0,,24.93,0.0
2021-07-04 05:00:00,2021-07-04 06:00:00,11.2,18.75,2.47,1.58,4.77,15.61,2.42,0.39,23.09,0.0,79.36,,136.07,0.0,,22.66,0.0
2021-07-04 06:00:00,2021-07-04 07:00:00,12.8,19.67,2.62,1.46,4.88,16.36,2.33,0.4,21.49,0.0,76.97,,149.52,0.0,,23.0,0.0
2021-07-04 07:00:00,2021-07-04 08:00:00,10.2,18.2,2.43,1.47,4.62,15.26,2.37,0.4,23.54,0.0,72.75,,50.5,0.0,,23.79,0.0
2021-07-04 08:00:00,2021-07-04 09:00:00,10.01,17.68,2.5,1.61,4.84,14.26,2.23,0.4,27.88,0.0,67.52,,25.11,0.0,,24.66,0.0
2021-07-04 09:00:00,2021-07-04 10:00:00,10.39,19.32,2.4,1.54,4.66,19.88,2.46,0.4,30.32,0.0,68.15,,38.19,0.0,,26.9,0.0
2021-07-04 10:00:00,2021-07-04 11:00:00,16.56,22.45,2.53,1.5,4.81,16.38,2.73,0.41,34.83,0.0,58.02,,75.93,0.0,,24.11,0.0
2021-07-04 11:00:00,2021-07-04 12:00:00,16.21,31.39,2.67,1.58,5.03,17.43,2.67,0.41,38.47,0.0,52.94,,94.78,0.0,,23.46,0.0
2021-07-04 12:00:00,2021-07-04 13:00:00,18.48,33.39,2.47,1.59,4.79,16.56,2.58,0.41,39.19,0.0,56.02,,67.37,0.0,,23.58,0.0
2021-07-04 13:00:00,2021-07-04 14:00:00,20.02,33.53,2.49,1.6,4.83,16.19,2.65,0.42,39.81,0.0,65.18,,196.17,0.0,,26.71,0.0
2021-07-04 14:00:00,2021-07-04 15:00:00,20.02,31.33,2.71,1.2,4.74,12.58,2.4,0.41,39.63,0.0,56.13,,161.91,0.0,,25.14,0.0
2021-07-04 15:00:00,2021-07-04 16:00:00,20.69,28.12,2.56,1.49,4.83,12.74,2.26,0.41,46.83,0.0,51.37,,191.2,0.0,,26.07,0.0
2021-07-04 16:00:00,2021-07-04 17:00:00,18.18,26.77,2.69,1.39,4.9,15.06,2.26,0.4,48.13,0.0,48.63,,88.68,0.0,,24.65,0.0
2021-07-04 17:00:00,2021-07-04 18:00:00,15.38,29.56,2.51,1.4,4.64,18.9,2.36,0.41,45.4,0.0,62.03,,74.47,0.0,,29.01,0.0
2021-07-04 18:00:00,2021-07-04 19:00:00,18.01,35.67,2.65,1.47,4.89,19.02,2.52,0.4,37.37,0.0,69.07,,50.43,0.0,,27.8,0.0
2021-07-04 19:00:00,2021-07-04 20:00:00,21.21,34.91,2.54,1.43,4.72,17.87,2.56,0.4,34.66,0.0,73.53,,152.18,0.0,,26.8,0.0
2021-07-04 20:00:00,2021-07-04 21:00:00,23.1,35.42,2.49,1.59,4.8,19.5,2.63,0.4,29.67,0.0,71.44,,84.72,0.0,,24.85,0.0
2021-07-04 21:00:00,2021-07-04 22:00:00,24.93,40.77,2.54,1.62,4.89,22.82,2.69,0.46,28.09,0.0,72.67,,33.14,0.0,,25.03,0.0
2021-07-04 22:00:00,2021-07-04 23:00:00,32.05,55.58,2.49,1.64,4.86,18.55,2.5,0.49,27.64,0.0,75.67,,49.82,0.0,,26.15,0.0
2021-07-04 23:00:00,2021-07-05 00:00:00,32.13,52.07,2.62,1.64,5.01,15.65,2.38,0.5,25.55,0.0,74.0,,63.27,0.0,,24.52,0.0
2021-07-05 00:00:00,2021-07-05 01:00:00,26.87,52.48,2.58,1.29,4.66,14.5,2.41,0.52,21.33,0.0,74.94,,143.9,0.0,,23.54,0.0
2021-07-05 01:00:00,2021-07-05 02:00:00,31.93,47.27,2.53,1.54,4.81,19.44,2.41,0.52,21.42,0.0,77.34,,101.85,0.0,,23.79,0.0
2021-07-05 02:00:00,2021-07-05 03:00:00,30.35,46.51,2.52,1.49,4.72,24.01,2.55,0.52,21.89,0.0,76.3,,53.14,0.0,,23.58,0.0
2021-07-05 03:00:00,2021-07-05 04:00:00,33.13,52.04,2.38,1.53,4.59,23.95,2.61,0.53,21.57,0.0,74.11,,160.49,0.0,,22.52,0.0
2021-07-05 04:00:00,2021-07-05 05:00:00,38.33,53.27,2.54,1.45,4.74,20.23,2.64,0.44,35.98,0.0,70.26,,256.3,0.0,,22.59,0.0
2021-07-05 05:00:00,2021-07-05 06:00:00,6.75,21.34,2.58,1.49,4.83,13.24,2.46,0.36,38.48,0.0,80.91,,111.91,0.0,,22.11,0.01
2021-07-05 06:00:00,2021-07-05 07:00:00,6.08,14.59,2.6,1.56,4.94,8.64,2.31,0.33,35.14,0.0,89.34,,140.57,0.0,,24.04,0.0
2021-07-05 07:00:00,2021-07-05 08:00:00,5.97,13.37,2.59,1.43,4.83,10.05,2.2,0.34,32.6,0.0,80.01,,73.4,0.0,,22.45,0.0
2021-07-05 08:00:00,2021-07-05 09:00:00,6.47,12.3,2.46,1.5,4.74,11.02,2.28,0.34,34.59,0.0,73.88,,174.4,0.0,,24.61,0.0
2021-07-05 09:00:00,2021-07-05 10:00:00,4.71,11.59,2.44,1.61,4.79,11.12,2.36,0.36,34.77,0.0,60.09,,19.58,0.0,,23.54,0.0
2021-07-05 10:00:00,2021-07-05 11:00:00,6.89,15.9,2.54,1.58,4.85,15.05,2.46,0.36,37.58,0.0,59.57,,123.19,0.0,,24.5,0.0
2021-07-05 11:00:00,2021-07-05 12:00:00,10.15,18.3,2.57,1.44,4.8,15.54,2.54,0.36,39.52,0.0,64.41,,107.12,0.0,,25.54,0.0
2021-07-05 12:00:00,2021-07-05 13:00:00,9.88,26.45,2.54,1.56,4.85,17.71,2.61,0.38,39.23,0.0,65.47,,111.5,0.0,,25.81,0.0
2021-07-05 13:00:00,2021-07-05 14:00:00,11.07,22.22,2.48,1.65,4.81,19.87,2.24,0.37,47.32,0.0,69.28,,89.89,0.0,,27.2,0.0
2021-07-05 14:00:00,2021-07-05 15:00:00,11.41,25.69,2.56,1.44,4.77,20.24,1.48,0.37,53.65,0.0,60.99,,93.06,0.0,,24.43,0.0
2021-07-05 15:00:00,2021-07-05 16:00:00,14.82,26.97,2.59,1.62,4.95,20.56,1.47,0.36,55.14,0.0,52.81,,86.0,0.0,,23.36,0.0
2021-07-05 16:00:00,2021-07-05 17:00:00,14.85,22.45,2.45,1.38,4.55,22.29,1.25,0.35,54.09,0.0,49.82,,48.09,0.0,742.78,20.43,0.0
2021-07-05 17:00:00,2021-07-05 18:00:00,15.43,27.03,2.56,1.34,4.65,23.02,1.5,0.37,53.94,0.0,80.2,,98.45,0.0,742.95,31.3,0.0
2021-07-05 18:00:00,2021-07-05 19:00:00,18.0,32.67,2.47,1.56,4.74,23.46,1.71,0.44,47.59,0.0,84.59,,108.6,0.0,743.16,30.17,0.0
2021-07-05 19:00:00,2021-07-05 20:00:00,19.99,46.94,2.58,1.56,4.92,29.3,1.99,0.57,29.52,0.0,89.87,,124.71,0.0,743.94,29.44,0.0
2021-07-05 20:00:00,2021-07-05 21:00:00,33.57,62.58,2.44,1.58,4.75,28.71,2.32,0.63,26.49,0.0,81.94,,122.02,0.0,,25.88,0.0
2021-07-05 21:00:00,2021-07-05 22:00:00,34.74,60.66,2.56,1.51,4.79,23.25,2.22,0.6,23.1,0.0,93.19,,112.44,0.0,744.61,28.79,0.0
2021-07-05 22:00:00,2021-07-05 23:00:00,24.73,49.26,2.51,1.46,4.7,24.14,2.28,0.6,22.45,0.0,92.41,,138.41,0.0,744.72,28.49,0.0
2021-07-05 23:00:00,2021-07-06 00:00:00,24.8,51.12,2.6,1.48,4.84,20.9,2.25,0.55,20.77,0.0,89.69,,63.14,0.0,717.94,27.21,0.0
2021-07-06 00:00:00,2021-07-06 01:00:00,20.47,37.02,2.53,1.46,4.71,16.1,2.27,0.53,15.65,0.0,94.72,,84.0,0.0,744.33,27.65,0.0
2021-07-06 01:00:00,2021-07-06 02:00:00,18.87,31.82,2.48,1.49,4.69,21.59,2.68,0.55,9.88,0.0,96.36,,98.46,0.0,744.08,27.36,0.0
2021-07-06 02:00:00,2021-07-06 03:00:00,16.64,25.91,2.38,1.59,4.66,18.98,3.16,0.55,4.91,0.0,89.02,,45.47,0.0,,25.05,0.0
2021-07-06 03:00:00,2021-07-06 04:00:00,22.18,35.45,2.48,1.56,4.75,27.33,2.84,0.55,12.2,0.0,88.39,,57.21,0.0,,25.43,0.0
2021-07-06 04:00:00,2021-07-06 05:00:00,34.29,43.14,2.49,1.58,4.79,25.91,2.82,0.55,12.51,0.0,96.84,,89.59,0.0,743.68,27.59,0.0
2021-07-06 05:00:00,2021-07-06 06:00:00,27.0,44.18,2.57,1.53,4.82,29.11,2.84,0.58,10.93,0.0,97.74,,42.35,0.0,743.54,27.57,0.0
2021-07-06 06:00:00,2021-07-06 07:00:00,33.66,42.17,2.59,1.39,4.78,24.56,2.75,0.58,14.02,0.0,92.33,,89.74,0.0,743.74,28.85,0.0
2021-07-06 07:00:00,2021-07-06 08:00:00,28.37,44.52,2.42,1.6,4.71,23.24,2.59,0.59,25.04,0.0,83.34,,81.82,0.0,744.06,30.59,0.0
2021-07-06 08:00:00,2021-07-06 09:00:00,28.93,44.38,2.51,1.45,4.69,20.87,2.61,0.58,31.53,0.0,76.08,,96.92,0.0,744.19,31.98,0.0
2021-07-06 09:00:00,2021-07-06 10:00:00,27.89,42.34,2.52,1.48,4.76,19.61,2.58,0.57,38.21,0.0,69.22,,82.06,0.0,717.56,31.94,0.0
2021-07-06 10:00:00,2021-07-06 11:00:00,23.92,47.62,2.41,1.61,4.73,23.38,2.44,0.52,48.46,0.0,66.35,,128.55,0.0,744.06,34.81,0.0
2021-07-06 11:00:00,2021-07-06 12:00:00,28.63,51.04,2.39,1.65,4.73,24.56,2.09,0.47,59.61,0.0,67.52,,133.36,0.0,743.81,34.45,0.0
2021-07-06 12:00:00,2021-07-06 13:00:00,31.89,56.45,2.56,1.51,4.86,25.26,2.17,0.46,58.54,0.0,63.82,,122.41,0.0,743.25,35.3,0.0
2021-07-06 13:00:00,2021-07-06 14:00:00,21.06,59.94,2.56,1.45,4.74,23.96,2.23,0.43,55.22,0.0,56.82,,161.34,0.0,719.5,35.1,0.0
2021-07-06 14:00:00,2021-07-06 15:00:00,26.01,56.93,2.68,1.25,4.75,16.84,1.47,0.38,70.4,0.0,,,,198.48,,,0.0
2021-07-06 15:00:00,2021-07-06 16:00:00,22.73,64.21,2.58,1.52,4.86,18.52,1.38,0.38,64.86,0.0,,,,0.0,,,0.0
2021-07-06 16:00:00,2021-07-06 17:00:00,24.44,74.08,2.62,1.69,5.04,19.54,1.61,0.38,79.86,0.0,46.11,,169.24,35.38,741.02,30.47,0.0
2021-07-06 17:00:00,2021-07-06 18:00:00,23.14,65.2,2.45,1.59,4.75,21.36,1.74,0.41,61.86,0.0,64.31,,150.92,125.66,740.99,35.45,0.0
2021-07-06 18:00:00,2021-07-06 19:00:00,26.78,65.05,2.46,1.58,4.71,29.16,2.08,0.42,38.59,0.0,80.87,,79.45,27.84,741.39,32.33,0.0
2021-07-06 19:00:00,2021-07-06 20:00:00,25.24,53.86,2.49,1.58,4.76,29.81,2.01,0.41,41.66,0.0,81.81,,76.75,0.0,732.19,30.87,0.0
2021-07-06 20:00:00,2021-07-06 21:00:00,30.51,49.32,2.49,1.44,4.67,25.7,2.0,0.42,38.92,0.0,84.34,,72.7,0.0,742.38,30.71,0.0
2021-07-06 21:00:00,2021-07-06 22:00:00,24.56,49.26,2.68,1.44,4.93,26.64,1.84,0.46,37.98,0.0,85.12,,86.24,0.0,742.63,30.34,0.0
2021-07-06 22:00:00,2021-07-06 23:00:00,26.46,47.1,2.64,1.38,4.82,28.3,1.89,0.48,33.64,0.0,87.22,,77.04,0.0,742.86,30.03,0.0
2021-07-06 23:00:00,2021-07-07 00:00:00,33.95,47.35,2.53,1.5,4.75,27.01,1.88,0.51,30.88,0.0,89.45,,98.78,0.0,742.68,29.72,0.0
2021-07-07 00:00:00,2021-07-07 01:00:00,30.13,49.61,2.53,1.59,4.86,41.81,2.29,0.51,25.39,0.0,87.96,,76.32,0.0,732.83,29.14,0.0
2021-07-07 01:00:00,2021-07-07 02:00:00,30.98,52.35,2.62,1.43,4.84,31.78,2.6,0.49,25.54,0.0,89.14,,49.98,0.0,742.21,29.12,0.0
2021-07-07 02:00:00,2021-07-07 03:00:00,25.09,40.32,2.51,1.41,4.67,31.55,2.77,0.49,24.28,0.0,90.56,,68.91,0.0,732.16,28.49,0.0
2021-07-07 03:00:00,2021-07-07 04:00:00,24.63,36.71,2.62,1.39,4.8,31.49,2.8,0.52,20.36,0.0,94.09,,56.81,0.0,741.91,28.74,0.0
2021-07-07 04:00:00,2021-07-07 05:00:00,36.91,48.04,2.41,1.62,4.72,23.1,2.43,0.52,21.78,0.0,94.26,,85.67,0.0,741.89,28.65,0.0
