From Date,To Date,PM2.5 (ug/m3),CO (mg/m3),Ozone (ug/m3)
2020-12-17 15:00:00,2020-12-17 16:00:00,52.13,0.45,10.69
2020-12-17 16:00:00,2020-12-17 17:00:00,54.49,0.41,7.85
2020-12-17 17:00:00,2020-12-17 18:00:00,54.9,0.39,7.64
2020-12-17 18:00:00,2020-12-17 19:00:00,82.78,0.39,5.58
2020-12-17 19:00:00,2020-12-17 20:00:00,116.1,0.39,6.74
2020-12-17 20:00:00,2020-12-17 21:00:00,126.82,0.67,7.39
2020-12-17 21:00:00,2020-12-17 22:00:00,125.79,0.83,5.26
2020-12-17 22:00:00,2020-12-17 23:00:00,104.13,0.83,4.78
2020-12-17 23:00:00,2020-12-18 00:00:00,105.87,0.72,5.2
2020-12-18 00:00:00,2020-12-18 01:00:00,121.16,0.53,5.57
2020-12-18 01:00:00,2020-12-18 02:00:00,128.06,0.53,6.56
2020-12-18 02:00:00,2020-12-18 03:00:00,137.99,0.53,4.78
2020-12-18 03:00:00,2020-12-18 04:00:00,121.71,0.53,2.87
2020-12-18 04:00:00,2020-12-18 05:00:00,105.19,0.53,1.97
2020-12-18 05:00:00,2020-12-18 06:00:00,120.31,0.53,0.84
2020-12-18 06:00:00,2020-12-18 07:00:00,116.5,0.53,
2020-12-18 07:00:00,2020-12-18 08:00:00,116.59,0.56,
2020-12-18 08:00:00,2020-12-18 09:00:00,136.46,0.61,0.26
2020-12-18 09:00:00,2020-12-18 10:00:00,139.86,0.61,1.02
2020-12-18 10:00:00,2020-12-18 11:00:00,175.69,0.61,0.32
2020-12-18 11:00:00,2020-12-18 12:00:00,177.22,0.61,0.71
2020-12-18 12:00:00,2020-12-18 13:00:00,164.11,0.61,2.71
2020-12-18 13:00:00,2020-12-18 14:00:00,133.85,0.61,28.71
2020-12-18 14:00:00,2020-12-18 15:00:00,120.67,0.61,32.03
2020-12-18 15:00:00,2020-12-18 16:00:00,92.96,0.61,31.76
2020-12-18 16:00:00,2020-12-18 17:00:00,85.38,0.61,25.17
2020-12-18 17:00:00,2020-12-18 18:00:00,84.74,0.61,15.21
2020-12-18 18:00:00,2020-12-18 19:00:00,60.96,0.52,8.13
2020-12-18 19:00:00,2020-12-18 20:00:00,63.05,0.52,16.86
2020-12-18 20:00:00,2020-12-18 21:00:00,74.4,0.52,16.55
2020-12-18 21:00:00,2020-12-18 22:00:00,107.51,0.52,13.89
2020-12-18 22:00:00,2020-12-18 23:00:00,137.1,0.52,14.91
2020-12-18 23:00:00,2020-12-19 00:00:00,149.6,0.52,17.96
2020-12-19 00:00:00,2020-12-19 01:00:00,147.41,0.52,20.18
2020-12-19 01:00:00,2020-12-19 02:00:00,131.85,0.52,14.63
2020-12-19 02:00:00,2020-12-19 03:00:00,133.71,0.52,13.18
2020-12-19 03:00:00,2020-12-19 04:00:00,140.83,0.39,18.52
2020-12-19 04:00:00,2020-12-19 05:00:00,122.12,0.52,20.43
2020-12-19 05:00:00,2020-12-19 06:00:00,128.34,0.52,16.59
2020-12-19 06:00:00,2020-12-19 07:00:00,139.78,0.52,14.25
2020-12-19 07:00:00,2020-12-19 08:00:00,126.72,0.52,11.91
2020-12-19 08:00:00,2020-12-19 09:00:00,143.66,0.52,17.0
2020-12-19 09:00:00,2020-12-19 10:00:00,181.56,0.52,33.14
2020-12-19 10:00:00,2020-12-19 11:00:00,194.22,0.52,29.83
2020-12-19 11:00:00,2020-12-19 12:00:00,167.7,0.27,21.65
2020-12-19 12:00:00,2020-12-19 13:00:00,147.7,0.35,20.63
2020-12-19 13:00:00,2020-12-19 14:00:00,,0.26,22.33
2020-12-19 14:00:00,2020-12-19 15:00:00,35.84,0.23,26.22
2020-12-19 15:00:00,2020-12-19 16:00:00,57.24,0.23,21.77
2020-12-19 16:00:00,2020-12-19 17:00:00,80.43,0.23,19.2
2020-12-19 17:00:00,2020-12-19 18:00:00,85.62,0.23,18.84
2020-12-19 18:00:00,2020-12-19 19:00:00,88.39,0.73,12.02
2020-12-19 19:00:00,2020-12-19 20:00:00,56.62,0.93,11.68
2020-12-19 20:00:00,2020-12-19 21:00:00,58.88,0.92,12.69
2020-12-19 21:00:00,2020-12-19 22:00:00,66.63,1.06,5.58
2020-12-19 22:00:00,2020-12-19 23:00:00,122.6,0.8,7.51
2020-12-19 23:00:00,2020-12-20 00:00:00,150.99,0.65,7.93
2020-12-20 00:00:00,2020-12-20 01:00:00,174.48,0.89,
2020-12-20 01:00:00,2020-12-20 02:00:00,190.12,0.95,
2020-12-20 02:00:00,2020-12-20 03:00:00,210.53,0.95,
2020-12-20 03:00:00,2020-12-20 04:00:00,216.45,0.83,
2020-12-20 04:00:00,2020-12-20 05:00:00,239.47,0.66,
2020-12-20 05:00:00,2020-12-20 06:00:00,236.07,0.36,1.48
2020-12-20 06:00:00,2020-12-20 07:00:00,233.99,0.29,4.17
2020-12-20 07:00:00,2020-12-20 08:00:00,207.97,0.29,4.48
2020-12-20 08:00:00,2020-12-20 09:00:00,206.77,0.31,8.23
2020-12-20 09:00:00,2020-12-20 10:00:00,211.59,0.32,15.32
2020-12-20 10:00:00,2020-12-20 11:00:00,247.29,0.32,9.45
2020-12-20 11:00:00,2020-12-20 12:00:00,294.05,0.24,14.18
2020-12-20 12:00:00,2020-12-20 13:00:00,301.22,0.23,17.95
2020-12-20 13:00:00,2020-12-20 14:00:00,254.94,0.23,22.82
2020-12-20 14:00:00,2020-12-20 15:00:00,215.09,0.23,28.3
2020-12-20 15:00:00,2020-12-20 16:00:00,202.93,0.23,24.4
2020-12-20 16:00:00,2020-12-20 17:00:00,207.88,0.32,22.93
2020-12-20 17:00:00,2020-12-20 18:00:00,232.38,0.54,22.52
2020-12-20 18:00:00,2020-12-20 19:00:00,180.99,0.66,24.5
2020-12-20 19:00:00,2020-12-20 20:00:00,185.22,0.94,16.3
2020-12-20 20:00:00,2020-12-20 21:00:00,214.31,0.88,14.87
2020-12-20 21:00:00,2020-12-20 22:00:00,235.61,0.88,18.67
2020-12-20 22:00:00,2020-12-20 23:00:00,261.14,0.88,14.5
2020-12-20 23:00:00,2020-12-21 00:00:00,271.4,0.81,11.9
2020-12-21 00:00:00,2020-12-21 01:00:00,278.88,0.73,4.62
2020-12-21 01:00:00,2020-12-21 02:00:00,299.93,1.03,5.1
2020-12-21 02:00:00,2020-12-21 03:00:00,305.06,1.23,6.64
2020-12-21 03:00:00,2020-12-21 04:00:00,301.61,1.04,6.53
2020-12-21 04:00:00,2020-12-21 05:00:00,277.62,0.93,9.35
2020-12-21 05:00:00,2020-12-21 06:00:00,264.37,0.89,10.19
2020-12-21 06:00:00,2020-12-21 07:00:00,250.92,1.01,4.23
2020-12-21 07:00:00,2020-12-21 08:00:00,246.93,0.93,0.67
2020-12-21 08:00:00,2020-12-21 09:00:00,748.14,1.05,16.27
2020-12-21 09:00:00,2020-12-21 10:00:00,999.99,0.95,34.03
2020-12-21 10:00:00,2020-12-21 11:00:00,,0.74,22.61
2020-12-21 11:00:00,2020-12-21 12:00:00,291.26,0.63,17.75
2020-12-21 12:00:00,2020-12-21 13:00:00,331.78,0.46,5.85
2020-12-21 13:00:00,2020-12-21 14:00:00,295.73,0.32,8.15
2020-12-21 14:00:00,2020-12-21 15:00:00,269.03,0.61,14.33
2020-12-21 15:00:00,2020-12-21 16:00:00,267.15,0.6,11.24
2020-12-21 16:00:00,2020-12-21 17:00:00,262.32,0.97,14.49
2020-12-21 17:00:00,2020-12-21 18:00:00,205.35,1.31,13.32
2020-12-21 18:00:00,2020-12-21 19:00:00,171.91,1.23,12.8
2020-12-21 19:00:00,2020-12-21 20:00:00,183.77,1.08,5.71
2020-12-21 20:00:00,2020-12-21 21:00:00,592.62,1.19,1.0
2020-12-21 21:00:00,2020-12-21 22:00:00,999.99,1.12,2.13
2020-12-21 22:00:00,2020-12-21 23:00:00,999.99,1.06,6.9
2020-12-21 23:00:00,2020-12-22 00:00:00,999.99,1.11,4.31
2020-12-22 00:00:00,2020-12-22 01:00:00,999.99,1.24,1.89
2020-12-22 01:00:00,2020-12-22 02:00:00,999.99,1.22,3.11
2020-12-22 02:00:00,2020-12-22 03:00:00,999.99,1.01,3.68
2020-12-22 03:00:00,2020-12-22 04:00:00,999.99,0.86,3.07
2020-12-22 04:00:00,2020-12-22 05:00:00,999.99,0.91,
2020-12-22 05:00:00,2020-12-22 06:00:00,999.99,1.0,
2020-12-22 06:00:00,2020-12-22 07:00:00,999.99,1.03,
2020-12-22 07:00:00,2020-12-22 08:00:00,999.99,0.93,
2020-12-22 08:00:00,2020-12-22 09:00:00,999.99,0.96,1.62
2020-12-22 09:00:00,2020-12-22 10:00:00,127.41,0.91,7.84
2020-12-22 10:00:00,2020-12-22 11:00:00,234.65,0.82,9.47
2020-12-22 11:00:00,2020-12-22 12:00:00,272.5,0.89,10.22
2020-12-22 12:00:00,2020-12-22 13:00:00,286.7,0.45,12.73
2020-12-22 13:00:00,2020-12-22 14:00:00,259.93,0.29,15.02
2020-12-22 14:00:00,2020-12-22 15:00:00,208.98,0.44,17.88
2020-12-22 15:00:00,2020-12-22 16:00:00,187.78,0.36,12.4
2020-12-22 16:00:00,2020-12-22 17:00:00,182.18,0.32,9.39
2020-12-22 17:00:00,2020-12-22 18:00:00,156.38,0.65,2.06
2020-12-22 18:00:00,2020-12-22 19:00:00,85.8,1.23,2.5
2020-12-22 19:00:00,2020-12-22 20:00:00,95.88,0.99,0.91
2020-12-22 20:00:00,2020-12-22 21:00:00,130.38,1.05,1.06
2020-12-22 21:00:00,2020-12-22 22:00:00,170.8,0.87,2.09
2020-12-22 22:00:00,2020-12-22 23:00:00,186.22,0.91,1.41
2020-12-22 23:00:00,2020-12-23 00:00:00,204.9,0.91,0.51
2020-12-23 00:00:00,2020-12-23 01:00:00,215.63,0.97,0.66
2020-12-23 01:00:00,2020-12-23 02:00:00,234.75,0.89,0.1
2020-12-23 02:00:00,2020-12-23 03:00:00,242.55,0.75,
2020-12-23 03:00:00,2020-12-23 04:00:00,232.27,0.74,
2020-12-23 04:00:00,2020-12-23 05:00:00,238.93,0.72,
2020-12-23 05:00:00,2020-12-23 06:00:00,233.15,0.6,
2020-12-23 06:00:00,2020-12-23 07:00:00,221.85,1.07,
2020-12-23 07:00:00,2020-12-23 08:00:00,238.27,1.32,
2020-12-23 08:00:00,2020-12-23 09:00:00,263.9,1.48,0.11
2020-12-23 09:00:00,2020-12-23 10:00:00,285.03,1.61,14.62
2020-12-23 10:00:00,2020-12-23 11:00:00,314.28,0.48,13.53
2020-12-23 11:00:00,2020-12-23 12:00:00,348.05,0.33,10.22
2020-12-23 12:00:00,2020-12-23 13:00:00,313.07,0.24,12.46
2020-12-23 13:00:00,2020-12-23 14:00:00,260.1,0.17,16.32
2020-12-23 14:00:00,2020-12-23 15:00:00,221.4,0.32,18.77
2020-12-23 15:00:00,2020-12-23 16:00:00,167.75,0.27,13.03
2020-12-23 16:00:00,2020-12-23 17:00:00,139.97,0.36,8.83
2020-12-23 17:00:00,2020-12-23 18:00:00,141.65,0.71,2.7
2020-12-23 18:00:00,2020-12-23 19:00:00,114.38,0.99,1.38
2020-12-23 19:00:00,2020-12-23 20:00:00,113.7,0.93,2.46
2020-12-23 20:00:00,2020-12-23 21:00:00,122.85,0.3,6.15
2020-12-23 21:00:00,2020-12-23 22:00:00,126.48,0.25,3.79
2020-12-23 22:00:00,2020-12-23 23:00:00,136.98,0.28,8.59
2020-12-23 23:00:00,2020-12-24 00:00:00,172.1,0.24,14.43
2020-12-24 00:00:00,2020-12-24 01:00:00,177.93,0.3,8.1
2020-12-24 01:00:00,2020-12-24 02:00:00,181.8,0.25,4.43
2020-12-24 02:00:00,2020-12-24 03:00:00,193.87,0.77,3.46
2020-12-24 03:00:00,2020-12-24 04:00:00,182.75,0.75,2.34
2020-12-24 04:00:00,2020-12-24 05:00:00,191.43,0.78,6.04
2020-12-24 05:00:00,2020-12-24 06:00:00,209.55,0.76,12.61
2020-12-24 06:00:00,2020-12-24 07:00:00,191.97,0.49,8.81
2020-12-24 07:00:00,2020-12-24 08:00:00,201.15,0.46,3.73
2020-12-24 08:00:00,2020-12-24 09:00:00,204.6,0.23,1.56
2020-12-24 09:00:00,2020-12-24 10:00:00,206.65,0.48,28.99
2020-12-24 10:00:00,2020-12-24 11:00:00,272.0,0.25,18.14
2020-12-24 11:00:00,2020-12-24 12:00:00,262.95,0.24,15.47
2020-12-24 12:00:00,2020-12-24 13:00:00,227.45,0.52,19.7
2020-12-24 13:00:00,2020-12-24 14:00:00,211.1,0.38,20.14
2020-12-24 14:00:00,2020-12-24 15:00:00,194.92,0.28,21.19
2020-12-24 15:00:00,2020-12-24 16:00:00,157.58,0.26,14.21
2020-12-24 16:00:00,2020-12-24 17:00:00,143.98,0.31,10.44
2020-12-24 17:00:00,2020-12-24 18:00:00,141.12,0.55,6.81
2020-12-24 18:00:00,2020-12-24 19:00:00,115.8,0.8,4.62
2020-12-24 19:00:00,2020-12-24 20:00:00,109.1,0.84,2.07
2020-12-24 20:00:00,2020-12-24 21:00:00,117.78,0.9,1.29
2020-12-24 21:00:00,2020-12-24 22:00:00,150.9,0.86,5.96
2020-12-24 22:00:00,2020-12-24 23:00:00,189.1,0.54,13.41
2020-12-24 23:00:00,2020-12-25 00:00:00,195.2,0.44,17.56
2020-12-25 00:00:00,2020-12-25 01:00:00,213.15,0.63,17.6
2020-12-25 01:00:00,2020-12-25 02:00:00,229.0,0.57,18.76
2020-12-25 02:00:00,2020-12-25 03:00:00,232.45,0.39,18.82
2020-12-25 03:00:00,2020-12-25 04:00:00,205.33,0.34,19.52
2020-12-25 04:00:00,2020-12-25 05:00:00,190.9,0.31,18.59
2020-12-25 05:00:00,2020-12-25 06:00:00,198.6,0.29,18.79
2020-12-25 06:00:00,2020-12-25 07:00:00,185.72,0.32,18.05
2020-12-25 07:00:00,2020-12-25 08:00:00,191.22,0.31,16.03
2020-12-25 08:00:00,2020-12-25 09:00:00,201.02,0.39,15.77
2020-12-25 09:00:00,2020-12-25 10:00:00,225.05,0.35,25.63
2020-12-25 10:00:00,2020-12-25 11:00:00,239.12,0.29,16.64
2020-12-25 11:00:00,2020-12-25 12:00:00,213.07,0.24,16.35
2020-12-25 12:00:00,2020-12-25 13:00:00,162.25,0.24,19.59
2020-12-25 13:00:00,2020-12-25 14:00:00,108.25,0.23,18.68
2020-12-25 14:00:00,2020-12-25 15:00:00,78.9,0.29,23.42
2020-12-25 15:00:00,2020-12-25 16:00:00,80.3,0.3,15.88
2020-12-25 16:00:00,2020-12-25 17:00:00,82.02,0.32,14.39
2020-12-25 17:00:00,2020-12-25 18:00:00,82.78,0.4,16.55
2020-12-25 18:00:00,2020-12-25 19:00:00,68.67,0.66,15.14
2020-12-25 19:00:00,2020-12-25 20:00:00,57.47,0.76,9.22
2020-12-25 20:00:00,2020-12-25 21:00:00,75.32,0.48,6.01
2020-12-25 21:00:00,2020-12-25 22:00:00,108.0,0.44,8.96
2020-12-25 22:00:00,2020-12-25 23:00:00,119.65,0.24,14.75
2020-12-25 23:00:00,2020-12-26 00:00:00,134.3,0.23,17.64
2020-12-26 00:00:00,2020-12-26 01:00:00,133.45,0.24,17.96
2020-12-26 01:00:00,2020-12-26 02:00:00,140.25,0.23,19.18
2020-12-26 02:00:00,2020-12-26 03:00:00,139.03,0.38,19.56
2020-12-26 03:00:00,2020-12-26 04:00:00,144.73,0.38,17.91
2020-12-26 04:00:00,2020-12-26 05:00:00,143.1,0.56,17.74
2020-12-26 05:00:00,2020-12-26 06:00:00,155.15,0.53,19.15
2020-12-26 06:00:00,2020-12-26 07:00:00,140.6,0.32,17.48
2020-12-26 07:00:00,2020-12-26 08:00:00,157.7,0.32,13.56
2020-12-26 08:00:00,2020-12-26 09:00:00,171.77,0.43,11.09
2020-12-26 09:00:00,2020-12-26 10:00:00,200.65,0.43,18.88
2020-12-26 10:00:00,2020-12-26 11:00:00,222.65,0.35,25.79
2020-12-26 11:00:00,2020-12-26 12:00:00,242.2,0.07,25.18
2020-12-26 12:00:00,2020-12-26 13:00:00,,0.0,
2020-12-26 13:00:00,2020-12-26 14:00:00,,0.0,
2020-12-26 14:00:00,2020-12-26 15:00:00,,0.0,
2020-12-26 15:00:00,2020-12-26 16:00:00,,0.0,
2020-12-26 16:00:00,2020-12-26 17:00:00,,0.0,
2020-12-26 17:00:00,2020-12-26 18:00:00,,0.42,14.71
2020-12-26 18:00:00,2020-12-26 19:00:00,,0.39,19.55
2020-12-26 19:00:00,2020-12-26 20:00:00,37.0,0.31,19.73
2020-12-26 20:00:00,2020-12-26 21:00:00,67.42,0.34,10.77
2020-12-26 21:00:00,2020-12-26 22:00:00,117.82,0.24,15.5
2020-12-26 22:00:00,2020-12-26 23:00:00,129.4,0.38,17.11
2020-12-26 23:00:00,2020-12-27 00:00:00,133.43,0.83,4.16
2020-12-27 00:00:00,2020-12-27 01:00:00,177.12,1.58,
2020-12-27 01:00:00,2020-12-27 02:00:00,227.47,2.01,
2020-12-27 02:00:00,2020-12-27 03:00:00,264.8,2.29,
2020-12-27 03:00:00,2020-12-27 04:00:00,299.9,2.46,
2020-12-27 04:00:00,2020-12-27 05:00:00,293.48,1.92,
2020-12-27 05:00:00,2020-12-27 06:00:00,328.3,1.69,
2020-12-27 06:00:00,2020-12-27 07:00:00,330.73,1.01,
2020-12-27 07:00:00,2020-12-27 08:00:00,318.35,0.49,
2020-12-27 08:00:00,2020-12-27 09:00:00,272.5,1.07,
2020-12-27 09:00:00,2020-12-27 10:00:00,262.9,0.69,14.37
2020-12-27 10:00:00,2020-12-27 11:00:00,285.82,0.39,12.52
2020-12-27 11:00:00,2020-12-27 12:00:00,245.78,0.26,20.67
2020-12-27 12:00:00,2020-12-27 13:00:00,220.25,0.23,22.43
2020-12-27 13:00:00,2020-12-27 14:00:00,172.68,0.23,20.86
2020-12-27 14:00:00,2020-12-27 15:00:00,153.1,0.27,24.13
2020-12-27 15:00:00,2020-12-27 16:00:00,123.35,0.25,15.96
2020-12-27 16:00:00,2020-12-27 17:00:00,131.85,0.29,17.19
2020-12-27 17:00:00,2020-12-27 18:00:00,135.62,0.52,42.52
2020-12-27 18:00:00,2020-12-27 19:00:00,109.28,0.5,26.97
2020-12-27 19:00:00,2020-12-27 20:00:00,141.12,0.81,19.02
2020-12-27 20:00:00,2020-12-27 21:00:00,160.4,1.26,5.57
2020-12-27 21:00:00,2020-12-27 22:00:00,233.12,2.13,
2020-12-27 22:00:00,2020-12-27 23:00:00,267.55,1.87,
2020-12-27 23:00:00,2020-12-28 00:00:00,267.5,1.64,
2020-12-28 00:00:00,2020-12-28 01:00:00,257.75,0.87,2.44
2020-12-28 01:00:00,2020-12-28 02:00:00,232.55,0.36,7.69
2020-12-28 02:00:00,2020-12-28 03:00:00,213.22,0.31,12.76
2020-12-28 03:00:00,2020-12-28 04:00:00,209.5,0.23,15.83
2020-12-28 04:00:00,2020-12-28 05:00:00,171.88,0.23,20.06
2020-12-28 05:00:00,2020-12-28 06:00:00,154.93,0.24,13.77
2020-12-28 06:00:00,2020-12-28 07:00:00,153.33,0.27,6.59
2020-12-28 07:00:00,2020-12-28 08:00:00,165.28,0.26,3.55
2020-12-28 08:00:00,2020-12-28 09:00:00,184.2,0.54,9.84
2020-12-28 09:00:00,2020-12-28 10:00:00,204.07,0.5,28.75
2020-12-28 10:00:00,2020-12-28 11:00:00,220.25,0.74,23.22
2020-12-28 11:00:00,2020-12-28 12:00:00,261.02,0.74,29.71
2020-12-28 12:00:00,2020-12-28 13:00:00,249.47,0.44,25.69
2020-12-28 13:00:00,2020-12-28 14:00:00,235.55,0.31,31.57
2020-12-28 14:00:00,2020-12-28 15:00:00,194.32,0.24,32.23
2020-12-28 15:00:00,2020-12-28 16:00:00,164.53,0.23,21.26
2020-12-28 16:00:00,2020-12-28 17:00:00,174.07,0.37,13.8
2020-12-28 17:00:00,2020-12-28 18:00:00,182.3,0.54,2.94
2020-12-28 18:00:00,2020-12-28 19:00:00,143.4,0.71,1.98
2020-12-28 19:00:00,2020-12-28 20:00:00,154.93,0.95,1.03
2020-12-28 20:00:00,2020-12-28 21:00:00,190.38,0.78,2.23
2020-12-28 21:00:00,2020-12-28 22:00:00,219.95,0.62,5.96
2020-12-28 22:00:00,2020-12-28 23:00:00,231.05,0.67,7.68
2020-12-28 23:00:00,2020-12-29 00:00:00,216.0,0.65,7.34
2020-12-29 00:00:00,2020-12-29 01:00:00,230.32,0.41,6.12
2020-12-29 01:00:00,2020-12-29 02:00:00,219.28,0.34,6.74
2020-12-29 02:00:00,2020-12-29 03:00:00,206.02,0.51,6.0
2020-12-29 03:00:00,2020-12-29 04:00:00,202.7,0.48,5.71
2020-12-29 04:00:00,2020-12-29 05:00:00,198.23,0.3,5.48
2020-12-29 05:00:00,2020-12-29 06:00:00,181.97,0.3,4.47
2020-12-29 06:00:00,2020-12-29 07:00:00,169.68,0.27,4.28
2020-12-29 07:00:00,2020-12-29 08:00:00,157.32,0.23,4.38
2020-12-29 08:00:00,2020-12-29 09:00:00,163.92,0.28,5.75
2020-12-29 09:00:00,2020-12-29 10:00:00,173.22,0.24,10.69
2020-12-29 10:00:00,2020-12-29 11:00:00,195.52,0.24,9.42
2020-12-29 11:00:00,2020-12-29 12:00:00,147.83,0.23,11.23
2020-12-29 12:00:00,2020-12-29 13:00:00,112.18,0.23,10.93
2020-12-29 13:00:00,2020-12-29 14:00:00,79.2,0.23,13.8
2020-12-29 14:00:00,2020-12-29 15:00:00,70.3,0.24,16.18
2020-12-29 15:00:00,2020-12-29 16:00:00,56.08,0.23,15.32
2020-12-29 16:00:00,2020-12-29 17:00:00,54.35,0.26,8.28
2020-12-29 17:00:00,2020-12-29 18:00:00,52.58,0.43,9.29
2020-12-29 18:00:00,2020-12-29 19:00:00,36.78,0.93,0.24
2020-12-29 19:00:00,2020-12-29 20:00:00,20.95,1.04,2.45
2020-12-29 20:00:00,2020-12-29 21:00:00,82.35,0.54,5.51
2020-12-29 21:00:00,2020-12-29 22:00:00,102.88,0.39,9.68
2020-12-29 22:00:00,2020-12-29 23:00:00,125.55,0.46,14.19
2020-12-29 23:00:00,2020-12-30 00:00:00,129.53,0.36,20.82
2020-12-30 00:00:00,2020-12-30 01:00:00,128.53,0.39,23.9
2020-12-30 01:00:00,2020-12-30 02:00:00,135.58,0.29,32.09
2020-12-30 02:00:00,2020-12-30 03:00:00,146.2,0.42,26.84
2020-12-30 03:00:00,2020-12-30 04:00:00,147.03,0.43,24.45
2020-12-30 04:00:00,2020-12-30 05:00:00,159.53,0.3,23.4
2020-12-30 05:00:00,2020-12-30 06:00:00,154.7,0.32,21.53
2020-12-30 06:00:00,2020-12-30 07:00:00,162.38,0.41,20.17
2020-12-30 07:00:00,2020-12-30 08:00:00,150.85,0.43,14.54
2020-12-30 08:00:00,2020-12-30 09:00:00,175.68,0.45,13.58
2020-12-30 09:00:00,2020-12-30 10:00:00,201.72,0.43,17.31
2020-12-30 10:00:00,2020-12-30 11:00:00,220.72,0.43,16.02
2020-12-30 11:00:00,2020-12-30 12:00:00,245.65,0.29,8.88
2020-12-30 12:00:00,2020-12-30 13:00:00,209.68,0.31,12.94
2020-12-30 13:00:00,2020-12-30 14:00:00,159.2,0.24,11.85
2020-12-30 14:00:00,2020-12-30 15:00:00,124.7,0.24,10.84
2020-12-30 15:00:00,2020-12-30 16:00:00,96.62,0.23,9.1
2020-12-30 16:00:00,2020-12-30 17:00:00,102.72,0.27,4.18
2020-12-30 17:00:00,2020-12-30 18:00:00,101.15,0.41,3.41
2020-12-30 18:00:00,2020-12-30 19:00:00,91.55,0.38,2.55
2020-12-30 19:00:00,2020-12-30 20:00:00,76.97,0.56,3.37
2020-12-30 20:00:00,2020-12-30 21:00:00,116.65,0.83,9.85
2020-12-30 21:00:00,2020-12-30 22:00:00,146.05,0.76,14.71
2020-12-30 22:00:00,2020-12-30 23:00:00,156.6,0.48,14.02
2020-12-30 23:00:00,2020-12-31 00:00:00,166.55,0.45,17.16
2020-12-31 00:00:00,2020-12-31 01:00:00,162.35,0.47,21.7
2020-12-31 01:00:00,2020-12-31 02:00:00,167.33,0.36,18.97
2020-12-31 02:00:00,2020-12-31 03:00:00,185.45,0.61,11.05
2020-12-31 03:00:00,2020-12-31 04:00:00,198.1,0.67,8.69
2020-12-31 04:00:00,2020-12-31 05:00:00,189.75,0.5,11.85
2020-12-31 05:00:00,2020-12-31 06:00:00,166.45,0.43,11.85
2020-12-31 06:00:00,2020-12-31 07:00:00,143.57,0.86,11.63
2020-12-31 07:00:00,2020-12-31 08:00:00,139.7,0.75,11.58
2020-12-31 08:00:00,2020-12-31 09:00:00,122.78,0.32,14.35
2020-12-31 09:00:00,2020-12-31 10:00:00,118.92,0.32,10.33
2020-12-31 10:00:00,2020-12-31 11:00:00,122.7,0.39,0.96
2020-12-31 11:00:00,2020-12-31 12:00:00,137.07,0.41,1.64
2020-12-31 12:00:00,2020-12-31 13:00:00,151.2,0.58,1.74
2020-12-31 13:00:00,2020-12-31 14:00:00,201.18,0.58,7.65
2020-12-31 14:00:00,2020-12-31 15:00:00,178.12,0.51,9.29
2020-12-31 15:00:00,2020-12-31 16:00:00,159.15,0.49,7.48
2020-12-31 16:00:00,2020-12-31 17:00:00,152.33,0.35,19.22
2020-12-31 17:00:00,2020-12-31 18:00:00,162.25,0.7,2.43
2020-12-31 18:00:00,2020-12-31 19:00:00,118.7,1.04,
