From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),RF (mm)
2020-11-09 14:00:00,2020-11-09 15:00:00,,,,,,,,,,,,,,
2020-11-09 15:00:00,2020-11-09 16:00:00,,,,,,,,,,,,,,
2020-11-09 16:00:00,2020-11-09 17:00:00,,,,,,,,,,,,,,
2020-11-09 17:00:00,2020-11-09 18:00:00,,,,,,,,,,,,,,
2020-11-09 18:00:00,2020-11-09 19:00:00,,,,,,,,,,,,,,
2020-11-09 19:00:00,2020-11-09 20:00:00,,,,,,,,,,,,,,
2020-11-09 20:00:00,2020-11-09 21:00:00,,,,,,,,,,,,,,
2020-11-09 21:00:00,2020-11-09 22:00:00,,,,,,,,,,,,,,
2020-11-09 22:00:00,2020-11-09 23:00:00,,,,,,,,,,,,,,
2020-11-09 23:00:00,2020-11-10 00:00:00,,,,,,,,,,,,,,
2020-11-10 00:00:00,2020-11-10 01:00:00,,,,,,,,,,,,,,
2020-11-10 01:00:00,2020-11-10 02:00:00,,,,,,,,,,,,,,
2020-11-10 02:00:00,2020-11-10 03:00:00,,,,,,,,,,,,,,
2020-11-10 03:00:00,2020-11-10 04:00:00,,,,,,,,,,,,,,
2020-11-10 04:00:00,2020-11-10 05:00:00,,,,,,,,,,,,,,
2020-11-10 05:00:00,2020-11-10 06:00:00,,,,,,,,,,,,,,
2020-11-10 06:00:00,2020-11-10 07:00:00,,,,,,,,,,,,,,
2020-11-10 07:00:00,2020-11-10 08:00:00,,,,,,,,,,,,,,
2020-11-10 08:00:00,2020-11-10 09:00:00,,,,,,,,,,,,,,
2020-11-10 09:00:00,2020-11-10 10:00:00,,,,,,,,,,,,,,
2020-11-10 10:00:00,2020-11-10 11:00:00,,,,,,,,,,,,,,
2020-11-10 11:00:00,2020-11-10 12:00:00,,,,,,,,,,,,,,
2020-11-10 12:00:00,2020-11-10 13:00:00,,,,,,,,,,,,,,
2020-11-10 13:00:00,2020-11-10 14:00:00,,,,,,,,,,,,,,
2020-11-10 14:00:00,2020-11-10 15:00:00,,,,,,,,,,,,,,
2020-11-10 15:00:00,2020-11-10 16:00:00,,,,,,,,,,,,,,
2020-11-10 16:00:00,2020-11-10 17:00:00,,,,,,,,,,,,,,
2020-11-10 17:00:00,2020-11-10 18:00:00,,,,,,,,,,,,,,
2020-11-10 18:00:00,2020-11-10 19:00:00,,,,,,,,,,,,,,
2020-11-10 19:00:00,2020-11-10 20:00:00,,,,,,,,,,,,,,
2020-11-10 20:00:00,2020-11-10 21:00:00,,,,,,,,,,,,,,
2020-11-10 21:00:00,2020-11-10 22:00:00,,,,,,,,,,,,,,
2020-11-10 22:00:00,2020-11-10 23:00:00,,,,,,,,,,,,,,
2020-11-10 23:00:00,2020-11-11 00:00:00,,,,,,,,,,,,,,
2020-11-11 00:00:00,2020-11-11 01:00:00,,,,,,,,,,,,,,
2020-11-11 01:00:00,2020-11-11 02:00:00,,,,,,,,,,,,,,
2020-11-11 02:00:00,2020-11-11 03:00:00,,,,,,,,,,,,,,
2020-11-11 03:00:00,2020-11-11 04:00:00,,,,,,,,,,,,,,
2020-11-11 04:00:00,2020-11-11 05:00:00,,,,,,,,,,,,,,
2020-11-11 05:00:00,2020-11-11 06:00:00,,,,,,,,,,,,,,
2020-11-11 06:00:00,2020-11-11 07:00:00,,,,,,,,,,,,,,
2020-11-11 07:00:00,2020-11-11 08:00:00,,,,,,,,,,,,,,
2020-11-11 08:00:00,2020-11-11 09:00:00,,,,,,,,,,,,,,
2020-11-11 09:00:00,2020-11-11 10:00:00,,,,,,,,,,,,,,
2020-11-11 10:00:00,2020-11-11 11:00:00,,,,,,,,,,,,,,
2020-11-11 11:00:00,2020-11-11 12:00:00,,,,,,,,,,,,,,
2020-11-11 12:00:00,2020-11-11 13:00:00,,,,,,,,,,,,,,
2020-11-11 13:00:00,2020-11-11 14:00:00,,,,,,,,,,,,,,
2020-11-11 14:00:00,2020-11-11 15:00:00,,,,14.5,13.5,17.1,,28.52,76.75,3.08,,375.75,751.25,0.0
2020-11-11 15:00:00,2020-11-11 16:00:00,,,,15.27,11.23,31.73,,29.73,80.33,3.8,,110.67,750.67,0.0
2020-11-11 16:00:00,2020-11-11 17:00:00,58.0,90.0,,18.83,8.97,58.87,,30.27,93.67,2.23,,67.0,750.33,5.0
2020-11-11 17:00:00,2020-11-11 18:00:00,41.0,53.0,,,,,,30.1,94.0,2.2,,51.0,751.0,0.0
2020-11-11 18:00:00,2020-11-11 19:00:00,,,,,,,,,,,,,,
2020-11-11 19:00:00,2020-11-11 20:00:00,,,,,,,,,,,,,,
2020-11-11 20:00:00,2020-11-11 21:00:00,,,,,,,,,,,,,,
2020-11-11 21:00:00,2020-11-11 22:00:00,,,,,,,,,,,,,,
2020-11-11 22:00:00,2020-11-11 23:00:00,,,,,,,,,,,,,,
2020-11-11 23:00:00,2020-11-12 00:00:00,,,,,,,,,,,,,,
2020-11-12 00:00:00,2020-11-12 01:00:00,,,,,,,,,,,,,,
2020-11-12 01:00:00,2020-11-12 02:00:00,,,,,,,,,,,,,,
2020-11-12 02:00:00,2020-11-12 03:00:00,,,,,,,,,,,,,,
2020-11-12 03:00:00,2020-11-12 04:00:00,,,,,,,,,,,,,,
2020-11-12 04:00:00,2020-11-12 05:00:00,,,,,,,,,,,,,,
2020-11-12 05:00:00,2020-11-12 06:00:00,,,,,,,,,,,,,,
2020-11-12 06:00:00,2020-11-12 07:00:00,,,,,,,,,,,,,,
2020-11-12 07:00:00,2020-11-12 08:00:00,,,,,,,,,,,,,,
2020-11-12 08:00:00,2020-11-12 09:00:00,,,,,,,,,,,,,,
2020-11-12 09:00:00,2020-11-12 10:00:00,,,,,,,,,,,,,,
2020-11-12 10:00:00,2020-11-12 11:00:00,,,,,,,,,,,,,,
2020-11-12 11:00:00,2020-11-12 12:00:00,,,,,,,,,,,,,,
2020-11-12 12:00:00,2020-11-12 13:00:00,,,,,,,,,,,,,,
2020-11-12 13:00:00,2020-11-12 14:00:00,,,,,,,,,,,,,,
2020-11-12 14:00:00,2020-11-12 15:00:00,,,,,,,,,,,,,,
2020-11-12 15:00:00,2020-11-12 16:00:00,,,,,,,,,,,,,,
2020-11-12 16:00:00,2020-11-12 17:00:00,,,,,,,,,,,,,,
2020-11-12 17:00:00,2020-11-12 18:00:00,,,,,,,,,,,,,,
2020-11-12 18:00:00,2020-11-12 19:00:00,,,,,,,,,,,,,,
2020-11-12 19:00:00,2020-11-12 20:00:00,,,,,,,,,,,,,,
2020-11-12 20:00:00,2020-11-12 21:00:00,,,,,,,,,,,,,,
2020-11-12 21:00:00,2020-11-12 22:00:00,,,,,,,,,,,,,,
2020-11-12 22:00:00,2020-11-12 23:00:00,,,,,,,,,,,,,,
2020-11-12 23:00:00,2020-11-13 00:00:00,,,,,,,,,,,,,,
2020-11-13 00:00:00,2020-11-13 01:00:00,,,,,,,,,,,,,,
2020-11-13 01:00:00,2020-11-13 02:00:00,,,,,,,,,,,,,,
2020-11-13 02:00:00,2020-11-13 03:00:00,,,,,,,,,,,,,,
2020-11-13 03:00:00,2020-11-13 04:00:00,,,,,,,,,,,,,,
2020-11-13 04:00:00,2020-11-13 05:00:00,,,,,,,,,,,,,,
2020-11-13 05:00:00,2020-11-13 06:00:00,,,,,,,,,,,,,,
2020-11-13 06:00:00,2020-11-13 07:00:00,,,,,,,,,,,,,,
2020-11-13 07:00:00,2020-11-13 08:00:00,,,,,,,,,,,,,,
2020-11-13 08:00:00,2020-11-13 09:00:00,,,,,,,,,,,,,,
2020-11-13 09:00:00,2020-11-13 10:00:00,,,,,,,,,,,,,,
2020-11-13 10:00:00,2020-11-13 11:00:00,,,,,,,,,,,,,,
2020-11-13 11:00:00,2020-11-13 12:00:00,,,,,,,,28.5,83.0,3.15,,554.5,759.0,0.0
2020-11-13 12:00:00,2020-11-13 13:00:00,6.0,25.0,,11.83,10.22,70.25,,29.67,78.5,3.38,,517.75,757.5,0.0
2020-11-13 13:00:00,2020-11-13 14:00:00,7.75,23.75,,13.38,10.98,56.4,,30.25,78.25,3.02,,479.75,757.0,0.0
2020-11-13 14:00:00,2020-11-13 15:00:00,12.5,24.0,,13.68,10.47,50.98,,30.5,80.0,2.42,,297.5,756.0,0.0
2020-11-13 15:00:00,2020-11-13 16:00:00,10.75,33.75,,13.53,8.97,53.0,,30.83,79.75,2.6,,215.0,756.0,0.0
2020-11-13 16:00:00,2020-11-13 17:00:00,10.5,29.25,,15.5,9.65,44.08,,30.92,84.0,2.18,,48.0,756.25,0.0
2020-11-13 17:00:00,2020-11-13 18:00:00,14.0,39.0,,21.0,13.97,36.08,,30.88,87.5,1.22,,19.0,757.25,0.0
2020-11-13 18:00:00,2020-11-13 19:00:00,31.75,58.5,,26.85,17.85,37.35,,30.7,89.0,1.4,,13.0,758.75,0.0
2020-11-13 19:00:00,2020-11-13 20:00:00,75.0,102.0,,27.88,17.95,42.0,,30.45,88.0,1.25,,13.0,760.25,0.0
2020-11-13 20:00:00,2020-11-13 21:00:00,96.5,135.0,,24.28,16.73,42.73,,30.4,88.0,1.3,,13.0,761.5,0.0
2020-11-13 21:00:00,2020-11-13 22:00:00,85.25,121.75,,23.15,15.4,41.65,,30.32,89.0,0.9,,13.25,762.0,0.0
2020-11-13 22:00:00,2020-11-13 23:00:00,65.75,99.0,,18.15,13.5,36.62,,30.6,89.5,1.08,,13.75,762.0,0.0
2020-11-13 23:00:00,2020-11-14 00:00:00,37.0,62.25,,13.32,8.9,37.15,,30.85,88.5,1.1,,14.0,762.0,0.0
2020-11-14 00:00:00,2020-11-14 01:00:00,23.5,38.0,,10.05,7.28,36.62,,30.88,88.0,1.2,,13.75,760.75,0.0
2020-11-14 01:00:00,2020-11-14 02:00:00,19.0,26.0,,7.92,8.7,34.8,,30.75,89.75,0.93,,13.5,759.25,0.25
2020-11-14 02:00:00,2020-11-14 03:00:00,8.0,21.0,,7.4,5.18,39.73,,30.18,90.25,1.27,,13.0,758.0,0.0
2020-11-14 03:00:00,2020-11-14 04:00:00,8.75,21.25,,6.27,5.65,42.68,,30.22,89.75,1.07,,13.0,757.0,0.25
2020-11-14 04:00:00,2020-11-14 05:00:00,11.5,23.5,,7.53,6.72,35.2,,30.2,92.75,0.65,,13.0,757.5,0.25
2020-11-14 05:00:00,2020-11-14 06:00:00,16.0,29.5,,11.68,9.68,35.15,,30.23,93.25,0.35,,13.0,758.0,0.0
2020-11-14 06:00:00,2020-11-14 07:00:00,31.75,41.0,,15.28,12.03,29.95,,30.5,92.25,0.38,,33.5,759.5,0.0
2020-11-14 07:00:00,2020-11-14 08:00:00,51.0,64.25,,18.6,12.62,31.7,,30.95,90.25,1.22,,161.75,760.75,0.0
2020-11-14 08:00:00,2020-11-14 09:00:00,42.5,65.0,,10.68,8.85,31.08,,31.48,82.75,2.22,,283.25,762.5,0.0
2020-11-14 09:00:00,2020-11-14 10:00:00,28.5,48.0,,11.55,9.2,30.0,,31.4,79.5,3.05,,430.25,763.5,0.0
2020-11-14 10:00:00,2020-11-14 11:00:00,36.0,52.0,,10.22,8.97,34.48,,31.07,75.5,3.08,,565.0,763.5,0.0
2020-11-14 11:00:00,2020-11-14 12:00:00,36.0,56.25,,11.95,9.0,34.62,,31.18,72.75,3.25,,564.5,762.0,0.0
2020-11-14 12:00:00,2020-11-14 13:00:00,44.5,70.0,,13.75,11.38,34.48,,31.22,69.75,3.0,,587.75,759.75,0.0
2020-11-14 13:00:00,2020-11-14 14:00:00,64.0,94.25,,17.25,11.38,31.62,,31.12,71.75,2.47,,429.5,757.75,0.0
2020-11-14 14:00:00,2020-11-14 15:00:00,45.5,75.75,,16.98,10.68,27.68,,31.23,72.75,2.65,,332.0,757.0,0.0
2020-11-14 15:00:00,2020-11-14 16:00:00,43.0,68.5,,13.83,9.85,27.72,,31.38,74.25,3.38,,247.25,756.5,0.0
2020-11-14 16:00:00,2020-11-14 17:00:00,40.25,60.25,,11.7,9.45,27.25,,31.3,76.25,2.45,,122.5,756.0,0.0
2020-11-14 17:00:00,2020-11-14 18:00:00,50.33,76.0,,14.63,11.6,28.1,,31.23,77.67,1.57,,27.0,756.67,0.0
2020-11-14 18:00:00,2020-11-14 19:00:00,158.5,195.75,,28.85,22.1,31.67,,30.95,80.75,1.6,,13.25,757.0,0.0
2020-11-14 19:00:00,2020-11-14 20:00:00,524.0,611.75,,41.27,36.33,31.93,,31.15,81.5,1.42,,13.0,758.5,0.0
2020-11-14 20:00:00,2020-11-14 21:00:00,824.75,944.0,,35.62,31.8,31.0,,30.75,81.5,1.2,,13.0,759.75,0.0
2020-11-14 21:00:00,2020-11-14 22:00:00,702.75,302.0,,27.85,22.03,29.38,,30.57,83.0,0.9,,13.25,760.0,0.0
2020-11-14 22:00:00,2020-11-14 23:00:00,219.0,266.75,,20.62,15.35,28.38,,30.98,83.25,0.85,,13.0,759.75,0.0
2020-11-14 23:00:00,2020-11-15 00:00:00,109.0,140.0,,18.05,12.73,27.52,,31.2,85.5,0.5,,13.0,758.75,0.0
2020-11-15 00:00:00,2020-11-15 01:00:00,44.25,70.75,,15.7,10.4,27.3,,31.1,86.0,0.7,,13.0,757.5,0.0
2020-11-15 01:00:00,2020-11-15 02:00:00,27.5,48.5,,10.35,8.1,27.95,,31.07,86.75,0.82,,13.5,756.0,0.0
2020-11-15 02:00:00,2020-11-15 03:00:00,19.25,37.5,,7.75,6.55,30.27,,30.83,88.5,0.65,,13.0,755.0,0.0
2020-11-15 03:00:00,2020-11-15 04:00:00,16.0,32.5,,8.88,6.88,29.9,,30.8,93.5,1.4,,13.5,755.0,8.25
2020-11-15 04:00:00,2020-11-15 05:00:00,12.5,21.5,,11.97,8.4,28.9,,30.65,97.25,0.3,,14.0,755.0,1.25
2020-11-15 05:00:00,2020-11-15 06:00:00,10.5,18.5,,8.5,6.57,27.32,,30.45,98.0,0.38,,13.75,755.75,1.5
2020-11-15 06:00:00,2020-11-15 07:00:00,10.5,15.5,,11.07,9.12,25.3,,30.73,98.25,0.3,,24.5,757.5,0.0
2020-11-15 07:00:00,2020-11-15 08:00:00,17.25,21.5,,13.7,10.4,25.2,,30.95,98.0,0.3,,99.25,758.5,3.5
2020-11-15 08:00:00,2020-11-15 09:00:00,21.25,24.75,,15.75,13.95,25.23,,31.02,97.5,0.3,,174.25,760.5,0.25
2020-11-15 09:00:00,2020-11-15 10:00:00,12.25,18.5,,15.87,13.15,25.13,,30.85,94.75,0.33,,122.5,760.0,0.0
2020-11-15 10:00:00,2020-11-15 11:00:00,10.0,11.0,,14.0,10.12,27.3,,30.62,93.0,0.4,,177.0,760.0,0.0
2020-11-15 11:00:00,2020-11-15 12:00:00,,,,13.53,9.72,27.55,,30.77,90.5,0.82,,183.25,758.5,0.0
2020-11-15 12:00:00,2020-11-15 13:00:00,,,,13.25,9.8,27.2,,30.8,91.0,1.45,,163.25,756.5,0.0
2020-11-15 13:00:00,2020-11-15 14:00:00,6.0,8.0,,13.62,9.6,25.8,,30.62,90.0,2.08,,163.0,755.75,0.0
2020-11-15 14:00:00,2020-11-15 15:00:00,6.5,8.25,,12.62,9.77,23.7,,31.0,90.0,2.17,,188.0,754.75,0.0
2020-11-15 15:00:00,2020-11-15 16:00:00,8.25,9.75,,12.07,8.57,23.25,,31.1,89.0,1.82,,139.0,754.0,0.0
2020-11-15 16:00:00,2020-11-15 17:00:00,8.5,11.75,,11.8,7.95,22.9,,31.1,88.75,2.15,,73.0,755.5,0.5
2020-11-15 17:00:00,2020-11-15 18:00:00,7.25,11.5,,13.28,9.22,22.75,,30.97,94.5,2.15,,17.0,755.5,0.5
2020-11-15 18:00:00,2020-11-15 19:00:00,14.0,18.25,,14.65,9.43,24.75,,30.63,94.5,2.32,,14.0,756.5,0.0
2020-11-15 19:00:00,2020-11-15 20:00:00,41.75,46.25,,17.3,12.55,24.68,,30.58,93.0,2.0,,14.0,759.0,0.0
2020-11-15 20:00:00,2020-11-15 21:00:00,91.25,105.5,,19.5,14.6,24.53,,30.5,94.75,1.95,,14.0,760.0,0.75
2020-11-15 21:00:00,2020-11-15 22:00:00,108.33,137.5,,15.77,11.0,24.18,,30.45,94.75,2.18,,14.0,760.0,0.0
2020-11-15 22:00:00,2020-11-15 23:00:00,18.75,27.25,,14.75,10.15,22.12,,30.85,95.25,1.4,,14.0,760.0,0.0
2020-11-15 23:00:00,2020-11-16 00:00:00,11.25,15.75,,12.23,9.12,22.18,,31.0,96.0,0.82,,14.0,760.0,0.0
2020-11-16 00:00:00,2020-11-16 01:00:00,9.0,15.0,,9.53,7.28,22.3,,30.95,94.5,2.02,,14.0,759.25,0.0
2020-11-16 01:00:00,2020-11-16 02:00:00,,9.0,,8.03,6.52,21.7,,30.75,93.0,2.05,,14.0,758.25,0.5
2020-11-16 02:00:00,2020-11-16 03:00:00,,8.0,,6.55,6.57,23.68,,30.32,96.5,1.88,,14.0,757.5,3.0
2020-11-16 03:00:00,2020-11-16 04:00:00,,5.0,,12.48,9.43,23.77,,30.22,98.0,0.3,,14.0,757.0,0.75
2020-11-16 04:00:00,2020-11-16 05:00:00,8.0,15.0,,19.93,19.07,22.63,,30.18,98.0,0.3,,14.0,757.0,1.0
2020-11-16 05:00:00,2020-11-16 06:00:00,9.0,15.0,,25.73,30.45,21.18,,30.2,99.0,0.3,,14.0,757.0,0.25
2020-11-16 06:00:00,2020-11-16 07:00:00,12.75,18.0,,29.65,51.83,20.15,,30.57,,0.3,,25.75,757.75,0.0
2020-11-16 07:00:00,2020-11-16 08:00:00,17.5,27.75,,29.32,43.88,21.9,,30.9,98.25,0.3,,154.5,759.5,0.0
2020-11-16 08:00:00,2020-11-16 09:00:00,20.25,25.25,,16.8,23.48,22.17,,31.4,90.5,2.67,,342.0,761.5,0.0
2020-11-16 09:00:00,2020-11-16 10:00:00,6.0,11.0,,12.23,14.1,22.3,,31.15,82.75,2.9,,336.5,763.0,0.0
2020-11-16 10:00:00,2020-11-16 11:00:00,7.0,16.0,,13.5,9.75,24.68,,30.98,82.25,2.95,,309.25,762.5,0.0
2020-11-16 11:00:00,2020-11-16 12:00:00,6.0,14.75,,14.35,9.68,23.65,,30.78,94.25,3.3,,55.25,761.25,1.0
2020-11-16 12:00:00,2020-11-16 13:00:00,5.25,13.25,,19.02,13.65,22.15,,30.5,97.0,1.88,,51.25,760.0,0.25
2020-11-16 13:00:00,2020-11-16 14:00:00,12.0,20.0,,14.67,10.05,21.85,,30.25,96.25,1.85,,39.75,758.5,2.5
2020-11-16 14:00:00,2020-11-16 15:00:00,,,,24.02,18.18,20.93,,30.73,97.0,0.38,,46.5,757.25,1.25
2020-11-16 15:00:00,2020-11-16 16:00:00,12.0,27.0,,31.2,25.1,19.85,,30.9,98.0,0.65,,42.5,757.0,0.25
2020-11-16 16:00:00,2020-11-16 17:00:00,12.5,26.0,,29.5,19.55,20.78,,30.92,98.0,1.3,,16.0,757.5,1.5
2020-11-16 17:00:00,2020-11-16 18:00:00,14.0,23.0,5.1,18.3,12.95,20.92,,30.8,98.75,1.32,,14.0,758.5,3.75
2020-11-16 18:00:00,2020-11-16 19:00:00,,,3.3,21.65,15.05,23.7,,30.5,98.0,0.38,,14.0,760.0,0.75
2020-11-16 19:00:00,2020-11-16 20:00:00,,,,33.6,26.88,22.9,,30.18,98.0,0.35,,14.0,760.25,0.0
2020-11-16 20:00:00,2020-11-16 21:00:00,56.0,66.0,,36.23,40.5,23.1,,30.15,98.0,0.3,,14.0,761.5,0.0
2020-11-16 21:00:00,2020-11-16 22:00:00,50.25,61.75,,34.05,52.38,22.98,,30.12,98.0,0.6,,14.0,763.0,0.25
2020-11-16 22:00:00,2020-11-16 23:00:00,34.75,51.0,,29.2,33.8,20.83,,30.35,98.75,0.65,,14.0,763.0,3.75
2020-11-16 23:00:00,2020-11-17 00:00:00,40.0,57.0,,26.9,29.98,20.32,,30.45,,0.53,,14.0,762.25,8.0
2020-11-17 00:00:00,2020-11-17 01:00:00,11.0,18.0,,24.58,24.93,20.7,,30.5,,0.3,,14.0,760.25,0.25
2020-11-17 01:00:00,2020-11-17 02:00:00,10.5,17.25,,25.6,24.92,19.1,,30.35,,0.3,,14.0,758.75,0.0
2020-11-17 02:00:00,2020-11-17 03:00:00,9.0,15.0,,21.18,19.38,21.5,,30.02,,0.3,,14.0,758.0,0.0
2020-11-17 03:00:00,2020-11-17 04:00:00,11.0,13.0,,17.5,15.97,22.45,,30.0,,0.4,,14.0,757.5,0.0
2020-11-17 04:00:00,2020-11-17 05:00:00,9.5,12.5,,16.7,14.6,21.4,,30.0,,0.3,,14.0,757.0,0.0
2020-11-17 05:00:00,2020-11-17 06:00:00,8.75,15.0,,19.95,14.93,21.55,,29.95,,0.3,,14.0,757.25,0.0
2020-11-17 06:00:00,2020-11-17 07:00:00,20.25,27.0,,16.62,14.45,20.05,,30.15,,0.3,,43.5,758.75,0.0
2020-11-17 07:00:00,2020-11-17 08:00:00,21.0,27.0,,17.4,13.5,19.7,,30.45,99.0,0.78,,106.0,760.25,0.0
2020-11-17 08:00:00,2020-11-17 09:00:00,5.0,11.0,,14.33,11.85,20.05,,30.55,98.5,1.52,,131.5,762.0,0.0
2020-11-17 09:00:00,2020-11-17 10:00:00,6.75,11.5,,14.65,11.73,19.6,,30.67,95.0,2.02,,347.5,763.5,0.0
2020-11-17 10:00:00,2020-11-17 11:00:00,16.0,17.75,,18.27,13.65,22.27,,30.5,89.75,1.77,,311.0,761.5,0.0
2020-11-17 11:00:00,2020-11-17 12:00:00,25.5,30.75,,15.8,12.03,22.05,,30.48,85.5,2.55,,543.25,760.5,0.0
2020-11-17 12:00:00,2020-11-17 13:00:00,16.75,25.5,,12.7,9.7,21.95,,30.52,82.0,3.25,,364.0,758.5,0.0
2020-11-17 13:00:00,2020-11-17 14:00:00,13.75,20.0,,12.25,8.73,22.02,,30.57,81.0,3.27,,417.25,757.0,0.0
2020-11-17 14:00:00,2020-11-17 15:00:00,15.25,19.25,,12.15,9.77,20.98,,31.02,80.25,3.0,,300.5,756.0,0.0
2020-11-17 15:00:00,2020-11-17 16:00:00,12.75,25.25,,11.9,8.65,20.18,,31.08,83.25,2.82,,137.0,755.5,0.0
2020-11-17 16:00:00,2020-11-17 17:00:00,11.5,24.25,,13.27,9.7,20.0,,31.08,83.25,2.12,,99.0,756.0,0.0
2020-11-17 17:00:00,2020-11-17 18:00:00,11.25,28.25,,17.27,12.68,19.08,,30.8,87.5,1.4,,18.5,756.25,0.0
2020-11-17 18:00:00,2020-11-17 19:00:00,24.25,40.0,,29.95,21.55,21.5,,30.4,90.5,0.68,,14.0,757.5,0.0
2020-11-17 19:00:00,2020-11-17 20:00:00,52.75,77.0,,35.25,28.9,22.08,,30.35,92.0,0.33,,14.0,758.75,0.0
